V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_J62_63,20.2898,2.2755,1.1004,1.6562,0.0606,177.5189,2.6193,1.1288,6.3342,40.6587,30.8559,249.3233,3.2187,5.863,2.4247,30.5138,99.8128,3.2125,8.5478,1.1698,1.3333,123.2732,32.8585,15.1214,131.3424,387.409,70.2078,17.3204,186.3222,32.9972,26.7801,37.6415,655.2553,90.4831,6053.2188,861.5287,26.0091,396.1006,246.6773,103.5757,8.3677,157.0142,70.691,66.2531,0.0
IRL_K,84.9162,11.0675,3.0006,11.1127,0.1541,288.8209,13.2511,10.2477,8.3531,100.6485,31.4754,406.2907,24.6726,21.8658,15.0862,34.6052,234.8517,11.4654,47.2831,15.758,15.9182,114.4376,116.6956,38.9949,138.4488,700.8689,80.976,14.4948,120.2911,45.4545,15.5889,73.8959,98.9068,38.4768,872.5607,5667.2007,279.0382,374.7656,386.4275,281.5654,20.3661,142.0981,22.8877,34.6421,0.0
IRL_L,3.3301,0.0,0.1632,0.5431,0.0558,6.4084,0.5971,0.454,0.2682,2.4609,1.2165,17.6878,1.0995,0.8947,0.5963,1.3812,8.4716,0.4307,2.2826,0.3591,0.1536,28.0285,7.2633,4.9341,44.0744,462.329,26.9575,0.9165,28.4289,33.0475,12.8317,142.1139,18.1307,15.2604,61.0048,48.9247,38.8383,197.2749,137.4922,160.4724,22.5452,39.8572,34.7687,24.3289,0.0
IRL_M,51.4315,2.218,5.6135,11.8124,0.8599,610.6702,11.4026,10.4874,12.6012,22.9932,73.6714,1165.1808,22.7771,23.4382,21.1227,48.3904,145.2234,20.3215,14.4984,13.485,10.2074,173.022,77.5155,25.8514,492.2289,1613.5424,109.0328,28.0693,49.8151,158.6733,54.927,309.138,640.0315,213.4064,1447.1347,584.2982,146.7523,996.2899,679.1277,410.1263,34.5735,241.3436,80.8333,148.2711,0.0
IRL_N,9.932,4.3638,2.1362,3.3293,0.3439,124.5247,10.7841,3.3635,4.7074,32.5763,56.0615,1290.1903,11.0744,7.7055,4.2773,11.4935,117.0531,4.3303,15.0001,5.0495,2.579,122.973,40.8445,11.4791,350.0584,682.2874,53.5265,44.3484,157.4833,88.4114,22.4045,160.4143,313.6723,125.2373,1835.3515,313.3111,64.8366,477.0855,536.3462,73.9104,79.6528,317.3216,90.6861,85.6903,0.0
IRL_O,4.9778,0.1271,0.3776,0.6486,0.0263,46.8951,2.925,2.3333,1.1487,1.0991,2.3058,134.6284,9.0288,4.6292,6.862,12.6228,11.5499,1.4814,3.8144,1.3895,7.2041,63.4352,7.4232,1.3985,102.0805,104.5234,153.3388,0.8,41.1256,0.8127,5.2084,2.5615,3.5767,1.2323,32.0458,39.7725,150.3545,143.7181,13.4355,408.1248,21.1681,129.2845,2.6546,1.8983,0.0
IRL_P,1.3823,0.0,0.0422,0.0597,0.0111,5.0402,0.1097,0.0769,0.322,0.7409,1.9519,71.4313,0.4912,0.2451,0.1578,0.4804,10.2493,0.2773,0.7671,0.098,0.552,5.9728,0.463,4.1833,15.3357,11.4287,10.1571,1.3489,21.5138,8.807,4.3208,6.6044,23.5142,21.8642,151.0058,84.4141,4.0718,240.8717,39.4837,387.8629,231.3132,144.9668,6.9716,17.8092,0.0
IRL_Q,0.2602,0.5939,0.0053,0.0039,0.0123,30.4721,0.7542,0.2332,0.5696,1.4323,5.4589,209.8706,4.2484,1.3497,0.7682,3.3971,16.9601,1.5228,1.793,0.5082,5.736,24.1583,4.9054,5.9216,2.7526,32.9332,1.4319,0.0765,1.2849,0.6942,0.3358,2.2163,69.978,0.4687,9.8364,58.5971,0.0736,29.7739,3.9607,48.0319,0.0151,2088.0287,8.2446,18.4473,0.0
IRL_R,4.0587,0.3948,0.052,0.9152,0.0022,38.1969,2.2186,1.7191,1.0156,0.0034,4.5178,40.3728,4.1629,3.387,2.1371,5.2302,19.3452,1.6307,5.2167,2.7194,0.9431,133.0427,18.416,16.4193,2.7076,32.2949,8.7405,0.2357,7.1663,8.2017,1.3857,11.1304,102.1466,1.3993,33.4948,35.4096,1.505,24.1631,45.5724,147.0078,29.4384,6.1231,252.6403,298.8741,0.0
IRL_S,44.4461,14.0589,0.4088,1.4996,0.0322,37.0568,2.3854,1.8502,1.0934,7.0288,4.8413,43.4799,4.4813,3.6389,2.3584,5.6337,20.8964,1.7542,5.6586,2.9159,1.4139,52.1241,29.6387,24.9115,1.5263,22.5354,6.9917,1.4145,49.0748,7.3569,22.0768,11.6654,16.7364,16.441,97.4434,70.581,0.2579,72.8006,154.7767,65.4415,27.0548,41.8395,127.227,351.9465,0.0
IRL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
