V1,PRT_A01_02,PRT_A03,PRT_B05_06,PRT_B07_08,PRT_B09,PRT_C10T12,PRT_C13T15,PRT_C16,PRT_C17_18,PRT_C19,PRT_C20,PRT_C21,PRT_C22,PRT_C23,PRT_C24,PRT_C25,PRT_C26,PRT_C27,PRT_C28,PRT_C29,PRT_C30,PRT_C31T33,PRT_D,PRT_E,PRT_F,PRT_G,PRT_H49,PRT_H50,PRT_H51,PRT_H52,PRT_H53,PRT_I,PRT_J58T60,PRT_J61,PRT_J62_63,PRT_K,PRT_L,PRT_M,PRT_N,PRT_O,PRT_P,PRT_Q,PRT_R,PRT_S,PRT_T
PRT_H50,1.0835,0.0422,0,1.1356,0.0602,12.8927,4.2795,3.8332,6.388,9.5541,5.5809,0.6133,4.0909,4.3309,1.8457,3.0234,0.7061,2.1747,1.2354,3.9962,0.491,2.0834,1.7955,0.8207,2.7718,11.0327,1.3518,19.9126,0.526,2.2969,1.1721,1.5417,0.654,0.7184,0.6476,0.4041,0.3643,3.2122,2.6768,2.2,0.4664,1.5079,0.5042,0.4644,0.0
PRT_H51,6.8395,0.9426,0,1.6392,0.0844,25.3097,9.7545,3.2663,5.9979,26.7349,7.0984,1.2239,5.2587,4.9972,3.6657,5.5722,1.6911,3.0523,2.635,9.6239,0.8253,11.9041,12.107,2.7862,6.5838,11.6853,6.7848,1.3426,3.5189,3.2039,0.4904,10.3858,1.4628,4.0357,5.5758,3.655,2.2043,6.277,4.8324,1.8191,1.2098,9.1952,1.5113,1.2375,0.0
PRT_H52,16.4144,8.566,0,4.1064,0.1495,94.817,92.0085,19.0221,19.5616,11.2152,42.7792,9.6963,43.0505,23.8953,14.3513,43.9135,27.1213,36.4202,22.9881,19.1153,5.7799,33.522,79.4384,13.6141,60.8686,597.7316,109.8037,134.3176,836.3732,1485.9491,4.6523,23.1803,5.5737,8.1987,12.3136,24.4564,12.3212,32.3779,28.8882,101.8673,7.072,15.1205,10.058,9.9015,0.0
PRT_H53,11.0504,1.1997,0,0.7847,0.0472,8.782,5.8315,1.8253,3.1302,1.569,2.8132,1.0857,1.7625,3.0531,0.7896,5.4647,1.0014,1.763,1.8497,2.0323,0.3181,4.6558,6.1383,5.9702,9.749,83.826,8.8306,0.3523,2.9029,5.7147,204.6111,16.3503,13.7654,8.2175,11.557,63.3202,7.5205,44.7842,27.7077,66.0422,18.5288,23.4388,11.8074,39.8704,0.0
PRT_I,9.6025,0.7871,0,1.5087,0.223,29.8996,15.64,6.4879,7.5203,6.2592,10.1627,6.6236,6.3411,7.9356,2.5402,11.6579,5.7356,5.311,4.8006,8.7805,1.1505,16.9097,4.9814,13.6541,34.5122,97.1857,24.1086,3.7764,112.1376,16.5796,5.1211,276.5925,23.1421,3.9577,25.5495,73.777,8.2739,72.6432,33.7912,169.0034,72.6122,206.0533,30.264,31.1979,0.0
PRT_J58T60,3.388,0.2817,0,0.5926,0.0414,10.446,6.5824,1.2807,5.217,1.6806,2.7932,1.7076,2.576,3.0505,0.7119,2.1021,0.8455,1.3425,1.3032,2.5304,0.2176,3.2067,3.3175,1.6422,7.856,38.7739,4.3797,0.4576,6.6683,4.9792,6.4261,15.6593,314.2219,97.8998,5.46,5.4347,3.7891,480.5865,16.7766,9.7496,19.2262,10.4536,7.8275,5.946,0.0
PRT_J61,41.008,3.0525,0,5.0733,0.4154,45.721,25.6796,8.3471,14.0829,9.3999,11.9567,4.9637,8.3264,13.1752,4.4495,26.0399,4.6046,7.2888,8.6808,10.0262,1.3172,32.0552,21.0478,27.8815,51.1812,359.8671,37.1042,2.3663,15.5126,30.8372,5.3264,106.694,30.5715,838.0093,55.9814,153.2665,22.112,224.4082,95.7513,156.5754,36.6844,140.6495,30.1604,58.7784,0.0
PRT_J62_63,11.1586,0.6279,0,2.3879,0.1556,41.7772,16.1241,5.4637,18.3553,21.7739,14.3143,11.7481,13.0683,10.8285,2.8001,15.131,4.5762,8.3479,5.1509,15.4955,1.4655,18.4254,47.6338,14.9573,31.054,171.5104,20.2566,2.692,15.1818,34.4848,3.4113,56.1691,43.6396,73.6456,434.3227,296.7112,17.1052,185.7382,54.1784,47.7718,31.7253,111.5744,25.7484,21.8814,0.0
PRT_K,146.7661,14.6141,0,18.6914,0.9541,236.3587,131.6303,48.3592,89.0907,47.6509,71.5759,25.1395,42.6572,77.0968,22.2288,91.7304,14.8538,36.3509,34.5167,39.0688,6.095,71.0281,191.7826,125.2343,557.3061,974.7738,136.8122,26.4211,53.1033,367.3585,17.5506,296.2636,48.9117,59.9891,63.1407,3256.8678,770.448,1052.8636,162.269,222.6416,48.9899,215.9131,77.8087,51.8605,0.0
PRT_L,6.6881,0.3533,0,1.8497,0.1357,93.2965,55.4205,13.1792,36.862,18.1313,22.7764,15.0143,16.927,28.2117,12.0388,14.734,10.6403,11.5405,12.0155,20.7737,3.8836,57.0943,12.61,20.0683,81.3999,921.6332,12.2009,2.4182,8.6575,88.085,18.6258,171.5841,69.3496,53.2096,59.1152,292.0928,171.531,117.2427,91.4441,170.4589,59.8165,154.7949,39.2476,45.8092,0.0
PRT_M,140.6761,7.0593,0,11.8847,0.9912,333.146,82.7115,27.4757,79.0621,64.5904,62.8559,40.0669,53.1443,56.7534,17.1192,69.5813,20.2772,49.8278,28.3115,71.9047,11.7305,133.4414,240.2533,53.3227,284.7432,1530.1812,100.037,18.0765,63.8747,196.0521,19.0016,238.3731,168.8792,437.6214,311.8571,497.7297,232.6358,1707.3889,339.9075,165.3167,96.872,524.0869,146.5891,168.2899,0.0
PRT_N,39.7662,6.3047,0,29.1945,1.4159,173.1073,70.2365,22.5667,54.2843,29.9896,53.2462,26.1673,70.0652,82.8973,18.0563,59.2692,231.9665,61.6269,34.1659,216.0358,6.5905,63.3589,89.3792,111.5388,243.0256,985.373,154.2697,19.9789,222.4909,248.3144,29.668,327.5415,90.3777,337.4898,121.8445,199.2708,118.0667,455.7297,959.4415,347.1122,108.3634,332.4096,159.3548,89.4662,0.0
PRT_O,26.2072,1.3135,0,3.9268,0.2136,36.4043,11.7061,8.3369,16.7922,27.6712,8.4069,3.6669,6.7176,12.6529,11.4159,8.6131,2.9127,6.9919,4.758,9.3919,1.4864,15.2026,29.4476,36.1172,100.3825,157.4978,29.749,18.9896,18.9212,57.5517,4.9799,33.1053,16.5315,125.8505,41.8699,109.6999,34.2203,178.9517,79.9712,85.829,21.0358,83.26,25.5789,20.5782,0.0
PRT_P,2.3376,0.7088,0,0.3211,0.018,7.7612,4.4172,1.036,3.3896,2.6154,3.9779,1.8677,2.3693,2.221,0.6946,4.0145,0.7782,2.651,1.6271,3.9336,0.398,3.6298,3.2029,1.894,11.1284,37.5401,3.2648,0.5124,3.7557,15.0094,0.3132,5.4054,3.3643,7.1067,12.8522,21.1342,3.3796,31.4813,9.3605,63.6326,109.9336,13.9496,2.2778,2.2651,0.0
PRT_Q,4.8248,0.77,0,0.6363,0.0848,11.5551,6.0505,1.476,3.7799,1.3679,3.6105,1.6773,2.6801,2.614,0.8951,6.7247,0.9786,2.0457,1.6666,3.6679,0.429,4.7863,2.6909,1.8852,19.162,70.5588,6.5367,1.0643,4.058,5.0286,0.9999,26.0987,18.467,7.5647,18.3187,45.7381,9.4716,82.7625,21.9762,35.8646,35.5486,892.4292,20.168,14.2054,0.0
PRT_R,1.4829,0.1386,0,0.227,0.0102,10.677,2.6563,0.5509,1.3902,0.8096,1.5346,0.7733,0.7508,1.1181,0.3134,1.2551,0.8918,0.8574,0.5759,1.062,0.0945,1.8922,1.322,0.5533,8.8838,35.7861,2.28,0.4772,1.2601,5.583,0.4861,37.2691,113.6371,3.6459,2.1403,8.2638,2.2852,53.1846,23.2317,45.5095,13.1367,5.1756,159.1565,102.7482,0.0
PRT_S,32.516,1.0005,0,1.5014,0.1212,19.2286,6.8682,2.8193,6.7319,2.0448,4.8977,3.8796,2.8727,5.8797,1.4666,6.0984,1.1584,2.8826,1.61,2.8965,0.3938,4.3542,6.2947,4.2832,17.8648,66.2359,15.4873,0.7771,6.2075,8.1098,1.6762,21.6263,4.8491,6.7826,5.5932,36.1425,9.7275,29.6193,14.3071,16.502,6.794,21.9392,53.3569,59.3374,0.0
PRT_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
