V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T
LAO_I,0.1298,0.0059,0.0048,0.0069,0.002,0.0347,0.0003,0.0128,0.0006,0.0075,0.0108,0.0033,0.0045,0.004,0.0006,0.0024,0.0023,0.0012,0.0001,0.0019,0.0002,0.0031,0.11,0.0318,0.2046,1.2783,0.0446,0.0001,0.0004,0.0001,0.0071,0.426,0.0382,0.0529,0.4091,0.8655,0.0162,0.8167,0.2247,3.7188,0.2505,0.0122,0.0223,0.0868,0.0
LAO_J58T60,0.0195,0.0006,0.0003,0.0003,0.0001,0.0376,0.0085,0.1265,0.0025,0.0089,0.0064,0.0017,0.0018,0.0023,0.0,0.0002,0.001,0.0005,0.0,0.0001,0.0,0.0352,0.0033,0.0185,0.1295,0.1665,0.0037,0.0002,0.0002,0.0002,0.0094,0.1388,0.0564,0.1012,0.0096,0.0485,0.0005,0.0405,0.0043,0.4986,0.0291,0.0033,0.0127,0.0096,0.0
LAO_J61,1.8731,0.0649,0.1155,0.204,0.0336,1.1284,0.0984,0.2591,0.0029,0.057,0.0658,0.0161,0.0264,0.0106,0.0089,0.0463,0.0033,0.0018,0.0004,0.0175,0.0014,0.1122,0.9594,0.4237,1.6344,14.4297,1.4757,0.2111,0.3644,0.4541,0.239,2.2783,0.8235,15.8555,0.5822,5.9967,0.0704,1.0633,0.5045,19.5029,1.6037,0.0669,0.3665,0.7899,0.0
LAO_J62_63,0.0664,0.0022,0.0326,0.0622,0.0087,0.6116,0.0304,0.0202,0.001,0.048,0.0501,0.0125,0.0243,0.0048,0.0034,0.0126,0.0122,0.0063,0.0002,0.0056,0.0004,0.0074,0.0369,0.0155,0.502,2.3985,0.175,0.0003,0.0014,0.0008,0.0186,0.3269,0.0291,0.288,0.3711,2.1195,0.0353,0.1621,0.0384,2.7404,0.2019,0.01,0.0151,0.0814,0.0
LAO_K,6.3869,0.1329,3.7971,7.1919,0.7615,4.945,1.8075,2.5114,0.0892,0.6209,2.047,0.3673,0.7601,1.8644,0.1127,0.3321,0.1339,0.1209,0.0024,0.1519,0.01,0.8233,3.2567,2.1905,16.5983,93.6873,6.0206,0.6648,0.3577,0.5554,0.2413,23.3656,1.2663,2.3316,0.8225,255.722,1.419,2.4424,1.106,35.3265,2.7723,0.1299,1.2481,3.6783,0.0
LAO_L,0.5945,0.0158,0.0208,0.0435,0.0072,0.3866,0.0922,0.0983,0.0048,0.0462,0.0706,0.0178,0.0269,0.0088,0.0015,0.0078,0.017,0.0113,0.0007,0.0156,0.0012,0.0426,0.042,0.3235,0.5406,31.0063,0.3364,0.0002,0.0029,0.0022,0.0265,4.8427,0.3867,0.3185,0.2007,13.6565,1.3007,0.6361,0.1591,5.8698,3.83,0.0237,0.3732,0.8926,0.0
LAO_M,0.4293,0.0149,0.17,0.2852,0.0497,2.5393,0.0788,0.0758,0.0042,0.1929,0.2673,0.1283,0.1151,0.0187,0.0118,0.0438,0.0501,0.0295,0.0011,0.0308,0.002,0.018,0.1156,0.0765,2.1887,7.8307,0.4509,0.0007,0.0036,0.0021,0.0282,1.0939,0.0877,0.4073,0.3823,3.5851,0.264,1.7976,0.2141,6.7042,0.5692,0.0491,0.071,0.2395,0.0
LAO_N,0.2137,0.0066,0.0689,0.1573,0.025,0.9549,0.0385,0.0447,0.0021,0.0641,0.0889,0.0257,0.0506,0.009,0.0056,0.0249,0.0169,0.011,0.0004,0.0101,0.0007,0.0149,0.0617,0.0532,1.0211,4.2382,0.439,0.0092,0.0037,0.0263,0.038,0.7279,0.0475,0.3139,0.2331,1.8671,0.186,0.6282,0.4129,2.8172,0.3423,0.0354,0.0503,0.1435,0.0
LAO_O,0.0137,0.0004,0.0025,0.0046,0.0006,0.0054,0.0006,0.0006,0.0,0.0001,0.0,0.0,0.0,0.0,0.0002,0.0007,0.0,0.0,0.0,0.0002,0.0,0.0018,0.0019,0.0056,0.003,0.0046,0.0002,0.0001,0.0002,0.0001,0.0,0.001,0.0054,0.0003,0.0049,0.0001,0.0004,0.0155,0.004,4.1793,0.0871,0.0,0.005,0.0036,0.0
LAO_P,0.0025,0.0001,0.0008,0.0014,0.0002,0.0014,0.0002,0.0003,0.0,0.0002,0.0002,0.0001,0.0001,0.0,0.0001,0.0003,0.0001,0.0,0.0,0.0002,0.0,0.0005,0.0008,0.0016,0.0026,0.0689,0.003,0.0001,0.0002,0.0001,0.0012,0.0054,0.0011,0.0124,0.0031,0.0558,0.0001,0.007,0.0013,0.327,0.113,0.0,0.0014,0.0047,0.0
LAO_Q,0.0004,0.0,0.0,0.0001,0.0,0.0004,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0008,0.001,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0001,0.0001,0.0,0.0004,0.0005,0.0002,0.0001,0.0,0.0001,0.0,0.0001,0.0
LAO_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0311,0.0001,0.0,0.0,0.0,0.0001,0.0509,0.0082,0.0008,0.0016,0.0009,0.0,0.0075,0.0016,0.1781,0.0106,0.0,0.0262,0.0035,0.0
LAO_S,4.4736,0.2064,1.3686,2.6048,0.4323,17.3979,1.4588,0.9373,0.0327,0.1208,0.1962,0.0421,0.0728,0.1282,0.0514,0.1901,0.1608,0.0983,0.0019,0.0824,0.0054,0.3856,0.7828,0.2418,7.8505,4.421,2.0669,0.0024,0.023,0.0059,0.0562,5.008,0.1235,0.4974,0.0771,0.4845,0.0407,0.2524,0.0433,4.7077,0.2372,0.2431,0.1022,0.4683,0.0
LAO_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
