V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T
AUS_I,225.13,22.5404,589.091,336.6585,71.9529,609.8185,8.1858,29.5048,115.0629,104.2786,90.3225,114.4652,43.9405,100.785,72.6842,146.0945,16.2771,14.0201,50.8538,61.2538,75.4922,13.962,86.5571,88.8639,1681.9912,900.1891,138.2839,14.2388,27.2397,189.2324,82.0231,126.9857,89.6019,394.0896,150.2026,495.9373,139.6934,1583.8746,962.1058,479.516,353.7632,162.737,304.2634,164.0926,0
AUS_J58T60,24.5443,7.2199,38.4634,41.0994,14.0904,94.7628,4.8111,20.4545,60.5943,6.8679,38.0006,40.5016,47.8859,32.8357,62.9675,52.3827,11.3473,8.5995,26.0083,69.0285,75.9794,9.2853,24.6486,62.8971,420.1284,1270.8813,74.187,24.3916,101.8292,95.1131,64.0889,522.9312,2066.5565,1150.2664,1112.4909,1323.8012,245.9152,1059.8254,1004.994,608.8469,969.582,315.4049,635.3156,282.3106,0
AUS_J61,100.7073,15.4097,130.2433,91.6814,29.8152,181.4661,9.0213,61.4188,126.8274,70.46,59.9356,57.8367,91.6147,129.4755,144.9879,165.0139,42.4928,38.0163,125.5454,99.6864,133.0396,57.3343,124.8823,144.6298,1937.6298,2681.428,204.2075,34.8341,53.7419,444.18,146.0383,188.3899,1282.4031,7385.5591,1059.6743,2477.7653,348.567,1198.4939,1197.1053,1447.2255,1093.136,707.1181,467.7395,856.0092,0
AUS_J62_63,86.1236,21.2835,320.3744,172.0471,15.9693,191.3376,16.2334,56.8278,227.4288,25.1118,88.652,76.7391,104.0031,116.7609,428.3489,95.7129,44.0784,24.7943,94.1084,183.0047,277.0781,29.3035,164.2906,88.6412,1104.2817,2609.0088,188.552,46.9509,34.8643,322.3735,122.5984,178.1968,746.0349,2022.417,3756.0391,8691.5846,262.6375,2486.5637,1820.1587,2748.4174,1468.453,523.8975,635.3094,668.3504,0
AUS_K,4148.7611,235.6031,3672.5943,2813.1699,453.4794,1195.5434,50.4456,153.0856,194.8861,71.7828,219.8636,166.9658,143.9013,267.9665,844.3639,270.8384,55.8894,72.5464,196.5756,198.839,245.3185,80.4782,4199.6345,3787.4191,6459.3917,5281.6713,994.1075,999.2527,159.1331,2502.6014,198.8534,1952.2087,365.0706,982.4445,620.5735,22265.4222,28500.1402,5158.5217,2911.4821,4287.0376,2440.7959,2736.1606,618.2951,828.665,0
AUS_L,485.7291,24.9673,353.5698,757.3385,13.9696,245.5676,5.7827,56.3362,137.3307,165.556,29.0306,29.9295,44.4459,138.9935,80.9948,259.7261,15.1692,18.7691,53.0987,115.5806,138.3038,16.4975,35.2626,167.1132,2833.1899,8625.691,623.9922,75.526,205.5468,726.305,368.633,2786.211,261.9067,1699.1264,1288.1972,1388.0489,3721.9146,3290.4489,4288.0215,831.8002,1351.1557,781.7623,797.4707,314.9325,0
AUS_M,2051.7593,175.8363,1407.7905,2452.2589,2420.8943,1238.7219,37.3149,241.5521,900.6468,154.0875,344.2141,567.0962,368.9298,657.7862,387.4862,727.8633,244.1812,296.4735,723.4768,385.0536,380.8304,223.707,480.7685,2012.0379,12015.5979,7929.7344,1158.8151,561.8572,670.5256,1574.6733,175.2032,551.8871,861.9858,2392.5286,3571.3654,5890.9902,4983.2237,20030.5539,4342.2328,2838.717,1192.9521,2165.0243,2544.6942,971.905,0
AUS_N,907.4351,168.5215,1451.7649,933.3558,179.0774,1621.531,78.344,306.6378,385.6564,93.7779,166.4316,209.7878,341.8852,657.3803,410.3755,379.6287,71.0552,82.2624,204.4307,195.8841,209.4052,168.2051,539.0685,429.5283,7221.3706,4781.6794,879.5923,345.6853,1572.387,3992.3843,451.9801,3231.2702,598.2262,548.1898,2456.8605,5721.6394,2599.9224,7248.4197,6650.602,2138.5102,2459.9043,3649.8111,2993.5071,1787.2899,0
AUS_O,72.1089,17.1451,562.971,702.489,42.1512,180.1927,3.4915,49.5965,188.2997,62.4069,165.0418,193.2624,143.6276,121.8468,104.4953,160.8578,16.6531,18.9397,59.5507,120.7093,192.6924,55.4628,87.3328,116.3526,2060.3313,932.9136,688.2613,15.6282,7.7707,724.1011,129.7955,58.9112,487.9562,236.2665,894.019,848.3762,272.6222,1944.7265,871.0215,2141.7755,1063.7221,599.6304,326.5445,487.0168,0
AUS_P,14.5258,2.7791,83.6456,83.0022,8.2895,53.6632,5.9368,8.8017,23.2223,17.4892,15.8177,23.5552,17.3587,35.6209,45.7354,25.3882,5.5017,6.8928,18.5582,17.563,21.3384,10.4957,122.044,76.7464,148.1565,160.8191,45.6615,7.7986,7.4755,73.2326,9.1556,24.0309,29.2133,46.515,127.9452,795.4317,57.8793,434.7184,312.0444,190.9028,671.4751,148.9671,118.8294,185.8233,0
AUS_Q,0.7953,2.5947,1.4782,0.0,1.5676,20.4372,6.6569,17.2682,18.2899,1.327,97.4378,151.2827,9.2152,1.8462,7.2046,1.4965,0.7556,0.8808,2.1531,0.6913,1.0963,2.636,1.4839,1.7455,10.986,24.75,0.0,2.9886,0.0,13.302,18.7499,8.853,11.2348,0.0,0.0,1392.2032,6.5712,25.7963,61.8904,133.8258,134.5148,1386.6038,15.8554,24.2965,0
AUS_R,11.1129,3.5839,120.234,101.9403,11.7546,8.9936,1.0939,2.0057,2.5141,0.7094,1.9466,2.1463,1.9649,2.6647,2.9605,2.8865,0.4306,0.3965,1.1552,5.2521,6.2816,1.1561,31.4148,8.2015,370.7841,515.5007,22.6685,8.7032,19.4032,5.0968,2.9746,81.5404,419.0527,34.8955,27.9674,234.26,76.5383,734.3196,446.6946,270.2993,1187.522,531.0168,4098.7066,233.6905,0
AUS_S,112.6223,32.9918,344.7131,427.2763,51.9542,60.0537,14.2287,35.0272,39.899,35.0486,18.9201,18.7999,33.5674,57.6218,39.0343,25.4818,3.2724,3.7557,10.914,15.183,17.2289,7.8168,47.5083,125.0626,721.1945,725.3078,243.5824,54.6973,22.1197,129.9001,64.9821,105.7293,163.718,208.6896,147.7983,316.6161,166.3584,841.1703,363.4182,277.8068,277.2519,2099.0586,270.1039,545.2133,0
AUS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
