V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_C20,1334.0235,7.1802,37.5988,63.1048,39.9337,642.2022,121.1231,402.1742,552.4586,1543.8297,3806.8445,231.6966,2850.3199,598.3509,889.9368,290.2468,716.3771,217.3283,104.935,43.2465,31.1439,177.6317,26.8662,73.4244,511.4782,164.0465,24.3825,1.2842,11.3498,127.1061,14.8104,42.6504,41.5511,5.2541,1.3938,7.7666,33.8375,46.4627,5.4225,36.8089,5.1304,12.5261,4.4815,25.2118,0.0
MYS_C21,24.0125,0.5279,0.2835,0.0644,0.2064,19.2296,3.5948,1.0573,31.8218,1.2986,4.4523,2.5546,4.2317,4.6423,0.7581,0.3351,1.5349,0.2638,3.0846,0.5682,0.0381,10.2457,0.0084,0.0617,1.9876,29.4144,0.0197,0.0181,0.0415,0.1399,0.0183,0.5729,0.0391,0.0418,0.0077,0.0649,0.1745,1.7507,0.0562,20.5588,53.9424,265.1719,0.2423,0.0224,0.0
MYS_C22,48.6713,33.2671,8.4929,13.1354,21.7111,235.6974,54.8549,9.3361,41.1823,41.2859,339.3677,10.8692,2046.3568,61.7709,115.4502,41.4803,313.9196,52.7288,116.5208,1088.4775,106.6242,63.049,3.5861,86.1211,373.9736,2130.1901,460.0426,0.5563,60.4308,272.2593,0.3371,51.8504,0.4969,1.434,0.692,3.2178,46.1657,1.0814,64.7081,55.622,2.9631,35.1096,2.2529,5.7066,0.0
MYS_C23,37.8599,0.3512,15.6737,4.0354,13.9936,73.0444,5.5089,3.1216,20.858,1.6248,142.4422,4.3859,26.4646,2021.8554,26.6237,114.0022,640.4516,106.487,8.4183,5.116,3.6299,17.0142,0.3788,0.3117,5144.8427,106.3788,0.7041,0.4273,0.5153,17.4608,0.2604,0.8545,0.3923,1.8148,0.2925,3.0791,46.8996,0.7543,1.436,20.5728,4.8037,3.2033,7.1328,0.111,0.0
MYS_C24,2.6601,0.1488,0.9623,4.7659,9.0803,145.6215,5.736,9.8301,34.6298,103.7222,53.2979,0.5206,21.8006,57.9184,520.76,2175.3836,1395.6296,402.1224,383.1651,241.6403,69.6163,373.7279,65.0816,15.1857,895.203,141.2638,0.2575,0.4583,0.3298,0.7909,0.1076,0.3812,0.1459,0.4171,0.1024,0.674,0.3907,0.2844,0.5454,5.6344,1.4238,1.0483,1.9738,0.1091,0.0
MYS_C25,38.698,0.4244,81.6925,44.2831,34.5109,98.923,4.1017,37.6479,24.8294,7.9956,112.6287,1.8063,73.4438,86.5026,748.071,416.0773,1647.8892,1253.5733,559.5708,556.2662,253.3918,320.1203,0.3462,18.2762,1328.0963,297.4539,2.3175,204.384,5.2345,7.2539,0.7257,2.9435,0.603,2.5249,0.4331,2.1747,2.7848,1.7897,3.7178,123.4538,2.7642,2.6078,3.7294,0.196,0.0
MYS_C26,8.1637,1.7477,49.1304,2.7663,6.104,49.326,9.9807,17.3738,258.5582,3.8123,22.0708,2.5396,82.8497,35.9289,54.5486,58.76,13514.0319,556.7482,160.4371,253.0603,101.861,113.0001,26.697,1.5107,129.9686,1317.7952,4.2266,5.3014,16.2516,7.2995,4.1069,6.7351,4.0623,205.3965,298.2223,98.6926,14.8441,192.7131,28.994,189.5581,160.8042,135.4545,75.0029,3.2854,0.0
MYS_C27,5.6352,0.1949,12.3469,0.8018,3.0745,6.9184,0.8915,1.8792,6.006,2.651,10.3581,0.3949,12.2581,7.8591,139.6096,14.8938,1020.7924,185.2265,54.3893,23.7501,9.9379,44.9817,25.4283,0.4445,423.4113,123.3606,28.9894,1.1869,1.8093,30.7736,0.2593,43.8414,0.3214,1.8514,1.8054,1.0372,0.9171,1.6165,4.2627,62.3089,9.4772,11.1739,2.0931,1.33,0.0
MYS_C28,41.693,4.0612,100.4154,13.302,27.5501,40.9475,8.2372,16.0198,25.5274,15.0827,61.4205,3.7866,26.026,58.6564,152.6029,48.1991,153.6019,21.4706,347.8438,87.3316,90.406,27.1417,1.9368,32.8787,54.4669,132.7281,11.5586,2.7047,2.1769,12.8833,0.3046,34.5956,2.8855,1.2265,0.2403,0.9947,0.5299,0.7606,1.514,19.3127,3.0739,2.6578,1.1468,11.4549,0.0
MYS_C29,264.2904,11.457,140.7109,18.4188,3.8526,33.6031,14.3511,97.058,43.9579,13.5608,55.1374,5.8682,33.3675,71.9014,215.095,55.0239,306.9108,37.8804,109.979,3082.6234,1057.6564,48.0837,8.7632,2.0501,88.6901,432.7086,32.4154,3.8848,83.2433,240.4135,4.1186,88.809,2.3615,10.2991,5.06,110.7749,5.9483,24.099,217.7327,1047.3816,391.7394,325.3175,74.8243,25.1064,0.0
MYS_C30,16.2371,16.3882,11.0488,4.4352,3.7343,26.028,2.6933,8.5798,6.0758,4.8272,16.869,0.6957,7.2459,9.7372,19.3022,14.279,54.6433,6.7283,16.9782,223.2385,361.6181,17.626,0.4826,0.1974,16.5539,98.3092,20.3969,681.6385,196.6544,23.685,1.2869,7.0925,0.9643,4.9279,0.6916,9.4758,2.031,3.8012,16.7234,142.822,23.5158,19.8502,5.8506,2.0905,0.0
MYS_C31T33,25.2044,4.6352,42.9806,28.0315,27.1741,244.8488,36.8993,42.4974,39.4684,37.3949,129.2761,4.7599,63.6128,56.9724,78.1075,70.2325,338.7502,43.3241,96.6597,65.3045,18.8519,213.0142,1.4507,3.0193,118.3611,526.478,23.3985,38.6756,62.6653,90.0406,12.0932,20.3119,6.3012,25.0619,7.456,16.4993,9.0361,20.1744,51.2424,134.4324,80.6938,81.8824,184.2939,2.6798,0.0
MYS_D,73.0817,16.6181,24.1985,23.9666,67.6759,1102.203,129.0696,151.6589,204.4376,112.7291,672.2504,14.7483,267.2888,330.8306,826.895,262.0844,1186.1507,132.1272,104.9291,123.6263,41.6941,118.5213,259.2017,150.707,114.9664,1331.2986,20.3665,10.1497,9.5297,102.4156,12.7759,278.8163,19.8836,180.6977,61.4585,22.986,111.3928,104.4536,46.2462,644.0875,643.1928,334.0549,197.1739,16.6333,0.0
MYS_E,37.6899,2.2795,9.1135,14.9811,12.0445,90.0236,11.0706,9.6205,14.5644,8.3812,63.3567,1.4096,40.8758,23.867,29.5504,24.7344,71.6669,9.1689,8.1598,9.0961,4.0006,17.9953,45.3114,496.0544,25.9981,478.8925,7.0539,4.6287,6.2622,10.8047,4.1606,80.8721,2.3424,13.3995,12.9261,127.8017,26.2264,21.289,17.5612,205.7358,60.996,199.8126,68.9473,2.9399,0.0
MYS_F,86.007,2.8041,30.9716,166.2062,30.4834,3.1183,0.051,0.0642,0.1801,0.1198,1.8093,0.0634,0.4221,0.5744,0.4621,6.6558,183.6276,1.4899,0.6752,1.4089,0.2406,0.3803,1240.2848,22.7106,1159.7898,1500.9709,5.152,0.0539,12.3431,25.8636,1.0381,39.2371,34.5666,288.9508,362.334,357.0836,541.4086,91.0313,214.3934,506.9362,133.6627,54.4277,46.007,0.0156,0.0
MYS_G,1409.3127,178.8192,573.8622,82.6192,92.6584,6845.6872,372.1595,704.5146,684.5094,3829.0253,2182.7469,67.768,1596.4397,947.3331,905.3055,776.9649,4994.082,644.0204,434.5482,963.5512,457.6942,474.2227,615.0126,89.038,3019.8489,2778.2256,516.3163,260.7802,228.2661,412.7624,38.0389,1545.8921,88.8837,104.1393,127.0773,166.8815,277.1139,143.6983,142.4781,505.0095,276.4215,270.3649,142.9247,20.7899,0.0
MYS_H49,85.6333,10.3151,41.3379,6.865,64.6998,423.8139,23.9302,47.4836,54.2533,252.881,159.6282,5.2436,104.5223,68.074,80.2818,67.742,500.4161,52.0306,39.7716,94.5962,37.972,40.7376,37.9676,7.4457,382.4859,191.389,34.5364,13.8568,16.521,30.6365,2.7101,87.7962,4.7018,11.1762,10.7369,13.2366,25.3408,14.6453,20.159,88.1007,35.8043,24.6256,9.6732,1.3169,0.0
MYS_H50,64.7008,7.7339,30.2756,4.9611,25.9946,278.8933,17.0835,33.5304,37.7164,188.2044,115.3859,3.6593,76.931,48.6699,54.2415,48.2346,317.4881,37.0285,26.9309,66.8259,25.8862,26.2004,31.5672,5.9225,162.0413,142.4218,26.4666,10.2567,11.236,22.1686,1.9616,60.8983,3.3343,6.4171,7.7584,6.9298,15.9466,11.9992,9.0129,30.3963,17.38,16.6401,7.0331,0.9986,0.0
MYS_H51,44.6085,8.5304,134.9838,3.7759,17.8262,207.2778,12.8073,20.1516,23.4148,86.555,85.1079,3.2922,48.9827,32.5209,47.6149,39.7775,207.1871,31.0602,25.6748,46.4118,21.5376,28.2895,17.8068,3.4819,338.5755,69.6039,12.8352,7.1793,92.1646,14.5294,1.4019,67.6701,10.8238,129.1654,83.7195,304.7057,8.7323,180.3984,171.8354,489.5127,58.4182,65.4809,4.1206,0.5347,0.0
MYS_H52,57.1531,7.8754,134.1275,4.8933,149.7024,306.1191,22.3891,32.3322,37.171,174.0913,109.8742,3.5599,76.04,48.5278,54.7643,46.4926,318.7779,36.1265,28.0662,63.3146,24.5891,36.2391,26.1622,5.3502,203.3497,144.8909,263.9751,212.5058,1473.6444,642.1659,5.954,57.3957,3.2506,8.6216,7.6353,11.7875,38.6758,11.1717,17.4509,454.5633,24.9154,18.1371,7.1964,0.903,0.0
MYS_H53,2.2755,0.1194,0.4623,0.2278,2.8524,12.8701,2.0801,1.1651,5.2868,0.4377,4.9141,0.4074,3.1153,1.7176,2.6816,4.3152,14.9201,2.3609,1.7742,1.3745,0.8857,2.4399,1.0482,0.2997,3.6982,64.0654,2.1685,1.2162,0.6268,3.0179,86.0975,2.4914,3.5815,2.7426,17.4941,48.2787,4.3314,19.0694,8.755,32.889,84.9258,2.6629,1.4218,0.458,0.0
MYS_I,72.5796,11.1135,41.3087,7.805,11.7163,121.534,3.3977,3.5077,12.2043,4.9306,25.7604,1.4612,11.8189,10.4,21.6859,21.6996,36.5315,7.1605,9.7595,9.4652,3.3256,10.7295,2.1018,1.4535,15.483,522.499,4.4656,59.7816,300.1514,113.4524,0.8002,322.0596,23.8415,103.4166,126.0217,454.9074,39.9369,122.8005,159.1635,572.0994,197.7685,153.1779,177.4577,2.399,0.0
MYS_J58T60,0.1112,0.2518,0.5964,0.1621,2.9249,1.0831,0.0086,0.0098,0.0436,0.0159,0.6211,0.02,0.1316,0.1802,0.1122,0.0976,3.657,0.5236,0.2009,0.4313,0.0602,0.1179,28.9614,0.1085,0.0606,2.2695,0.0083,98.8802,0.0692,0.0225,0.0949,128.3133,553.1327,68.8836,0.0673,211.5738,0.6709,71.0315,185.0349,199.7356,66.4247,2.1457,10.3268,0.0026,0.0
MYS_J61,27.589,4.5545,47.4105,3.6431,21.31,123.5577,6.6865,7.1723,22.4996,3.7146,38.3553,1.8015,16.2596,13.9062,16.5683,25.5741,88.839,14.3969,13.5401,13.4496,4.1376,18.8357,11.8727,5.7619,244.5459,973.815,19.539,6.4592,10.415,29.5332,12.3814,138.4758,150.0153,4194.9272,154.0274,339.1631,163.2136,112.2349,88.3899,155.6062,57.8829,41.2018,439.66,337.1286,0.0
MYS_J62_63,1.0771,0.4047,6.1476,0.4598,9.3199,8.6086,0.367,0.4097,2.9445,8.073,11.4761,0.1917,2.2274,4.0722,2.3846,4.1,21.7621,1.9888,3.3799,8.0854,1.1633,1.3022,11.7612,1.1813,42.7187,5.9602,3.0089,2.8368,5.7262,20.488,9.6998,27.6164,78.7784,1292.6467,1407.6925,29.5102,6.0297,9.8338,3.4031,32.8957,10.0669,8.803,0.517,0.0918,0.0
MYS_K,393.4615,44.3389,221.7004,51.204,84.0192,591.5366,54.7958,72.8535,118.9145,144.3517,335.6383,9.6307,138.4488,127.6314,206.2879,162.3078,677.5121,93.8369,153.8753,160.4525,66.4067,113.5193,101.2218,86.4899,1252.8232,4904.8396,120.0968,56.0473,201.8595,146.4355,39.9695,170.8701,60.3049,156.9938,159.0963,7051.835,793.4961,680.5403,215.4307,116.9075,154.5625,303.8912,236.2311,166.276,0.0
MYS_L,21.8117,5.1144,20.3444,1.2332,13.5972,19.4158,4.9552,6.7765,10.7447,13.8246,14.9809,1.4095,10.2785,13.3869,27.4363,14.9498,72.9462,6.1839,21.3007,38.3009,13.3717,9.5908,3.081,0.1964,48.0739,357.0266,7.6149,6.4168,54.1757,11.297,0.2619,47.082,3.46,31.437,8.2683,83.8592,506.9258,42.7985,95.4553,141.3565,45.5011,16.6442,11.4111,1.5394,0.0
MYS_M,31.0429,8.6151,30.6628,11.0293,21.7295,143.5699,17.0093,18.2012,23.0224,29.7303,61.4306,2.8276,28.4182,27.6834,21.3386,39.644,146.7387,17.6641,28.0118,36.6294,55.32,23.3031,25.754,10.4335,104.2637,161.7843,23.2781,20.5462,36.2972,54.0919,4.0234,44.7337,31.0542,142.0771,62.1016,1126.8583,93.8233,179.5727,203.9078,92.6055,71.7518,36.9809,144.2813,2.5114,0.0
MYS_N,16.4161,6.0566,21.3872,6.244,60.6343,171.1896,2.7973,5.6427,8.7277,16.3691,59.0316,3.0945,13.7265,17.3519,17.2655,24.1554,168.4718,17.961,15.2773,36.196,33.6961,11.3244,1.438,16.8865,81.7686,412.7788,129.7588,97.4892,30.2257,107.5674,13.549,55.4356,27.6288,133.729,55.8969,231.9062,52.6028,75.9117,584.5661,164.3478,53.799,37.6168,107.6509,25.5862,0.0
MYS_O,1.1995,0.0381,1.7021,5.1993,7.6184,3.3303,1.964,0.332,0.6022,0.3345,1.63,0.0933,6.2267,1.6629,0.6745,0.8509,2.923,0.4471,0.4069,0.9298,0.3652,2.7413,0.6195,158.7355,1.7949,88.9614,0.9882,0.901,0.1486,2.7632,0.5004,12.0549,0.3418,2.6858,1.6408,48.2859,1.7877,3.9215,2.9563,1216.5098,1157.9909,150.1953,4.5169,0.2287,0.0
MYS_P,0.1664,0.037,0.167,0.0093,1.6901,0.2798,0.0835,0.0708,0.0918,0.0938,0.1524,0.013,0.1247,0.1172,0.2116,0.1259,0.5391,0.0595,0.1446,0.2909,0.0919,0.2668,0.676,0.0104,0.3433,3.933,0.0653,2.2749,0.3306,0.0977,0.0108,0.3563,1.1562,0.2071,0.0915,3.8916,3.0696,0.482,2.7074,315.2796,251.5416,11.2831,0.6968,0.0159,0.0
MYS_Q,0.0,0.0,0.0,0.0,0.8293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.4856,0.0,0.0,0.0,92.0764,0.0,1360.7036,0.0,0.0,0.0
MYS_R,0.0,0.0,0.0,0.0,0.2929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.5583,19.7069,199.4664,39.4777,0.0,0.0
MYS_S,13.2744,4.3586,0.2615,0.0242,3.5601,11.0614,0.4042,0.0746,7.6533,0.2327,96.2236,0.2952,19.4896,25.8557,11.5891,27.1113,106.6,16.6399,16.9022,16.9747,46.9118,15.6267,0.2437,23.4873,19.7235,30.4631,30.1984,0.056,1.0115,14.9503,1.0303,3.1715,1.9781,38.0114,16.1077,15.0499,12.5661,15.1135,2.6836,46.1966,20.0657,11.9614,7.4981,50.983,0.0
MYS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
