V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_C24,2.121,0.2767,67.3878,8.9476,0.4003,0.7761,2.3017,1.9184,2.565,1.7694,4.015,0.7885,5.6756,13.327,319.1877,177.3974,45.615,98.3055,81.9992,82.5034,9.7809,44.9634,2.6716,2.3209,170.6122,12.6726,3.3742,0.5798,0.324,2.0905,0.03,0.0961,0.5552,1.0444,0.1927,0.7552,3.8458,3.9576,0.9643,1.5551,0.4848,1.1847,0.2463,2.4788,0
MMR_C25,9.0011,1.9058,49.8835,12.6265,0.3246,4.0585,7.5314,4.9749,3.019,2.8103,3.999,1.1432,5.3858,8.1541,17.3944,63.2533,20.49,19.0938,34.8076,38.2016,5.3077,24.1015,3.2886,1.1353,164.4672,22.7388,4.6872,1.1343,0.8813,3.8721,0.2005,0.8062,1.0548,3.6929,0.7797,2.0746,7.9869,7.4314,3.6791,12.5517,2.6292,3.3084,1.2011,5.2039,0
MMR_C26,3.5539,1.0967,4.9857,1.2573,0.0374,1.0035,1.7357,0.2845,0.9126,0.6035,0.6885,0.3519,0.7348,0.6837,0.6618,1.1744,94.2179,7.7842,3.5903,4.5759,0.6357,3.8401,1.1446,0.2255,9.6685,10.1758,1.6534,0.4237,0.656,1.0372,0.2278,0.4571,2.1144,20.9683,4.7246,3.5068,1.4317,5.7441,1.8519,5.6293,2.6043,8.0515,0.8525,7.2084,0
MMR_C27,2.5662,0.8574,7.1691,2.0417,0.0457,0.6295,1.5164,0.3675,0.6325,0.5979,0.6345,0.2223,0.8841,1.137,2.0215,2.6761,28.8473,46.82,9.5786,12.4122,1.374,6.6822,5.2439,0.3149,53.7163,12.8922,3.2032,0.5412,0.5049,1.4845,0.1356,0.4293,0.929,10.1102,1.1031,1.6541,3.5079,3.8432,1.7986,3.1932,1.2546,2.1795,0.8233,6.0674,0
MMR_C28,7.002,1.3504,32.0097,11.2131,0.2437,1.0239,2.7721,0.9844,1.7156,1.6766,1.2637,0.4552,1.4222,2.6782,2.4008,3.9962,6.2428,4.9273,26.3778,10.6588,1.4277,6.9019,2.2767,0.5487,24.735,12.9818,3.1347,0.8412,0.9426,1.8567,0.1362,0.3459,0.6165,2.5274,0.5781,1.1945,1.9152,2.9901,2.0573,3.7925,1.0121,2.1378,0.4776,2.2708,0
MMR_C29,2.8554,0.664,5.1218,2.2853,0.0339,0.6523,1.5238,0.3207,0.453,0.4082,0.49,0.1905,1.0293,0.9379,3.6631,2.1594,2.4114,2.7907,3.621,111.2867,0.9824,3.4327,0.4394,0.3325,6.629,51.5553,14.209,0.3466,0.6183,1.8921,0.3053,0.2186,0.3292,1.3993,0.2636,0.8405,0.9824,1.6267,2.2953,2.8195,0.5813,1.1101,0.3281,1.5881,0
MMR_C30,0.2163,2.5111,1.1119,0.3195,0.0038,0.0444,0.0838,0.0281,0.0321,0.046,0.0298,0.0141,0.0673,0.0607,0.0685,0.1674,0.3762,0.1779,0.3882,2.8785,12.6782,3.7914,0.0576,0.0197,0.7415,1.5161,3.5277,6.906,5.5973,0.7824,0.037,0.0234,0.0476,0.0963,0.0257,0.07,0.1007,0.2423,0.3997,7.717,0.0893,0.1446,0.1099,0.4838,0
MMR_C31T33,13.8577,3.5323,33.6821,10.6757,0.2227,2.0903,19.497,5.222,3.6588,2.9116,2.714,1.6178,2.5146,4.4275,3.9594,3.9126,9.2086,3.7345,4.5929,6.2789,1.0929,46.0335,5.0945,1.1682,33.6893,25.9147,11.2045,4.0163,6.6589,5.5065,0.6678,1.9382,2.9832,10.5127,2.2335,12.0288,9.64,11.0691,7.0695,17.9671,11.7728,57.82,6.1429,7.6566,0
MMR_D,20.421,2.8318,60.4791,29.7994,0.273,3.2872,14.5751,4.7038,11.7377,12.9613,12.7409,2.3671,6.2468,18.7882,21.1508,5.6448,7.1537,3.8554,3.902,5.6066,0.8182,5.6065,93.8753,3.9409,9.723,45.6291,13.7278,0.9146,1.0783,8.7107,0.9551,5.2308,4.0066,20.5993,2.3112,12.5976,33.4118,10.6262,5.5721,33.9518,20.1549,23.7064,6.6223,8.6888,0
MMR_E,1.8724,0.2516,2.7237,0.9974,0.0157,0.3456,0.9948,0.2155,1.0839,0.5049,0.5767,0.1746,0.357,0.7501,3.6028,0.4773,0.3643,0.197,0.2495,0.234,0.0528,0.3604,1.2325,2.5661,1.7504,3.5699,0.7493,0.1558,0.1089,0.6087,0.0769,0.5884,0.2601,0.6543,0.1869,1.1118,4.3797,1.1673,0.7622,6.3696,2.3202,2.9166,0.6449,1.1069,0
MMR_F,11.0583,2.0956,25.4636,8.8422,0.1823,1.7807,3.7966,1.4473,1.434,2.9731,1.556,0.6399,1.1345,4.6058,1.8353,2.1528,2.313,1.539,1.7086,1.8072,0.3671,3.4039,8.965,2.1096,272.4763,25.0837,10.0813,1.3566,1.7415,8.7195,0.6258,2.0404,1.7365,12.1218,1.5045,11.0252,141.5818,13.4234,4.9468,51.0802,12.06,10.1873,3.1204,4.0505,0
MMR_G,1054.3103,340.0453,125.9958,59.8975,1.2884,337.5439,368.0596,33.3215,48.2377,63.2866,66.5315,32.0636,43.6623,55.0954,43.3633,33.7396,64.9172,34.7234,41.6454,85.6256,10.2732,66.065,24.2072,6.9788,209.2059,740.358,198.0868,28.9002,32.7698,35.7465,6.3347,117.7284,35.4449,70.2639,17.5527,46.6854,40.4926,56.8277,56.8318,112.1059,47.7678,105.637,22.7397,37.4248,0
MMR_H49,231.6878,68.9982,120.2129,58.5516,0.6303,71.8539,42.3111,11.8319,16.4079,31.7044,19.3282,4.9372,11.5776,32.1045,20.4188,11.4115,12.2799,8.4579,9.4521,15.2493,2.2994,14.6736,9.0563,2.3718,71.5411,200.2226,132.4684,10.6306,7.9038,48.6701,7.124,20.3576,7.1068,10.1358,3.3955,16.0031,8.8027,16.9077,13.6025,36.263,19.8242,20.2067,5.2417,11.7704,0
