V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_J62_63,18.0512,0.1305,1.8891,1.3181,0.1966,55.578,5.6233,6.652,36.5173,1.3401,9.9006,7.3341,8.4954,10.3847,3.8769,12.3111,57.009,68.299,42.1645,98.8375,3.1307,135.2106,34.4576,9.9836,48.9236,352.0477,23.8758,0.0558,1.5267,61.0786,10.3153,20.7794,33.417,86.6733,1179.9126,492.466,71.5639,325.3165,51.4432,62.9296,46.2302,32.0696,51.6627,70.7441,0.0
CZE_K,189.367,1.0055,17.3184,7.5842,0.582,74.77,27.8407,24.1602,63.5085,7.6937,33.7477,16.8975,80.3617,49.7656,45.379,204.7798,43.9349,65.8985,144.5053,143.8099,23.8646,118.9319,254.9834,87.4573,340.1218,844.8198,408.3728,0.7928,84.687,122.834,10.2227,55.6525,32.6042,29.8254,60.7524,2611.7557,2043.3493,477.3313,247.3321,101.0873,58.5934,142.1953,93.2307,101.5977,0.0
CZE_L,56.522,2.9956,5.0479,1.9798,0.5808,119.1212,37.6397,20.263,35.4321,2.344,18.5935,15.8954,38.9731,19.38,14.5937,52.6483,173.7184,50.9369,130.3296,121.7041,3.3934,129.6898,135.6242,256.358,342.4533,2389.5401,70.8328,0.8914,13.3339,353.3523,12.4733,686.1514,78.5497,96.8656,277.4451,404.011,1903.7763,751.1357,178.715,258.9931,210.2771,248.2198,242.9181,105.1715,0.0
CZE_M,227.0968,0.633,19.1039,19.9425,1.4866,322.3467,65.5805,23.2704,41.8718,6.6551,141.6451,122.192,155.1668,81.969,28.5349,239.1817,362.8883,159.1787,349.1451,514.845,21.5142,145.6178,179.9057,189.2004,3197.4063,1736.472,126.4811,1.6567,6.6692,207.1721,20.2551,157.0278,102.2576,89.1798,197.2303,365.9138,885.8206,4004.2872,269.8844,416.4079,122.7271,151.2161,132.494,59.3727,0.0
CZE_N,55.1794,0.4417,20.3973,6.7305,4.4969,97.5871,10.6245,12.7303,21.4208,4.0394,28.0211,8.0749,54.1972,29.1419,41.2684,74.6069,152.7084,58.8347,116.9464,179.982,12.0894,41.572,88.0082,73.3545,247.1274,496.5222,134.6474,2.983,56.7022,102.461,7.719,129.6894,21.3841,21.9422,104.1211,207.3513,534.1766,226.0571,1425.687,471.3698,51.306,70.8298,102.0807,36.7675,0.0
CZE_O,54.3133,0.1043,9.1182,7.78,1.3506,18.0897,3.7446,9.9787,10.7703,5.6884,6.1575,2.8375,9.1017,21.8593,84.3816,26.7722,13.646,8.3196,14.7026,42.5198,3.8258,3.6963,36.9309,97.1315,36.947,80.8223,152.9032,2.2703,30.5514,212.8988,6.3065,4.8517,13.6667,2.44,21.9186,54.5861,38.0323,41.4157,44.2367,222.9049,4.3702,25.9095,16.4683,10.9969,0.0
CZE_P,11.2479,0.0565,1.0518,0.4602,0.1054,6.2958,0.6617,0.9474,4.5505,0.1673,2.0393,4.8923,6.0704,3.7736,2.5365,4.7087,4.2629,6.0219,9.9096,58.5749,2.1554,5.5574,19.8999,3.8294,10.4671,45.2249,14.1004,0.147,1.7914,24.4494,11.4469,9.1668,3.2729,3.562,19.3669,52.0973,102.645,84.9214,31.8344,101.8884,252.4432,14.8659,7.537,9.5575,0.0
CZE_Q,5.6317,0.4291,0.2803,0.1526,0.0213,14.0347,2.2261,0.4779,1.1609,0.1854,1.861,26.9128,4.3727,2.8515,1.0319,3.935,2.7377,1.6819,1.9222,18.9485,0.4866,3.3109,3.692,4.5726,3.2603,20.4486,15.063,0.0302,0.6323,3.2759,0.1245,9.7383,1.7391,0.8064,7.234,8.5634,13.8781,16.8309,12.1315,13.8063,2.8245,313.7444,11.7651,5.9006,0.0
CZE_R,3.4058,0.0078,0.151,0.3284,0.0113,4.8045,0.9517,0.8578,0.6418,0.0828,0.9141,1.08,3.2582,2.778,0.6485,1.8007,1.2684,1.0558,1.6286,7.7616,0.3041,1.2881,1.8702,5.6332,4.0446,12.3451,2.781,0.0206,0.244,1.0412,0.0906,52.751,13.5998,3.8766,5.0013,2.9247,117.6564,29.5396,11.9513,5.5916,6.4437,9.5611,692.8716,72.9215,0.0
CZE_S,8.197,0.0125,4.3355,1.3308,0.7037,26.3653,6.4226,10.2484,9.308,1.0695,18.0004,0.8203,3.5629,1.7608,6.2924,30.2655,18.2204,18.6346,17.2047,7.8033,0.6217,51.3543,8.2246,3.7896,16.2916,162.2072,9.318,0.071,30.1565,49.5721,4.0176,43.5263,6.7074,6.4627,19.1034,73.9956,37.2789,35.5135,22.5517,3.0585,25.6995,95.4431,37.6748,157.0311,0.0
CZE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
