V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_C20,1648.7194,5.1228,610.6042,295.0808,67.3713,1710.8577,578.0263,96.8414,625.3919,1189.7058,5859.2691,1356.1528,3140.302,551.2079,337.9198,273.6655,354.5779,488.2661,138.4852,1466.2042,21.8479,524.9922,543.8104,82.284,407.6527,385.9594,770.2003,4.2656,4.2448,55.0037,7.1353,355.4835,95.3047,12.6783,5.2794,16.7701,237.9453,253.8704,366.696,286.3328,106.7769,535.4343,103.8176,123.151,0.0
MEX_C21,138.4713,0.2573,5.2109,2.8461,2.118,185.1442,7.1335,3.8684,9.0095,8.9032,54.656,2241.0058,24.9615,7.0179,2.8589,6.4502,15.0287,4.4278,9.0524,13.9895,0.2421,114.7479,3.6399,0.6816,7.5264,22.1045,7.4627,0.1168,0.9639,6.3612,0.2788,5.5562,1.8392,1.2252,0.3071,17.0889,16.5665,81.2357,21.0274,227.965,13.7195,2607.777,7.7759,11.2665,0.0
MEX_C22,93.4418,0.2513,5.3302,4.2988,15.8729,843.0732,171.487,6.9748,185.0808,18.066,197.8201,41.1723,324.6399,61.9332,34.1271,142.0585,608.9306,307.1113,163.898,3838.6987,59.9817,481.6682,9.4667,33.1062,983.4803,1422.1819,318.89,4.0218,70.4208,80.5488,15.3041,200.8598,3.0748,2.4614,0.4215,11.9145,16.217,10.1875,41.2441,81.8374,8.7359,148.3639,23.1669,38.5431,0.0
MEX_C23,46.2474,7.3272,8.4325,27.7661,170.0961,819.0239,10.2392,2.1215,9.8359,21.6312,132.624,9.7044,93.7857,1970.0678,80.5084,126.6569,116.4724,153.1239,46.6197,1660.1026,9.0838,94.2437,24.3898,18.9784,7489.395,227.4676,51.0607,0.4332,4.4804,12.6706,0.942,171.71,1.9093,2.0,0.8683,8.1995,23.0756,18.761,17.3274,46.3428,5.1019,39.2005,2.9999,14.4152,0.0
MEX_C24,64.725,0.4261,14.8482,16.1716,61.4833,39.5707,11.348,2.1081,31.5029,15.4216,29.8137,5.1675,71.3112,86.6721,3913.2431,3451.919,503.9728,2132.9386,1471.7258,5501.5374,515.4031,500.0471,48.2222,21.1425,2489.3783,179.4847,17.5616,1.1508,20.7834,32.2667,3.3819,26.5128,17.0896,7.3297,10.0941,17.1926,16.2631,20.0025,35.0226,40.0242,5.5301,9.1931,5.0339,14.0938,0.0
MEX_C25,118.3372,0.1464,89.3605,84.0977,160.5325,353.0382,31.5015,6.8593,11.7069,94.484,64.4695,2.9649,111.3444,55.8697,742.9343,1252.4445,496.0422,570.3513,545.9223,4041.6752,103.6671,220.0711,22.7802,74.7934,2826.5777,268.576,35.9541,0.5445,4.8818,64.6674,1.199,49.7797,54.3536,28.1671,1.5019,10.181,32.4116,13.308,74.1304,49.0605,43.9907,30.1969,10.5057,41.3067,0.0
MEX_C26,14.6296,1.9686,14.61,56.4236,36.5724,76.7407,44.4713,11.7037,79.5041,33.6887,72.7403,28.0004,66.2661,44.5336,110.2174,160.0126,350.7818,955.4753,325.4785,3413.7088,60.6581,711.9858,71.2318,41.1643,557.6536,488.8918,45.2716,1.1574,18.3222,466.4335,4.8324,102.0311,172.7307,1599.975,141.576,30.6569,142.686,165.2401,179.2103,210.6273,108.049,89.89,23.3957,23.4504,0.0
MEX_C27,31.7813,1.6574,17.5308,50.205,22.0465,35.9435,13.5,13.514,7.9217,13.7163,13.6591,3.0792,46.061,21.1946,119.8246,148.2109,1092.1488,1145.6331,301.5226,1851.0285,49.9786,139.9695,181.8218,7.9829,802.7097,198.1366,96.8163,1.1208,8.568,18.3135,2.5882,16.0315,28.3903,91.8283,2.5488,2.9086,68.3234,11.083,18.1926,17.5255,9.7408,11.1588,3.9328,8.0088,0.0
MEX_C28,37.2667,1.2701,40.3735,40.8823,57.4081,212.9732,50.5472,4.049,24.2778,30.0576,24.412,6.257,32.814,30.5975,90.1882,102.7079,430.7908,181.2896,713.4816,1193.6664,48.4511,125.0912,7.4537,9.3466,468.646,229.3289,290.1643,9.6172,8.5323,87.3134,1.3169,12.1095,8.0841,7.8511,3.886,10.687,9.1676,8.0623,27.2846,25.6058,5.395,11.5166,4.7241,19.1189,0.0
MEX_C29,53.4894,1.4052,19.5139,77.0132,41.3169,207.1479,104.296,10.6233,28.9248,13.6719,60.7799,25.767,59.0584,64.1219,106.8156,140.2377,315.4955,342.0372,307.3518,10148.869,153.0657,205.1334,48.6562,29.9523,814.6998,769.6139,1319.0319,2.3647,33.6994,53.6416,10.728,68.0228,58.7234,113.8181,8.5918,5.0938,131.7558,69.0184,122.6897,69.5333,27.341,31.076,15.9798,60.9509,0.0
MEX_C30,2.1845,38.2787,0.6709,2.0435,1.8661,6.8603,1.1104,0.1731,1.8381,0.545,1.6994,0.346,2.663,1.2524,100.5805,26.1392,16.3979,33.0347,11.5178,201.1032,1102.7339,77.4343,1.0424,0.3348,28.6465,21.0294,96.4178,6.2607,64.5628,1.2671,8.8839,4.0231,1.7552,1.1608,0.1715,0.4267,1.2625,17.9792,1.5714,83.5184,0.456,0.6808,0.4122,2.0703,0.0
MEX_C31T33,46.7946,4.1579,38.0363,108.1294,128.2564,277.8884,177.6911,18.7016,83.598,17.2654,66.4108,28.4232,77.8205,73.3951,71.0135,122.4673,611.122,180.6873,136.2549,708.6156,56.0931,466.7793,28.3747,19.5012,439.4256,250.3804,93.9854,2.6609,8.8775,30.5067,3.9815,134.7494,81.2703,61.9902,8.0591,120.2492,82.372,184.5428,126.3746,163.3597,99.1068,446.7732,81.2323,32.9067,0.0
MEX_D,205.2748,7.8924,87.5482,629.7524,79.7162,1895.6401,536.9363,103.7011,371.3176,26.5733,414.42,117.6142,729.0951,1353.3103,1055.5221,744.4146,543.4429,445.4274,247.852,1194.1247,86.5258,346.7944,58.6955,939.3091,110.8531,2411.4382,171.5762,2.7632,27.531,150.9971,13.1776,393.5352,142.4927,69.1417,16.1549,200.2582,375.3571,372.6438,414.8022,1180.8548,617.9665,432.2878,101.0933,153.5122,0.0
MEX_E,504.9063,1.9947,40.2569,58.401,21.3727,254.6184,33.0015,3.6986,35.5486,0.8863,90.311,21.9924,37.6189,23.2044,39.595,72.7242,79.0232,74.2363,14.5107,115.365,3.3582,36.8701,12.5708,324.2986,270.1718,422.2896,59.2931,1.8561,2.5247,95.1935,2.7244,197.1694,5.7355,1.2341,1.1048,66.8356,203.8027,69.3781,93.3325,228.2635,245.2419,190.8337,27.075,35.653,0.0
MEX_F,6.1232,2.3826,25.1665,144.5203,239.823,195.9399,23.8082,8.069,46.9424,3.6804,45.6322,30.7725,29.3064,29.7302,33.9064,55.8632,23.7017,27.5313,17.7388,145.8931,9.503,31.3703,90.7622,163.0861,7344.4933,403.4811,249.526,12.9162,50.2558,88.6302,24.0923,222.2474,34.925,13.0558,10.7987,153.539,938.9957,134.4526,74.7608,419.5043,219.5321,263.7629,53.3142,57.321,0.0
MEX_G,4435.5791,196.4464,675.6939,604.4576,599.6452,17328.6311,2276.314,490.1269,2192.1956,4822.6724,5287.5084,2302.2854,2587.1955,1701.8827,2859.5495,2249.8022,5288.9847,2137.7413,1824.5144,11221.9516,1179.1243,1942.0049,1512.1746,245.3128,7400.2093,3752.0763,5259.239,60.4619,834.7882,359.9401,116.0674,2036.0207,223.4774,352.8463,41.1075,293.4431,728.6548,556.6498,830.8237,1587.7777,395.9673,2274.4483,172.5395,313.7498,0.0
MEX_H49,523.5369,29.8462,98.7522,101.535,89.1472,2173.1911,193.3003,74.7665,263.3989,927.1988,1175.361,223.9809,318.8254,417.2395,890.3466,449.3205,537.2723,362.2551,263.5612,3555.2377,169.5911,252.378,235.9895,34.2682,1844.2818,2234.4132,1448.3868,6.4713,173.6403,93.5934,23.7112,230.0566,66.6696,45.8049,14.7488,51.4657,101.1047,208.8253,488.8995,475.4447,184.5799,303.5206,44.9968,72.6397,0.0
MEX_H50,3.156,0.039,0.6991,0.7253,0.6499,10.3486,2.4819,0.3286,2.2529,5.6912,5.8268,1.8432,2.8737,1.7046,4.2565,2.9116,14.0712,3.3505,2.6138,21.7574,1.17,2.5247,1.6241,0.2549,7.9593,2.3241,5.8255,0.0284,0.7232,0.584,0.1253,1.3253,0.2821,0.8413,0.0866,0.1784,0.5717,0.6,0.9371,1.2202,0.3889,1.6286,0.1843,0.3603,0.0
MEX_H51,32.3673,2.767,41.7643,12.3298,11.1266,115.2645,31.8089,3.5766,27.0972,65.1042,69.8138,36.6267,41.334,21.411,46.0812,36.9523,204.9318,41.7722,35.5757,255.1664,21.4276,30.3973,20.0579,2.9801,114.89,80.1739,82.2709,0.79,15.6788,8.5498,2.0776,15.1494,23.2058,11.2336,1.9237,50.2518,16.8403,45.5411,48.2496,122.7666,14.1805,20.1673,3.7037,4.7106,0.0
MEX_H52,54.3962,9.5595,15.1268,9.6162,8.5275,550.0612,43.5859,8.8566,62.7789,76.8001,137.1411,205.2138,79.5127,114.9214,95.8801,82.2588,73.6998,92.7767,88.9195,491.7013,23.7794,143.5037,25.2694,3.9999,130.9909,1583.091,1371.616,382.7003,1692.9293,284.5653,55.6725,44.5816,27.7055,3.9456,15.6825,146.0613,10.3293,53.9081,78.8986,93.5147,49.4175,21.2876,3.9417,6.12,0.0
MEX_H53,0.2496,0.0677,3.3443,11.0862,0.1207,55.5593,9.3278,3.5265,6.0121,2.6549,21.7014,19.3742,6.6421,12.503,18.1659,23.0682,11.1851,9.081,35.1805,98.4291,4.6295,8.0287,0.3606,2.1604,20.3966,134.2345,26.6078,0.1118,0.9559,18.3533,38.1957,21.503,14.5445,207.3726,1.2726,247.749,246.7885,81.1416,60.7387,71.4149,43.2908,21.9982,7.7409,13.3171,0.0
MEX_I,4.262,6.2145,42.1719,17.5811,13.9106,79.2182,17.8635,33.3279,20.6542,8.0139,55.6391,59.5799,42.1236,16.6643,59.8042,100.7575,117.2671,35.4186,97.7276,196.5766,10.3422,51.6061,1.6166,19.9309,315.7925,369.8078,643.2395,52.1332,165.4965,257.3283,52.1564,34.2658,108.8178,177.9326,28.5397,147.2151,75.1427,242.5497,293.6899,879.9018,141.2924,160.7132,39.3813,73.1245,0.0
MEX_J58T60,18.4427,0.0264,13.6373,0.705,1.9357,270.2296,8.148,0.5318,14.9345,0.2643,32.3382,104.2409,2.1376,7.6285,24.2506,16.5425,12.0933,7.2215,71.3276,98.8313,0.163,11.2229,1.1283,6.8959,107.4947,495.1136,22.8861,0.7808,12.6065,24.643,4.7924,59.7133,473.5893,7.0438,3.5239,87.5187,229.2168,164.7131,68.3926,829.8656,118.3539,78.3641,21.2464,8.3545,0.0
MEX_J61,15.2091,3.3548,25.8352,23.0248,30.9307,333.7587,76.611,16.9346,46.1589,17.5398,71.2238,50.5661,41.6556,59.7532,143.1103,132.6925,518.7402,94.8662,126.5784,574.1781,49.287,125.2049,25.8471,15.3544,1300.6185,857.0307,309.2551,9.0997,171.6062,101.9404,15.8287,115.8364,103.6819,658.3139,31.8878,566.4164,560.4447,407.303,358.097,1145.6419,247.2867,236.0107,38.7404,124.1001,0.0
MEX_J62_63,0.0569,0.0118,13.6208,12.4968,0.1198,24.975,2.5814,0.8508,2.7791,0.4319,6.6886,0.3001,1.6949,3.0555,14.2398,5.879,13.6495,4.4279,19.7797,53.1733,1.2371,4.0169,0.5356,6.309,21.895,54.5639,26.5088,0.1101,4.0789,4.9241,0.8122,14.7739,13.0958,54.0835,12.1133,240.2805,34.0906,18.2357,5.1607,151.3935,36.2888,44.4722,7.0994,6.5458,0.0
MEX_K,281.8947,19.8065,40.3401,140.3261,65.6034,602.207,193.8264,11.0789,94.4604,115.4507,294.0913,107.9487,122.3204,96.4926,185.7865,253.3916,520.2166,123.4886,180.3395,789.3764,69.4602,99.1564,122.6188,59.3167,1451.1889,2282.808,358.8317,11.144,68.8433,69.027,7.1702,304.4483,52.8183,486.6447,60.4236,3806.1901,2400.2959,1340.1584,305.9571,1379.6481,136.2307,197.3985,126.3069,28.9435,0.0
MEX_L,2.7689,2.4345,97.3816,19.5855,30.2054,739.4129,208.3343,17.0016,125.413,8.1076,113.8257,105.4516,146.4373,136.2823,116.0571,199.5917,295.8161,145.0403,143.3132,494.768,29.6553,625.5674,11.248,12.5976,576.7819,3584.6979,541.4052,51.0645,103.7922,635.1173,40.7018,357.4707,666.7603,1074.7874,179.5135,1750.3254,3327.0979,1151.0991,825.1438,1521.1478,357.2549,576.4866,258.1753,723.7818,0.0
MEX_M,25.1501,17.7422,1130.9054,376.1162,500.0019,1516.3237,124.6269,29.4666,144.7407,720.2615,737.4358,182.0872,142.0486,200.4148,422.2566,215.0967,524.6074,224.4559,414.5936,1359.8736,36.4942,170.2807,157.5702,54.0867,1746.7191,5572.1678,550.6209,21.0369,106.8266,231.1,52.4237,644.7835,631.9771,564.6886,83.4517,5314.5946,1306.722,830.4275,1526.0387,3439.2886,431.7416,645.6943,212.9344,171.3789,0.0
MEX_N,55.7497,56.9459,216.1311,719.1731,540.8857,2866.0655,607.7259,45.7886,472.3912,198.7702,1029.6506,1205.9685,1008.7217,983.7844,534.3476,826.0253,1100.8731,794.7428,453.4106,3793.4624,267.1468,348.5638,141.2596,97.8898,1638.5663,8626.8906,1776.599,281.5468,747.4502,1020.8231,238.2404,1616.1922,1252.2728,622.0212,431.7276,5731.5271,582.2734,1672.9506,1434.2425,1577.9788,657.8019,952.1423,836.1981,252.8117,0.0
MEX_O,0.0,0.005,0.0003,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5295,0.0175,0.0,3.6537,68.8072,0.0021,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,17.9783,0.0064,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
MEX_P,0.1046,0.0093,0.2151,0.1753,0.2582,3.0305,0.2304,0.0167,0.0954,0.3673,0.3211,0.1473,3.154,0.5345,0.4058,0.2416,0.2091,6.5409,3.8559,8.5139,0.5684,0.2082,4.1668,0.0772,3.3268,5.8369,32.4935,0.0354,0.7123,0.1562,0.1323,0.4134,0.2807,0.1955,0.0592,14.7484,0.7973,7.2036,0.7386,176.0975,69.3719,8.6603,1.2651,0.767,0.0
MEX_Q,0.0132,0.01,0.3698,0.3624,0.533,0.5961,0.0633,0.0513,0.0945,0.0765,0.2044,0.152,0.096,0.0669,0.1863,0.1502,0.2146,0.0735,0.1843,0.6321,0.0272,7.2222,0.1674,0.2107,9.3122,1.0046,0.8613,0.0752,0.1671,0.1807,0.041,0.4416,0.1319,0.0332,0.0345,0.5306,1.2121,0.377,0.4816,1.1926,0.4165,214.3755,0.128,0.2223,0.0
MEX_R,0.7603,0.0462,0.892,1.9077,11.5718,7.6032,0.9913,0.1319,1.2033,0.1213,2.4626,1.1423,1.1311,1.2934,0.741,1.6313,2.4966,1.1618,3.056,7.265,0.2695,1.1142,0.1802,0.3447,17.1567,24.0982,4.0913,0.5309,6.7547,1.4237,1.331,95.5509,91.8594,1.9435,1.0822,4.9969,2.0641,4.5163,2.951,62.7804,17.0697,4.0881,85.4273,26.7014,0.0
MEX_S,0.2988,0.0042,0.3108,0.967,2.2597,28.0989,2.4454,1.1381,9.2056,0.2686,26.2046,1.4657,8.6715,12.3948,2.1837,13.8092,5.5769,13.2006,4.4564,3.9032,0.5759,2.9253,5.6156,0.515,19.7838,22.7946,12.8746,0.0179,4.2094,7.7041,1.2091,22.8842,5.7161,10.8463,7.5429,39.8812,28.2008,20.5711,71.4628,210.7134,26.6348,135.4113,12.3504,17.6989,0.0
MEX_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
