V1,SAU_A01_02,SAU_A03,SAU_B05_06,SAU_B07_08,SAU_B09,SAU_C10T12,SAU_C13T15,SAU_C16,SAU_C17_18,SAU_C19,SAU_C20,SAU_C21,SAU_C22,SAU_C23,SAU_C24,SAU_C25,SAU_C26,SAU_C27,SAU_C28,SAU_C29,SAU_C30,SAU_C31T33,SAU_D,SAU_E,SAU_F,SAU_G,SAU_H49,SAU_H50,SAU_H51,SAU_H52,SAU_H53,SAU_I,SAU_J58T60,SAU_J61,SAU_J62_63,SAU_K,SAU_L,SAU_M,SAU_N,SAU_O,SAU_P,SAU_Q,SAU_R,SAU_S,SAU_T
SAU_C20,423.9328,87.8481,183.6464,44.1267,8.4602,160.4907,278.1298,34.8941,371.144,972.1875,1604.5719,21.705,781.1375,248.868,256.0568,165.8664,4.9068,233.2394,41.5644,23.5281,14.1372,144.1042,538.5712,240.1002,2420.9462,1196.8572,66.094,3.0246,296.1926,72.6663,1.9205,410.2675,643.4472,381.678,82.3205,91.422,1.863,35.5876,257.6469,503.0454,124.2111,533.7719,40.932,180.8598,0.0
SAU_C21,8.5765,6.212,15.7222,0.4669,0.9691,7.6684,5.2966,0.9565,8.4037,10.2225,129.3729,69.5034,13.6647,5.9433,1.8847,4.9631,0.1322,3.645,1.3015,0.838,0.0391,2.811,41.724,9.3509,124.8961,53.9152,2.8843,0.1621,21.0937,3.0724,0.167,46.0481,14.3818,30.9339,4.5528,2.5436,0.075,7.0907,21.7525,87.5777,23.6216,92.1369,4.2225,20.3188,0.0
SAU_C22,122.5141,172.3933,33.0829,7.0541,2.9779,183.7801,316.6344,4.6506,27.5905,147.2698,112.9095,4.6359,612.3351,26.1372,9.6305,31.4472,6.8806,200.9795,36.5821,55.8236,23.4399,107.4741,0.7074,48.1396,1098.2616,1205.3371,83.2369,0.0164,29.6767,188.8589,12.2034,123.0617,55.66,120.2281,1.1899,20.626,0.0014,75.5733,44.1232,126.775,32.3003,188.2466,11.6735,59.8047,0.0
SAU_C23,10.8354,1.1475,23.4859,1.0998,1.687,79.5129,0.713,0.862,0.377,42.9133,15.6886,0.9117,4.0248,292.7916,10.3769,16.8397,2.726,18.2641,9.0582,6.4269,1.2559,11.2238,11.0874,38.1731,4428.8008,79.3074,0.4947,0.013,5.8946,10.1532,20.4866,73.3077,0.2137,78.7001,0.0,0.6137,0.4649,39.4342,27.8632,9.4883,9.2494,133.2508,1.8852,40.9318,0.0
SAU_C24,0.3206,0.0,52.3751,16.5225,3.001,1.3765,5.097,0.7646,20.2159,391.8102,6.6277,0.1053,38.6661,44.5528,214.3406,727.5605,6.6378,558.0783,156.8861,79.2785,22.9812,75.2397,33.918,28.9933,2681.7146,138.4435,1.3561,0.0224,27.2642,18.0031,2.7429,119.0372,98.3299,13.1382,0.0,0.0,0.0006,105.4572,59.4622,12.17,21.5982,183.8887,8.0872,63.211,0.0
SAU_C25,9.9824,3.1383,4.3833,1.0184,0.26,13.7209,7.0522,1.1281,3.065,47.7322,1.2457,0.0228,4.1822,9.3346,21.6201,37.6497,0.5646,26.9637,29.1917,5.1369,2.8828,15.5212,7.1739,4.1359,194.4496,38.8761,0.9783,0.0098,7.7698,29.9556,0.0047,11.2743,1.1286,0.0206,0.3165,1.8892,0.5314,8.8631,5.5224,58.3254,4.5918,17.2518,0.3703,10.3061,0.0
SAU_C26,0.0161,0.3649,0.6669,0.0024,0.0245,0.1409,0.112,0.0088,0.5965,0.3852,0.7497,0.0294,0.0406,0.5445,0.0681,2.5509,3.0348,1.2716,1.0645,0.272,0.4193,0.914,0.2284,0.5164,1.5424,4.4767,0.083,0.0073,2.019,1.2591,0.4466,0.7944,0.0456,3.2173,0.1153,2.0289,0.0246,2.3862,0.8985,23.4463,2.1459,3.8853,0.2968,1.545,0.0
SAU_C27,1.4578,1.0894,6.3749,0.1914,0.3211,0.7996,0.3384,0.1295,0.3966,77.2278,1.4673,0.0438,1.7703,2.8002,1.1745,2.6824,5.7005,185.6259,31.9893,7.9104,2.6198,4.6224,0.2148,33.4592,180.5482,110.978,0.0217,0.0013,0.2254,0.4298,0.115,14.2989,0.1423,35.9844,0.1455,5.0154,0.001,11.1879,7.3963,37.351,8.708,22.4616,1.5839,12.0493,0.0
SAU_C28,6.531,0.1453,6.8739,1.264,0.1973,4.2541,4.2555,0.8218,4.1054,102.0329,5.918,0.1651,3.4357,12.3968,6.192,8.7268,0.136,7.0396,13.9873,1.1081,1.023,5.7527,22.4581,4.0658,72.3198,79.9192,2.106,0.0109,4.8033,5.8318,4.0064,10.6682,1.7293,20.8363,0.0239,0.6724,0.0005,2.9861,15.197,98.2291,3.0573,11.7178,1.4909,3.0555,0.0
SAU_C29,0.2627,0.0334,0.2783,0.0008,0.0196,0.0143,0.0002,0.0007,0.0002,0.1423,0.0086,0.0003,0.0022,0.022,0.0,0.0123,0.001,0.0014,0.0057,3.1433,0.071,0.0302,0.0211,0.2767,0.0,30.1321,2.0337,0.0,0.0172,0.7158,0.0,0.816,0.0048,0.0,0.0005,0.0001,0.0084,0.3264,0.5864,1.2097,0.0,1.2564,0.1598,0.3741,0.0
SAU_C30,0.0185,1.4897,0.2565,0.0047,0.0078,0.0,0.0,0.0017,0.0,0.0607,0.0002,0.0,0.0,0.0036,0.0,0.0,0.0,0.0009,0.006,0.0,0.8772,0.0003,0.0,0.1614,0.0532,5.4185,0.546,0.0399,3.9206,0.2943,0.0129,0.5199,0.0022,0.0642,0.0,0.0,0.0034,0.1644,0.2002,4.7069,0.0754,0.7376,0.1376,0.2567,0.0
SAU_C31T33,30.0916,24.6966,257.8143,2.3439,2.862,0.1264,0.2439,0.0068,0.118,0.5531,0.2285,0.0175,0.0337,0.0864,0.1535,0.0671,0.04,0.088,0.7437,0.131,0.0633,1002.9645,28.87,16.606,440.8598,1459.481,56.8626,2.3785,196.4274,95.8647,16.5496,82.404,216.8991,3.3861,0.0201,20.9665,0.4491,65.6175,151.2024,533.7061,41.0581,159.8329,36.5056,70.9676,0.0
SAU_D,47.1846,25.7141,253.7033,5.804,4.9592,181.5653,93.9966,15.3083,184.2359,228.1779,180.0675,4.9642,121.1533,244.0954,123.8162,93.959,3.5373,94.471,39.4766,18.794,6.2907,27.7403,318.404,43.9579,531.3062,1036.056,19.7772,0.7357,95.5882,35.9581,9.9484,156.1811,13.8825,230.7055,2.7725,29.6641,60.3933,20.3096,74.1981,526.9702,112.604,206.3532,67.1068,37.149,0.0
SAU_E,13.3769,6.8413,53.8232,1.2709,1.234,93.611,33.6924,3.1351,14.4795,61.3752,44.1762,1.6221,21.1646,23.5475,19.5959,60.7624,1.2312,38.8679,15.4333,7.8174,2.8361,12.3796,10.5132,20.3348,171.3233,247.9586,29.5987,0.3579,9.8312,6.2126,1.7798,38.644,5.963,46.1939,1.2683,8.9311,13.0656,4.119,17.9374,77.1383,35.3163,43.3352,15.6174,7.0822,0.0
SAU_F,123.8415,63.274,167.1843,14.7432,12.0993,1267.5437,198.4528,22.4301,375.697,1064.7493,475.5111,22.9346,124.3144,644.8844,125.0835,258.8473,18.786,86.7603,134.3935,31.8715,5.0355,73.4195,127.2053,136.8015,5038.8025,1882.7002,27.9579,0.9412,167.655,449.9295,30.5567,426.6619,25.3511,387.5341,28.1399,129.5156,1818.2213,69.3224,8.5169,3494.2155,451.8767,847.7189,110.7357,169.6884,0.0
SAU_G,561.4679,127.9254,313.0809,60.6755,15.6953,1879.6433,530.1887,100.7819,375.437,6012.9311,1758.2177,61.9602,552.5998,568.4867,751.5844,709.6637,24.8933,697.4923,221.2214,153.5928,41.6485,302.1855,992.8449,208.8518,6817.4422,3604.8935,456.137,8.1453,743.6329,159.9956,23.0213,1219.4973,439.1561,456.6869,38.2022,409.737,118.362,236.8766,481.6198,5226.4603,379.2221,753.5932,110.2633,241.1482,0.0
SAU_H49,30.0012,9.4864,24.9442,5.5736,1.3274,185.964,56.5304,10.0497,49.5713,100.2173,154.3217,4.7112,51.5515,77.9746,62.0931,58.6107,1.8287,51.2009,19.449,9.3664,2.9937,21.8267,43.5418,22.4277,429.7288,867.9064,14.3093,0.519,54.6209,53.1156,1.8071,80.8717,54.3202,61.1173,2.6511,6.8787,1.6979,22.5168,26.7712,75.1506,33.8853,65.94,11.9372,22.4809,0.0
SAU_H50,0.1129,0.0846,0.0861,0.0377,0.0056,1.3553,0.1672,0.022,0.1273,0.9972,0.921,0.0463,0.2631,0.3301,0.6592,0.4039,0.0265,0.5098,0.1199,0.0517,0.0492,0.2003,0.8009,0.1063,3.1313,0.3278,0.2409,0.0082,0.942,0.0221,0.0169,0.7887,0.2443,0.0227,0.0089,0.1295,0.0323,0.0992,0.1543,0.852,0.0603,0.3065,0.0236,0.1098,0.0
SAU_H51,28.3271,18.7398,64.6932,3.3022,3.5574,142.443,75.3812,9.9349,46.4765,103.0712,274.9106,13.8149,69.3702,74.0915,68.5252,94.7718,6.1155,86.0964,24.8938,15.3599,5.0253,26.7823,144.9639,45.4301,855.7901,701.842,15.1691,0.6192,327.8402,59.3085,2.1463,162.5736,67.4341,461.4762,15.0778,19.0683,2.1671,69.567,82.4954,321.1156,132.3633,191.5715,39.1002,75.6169,0.0
SAU_H52,24.6025,26.4662,19.6748,4.9579,1.2385,123.8686,36.5017,5.7214,36.7049,95.6845,127.7549,3.4924,43.0663,76.8197,69.1602,51.7058,1.4175,42.0926,16.4618,8.5939,3.2457,17.1151,33.6968,16.9411,278.3773,618.7737,35.9853,1.5879,108.6795,51.4698,1.1753,69.1837,105.4997,284.7052,9.9037,55.9203,1.6178,31.663,37.8679,49.7482,15.3147,79.8825,15.5989,27.6901,0.0
SAU_H53,0.172,0.2198,0.4923,0.0392,0.0285,1.6704,1.0411,0.0664,0.479,0.4725,1.6318,0.0864,0.2874,0.7674,0.322,0.3482,0.0387,0.4307,0.3252,0.0655,0.0112,0.3469,0.6984,0.1519,8.7266,26.1389,0.0196,0.0003,0.2198,0.0755,1.2131,0.9421,0.051,5.7138,0.0216,0.0998,0.2443,1.0209,1.4713,3.6416,0.5313,1.1663,0.1932,0.7012,0.0
SAU_I,29.3506,1.3871,69.0073,0.0194,3.6078,106.1932,100.9213,6.4818,33.2436,315.4253,352.7413,22.7983,57.1012,35.6695,47.307,51.5891,2.5004,27.8776,27.4841,12.9438,9.449,16.3968,89.144,29.7198,479.1726,492.2875,1.4671,0.082,23.4005,99.9836,0.5478,96.5236,33.7364,422.2497,8.1165,42.65,7.8723,75.3729,30.7944,630.1446,125.6707,204.0143,41.1759,78.2152,0.0
SAU_J58T60,2.3743,1.149,133.7498,0.2462,4.1537,66.4671,12.7028,9.5855,89.8597,26.7764,156.1538,7.2142,66.655,43.956,29.6184,2.5135,3.206,89.1353,17.5031,15.3516,6.2201,29.2714,33.9378,27.1223,666.8975,480.567,44.1672,0.548,64.7486,329.3463,5.4354,92.6381,199.5018,19.3923,16.6796,35.3051,25.5396,57.2535,46.3699,487.8775,866.6767,151.1952,61.5755,21.1609,0.0
SAU_J61,45.8825,43.7561,64.9479,14.0076,3.6398,269.2505,129.8314,9.689,55.5965,151.721,258.2455,14.0718,42.5738,109.321,37.6779,37.4224,6.2024,52.8188,38.6215,8.0855,2.0247,41.1824,75.4335,14.0885,411.2366,3370.1889,0.882,0.0312,13.6268,2.8131,0.8589,82.7356,9.9625,1311.7374,10.2389,44.6839,54.4628,47.9549,32.5255,449.016,113.9672,134.2603,20.5797,55.8554,0.0
SAU_J62_63,27.9242,12.7106,49.7382,0.9619,3.2868,257.0942,149.9618,10.9276,65.3016,368.9383,166.1652,10.2592,4.3732,115.8824,51.0311,27.3215,8.3639,50.1309,50.9368,15.6026,4.0865,21.1242,59.7398,14.4842,82.9732,1189.2359,17.9962,0.0867,19.8464,5.4307,2.7618,73.6225,24.1393,1303.1083,410.1088,41.6416,24.5511,66.99,22.4072,428.6988,67.8683,119.9592,15.9841,47.906,0.0
SAU_K,31.9089,33.0136,81.5641,5.298,3.249,347.3072,251.4962,19.9507,117.7672,447.7744,257.0041,10.9293,131.6859,149.4903,108.6188,111.9481,8.4263,113.4169,75.5822,30.03,12.7396,92.6735,210.5483,50.464,1524.1238,1844.9881,86.3742,1.3096,210.7993,42.0923,3.4777,238.2693,42.2248,367.0971,21.8819,614.3609,0.0439,168.0794,80.4352,1111.8987,262.567,457.6264,38.6974,99.0115,0.0
SAU_L,3.8026,9.0539,11.509,0.045,0.2327,34.1732,17.244,1.461,6.3563,4.8321,17.6364,0.7494,10.8508,17.4526,3.9724,13.6149,1.207,10.0288,6.8473,2.7205,1.3927,27.6829,11.92,1.028,142.1199,1225.4241,4.9567,0.0207,1.0905,16.0618,2.6346,15.3473,10.1061,210.5831,9.7046,22.7478,174.0574,45.6168,35.8683,45.2444,79.5429,38.2452,9.6615,17.9757,0.0
SAU_M,8.0936,7.6148,21.6242,0.4724,0.5817,111.1846,54.8395,2.8444,25.5804,55.9202,72.731,5.4445,28.9412,31.1419,15.5912,38.5254,2.4305,35.9626,16.7491,8.6317,4.0738,19.585,12.3525,10.1859,147.5873,998.1221,3.2907,0.1496,9.7174,4.9026,1.468,49.5115,11.4009,102.6972,3.9703,30.4902,3.9333,103.9794,17.1521,572.55,56.1549,99.9015,21.9422,21.9824,0.0
SAU_N,6.0414,17.3137,53.1462,4.2967,2.034,209.4641,90.0526,5.547,47.7032,96.0746,144.7523,9.3932,70.3804,186.4194,25.5995,56.7428,4.2337,58.0009,42.2162,13.3083,7.9967,42.0284,37.4151,26.1967,1304.0222,1333.9659,28.1394,0.9379,307.5005,41.7219,16.4332,127.6489,4.2128,73.719,4.2848,20.6575,5.0746,21.3366,125.6005,670.3913,143.9515,328.4979,90.4162,59.5344,0.0
SAU_O,6.1107,2.349,8.6861,0.483,0.572,33.0223,19.9734,1.6039,6.7459,42.3293,33.3214,1.6742,11.7807,11.3956,28.6887,9.1547,0.3393,4.8161,2.8732,2.4129,1.1668,7.0302,9.7283,9.6686,104.5863,83.8912,18.5195,0.1271,28.1248,10.1871,13.5509,26.2797,5.1173,33.2498,0.6972,6.4684,191.6108,9.9371,8.7209,91.7887,22.1828,40.1965,6.4933,10.8946,0.0
SAU_P,2.5624,0.9618,28.6963,0.6369,0.4224,19.3291,13.26,1.0215,4.3977,11.2251,17.2385,1.4451,6.9753,7.3443,19.2367,6.8688,0.1946,3.2233,1.9506,1.7013,0.775,3.2739,5.8652,2.7581,7.4573,64.6855,1.1968,0.0109,1.9294,0.6702,0.6519,5.5358,3.8977,22.1511,0.3822,2.8258,1.4053,2.9716,1.6078,26.5238,5.3246,7.839,0.6719,2.0683,0.0
SAU_Q,15.7857,7.3928,53.7967,2.2417,3.6313,130.0235,4.829,7.4438,2.7347,135.6299,61.3011,4.6163,34.4829,26.2483,7.5989,0.0,1.5315,22.014,10.8977,9.9978,3.4782,33.1693,24.8697,8.4634,110.8345,111.0893,30.8705,0.2065,0.0,5.292,44.9469,46.7546,3.1782,84.6193,2.37,12.9361,2.1433,15.5652,18.7361,98.3766,37.4061,38.5722,10.1529,16.356,0.0
SAU_R,0.0,0.0,4.4101,0.0734,0.2991,7.2813,0.0,0.0,2.7766,4.7516,1.9133,0.1355,2.4957,0.0,0.0,0.0,0.0,0.0,0.4313,1.4296,0.5361,0.0,0.0,1.1225,0.0,4.588,0.0809,0.0141,5.9083,4.2061,0.9507,2.8071,3.8238,2.6261,0.0,0.0418,0.6055,2.1493,1.368,30.5315,5.2142,2.0315,3.9018,7.2307,0.0
SAU_S,11.7958,9.5987,11.6139,1.2284,0.9268,73.4376,4.1709,3.0135,20.5934,66.9778,93.1988,5.8722,12.3232,33.1446,18.4999,20.6882,0.7038,7.7838,6.692,5.2746,1.0311,24.7434,39.5276,19.8335,154.4664,221.021,8.5988,0.1505,0.0,3.6319,0.7258,8.9097,2.3353,7.3541,2.8591,7.0296,0.0028,6.7629,3.9948,13.9276,8.4018,4.5885,1.3091,11.1856,0.0
SAU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
