V1,BEL_A01_02,BEL_A03,BEL_B05_06,BEL_B07_08,BEL_B09,BEL_C10T12,BEL_C13T15,BEL_C16,BEL_C17_18,BEL_C19,BEL_C20,BEL_C21,BEL_C22,BEL_C23,BEL_C24,BEL_C25,BEL_C26,BEL_C27,BEL_C28,BEL_C29,BEL_C30,BEL_C31T33,BEL_D,BEL_E,BEL_F,BEL_G,BEL_H49,BEL_H50,BEL_H51,BEL_H52,BEL_H53,BEL_I,BEL_J58T60,BEL_J61,BEL_J62_63,BEL_K,BEL_L,BEL_M,BEL_N,BEL_O,BEL_P,BEL_Q,BEL_R,BEL_S,BEL_T
BEL_J62_63,7.1226,0.041,0,3.0664,0.0854,49.19,7.5045,3.0151,14.6015,60.2518,95.6663,94.9955,10.5962,6.9693,34.7481,50.4783,28.1618,9.4951,31.291,40.4149,1.9601,18.4049,95.5244,14.071,62.1191,541.8878,115.3282,1.1464,9.2939,102.1595,3.4253,16.9156,60.3858,443.9489,2263.046,1129.3215,14.1752,1194.6725,418.5858,434.4346,28.6204,248.3422,63.7353,62.0483,0.0
BEL_K,203.4051,2.2068,0,29.459,0.7008,589.559,63.0011,91.418,98.0923,437.1983,552.2293,248.3274,86.7584,99.3452,226.2009,186.2743,49.6888,55.4477,160.2892,148.5168,19.8146,102.8154,681.5797,277.1293,1090.5124,2275.4681,341.255,75.3379,51.2303,432.1264,16.3714,288.5371,97.4355,335.8449,349.3146,9093.8586,3645.9626,3063.3589,879.0984,927.8221,78.1769,664.7364,113.1444,161.9621,0.0
BEL_L,17.7641,0.0004,0,1.2954,0.2106,123.4742,17.6195,6.3036,35.8276,8.2737,32.4329,14.657,19.8178,13.3916,14.5024,71.3934,9.9568,9.1461,38.9251,53.1552,7.0704,45.4558,31.2859,89.3456,759.5895,2686.1696,164.519,2.5625,9.3446,813.4692,61.7732,635.1239,57.6219,113.6083,158.862,709.6835,1670.6137,1523.8215,479.034,545.8219,314.3473,740.7181,211.6126,321.7925,0.0
BEL_M,198.4431,1.0975,0,17.0876,1.1875,616.0853,105.404,63.4021,130.0978,1875.5565,877.1022,1912.9278,158.4369,145.2804,211.6898,633.669,100.7543,74.0395,230.6735,145.1549,39.6951,239.2571,431.0879,401.3966,1276.0252,7264.286,182.346,59.9915,112.9829,1044.3696,13.5933,429.7206,366.7312,168.7261,907.761,2915.321,449.8583,10875.3082,1654.8683,1026.3691,266.8587,706.531,541.6925,678.2355,0.0
BEL_N,187.7467,0.3243,0,14.1897,0.9991,809.9261,86.7096,48.1278,110.6979,725.7973,480.1351,1637.4294,141.8351,140.6976,182.5354,262.4246,79.439,84.7875,222.3242,220.9965,19.289,158.2811,57.2082,202.5177,1275.91,3316.1594,410.7307,61.0049,222.0677,1518.743,19.4809,622.1207,423.4613,418.4518,558.9905,1031.1664,579.8262,2906.4236,2879.6065,364.0309,282.3969,1089.7735,185.4521,292.6176,0.0
BEL_O,10.0068,0.0782,0,1.7173,0.0608,43.9532,2.3414,21.5599,9.9464,12.4683,14.6137,68.3896,7.1121,5.675,9.0988,13.0333,4.9614,3.4707,7.687,6.6298,2.4766,8.7937,31.6281,16.7178,60.1676,403.6801,24.767,3.6725,5.4937,93.5238,4.4395,66.4647,47.4835,42.4814,109.6615,143.1015,77.3762,286.7169,121.426,80.5083,37.4925,106.6915,187.3721,43.8589,0.0
BEL_P,0.4118,0.0651,0,0.8845,0.0275,9.5265,1.3931,0.3601,4.2514,16.9199,18.6312,296.6052,6.5939,4.6896,10.774,10.6065,4.9854,3.2846,8.7466,4.2845,2.7104,11.6253,7.1965,7.5078,25.3499,96.2197,14.2223,0.6589,6.7847,14.4181,0.7223,4.2207,7.1925,17.7237,72.5959,140.5828,14.0813,234.3337,55.5855,59.7869,1053.3928,47.0635,24.6829,20.9967,0.0
BEL_Q,0.3956,0.0001,0,0.1244,0.0187,2.2806,0.4913,0.1611,1.0692,1.7481,4.7867,9.2829,1.5904,1.434,5.2031,2.9596,1.5794,0.602,2.813,1.9503,0.7538,2.4545,1.7404,1.962,13.6584,21.3921,10.9901,0.1991,0.3429,5.3412,0.3151,3.6292,1.9983,8.7131,30.4167,15.8747,1.782,36.526,17.4358,73.6589,1.1229,3799.0507,2.9375,9.5217,0.0
BEL_R,12.0268,0.0631,0,0.348,0.0116,43.8274,3.8655,2.4171,4.0054,3.1712,14.7532,21.8423,3.8897,4.0942,7.283,8.685,1.5575,2.804,4.3539,4.5587,2.6258,9.4581,7.7511,8.4272,51.2113,207.5635,14.1277,1.2228,3.6001,26.782,0.4165,91.989,131.6472,28.9661,27.8841,55.1505,6.4926,121.3829,69.6122,108.3617,43.9143,97.9838,541.2001,20.8669,0.0
BEL_S,11.1829,0.1259,0,1.2026,0.0617,82.5396,6.1996,3.6934,11.8267,21.6799,70.881,76.8424,7.7233,13.4598,125.358,21.8552,5.0921,6.8031,12.4895,12.0968,10.6868,13.4598,50.5875,82.6858,65.0902,388.8869,42.4711,3.2266,8.991,95.5027,9.4909,100.0473,35.623,26.3143,50.5607,399.3056,33.9896,465.3387,161.7048,40.4881,154.4897,670.2927,83.9615,1441.0285,0.0
BEL_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
