V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_C25,265.903,4.498,337.3146,243.5162,36.0422,2392.8994,63.0713,101.6392,49.4685,87.24,539.3387,38.8115,55.5662,64.7142,762.2801,2174.1417,240.3205,605.0957,1421.2834,1450.863,564.6453,942.9477,607.0595,114.5664,5832.6232,480.3343,38.1876,3.9448,2.9757,12.072,1.8748,497.2355,6.8101,12.1399,7.3804,13.2099,96.0367,27.1443,76.7819,183.9612,33.5589,47.4053,9.4278,30.7383,0.0
BRA_C26,3.8409,0.1124,96.2448,49.6425,5.2994,45.1769,12.3061,1.8607,100.6789,25.798,41.9736,5.7297,13.7019,22.7753,58.5445,7.3168,5484.6198,186.7306,265.999,166.8095,27.3276,232.8484,93.2383,5.9037,221.4345,116.9558,17.6664,2.7994,2.8108,48.0544,16.6288,601.2396,76.0772,89.8933,622.5908,106.5043,8.7811,441.1945,331.6478,80.8294,218.9394,119.3987,17.7254,239.9924,0.0
BRA_C27,43.6453,0.7676,65.0462,37.1406,5.8382,99.9486,21.2281,6.7131,26.1246,12.5066,57.9121,5.1143,27.8673,36.5366,80.456,43.5572,523.666,2187.5501,780.5329,578.7057,99.9263,573.3317,1408.1237,42.5145,2330.318,401.8591,286.4044,5.1803,1.2683,19.708,4.5058,30.6074,16.1393,185.017,12.7428,18.7363,112.2477,203.8619,152.3126,25.5376,24.134,11.6246,19.5032,249.4551,0.0
BRA_C28,27.6364,0.8277,664.418,816.5266,42.1324,965.6283,186.9318,20.6256,270.2006,409.242,667.6083,43.2927,36.717,23.3041,662.6034,107.2609,66.9888,211.5813,3962.268,554.016,174.8625,1683.1192,88.8332,24.3276,1111.0019,271.1942,58.6876,36.1168,7.5454,55.4043,8.85,25.0398,16.8083,22.859,55.4966,6.213,101.2249,37.7911,271.1095,27.0733,8.8906,35.7952,5.9533,18.2427,0.0
BRA_C29,74.4653,1.2286,26.7049,54.1949,5.0166,104.744,46.0647,6.8838,16.2094,21.4679,47.1033,6.2651,64.8656,48.0115,55.1606,58.3768,46.1852,162.835,663.569,11835.991,22.6547,1680.4194,97.372,14.796,348.089,2926.0218,2262.9449,107.2923,242.7898,382.104,2.7384,47.7088,133.3299,23.8051,12.8149,10.5269,96.1816,170.1976,324.4665,157.4292,65.0884,35.7929,29.1537,16.026,0.0
BRA_C30,3.8241,0.055,0.1303,5.0939,0.5509,1.2596,0.0,0.1338,0.7142,0.0,0.0,0.0,0.0,0.0,0.0,0.3057,0.1465,0.0,2.0527,47.6723,3103.737,431.8398,7.8174,0.6388,63.0418,39.4434,339.9508,0.0,0.0,0.0,0.0896,62.5414,19.128,3.1134,1.8719,0.3002,17.592,6.1483,5.8868,72.5937,0.1723,7.6546,3.2679,21.3278,0.0
BRA_C31T33,74.6553,9.4507,771.0488,832.9504,42.5152,803.1997,581.9556,138.4584,1002.7523,271.5417,494.3074,178.0591,156.4029,704.887,2806.514,233.9595,53.9885,165.2942,532.5935,436.3281,153.6047,1011.0571,370.7932,263.4635,864.3989,1405.2627,290.9521,343.9371,156.292,688.6969,85.7029,72.6163,205.6766,119.1774,228.3653,124.8322,53.616,519.0448,596.9825,533.1295,273.6424,2962.7338,154.4981,151.301,0.0
BRA_D,3300.0416,43.4356,110.4603,801.0956,54.8739,1926.6125,614.6645,249.7918,704.1579,48.9673,1555.7914,92.6062,631.4905,1289.2836,2043.8625,420.4386,50.9481,198.0274,213.0143,574.1803,78.9123,178.8435,23433.0892,707.1933,177.2739,5715.7234,400.8818,17.1548,11.6485,274.2202,50.5148,836.0019,149.1742,548.3276,163.1763,680.4013,113.7307,478.5253,2015.6622,1512.022,1159.047,709.5796,237.78,827.9875,0.0
BRA_E,1.2385,0.1013,13.7337,85.7702,11.8407,287.6555,29.4253,64.1069,117.3504,114.2866,346.7147,22.1535,161.8322,231.5949,2345.8617,57.2944,5.8855,18.8811,32.1738,123.1098,31.3414,31.9832,20.5153,342.5514,81.1076,1263.2677,82.8531,2.7335,1.7658,178.5726,28.8269,329.491,22.5045,11.5315,27.1367,132.6634,98.2213,187.4141,1192.378,3010.9766,424.1915,932.6053,23.4913,448.0746,0.0
BRA_F,93.8115,1.2114,631.3705,528.7156,40.8821,21.9293,20.9199,8.7864,15.5691,15.3571,27.6356,12.1449,46.2841,9.7445,617.7616,21.6563,25.2636,4.8174,30.994,102.2851,60.5185,9.7747,17.673,1256.6532,20767.3948,471.2868,106.149,3.6229,6.3851,411.4691,61.8731,213.0712,69.6223,1534.8939,270.1737,566.4097,765.1647,329.9332,882.3379,4253.1048,559.711,1074.1522,42.2275,120.7821,0.0
BRA_G,8045.9396,105.971,1065.7,1516.589,102.3473,17609.5982,5258.8106,685.1712,1982.8726,11598.2789,7203.4883,1415.5,2377.7116,1868.9067,1542.5713,1013.0444,4060.9231,1848.2629,3179.004,6249.9327,1145.2864,3582.813,2982.6501,594.1603,10042.5999,7049.0035,8633.6408,208.2721,950.3047,493.3924,132.1123,6694.1322,769.3195,233.5708,522.9223,801.0105,582.5354,2216.465,1682.7481,1921.4401,1757.6626,6993.7678,195.5023,1128.9367,0.0
