V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_G,2705.8545,771.8032,19.6435,71.1961,7.1244,8733.0809,1250.3696,164.7838,246.995,734.9379,936.1242,108.0556,192.3427,234.3502,365.4171,145.5457,2255.0091,450.6909,183.2914,369.6765,175.8475,333.8485,350.4408,46.59,1418.9958,2383.3826,597.5839,220.6171,332.3464,177.8348,29.0973,1254.3036,162.4677,312.5195,119.1865,614.2552,364.1255,225.5616,465.861,301.4482,150.0035,198.0847,143.5662,240.1973,0
PHL_H49,295.6226,51.6036,3.3247,17.3462,5.3986,1009.4524,88.4306,28.3664,49.3615,163.8877,158.5964,24.68,23.4494,66.0826,162.2575,54.0096,206.7928,83.0201,25.2508,49.7357,18.548,61.2945,36.1477,7.7133,209.8855,506.6153,492.8815,109.1219,184.5116,141.8804,17.2449,100.5901,16.4963,97.0562,28.6317,93.5657,68.5173,69.3285,104.4485,75.4152,20.1633,30.9442,16.1576,28.5416,0
PHL_H50,4.8655,0.7261,0.1369,0.742,0.1441,16.7687,3.1985,0.6312,1.4082,14.9642,3.5235,0.5671,0.2977,1.387,6.7109,1.2446,16.8579,3.9869,1.4366,1.9314,1.66,1.9483,2.6349,0.374,15.1656,4.8227,7.7853,0.8706,4.3955,1.2782,0.4008,3.9656,0.673,1.4583,0.5673,3.6135,2.3554,1.0315,3.8634,1.0234,0.6375,0.9799,0.5263,1.5003,0
PHL_H51,33.384,5.0576,0.4389,2.3065,1.433,104.8372,17.6108,2.9092,7.1397,53.5665,33.939,2.5189,5.2895,7.8866,22.8802,7.3107,55.1117,16.6775,4.4779,6.405,4.988,7.4051,8.1271,1.1529,51.2262,129.5306,38.6678,7.6698,168.5563,5.5679,1.3057,17.3115,2.2486,10.7255,2.6418,25.3647,10.1432,6.4715,18.2225,106.2125,3.6112,5.0037,3.2667,9.4316,0
PHL_H52,104.2258,9.7514,1.6729,14.2706,5.6221,371.5971,53.7576,32.8354,21.4917,81.0859,94.3083,7.3528,7.8328,33.1785,170.6246,64.3826,68.7042,104.074,29.4279,55.6798,6.1531,43.7889,5.3918,2.2456,86.6607,104.5466,401.1246,21.6265,215.3764,36.279,24.5904,52.2728,1.9763,17.2257,3.0012,33.0712,24.5229,9.5333,81.0535,24.3601,4.4842,6.7903,7.4901,5.8139,0
PHL_H53,4.2667,0.8863,0.0731,0.475,0.2079,17.6423,2.2589,0.7134,1.4032,2.033,1.8579,0.1928,0.3651,1.087,2.9415,1.3365,7.2094,1.1718,0.5455,1.7308,0.2683,1.1637,0.0974,0.0423,1.3522,3.0601,3.6422,14.2704,4.9113,2.9147,2.9878,1.2161,27.7098,26.0464,2.1613,20.0153,3.7203,2.222,9.5454,47.9098,11.5855,0.3536,0.7457,0.3305,0
PHL_I,143.1288,30.9077,0.0772,0.3804,0.6182,784.7445,2.6113,0.4839,1.8214,2.7931,4.3662,0.274,0.3788,0.7526,1.0613,0.5763,5.9589,2.4751,0.4779,1.4969,0.3145,2.0624,1.0183,0.3545,4.1849,104.3653,4.8745,3.6344,1.7473,1.9874,0.1565,859.6799,0.5745,2.3685,3.523,18.8605,5.6763,5.5866,10.1312,267.3697,1.8143,4.3467,15.344,2.7449,0
PHL_J58T60,4.0069,0.8515,0.0957,0.4057,0.1476,15.5781,2.3129,0.468,2.7724,3.3561,4.494,0.4145,0.6093,0.9522,1.3225,1.0805,9.313,1.5428,0.4629,1.0656,0.5407,0.9686,2.1094,0.477,5.4386,54.9188,4.0877,1.3481,8.6263,1.1782,0.2327,20.3728,82.5592,30.0637,6.7105,25.401,6.0918,18.0792,21.248,70.0968,6.6376,13.3612,4.0462,5.6607,0
PHL_J61,68.5205,21.015,1.4351,7.3707,0.7761,291.1519,35.9607,7.2002,20.3857,36.3522,20.732,3.7574,5.1263,15.8895,26.3241,13.1564,55.9042,9.5559,5.5582,21.56,4.177,16.0703,34.0077,4.0663,108.9669,222.0716,43.0894,15.7079,22.7327,14.746,3.7987,47.1866,27.0386,171.8894,28.8542,144.2221,77.3625,28.1232,79.2024,353.1902,22.2746,45.3505,10.3434,27.4258,0
PHL_J62_63,7.4284,4.4435,0.1496,0.6385,0.3654,30.3576,2.9693,0.5865,1.4532,3.4868,4.1873,0.7508,0.6749,1.1249,1.8187,0.9523,7.44,1.6166,0.608,1.4443,0.7586,1.2395,1.9716,1.1967,12.2516,22.9379,6.4334,6.1099,3.6274,6.0019,0.7025,8.9265,2.7832,13.4633,5.6234,35.2272,9.0141,4.2203,11.6905,51.4442,2.3386,6.9318,1.3615,2.4148,0
PHL_K,325.2476,177.679,10.1132,32.416,5.0555,1312.7218,173.7653,34.8666,99.103,410.3753,127.4116,19.4506,30.3407,471.8493,142.3324,67.2394,336.6462,47.5946,47.1186,121.2621,35.1796,49.2666,271.4617,43.7702,835.3053,1871.8893,352.5247,163.7588,499.4177,175.217,15.2857,408.8323,54.0183,337.0684,132.1521,5788.7278,462.4121,439.3589,447.4635,1461.463,121.2996,180.8648,61.3068,171.8157,0
PHL_L,79.9558,10.9725,13.0719,40.5614,1.5139,253.7677,170.4881,36.2206,33.9445,347.3119,27.0304,11.4448,48.3037,42.9048,40.0051,54.4908,92.5549,41.1369,29.3532,54.743,20.1864,54.4202,18.8994,36.7701,31.6132,1091.1266,145.3817,58.6906,33.5617,66.653,17.1396,192.6254,66.4588,333.2934,119.3245,863.532,318.3455,122.689,374.0938,81.7618,120.122,107.7486,15.1238,116.7563,0
PHL_M,96.3957,15.0874,1.0921,8.7814,11.8511,311.2057,27.9052,5.261,17.921,24.4119,128.1388,15.5096,9.945,23.2707,22.2134,13.3988,140.0933,17.7124,6.1436,15.2312,16.682,15.1859,42.188,23.9962,234.1224,197.8223,162.4665,44.2194,70.8139,45.7701,5.5764,110.0901,9.4257,68.3016,50.7042,313.2384,109.1473,123.4396,214.5055,67.4499,17.9838,93.2891,46.2464,24.3699,0
PHL_N,194.7151,173.8248,5.7541,22.076,7.5479,199.555,23.5273,7.2007,13.5637,18.5243,55.7021,4.0918,4.666,13.9807,25.9396,10.5788,53.3239,10.5271,7.2796,11.8007,3.7884,12.1959,27.6826,17.0547,540.8235,184.2293,364.1608,229.6377,311.4073,181.4889,13.5321,372.2019,74.8836,621.1513,420.8765,2030.9832,253.8869,201.3385,946.6554,151.478,27.0254,144.412,36.7234,53.3016,0
PHL_O,9.3339,1.8678,0.4847,2.2713,0.8677,50.1678,7.9832,2.4095,2.8363,13.8592,8.0014,1.5271,2.0315,3.7544,14.7719,3.3169,11.2538,4.2311,2.0267,3.072,1.3782,3.5885,4.6778,3.9654,23.1808,155.1607,16.5262,5.7919,6.9881,11.4505,1.5638,43.9344,3.2516,26.7648,8.8196,77.2688,23.3805,14.614,33.7288,2112.1144,9.6957,15.6731,7.5471,22.7923,0
PHL_P,110.114,7.0703,0.7203,6.026,0.459,309.3591,22.8941,3.9177,14.0589,17.2602,124.4638,18.6949,8.6468,23.6872,15.4344,10.6896,90.4126,13.654,4.2139,12.7402,14.9633,12.9001,26.4184,18.4676,267.7653,148.8367,92.642,23.8203,40.1731,26.603,4.7247,129.8638,5.3111,46.4091,32.14,301.9169,100.7703,89.6475,186.3945,69.6479,25.8673,64.9351,81.519,26.0045,0
PHL_Q,21.9949,0.9838,0.1274,0.6541,0.1321,75.335,4.8534,0.7622,2.3271,7.6976,22.3833,3.7629,1.5939,4.8678,3.4669,2.0304,11.3202,3.1935,1.0148,3.0071,1.2223,2.8778,2.9134,1.7294,51.1946,45.9927,8.7331,3.2629,3.6875,3.0624,0.9352,34.6271,1.3613,12.2561,4.0454,68.911,17.1896,6.3283,32.975,94.5377,4.1472,87.5166,12.1439,5.6727,0
PHL_R,6.5791,1.3969,0.1153,0.5797,0.0763,18.772,2.9834,0.8553,1.5295,3.5078,2.5969,0.5475,0.6291,1.4098,2.3003,1.1547,5.7337,1.1975,0.7989,1.585,0.7081,1.8073,2.2185,0.4623,6.8221,39.543,4.0238,1.3315,2.0752,1.6449,0.3001,256.1961,3.3041,4.6263,1.7935,15.8573,5.8873,4.3662,7.9437,119.1136,1.8573,2.6841,82.3134,72.2479,0
PHL_S,27.3124,6.6187,2.6102,10.6638,0.2626,109.7185,14.4803,2.1236,3.6436,4.3187,18.6116,10.9527,2.4083,8.7546,6.9056,3.5939,24.8483,5.0901,2.7362,2.7099,1.4868,9.8891,7.4314,3.985,48.5948,70.9544,18.2634,21.4144,19.9018,11.3949,0.97,152.4442,5.1933,22.3073,6.8479,59.2213,58.2759,17.7964,48.4438,45.1575,51.8095,54.3578,11.9258,119.5601,0
PHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
