V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T
DNK_C20,150.0834,0.1059,4.7809,2.2096,1.6104,74.8696,28.6649,9.5837,26.9175,31.4451,335.6341,188.0711,127.1335,27.7445,15.44,25.0749,18.1118,13.1986,98.2598,4.3385,3.9492,199.5755,2.7179,9.6484,81.3432,54.6838,4.2057,3.4263,0.9483,5.1422,1.669,9.5582,16.314,7.4367,15.2978,9.8355,11.4441,53.3768,45.9838,49.1153,40.9474,125.4788,12.3444,27.5546,0.0
DNK_C21,84.9235,0.0984,0.1539,0.0818,0.2097,96.8873,1.7034,0.724,1.1083,0.5978,69.7622,582.3084,8.5875,0.951,0.3242,1.5115,4.2671,0.9583,69.9167,0.3579,0.3772,19.9929,1.6883,5.4843,12.5753,41.1022,1.8482,2.0659,0.7311,4.316,1.6841,5.5977,7.4889,5.6207,15.853,8.7467,7.3563,178.5611,14.6095,149.1955,91.8805,1019.5021,7.5361,9.3403,0.0
DNK_C22,16.4119,1.2583,2.3415,1.7508,0.7966,137.8389,9.6923,13.6583,21.0767,1.7852,37.9545,27.1566,109.7215,16.7269,12.3825,47.4157,41.7434,19.2753,151.6381,8.3139,6.6304,64.7647,4.3058,8.4431,339.0582,293.8622,11.4598,3.7471,1.584,7.3963,1.6506,7.4687,6.9622,4.6109,8.6109,4.0567,11.8291,19.0694,22.4729,37.374,27.0016,88.2287,17.6341,9.8461,0.0
DNK_C23,13.3864,1.0726,3.9105,3.8765,1.0952,18.9069,2.9423,46.4769,2.601,2.0841,12.723,15.6266,18.9372,176.8794,6.3523,26.4403,16.3236,10.465,170.2863,6.0264,5.5762,23.8828,6.2054,8.8686,1315.7888,36.6436,9.9171,10.5681,2.431,4.6643,1.0435,2.3367,2.5196,2.9319,6.087,7.5266,72.866,8.685,5.6537,19.3666,6.454,15.6755,3.8965,3.7776,0.0
DNK_C24,0.3698,0.0297,0.1355,0.0316,1.3196,4.6728,1.2037,13.5266,2.7241,0.3606,2.56,0.6445,21.0402,8.6521,128.0097,232.1848,14.0899,20.2794,256.4068,26.8919,9.7079,38.7826,0.0817,0.1321,93.8245,18.2708,0.1921,0.0669,0.0641,0.0441,0.0905,0.0576,0.1011,0.1711,0.1673,0.1349,0.0068,0.1336,0.1562,1.2806,0.607,1.2884,0.1226,0.3951,0.0
DNK_C25,53.9965,3.1397,8.8223,4.7636,2.528,94.2611,14.5622,49.2639,10.3014,2.8647,29.9926,32.8136,55.9154,53.3629,39.3494,554.785,79.5645,88.7221,1070.6401,22.7152,29.2796,180.5099,16.1509,21.6087,1010.4671,128.6846,22.4769,23.565,4.249,17.5908,4.5988,6.7441,6.0385,10.5878,15.9977,17.841,160.4313,23.6555,23.7652,79.897,25.636,47.4618,11.9357,12.6736,0.0
DNK_C26,12.68,0.8577,0.7974,0.3906,0.3376,11.7245,1.2051,1.204,3.7274,1.4818,11.1084,12.8835,6.3086,3.1519,2.8396,21.2341,185.3509,35.5183,190.6595,2.4786,6.2624,29.6768,4.6275,17.5613,207.8022,55.6181,10.5052,8.2822,1.7288,10.4552,11.9213,3.7632,7.1921,29.4374,36.7134,8.7265,44.6723,44.4297,13.3331,51.6702,19.6526,33.5256,7.2092,16.7501,0.0
DNK_C27,7.0671,0.6336,0.5493,0.3009,0.2072,7.35,0.5278,0.8868,1.4449,0.604,2.566,5.7965,2.5092,2.2428,3.7553,26.7636,63.2614,102.8552,386.8999,4.7054,6.3069,22.9837,3.6305,21.6039,174.8142,25.9329,5.0204,5.1248,1.2039,4.0619,6.3531,2.4703,11.0939,13.5905,6.2958,4.3529,30.1091,8.486,6.9204,20.8727,7.2144,13.1254,8.5694,11.3791,0.0
DNK_C28,76.1815,6.6468,6.1183,3.1808,5.1173,76.3441,4.5384,17.716,24.938,6.5127,23.3643,54.5014,24.665,39.2219,24.1785,279.0147,119.9163,158.6074,2392.7015,52.005,67.3948,147.3365,34.4337,69.6686,1422.216,148.6202,48.0972,66.1635,9.8182,26.5021,19.8404,13.1498,15.7023,46.2243,44.7877,41.4022,365.8053,50.4896,43.7587,114.5297,38.3177,77.8207,22.4848,29.1057,0.0
DNK_C29,0.9248,0.0833,0.0357,0.024,0.0594,0.4251,0.047,0.3068,0.1691,0.0458,0.1963,1.0144,0.3664,0.1964,0.2395,0.9723,0.633,0.2739,12.7543,20.8365,0.5015,6.531,0.6759,0.8699,3.9258,88.2724,21.5067,0.9212,0.1975,0.4714,0.281,0.2295,0.2206,0.6509,0.4262,0.6666,7.2439,1.0722,4.3571,8.7803,0.8378,3.7793,0.5105,0.3348,0.0
DNK_C30,0.2976,1.0459,0.0546,0.0582,0.0085,1.1379,0.0469,0.1427,0.0837,0.2104,0.4411,0.9134,0.2167,0.2259,0.1112,0.0191,1.3951,0.0737,0.0006,0.0405,4.3316,13.9678,0.3504,0.0192,6.6395,3.4902,0.0278,36.1197,3.5724,2.3712,0.0218,0.1718,0.1479,0.0977,0.4834,0.3006,0.01,0.3589,0.8737,1.9136,0.3472,0.3965,0.1002,1.8734,0.0
DNK_C31T33,82.5054,7.9132,2.0979,1.561,0.6688,22.4714,5.6191,12.0464,4.4721,2.8947,14.8688,97.4833,12.2192,11.5214,3.137,22.4146,64.4461,8.9959,91.9861,4.71,5.363,212.3354,55.6134,40.904,188.8103,79.7333,63.7686,97.48,14.7495,31.923,7.8705,15.4653,16.1249,14.5188,23.345,64.5885,821.3146,71.1738,35.1302,143.4486,50.626,377.489,45.9327,25.4205,0.0
DNK_D,247.4629,10.057,24.267,11.2462,4.4865,201.5064,8.152,18.4572,29.9439,441.1384,77.5879,52.4495,39.2315,51.3807,35.5681,44.2051,12.4117,10.8226,63.0036,5.2202,1.9322,32.7316,324.9059,98.6653,65.8177,351.0915,31.83,4.6982,1.4231,72.7446,12.4434,146.5832,35.2999,20.2573,49.3102,74.1402,58.9861,133.1114,74.1577,119.6109,358.9853,510.0984,126.9406,26.9068,0.0
DNK_E,86.8687,2.2238,0.8592,0.3921,1.0885,132.1616,6.0984,4.4628,164.7311,5.1834,36.2183,38.378,101.815,74.0331,44.9824,277.3428,6.2552,13.5326,60.1573,3.0201,2.1617,28.8672,194.6196,597.5284,16.6709,183.6744,12.8859,12.2854,0.4711,25.8702,9.6848,57.143,18.5263,23.926,36.7184,32.4078,104.7271,117.5952,51.0762,88.7906,205.2012,469.8584,56.6689,33.8465,0.0
DNK_F,383.685,34.947,7.938,6.1792,5.1607,54.4548,3.5705,17.0195,13.271,12.8575,41.2216,124.9085,25.5974,39.6447,6.6869,37.0174,116.7391,16.4269,127.4524,5.4937,0.5299,70.1866,292.9105,163.9527,2312.1312,208.2764,256.9687,460.2523,67.2917,136.2396,33.3814,21.6225,18.0065,58.9733,75.1815,297.5151,3975.5093,110.1451,228.986,513.6506,97.3806,280.8597,77.7422,81.4646,0.0
DNK_G,940.6375,45.7889,27.0624,16.1323,13.2152,2767.9253,225.7277,212.5239,232.3236,121.437,546.8914,476.9434,250.3944,244.7476,103.9414,498.5924,365.5033,230.2413,1935.5752,130.24,62.5889,683.499,106.6939,187.2121,2738.8972,3471.7844,1010.7003,529.9936,92.019,205.8923,62.26,498.0745,222.2984,127.1099,172.3045,125.1449,74.2381,454.2239,375.0221,377.6397,309.8731,954.03,157.0113,137.6151,0.0
DNK_H49,72.4939,5.6981,23.4188,11.6989,5.3766,789.2045,18.5205,34.22,53.1973,14.3062,89.8499,61.8339,57.5454,152.4235,27.4219,72.7354,37.8297,29.843,201.5996,16.5323,7.0969,140.6575,32.557,140.9877,306.4962,2086.5452,852.4832,39.0046,6.5755,200.4453,25.3308,36.2651,44.2703,80.4531,43.7221,31.8164,14.3557,108.8985,76.2604,133.7714,244.4134,465.9185,69.7567,48.5808,0.0
DNK_H50,10.0263,0.7288,9.5184,4.3235,0.6201,170.2692,6.1637,3.0292,3.3432,22.0848,16.4145,46.2782,5.8375,20.2185,3.4104,15.9595,8.8256,8.0319,177.1818,8.0826,1.1489,15.4173,6.1017,11.9056,36.1343,372.3554,991.9802,60.6306,3.3211,93.9644,55.0049,11.6854,13.1721,96.4748,35.5828,7.5882,9.1826,87.6926,148.1163,28.4464,66.5047,70.1451,14.6824,13.571,0.0
DNK_H51,10.2654,0.7676,0.5377,0.3285,0.177,23.7813,2.4407,2.5379,2.8657,6.261,5.4446,5.8812,3.4905,3.3352,2.2344,7.6813,4.8842,3.6628,26.6316,1.7363,0.9386,8.7193,4.1135,1.8257,36.5191,21.3943,4.8384,14.7134,3.3624,5.313,1.2481,5.1047,2.0636,1.8314,2.5935,1.05,0.9463,9.0123,61.8844,7.5503,2.9251,8.3576,1.7796,2.0315,0.0
DNK_H52,10.2419,1.8548,0.9023,0.5978,0.325,33.602,2.3738,3.5965,2.9853,1.6433,5.5145,8.0404,3.2005,4.0489,1.4842,6.9824,3.814,2.8041,24.099,1.1475,0.8177,9.1487,2.1678,3.0721,51.766,140.4687,26.9313,819.8165,53.4073,21.3759,2.1911,5.7381,4.4042,4.868,9.1277,4.4017,2.5224,10.9075,6.258,9.5225,7.9012,11.8292,3.1955,2.8239,0.0
DNK_H53,5.4537,0.2869,0.2806,0.1032,0.327,42.7136,0.7304,3.34,17.9479,3.9383,17.9007,26.4309,1.0205,2.4536,0.214,2.6012,1.6291,2.3379,11.4611,1.8712,0.4282,12.1247,42.407,48.915,11.047,323.5024,25.2882,18.0928,2.2898,163.227,50.7933,32.3556,161.7635,15.6939,80.6381,94.1625,32.748,203.333,155.9395,106.7745,77.838,216.1311,49.4673,27.4056,0.0
DNK_I,5.6615,1.7495,0.5593,0.1406,1.3919,28.2178,1.6155,1.6388,3.5272,1.2293,19.0255,179.3983,5.6759,6.4342,1.5817,11.9638,18.1523,9.7496,42.0369,2.7009,1.6722,19.5197,7.1608,20.3262,11.6851,421.6435,105.0686,40.7453,44.672,56.2095,14.091,244.7078,34.6753,16.8322,89.3278,76.3553,23.4504,285.8648,190.2214,104.1437,78.7038,167.1365,78.9588,59.4247,0.0
DNK_J58T60,3.7217,0.4939,0.6761,0.4741,0.215,34.5307,0.7996,0.7621,12.4463,0.8955,8.862,32.5815,0.9333,2.8245,0.0757,3.235,15.8605,5.4626,24.6004,0.8678,0.8222,13.1794,7.8499,19.5048,10.1614,408.7067,9.909,14.7246,2.4025,20.8724,26.0635,46.3258,757.7698,281.6775,188.9006,192.9404,45.0165,722.0629,81.2964,154.502,152.4441,80.8092,160.3453,52.6032,0.0
DNK_J61,3.9948,5.5488,2.2475,0.6062,1.1153,19.8721,0.8631,1.6157,3.2488,2.1634,13.0942,53.2304,2.3557,4.2216,0.7609,6.0246,11.5001,4.9955,59.6271,1.3823,0.8403,35.6201,9.7782,49.6252,22.5733,329.8232,36.0714,32.4014,4.4721,58.6924,170.014,39.0436,47.6814,468.6403,205.6355,143.2277,27.2578,534.3235,293.8287,182.6354,162.99,173.7481,55.5302,50.1205,0.0
DNK_J62_63,23.3881,2.9099,3.5202,1.9703,0.7845,51.8871,1.1884,1.7654,8.668,5.4682,27.7717,158.2189,2.1216,5.2163,0.3486,5.501,31.6185,27.9808,84.4096,2.2718,1.6147,32.8792,38.4648,101.3497,60.7658,702.4943,25.4146,104.505,13.478,136.0578,124.0583,70.1834,298.5612,255.6719,1106.6513,558.7181,275.7324,879.2095,309.257,707.1635,609.7151,418.5937,111.8965,156.8487,0.0
DNK_K,1113.4372,38.6015,8.1394,3.5492,7.7776,213.6605,20.0007,15.7162,26.4053,5.2411,36.706,111.0112,22.2243,30.7865,15.0534,46.296,36.0918,21.035,122.0606,12.7381,17.7001,82.6404,201.5781,54.4638,347.6843,729.8371,131.5366,375.9018,26.8408,121.469,26.6549,99.5774,49.8551,60.0177,157.8616,5077.0976,3488.37,434.3338,302.6145,367.8245,85.6724,136.0086,49.8639,86.2677,0.0
DNK_L,22.2459,6.4385,6.8532,2.2496,3.0158,174.7298,17.0853,35.5893,74.7823,2.0586,39.2679,116.7604,53.0761,33.7891,13.8668,180.332,88.1107,53.6623,247.6223,2.7811,3.5161,167.8941,12.32,50.2325,187.4309,3907.7473,129.221,18.1385,51.4022,241.9665,51.4342,953.0762,161.926,120.7872,320.2279,736.2654,351.2129,1011.3441,378.7074,1003.6892,401.6085,518.77,215.1954,365.0086,0.0
DNK_M,487.2699,3.1881,14.1309,4.983,10.5195,387.2934,6.9397,10.0062,39.7333,15.1072,89.3586,703.6842,18.8824,25.408,1.1908,37.9388,51.3426,38.3967,774.0764,14.7738,3.4345,193.0457,354.1998,521.3168,3191.5205,2482.5944,136.323,116.0775,8.7327,449.3884,116.9712,208.7107,262.1285,227.3811,893.1307,432.8499,637.7625,2737.1033,1370.0251,550.7083,413.9713,415.6328,344.7926,234.5918,0.0
DNK_N,115.8202,1.5528,4.5911,2.4543,9.7567,191.2323,4.4679,5.6869,24.7113,15.4266,82.8517,577.892,13.1916,22.7619,1.4162,32.7642,45.8174,22.954,167.7213,6.3839,4.2379,367.7489,76.5734,245.1168,720.4481,1803.6898,213.2072,59.9925,90.2185,566.2304,43.4779,185.2611,258.4144,166.5178,512.6057,238.7106,274.3599,1111.0775,734.1262,388.169,393.7514,973.4598,275.2582,165.1666,0.0
DNK_O,12.941,2.441,0.6449,0.3568,0.4686,26.038,0.4756,0.9526,2.4367,2.16,11.5071,63.6356,0.7626,2.7646,1.7769,3.4476,7.5703,3.8126,58.1403,1.1187,1.3076,7.8933,25.7031,41.8854,14.1317,211.2778,56.5085,16.4585,5.6388,44.0341,19.5366,40.9843,20.8903,41.0176,108.8606,116.5573,34.3261,188.4571,201.5319,192.9737,63.7058,459.5567,20.5134,33.1806,0.0
DNK_P,3.9513,0.214,0.1353,0.0563,0.3047,4.3326,0.1744,0.2318,0.8351,0.3799,2.7788,91.639,0.527,0.8704,0.0391,1.3432,4.0651,1.6716,147.9062,0.3937,0.3251,4.5357,2.1004,4.5665,4.9863,64.7757,12.5526,2.3726,0.2186,11.0512,8.5084,13.4243,7.8396,11.8653,31.0381,71.9009,6.2969,181.9389,74.9271,134.8205,326.6879,113.1069,13.1159,24.2299,0.0
DNK_Q,0.4195,0.0279,0.0492,0.0238,0.1777,0.8132,0.0217,0.0363,0.0709,0.0484,0.3814,217.697,0.047,0.1263,0.0083,0.1074,1.057,0.2087,27.4605,0.0379,0.0175,0.9118,0.407,1.0898,2.2335,7.4323,0.4019,0.8517,0.3418,1.8541,0.772,1.0483,3.8245,1.6519,71.4144,3.5776,1.668,69.0789,2.9254,44.6524,126.8758,427.0633,1.1973,3.2782,0.0
DNK_R,0.4485,1.2343,0.0595,0.0293,0.052,1.7711,0.038,0.0697,0.2836,0.0702,0.7892,2.862,0.0984,0.2597,0.0451,0.3114,0.5139,0.2722,7.4091,0.0867,0.0581,1.3047,0.6357,1.5042,2.2316,27.1853,0.5733,9.4312,0.2518,1.9112,0.5903,9.3052,118.4405,1.3679,29.2621,3.4872,1.6404,75.892,25.6832,13.0357,159.8363,211.6526,224.6902,9.0876,0.0
DNK_S,30.4278,2.6634,1.3436,0.9449,0.7003,40.2985,1.1054,2.3818,3.9339,2.4818,9.6159,33.2196,5.366,7.901,2.1614,8.1123,14.3818,5.1454,29.846,1.4983,1.2138,15.8439,26.7222,42.9326,25.1568,153.05,27.094,49.7559,4.9404,40.489,16.5705,73.202,15.2918,30.7858,85.0565,68.8564,299.9798,175.1783,651.5252,52.2265,16.2169,165.9047,18.3651,23.7708,0.0
DNK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
