V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_H53,9.4442,0.0654,0.1096,0.2334,0.1363,9.6083,1.4411,0.9418,3.1474,2.0834,6.5076,5.547,4.2997,2.3558,1.0902,3.6516,6.4749,2.506,4.8978,9.3164,0.533,2.8913,16.1839,10.3926,12.9669,56.3259,11.3822,0.2898,1.2733,8.6633,15.943,8.9874,17.6874,18.6205,3.9245,81.1411,41.3235,24.7083,14.808,93.3717,12.1344,17.2278,15.3325,12.3779,0.0
HUN_I,1.2266,0.0143,0.7588,0.4109,0.5032,5.9642,0.9444,0.221,0.9771,0.7738,1.9267,7.1657,3.3512,1.3094,1.4577,2.9622,5.3979,1.7537,7.5941,10.8287,0.523,2.2714,1.9001,0.8448,14.1306,17.132,7.7614,2.8648,0.8934,2.8277,0.743,133.5267,2.855,1.6091,7.0655,4.6177,1.8114,26.9342,143.9688,19.4515,9.1442,46.7038,5.9907,31.3211,0.0
HUN_J58T60,2.9126,0.047,0.0406,0.1738,0.2306,27.1935,1.401,0.7072,7.9766,1.9209,10.7218,17.084,7.1259,2.5605,1.3584,3.2796,15.7858,3.7339,10.718,23.5419,0.3893,3.5186,4.1685,2.4196,10.6845,112.8122,15.4957,0.9906,0.5865,4.7564,1.6853,16.6613,188.9345,51.2271,12.0011,15.8635,20.0788,51.1164,31.2936,17.9326,34.871,4.967,75.2001,30.0803,0.0
HUN_J61,9.7379,0.2626,0.1385,0.3421,0.1904,17.9498,1.9767,2.4076,4.7094,4.5659,7.7926,5.109,10.7563,5.6852,2.9961,8.1654,11.2691,6.3227,16.035,19.0051,0.9726,7.0956,9.327,10.7578,36.9627,85.9375,40.8215,0.6067,1.0778,8.656,3.1756,17.381,72.313,68.3745,30.0256,42.8197,20.8651,55.9397,32.5164,87.5774,22.6663,26.5481,38.844,30.1831,0.0
HUN_J62_63,9.8806,0.0928,0.2053,1.2733,1.1915,43.6668,2.2718,1.3075,6.4099,3.5987,9.8137,13.0076,14.8007,7.2321,17.4106,8.7976,31.3103,19.5357,23.1239,63.1647,1.4762,8.36,50.1253,16.1592,39.6799,183.659,48.4229,1.9169,4.4709,31.4217,8.3205,15.6171,40.8875,63.2533,162.2071,172.8485,29.7717,102.2121,64.4431,112.3943,22.6192,26.5244,19.1443,16.1135,0.0
HUN_K,131.5401,0.8539,1.0462,2.7095,2.96,81.9049,11.4005,11.1951,20.1622,36.4926,54.824,54.5132,44.1101,18.0024,17.5502,47.168,36.8707,28.0905,43.5167,66.4117,9.197,34.2878,52.7427,34.3186,185.9588,473.8997,146.5664,3.7292,14.8416,89.1803,6.2778,118.7731,20.8591,47.5201,45.0648,966.9467,784.8686,204.6723,131.5579,303.8075,19.8937,36.4487,27.9024,48.6702,0.0
HUN_L,20.9464,0.3032,0.5546,1.0493,0.0782,54.402,8.2744,6.9298,20.9115,9.7399,16.798,8.6646,34.7408,9.1033,5.2576,29.0201,23.2989,8.5158,34.4514,73.467,5.4495,24.9407,53.1981,77.9806,89.3633,705.4959,88.9725,0.9794,26.2913,82.3134,6.6415,189.3288,49.3049,73.4763,58.7703,138.2109,151.5504,237.7222,118.2435,288.798,101.0825,91.8375,139.5227,173.3442,0.0
HUN_M,43.8678,0.4463,0.685,5.3761,6.9274,190.3969,14.5506,7.7674,22.1853,22.6537,32.499,187.2424,61.2642,30.1434,18.6697,47.3407,103.4442,67.6658,89.8195,411.9014,9.3157,38.1161,113.1761,39.7818,251.7194,679.8057,55.0697,11.3727,8.8634,49.0354,5.4216,63.4588,86.733,63.9511,102.8357,125.7963,220.9565,535.5765,208.7504,149.0726,27.9584,39.9735,57.9804,48.0537,0.0
HUN_N,30.4475,0.4397,1.1886,2.0725,6.321,114.1311,16.9679,11.9642,39.3758,18.0531,42.6195,59.5772,54.9632,26.1235,23.3666,68.4772,116.3558,48.7091,94.8407,219.823,6.8424,61.4338,106.0119,61.4646,127.3572,557.5575,148.1942,9.7573,9.4057,54.553,19.5334,83.3597,86.2371,79.8583,81.9906,226.419,200.784,162.1979,236.4248,119.9026,50.2079,72.7772,108.5547,46.8147,0.0
HUN_O,10.6998,0.4501,0.5571,1.1751,1.8438,18.8069,2.3982,1.1733,3.1502,5.0339,7.2356,1.8628,8.2941,3.154,3.3347,6.6307,8.4885,5.9285,10.5667,33.2697,1.2509,5.6378,23.4394,35.5246,26.9621,185.4544,61.4312,2.9297,0.8391,27.4339,2.329,29.3297,6.3782,62.3373,14.8713,75.934,29.3246,56.185,28.1192,194.6033,14.9745,4.7016,23.7592,33.0668,0.0
HUN_P,2.9802,0.0343,0.0369,0.0543,0.1088,6.3312,0.7386,0.646,1.6095,1.5041,2.419,5.0177,7.5633,2.1664,1.4848,2.3192,4.7838,2.8387,7.4395,6.3455,0.9145,2.1856,3.5338,3.2082,8.6088,35.5202,8.958,0.0524,2.5829,2.8832,1.5855,4.0317,1.4629,5.0951,8.8291,22.5721,5.8807,20.727,11.2942,1.0307,172.396,8.2929,1.4408,13.9418,0.0
HUN_Q,0.6376,0.1381,0.1963,0.1317,0.9433,6.3089,2.1447,1.0293,1.3714,1.1184,3.6037,14.3443,3.0873,2.6631,2.7201,3.1276,2.4329,1.5951,3.9831,6.1453,0.5994,5.1429,3.3276,2.7654,5.7364,29.8298,14.5228,0.3051,0.368,2.6177,1.7504,10.6433,1.0195,0.7135,2.0724,4.6724,2.8047,6.4147,9.2837,2.463,3.702,317.9924,6.5137,18.2109,0.0
HUN_R,2.1783,0.0145,0.011,0.1118,0.0373,5.8468,0.4776,0.7278,1.4108,1.1192,1.5458,1.3506,1.5059,0.8454,0.371,2.4786,1.6905,1.1597,3.2621,5.1597,0.1489,1.7327,1.5617,1.1673,7.6371,23.5126,5.0619,0.7088,0.2291,2.8178,0.3524,4.6279,52.5772,2.4402,4.6767,5.3943,3.8272,8.5525,31.4246,3.3024,1.095,2.908,126.4085,10.0693,0.0
HUN_S,15.1419,0.1417,0.0581,0.2952,0.1159,16.58,1.8901,1.992,4.9034,3.6802,6.6099,10.5274,5.8533,3.0356,2.2084,5.1738,7.6885,5.07,10.016,14.7399,0.8362,5.9348,9.4056,13.3103,18.1835,84.6721,22.0892,0.5992,3.3604,9.0538,2.94,23.2941,7.7965,33.4045,32.3091,34.0382,30.4149,49.736,27.0983,33.1793,19.7435,23.2104,30.182,18.6157,0.0
HUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
