V1,SVN_A01_02,SVN_A03,SVN_B05_06,SVN_B07_08,SVN_B09,SVN_C10T12,SVN_C13T15,SVN_C16,SVN_C17_18,SVN_C19,SVN_C20,SVN_C21,SVN_C22,SVN_C23,SVN_C24,SVN_C25,SVN_C26,SVN_C27,SVN_C28,SVN_C29,SVN_C30,SVN_C31T33,SVN_D,SVN_E,SVN_F,SVN_G,SVN_H49,SVN_H50,SVN_H51,SVN_H52,SVN_H53,SVN_I,SVN_J58T60,SVN_J61,SVN_J62_63,SVN_K,SVN_L,SVN_M,SVN_N,SVN_O,SVN_P,SVN_Q,SVN_R,SVN_S,SVN_T
SVN_C20,17.4935,0.0465,0.4637,5.1086,0.0608,7.8117,7.4605,6.8757,17.9612,0.0183,87.669,3.4715,43.2931,9.2782,9.4141,8.2667,3.0049,26.6832,3.5955,15.0979,0.9016,6.6982,12.112,4.0082,16.8743,24.033,4.3337,0.0461,0.5111,1.2889,0.1391,5.6745,1.073,1.0503,0.9495,1.6768,2.721,5.6238,3.008,1.7351,5.3074,7.9112,1.9916,1.3608,0.0
SVN_C21,2.8268,0.0284,0.0726,0.3871,0.0228,5.1391,1.4912,1.0642,1.0549,0.0119,1.6142,201.6103,2.4066,1.2911,2.4254,2.374,1.0414,3.603,1.5684,2.7529,0.1514,1.0922,3.0757,0.7191,5.3739,15.8378,2.649,0.0277,0.332,0.7472,0.0749,2.0805,1.1939,0.8975,1.4383,1.7311,0.584,20.3816,1.3355,4.2705,2.2814,84.5763,1.8197,1.1401,0.0
SVN_C22,2.1488,0.041,0.1565,0.6079,0.0397,26.1904,1.6613,5.6798,5.2913,0.028,23.5491,1.2029,137.8145,5.362,5.5113,12.9113,6.9105,74.0042,7.0763,146.0289,2.732,21.6083,3.3992,6.0905,32.037,24.6147,8.1017,0.036,0.4901,0.9713,0.1833,2.5829,0.6139,1.0194,0.5603,1.4641,2.9878,7.3596,1.4858,1.3435,1.7107,4.388,1.1446,0.797,0.0
SVN_C23,3.836,0.0243,0.1833,1.0473,0.0382,7.281,1.1176,8.1837,1.6112,0.0051,7.1807,1.688,5.9808,47.3127,14.2601,16.6542,1.7791,17.9459,1.6625,16.751,0.0954,4.7511,3.5764,4.9256,220.3862,22.913,2.5925,0.0131,0.1927,0.8351,0.0818,3.5965,0.6841,0.4043,0.5143,0.8913,1.2302,9.7686,1.1884,1.1206,2.0223,2.2138,0.9445,0.9442,0.0
SVN_C24,0.0295,0.0022,0.0082,0.0076,0.0275,0.48,0.0962,9.9325,0.9932,0.0,9.4216,10.9018,1.9952,1.0777,202.5228,105.7062,3.7155,103.6943,65.4948,69.443,5.3636,18.4304,7.0627,4.003,24.2768,11.6681,1.3258,0.0048,0.0,0.3615,0.0,0.0061,0.1671,0.0242,0.1365,0.0051,3.796,13.1618,0.3137,0.0197,0.2135,0.0859,0.0223,0.2914,0.0
SVN_C25,7.3493,0.0617,1.599,1.5192,0.112,23.1327,2.6824,13.1866,6.7639,0.0506,8.1062,4.9569,25.7509,11.3076,167.4076,290.5692,10.4462,84.4384,94.6012,126.8322,3.0591,24.2816,10.1433,52.9944,110.0623,40.7146,6.9993,0.0601,0.8522,5.9832,0.287,6.1249,2.9009,1.48,1.3065,2.821,10.2166,35.5093,4.4899,7.3513,4.2196,9.6576,4.0307,3.2156,0.0
SVN_C26,0.9116,0.0083,0.139,0.1939,0.0075,1.1018,0.1936,0.6415,0.7231,0.0026,0.6115,0.8561,2.537,0.5249,1.0888,2.5845,23.4262,30.3226,6.7223,15.6868,0.0662,4.3029,2.1292,1.0027,7.5242,8.1218,0.7095,0.0105,0.2033,0.7422,0.0594,0.7404,0.2902,1.4111,5.7557,1.4273,1.1237,6.6751,1.0594,0.7015,0.8892,2.5664,0.6163,1.1277,0.0
SVN_C27,4.4725,0.0461,0.7616,0.5773,0.0317,6.5476,1.3797,3.6399,4.5457,0.0183,2.8896,3.8492,7.2845,3.6673,9.428,21.6424,14.7415,185.3475,19.0236,60.8056,0.3693,15.9969,16.7145,7.4374,55.8209,32.2086,4.6306,0.0387,0.7893,3.9765,0.2009,4.1511,0.9651,10.6951,2.0934,3.7859,10.0125,38.1385,3.365,2.7606,2.4912,6.8186,2.0123,1.9505,0.0
SVN_C28,4.5135,0.0252,0.6903,0.9635,0.0583,4.2893,0.999,2.4813,3.068,0.0067,2.2542,1.831,4.7841,2.1604,9.8754,22.0448,2.0052,19.5172,38.9796,41.2716,0.2527,5.202,5.6727,4.3583,24.166,14.3726,2.5777,0.015,0.4442,2.3615,0.0995,1.9222,0.4066,0.6588,0.6835,1.2872,2.2862,15.9585,1.4482,3.3104,1.2238,3.0707,0.8554,1.7075,0.0
SVN_C29,1.7659,0.0211,0.1766,0.1713,0.0113,3.112,0.7605,5.441,1.2275,0.0087,1.2045,1.5956,3.1667,1.1691,6.4084,8.1809,3.1389,38.6015,5.7143,168.7408,0.1486,3.8111,4.0286,6.2667,13.4206,25.1876,10.762,0.0328,0.2983,1.0892,0.0864,1.5067,0.4431,2.3888,0.8004,1.1655,2.2213,8.3316,1.1621,1.4014,0.7311,1.4065,0.6527,0.9329,0.0
SVN_C30,0.0581,0.0153,0.0058,0.0042,0.0007,0.1656,0.0009,0.0769,0.0411,0.0005,0.0069,0.0,0.0048,0.025,0.3159,0.1297,0.0692,0.0167,0.0105,0.2634,2.3631,7.6163,0.0816,1.1555,0.0983,7.7526,2.2059,0.0238,1.0521,0.0094,0.0151,0.0085,0.1788,0.0,0.0041,0.0017,0.0492,0.0582,0.0376,0.0177,0.0036,0.1362,0.1196,0.0193,0.0
SVN_C31T33,17.7203,0.0642,2.4858,4.6169,0.1211,10.6568,3.0837,5.6444,11.7336,0.0092,6.2269,7.3003,11.3477,5.3235,13.5182,45.0215,11.3953,26.0056,29.1889,24.0498,0.5569,23.9288,17.2325,5.0768,30.3725,45.617,6.1202,0.0428,1.8737,11.6524,0.7537,7.0646,1.1096,1.643,3.4962,7.8336,6.7466,61.1856,7.4611,6.1992,7.3724,36.2218,5.5196,6.1922,0.0
SVN_D,6.3542,0.1556,3.6373,5.8474,0.1424,24.6546,3.2341,12.6629,27.3874,0.163,17.5251,35.6645,20.1816,17.3947,104.7106,29.3426,3.7015,20.4648,12.2921,19.678,0.7122,12.1586,121.7064,25.5882,35.9465,111.1225,30.1452,0.0776,0.3497,11.0326,1.761,34.4402,5.5144,9.884,5.8028,11.8383,16.4191,40.2953,8.0439,30.1686,21.0881,25.4677,14.9274,13.523,0.0
SVN_E,4.0928,0.098,0.5822,1.1457,0.038,13.7813,2.3081,3.4308,5.486,0.0271,5.9317,9.9319,7.3263,5.5131,148.5826,63.4574,5.2032,5.6656,3.9179,7.6606,0.2604,5.4028,17.9757,161.42,41.4029,38.9242,6.7839,0.1087,0.645,6.7483,0.6081,16.9825,8.919,1.2999,1.4905,3.896,5.9681,19.8817,7.8522,16.6626,12.6119,15.6828,5.6797,7.307,0.0
SVN_F,17.2731,0.0517,0.5956,3.3802,0.1142,8.959,1.5136,18.8924,2.9932,0.0196,4.1456,23.7043,6.2721,18.3786,14.7782,53.0222,2.0134,8.3436,9.6207,9.5886,0.2305,85.4161,85.912,87.6824,1588.7261,111.234,46.9191,0.2106,0.6742,29.9844,1.6407,35.9977,5.6644,2.7067,2.9229,19.9174,78.8882,390.5723,31.4541,172.0874,24.7437,35.772,10.3035,2.9335,0.0
SVN_G,116.1615,1.6867,1.5531,7.139,0.3546,228.2558,71.3325,36.2402,48.2256,0.4087,51.7012,91.9186,70.8341,45.0624,82.1141,101.5109,30.3385,103.0301,53.4636,141.3408,3.6475,40.4214,74.1183,54.5698,211.1708,465.9019,212.7013,1.7403,53.5841,32.2007,7.0146,126.0888,24.8515,29.6982,35.9219,49.8745,29.0304,127.2259,42.2958,53.6607,47.3959,71.0918,36.3349,22.9987,0.0
SVN_H49,25.2529,0.1889,2.1126,28.6629,0.1778,47.2144,7.0823,14.925,31.9601,0.5215,27.3879,23.4464,23.4505,37.1066,40.4903,54.7342,6.601,41.0175,21.7554,51.0007,1.5867,17.7159,16.0967,21.9901,69.6714,185.2544,338.1186,0.6716,2.4162,133.1048,9.8088,9.7816,8.7996,2.1376,4.4753,5.614,2.6734,18.3351,47.6748,16.4234,13.6155,10.8207,10.751,7.9521,0.0
SVN_H50,0.7711,0.006,0.0113,0.084,0.0039,0.9219,0.6339,0.2584,0.59,0.0043,0.7362,0.4164,0.6887,0.4091,1.0843,0.866,0.2609,1.1416,0.5198,1.4723,0.0414,0.3782,0.562,0.2236,1.1991,1.8721,1.9134,6.4676,0.1847,3.6693,0.0326,0.4494,0.06,0.0437,0.0617,0.1482,0.1021,0.3844,0.4312,0.1178,0.2157,0.3419,0.0948,0.0771,0.0
SVN_H51,0.7927,0.0045,0.0329,0.0908,0.002,0.8474,0.3463,0.2109,0.378,0.0026,0.4526,0.32,0.4978,0.2196,0.8355,0.8928,0.1497,0.7434,0.472,0.9506,0.0194,0.3301,0.6656,0.186,0.9484,1.2747,1.2452,0.0028,0.0518,0.1452,0.0175,0.4693,0.1648,0.0689,0.116,0.1546,0.1945,1.1826,0.1618,0.1929,0.2481,0.4548,0.1747,0.196,0.0
SVN_H52,4.8479,0.0718,0.0927,1.6018,0.1063,13.8969,2.8903,2.685,8.5343,0.0469,6.0512,22.9796,4.8452,5.38,6.7236,11.4202,1.9488,8.5082,4.1342,9.5157,0.4938,3.6881,7.5172,6.9591,15.7191,112.1106,141.8754,5.5276,33.1289,323.946,14.2713,8.0052,1.5692,2.8827,2.6115,2.7252,4.5214,7.0345,4.5141,8.3716,2.3545,3.4021,3.097,1.6661,0.0
SVN_H53,0.6081,0.1353,0.0306,0.4644,0.0116,1.7453,0.4352,0.7246,1.6548,0.0816,0.6396,3.4177,0.8256,0.7672,0.7832,2.7913,0.473,1.3577,1.55,0.957,0.1317,1.7383,5.4912,5.3793,4.0837,39.9009,8.4531,0.0442,0.3026,3.5727,29.419,2.5556,18.8627,7.8431,15.0413,44.3077,2.0144,6.895,5.7904,35.5221,3.5692,7.6313,2.4048,12.7368,0.0
SVN_I,0.4043,0.0502,0.0344,0.1767,0.019,1.9647,0.2771,0.566,0.6005,0.0017,0.7895,4.7781,1.1505,0.9186,0.4129,7.3744,0.9762,1.8506,3.3491,4.2198,0.5309,3.2026,1.4812,0.4823,12.0662,17.1452,13.8438,0.073,1.5798,2.8673,0.1557,11.1002,1.0317,3.1264,3.677,1.993,0.3674,9.3011,78.2902,4.686,8.6543,4.9816,9.2038,5.9678,0.0
SVN_J58T60,1.1289,0.0461,0.03,0.1546,0.0114,4.1079,0.5598,0.5251,1.8673,0.1331,1.037,16.038,1.1733,1.1191,5.3133,2.8739,1.1003,2.313,2.2767,2.0995,0.204,1.334,2.346,5.2264,2.2616,32.6842,2.763,0.067,0.9112,4.1261,0.4999,4.1517,77.3825,15.8902,2.8591,6.0638,0.7907,25.8904,6.2289,6.3708,4.4034,2.5374,5.7122,5.2726,0.0
SVN_J61,1.0859,0.0771,0.052,0.2483,0.0323,2.6759,0.6222,0.9432,1.3094,0.0099,1.2434,4.7096,2.0128,1.0902,0.9453,2.9317,1.2734,3.9864,2.4337,2.0555,0.183,2.1035,7.8414,2.4674,7.5192,32.7875,14.4792,0.0917,0.9778,3.4448,1.7228,5.7575,8.921,301.4754,39.618,17.3065,1.4341,12.7434,5.5015,12.0347,4.9126,7.2234,4.3328,9.1299,0.0
SVN_J62_63,2.194,0.0977,0.4837,0.3622,0.0312,7.5522,1.4037,2.2361,9.2514,0.0361,4.6497,31.1631,4.3137,4.0394,3.5675,6.2594,3.3059,11.2023,4.9402,7.8393,0.1696,3.6867,36.8979,4.1301,7.5877,88.5895,9.1653,0.24,14.2539,13.0713,2.4687,7.927,8.8035,45.0275,128.8075,56.8523,3.6232,44.3119,13.1796,36.0611,10.5471,18.8643,7.9122,13.5404,0.0
SVN_K,20.4894,0.2106,0.9648,4.3833,0.2267,20.3142,3.5918,9.874,12.6454,0.043,18.6571,30.2977,12.5723,9.639,20.9718,32.8568,6.0672,28.4832,17.8933,32.848,1.4016,15.8826,49.6804,18.4429,58.4824,173.2922,58.1347,1.0876,6.5976,25.2792,6.0559,33.4803,6.709,16.5965,19.7056,408.5383,48.5526,72.2753,41.0477,73.969,6.4211,15.559,14.2067,14.14,0.0
SVN_L,2.1514,0.1509,0.0594,0.1942,0.0282,7.3474,1.4749,3.055,3.6128,0.0146,3.6879,6.4269,3.7079,2.1144,4.4904,13.5909,1.6788,6.7635,3.8475,5.2665,0.8335,4.3068,8.3553,30.9145,26.8667,163.0601,11.382,0.1417,1.922,16.7662,1.6007,31.316,3.4783,10.9552,10.8579,12.7085,25.5166,26.3317,16.6503,20.408,6.9963,11.0065,7.6298,7.2413,0.0
SVN_M,28.3339,0.4566,1.5347,3.7231,0.4781,65.2405,7.8329,18.5106,23.0679,0.2465,22.2635,293.7698,44.1335,23.8255,38.3487,71.1749,21.2764,52.0153,38.615,57.9055,1.5536,47.4068,68.1905,39.8202,306.5286,497.2957,87.5181,0.8079,5.6696,29.3635,2.4737,60.2658,66.0841,23.7211,39.0245,87.513,48.1906,564.6769,65.6159,101.1188,52.1182,64.4631,53.4908,42.5005,0.0
SVN_N,4.4278,0.091,0.5216,1.9771,0.1629,24.3891,4.8152,6.9618,22.0734,0.0321,9.0724,94.9461,13.9041,10.0268,16.0502,36.033,6.4565,26.6611,20.5784,59.7086,0.7081,22.7172,37.9975,14.4693,38.7878,177.6084,28.9642,0.1387,11.617,26.6134,7.5304,65.0102,12.2564,11.4314,17.4815,27.6365,12.1291,50.1024,132.7049,18.9468,27.6449,28.4773,31.0132,15.6697,0.0
SVN_O,1.8605,0.0923,0.0358,0.0694,0.0182,5.5605,0.6062,1.6564,2.2665,0.01,2.1284,6.4435,2.0961,1.071,2.3396,8.827,1.1832,3.8123,2.1541,3.1424,0.4555,2.6363,5.0386,18.3927,11.8762,75.5918,23.0046,1.6691,0.7894,19.759,1.2892,13.124,2.3058,10.0451,8.0877,17.1512,15.6831,17.352,10.7639,74.8828,4.8733,7.1859,5.4562,4.4051,0.0
SVN_P,2.9452,0.0447,0.0638,0.1705,0.0133,4.4702,0.4204,0.9211,1.403,0.0096,1.04,9.7736,2.0294,0.8646,1.4401,3.5462,1.6458,3.7253,2.0271,3.3164,0.1548,1.8963,10.2604,1.8825,4.8211,26.1064,4.4521,0.038,3.8977,1.9645,0.4731,3.5151,1.8871,2.6626,6.4465,8.6371,1.141,19.6221,3.5215,26.7796,26.4434,16.2786,4.0068,5.5293,0.0
SVN_Q,1.4269,0.0431,0.0901,0.0798,0.0059,1.8548,0.3446,0.4516,1.2921,0.0038,0.6526,4.2818,0.78,0.6551,0.761,1.9336,0.3278,1.2277,0.7743,1.3235,0.054,1.0932,3.8332,1.6875,2.5108,9.8896,2.2222,0.0369,0.2243,1.3313,0.3497,3.7737,0.6802,0.6988,1.1906,2.099,0.8943,3.4529,2.6908,5.4402,3.5475,132.7788,3.1855,29.5464,0.0
SVN_R,0.7833,0.0536,0.0975,0.2798,0.0037,1.7703,0.488,0.5445,0.6099,0.0056,0.4218,4.4714,0.4634,0.4487,2.3755,1.1697,0.3116,1.1889,0.5613,2.9262,0.0851,1.6307,1.1196,1.087,1.3573,8.6503,2.4931,0.0802,0.3014,1.6986,0.1539,7.4583,4.7207,3.9696,1.0774,3.4687,1.1935,3.462,4.0699,2.2553,8.2659,1.4534,101.9457,5.2312,0.0
SVN_S,3.5276,0.4622,0.0743,0.2619,0.0148,4.9144,0.6609,0.5963,0.7324,0.0301,2.0559,2.7388,1.1907,1.3089,0.5653,3.6092,0.6002,4.8524,1.133,1.4253,0.1277,1.2562,17.8466,3.3448,2.5854,22.4043,7.7062,0.2611,3.4588,2.8566,0.4495,13.2133,5.1093,1.9506,2.763,13.3921,1.5895,12.7749,2.9985,13.285,6.0677,13.0336,23.2374,54.1055,0.0
SVN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
