V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T
TUR_J61,52.4512,3.9599,1.4634,4.3915,0.9526,67.6347,81.253,3.9809,22.8912,0.0409,22.2638,7.0643,27.1581,23.8167,14.1865,40.832,7.7865,21.0653,52.9051,38.3434,4.0517,41.2698,1.426,18.3333,176.9982,720.0341,133.8769,11.4227,16.349,33.8485,19.1259,85.8255,47.3404,2097.3889,87.6479,394.0126,30.4223,169.0586,142.6861,342.4289,53.3883,95.6316,36.8696,175.3304,0.0
TUR_J62_63,7.5673,0.0861,4.5219,1.5172,0.8324,154.717,116.9985,11.62,42.0199,0.7717,69.3408,8.5519,71.7947,48.0795,125.3712,53.7291,12.0821,42.8134,46.5489,93.0065,12.661,98.6925,13.5524,89.4339,142.6143,1005.381,216.5198,24.155,15.2761,39.0275,13.9267,56.8941,93.9302,109.9598,336.5627,388.0439,10.0751,193.1201,358.3936,54.2132,29.3862,528.0395,27.7417,209.6218,0.0
TUR_K,168.6462,6.0129,42.0488,42.6773,7.2608,835.9062,652.5056,55.984,166.2061,60.1827,254.3043,51.1697,254.1351,370.3481,350.4424,326.2075,84.2794,441.5773,364.8491,532.8289,69.0692,430.7302,303.9556,126.9422,2079.9371,2835.2102,1696.8622,92.6585,511.8655,251.1937,56.9282,342.4794,80.6743,281.3418,97.5703,5392.2847,1100.8068,366.5846,567.3241,489.5153,298.7317,305.9408,260.9805,323.3084,0.0
TUR_L,36.9232,2.3497,7.6485,13.5444,1.8237,333.5793,1020.5724,24.6373,227.0118,1.0818,114.412,26.5086,202.4274,156.2156,103.5604,242.838,23.6767,113.3793,213.663,69.2617,27.2645,355.4045,27.5642,72.1047,777.5988,6600.221,715.1983,28.1838,125.491,508.6619,269.5679,2199.7899,160.1406,414.6119,117.2563,1295.4179,939.5417,614.7284,401.2274,440.5642,364.8005,587.1775,263.4831,400.185,0.0
TUR_M,183.3645,8.0529,20.5537,19.1872,14.0796,698.5854,451.936,38.7711,271.0301,1.8448,357.1257,69.1818,207.3556,260.4909,123.1089,298.5282,90.713,374.2251,297.9769,374.1324,48.1623,361.5626,18.2524,81.0572,4247.5129,4094.3185,771.096,32.257,261.8931,190.1477,63.1066,524.0134,397.5201,492.7739,396.4569,1533.5175,257.236,2992.9444,642.78,824.1381,125.8473,568.9547,462.3138,953.1748,0.0
TUR_N,155.7028,1.8451,26.0506,16.4974,12.3958,613.8615,441.4943,27.6859,130.2151,0.7472,154.8616,212.7218,176.3235,298.0312,136.8782,257.0879,37.7793,170.7255,252.2488,338.511,64.1976,246.8603,18.0414,700.0861,2348.807,2530.4293,1019.8989,64.2779,471.8298,422.3386,215.3162,443.7802,216.2747,740.717,119.138,566.8989,1177.7251,585.2886,2202.8531,2969.5355,683.668,1355.8737,673.6126,411.5001,0.0
TUR_O,153.3136,2.0487,4.7194,12.6662,1.1818,154.7478,130.4557,9.2344,74.6536,1.9626,57.4134,7.3061,49.2005,61.9503,74.8006,74.1495,16.3325,41.1095,47.1699,49.565,9.1614,61.8311,34.1822,60.6727,413.5164,986.7561,401.3442,62.3703,87.9494,140.0849,50.3588,240.9845,57.6905,122.0814,44.6797,372.6465,170.8492,220.6199,93.5023,580.4132,192.265,162.6479,104.366,74.8739,0.0
TUR_P,1.7285,0.0262,0.8038,0.3221,0.1793,22.5511,9.0581,0.4492,10.7344,0.0935,7.6003,10.1236,8.3312,8.9588,5.2484,8.202,7.0936,17.1193,13.4056,53.0956,2.9489,10.7566,0.661,3.0892,13.9127,137.8152,25.7863,1.6508,91.9166,9.3078,2.639,12.28,9.3599,12.6918,16.822,158.6883,6.7109,116.5911,51.5991,801.119,491.2212,27.6016,28.3546,45.766,0.0
TUR_Q,20.2398,0.0024,0.574,11.0414,0.1469,1.8081,2.3302,0.5251,3.1324,0.025,6.5092,0.5687,0.8861,6.4936,9.1419,9.2224,0.9177,4.2345,10.2965,4.8019,0.1505,3.0752,0.1118,0.8962,3.1171,9.6207,26.6277,0.2038,6.1335,0.4936,0.6541,0.75,0.6982,2.1013,2.4935,19.7177,29.7642,2.9963,3.3994,17.4064,16.4042,1793.661,10.3211,27.0996,0.0
TUR_R,0.1875,0.0,0.3118,0.3339,0.0296,34.0344,0.8615,0.0,7.5583,0.044,8.0596,2.9315,5.5902,5.8282,1.9674,6.5666,1.219,2.3999,2.0632,7.7267,1.2425,4.1991,0.15,0.1511,2.4579,93.8341,14.6275,4.5429,13.8555,1.6629,2.4235,102.9401,220.6191,64.2117,10.4291,2.8371,4.018,166.8279,75.015,11.6069,8.8357,25.4319,1323.2339,0.3622,0.0
TUR_S,25.6908,3.6812,0.7743,2.0627,0.361,36.609,47.8818,2.7723,11.7003,0.1337,12.5839,2.3674,17.144,13.7044,11.6852,30.3582,1.6444,10.961,16.5381,24.0558,2.4364,19.1393,1.031,8.509,46.8225,388.5506,105.1273,24.7896,12.1429,43.226,7.2093,98.0181,9.2535,30.5531,21.7243,64.7915,19.7007,68.7201,194.6044,14.6202,22.9088,34.1152,12.1683,333.0856,0.0
TUR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
