V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_C20,244.4893,3.2006,5.387,0.5429,2.9914,39.7028,79.5524,32.0992,25.0096,16.299,226.544,19.137,296.4132,33.3802,25.4769,32.0567,22.8423,51.7331,27.2186,128.5199,10.3946,69.7332,27.6995,45.4241,150.2058,63.7771,70.2199,2.2694,1.8673,3.2359,1.4212,6.3355,16.2138,1.1395,15.8089,4.2023,50.3839,42.6254,36.0302,4.8409,10.2986,52.5332,4.226,20.9211,0.0
ROU_C21,7.3235,0.0398,0.1036,0.0159,0.009,2.76,0.9008,0.0,0.0,0.0,0.0,11.1025,0.0,0.0,0.2906,0.0,0.0,0.0,0.0,0.0,0.0807,0.0,0.0845,0.0077,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.3468,0.0031,0.0,0.1743,0.0,0.0,5.1525,0.1928,0.0,0.1559,211.9205,0.0258,0.0256,0.0
ROU_C22,8.9955,0.4237,18.2348,1.2972,1.9229,49.374,43.9944,18.4053,11.1703,4.994,21.1712,3.7361,367.2622,22.5747,30.4247,56.3527,49.3818,118.6112,79.8538,581.1721,13.0119,41.1385,44.2497,8.2057,281.5351,202.4155,429.2302,0.4047,1.3061,15.9728,2.5179,1.5843,8.1123,51.0061,13.4659,3.7876,18.5737,65.8245,17.4465,3.7961,0.7509,4.3774,10.3055,9.9499,0.0
ROU_C23,5.0143,0.489,3.1441,0.5493,1.3401,47.5189,4.1557,11.4659,1.0066,5.1648,6.8824,3.9187,14.2196,132.042,58.9328,22.9628,8.1496,30.8454,24.3593,55.1827,4.9927,22.6745,21.9759,37.6052,2132.0803,45.6706,87.9536,2.2894,0.149,2.106,0.0,2.0533,5.0419,22.7785,2.2168,6.0719,22.7202,21.7937,10.1972,0.4955,17.0145,3.7452,30.8016,64.6829,0.0
ROU_C24,7.0995,0.047,16.1682,0.9615,4.0135,3.3342,1.234,5.7795,3.6616,12.9254,15.641,0.6808,5.3328,35.7844,469.5842,371.9372,49.8128,162.7117,282.3971,780.1037,47.0889,44.4426,59.4812,6.8603,877.6552,57.3381,103.6695,13.177,0.0,0.3526,0.0,0.7565,3.4764,93.8028,2.544,0.0,5.2407,76.6289,22.888,28.6766,3.6223,0.2498,16.0188,8.1034,0.0
ROU_C25,56.0311,0.9921,47.3134,5.9971,5.7918,33.7239,13.6452,59.8662,25.8402,251.9999,51.0564,9.0475,59.7483,64.0726,101.9744,434.1975,64.9685,157.2393,209.7947,298.2419,32.4825,113.7112,315.0662,11.1883,915.6849,48.7516,242.5465,4.5342,13.9323,64.4368,0.0,1.3626,4.6992,13.1613,6.6109,3.565,13.4829,114.9683,23.3561,23.7097,1.3161,4.3963,20.4888,15.4807,0.0
ROU_C26,2.5078,0.1776,1.0302,0.6152,0.2572,4.7681,0.9246,0.869,1.51,1.1783,1.5311,0.3034,6.9453,2.2906,8.18,6.9543,57.0081,29.9434,15.9498,48.3109,5.0256,12.1165,20.9494,2.2906,53.9273,133.1708,22.8659,0.2897,0.3027,3.7874,0.6004,0.5673,1.8162,60.3617,95.9098,11.7812,28.7038,21.3303,5.4528,2.3408,0.8497,30.696,1.9519,4.2713,0.0
ROU_C27,6.7333,0.6193,7.5494,0.7067,0.4934,6.7952,1.4906,3.4313,3.7002,3.8664,1.9192,1.0685,17.1054,5.2496,23.8617,23.9649,50.8641,154.6582,60.429,208.4663,13.6303,27.0896,90.1513,1.8417,220.7957,128.0443,99.9369,0.9736,0.2309,13.8874,2.7877,1.7942,2.066,71.2806,47.1566,13.441,2.2822,134.9417,73.9966,1.3898,1.0154,3.1276,4.1859,6.0774,0.0
ROU_C28,0.3772,0.2761,0.2075,0.0236,2.0208,0.2226,0.1824,0.8047,0.0994,0.0979,0.1093,0.0403,0.2864,0.2755,0.4346,0.2062,0.1176,0.1505,1.0169,0.906,0.365,2.2233,0.7267,1.3974,4.173,0.7438,0.9751,0.018,2.0506,20.7204,0.0,0.7348,0.3219,0.1256,0.9581,0.7622,0.1073,0.3955,0.1119,3.2882,1.5612,2.6364,0.2757,2.3768,0.0
ROU_C29,28.7215,0.8248,6.8829,6.344,0.4675,39.7945,0.9999,19.148,2.695,5.1466,5.4912,1.3792,4.2224,20.6994,9.529,14.1977,10.507,63.5756,30.3227,1925.9325,75.4922,64.8965,57.1927,5.4091,124.2074,68.1934,1087.3677,0.9571,2.197,1.0394,0.0,0.9326,1.8824,13.6884,7.0902,4.2007,20.8627,143.1919,41.4239,5.5813,2.561,20.8308,5.3052,7.7106,0.0
ROU_C30,5.1292,0.435,1.9612,0.1645,0.071,7.5583,0.1672,16.627,0.0563,2.5452,3.5411,1.5371,6.2213,5.8358,7.9325,8.0221,0.0015,0.0816,15.7199,0.0148,175.5306,44.7678,52.755,1.1975,118.0386,61.9254,461.2805,55.1996,60.9595,0.0076,0.0,1.2637,0.0808,0.0717,0.0102,0.0,0.0572,1.9265,0.3184,0.0,0.0009,0.0072,5.491,87.6308,0.0
ROU_C31T33,315.0124,0.194,13.2706,0.7372,7.9271,18.6948,10.1482,34.0847,4.9146,16.3417,8.4554,2.0771,22.506,17.0612,24.2227,48.3335,63.7427,50.181,57.8981,372.407,25.1619,61.6392,82.2276,13.873,297.2836,237.8907,658.0644,14.6153,31.301,93.4932,0.5122,18.5085,5.8322,81.0636,2.8535,52.3214,71.6606,74.945,16.3146,10.074,12.4101,28.3195,8.1135,14.8458,0.0
ROU_D,259.6619,1.2601,196.2292,16.2332,9.3597,401.7543,159.4928,186.7636,95.4272,174.6737,305.0171,27.0485,211.9989,272.7928,341.9699,265.6515,86.6079,286.8565,253.1745,627.3121,86.7469,179.3253,3264.657,224.2397,1111.7772,876.3654,148.6618,6.0291,18.6673,229.3561,35.7284,103.8996,28.1076,105.6938,192.9805,136.2995,90.8051,586.6402,219.9467,22.7731,36.3567,61.1584,56.7093,92.7257,0.0
ROU_E,32.4899,7.3775,8.9068,3.8331,1.7086,12.7024,10.0251,9.8949,8.4043,5.8533,2.2523,3.0932,9.2524,4.5834,3.9187,6.9731,3.9172,19.714,4.1799,21.3369,5.4499,10.3398,16.5787,21.858,991.165,71.4685,11.5055,1.1927,3.2788,39.3869,6.838,42.2195,9.9816,18.3445,35.5385,10.4702,7.9441,109.8885,44.2748,2.2355,103.5335,238.3443,16.4538,33.8884,0.0
ROU_F,82.1577,1.664,37.5089,9.964,6.2627,172.6119,88.0374,62.1543,46.7136,115.8176,78.5175,21.2439,74.4395,102.9775,62.9236,67.7318,25.2668,93.97,65.9723,119.7196,31.2163,67.9368,920.2637,104.1475,2058.583,1067.5161,985.0185,8.4117,15.7887,190.0752,42.605,98.0138,50.4834,201.4327,160.0813,106.1123,212.459,547.6791,223.1284,417.6195,155.1515,201.5865,204.5614,109.1011,0.0
ROU_G,955.6382,33.7799,62.4353,14.4389,20.8213,2031.0363,450.4558,234.3908,82.2809,640.8905,245.2511,49.3103,341.9261,226.7682,362.1595,216.5514,133.5109,239.8735,201.5147,1045.2417,77.3499,294.2678,938.5919,96.9746,1954.9832,2542.2495,1362.711,21.0224,34.3012,103.6516,16.9225,490.5715,62.9202,202.9412,128.2938,72.8169,148.9333,425.5685,141.623,135.347,108.7658,767.1585,119.5922,273.4307,0.0
ROU_H49,217.561,8.7618,33.7477,12.3132,13.954,398.2526,56.1131,84.861,20.6468,368.2557,63.6329,9.0219,78.0771,101.3586,123.35,80.5704,34.4179,68.2186,60.7175,277.529,24.6428,79.098,383.7772,24.5847,724.7081,846.4196,276.7938,5.4159,8.0458,24.3184,20.2414,75.5791,12.8326,33.7849,25.9475,17.5244,31.6854,100.4798,56.7231,21.6779,18.4947,80.7043,28.9217,59.4961,0.0
ROU_H50,15.8213,0.4689,0.9935,0.3804,0.2923,24.6929,7.2869,3.8388,1.9669,19.5161,5.3835,0.8845,8.334,4.9497,8.9747,5.5068,2.8386,5.662,4.6582,26.7724,1.7746,5.681,22.4333,1.7789,38.3936,23.8242,21.8656,0.0749,0.5481,1.5678,0.2131,4.7336,1.3771,3.1446,2.8552,1.1477,2.983,7.1022,2.215,1.8301,1.3268,10.6506,1.5994,3.5928,0.0
ROU_H51,1.3674,0.0058,0.0398,0.0033,0.002,1.339,0.5791,0.2216,0.1952,2.4089,0.7997,0.0666,0.7096,0.0975,0.3537,0.3433,0.1093,0.3558,0.1893,2.0187,0.0644,0.2814,1.4993,0.0464,2.6412,1.2644,0.8374,0.0042,0.0013,0.0554,0.0023,0.2373,0.1576,0.1826,0.0994,0.0235,2.0218,0.11,0.0381,0.002,0.0169,0.54,0.0145,0.1175,0.0
ROU_H52,76.1781,3.0793,26.7263,15.4031,6.4375,129.863,15.742,42.4134,7.6664,121.3695,27.091,9.6342,41.1898,44.7203,45.5954,36.7305,21.0556,25.1974,30.4063,96.6477,19.709,33.8504,122.6139,12.0013,278.0639,623.893,98.2339,16.279,9.807,18.3295,2.8965,16.9788,5.8864,52.5431,16.6374,44.623,11.5511,55.8146,62.8451,63.6719,12.4559,52.8412,9.863,34.5994,0.0
ROU_H53,2.8127,0.0,1.8995,0.2713,0.3876,6.7241,7.4119,7.0729,0.5192,0.3637,2.1316,0.2183,0.6274,3.0968,2.2552,4.6721,2.8708,0.0,4.8319,15.2179,0.346,5.6795,11.6467,1.4405,23.2929,374.9369,36.2742,1.6011,7.4758,2.7948,4.909,5.881,0.7244,14.0838,2.3284,0.6334,0.5846,20.9508,3.0599,13.0775,2.7927,6.0269,1.6972,11.5547,0.0
ROU_I,18.7306,0.6635,23.03,2.3012,3.1889,42.2371,18.2214,13.33,5.7312,7.9581,13.0174,2.4273,12.9164,19.4468,11.015,34.2092,10.079,15.2865,27.3543,85.4082,3.604,14.0913,42.345,18.5538,349.6893,416.7874,143.411,14.1006,26.1589,34.2122,5.09,13.584,8.1885,51.4605,29.0421,25.7612,82.1845,125.5091,76.9028,256.4835,104.7319,130.4802,10.0437,39.7631,0.0
ROU_J58T60,15.692,1.3062,8.2189,2.4049,0.2307,13.5588,10.7351,15.1395,7.3017,4.3783,1.6202,3.1552,7.7073,7.202,10.4547,10.9289,11.5944,24.9814,9.6126,53.1375,6.195,15.9894,21.4579,23.9823,23.1195,187.2069,10.8819,1.039,8.7463,33.6763,12.8157,87.3423,105.0793,36.8748,33.8215,37.3373,30.1254,105.1725,35.3598,37.1944,90.2235,24.6307,61.9355,23.1519,0.0
ROU_J61,8.7735,1.5257,13.754,1.9381,1.5964,29.386,20.6308,12.3848,5.2092,2.7715,17.3426,3.1159,18.5493,10.8521,10.7002,39.2191,10.0852,13.3332,15.817,52.8983,5.8729,16.1319,149.1177,19.2338,86.6612,661.4067,85.9063,3.8661,42.4364,85.0702,23.4588,13.5641,55.8029,202.6043,24.1889,99.7288,302.7864,99.7957,80.0316,54.3105,7.3689,12.6718,9.6665,27.7734,0.0
ROU_J62_63,31.9132,0.5612,22.7934,13.1927,1.3912,98.4338,58.0053,7.2355,113.3816,55.4528,21.8577,2.4679,7.0167,36.9712,40.5415,105.2,35.7794,15.4377,41.3359,164.8478,67.5049,43.7918,179.6347,80.3363,277.3399,952.766,199.1067,19.8242,54.3184,31.4649,4.9109,21.2533,7.6288,14.7682,132.0862,340.5929,133.0519,339.2487,34.6762,88.983,56.6551,98.7968,11.0126,17.0537,0.0
ROU_K,50.1123,10.8481,40.2587,5.7436,10.9499,293.5603,92.7474,70.6386,32.742,211.4397,33.9399,10.5991,58.5053,37.6449,80.16,58.0974,60.1365,78.7866,58.6325,276.3732,28.9086,67.0164,269.1293,73.7003,344.6101,1437.4876,279.7385,21.916,31.4506,88.457,34.2929,35.5717,34.9907,103.8325,130.7342,521.697,922.084,373.3445,189.381,37.1623,47.4411,57.8559,61.9064,90.8874,0.0
ROU_L,7.9876,1.6093,6.8547,0.1425,2.4697,18.6554,16.1009,6.0479,13.8339,6.7792,14.6192,1.1869,3.3461,16.4326,10.9001,5.2608,6.9438,10.995,5.7876,80.8094,6.1132,6.4086,29.2124,20.3642,595.215,2610.6456,55.2382,1.9431,13.1208,0.916,10.5937,10.154,7.3166,33.8137,117.9515,22.5334,306.7504,80.4563,37.5654,66.9467,13.9326,71.3017,14.5408,41.5642,0.0
ROU_M,571.7883,17.0457,95.6795,8.3153,10.5637,108.6938,121.4419,199.5058,112.47,85.2267,30.2688,68.0529,188.9878,84.936,41.1711,133.0708,79.4378,403.7541,66.1692,391.9542,49.8147,182.2286,151.6622,355.9153,444.5943,1851.5938,147.1699,21.4276,68.2552,507.3087,53.0276,23.0893,180.3632,385.1382,479.5165,201.0428,314.0715,2248.8403,863.9202,35.2463,39.5921,114.0828,278.7197,455.7342,0.0
ROU_N,94.77,5.9371,45.0386,4.7781,17.7766,68.9223,75.3174,95.5879,76.6811,41.3997,14.4462,32.553,91.7647,40.0798,25.4345,64.2536,38.2691,194.1095,31.7903,187.1579,29.9591,100.4383,72.0568,207.1804,213.019,668.9109,69.8669,10.2875,32.6684,399.4709,62.7555,14.1925,97.7647,187.0107,336.2741,98.8869,178.9476,1079.9561,421.7242,16.509,18.9181,56.8815,133.7904,217.5841,0.0
ROU_O,36.1067,1.2763,16.0116,1.4975,0.6271,27.3164,18.9136,17.0489,8.6697,7.8448,4.7949,4.7217,17.8378,11.8107,11.4647,21.8933,12.9655,34.1216,11.9879,60.2408,10.7672,24.0795,41.3588,24.0644,149.7469,186.8727,32.0717,1.7001,6.663,40.3315,5.5258,11.9143,12.5206,58.5619,34.4324,25.5938,50.7059,163.9835,62.721,88.4019,36.7259,29.596,28.8888,36.181,0.0
ROU_P,17.8335,0.6415,22.4821,1.0619,0.242,17.2234,19.2884,18.1015,14.0758,7.5472,2.9886,6.0948,16.6439,8.074,5.653,12.3485,7.5488,38.9549,6.3117,36.3935,10.2665,18.9856,14.5482,36.7562,44.4189,131.2905,13.8572,2.0319,5.967,70.8862,12.1166,4.0905,17.6914,36.7058,60.2813,18.5846,44.0118,200.788,79.0308,3.4953,4.6368,11.5785,25.662,41.962,0.0
ROU_Q,0.3672,0.0303,0.2841,0.0154,0.1649,0.2752,0.0435,0.3949,0.1353,0.1222,0.039,0.0629,0.1943,0.1213,0.0914,0.156,0.0991,0.6391,0.097,0.4932,0.1762,0.3416,0.2345,0.2808,0.7048,1.7292,0.2597,0.032,0.0903,0.2916,1.3136,0.039,0.1855,0.5485,0.1788,5.0961,0.8326,3.0934,1.3175,0.0571,0.8314,206.4753,0.257,0.6629,0.0
ROU_R,4.5468,0.3643,2.4691,0.4671,0.0329,14.4281,4.3978,1.2221,1.02,0.9219,1.761,0.5533,1.0025,0.6538,2.9761,3.1799,2.8396,3.5532,1.4208,5.1582,2.1533,1.8736,2.1156,3.618,8.7867,14.8003,6.4435,1.4499,1.3153,4.7175,0.6441,223.3679,20.9108,4.5222,7.8168,15.2758,5.5892,25.655,9.0485,68.8735,121.551,9.3081,181.3604,9.0305,0.0
ROU_S,28.9487,1.8961,13.172,3.3887,1.0811,48.6853,26.8482,15.8652,10.7659,8.9541,5.6019,5.0137,15.1517,9.4923,8.4899,23.6021,13.5663,35.2148,12.4697,45.6687,10.1885,20.2861,19.6686,42.1597,98.0261,144.4246,278.3175,15.6401,7.8168,50.5314,8.2442,127.1119,21.9527,39.9857,53.2177,46.42,58.4785,173.2936,73.4025,110.2154,72.7689,433.2624,52.4759,140.4144,0.0
ROU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
