V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T
NLD_C23,46.4877,0.1673,0.5557,2.3232,21.1476,187.4979,2.8404,20.3268,6.1995,3.4563,35.5564,9.2575,17.4191,520.8948,29.158,64.3677,32.7232,57.2713,29.2434,10.9735,21.5468,150.6563,23.2678,7.5564,3394.1343,56.2534,4.1775,1.5003,3.3062,2.1895,0.2936,24.6842,5.1594,2.774,4.1453,30.2874,195.4365,42.515,19.155,56.9323,17.6825,50.1816,17.2575,15.1237,0.0
NLD_C24,0.5575,0.0,0.0,0.0,0.0,0.0,1.297,8.3947,16.5389,0.0,58.9637,0.0,33.5711,75.4596,882.2514,2363.8843,137.859,217.4927,613.7815,161.6722,150.327,111.2825,0.0,40.4318,737.2919,88.7858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.6414,15.002,0.0,5.8623,21.3273,0.0,0.0,3.9642,0.0
NLD_C25,107.9222,1.8397,4.1404,3.1814,25.4332,599.3399,9.1422,102.5735,79.7231,19.798,200.0367,11.3886,23.1679,62.2585,97.277,2448.2291,263.6618,27.2578,1984.0136,248.3734,720.0869,1096.2847,54.0704,95.3982,4763.5642,509.7287,28.8765,18.0597,50.1052,23.1603,2.2006,25.2154,31.5678,24.077,25.4352,34.6661,65.6113,339.0698,57.3304,548.8501,80.7342,65.6413,14.6938,31.3728,0.0
NLD_C26,232.0387,8.8186,10.6119,4.4009,37.198,328.4412,21.5939,22.0358,78.0681,54.0848,241.963,33.4389,42.2442,47.6805,95.0496,121.9301,2284.4545,99.0963,1277.8872,63.716,220.9032,327.4589,113.8363,66.3247,923.0164,606.6592,98.909,69.5271,117.3818,84.0146,14.7213,79.7366,68.3872,1362.2603,546.9128,216.403,98.5914,529.8856,187.1804,381.5426,94.8611,586.3286,38.6412,48.444,0.0
NLD_C27,39.2227,0.7665,2.4389,1.1959,9.4089,47.3932,3.8762,4.2787,17.4274,9.5345,54.2312,8.3634,10.6037,18.5705,18.3773,82.8773,210.0534,275.7582,187.3222,32.5431,83.5833,131.3567,27.3248,16.6914,541.9774,190.3992,18.1416,10.5827,21.0843,17.9014,3.931,13.584,6.0048,123.4401,36.4087,100.1264,36.9997,162.099,40.9132,102.7687,26.3124,40.7118,10.7606,14.846,0.0
NLD_C28,189.3486,5.1062,10.1644,6.0396,44.9354,158.1563,11.4674,23.7311,75.2968,37.5381,180.5015,15.6304,30.6429,45.9531,114.3547,288.9041,330.4036,95.5832,2547.5734,290.4807,330.2423,585.2668,79.2583,47.4586,1036.376,720.6175,54.5599,38.7663,114.2615,34.6685,4.5002,22.6925,19.7206,49.4689,40.1126,23.8983,27.501,246.657,75.6561,140.3311,17.617,51.2049,10.6202,16.2795,0.0
NLD_C29,12.4433,0.1331,1.2452,0.1501,1.0316,21.9278,1.2539,1.7344,5.2546,2.637,10.4677,1.3433,2.1859,2.5966,3.3449,14.8616,19.822,7.9152,31.4423,553.0136,9.4363,13.2829,3.0429,9.4722,57.0153,402.4834,16.9976,1.3056,2.1947,4.264,0.5921,5.5515,1.8004,7.7495,7.5979,9.5652,6.341,24.4538,46.4433,16.9064,3.6055,11.3133,2.5188,2.7919,0.0
NLD_C30,0.0,0.0,0.0,0.0,0.0,0.9103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9437,0.0,0.0,0.5253,57.513,788.5431,48.4973,1.0196,0.0,8.5321,22.5402,23.5131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.797,0.0,0.0,0.0,3.8577,0.0
NLD_C31T33,800.3103,18.723,39.5652,15.2176,143.5675,507.0963,35.8196,51.918,168.3915,149.6695,522.3055,59.9904,88.8663,123.6439,410.8707,202.4792,247.8741,82.9215,240.8748,37.2432,377.3428,686.063,362.7356,182.6723,1040.3259,725.6967,279.394,192.0855,580.6253,186.7585,9.1293,88.6794,19.8657,100.9162,119.8754,109.2158,185.5963,248.5319,394.3108,590.8371,74.6127,316.6237,31.3393,62.2008,0.0
NLD_D,682.3092,10.2678,484.9437,28.2205,86.3717,690.793,58.9939,44.2102,307.9867,407.1787,1165.8134,58.3425,217.2022,195.7326,713.3517,250.5621,79.9048,52.76,137.4275,50.0574,27.6088,70.1519,2866.7123,176.5555,753.4165,1787.2573,276.6145,10.9137,2.6465,270.7412,21.2543,524.3337,42.7877,159.8084,116.9341,293.183,662.1534,423.2258,182.3074,751.1232,316.2037,566.1102,370.2606,224.4757,0.0
NLD_E,259.3184,1.6069,11.4364,7.5854,25.563,211.3965,35.9451,8.4108,301.2586,46.7457,365.2629,42.269,52.4764,99.0789,280.1579,57.9837,27.3728,29.821,30.0895,7.8386,11.5789,46.4378,157.8866,1625.4966,354.009,205.4131,69.8975,11.0812,6.2016,23.1853,5.069,80.2005,18.9594,13.855,27.0128,59.3888,78.3113,99.5699,53.0803,1102.1426,52.687,309.0682,57.6066,26.7884,0.0
NLD_F,444.6368,6.9137,38.0379,6.6769,37.7536,201.1638,17.9783,19.2791,67.7913,103.9111,192.7953,28.3878,30.0009,68.9952,66.5401,235.3553,72.0185,26.6911,207.6082,35.8752,86.5442,219.5725,1038.862,147.1321,29090.7517,829.9402,148.8189,25.7711,75.4796,1127.6426,19.1881,109.9509,25.4331,350.254,82.5593,144.0484,10471.3301,2296.9096,167.7535,6175.2402,834.2629,967.8509,203.7341,84.5328,0.0
NLD_G,3508.6677,35.3517,58.5107,21.7563,126.3566,10278.8621,523.8069,416.6248,1340.3427,734.8801,3546.8466,453.2221,601.8865,619.1035,495.8223,1421.04,2626.4867,465.0264,2232.1028,656.2427,641.8076,1529.0268,617.2608,863.6803,6702.9719,7141.034,1657.5168,203.3289,405.434,400.1401,70.4715,1910.5126,505.6748,721.9208,782.3228,1225.4135,829.8574,2398.1608,3957.5417,2212.1578,491.0514,2504.7101,618.4598,429.7481,0.0
NLD_H49,395.3811,5.4471,8.9168,4.2532,16.6127,834.7149,35.562,48.842,128.1972,656.0487,435.3457,38.7757,59.9321,115.6064,92.5786,192.318,196.3723,49.839,208.5793,94.0376,80.4692,130.7955,132.4227,362.2316,790.5748,1118.1424,5394.4481,91.2414,210.1272,801.9828,21.3738,122.5687,45.8833,104.4437,43.0873,75.3674,91.2109,174.4054,391.8036,240.9377,62.2297,324.7221,42.9825,84.1851,0.0
NLD_H50,30.5036,0.4237,134.2375,0.5414,2.7272,80.6997,3.5662,5.0195,13.0369,64.2924,57.1408,3.7221,7.21,10.7529,11.6853,21.2192,17.8194,5.5124,21.7557,9.3897,7.19,13.5192,18.5424,2.2125,75.5696,737.0324,330.5958,1171.7934,24.8713,179.9657,12.4511,12.2428,3.0901,4.827,4.7921,7.303,7.5499,13.8628,94.3571,16.2691,6.0988,18.2736,4.0727,3.377,0.0
NLD_H51,48.3273,0.6282,4.1738,0.9552,8.1614,136.9781,7.2205,8.2558,23.5101,57.9422,73.581,11.1675,13.6402,19.5081,20.7864,44.9159,32.3096,15.6082,49.6417,14.5112,18.3244,85.93,39.5085,16.9934,134.6331,145.5752,34.0446,17.7445,122.1029,47.4404,7.0389,31.2841,12.5744,22.8613,71.3936,89.7808,17.5701,146.0182,255.3679,77.5839,54.5411,96.4553,8.7551,11.0335,0.0
