V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_I,2.1777,18.2117,63.2675,12.3159,28.5435,61.4251,19.3596,1.2917,33.2488,7.8304,38.8771,67.1873,16.4678,22.5937,36.6319,23.8788,131.9761,46.5796,27.2018,178.8958,2.3291,42.0404,19.8628,19.4894,306.2973,291.0806,234.9579,22.5193,59.8183,19.3427,8.0873,23.2377,58.6063,69.0486,3.5159,169.2317,31.6904,73.1759,308.7331,1166.1182,146.8715,180.7802,25.0276,48.3274,0.0
MEX_J58T60,13.1854,1.2132,58.1691,20.7508,20.0899,116.0938,14.4093,2.8963,15.3449,2.9798,35.888,77.668,12.053,14.3479,9.7522,15.2645,26.0827,11.4901,11.2891,70.5869,1.3811,18.5762,13.8089,21.1614,34.1437,240.7503,26.6838,6.5234,25.3673,13.8861,2.5162,84.2562,296.6499,62.5169,3.956,119.1063,155.5804,132.8877,50.283,275.3002,141.7903,48.7253,99.4962,20.5472,0.0
MEX_J61,11.6895,2.8167,52.0246,24.0304,20.402,174.1855,30.3244,3.7229,36.6632,13.9155,40.0184,25.0393,29.4961,50.5889,9.2529,33.3187,15.2962,17.4738,19.4948,77.4066,2.1846,54.3255,15.387,18.168,690.3598,583.797,223.8931,7.7121,57.6499,59.8766,21.746,108.7702,229.3235,883.9694,32.911,3102.1769,218.9259,309.2218,317.6697,795.2318,250.4542,206.2641,61.8858,72.7853,0.0
MEX_J62_63,0.1791,0.0346,24.8486,5.4713,20.3543,25.0267,7.7618,0.5454,8.8455,0.7465,7.0999,6.6929,4.8993,12.0987,4.1504,4.3036,52.4237,5.082,10.0061,14.2391,0.4587,9.5514,0.3623,5.5032,3.3728,61.3199,30.5178,0.5678,3.6593,7.0134,3.3774,12.2813,43.9286,51.3412,38.2368,118.3417,36.2546,66.8184,31.5756,37.0075,55.5323,42.0087,2.762,5.1261,0.0
MEX_K,297.5355,16.8696,398.4579,188.6632,87.6494,657.8674,125.1409,18.237,117.646,126.6434,269.8469,93.4148,140.1904,255.9059,219.4208,177.2654,520.6393,137.1186,110.9284,572.6201,23.0854,97.5138,87.3934,57.5104,2918.4323,978.8658,478.6745,35.4183,141.0047,93.4066,55.3253,348.9406,96.1628,743.0884,79.0302,3958.2578,1666.8239,680.953,718.1167,1700.997,169.4305,112.8104,127.515,30.9413,0.0
MEX_L,5.0971,3.6939,6.2963,91.1768,15.3443,727.7134,244.5784,23.8804,197.4944,7.5459,123.7425,102.1526,134.3675,207.7999,83.5837,222.1131,361.8228,122.7102,84.0866,424.179,31.5316,383.3541,11.9452,35.7217,398.2714,8258.5871,616.4272,35.3284,88.7875,1134.4415,60.0322,412.9702,608.2663,873.4749,135.6514,1397.3947,3124.2456,1126.7656,857.1076,909.1876,739.1903,579.8483,290.0607,556.1185,0.0
MEX_M,57.0946,1.2351,717.8832,274.3241,806.0752,1228.7423,234.5963,20.7767,244.1097,248.0108,455.6826,538.6717,120.204,255.3782,307.1522,183.9385,964.4862,254.0217,268.1932,780.4754,39.5452,355.2301,256.9717,78.9448,2245.7232,2551.0545,1445.0884,58.851,207.6055,372.1705,121.2444,464.6519,642.592,651.4715,151.0518,3249.3107,1316.9238,2134.7218,1395.2751,1415.3857,565.6066,1458.8983,260.8866,311.1511,0.0
MEX_N,133.3241,42.0368,209.8134,537.6466,534.3389,2788.2762,675.0481,62.0307,619.8283,60.8126,859.6206,947.5118,735.0365,955.0176,517.9255,805.413,870.8505,571.3579,623.3133,2367.1516,72.7738,551.3296,72.8269,104.643,2480.7235,9788.1495,878.2196,144.9438,444.01,730.5418,196.3035,2122.522,1420.0427,625.4407,584.4168,1893.2427,535.4998,2354.2521,1595.9567,851.4183,510.7697,814.7851,548.6779,331.9511,0.0
MEX_O,0.0,0.0005,0.0001,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6605,0.002,0.0,0.486,9.2165,0.0003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2838,0.0008,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0
MEX_P,0.084,0.0205,0.0913,0.2754,0.2712,1.6724,0.4884,0.0287,0.6301,0.1003,0.444,0.3683,0.5332,0.8005,0.4717,1.2683,1.3316,0.8237,1.1226,3.7609,0.0379,0.5191,5.0957,0.093,3.5581,8.2527,43.5659,0.0654,0.5161,0.3655,0.1968,1.2379,2.5342,0.4054,1.5309,40.5187,1.5978,34.8426,1.0192,3.3046,12.4832,13.755,9.0031,0.1253,0.0
MEX_Q,0.1413,0.0349,0.1426,0.3153,0.8399,0.7538,0.2317,0.0208,0.1636,0.1119,0.299,0.1959,0.2217,0.2071,0.4791,0.2289,0.8354,0.2561,0.1787,1.1185,0.0302,4.8211,0.3017,0.1828,10.7149,2.7415,0.9387,0.0715,0.2686,0.3562,0.0591,0.5676,0.275,0.122,0.2076,0.9437,0.1811,0.5022,0.4229,0.9771,0.5376,516.6538,0.1497,0.1184,0.0
MEX_R,4.4237,0.5755,0.5662,7.5441,8.5642,8.1336,1.5944,0.2973,2.9342,0.3798,1.8744,4.301,1.5817,2.018,2.6555,2.4327,7.9645,2.6879,3.4197,12.8434,0.6153,2.7177,0.3288,0.8368,17.789,10.9551,4.2084,2.7311,7.6997,2.5406,0.2536,1.6204,66.272,1.5736,0.3098,10.8563,2.2593,4.6382,5.36,54.457,13.8047,1.8748,52.5036,0.5924,0.0
MEX_S,2.4823,0.3083,0.7513,4.2767,4.9121,8.5396,13.897,0.6175,4.5751,0.2162,3.1705,2.1405,2.2109,4.1503,2.4795,3.5498,2.8668,3.1066,1.742,10.7423,0.9413,14.6686,0.6053,0.8511,13.4597,94.1531,7.6776,0.8512,4.4229,2.9608,1.9927,127.9899,10.3384,1.3568,6.9401,90.1318,8.6998,49.3819,11.3552,46.4468,34.7262,87.2294,38.7065,32.8483,0.0
MEX_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
