V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T
BRN_C20,0.1248,0.0,10.5956,2.7674,0.437,0.0175,0.4068,0.003,0.051,1.1021,0.0061,0.0,0.0066,0.0,0.0,0.0048,0.022,0.0,0.013,0,0.009,0.0073,0.0,0.2829,1.1246,0.7086,0.1304,0.1113,0.5565,0.0,0.0537,0.0774,0.0385,0.0,0.0792,0.1527,0.1098,0.4067,0.3477,2.6152,0.1241,2.8687,0.0248,0.1041,0.0
BRN_C21,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0024,0.0,0.0,0.0
BRN_C22,0.1648,0.0001,1.0401,0.4989,0.0956,0.0588,0.2743,0.0034,0.0023,0.1642,0.001,0.0,0.479,0.0032,0.0,0.0453,0.1229,0.0,0.0766,0,0.1449,0.0574,0.0,0.1044,2.2582,1.7269,0.0071,0.0039,0.0434,0.0001,0.7037,0.0675,0.0197,0.7025,0.0244,0.6403,0.0076,0.1153,0.2431,2.5175,0.3267,0.2743,0.0097,0.0677,0.0
BRN_C23,0.387,0.0,4.1976,1.5851,0.3533,0.1305,0.0656,0.0094,0.0127,0.4989,0.0014,0.0,1.4254,0.0096,0.0,0.2705,0.3658,0.0,0.2271,0,0.3202,0.1926,0.0011,0.3008,5.6766,5.2946,0.0097,0.0117,0.1303,0.001,0.0002,0.2196,0.0279,4.5026,0.0794,1.9083,0.0406,0.3812,0.7155,7.4978,0.982,0.8013,0.037,0.0687,0.0
BRN_C24,0.0046,0.0,2.8841,0.5143,0.1502,0.0061,0.0143,0.0025,0.0032,0.0,0.0004,0.0,0.0023,0.0,0.0,0.0231,0.0163,0.0041,0.0078,0,0.0033,0.0042,0.0,0.0313,0.465,0.3962,0.001,0.0008,0.0168,0.0126,0.0,0.0116,0.0021,0.0784,0.0042,0.0288,0.0059,0.0188,0.0038,0.0525,0.0605,0.0326,0.0016,0.0183,0.0
BRN_C25,0.0426,0.0,12.5289,3.5618,0.9822,0.0531,0.1274,0.0157,0.0229,0.9485,0.0021,0.0,0.0168,0.0,0.0,0.0145,0.0521,0.0,0.0545,0,0.0449,0.055,0.0019,0.1048,1.7526,2.6329,0.0084,0.0061,0.1213,0.2432,0.0,0.0344,0.0161,0.553,0.0522,0.2073,0.0419,0.2125,0.0718,2.6765,0.1727,0.2341,0.0156,0.0278,0.0
BRN_C26,0.0111,0.0,1.2433,0.3003,0.0949,0.0077,0.0165,0.0029,0.0017,0.1091,0.0002,0.0,0.0021,0.0,0.0,0.0079,0.0081,0.0002,0.0049,0,0.0052,0.0037,0.0169,0.0094,0.2277,0.4369,0.0166,0.001,0.0108,0.0166,0.0,0.0134,0.0029,0.0444,0.0111,0.0179,0.0043,0.0189,0.0116,0.3859,0.0159,0.0268,0.0015,0.0022,0.0
BRN_C27,0.024,0.0,4.3594,1.2642,0.2515,0.0281,0.1136,0.0006,0.0119,0.0006,0.0008,0.0,0.0089,0.0,0.0,0.0074,0.0295,0.0324,0.0284,0,0.025,0.0201,0.1327,0.0173,1.298,0.4027,0.0035,0.0031,0.0627,0.051,0.0,0.0112,0.0136,0.2848,0.0224,0.1089,0.0223,0.0589,0.0183,0.1876,0.2514,0.1328,0.0062,0.0084,0.0
BRN_C28,0.0089,0.0,3.0781,0.8256,0.1534,0.0135,0.0313,0.0042,0.0057,0.1116,0.0004,0.0,0.0042,0.0,0.0,0.0233,0.0,0.0023,0.0136,0,0.0214,0.0097,0.0,0.0397,0.6405,0.6793,0.0017,0.0015,0.0301,0.04,0.0,0.0112,0.0048,0.1366,0.0104,0.0522,0.0098,0.0358,0.0147,0.3703,0.0759,0.0593,0.0036,0.0043,0.0
BRN_C29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRN_C30,0.0194,0.0,3.3741,2.2829,0.454,0.0208,0.0911,0.0063,0.0121,0.2072,0.0013,0.0,0.0076,0.0,0.0,0.0127,0.0603,0.0,0.027,0,0.0908,0.0124,0.11,0.0193,1.0859,1.4813,0.0037,0.0014,0.0624,0.0882,0.0,0.0394,0.0121,0.3174,0.0074,0.1047,0.0199,0.0567,0.041,0.9948,0.0598,0.133,0.0072,0.0166,0.0
BRN_C31T33,0.0126,0.0002,2.294,0.6267,0.2165,0.0112,0.0304,0.0033,0.0033,0.1084,0.0032,0.0,0.0035,0.0,0.0,0.0058,0.0003,0.0011,0.0065,0,0.0043,0.0083,0.0975,0.0048,0.5444,0.5261,0.0031,0.0024,0.0303,0.0012,0.0005,0.0198,0.003,0.0941,0.0076,0.0396,0.014,0.0357,0.0496,0.3121,0.0723,0.0598,0.0055,0.0091,0.0
BRN_D,0.3085,0.0001,12.8749,4.9109,0.4218,0.4034,0.5116,0.0152,0.0322,38.3316,0.1869,0.0007,0.1052,0.0007,0.0,0.0271,0.0,0.0163,0.0983,0,0.0914,0.0723,0.4004,0.2097,0.9157,9.6121,0.2464,0.0056,0.214,0.0033,0.0002,1.19,0.1596,1.2718,0.3977,1.0074,0.8087,1.1632,0.9202,15.0615,1.5536,1.3745,0.1728,0.1475,0.0
BRN_E,0.0522,0.0,4.4507,1.2713,0.1049,0.0393,0.0337,0.0039,0.0075,1.3393,0.0078,0.0,0.0091,0.0001,0.0,0.009,0.0,0.0019,0.0155,0,0.0151,0.0093,0.1205,0.1499,0.6202,0.9575,0.0433,0.0032,0.0599,0.0005,0.006,0.087,0.0223,0.1712,0.0908,0.2355,0.0693,0.2994,0.1962,8.0313,0.3631,0.124,0.0188,0.0259,0.0
BRN_F,0.6546,0.0033,33.9621,9.091,1.9571,0.5799,0.2637,0.0286,0.0497,6.5329,0.0379,0.0002,1.1561,0.0078,0.0,0.2847,0.2918,0.0347,0.2627,0,0.3731,0.208,0.2669,0.6699,19.4092,9.2112,0.1926,0.3262,0.7421,0.309,0.0131,1.0807,0.0923,4.8805,1.5319,3.5611,7.3306,5.286,1.9539,21.3271,4.5268,3.5023,0.0994,0.1478,0.0
BRN_G,5.1627,0.1587,187.2078,59.5633,6.8463,2.7485,4.8366,0.1271,0.168,48.1029,0.8615,0.0008,0.7041,0.088,0.0334,0.741,0.571,0.1051,0.9343,0,1.2862,0.6899,14.2654,0.9341,38.4459,27.4043,3.3312,1.9838,9.7456,1.5584,0.5845,7.7817,0.249,4.0399,1.5765,4.7114,1.734,5.8,4.19,53.2794,11.6343,6.3802,0.2843,1.1118,0.0
BRN_H49,0.4355,0.0236,0.122,0.2726,0.0932,0.2376,0.2154,0.0023,0.0161,0.0713,0.009,0.0,0.0454,0.0035,0.0013,0.0477,0.0588,0.003,0.0109,0,0.0697,0.035,0.0279,0.0485,0.0821,0.2104,0.0031,0.068,0.1522,0.1553,0.1009,0.8399,0.0081,0.0549,0.0484,0.4672,0.0395,0.2343,0.1986,0.5151,0.0548,0.1629,0.0083,0.0206,0.0
BRN_H50,2.2115,0.006,58.9427,13.9579,2.0564,1.1899,1.4495,0.0562,0.0569,9.7406,0.0437,0.0002,0.2874,0.0032,0.0005,0.5922,0.0153,0.0584,0.3485,0,0.6299,0.2421,1.227,0.2915,10.2333,9.4121,0.2577,1.3002,1.1284,0.0892,0.0257,2.4614,0.1125,2.4099,0.8635,0.983,0.2662,2.9181,3.499,20.8248,3.3467,2.0949,0.1343,0.1257,0.0
BRN_H51,1.326,0.003,47.3939,8.6755,2.0436,0.9028,1.5249,0.0349,0.0348,3.1344,0.0181,0.0001,0.1063,0.0047,0.0016,0.3583,0.0101,0.0359,0.2166,0,0.4491,0.1878,0.4394,0.2251,5.2879,26.7395,0.5333,0.0984,0.9229,0.0299,0.0107,1.0774,0.2991,2.3115,4.0895,1.8838,0.266,11.7099,12.7153,32.3104,1.437,0.7352,0.2729,0.3379,0.0
BRN_H52,0.202,0.0001,5.4519,1.5523,0.1994,0.1008,0.0722,0.0059,0.0056,0.8426,0.0039,0.0,0.0281,0.0006,0.0002,0.0579,0.0007,0.0057,0.0342,0,0.0656,0.0228,0.1428,0.0419,1.1096,2.0276,0.03,0.024,0.1847,0.4599,0.0004,0.233,0.0238,0.2659,0.1804,0.1246,0.0325,0.4391,3.3206,2.0296,0.379,0.2325,0.012,0.0169,0.0
BRN_H53,0.0796,0.0,1.2531,0.3246,0.0653,0.0036,0.0018,0.0041,0.0028,0.6887,0.0002,0.0,0.0005,0.0,0.0,0.0054,0.0,0.0005,0.0024,0,0.0022,0.0013,0.0,0.0048,0.3161,0.1751,0.0078,0.0264,0.0842,0.0,0.0009,0.0119,0.0045,0.5674,0.022,0.0357,0.0489,0.0671,0.0267,0.0552,0.0369,0.0453,0.0028,0.0044,0.0
BRN_I,0.0467,0.0006,49.0937,7.486,3.204,0.3652,0.1516,0.0183,0.0165,25.0042,0.0817,0.0009,0.0508,0.0003,0.0,0.0012,0.0013,0.0341,0.2016,0,0.194,0.1019,0.0194,0.4092,8.1689,8.5474,0.4266,0.1156,2.5558,0.0044,0.0018,0.2636,0.2163,1.6153,1.8755,2.0411,0.1783,4.2433,2.1376,7.0827,1.2658,1.1292,0.1296,0.1858,0.0
BRN_J58T60,0.0014,0.0,0.5115,0.0976,0.0205,0.0036,0.0025,0.0002,0.0002,0.2585,0.0006,0.0,0.0007,0.0,0.0,0.0001,0.0,0.0005,0.0021,0,0.0019,0.0014,0.0,0.0086,0.0331,0.1249,0.0032,0.0,0.0624,0.0002,0.0,0.0044,0.0186,0.0407,0.0508,1.8263,0.0015,0.2056,0.2413,3.7092,0.6375,0.4599,0.0083,0.0071,0.0
BRN_J61,0.2681,0.0001,142.7878,24.4053,5.6526,0.548,0.2856,0.0395,0.06,11.7207,0.0389,0.0003,0.0835,0.0005,0.0,0.0377,0.0003,0.0628,0.3777,0,0.3757,0.1995,2.2365,0.4558,12.1607,23.8457,0.6722,0.2946,1.1054,0.0035,0.0005,1.2829,0.904,30.2331,3.9314,7.042,0.6559,7.5763,3.4529,25.34,6.0695,4.4241,0.384,0.4326,0.0
BRN_J62_63,0.1115,0.0001,3.1435,0.8888,0.1247,0.058,0.0421,0.0035,0.0034,0.4768,0.0022,0.0,0.016,0.0003,0.0001,0.0326,0.0004,0.0032,0.0199,0,0.0375,0.0134,0.0935,0.0247,0.6645,1.1665,0.0336,0.013,0.1001,0.2423,0.0002,0.1306,0.0136,0.146,0.103,0.0714,0.0186,0.2505,1.751,1.2004,0.4121,0.5145,0.0073,0.0105,0.0
BRN_K,0.8536,0.0007,54.5448,11.1122,1.9641,0.6317,0.5812,0.0196,0.0269,111.8367,0.114,0.0008,0.0772,0.0021,0.0,0.28,0.0016,0.0494,0.2156,0,0.2067,0.1576,0.6233,1.8926,7.3187,39.6341,2.2656,1.0073,65.0141,0.0067,0.0029,2.8656,0.1712,2.1688,1.4361,7.8635,8.7547,4.4549,4.0307,0.837,0.4292,0.4998,0.1572,0.2132,0.0
BRN_L,0.016,0.0001,15.4146,2.353,0.8102,0.1039,0.0456,0.0051,0.0051,0.9224,0.0238,0.0002,0.0144,0.0001,0.0,0.002,0.0005,0.0097,0.0555,0,0.0505,0.0285,0.0157,0.2069,3.0716,2.4609,0.1176,0.0303,0.6721,0.0007,0.0003,0.0799,0.1294,0.4411,0.5349,1.733,0.3645,1.2892,0.7204,3.0092,0.3622,0.5974,0.0924,0.1166,0.0
BRN_M,0.1148,0.0001,100.1821,16.0021,6.9847,0.1313,0.3401,0.0131,0.0433,4.0709,0.0188,0.0002,0.0382,0.0003,0.0,0.0057,0.0002,0.0097,0.058,0,0.0536,0.0302,0.9648,0.4482,16.0031,10.5643,0.2428,0.1711,0.3179,0.0046,0.0038,0.2566,0.1508,4.116,3.2661,4.0528,0.0906,26.2407,4.4473,20.415,2.9141,9.1498,0.1023,0.1205,0.0
BRN_N,0.5586,0.0004,29.7513,9.0164,2.093,0.3243,0.2832,0.0306,0.0689,3.6603,0.0122,0.0001,0.0825,0.0005,0.0,0.1664,0.1584,0.0005,0.1068,0,0.2067,0.0813,0.0464,0.2966,17.0283,7.1111,0.159,0.0856,0.5838,0.0039,0.0006,0.7818,0.1095,1.7513,1.3164,2.4774,1.9415,3.7967,11.0306,6.9349,22.428,13.3359,0.1171,0.0783,0.0
BRN_O,0.0128,0.0,0.7554,0.1993,0.0384,0.0152,0.0088,0.0005,0.0009,1.1924,0.0031,0.0,0.0024,0.0,0.0,0.0018,0.0,0.0006,0.0034,0,0.0056,0.0024,0.0,0.0147,0.0895,0.2086,0.0782,0.0119,0.0471,0.0239,0.0,0.0298,0.0028,0.1146,0.0235,0.0375,0.0146,0.0787,0.8232,4.1897,0.0759,0.0327,0.0024,0.002,0.0
BRN_P,0.0062,0.0,0.8169,0.1919,0.0343,0.0081,0.0031,0.0003,0.0,0.8534,0.0015,0.0,0.0013,0.0,0.0,0.0024,0.0032,0.0,0.0021,0,0.004,0.0015,0.0016,0.0135,0.102,0.1085,0.0044,0.0035,0.0133,0.0005,0.0001,0.0062,0.0033,0.0288,0.0366,0.0538,0.0061,0.0807,0.0378,2.2685,0.8409,0.1692,0.0021,0.0028,0.0
BRN_Q,0.013,0.0,0.6526,0.1912,0.0886,0.006,0.0055,0.0005,0.0009,1.0495,0.0023,0.0,0.0022,0.0,0.0,0.0009,0.0,0.0005,0.0032,0,0.0028,0.0017,0.0022,0.0162,0.1242,0.1367,0.0066,0.0039,0.0152,0.0002,0.0,0.0164,0.0027,0.037,0.0146,0.0264,0.007,0.063,0.0454,1.5318,0.0744,0.3069,0.0057,0.0065,0.0
BRN_R,0.0298,0.0,0.6095,0.1023,0.0436,0.014,0.0079,0.0,0.0005,0.9838,0.002,0.0,0.0025,0.0,0.0,0.0057,0.0,0.0104,0.0072,0,0.0044,0.0037,0.0,0.0195,0.8265,0.0131,0.0031,0.095,0.4441,0.0,0.0,0.0013,0.0272,0.0001,0.0201,0.1066,0.0073,0.0824,0.0219,3.2828,0.0393,0.0574,0.0854,0.0104,0.0
BRN_S,0.0566,0.0,0.5938,0.1851,0.0488,0.0315,0.0136,0.0021,0.0009,1.4943,0.0036,0.0,0.0046,0.0,0.0,0.0136,0.0,0.0067,0.0118,0,0.0107,0.009,0.0,0.0471,1.3125,0.0646,0.0104,0.0832,1.0838,0.0,0.0,0.0118,0.0408,0.0088,0.0283,0.2214,0.3011,0.1248,0.0406,1.8376,0.7203,0.1788,0.0368,0.0957,0.0
BRN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
