V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_C20,21.8165,0.069,0.4621,0.197,0.1428,8.3347,2.2429,1.0778,3.8579,0.0431,49.2755,5.5418,1.0201,0.4091,0.6642,0.1409,0.0028,0.5638,0.5257,0.0116,0.0029,0.6241,0.0121,3.2761,13.798,3.8717,1.0659,0.3581,0.279,1.1731,0.109,1.0901,1.3408,0.3539,0.3547,0.1881,0.0211,2.5517,0.3833,9.5566,10.3354,3.4494,0.1828,11.8699,0.0
CMR_C21,1.0563,0.0151,0.0157,0.01,0.0034,0.8448,0.0709,0.0546,0.1411,0.0022,2.078,10.2162,0.0247,0.0136,0.0353,0.0064,0.0002,0.0162,0.0331,0.0004,0.0001,0.0228,0.0009,0.1855,0.4475,0.2379,0.0801,0.0604,0.049,0.0995,0.0265,0.0985,0.0458,0.042,0.0361,0.0247,0.0014,0.401,0.0382,2.9778,1.5971,3.632,0.0169,1.208,0.0
CMR_C22,1.2472,0.599,3.3553,0.0167,1.2185,8.5583,5.4306,0.0549,0.284,0.0129,0.2398,0.0699,2.2157,0.008,0.0052,0.003,0.0002,0.0151,0.021,0.3291,0.0566,0.1005,0.0037,1.0946,3.3542,3.1193,6.195,0.5235,0.6585,2.5539,0.3794,0.8249,0.069,0.0473,0.0332,0.0381,0.0067,0.1885,0.2144,0.386,0.2089,0.2668,0.7309,1.7431,0.0
CMR_C23,8.8042,0.118,2.7069,0.5659,0.9352,4.6332,0.2584,0.2771,0.0583,0.0054,0.0069,0.003,0.7875,16.8706,0.462,0.1045,0.0008,0.0004,0.0004,0.0464,0.0114,0.3437,0.1637,1.6691,139.3964,2.0706,0.8686,0.2639,0.3316,1.0247,0.1385,0.03,0.0207,0.0218,0.0118,0.2791,0.0414,0.6084,0.0405,0.9172,0.7008,0.6253,0.0085,1.5597,0.0
CMR_C24,1.2249,0.0208,1.14,0.2678,0.3792,3.145,0.7825,0.1674,0.0709,0.0023,1.1403,0.1184,0.2068,0.4662,16.9597,3.0906,0.5802,0.7826,0.8914,0.0497,0.0092,0.2478,0.0155,1.0337,12.7944,0.9854,0.1837,0.0823,0.0577,0.169,0.011,0.143,0.1614,0.0902,0.0529,0.0405,0.0143,0.4807,0.0414,0.0025,0.0025,0.0214,0.0457,0.8149,0.0
CMR_C25,1.1041,0.0115,0.4763,0.1634,0.1615,2.1851,0.5042,0.1173,0.018,0.0013,0.3131,0.0581,0.0599,0.1386,0.5126,0.3557,0.1048,0.089,0.2236,0.021,0.0057,0.0427,0.0061,0.3524,6.7396,0.6372,0.1023,0.0317,0.0261,0.1291,0.0117,0.1397,0.0728,0.0741,0.0421,0.0231,0.0123,0.2604,0.0523,0.0022,0.0024,0.0221,0.0588,0.5643,0.0
CMR_C26,0.0098,0.0004,0.008,0.0002,0.0028,0.0161,0.0178,0.0009,0.0029,0.0001,0.0024,0.0005,0.0007,0.0026,0.0004,0.0002,0.0008,0.0008,0.0008,0.0,0.0,0.194,0.0071,0.0002,0.0146,0.0299,0.0021,0.0006,0.001,0.0023,0.0005,0.0073,0.032,0.1226,0.0526,0.018,0.0058,0.0331,0.0038,0.036,0.0396,0.0146,0.0154,0.1576,0.0
CMR_C27,0.141,0.0028,0.077,0.0206,0.0226,0.2577,0.0983,0.0116,0.056,0.0107,0.0241,0.0071,0.0116,0.0395,0.0155,0.0052,0.0035,0.0368,0.0193,0.0,0.0,0.0759,0.071,0.0712,0.5128,0.5707,0.0722,0.0131,0.0156,0.0582,0.007,0.0085,0.0273,0.0917,0.029,0.1895,0.3037,0.4836,0.1274,4.3176,0.0066,0.1947,0.0211,0.1515,0.0
CMR_C28,0.3775,0.0035,0.1848,0.0648,0.0536,0.4829,0.233,0.0226,0.1031,0.015,0.0354,0.0096,0.0154,0.0711,0.0167,0.0056,0.0009,0.0051,0.0381,0.0,0.0,0.0649,0.0382,0.0574,0.2404,0.3941,0.044,0.0246,0.0232,0.0509,0.0071,0.0026,0.0252,0.0273,0.0198,0.1245,0.1388,0.3129,0.0907,3.3506,0.0028,0.1342,0.0123,0.074,0.0
CMR_C29,0.0193,0.0023,0.0005,0.0022,0.0002,0.0003,0.0,0.0032,0.0004,0.0,0.0047,0.0007,0.0011,0.0992,0.0035,0.0015,0.0,0.0,0.0002,0.3336,0.0,0.0,0.0,0.0187,0.0014,0.1039,0.662,0.0341,0.0601,0.1839,0.0228,0.0003,0.0002,0.0003,0.0002,0.0001,0.0,0.0046,0.0001,0.0004,0.0033,0.0,0.0,0.0002,0.0
CMR_C30,0.0057,0.0022,0.0004,0.0014,0.0001,0.0,0.0,0.0012,0.0001,0.0,0.0014,0.0002,0.0004,0.0224,0.0005,0.0002,0.0,0.0,0.0,0.0,0.0908,0.0,0.0,0.0058,0.0004,0.0,0.1035,0.0897,0.2307,0.0469,0.0077,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0013,0.0,0.0003,0.0015,0.0,0.0,0.0001,0.0
CMR_C31T33,1.5081,0.1991,0.4187,0.3009,0.1731,2.1203,0.4801,2.5256,0.0183,0.0722,0.2839,0.0728,0.0205,0.0316,0.0446,0.0131,0.0021,0.1683,0.3575,0.2762,0.0992,2.9714,0.0639,0.0637,3.1094,0.5132,0.3592,0.097,0.1594,0.2202,0.018,0.2442,0.1755,0.3099,0.0687,0.2726,0.0431,0.2895,2.0132,2.2882,0.0731,0.1719,0.0971,0.2036,0.0
CMR_D,10.8797,0.0496,0.4119,0.4616,0.0778,59.7404,8.0799,0.6237,1.4361,0.1177,0.9272,0.1527,0.7731,2.4905,3.1252,0.4016,0.0002,0.0762,0.1493,0.015,0.004,3.1392,0.046,0.1363,2.8268,11.5765,1.4926,0.1226,0.2736,1.8992,0.1935,15.3702,1.685,4.856,1.3098,3.6344,1.7916,6.8371,0.774,12.0544,3.2026,0.3422,0.7787,6.5161,0.0
CMR_E,0.9278,0.0319,0.0254,0.6352,0.0047,12.215,0.2833,0.0241,0.0308,0.0001,0.1146,0.0318,0.2621,0.5674,0.005,0.0006,0.0,0.0016,0.0028,0.0074,0.0029,0.2291,0.116,0.0237,0.347,1.3748,0.1755,0.064,0.0588,0.258,0.0193,4.6196,0.0852,0.1035,0.0624,0.1705,0.9824,1.3102,0.1387,4.4775,1.4923,0.2118,0.017,1.1222,0.0
CMR_F,11.3654,1.8746,3.0798,2.8668,0.9305,5.5576,0.3898,0.8526,0.7276,0.7351,0.7328,0.2076,0.5959,0.4628,0.0112,0.0029,0.0001,0.0107,0.016,0.252,0.0226,0.4125,0.417,2.2486,11.2194,8.6251,11.4468,0.3539,0.8958,1.2263,0.321,1.9273,0.4051,0.6318,0.2225,2.5225,0.1614,0.2633,0.0794,21.7947,0.9294,1.0303,0.5681,0.1942,0.0
CMR_G,90.5368,15.9081,25.1815,12.265,5.0642,267.7792,52.536,73.5376,6.9185,28.4113,39.8312,12.797,4.5212,8.481,7.4453,2.3461,0.4914,0.917,1.5019,6.0691,2.4862,34.0243,2.9667,6.933,159.5977,80.0749,71.4322,10.8397,18.5408,14.5542,3.5552,113.9381,7.324,5.5634,2.9744,9.1296,2.4032,13.1234,39.3685,120.1471,17.9373,16.3871,7.7883,20.5832,0.0
CMR_H49,85.6373,0.8299,6.3485,1.2897,0.8439,52.4244,8.7522,17.8014,0.6279,10.0574,3.293,0.8297,0.587,1.9377,1.1886,0.3275,0.0562,0.0918,0.1724,0.6081,0.2405,3.3952,1.1676,0.6546,20.4852,113.7793,12.1731,1.8216,2.1232,7.0137,0.8431,21.5489,0.9306,0.6488,0.4365,0.8704,0.3132,14.8373,4.1548,22.3444,1.9994,1.592,0.8506,3.8646,0.0
CMR_H50,26.1278,0.303,1.5371,0.4495,0.1868,5.426,1.7003,2.9096,0.1581,2.0401,0.8445,0.209,0.1054,0.4654,0.2704,0.0632,0.0103,0.0222,0.0376,0.0614,0.0224,0.4111,0.3045,0.1397,2.5621,26.2568,2.6816,7.6363,1.0215,4.6506,0.6138,3.0979,0.1589,0.129,0.0821,0.1676,0.0529,2.5769,0.5177,4.1933,0.2997,0.2332,0.1585,0.6465,0.0
CMR_H51,10.0139,0.1677,1.516,0.1837,0.1952,5.7848,1.4457,1.2473,0.1399,2.1764,0.8467,0.2725,0.1016,0.4291,0.2976,0.0708,0.0122,0.025,0.0416,0.0629,0.0224,0.3653,0.3736,0.1615,2.8599,17.3545,1.439,0.5486,3.0209,1.9371,0.5131,3.9616,0.2143,0.2124,0.1786,0.5276,0.0617,6.1998,2.4134,9.8525,0.5725,0.2996,0.1944,0.9063,0.0
CMR_H52,79.9544,0.5017,2.2635,1.2559,0.4392,36.2816,5.7936,11.9095,0.5072,2.1415,1.76,0.5125,0.3046,1.0598,0.3344,0.092,0.0094,0.027,0.049,0.1147,0.0441,1.2317,0.2332,0.2004,5.4962,189.411,21.1505,14.2592,14.8701,30.6689,0.6593,11.8554,0.6584,0.6612,0.2745,0.7096,0.0541,12.5738,1.3557,21.1331,0.5885,0.4097,0.4482,2.3361,0.0
CMR_H53,15.2173,0.0401,0.3445,0.2609,0.1016,4.5667,0.985,1.0834,0.0668,0.0656,0.2097,0.0887,0.033,0.1152,0.0225,0.0085,0.0,0.0024,0.0048,0.0018,0.0005,0.1374,0.0219,0.0394,0.5696,51.3774,2.1453,0.469,0.5048,2.5833,2.7121,5.9794,0.366,0.5106,0.1443,1.1312,0.0019,10.0124,0.3828,15.3477,0.5301,0.1988,0.2061,1.2092,0.0
CMR_I,8.8543,3.2409,3.2407,12.2549,0.9646,23.1154,30.9073,2.0347,2.6949,0.5761,12.3698,5.8255,2.4299,2.1989,2.2032,0.6884,0.0158,0.0946,0.2053,0.0021,0.0009,3.4032,1.2181,1.3356,25.1579,242.8505,54.3697,14.3925,63.0471,37.2053,8.2448,13.5839,6.4535,6.9002,5.3758,29.3486,0.1378,11.5463,1.8065,177.9498,62.6762,12.2861,28.6213,29.9988,0.0
CMR_J58T60,0.2793,0.004,0.3186,0.0254,0.0789,1.6116,0.129,0.0803,0.0548,0.0048,0.1445,0.0631,0.0207,0.0679,0.012,0.0051,0.0,0.0036,0.0062,0.0001,0.0,0.0853,0.0095,0.0099,1.3972,3.1938,0.2224,0.0687,0.1333,0.2812,0.0527,0.3294,10.7018,4.2025,1.8584,0.5288,0.3511,2.033,0.5974,1.5336,0.9203,0.3265,0.0271,0.4637,0.0
CMR_J61,0.9473,0.012,0.9846,0.0824,0.2446,2.7968,0.3441,0.2297,0.0724,0.0102,0.255,0.0983,0.0607,0.1855,0.0377,0.0163,0.0,0.0083,0.019,0.0003,0.0001,0.2799,0.0278,0.0291,6.3721,8.3065,0.8865,0.2033,0.283,0.8731,0.1449,0.7071,1.1909,13.4494,1.2389,1.6098,0.913,2.5185,0.9625,3.4904,0.7946,0.9012,0.0244,0.8979,0.0
CMR_J62_63,1.0887,0.0113,1.7698,0.1707,0.5138,3.9664,0.7261,0.2492,0.1177,0.0202,0.4467,0.1799,0.0848,0.2845,0.0719,0.0234,0.0001,0.0157,0.0276,0.0006,0.0002,0.4774,0.0635,0.0541,7.5308,11.0392,1.08,0.3027,0.7389,1.339,0.2736,0.5442,5.7879,9.3045,16.7159,3.5874,1.316,5.0552,1.4668,6.6474,1.3319,1.2501,0.0399,1.229,0.0
CMR_K,9.246,0.5594,19.055,6.4637,3.4279,30.0274,7.7298,3.2938,2.6864,1.2514,4.5743,1.4299,0.9052,2.7372,0.6839,0.1696,0.006,0.1751,0.3591,0.049,0.0154,5.7407,1.067,2.0689,20.0422,94.6477,6.1468,2.386,2.5575,4.9396,0.4429,16.9435,4.8041,9.9719,5.0861,11.1785,24.6141,25.6821,12.2408,13.1683,12.5013,1.6563,1.3474,7.7029,0.0
CMR_L,5.4053,0.6842,0.1801,0.7866,0.0475,2.1454,6.6322,0.1186,0.0785,0.0237,0.2021,0.0729,0.6722,0.1387,0.0167,0.008,0.0,0.0177,0.0329,1.2197,0.4738,0.071,1.3032,3.6447,2.8108,169.1363,0.5403,0.1118,0.2247,0.8334,0.0664,44.1178,0.3778,0.7722,0.3926,19.9001,0.2653,10.2342,2.6241,12.6977,0.2394,2.3621,0.7738,7.7311,0.0
CMR_M,47.7994,1.0958,29.0963,4.9505,10.2909,67.9531,1.7657,0.4848,8.7278,0.1605,0.0228,0.0145,4.7531,3.4974,0.526,0.1642,0.0007,0.1021,0.1813,0.0046,0.0016,14.9829,1.4667,1.7495,11.7162,52.548,23.2965,8.4399,11.7512,29.7828,2.6061,5.2328,35.8014,45.6023,29.7648,70.5675,77.2056,80.0184,38.1422,25.4775,36.3215,9.1856,26.5051,11.7393,0.0
CMR_N,19.1514,0.1087,7.7147,1.7858,2.3544,14.8459,3.2384,1.3071,0.382,0.2587,1.5021,0.7533,1.4791,0.8684,0.1244,0.0445,0.0,0.0076,0.0129,0.0007,0.0003,0.6392,1.4954,0.2153,15.571,10.4537,2.7039,1.1995,2.1293,3.1795,0.2666,1.1929,1.2895,2.0341,1.2663,1.4436,18.2831,3.1545,3.4519,95.4746,0.7209,0.8403,0.1161,0.7409,0.0
CMR_O,0.0101,0.0019,0.0047,0.0018,0.0015,0.0252,0.0013,0.0006,0.0005,0.0007,0.0008,0.0005,0.0002,0.0006,0.0001,0.0,0.0,0.0003,0.0005,0.0,0.0,0.0034,0.0004,0.0004,0.01,0.0188,0.0014,0.0005,0.0013,0.0018,0.0003,0.0021,0.0025,0.0035,0.0034,0.0042,0.0004,0.0117,0.0051,0.0425,0.0043,0.0009,0.0005,0.0006,0.0
CMR_P,0.9062,0.0777,0.3867,0.0067,0.0866,0.9316,0.043,0.0844,0.0506,0.0254,0.0521,0.0377,0.0115,0.0551,0.0012,0.0003,0.0,0.0012,0.0027,0.0,0.0,0.0233,0.0294,0.0058,1.0233,1.8866,0.1431,0.0584,0.1451,0.1842,0.0303,0.0411,0.2731,0.394,0.3831,0.4631,0.0295,1.3216,0.5888,4.4138,0.4918,0.0874,0.0087,0.0357,0.0
CMR_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.299,0.0,0.0,0.0
CMR_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3311,0.0,0.0
CMR_S,3.8787,0.6876,0.0,3.1372,0.0,3.5721,5.2195,0.7347,0.0074,0.0,0.009,0.0044,0.0018,0.106,0.1217,0.037,0.0,0.0,0.0,0.0,0.0,0.3367,0.0,0.0172,0.1165,9.1693,6.7452,2.1624,3.7165,7.2258,0.8943,0.5889,0.4559,0.3407,0.258,2.8758,0.1252,7.7339,0.134,0.2614,0.9258,0.0543,0.098,4.1259,0.0
CMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
