V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_K,187.5299,0.9709,20.6628,29.4124,0.52,349.0974,45.2571,135.9996,175.1542,43.4175,152.5788,71.6331,84.2879,148.9458,234.0154,235.9613,126.9929,121.1334,364.1173,149.0024,63.8324,252.37,336.4359,149.2531,684.1046,2180.9871,377.086,7.5754,79.8056,203.2081,32.4104,409.5904,97.7592,124.5942,231.6065,5872.4656,1931.8009,1003.6547,466.7199,993.086,254.5141,287.8171,125.7688,190.0345,0.0
AUT_L,42.8789,0.6054,17.8053,18.7485,0.4743,188.8563,36.6024,67.805,76.6711,8.8081,50.5463,24.0143,66.1033,98.3825,83.3924,204.1014,55.4838,92.0988,207.7821,65.2371,25.1896,195.8196,95.7115,96.9856,728.5335,3203.4861,393.0236,11.9559,50.8351,357.9599,62.3404,894.2288,121.7627,226.0585,235.0865,436.2169,2194.4001,901.5734,365.4761,1267.5796,392.2555,653.934,171.7246,291.2826,0.0
AUT_M,97.5926,0.9909,67.7195,69.42,2.1088,946.5173,69.7184,141.0549,263.9669,34.0045,228.2697,121.4938,150.8075,214.1684,295.5606,331.2244,169.2301,143.2381,518.6555,110.5186,77.2166,374.1271,325.0851,168.7117,1999.1095,3826.5735,356.7013,8.29,56.7493,320.9752,66.6116,437.7426,313.9857,337.1008,358.9287,1999.9471,420.5689,5849.736,692.9571,674.9727,167.7903,598.4634,212.406,361.768,0.0
AUT_N,104.0235,1.0994,13.6795,25.0139,0.7733,261.8349,24.5333,65.7193,161.3322,9.4884,189.4256,93.0387,54.762,112.217,116.8936,211.3637,127.4078,116.6359,320.3434,174.3667,44.8033,231.1003,216.7156,142.7697,1173.3177,1810.8319,772.7973,30.0697,285.2337,289.8523,40.8827,315.6013,218.4909,219.5301,273.897,654.0607,1404.3154,1167.8553,2069.3053,661.8283,242.1977,497.3596,158.0099,206.7637,0.0
AUT_O,5.0431,0.0596,1.4995,2.2868,0.0649,20.2595,2.5146,6.4091,12.7483,1.3117,6.2954,3.403,4.1448,10.1883,13.1949,19.0269,10.2846,11.4623,26.5491,9.6267,6.0708,19.2595,23.0808,16.2786,142.1345,107.9565,41.4285,2.451,19.5516,34.5753,3.1372,26.4811,17.7048,11.0376,54.0689,53.1718,49.3291,131.9727,56.3712,832.3723,14.1159,30.4234,13.6927,13.0251,0.0
AUT_P,3.6493,0.0993,4.2543,3.7664,0.092,17.6438,2.0415,6.1132,10.6435,1.0991,13.3545,6.6888,4.3171,6.7479,15.4145,11.9605,12.4843,6.1458,28.4706,8.7659,4.4292,16.9019,36.1792,12.0784,35.6411,104.1736,27.2527,0.2096,15.0547,46.2465,1.2782,8.7749,5.8449,6.4857,33.7985,92.0134,10.9994,123.7113,16.526,54.9547,124.9515,71.6499,5.8244,9.7172,0.0
AUT_Q,60.5698,0.0246,0.7109,1.1228,0.0337,18.8769,3.1402,2.7721,4.9604,0.4845,5.4474,1.9254,2.5575,3.0466,2.9724,4.7913,3.1205,2.9316,4.407,2.382,1.4675,6.402,8.4965,2.7149,8.2594,36.5055,8.5199,0.2698,3.437,4.8368,1.0914,14.4864,2.7017,6.2068,29.4462,16.9805,9.9143,20.2671,5.4586,27.0625,11.2259,559.5081,2.0033,4.3913,0.0
AUT_R,1.9804,0.0164,0.3717,0.5219,0.0154,20.9654,1.4707,2.1537,6.4934,0.6329,4.2975,1.728,1.8626,2.7172,3.5291,4.7877,2.3166,2.761,6.8498,2.5316,1.0957,6.4641,5.5131,2.188,15.2618,96.3364,8.8801,0.3082,2.8708,5.6795,2.0245,51.1277,192.4529,13.3835,10.4374,16.1736,17.0434,47.5327,23.0465,13.7927,6.8584,10.2504,123.5065,4.4822,0.0
AUT_S,4.908,0.0608,1.4998,3.0454,0.1192,28.1841,23.9459,5.7146,10.5646,0.9848,8.0327,3.8753,4.8747,8.2041,9.1331,12.0936,5.0028,4.229,19.645,6.2406,2.9745,26.2371,10.5681,9.0417,48.1636,244.522,19.9592,0.4727,5.0105,10.8775,2.2504,139.3754,9.8778,8.0259,50.2476,53.6326,21.3295,104.9736,28.8542,41.725,12.1519,146.488,10.9845,89.086,0.0
AUT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
