V1,KHM_A01_02,KHM_A03,KHM_B05_06,KHM_B07_08,KHM_B09,KHM_C10T12,KHM_C13T15,KHM_C16,KHM_C17_18,KHM_C19,KHM_C20,KHM_C21,KHM_C22,KHM_C23,KHM_C24,KHM_C25,KHM_C26,KHM_C27,KHM_C28,KHM_C29,KHM_C30,KHM_C31T33,KHM_D,KHM_E,KHM_F,KHM_G,KHM_H49,KHM_H50,KHM_H51,KHM_H52,KHM_H53,KHM_I,KHM_J58T60,KHM_J61,KHM_J62_63,KHM_K,KHM_L,KHM_M,KHM_N,KHM_O,KHM_P,KHM_Q,KHM_R,KHM_S,KHM_T
KHM_C20,30.7829,0.0304,0,0.1409,0.0217,0.1942,0.0076,0.0413,0.1494,0.009,1.601,0.1013,1.5855,0.1108,0.0462,0.107,0.0,0.0,0.0002,0.0078,0.0053,0.0613,0.0707,0.1105,0.0744,0.7431,0.0961,0.0165,0.0149,0.0407,0.006,0.0244,0.0501,0.0193,0.0133,0.0339,0.9046,0.1208,0.0476,0.0376,0.0311,2.3289,0.0175,0.0712,0
KHM_C21,3.3849,0.0101,0,0.0057,0.0008,0.0216,0.0003,0.0021,0.0041,0.0005,0.0979,0.2738,0.0383,0.0037,0.0023,0.0049,0.0,0.0,0.0,0.0003,0.0003,0.0022,0.0041,0.0051,0.0024,0.0688,0.0059,0.0024,0.0023,0.0027,0.001,0.0023,0.0032,0.0027,0.0013,0.0044,0.0576,0.0969,0.0032,0.0117,0.0048,2.9591,0.004,0.0089,0
KHM_C22,3.9523,0.0139,0,0.0339,0.0061,22.6965,1.4776,0.2555,2.5344,0.0305,0.6815,0.109,6.3429,0.9341,1.0907,6.3138,0.0003,0.0007,0.0878,0.7628,0.4068,1.4901,0.3762,0.6417,9.1788,23.6204,9.0454,0.3943,0.5716,1.4285,0.0043,3.8597,0.6089,0.0106,0.1107,0.0024,0.0034,0.3677,0.439,1.8093,0.0078,0.121,0.0793,0.2203,0
KHM_C23,0.0461,0.0002,0,0.2381,0.0483,10.7747,0.0001,0.001,0.006,0.0073,0.9347,0.2296,0.7681,0.6317,0.1243,0.2059,0.0,0.0,0.0001,0.1238,0.0834,0.2417,0.6594,0.3304,4.4532,3.9699,0.3129,0.0512,0.0728,0.1434,0.0,0.2126,0.0196,0.0001,0.0321,0.0,0.1221,0.1088,0.0881,0.0429,0.0106,0.0035,0.0317,0.0805,0
KHM_C24,0.0006,0.0,0,0.0,0.0,0.0005,0.0272,0.0229,0.0621,0.1159,0.0064,0.0005,0.04,0.0645,3.2973,5.3276,0.0,0.0,0.0119,0.0455,0.0209,0.2131,0.1188,0.1434,48.2492,0.5755,1.023,0.3379,0.1189,0.3856,0.0006,0.0994,0.0278,0.0019,0.0,0.0,0.0,0.0002,0.018,0.0046,0.0014,0.0603,0.0128,0.0428,0
KHM_C25,0.0044,0.0,0,0.0,0.0,0.0037,0.1559,0.1179,0.39,0.1232,0.059,0.006,0.2137,0.2508,2.283,12.6439,0.0,0.0001,0.0492,0.3215,0.28,3.439,0.5873,0.8287,52.2707,2.6989,4.6814,0.7648,0.6999,2.2506,0.0017,0.7549,0.1962,0.0095,0.0001,0.0,0.0003,0.0049,0.3628,0.6888,0.0238,0.3161,0.09,0.1446,0
KHM_C26,0.0002,0.0,0,0.0001,0.0,0.0004,0.0001,0.0001,0.0003,0.0007,0.0002,0.0,0.0,0.0,0.0001,0.0006,0.0,0.0,0.0,0.0005,0.0005,0.0023,0.0025,0.0016,0.0014,0.0051,0.0018,0.0003,0.0005,0.0008,0.0002,0.0013,0.0014,0.0069,0.0006,0.0008,0.0001,0.0007,0.0004,0.0041,0.0014,0.0039,0.0007,0.0023,0
KHM_C27,0.0004,0.0,0,0.0003,0.0001,0.0008,0.0002,0.0002,0.0003,0.0015,0.0003,0.0001,0.0001,0.0,0.0004,0.0013,0.0,0.0,0.0001,0.0015,0.0012,0.0043,0.0053,0.0023,0.0097,0.0075,0.0036,0.0003,0.0005,0.0011,0.0002,0.0032,0.0013,0.0047,0.0003,0.0005,0.0003,0.0006,0.0004,0.0031,0.0011,0.0024,0.0007,0.0023,0
KHM_C28,0.0,0.0,0,0.0,0.0,0.0,0.0003,0.0003,0.0006,0.0101,0.0001,0.0,0.0005,0.0006,0.0051,0.0135,0.0,0.0,0.0349,0.0005,0.0005,0.0087,0.4041,0.1924,0.0661,1.1806,0.3349,0.0968,0.1065,0.1447,0.0,0.0017,0.0337,0.0001,0.0019,0.0,0.0,0.0045,0.0287,0.0012,0.0,0.0027,0.035,0.0434,0
KHM_C29,0.1692,0.0279,0,0.0521,0.0054,0.0,0.0001,0.0001,0.0001,0.0189,0.0,0.0,0.0001,0.0001,0.0004,0.0015,0.0,0.0,0.0016,0.278,0.0368,0.005,0.448,0.231,0.2581,0.0016,1.1127,0.03,0.0612,0.118,0.1162,0.5221,0.042,0.2231,0.0346,0.0,0.0703,0.0693,0.1154,0.0019,0.0,0.0001,0.0443,0.0796,0
KHM_C30,0.1718,0.0766,0,0.087,0.0115,0.0,0.0001,0.0001,0.0002,0.0302,0.0,0.0,0.0001,0.0001,0.0002,0.0009,0.0,0.0,0.0016,0.3664,0.8325,0.0373,0.4424,0.1741,0.3402,0.0014,1.0228,0.2904,1.3237,0.1415,0.0917,0.6504,0.0774,0.1369,0.0173,0.0,0.0728,0.1432,0.1379,0.005,0.0,0.0001,0.0645,0.0817,0
KHM_C31T33,4.8678,6.2229,0,0.2286,0.0464,0.9518,0.1772,0.0848,0.1166,2.923,0.0553,0.0148,0.0665,0.1334,0.2128,0.5269,0.0007,0.0007,0.014,0.0283,0.0471,2.0469,0.9789,0.9635,5.1822,7.171,2.5269,0.4814,1.1228,1.0148,1.1248,3.0382,0.4212,3.9935,0.0407,0.1371,0.0796,0.1039,0.3431,1.0244,0.8258,0.247,0.956,0.9289,0
KHM_D,4.332,0.1215,0,0.0888,0.0072,8.1162,0.4602,0.1192,2.3338,0.0,0.649,0.0579,0.607,0.2805,0.1706,0.1669,0.0004,0.0006,0.0201,0.0045,0.0035,0.157,18.5923,3.9474,0.8519,1.6001,1.5813,0.0714,0.1715,0.7721,0.698,2.5555,1.4586,5.6134,4.0107,1.0306,41.211,8.9634,4.6036,10.0257,1.9448,1.9101,1.4751,1.6453,0
KHM_E,4.1798,0.1229,0,0.0392,0.0056,2.3842,0.0809,0.0706,0.3536,0.0,0.1256,0.0178,0.1411,0.1871,0.1875,0.1663,0.0002,0.0004,0.1721,0.0306,0.0382,0.2962,2.5134,5.5157,1.7165,3.5245,3.1087,0.5948,0.713,1.6374,0.5724,5.3456,0.4383,2.5294,0.567,0.2633,11.8128,1.4745,1.238,3.0694,1.5136,0.4849,0.4795,1.0765,0
KHM_F,1.1333,0.0003,0,4.1864,0.8275,0.0023,0.0007,0.0007,0.0007,0.0,0.0003,0.0001,0.0001,0.0006,0.0005,0.0011,0.0,0.0,0.0,0.0004,0.0005,0.0352,56.3296,19.4053,70.0418,0.0038,16.5522,1.4489,2.4784,8.061,0.0001,1.7081,2.4741,0.0008,0.0017,0.001,0.0081,0.013,0.8245,0.0041,0.0027,0.3579,3.6269,4.9938,0
KHM_G,75.1188,5.1189,0,0.8751,0.168,52.3572,155.7269,4.1824,3.3261,3.2566,2.174,0.4928,9.3763,1.1811,2.4064,5.6774,0.0046,0.0049,0.227,1.0557,0.6858,4.4138,11.118,6.6406,35.0394,35.408,18.0434,1.7103,2.9312,3.7216,1.5922,42.8686,2.8626,5.9907,1.2065,0.5194,5.5985,3.0798,3.0173,7.2755,1.9059,6.5678,2.1273,3.6004,0
KHM_H49,18.4685,0.9129,0,0.3131,0.0373,16.0561,14.8666,1.0678,0.8312,0.9128,0.6554,0.1004,1.5473,0.7422,0.9018,1.7288,0.0009,0.001,0.0818,0.1716,0.1344,0.9297,3.6619,2.5472,16.0905,34.3348,8.2411,0.7011,0.8607,2.1578,1.4777,23.7488,1.0225,3.0858,2.7574,1.2623,10.5857,6.4524,4.1402,8.3803,2.6108,1.4384,0.8421,1.5787,0
KHM_H50,0.1216,0.0729,0,0.0296,0.0214,0.0954,4.8093,0.0446,0.1659,0.1958,0.0662,0.0224,0.2899,0.0177,0.0428,0.1932,0.0005,0.0005,0.0129,0.0677,0.048,0.3475,0.3446,0.0872,1.2544,0.0926,0.0317,0.0251,0.0331,0.028,0.0321,0.062,0.0715,0.115,0.0262,0.0759,0.0525,0.1315,0.1013,0.0298,0.0149,0.4382,0.0385,0.1008,0
KHM_H51,0.66,0.0672,0,0.0036,0.0002,0.0315,2.6813,0.0391,0.0868,0.1809,0.0354,0.0064,0.1514,0.0193,0.0354,0.0874,0.0003,0.0003,0.0062,0.0375,0.0244,0.1838,0.1061,0.0521,0.4077,0.0313,0.0442,0.0052,0.0073,0.0097,0.0086,0.0165,0.0239,0.0109,0.0064,0.0196,0.013,0.0346,0.0268,0.007,0.0083,0.1351,0.0054,0.0468,0
KHM_H52,6.8023,0.2226,0,0.1001,0.012,6.7785,2.9067,0.3064,0.215,0.2347,0.2355,0.0389,0.4341,0.2529,0.3113,0.5753,0.0001,0.0002,0.0264,0.0336,0.0278,0.1657,1.0997,0.974,4.8921,22.4927,7.5972,2.6868,3.2155,3.9099,0.6843,8.9004,0.4218,1.6715,1.3207,0.5024,5.5057,2.3389,2.6193,3.7286,0.4187,0.3045,0.2356,0.4344,0
KHM_H53,0.028,0.0001,0,0.1586,0.0325,1.9514,0.0837,0.2266,0.0652,0.0,0.1976,0.0453,0.1155,0.1036,0.0227,0.0685,0.0,0.0,0.0011,0.0011,0.0009,0.0104,0.2668,0.3531,1.0069,6.038,1.8371,0.2185,0.2914,1.0499,2.8487,1.6708,0.3589,4.5792,0.4577,1.0646,5.1834,1.078,0.6986,1.5555,0.6773,0.1057,0.229,0.4695,0
KHM_I,15.659,0.0383,0,0.4633,0.1959,34.0423,2.4445,0.3779,0.4859,0.0325,1.0674,0.2747,1.5916,0.4386,0.6137,1.732,0.0003,0.0003,0.0772,0.0707,0.0806,0.2984,4.4007,2.4829,15.0602,83.2343,25.6034,3.8529,19.5669,6.241,0.44,64.1953,2.2893,2.3984,9.6115,4.5392,22.9149,16.7505,16.1595,19.037,4.3184,11.5931,1.464,2.7836,0
KHM_J58T60,1.2396,0.0046,0,0.0383,0.001,1.1002,0.0322,0.0201,0.1998,0.0014,0.0576,0.0148,0.0324,0.0375,0.026,0.1007,0.0,0.0,0.09,0.0169,0.0213,0.0374,0.6159,0.1368,0.0993,0.5235,1.4256,0.2363,0.6198,0.5915,0.0904,3.283,3.2785,1.742,0.3385,0.1427,2.0481,1.5351,0.6189,1.1355,0.9055,0.1125,0.3521,0.1285,0
KHM_J61,0.1142,0.0003,0,0.7215,0.1668,6.3382,0.2811,0.8238,0.1877,0.0,0.5956,0.1253,0.4089,0.3635,0.0723,0.2468,0.0,0.0,0.0036,0.0036,0.0037,0.0375,0.789,1.0485,4.6759,16.7709,8.9035,1.1553,1.7311,3.362,0.3228,8.8524,1.848,16.9992,2.8284,3.1835,18.0769,4.0864,2.8004,4.3686,2.431,0.4784,0.9065,1.3039,0
KHM_J62_63,1.738,0.0027,0,0.1052,0.0181,2.0967,0.537,0.0386,0.1035,0.0,0.0425,0.0094,0.0641,0.0526,0.0183,0.0485,0.0,0.0,0.0032,0.0069,0.0081,0.1088,0.187,0.3797,0.5699,4.6005,0.8612,0.1297,0.3496,0.3999,0.1287,1.8616,0.7251,1.4521,3.0039,1.4017,3.0715,1.0865,0.5547,5.368,1.0535,0.215,0.3701,0.3746,0
KHM_K,0.5904,0.0025,0,0.5221,0.0703,3.2123,0.7673,0.0441,0.0504,0.0655,0.8393,0.1458,0.0968,0.0363,0.0761,0.1832,0.0002,0.0003,0.151,0.0124,0.0092,0.1388,0.8587,0.4802,2.1285,9.7639,1.9367,0.4064,0.4979,0.6525,0.0557,1.8985,0.2216,0.3672,0.1864,2.7646,13.9881,0.4378,0.4,0.7752,1.0951,0.5948,0.2351,0.4077,0
KHM_L,0.0001,0.0,0,0.0778,0.0182,0.2297,0.0053,0.0967,0.0042,0.0,0.0015,0.0003,0.009,0.0073,0.0011,0.0044,0.0,0.0,0.0,0.0001,0.0,0.0019,0.0144,0.0054,0.0055,0.1376,0.1875,0.0197,0.0465,0.1076,0.0051,0.2602,0.007,0.0451,0.0105,0.0272,0.4772,0.0257,0.0351,0.1704,0.1748,0.0196,0.0035,0.005,0
KHM_M,6.1378,0.0098,0,0.2732,0.0913,5.1037,0.7722,0.1034,0.2502,0.0,0.1408,0.0525,0.1785,0.1355,0.044,0.1185,0.0,0.0,0.0091,0.0202,0.0214,0.1719,0.3797,1.2023,1.9884,11.9777,1.5092,0.2815,0.4948,0.7189,0.1309,4.4869,1.231,1.4504,1.5832,1.5111,15.3771,6.9972,1.5731,7.4991,1.7282,0.5897,0.9081,1.26,0
KHM_N,3.0125,0.0047,0,0.1056,0.0255,2.2864,0.3934,0.0647,0.1119,0.0274,0.0589,0.0156,0.1072,0.074,0.053,0.1502,0.0,0.0,0.0063,0.0078,0.0082,0.0976,0.3826,0.7395,1.1948,5.9959,1.497,0.3918,1.0598,0.5673,0.1905,6.9977,0.575,1.0885,1.1995,0.8433,9.1016,3.0548,2.9061,3.6344,1.0446,0.4621,0.7109,0.6379,0
KHM_O,0.4328,0.0005,0,0.1608,0.0278,0.3694,0.0138,0.0021,0.0014,0.0013,0.0012,0.0003,0.0053,0.0062,0.0054,0.012,0.0,0.0,0.0,0.0001,0.0001,0.0414,0.6247,0.1922,0.0001,0.3989,0.3028,0.0586,0.0874,0.1137,0.0021,0.786,0.0749,0.0098,2.9207,0.0115,0.0216,6.9977,2.7075,0.1355,0.689,0.1805,0.0787,0.0945,0
KHM_P,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0,0.1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0618,0.0,0.0761,0.0,0.0,0.1556,0.0424,0.0,0.1214,0.5967,0.0831,0.148,0
KHM_Q,0.0,0.0,0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0,0.1002,0.0,0.006,0.0036,0.0006,0.0008,0.0013,0.0,0.0,0.0447,0.0,0.0,0.0,0.0,0.0005,0.0004,0.0,0.6047,0.2636,0.1294,0.2123,0
KHM_R,1.5207,0.0077,0,0.0166,0.0033,0.6134,0.0136,0.0108,0.0323,0.0,0.0121,0.004,0.0147,0.0126,0.0043,0.0124,0.0,0.0,0.0376,0.0091,0.0086,0.0047,0.2443,0.1108,0.0308,0.1108,0.8044,0.5863,0.3263,0.5716,0.0916,1.4961,0.5517,0.5569,0.1767,0.085,1.0087,0.6212,0.9556,0.481,0.8565,0.1463,2.0104,0.3168,0
KHM_S,4.4591,0.1056,0,0.0564,0.0136,1.549,0.059,0.0563,0.1045,0.0063,0.0549,0.0142,0.0518,0.086,0.0217,0.0563,0.0,0.0,0.1749,0.033,0.0312,0.0961,1.7238,1.0679,0.2605,0.8103,4.5108,0.672,1.2246,1.5659,0.3028,4.2001,0.6323,1.2772,0.4193,0.4785,4.0339,1.5437,1.3428,1.5303,1.5215,0.7876,0.6356,1.9703,0
KHM_T,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
