V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_J61,24.1875,0.2226,9.0844,1.6618,1.2062,24.4519,2.893,2.4385,4.0021,1.4309,3.7126,1.532,2.3529,4.6034,7.3077,3.5137,2.7136,2.1651,5.2174,0.905,3.9394,7.6317,14.4306,12.9238,43.7504,589.5279,63.5407,6.9588,9.9132,31.1553,2.2944,27.0729,42.4914,714.5554,19.1726,89.7763,14.6432,17.6249,22.014,478.8486,24.2274,15.1327,10.6263,11.053,0.0
UKR_J62_63,12.2399,0.1093,5.9795,1.5072,0.691,35.313,0.7439,0.4881,1.2377,1.3934,0.8053,1.3043,0.6881,3.614,2.9802,1.1386,3.9894,0.7121,1.8378,0.9817,2.4722,4.1201,6.4397,6.2475,7.2333,300.7658,19.4859,2.6473,7.2947,11.7266,0.1316,13.7019,4.8862,3.2195,132.9567,45.816,2.2813,11.0416,1.3129,15.889,18.7394,7.723,5.8027,5.1916,0.0
UKR_K,611.3705,0.7578,183.2299,102.7847,41.4241,241.914,22.6137,16.0609,23.6768,24.2428,50.0848,30.2067,15.6431,30.6117,54.0883,16.2398,11.8291,26.5129,87.8867,5.3077,54.2,35.3687,148.7102,67.6089,459.8275,2562.7072,430.961,63.5454,82.1701,158.374,30.7696,70.094,24.8797,224.671,215.8629,2689.4297,679.2035,755.2284,180.9865,49.2972,84.1259,103.5078,37.1557,31.0682,0.0
UKR_L,55.0794,0.5213,20.1128,1.8238,1.0229,117.3016,11.1688,8.2999,15.8281,4.3009,18.5175,2.3288,11.8526,16.451,13.5836,8.4253,4.9367,7.2979,21.4682,4.6847,5.6548,27.3062,36.0516,29.9171,126.9827,1338.8235,102.5385,9.763,19.0653,73.47,2.5243,61.7322,16.4896,154.2628,101.9757,203.8474,521.1203,85.0579,30.0348,33.0417,30.746,34.3947,19.6426,30.0877,0.0
UKR_M,62.0717,0.5534,25.7467,6.1828,4.2685,225.0839,3.3507,4.6504,8.0738,7.9168,18.7365,15.7836,4.032,16.6341,17.4679,6.0281,5.0521,13.2671,12.8725,1.3911,18.0584,34.7768,43.3411,31.7849,386.0057,1514.831,93.4202,14.6682,22.7859,59.0465,0.9379,69.0134,12.3971,80.8303,172.6365,230.9528,86.0178,563.1345,40.8912,104.1641,76.9481,38.8769,21.5681,35.482,0.0
UKR_N,26.4545,0.2373,10.9546,5.86,3.6358,75.5353,2.4745,3.0367,5.9208,3.5795,10.7481,1.6764,3.5019,10.879,14.2723,1.7425,1.5401,3.0778,12.9087,1.2812,6.0501,7.9479,14.8549,13.8182,265.6517,645.6043,50.4414,8.4027,15.9214,25.1436,0.3123,29.3994,5.2288,65.27,14.2269,98.3784,162.0668,51.3079,220.9497,0.0,6.8799,16.571,9.7138,14.3681,0.0
UKR_O,4.06,0.028,10.1525,9.9502,4.0985,34.5654,0.5251,2.9148,4.943,23.1415,9.2994,7.2117,1.5853,3.2919,11.8761,2.5517,6.4746,1.567,3.4428,1.2983,5.1477,3.7692,19.0502,20.6423,11.3122,67.6116,25.4305,4.5193,6.0095,12.3982,0.1118,5.5078,0.2969,10.3062,1.687,16.3479,21.5801,9.7541,9.9297,73.4622,407.9352,70.429,8.7712,2.3814,0.0
UKR_P,0.2706,0.0075,0.9486,0.3341,0.1668,0.6243,0.023,0.0175,0.0297,0.1029,0.1309,0.1974,0.0493,0.1361,0.4038,0.0675,0.0343,0.0387,0.2616,0.0334,0.2883,0.0774,0.7695,11.1281,1.0422,7.0081,6.6979,1.1848,3.1968,3.8325,0.1424,0.228,0.0725,0.6327,0.6694,0.4663,0.4742,2.1858,0.9584,17.1197,86.0736,1.2302,1.875,0.1671,0.0
UKR_Q,11.5584,0.3313,6.1882,3.3534,3.365,21.6822,0.4284,0.7306,1.0014,7.7407,5.9727,1.1802,0.7583,2.2016,5.4292,0.4593,0.9119,1.6763,5.3629,0.2529,3.1847,2.9572,6.9882,20.8921,17.263,47.7455,24.3739,2.7345,3.8549,11.7499,0.0,4.2035,0.2421,10.4638,6.6218,1.1309,18.363,5.9199,10.1299,37.9302,12.0376,20.7831,5.479,2.2725,0.0
UKR_R,0.9024,0.0165,1.0699,0.1151,0.1358,1.6626,0.085,0.2275,0.3312,0.9911,0.5143,0.1659,0.1591,0.2765,1.2515,0.1203,0.0915,0.2521,0.5764,0.5057,0.3128,0.2455,0.9914,20.9055,0.0303,22.4706,2.7161,1.1047,0.7137,1.6374,0.0,6.1914,11.849,0.4752,2.9988,1.6311,5.9495,29.6571,10.0037,21.202,226.3873,6.9698,46.0091,25.796,0.0
UKR_S,1.8987,0.0329,6.6787,1.0848,0.6226,11.0908,1.3267,0.6965,1.2316,0.533,4.177,0.8226,0.5431,0.6876,1.2252,0.3704,1.7703,2.4435,1.9636,0.0682,0.4189,5.5009,6.3004,42.1263,11.3734,46.7133,14.2023,2.0368,3.7989,7.5403,0.595,12.662,2.2231,23.4326,43.1937,3.3775,64.866,34.8925,65.368,0.0,6.0933,14.6041,10.7899,153.036,0.0
UKR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
