V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T
EGY_C20,724.338,1.8452,6.21,2.8547,0.0242,27.9028,176.6185,44.9893,37.7777,58.2996,250.7504,112.0222,161.6391,27.4744,30.9917,31.7494,8.6487,71.7231,6.2765,11.2579,0.8557,31.0588,2.5856,9.8189,9.3019,6.1149,5.3494,8.8918,3.293,4.1963,0.0367,27.9548,0.1418,0.3213,0.0488,1.7167,8.9288,0.2019,12.3828,16.4492,11.1617,131.5029,4.0698,48.2788,0
EGY_C21,0.0376,0.064,1.5989,0.8797,0.0064,3.9124,55.2097,14.9507,12.4798,19.3634,63.8494,51.0098,70.2808,8.2265,7.8036,8.153,2.812,23.0494,2.0169,3.1569,0.2584,9.8457,0.8671,1.9767,0.3018,1.2766,0.2208,1.2219,0.1262,1.0623,0.0037,8.3803,0.0012,0.0039,0.0006,0.1837,1.5004,0.0019,4.1125,8.6902,5.8468,55.3932,0.6202,22.2705,0
EGY_C22,7.0385,0.136,1.4315,0.4541,0.0043,251.8095,34.1514,5.8538,15.9721,6.8763,30.5097,12.469,61.201,2.1185,2.6154,12.7605,5.0356,85.5696,4.1857,41.3105,0.3976,22.12,0.0067,0.3942,133.0202,7.1926,10.627,0.3663,0.0926,12.233,0.0084,4.8624,0.1676,0.3583,0.0535,0.2533,5.9402,0.8057,0.8074,0.5991,0.9038,3.8033,0.0696,3.0514,0
EGY_C23,0.6599,0.1464,3.5,3.1764,0.0239,12.3453,28.8482,9.147,3.7896,79.408,46.9498,19.2487,32.3026,374.4398,320.376,50.912,16.2943,104.3384,18.2331,45.4377,1.6663,41.8979,0.012,0.04,1357.1199,16.6152,0.1705,0.1952,0.0598,0.8025,0.0027,57.4811,0.0221,0.0535,0.0077,1.1156,523.8503,16.5345,18.2171,73.3418,45.5264,229.6004,0.4707,38.2281,0
EGY_C24,0.0186,0.0,30.9547,4.5556,0.0697,11.0079,12.1029,7.3845,9.9177,29.259,17.7946,7.0926,26.7982,18.0552,1550.2535,1051.8971,80.292,599.017,163.967,236.3291,4.9799,247.1215,0.9381,2.4255,345.4268,29.3249,38.5668,26.5949,3.1718,11.6399,0.3036,7.7489,49.8175,102.3511,15.1881,0.7821,3.7217,37.4309,19.1307,31.0375,10.0945,8.9958,0.9799,8.2132,0
EGY_C25,1.8615,10.8959,7.6547,1.5648,0.0222,37.9285,10.9862,4.0523,2.8464,9.9012,15.3632,7.9886,10.5265,5.5269,10.6779,78.4711,2.6615,58.2195,5.3134,36.9359,1.6287,23.2425,0.2741,0.3241,72.7531,11.8516,4.7342,12.0271,4.459,2.4448,0.1187,11.5584,0.2666,0.6849,0.0816,5.036,18.8559,3.3434,3.8204,21.9649,8.8622,11.1059,1.3368,8.5212,0
EGY_C26,0.0193,0.0477,0.6753,0.0715,0.001,1.7461,0.251,0.0734,0.1446,0.2064,0.3943,0.1709,0.4829,0.0893,0.1609,1.14,4.5897,12.2261,0.718,1.0398,0.0391,1.9615,0.0253,0.025,2.0292,0.4225,0.4485,0.3189,0.1734,0.1717,0.024,0.1683,1.7249,3.609,0.5373,0.0515,0.1946,0.4463,0.3966,0.7371,0.3268,4.343,0.1712,1.3448,0
EGY_C27,0.1979,0.4649,1.0185,0.9995,0.0092,13.9405,2.391,0.4668,1.5511,3.5144,1.6306,0.7386,1.7912,1.7409,1.0786,3.4935,4.6052,121.8114,8.1207,3.145,0.3577,2.7191,0.2823,0.8297,16.7902,2.0721,5.341,6.2718,1.6584,1.1867,0.3201,0.8208,7.3067,15.0578,2.2418,0.8967,1.9353,2.3464,1.8481,8.3678,1.3538,2.7444,0.2776,9.1814,0
EGY_C28,0.0999,0.3372,0.2635,0.2311,0.0026,6.9496,0.9829,0.2367,0.7178,1.7009,0.6781,0.2844,0.5427,0.9424,0.5912,2.7403,0.5333,2.7518,2.6485,0.9792,0.0974,1.2109,0.0219,0.4535,7.8534,0.7071,0.1616,1.7368,0.1276,0.0838,0.0617,0.3342,0.1089,0.0868,0.013,0.5589,1.1534,0.3236,0.3748,2.2296,0.4066,0.6965,0.1262,1.2238,0
EGY_C29,0.0103,0.0826,2.251,0.2272,0.0027,0.1719,0.4953,0.2306,0.2123,2.1147,0.3302,0.1209,0.2228,0.6933,0.5088,0.7927,0.0933,0.5131,0.522,111.6244,1.6109,1.9935,0.0139,0.1282,0.477,19.733,19.1953,13.7652,5.4862,2.3846,0.0044,1.1266,0.4811,1.0353,0.133,0.5957,0.2279,0.3308,0.9827,14.6032,0.248,1.4944,0.1672,6.3829,0
EGY_C30,0.0,0.0,0.6937,0.0452,0.0007,0.0029,0.0725,0.0347,0.0314,0.4312,0.0319,0.0204,0.0272,0.0861,0.0827,0.1085,0.0188,0.0477,0.0664,3.6015,1.4624,1.1551,0.0021,0.003,0.0579,2.4412,2.7381,10.2494,5.166,0.5794,0.0002,0.172,0.0534,0.0939,0.0251,0.0768,0.0005,0.0524,0.2141,5.611,0.0427,0.3241,0.0355,1.9011,0
EGY_C31T33,4.1377,34.253,15.1324,0.725,0.0312,201.9043,25.6306,25.2742,4.3418,8.862,6.1001,3.3936,6.5578,3.8507,9.7206,7.9942,4.331,13.9357,1.4224,5.6069,0.2451,129.2015,0.8024,0.8371,52.1948,23.7742,20.1047,36.8919,14.2674,2.3978,0.3329,22.8646,1.5022,3.9971,0.5021,13.5571,48.4309,2.1782,3.1948,62.0756,7.5151,23.1113,3.4961,17.3866,0
EGY_D,6.0477,0.1414,7.5325,3.5791,0.2413,435.6042,219.7291,26.7376,40.5874,18.0468,165.3089,14.6588,40.3945,107.7267,635.988,51.7123,3.8301,32.584,4.3792,6.4188,0.5587,43.9369,3151.0551,146.2647,15.9512,138.8959,25.6714,51.2559,6.7809,12.3328,1.5434,622.164,14.6402,61.5873,6.0452,91.3878,3.1136,9.4737,8.8574,443.4587,93.8997,179.2182,36.5209,162.7535,0
EGY_E,1.4245,0.0276,0.406,0.1466,0.0447,36.9279,18.4943,2.2637,3.7448,1.5892,13.9789,1.245,3.4142,9.1339,168.7042,144.1211,0.3238,2.7625,16.3303,0.5493,0.0155,1.4732,188.8062,4.8367,4.9985,9.9776,2.9607,11.926,0.4502,1.1123,0.061,0.087,0.1767,0.0687,0.1588,10.8069,0.59,0.0912,0.0355,27.1529,5.5653,2.6552,3.4143,3.3312,0
EGY_F,0.2663,0.0,1.1235,5.5572,1.4748,7.6045,2.616,0.8417,1.0475,4.139,1.2006,0.8981,0.6904,1.0212,0.6188,3.2387,2.3171,3.5409,1.231,0.9027,0.2878,1.8959,0.0101,7.3227,1225.9208,11.7383,8.6014,44.803,0.0047,0.1343,0.0292,58.5653,1.6681,9.1017,0.93,0.962,5.1347,0.4282,0.2947,26.6186,6.2355,16.5131,0.5462,11.1425,0
EGY_G,756.1803,75.6909,166.0733,8.3868,0.9659,2016.7964,393.3817,58.0445,107.1629,1110.6252,122.0774,67.8717,74.2057,136.2302,265.5082,97.9536,19.7654,125.2626,21.4244,61.9072,2.7083,193.4776,490.8028,23.2259,588.9313,184.3297,91.6254,112.5099,53.8554,16.0753,1.3819,208.4838,16.3182,50.7611,6.6142,54.4858,269.1238,36.7167,32.1638,288.771,60.4547,272.339,13.2998,119.2389,0
EGY_H49,78.0425,0.9964,19.956,2.2198,0.0726,145.2654,27.9865,13.1051,10.3051,338.3111,13.0989,6.6218,7.0909,18.2418,58.9974,15.1382,1.9779,11.9597,2.7052,4.7841,0.689,26.5485,77.0648,2.2988,63.7323,133.419,32.4088,11.9604,4.2338,203.6201,4.5309,48.3827,2.5993,12.5332,1.3029,26.2496,5.5274,8.8462,5.0237,68.7685,79.264,43.7172,22.0003,26.1254,0
EGY_H50,28.4728,0.3091,5.1416,1.3073,0.0624,94.4789,53.1868,9.9199,13.5338,66.9327,50.7242,34.2502,20.6548,32.776,58.2745,64.4064,25.637,61.1742,18.7335,39.0208,25.363,71.9598,15.0763,2.4188,143.0265,1317.0158,22.3347,363.6994,4.332,18.8876,0.0575,36.1555,2.8122,12.1225,1.3325,2.9112,1.8279,6.2673,6.7025,38.8486,8.3475,16.9859,41.6054,23.1348,0
EGY_H51,22.6669,0.3603,9.9127,5.1273,0.5284,60.5689,22.9918,6.9088,7.4781,76.35,10.709,6.09,5.8817,12.1555,24.2362,14.065,6.4627,17.3336,5.3871,8.7359,0.8588,16.767,30.0345,0.3957,32.3837,14.3356,4.7379,4.4267,20.6023,12.314,0.0626,8.4619,3.52,17.6295,1.8434,0.5888,2.2947,2.8633,2.0912,31.8638,4.1016,5.8028,1.9442,14.7744,0
EGY_H52,11.3065,0.1569,9.4733,77.3002,14.2861,116.4072,236.9991,42.0033,45.5982,186.7807,94.64,70.142,36.1122,83.9258,59.5884,150.2749,12.9313,30.5311,27.8361,12.6026,1.5211,40.0579,16.9023,0.7678,135.7079,64.5573,37.5047,50.1931,116.199,790.0402,0.14,54.6847,7.9732,42.9812,4.4051,0.5854,1.4858,12.1331,13.2538,38.9611,18.8477,194.9321,12.0654,36.4906,0
EGY_H53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,5.6866,0.0002,0.0,0.0,0.0,0.0,6.1559,0.0,0.0,0.0063,0.0,24.434,0.0062,0.0003,0.0008,5.4393,0.909,0.5302,0.2012,0.0,0
EGY_I,0.3178,0.004,144.8701,14.1898,6.5467,5.7669,5.5234,1.2587,1.4528,12.446,7.649,5.2983,1.6821,2.9687,1.2424,7.0922,4.925,4.8248,2.34,1.5713,0.685,2.0418,1.3092,0.1404,19.1842,12.6743,0.793,0.379,11.0006,42.7526,0.0226,0.884,0.2673,1.4059,0.1574,2.9394,0.0421,1.8882,2.0742,4.1982,4.1587,3.3119,1.2136,3.765,0
EGY_J58T60,0.0369,0.0017,0.0277,0.0958,0.0019,0.6182,2.1623,0.0417,0.1384,32.0445,0.8632,0.4365,0.2162,0.0177,0.0273,0.0553,0.0103,0.0269,0.0171,0.1935,0.0143,0.0425,0.2981,0.1551,4.8612,20.9397,2.8293,0.5556,13.9706,3.2275,0.0332,2.7266,8.9774,20.5549,2.1373,7.3658,0.011,5.6697,2.4683,3.7303,2.7185,4.1861,0.2255,9.1676,0
EGY_J61,0.6165,0.0206,0.1939,0.7723,0.0057,2.7725,1.0271,0.1589,0.1711,0.4445,1.4265,0.2305,0.1421,0.0834,0.1859,0.3604,0.025,0.1103,0.104,0.0509,0.0882,0.3142,2.8261,1.0069,63.9626,109.1655,2.2255,0.4822,4.3253,28.9389,0.0424,16.9894,11.1282,197.671,4.7371,11.2265,0.0789,13.8866,16.0207,6.3658,7.526,30.1688,0.7832,28.8455,0
EGY_J62_63,0.2833,0.006,0.045,0.1781,0.0008,0.4477,0.2336,0.0184,0.0269,0.0957,0.2554,0.0474,0.0213,0.0136,0.0281,0.0584,0.0067,0.0201,0.0174,0.0107,0.0114,0.0566,0.663,0.215,8.0664,20.3772,0.3498,0.0793,1.0126,4.8962,0.0449,1.4984,2.9774,8.2095,3.6517,2.9344,0.0128,3.2256,2.3086,1.2946,1.3279,4.3912,0.1348,4.1263,0
EGY_K,67.4661,0.1074,87.7453,0.8297,2.7437,114.9584,56.0058,3.2053,7.6917,76.3602,26.7299,19.6633,11.3371,24.5919,45.3367,12.8046,3.4668,99.9769,30.7205,21.6907,0.4737,8.4611,114.9468,15.6256,1115.5803,300.7766,29.9694,17.3896,4.7169,320.3692,12.0612,10.6206,15.0614,200.7691,6.6944,132.9881,60.1441,37.366,55.3117,113.093,61.0628,99.7512,14.3296,102.8761,0
EGY_L,17.4885,1.8674,0.9329,5.5923,0.1031,139.2454,11.9943,1.6149,4.0804,17.3854,13.8299,19.8625,3.1138,6.8673,7.3033,5.3297,3.2447,8.4775,4.7342,4.8358,0.9834,9.8806,2.5239,1.027,23.4263,272.9695,55.4735,20.8673,6.1754,30.5714,0.6898,368.014,3.0935,13.1959,5.9779,98.9303,353.7751,15.4579,14.0405,88.8919,15.9773,148.3455,2.6265,49.3123,0
EGY_M,0.9258,0.1165,86.9507,3.2482,17.7545,100.3616,21.8617,15.2276,6.0353,51.8275,20.1416,6.5072,4.421,8.2293,8.6229,12.2206,2.096,6.2818,2.0467,1.5825,0.8016,5.0813,14.8053,13.1611,347.7036,258.6186,16.2181,95.8174,45.0881,49.944,1.4108,371.5889,47.5595,299.2395,33.1324,46.4946,1.9825,102.5959,50.3233,159.8336,84.2979,173.583,10.8286,153.7832,0
EGY_N,9.7506,0.0069,2.6614,3.3048,0.4506,53.7704,17.2473,3.2361,3.5198,56.5758,9.1483,6.5779,3.7239,6.0796,3.0931,6.9056,0.8413,4.0307,2.2008,1.4162,0.5609,6.7878,3.7758,2.8641,142.1485,67.5013,8.0181,29.1195,19.0098,21.7953,0.4905,73.3046,15.7608,57.9518,7.6951,19.0267,0.5845,15.5806,18.2535,21.3148,17.3684,54.4278,1.8223,45.6675,0
EGY_O,0.011,0.0,0.0012,0.0875,0.0,0.0477,0.0009,0.0009,0.0437,0.0007,0.0013,0.0,0.0001,0.734,0.0,0.0001,0.0003,0.0086,0.0042,0.0004,0.0,0.0001,0.0081,2.678,0.136,0.001,0.3642,0.0,0.0,0.5662,0.0338,0.0123,3.2642,0.0054,1.1072,2.6716,0.0039,0.0049,0.1437,21.4117,2.0269,1.885,5.596,0.632,0
EGY_P,0.0001,0.0,10.6757,0.7991,0.316,87.8457,15.8291,2.2157,5.4505,27.1009,11.0605,7.0753,3.3608,3.3174,4.3043,23.3011,11.0457,6.797,3.7423,3.2984,0.1674,3.744,0.0627,0.0092,0.5659,2.6965,0.5858,6.0606,28.1448,0.3994,0.009,2.6562,30.5142,0.6489,0.0539,3.8373,0.0099,0.1828,0.1552,51.2513,3.3049,24.52,0.0956,4.0776,0
EGY_Q,0.0,0.0,0.0043,4.6093,1.1829,7.2325,4.3875,0.5726,0.959,4.0051,4.2752,2.9596,0.0,3.3036,3.8444,9.727,0.785,4.2968,3.4412,1.1059,0.0,0.4546,0.0,0.0,0.0,0.0,13.3352,0.0,35.4799,0.0,0.0011,0.0,0.065,0.3757,0.0356,0.3058,0.0,0.0,0.0,2.388,1.3971,73.9185,0.5407,3.4684,0
EGY_R,0.0005,0.0,0.0292,0.1506,0.0141,0.3406,8.1683,0.0896,0.31,87.2566,1.6233,1.0872,0.7051,0.073,0.0401,0.1278,0.0538,0.0924,0.0416,0.6379,0.0084,0.0592,0.0074,0.1624,0.1884,0.2569,9.9919,4.8285,42.7091,0.7802,0.0936,0.6866,3.1081,22.5848,2.1463,20.1993,0.0001,0.1306,0.3866,11.4835,0.1586,1.123,0.1948,13.5534,0
EGY_S,3.0089,18.523,17.2833,8.3942,0.7936,43.0761,15.4078,2.3609,2.5319,16.6364,9.1681,6.7615,2.6358,7.3389,5.5831,7.5137,3.2803,8.7794,3.0088,3.9463,0.5357,4.0726,0.6065,0.9063,102.0282,24.4973,8.6337,253.2077,21.9754,9.6369,0.2537,39.7206,1.318,9.9071,0.5149,16.5853,45.9805,1.7869,2.2395,46.1699,9.7318,14.6385,4.4705,63.5977,0
EGY_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
