V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T
CZE_C20,171.9198,0.7087,18.7584,15.4482,0.7246,55.7276,47.3586,62.7194,61.4671,16.1747,606.9808,26.7341,828.86,72.324,45.097,54.6758,19.9354,78.9067,64.9486,179.1082,7.4028,78.787,45.7863,17.705,58.1888,92.1942,36.9444,0.2678,5.9167,21.0373,0.8192,5.9194,3.8664,2.3028,2.9176,5.2691,67.0509,31.3141,17.7226,14.1789,7.843,29.4674,6.0428,10.4711,0.0
CZE_C21,6.3138,0.0233,0.8195,0.2486,0.0113,7.3569,1.93,1.047,3.2602,1.1025,6.9774,33.1985,9.6598,1.4131,1.3637,2.0838,2.4764,1.3551,2.2694,20.449,0.6533,2.0587,1.5994,1.8833,6.8836,29.3162,1.3953,0.0158,0.1958,0.5509,0.0647,1.5123,0.9419,0.3473,0.642,1.5924,3.2143,25.4292,1.9414,2.2772,0.6626,299.1152,2.2903,3.7757,0.0
CZE_C22,28.8937,0.1663,32.9385,16.1514,1.1325,98.764,19.7108,13.5175,22.7633,1.3939,24.933,9.2418,915.203,38.4838,20.3874,284.7105,250.4262,101.4432,100.2945,2084.8,102.1493,91.8086,7.1184,15.3074,252.718,116.8955,61.5082,0.1113,1.3627,8.0452,0.4557,7.2463,2.4063,0.8857,1.7881,3.4281,213.493,52.5005,16.0458,2.9114,2.1403,9.6862,3.6188,3.9179,0.0
CZE_C23,15.8791,0.2226,7.6107,13.1576,1.1671,64.261,30.7771,27.6026,3.271,4.0486,29.0686,5.6363,19.1133,983.6035,44.6359,48.034,44.9195,25.2005,34.7492,66.4834,6.0136,31.8409,13.0624,15.2807,1270.5516,34.2112,6.7499,0.1893,0.5317,5.762,0.2854,8.4429,2.7599,1.2247,5.6898,3.9036,356.7998,31.7364,10.5218,4.8417,3.1723,4.9744,4.064,3.1653,0.0
CZE_C24,10.6299,6.3801,4.247,2.1888,0.3186,5.8496,0.666,4.0308,2.1423,0.6009,7.5387,0.014,34.3456,25.6216,1231.9031,915.8653,32.4046,548.3849,960.9014,922.56,88.7902,161.4018,19.9269,142.6909,345.0049,43.0831,0.6684,0.6575,0.0987,0.365,0.0384,0.5445,0.6893,0.0246,0.5268,0.0709,5.88,13.6959,2.4174,0.2937,1.3302,0.0491,0.4427,0.961,0.0
CZE_C25,26.6636,0.3701,62.7767,9.7629,0.8263,71.0797,21.6401,70.9962,29.125,14.5353,66.869,10.087,99.324,61.7264,370.4811,2107.0552,113.4142,224.0929,1081.2858,556.6811,26.353,263.276,51.0286,17.9955,469.1101,233.9669,46.6947,0.2708,4.5767,19.8122,1.5388,9.5037,3.0641,1.7409,5.1959,8.2431,179.2136,102.9917,19.1375,14.8954,4.4215,14.7371,7.8759,7.4608,0.0
CZE_C26,9.1924,0.1375,4.8631,1.0806,0.1533,11.4837,3.5775,3.0889,6.8161,4.3312,8.2827,1.7618,16.825,3.5087,3.3123,14.1982,643.3267,208.4989,123.4893,129.9354,98.8026,32.6351,22.4661,4.0818,109.5875,64.0042,27.963,0.1164,3.1052,12.6838,3.6904,16.4638,15.4898,103.8771,27.7719,46.9531,16.6206,81.3781,12.3568,17.1874,20.7691,27.9033,10.8541,9.971,0.0
CZE_C27,19.8922,0.2595,16.921,2.8252,0.4034,26.8897,7.1789,5.5926,9.4161,10.8706,11.5451,4.3662,48.793,10.7519,12.7224,52.2287,41.2123,309.8008,137.3046,796.4752,29.5199,106.3235,107.4869,6.4158,328.0698,150.5462,25.8149,0.2642,5.4117,13.2164,2.5821,15.4957,2.1365,2.516,7.2793,5.2884,84.1876,39.9247,10.2001,18.0473,4.8062,13.5052,7.005,3.3873,0.0
CZE_C28,50.4448,3.1157,79.4413,4.5892,1.3457,38.0677,10.541,15.6156,17.0203,18.713,36.3336,5.194,34.6949,64.8263,25.468,130.6091,32.6742,49.9655,243.8885,216.0881,36.2297,128.3923,103.946,18.1427,322.9446,144.2693,33.5388,0.4467,9.2496,21.8442,0.9918,11.4407,3.1028,2.8831,4.1846,8.5343,65.6449,69.9363,21.9162,21.2841,4.4953,19.4367,5.9226,14.4115,0.0
CZE_C29,39.7794,0.3013,4.3738,3.6823,0.2968,13.6902,11.0104,4.2282,2.6754,2.9688,6.5959,3.8559,86.8023,42.4587,80.685,53.513,50.2242,475.7678,88.7549,5343.3923,30.0846,30.7951,20.2637,40.107,186.4669,863.6976,394.8629,0.2152,0.6253,5.1592,2.0762,5.7735,3.9094,7.8243,8.6436,17.3726,35.382,57.2673,35.7475,7.7446,8.6556,12.1385,6.934,6.7519,0.0
CZE_C30,0.0346,0.0471,1.8462,0.1184,0.0344,0.2114,0.0288,0.6491,0.7113,0.0,0.0949,0.091,0.0999,0.2079,0.1292,0.4382,2.625,0.1344,94.0584,1.3988,154.4501,74.4149,0.3333,0.1903,1.3001,0.3478,18.3023,0.4127,14.593,0.3989,0.4151,0.2058,0.1351,0.061,0.0,2.1309,0.0989,3.6472,1.297,7.395,0.1574,0.7671,0.0839,0.1511,0.0
CZE_C31T33,101.7018,1.8523,51.5916,8.4376,2.6395,109.5351,38.2535,29.028,62.8904,89.3339,59.2874,15.8571,36.9285,33.7795,24.0688,110.5231,25.0867,96.2682,405.3947,219.4292,65.0562,451.8578,109.1736,12.9793,177.771,307.0221,113.1614,2.0553,46.4036,85.1339,1.5586,60.3091,5.7107,8.3767,15.0808,20.6453,79.5986,98.8531,24.6487,72.3853,26.6386,155.8816,56.5718,18.2425,0.0
CZE_D,152.5603,0.7657,158.1322,41.0962,1.0067,379.4429,177.1406,142.866,224.769,209.0142,328.2435,52.8489,151.6674,287.9951,241.7912,303.4534,184.204,145.7254,418.5928,283.244,28.1938,204.0712,3386.0377,130.8326,367.0147,571.4589,343.4102,0.4509,5.2846,531.0015,19.3653,223.767,26.3418,73.1787,37.486,196.8452,830.2024,168.3217,57.7036,440.3807,265.9051,344.9995,107.5297,84.6041,0.0
CZE_E,46.064,1.0517,16.1656,6.2782,0.2808,75.7237,7.4105,4.502,14.172,6.6418,38.1009,7.1071,12.405,14.9457,902.3959,69.4752,10.0407,10.824,91.4445,110.7955,7.4503,11.7986,179.5024,1071.2242,140.1806,146.4342,28.8245,0.2333,0.8882,17.6332,1.058,45.0902,1.9458,1.4997,7.9056,22.0756,172.0625,55.0309,109.9891,176.9359,32.0963,87.8296,19.3265,11.6428,0.0
CZE_F,147.8295,1.3589,86.1381,16.3355,8.2389,65.5094,9.5205,46.6443,28.3589,23.0191,125.4162,10.3286,35.2268,78.3576,53.425,75.3441,12.7394,33.0574,90.5877,63.2524,5.8264,476.5687,192.4018,213.5471,13371.2591,440.9474,278.716,0.5863,5.7681,663.6414,8.1794,110.29,8.9039,17.2054,30.9034,102.9243,2304.6269,1226.3532,78.8521,848.4467,105.5857,258.1968,101.5196,30.3484,0.0
CZE_G,697.9502,2.5296,94.5646,46.1651,2.4609,1803.3884,305.3124,201.5856,284.2021,80.8196,470.4391,171.2067,591.3963,326.8442,427.1659,591.6927,516.885,256.4615,562.9571,2238.5611,78.7728,364.8521,489.8906,225.2147,1107.5949,4615.0894,996.4793,3.7348,92.9451,237.9317,23.8797,387.169,193.6607,118.1436,167.7087,324.2482,632.2774,1449.0396,592.6755,246.5973,109.539,453.6653,251.1607,137.1112,0.0
CZE_H49,82.2191,0.2897,193.9459,68.0409,1.8326,292.3339,30.9028,95.9716,111.9205,262.9402,143.6218,11.006,66.5574,99.5833,108.1364,136.8302,60.2526,70.3126,149.6975,337.213,12.6938,90.0718,696.0773,40.1388,422.6031,723.2458,999.6142,7.0349,46.7192,1144.6486,51.2452,39.0369,14.7175,6.2072,29.7377,64.4176,108.6828,148.6396,158.4055,60.6736,22.849,49.0452,30.7703,40.3506,0.0
CZE_H50,0.1579,0.001,0.0836,0.0091,0.0015,0.3893,0.0354,0.0477,0.0803,0.3655,0.1377,0.0296,0.1132,0.0405,0.0693,0.0987,0.1243,0.0592,0.2304,0.1773,0.0066,0.217,0.6156,0.0613,1.4377,1.431,1.0687,0.0052,0.1198,0.1978,0.0238,0.2781,0.1392,0.0536,0.2427,0.1009,0.3086,0.4486,0.4274,0.1566,0.077,0.2498,0.414,0.0946,0.0
CZE_H51,4.7819,0.0441,2.8516,1.2407,0.1774,8.2218,1.2518,1.7348,2.3037,9.6571,4.5174,0.5154,4.0637,4.3911,6.704,5.1092,5.4271,3.9295,9.3734,13.0455,1.5556,5.2852,13.3833,1.0454,13.5326,20.2347,23.6178,0.3503,5.2075,19.0249,0.7989,2.6743,1.1183,0.5266,1.402,0.5314,3.6771,3.6377,7.6826,1.1666,0.4898,2.7111,2.6155,0.6405,0.0
CZE_H52,95.3618,0.212,132.7408,64.9532,9.7255,73.8292,7.5758,13.6208,13.0794,54.495,46.2235,2.3006,35.6946,146.8143,77.0609,88.7119,14.9942,34.2425,43.9727,110.0088,2.6299,11.6217,92.9979,32.2246,93.4671,815.8397,1430.6993,24.5616,332.6333,1475.1522,54.8573,7.4754,10.1565,11.6266,13.2454,11.5378,23.144,70.2268,550.7792,8.4826,7.3787,24.762,22.2929,24.3184,0.0
CZE_H53,3.8919,0.07,0.6816,1.1343,0.1659,5.2251,1.5353,2.131,3.2477,0.0765,2.1507,0.4881,3.5066,4.5955,2.0608,9.2321,2.0015,0.7861,0.4057,16.8025,0.9199,6.0752,41.6534,7.2205,18.1091,146.9887,16.5859,0.1465,1.4357,37.003,213.3783,5.2312,45.6615,52.8355,15.5316,346.5826,52.5367,77.3382,28.7837,239.8465,25.4099,16.0781,17.8726,9.4437,0.0
CZE_I,28.4518,0.1868,7.7248,0.6131,0.35,39.5322,7.7908,4.164,5.5307,1.0174,18.5626,2.2492,10.6922,3.8076,8.9579,8.6932,6.8126,3.452,8.0573,34.2264,1.6205,23.3708,32.8707,12.2531,155.2441,222.9541,173.0217,0.2252,17.6949,10.5682,0.2372,68.8015,4.3758,5.3515,29.8478,22.5332,206.418,182.1656,178.4975,99.4981,50.8677,146.1236,52.1003,29.7617,0.0
CZE_J58T60,9.7151,0.0452,0.9559,1.0677,0.0535,22.031,1.486,1.3145,31.9135,0.341,62.4161,4.8629,2.5287,3.3536,5.1747,2.852,6.9074,3.5882,8.2553,10.0614,0.4875,6.2262,6.2105,2.256,18.1077,117.8084,5.5366,0.1677,0.5125,20.295,1.2485,14.3162,714.4719,13.771,41.3936,32.962,11.3804,239.6416,24.5666,9.8441,74.4538,9.9246,29.577,23.2409,0.0
CZE_J61,23.1536,0.156,1.4512,2.0485,0.2338,38.6904,8.7742,6.2063,9.0823,0.8236,6.4303,3.9388,44.0956,11.9665,5.7079,35.7354,19.4255,11.8189,35.455,34.4995,4.6258,40.3086,51.8619,14.6377,104.1851,301.2935,84.6217,0.1744,4.0815,74.8638,19.4416,40.8542,60.6652,1583.8945,128.9266,131.1561,108.5454,226.3736,44.8834,392.5027,41.0109,56.2547,38.8533,24.3293,0.0
CZE_J62_63,18.5255,0.1371,3.5887,1.844,0.1987,48.2687,5.7263,7.0862,35.202,1.225,15.3035,8.8475,9.3964,11.1631,4.7307,11.4895,36.0644,51.026,37.7534,78.8734,3.7308,144.0707,25.6393,11.0224,69.5028,371.9523,32.4517,0.0762,6.5381,93.2383,11.6564,26.0179,39.0655,73.2147,1346.3509,552.5411,91.2807,385.2322,60.5905,108.0339,65.6713,43.3817,85.4942,75.5728,0.0
CZE_K,197.7086,1.2054,38.0006,14.4502,0.5211,117.5475,33.9412,38.5441,77.9189,12.906,47.4051,105.4989,107.1329,69.6205,68.5722,199.6741,28.0753,59.7984,192.054,235.8795,26.5804,92.5492,210.7171,78.4513,529.325,907.4284,773.7368,0.8374,101.5462,137.7782,10.3306,84.3322,41.5075,34.3778,87.2322,2900.5854,2381.5155,772.6193,291.8794,244.5817,99.2418,193.7018,180.4516,96.9281,0.0
CZE_L,74.3752,0.1863,13.0955,3.8677,0.1219,116.1035,33.6302,18.4367,35.2943,3.2398,22.5658,15.8008,35.92,20.1859,45.233,45.6202,43.6999,41.9418,94.1192,74.6439,2.8924,128.7752,94.8195,200.3942,481.6192,2459.1392,96.5436,0.674,12.943,290.3136,11.8593,522.3518,67.7676,102.2225,298.08,541.45,2696.8252,907.9573,190.0309,446.9741,309.831,257.1176,440.6131,91.2973,0.0
CZE_M,224.3679,0.8559,42.5057,22.597,1.5234,376.1339,60.298,29.0377,49.2673,8.4848,153.2024,182.7715,120.9937,89.6757,31.7533,231.5213,136.7257,91.5044,259.4895,449.8077,21.0229,166.4485,171.7213,170.4138,4541.0686,2116.8602,197.8412,1.3046,9.0342,132.4379,24.9887,190.4483,139.3197,99.6471,239.425,546.3011,1061.8712,5044.4907,247.2702,725.8296,162.6352,184.7133,189.4533,72.0043,0.0
CZE_N,52.1053,0.5465,41.8478,10.2786,0.7962,118.6593,11.6459,28.1723,30.6917,7.0547,38.974,12.17,35.9931,33.5818,43.9101,70.1953,53.9129,46.1732,111.5587,164.3797,12.5322,47.6348,58.9022,95.6813,414.8527,637.5125,239.8213,2.4139,55.1981,108.1429,10.613,140.934,31.9727,18.8241,132.636,236.4706,560.4022,264.5065,1036.4697,594.7516,59.3571,96.7401,165.5374,43.8966,0.0
CZE_O,50.6347,0.1518,17.0773,8.7422,1.208,23.3425,3.581,17.6148,10.6235,6.294,9.2659,2.8271,8.9647,19.03,159.8708,23.5409,4.067,5.8302,18.3434,36.3314,3.789,3.4047,42.5738,190.6817,41.3294,94.0941,132.4004,2.2594,30.2068,180.3547,5.0028,6.2658,15.088,2.2055,17.9743,46.044,35.9156,37.6426,72.6517,265.7721,6.234,29.8997,20.6987,14.3462,0.0
CZE_P,13.3812,0.0632,1.454,0.9787,0.1126,10.9314,1.4218,1.5096,6.6352,0.3885,4.1511,4.5264,5.4713,3.5697,3.4349,6.2326,7.9149,5.2349,10.7757,61.1123,2.2801,12.4682,19.4604,4.9798,28.5543,75.1331,21.2855,0.1108,2.9903,14.7399,21.2112,7.9184,6.0575,6.8069,35.808,90.7274,67.9775,125.3553,27.8838,165.6325,403.3288,26.8959,13.0925,14.7804,0.0
CZE_Q,3.849,0.454,0.5384,0.2283,0.0243,11.6079,1.4511,0.5841,1.0922,0.3322,2.2047,19.0444,2.5425,1.9933,0.9814,2.1753,1.8257,0.925,1.756,11.0649,0.3701,3.8339,3.0971,2.1247,15.069,29.8237,11.1232,0.0187,0.7046,3.3513,0.1354,7.2748,1.9155,1.2463,5.4804,8.8366,19.7072,36.4081,8.8715,21.0206,3.4081,241.9352,6.7214,7.187,0.0
CZE_R,3.828,0.017,0.9888,0.6276,0.0311,10.0967,0.9696,1.4425,1.5209,0.203,2.5484,3.2232,3.1654,3.5024,2.62,2.7591,1.4974,1.1035,2.8771,9.2894,0.4919,2.8844,3.7453,4.69,14.8555,43.6022,13.525,0.065,1.8319,4.0909,0.3556,31.1158,21.2758,5.579,8.0885,14.2172,57.4887,66.1417,18.1249,11.2197,8.5603,12.5209,332.1569,67.4109,0.0
CZE_S,6.6439,0.0124,2.8025,1.2829,0.5515,27.9458,4.938,4.5974,9.4336,1.5057,23.7712,0.8952,4.149,1.9069,9.4222,34.5281,12.3097,12.1706,17.1602,9.9686,1.3245,64.3517,4.8923,5.3471,22.2581,197.4428,14.1875,0.0743,32.9126,7.7692,5.0132,38.79,7.4365,9.7095,26.2085,97.0732,41.0224,35.7804,21.4555,7.1948,23.1989,99.7535,41.22,145.7614,0.0
CZE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
