V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T
TUR_C20,1097.2826,3.4422,12.993,73.1937,5.9813,326.6302,1547.7546,199.5292,502.6077,170.0643,2315.3668,156.3661,2064.9494,495.7944,388.1693,183.9785,33.428,304.1742,77.7532,156.9717,28.1509,290.161,58.8659,131.2347,539.0586,275.1514,135.2737,5.3851,25.6965,12.6087,3.4497,97.9753,34.1563,7.839,7.2714,20.6248,414.3579,115.7053,168.0169,111.3994,32.8591,166.8592,29.0963,114.7512,0.0
TUR_C21,59.9176,0.4102,0.5713,2.1534,0.2938,80.5735,28.7993,2.7579,9.5357,4.4093,27.7592,605.7239,19.9897,9.2148,10.2271,5.4773,2.3107,7.2443,4.7408,9.268,2.5915,9.3033,5.3043,14.1746,25.0716,36.4939,11.3512,0.603,1.9473,0.6558,0.4063,5.8008,1.7129,1.9006,1.7214,8.9112,9.8032,49.8078,7.1766,11.6282,15.5028,559.1751,30.1573,12.189,0.0
TUR_C22,222.2127,2.6758,11.4027,28.2787,3.1554,718.057,416.7426,68.5588,353.195,41.2628,297.2317,68.5576,1422.4926,177.4721,65.9328,194.3691,59.9045,687.7321,234.9584,952.0572,61.6593,494.695,35.2424,61.7552,2316.3785,484.8039,977.2528,2.1431,2.9098,39.5107,14.1925,40.7047,15.7821,9.0496,2.8302,10.0856,970.9932,49.726,77.7,131.9727,12.7303,50.2348,4.79,111.7121,0.0
TUR_C23,75.7456,0.2807,10.0114,71.9991,4.6088,180.1653,91.6843,20.6134,29.1538,40.1698,98.3951,30.4241,208.9076,3274.5497,439.7961,136.5999,10.0104,184.3498,99.1049,256.3299,22.1979,176.4929,61.7867,24.4512,9720.8858,271.2635,344.6604,1.7839,4.4171,3.6887,1.7661,94.7153,9.7127,5.9467,1.9111,6.3205,1955.9201,93.2277,93.2467,305.9739,42.3478,286.5514,7.5481,76.9853,0.0
TUR_C24,1.4664,0.2014,20.3772,14.244,7.1726,41.0382,11.9897,28.6047,50.9164,16.8535,50.5294,6.3573,259.4304,176.7037,8885.1239,4163.3557,89.8031,2709.6871,2004.6106,2371.7675,246.3541,1706.0729,65.1207,72.4292,6851.0229,224.3205,151.3148,3.8691,0.0,12.5685,0.0391,22.7883,5.4881,1.5142,2.4041,0.0128,34.366,86.6864,59.7702,5.038,0.3218,0.2071,1.0556,31.7401,0.0
TUR_C25,53.0514,0.9974,9.584,53.3936,7.4224,231.0102,166.4662,58.4692,43.4575,27.4856,138.5002,7.5747,183.9706,106.6821,318.5575,848.4033,55.4675,447.622,441.5546,767.7174,130.9001,499.021,56.8155,26.9275,4142.4836,336.4508,304.187,1.525,4.9855,15.6454,1.9444,28.3781,15.6198,26.9744,6.0434,5.3583,445.1458,55.4434,58.9772,401.4596,33.2204,39.8158,14.3625,71.7547,0.0
TUR_C26,7.7181,0.0607,0.8746,1.7461,0.3834,8.0979,8.5759,1.9104,2.5535,2.2083,4.0257,0.8512,5.0486,3.9936,5.511,11.0554,246.0451,91.71,25.5185,75.4999,4.1644,30.3025,30.5199,3.6931,59.7205,29.007,12.4279,0.3615,1.3204,2.8343,1.2988,3.569,9.0197,83.0716,19.4314,6.7281,7.5945,29.0197,49.5865,22.8375,8.6968,58.5795,6.3539,54.0983,0.0
TUR_C27,30.9467,0.9791,7.3131,45.8364,1.7306,59.7146,86.805,5.518,21.0533,11.7272,25.7384,4.3912,41.4008,66.235,31.1032,101.982,197.9885,1471.0812,285.3512,447.131,51.5795,201.247,310.9941,21.4478,1825.6571,422.7117,185.8405,5.9809,16.139,13.1023,7.9497,91.2123,14.0707,157.323,12.663,17.8937,387.6279,151.5477,110.034,250.7427,19.8386,39.7284,13.1422,173.6425,0.0
TUR_C28,77.4825,0.4357,15.3357,94.7549,6.3866,47.0002,60.6549,8.4889,26.2727,22.6419,24.3715,6.6035,40.4735,75.3351,80.7582,86.7657,27.7841,193.2458,537.5661,465.0043,49.6147,103.9066,55.5238,23.2236,722.5117,102.9379,59.2985,5.4744,3.3901,6.7354,1.2299,11.3763,5.0971,5.0151,3.4256,2.6376,156.7935,24.7805,41.0233,119.2589,9.2733,26.6116,7.1976,40.0764,0.0
TUR_C29,88.7597,0.2042,3.8634,18.079,1.6764,37.3042,33.7538,4.6679,10.2471,7.2213,16.4875,2.6771,33.9412,31.4468,23.2552,49.5357,15.8473,46.8488,260.8867,4666.5575,27.183,46.8712,17.7056,8.9454,280.8966,737.4374,717.3062,3.9943,83.0391,9.1311,2.9011,12.4642,3.3422,7.0312,7.5217,12.0915,51.3168,15.0558,26.8214,44.8801,5.3535,19.1542,4.181,26.8738,0.0
TUR_C30,2.2445,8.1976,0.6908,1.2846,0.1538,4.1387,4.3254,0.3107,0.6061,0.5951,1.3303,0.2866,1.2941,1.2151,1.9234,3.0558,6.7281,4.8185,7.3766,23.6753,207.2389,121.0622,2.5768,0.2565,15.9986,12.2571,51.0206,16.0062,62.1808,1.101,0.0895,1.4778,0.4207,2.166,47.5613,0.4147,4.1722,1.64,1.9151,211.2423,0.6098,4.179,0.451,5.6938,0.0
TUR_C31T33,50.3787,74.7506,27.009,48.2306,15.1149,235.364,657.7738,74.8283,85.2399,74.0275,54.2025,23.8697,168.4726,315.8305,152.8785,127.027,31.4133,76.3749,119.7435,124.3347,34.4736,1001.7511,6.9539,52.7165,624.7175,306.9808,181.866,34.7795,147.4732,62.3881,2.3323,136.1249,17.1124,75.5308,17.8383,176.5655,68.5706,72.1146,78.1505,99.738,66.7591,978.5691,50.4271,136.1337,0.0
TUR_D,306.9158,2.1001,51.1002,104.9555,10.7912,456.7503,821.5162,144.8014,280.6982,69.8962,248.2281,53.9506,396.6999,1199.3821,2012.4014,244.356,20.1339,177.866,173.874,207.059,29.8945,116.9279,28742.9488,393.3357,285.8569,1293.3441,155.7201,4.9612,7.9946,73.5672,19.4714,631.0385,67.5484,243.9427,26.9608,230.1755,822.4851,205.7496,74.4007,1013.1337,495.2343,469.5135,128.5143,212.7685,0.0
TUR_E,137.1879,0.2197,0.9349,2.7809,1.2667,41.6736,60.0497,4.7032,149.2025,12.4975,36.1369,3.2332,41.9799,40.404,4803.7529,30.0578,6.4202,34.6505,16.9689,27.9895,1.8195,15.3642,21.5394,689.9015,211.731,168.2894,27.0776,0.9827,2.127,9.2235,2.2387,101.8444,4.7259,10.9187,2.6022,21.4004,352.5525,48.0322,11.4067,153.8711,92.0324,107.5973,33.1085,84.2151,0.0
TUR_F,217.6654,5.2019,19.2476,68.0443,13.9089,199.5995,176.6688,55.2799,47.5201,27.2231,79.9235,19.6241,84.2911,259.4671,190.4727,116.3741,28.7415,79.8321,77.8447,97.2878,34.2541,160.7994,266.9984,882.6712,19535.033,1268.0029,331.9864,11.0144,27.7425,22.8462,27.2595,163.0934,54.5281,259.3543,21.0214,129.1234,2358.2623,379.511,142.9089,2307.8395,170.9244,250.2461,332.6527,122.912,0.0
TUR_G,3402.1543,50.4621,91.628,647.0273,20.1354,5870.0313,6930.1621,362.7084,928.0024,920.5872,1248.7342,525.2621,1402.6995,1428.9395,1561.6803,908.5898,375.9795,1317.9176,842.3064,2468.0405,169.7843,1495.4328,1499.6265,230.9203,5927.4858,2860.8114,4802.3644,141.949,725.311,200.8214,121.9692,2228.5147,194.2639,236.2304,111.0923,324.554,1113.479,611.0494,612.3142,1449.0049,269.9466,1159.615,139.0725,625.509,0.0
TUR_H49,1282.143,14.0884,91.0962,330.3063,24.8278,2060.7443,1331.2571,175.4479,384.5443,564.2631,605.4157,128.1499,476.2102,957.8539,1348.0884,502.057,74.3516,507.5265,421.6207,657.4269,66.0329,529.7387,467.7896,192.918,2033.4699,4590.5468,19279.9175,169.5384,275.7998,640.6652,366.6662,549.0638,141.9201,145.1348,51.7138,141.7114,361.9141,601.7189,463.8938,1395.9415,820.3928,293.6318,104.6761,294.8576,0.0
TUR_H50,61.7542,1.3376,3.1289,14.2768,1.0359,95.6475,95.8322,8.5726,25.217,104.5716,65.2211,16.0524,58.3211,49.137,176.7728,49.1147,10.3448,48.275,32.3128,72.0786,13.149,38.2003,47.8936,5.3124,119.2325,677.8411,406.5418,307.6944,74.3563,225.5843,3.5785,25.7748,3.4722,4.8092,2.8383,5.4193,22.8444,75.6719,15.5786,48.4352,4.8384,18.328,67.1749,14.166,0.0
TUR_H51,45.6796,1.385,1.5156,10.4766,0.7453,62.2485,62.6357,6.9293,15.9934,48.0533,29.3553,9.2815,29.0435,22.9755,50.5351,23.8194,6.8142,33.5085,19.2455,44.5102,4.7261,23.335,32.5111,3.2996,92.9167,82.659,135.2677,6.991,237.0492,11.8813,36.999,18.6051,5.7084,4.2225,5.3677,27.9611,17.7227,24.997,206.3948,128.6314,9.9517,17.4165,9.8141,18.5228,0.0
TUR_H52,126.6399,12.4257,7.7364,112.1553,4.8203,298.9481,218.8168,28.7071,69.6275,111.4217,157.7588,19.9363,87.5214,110.1456,182.032,72.5106,12.4747,79.124,47.5867,98.9257,15.1639,63.7221,69.4988,25.4165,326.8693,804.5435,2001.7359,472.9063,479.9035,762.1945,80.8294,92.1768,11.8705,14.0848,14.5612,31.7684,76.8702,51.434,156.7257,154.9281,22.1247,105.2417,37.7023,55.0899,0.0
TUR_H53,3.1666,0.1353,0.7217,6.2187,0.8321,24.3544,62.6857,4.7129,16.7661,3.6772,17.1838,4.893,17.9308,19.0953,14.7315,16.4017,4.0939,17.7549,16.4103,6.5269,2.4178,30.4793,11.6271,7.3698,37.5146,851.8433,156.0018,5.8599,12.7636,45.133,132.7674,12.7208,34.8121,144.709,10.5507,120.2636,4.8477,91.0103,103.4015,64.9701,22.409,12.0082,8.195,57.9301,0.0
TUR_I,5.3489,1.7104,5.2653,10.0998,2.4752,49.4953,64.9828,8.0202,23.0339,13.4775,26.8629,18.0785,23.0325,36.827,42.8141,38.3162,3.7301,41.3246,41.0473,27.099,11.8661,36.0053,21.5115,18.2481,137.9272,626.8888,195.8398,3.2827,77.8074,101.4297,12.7307,122.5323,31.4935,36.738,41.0634,189.1681,26.3152,156.2204,1623.162,189.242,113.7891,214.9611,51.7969,93.2675,0.0
TUR_J58T60,6.2609,0.158,0.6309,2.412,0.7191,83.7344,49.2281,4.5415,113.0034,10.7999,46.8873,6.6325,15.2306,29.6225,15.8535,15.3572,23.8893,75.2424,19.5757,25.2137,2.3426,26.0607,8.9549,3.1552,33.8914,471.9797,31.3438,1.5752,3.6712,14.6106,17.5091,36.0049,1261.4238,300.8342,65.7176,371.6719,12.5381,1406.6335,99.2124,126.7009,98.2528,31.7473,31.8786,63.3597,0.0
TUR_J61,47.4933,3.785,2.0109,16.3473,3.3654,64.5757,117.5058,10.3489,32.573,8.3182,32.0661,11.8137,34.2352,43.6943,34.0164,39.3606,6.614,27.8474,41.5999,34.5203,4.9925,37.1017,37.4923,35.5104,156.9055,1061.2813,208.913,10.8879,28.0469,40.2825,18.3994,88.0418,77.6924,2879.5411,106.9153,546.4974,50.0187,272.8857,171.9059,462.1462,75.9362,158.0658,50.3573,232.7235,0.0
TUR_J62_63,6.6301,0.0814,6.4539,5.6452,1.8891,96.3431,113.0244,14.4102,36.7613,25.4131,59.9917,10.9989,53.3541,56.2736,102.1538,32.4588,8.0496,35.7465,26.4149,53.5978,10.0269,60.209,176.1384,63.0026,75.8575,779.618,168.1494,16.0455,8.1184,22.1876,13.2703,43.344,95.5429,158.0445,240.1657,368.7515,23.5139,184.8668,244.8118,158.3882,57.9012,481.7118,23.6874,194.6896,0.0
TUR_K,386.811,4.7485,27.2601,85.4971,15.8517,473.2062,698.6107,71.621,171.463,291.1364,327.0496,74.1243,268.4836,511.0431,543.1259,231.4542,53.4321,407.3585,199.1356,266.3896,77.5908,249.7064,1221.9026,92.8885,1379.1891,2355.0269,1553.0222,73.7624,708.4825,172.3288,57.5552,285.9415,93.3724,428.0828,94.0299,5877.1968,1069.3963,393.1754,402.3548,777.4441,262.3565,315.4092,229.4179,276.4429,0.0
TUR_L,25.2151,1.8859,7.1647,27.3403,3.3273,216.7475,962.548,31.265,219.6453,98.2418,100.4521,33.2267,148.5178,166.9749,108.8503,150.1836,14.7887,93.4113,115.2597,40.7324,19.7183,230.4149,212.4449,77.487,421.801,6069.9089,756.2085,24.1727,74.801,319.2245,213.9385,1415.1013,153.2033,476.0061,100.6728,1488.4585,1123.4577,630.1295,273.8886,438.0355,279.7062,695.9208,210.7671,414.7954,0.0
TUR_M,149.4821,5.4705,22.652,50.2016,34.5304,530.0435,451.2662,50.8975,279.3476,180.0034,418.3042,96.536,177.8765,313.3576,179.266,188.9035,61.2688,340.1787,184.2227,258.2006,42.5832,253.4227,279.4879,88.5177,2486.7248,4032.787,648.5485,22.6917,167.1414,134.4148,78.7075,378.593,457.7127,895.3644,424.0637,1599.4119,415.5554,3260.8373,477.001,856.4877,206.7336,665.76,388.9136,945.7633,0.0
TUR_N,97.524,1.085,21.6773,36.6758,22.9849,332.8276,351.9294,27.8177,111.4718,46.7917,143.8646,219.7273,104.7952,268.7309,153.4153,130.6987,20.4745,117.7586,118.6029,169.2026,35.1402,144.5359,228.8802,441.7924,1118.0588,1878.4653,695.408,39.2104,231.1877,223.0653,186.9772,249.1575,172.355,761.0481,120.9822,496.951,1060.9126,512.955,1327.5328,2088.1276,467.3445,1053.1048,410.2512,304.279,0.0
TUR_O,102.8179,1.2743,3.921,15.541,2.8746,90.1969,103.1486,9.6856,55.4667,23.3605,45.9226,8.1465,32.873,56.1544,73.9018,39.6379,10.4642,30.2567,24.3817,28.9144,6.0933,34.6621,178.9335,54.5602,293.9875,734.3702,334.5204,38.3227,48.9506,88.2005,34.8349,140.3364,63.5135,124.5784,34.0572,323.327,181.044,221.5704,73.197,441.5544,138.6723,152.8058,86.4035,104.1191,0.0
TUR_P,3.014,0.044,5.0126,4.3844,1.0272,22.2172,21.6312,1.1656,9.7838,7.4007,21.4458,12.955,12.5626,18.9125,12.6764,7.0263,7.7814,16.3347,13.5548,34.1426,2.3126,8.6087,10.535,2.5506,13.0283,139.7518,19.3308,1.127,43.3403,5.7002,2.0551,14.0433,10.9025,14.4602,11.4111,138.7206,65.1635,115.8716,37.0045,565.9047,317.5595,146.6805,23.7454,45.5577,0.0
TUR_Q,13.6565,0.0021,0.263,4.9807,0.4947,1.2575,5.2616,0.4381,1.609,1.3887,3.6349,0.5197,0.7302,3.9096,8.6418,2.8676,0.441,1.8739,2.6966,1.8379,0.124,2.0992,1.6203,0.7299,1.9004,8.797,13.7745,0.1631,1.5389,0.314,0.3252,0.5611,0.849,2.4812,2.1102,23.2398,45.5701,2.84,2.5534,13.9049,7.529,1931.7234,12.421,24.2547,0.0
TUR_R,0.1701,0.0,0.2047,0.3408,0.1001,19.5271,2.6614,0.0,6.2367,5.2035,6.5338,3.5093,4.1492,5.699,2.1559,3.558,0.6603,1.7408,0.9976,4.0844,0.863,2.4264,2.294,0.3335,1.2027,67.4992,21.4308,2.9311,9.0752,1.4704,10.2695,55.5034,249.5668,80.2023,6.9695,5.9698,3.4118,138.4631,48.7266,11.8435,6.1237,23.3504,1039.1261,0.3062,0.0
TUR_S,22.7896,4.9629,0.93,6.5245,2.1134,40.6356,64.1755,5.4473,13.9391,12.2534,20.0497,4.315,17.9157,20.7116,26.1218,23.9734,2.7599,14.0116,12.3742,23.4435,2.4053,13.6178,19.3873,11.4167,37.5472,393.6105,88.1562,38.236,8.005,39.2052,5.0151,111.7921,11.359,60.1944,26.2994,81.3562,18.5165,74.9044,153.0548,45.2704,23.1513,68.9811,11.6463,499.9437,0.0
TUR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
