V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_H50,31.9852,0.1111,20.2516,3.703,0.208,298.4349,34.1132,87.4253,93.4485,93.6938,246.1117,198.6002,57.9414,110.0584,111.1164,124.5264,231.6537,130.6659,195.2629,9.1395,16.7612,55.5759,127.0515,16.2931,169.8257,5496.4093,175.9717,1091.5003,49.1271,44.2927,47.206,44.461,53.3303,14.6955,12.8658,89.8076,7.1129,173.1472,305.0853,79.9134,10.2989,48.462,12.9912,17.7217,0.0
CHE_H51,20.9244,0.1067,4.9411,0.6871,0.0605,153.7703,13.1604,21.5812,25.332,36.3969,88.6928,122.6205,19.9547,26.6562,33.9227,57.2488,150.0506,64.5011,83.2081,7.8634,9.9983,32.7781,92.571,4.8039,140.4398,586.4022,39.7999,48.9608,57.022,15.244,20.4044,41.5269,32.2019,12.8283,14.0838,65.1518,4.3044,100.8598,128.972,74.3117,9.0018,52.9956,8.4062,9.4568,0.0
CHE_H52,24.7143,0.0421,22.695,2.0831,0.1105,214.0737,12.1577,49.1854,51.1169,38.6034,142.4068,147.118,35.506,60.0667,38.7201,67.9915,116.4411,89.8998,103.2183,4.6712,10.4745,39.8659,264.6857,30.4497,139.2384,2003.2244,1801.5626,2986.0556,812.3919,1795.5636,9.3069,43.6308,45.958,12.1825,6.6207,19.719,2.7997,56.0176,130.9936,73.6346,5.5781,51.9171,7.1444,11.9248,0.0
CHE_H53,7.9564,0.007,2.952,0.2973,0.0263,40.1579,3.6393,5.7454,15.6394,3.52,20.2472,42.967,9.3157,10.2447,5.8911,19.9704,67.7076,19.6172,41.9125,1.0347,4.4924,13.8803,46.6424,8.1307,42.0866,748.5314,111.857,157.1144,42.5564,134.959,1821.7088,37.5412,41.0896,14.4201,275.5269,547.1666,30.279,243.4724,124.1094,225.8486,16.1511,78.7409,40.1182,159.6792,0.0
CHE_I,5.4694,0.0087,1.4916,0.1144,0.0226,52.0147,3.4331,5.4166,9.0438,2.4502,10.6694,38.694,2.9611,10.7787,3.1927,26.28,69.4932,23.5458,51.5719,0.9616,3.5996,19.9912,32.388,5.3142,59.0072,452.7869,191.8317,190.8188,142.7406,27.0333,10.4433,83.2703,16.2256,23.4509,17.9806,204.9459,8.2147,413.785,458.1779,129.1244,22.3338,44.3141,24.9554,41.5738,0.0
CHE_J58T60,1.8569,0.0016,0.7252,0.0656,0.0045,27.8525,2.6811,1.5203,115.8246,1.3384,10.2486,40.0795,2.7456,2.4822,0.8933,7.2387,49.1598,10.8186,15.3985,0.3538,2.8222,8.3115,10.0656,4.8152,19.7323,1046.2655,14.1631,15.5247,5.9583,57.7962,20.2835,13.2147,543.0897,41.2782,35.2183,292.6222,25.2062,751.3581,288.9703,275.6212,28.7947,37.8793,33.2103,28.1219,0.0
CHE_J61,20.0994,0.015,4.0551,0.3852,0.0463,66.5996,6.7065,8.504,30.569,4.2356,28.3145,83.1982,17.0784,16.2387,9.6262,36.7144,140.2793,31.1243,81.3872,1.8556,7.8243,25.1693,70.7483,12.8355,84.3945,1469.6722,63.4953,47.8951,14.8721,269.2233,42.2939,77.0789,237.7122,2649.2314,131.6891,1051.2552,65.69,520.6326,247.4482,389.7548,32.2196,136.439,120.9675,105.3187,0.0
CHE_J62_63,3.2771,0.0036,2.2257,0.2477,0.02,70.8323,6.061,3.7585,17.9819,4.5966,24.1849,64.0995,10.7589,13.6484,8.4214,26.6858,151.222,68.1884,62.1165,1.7997,16.2949,27.0451,140.0133,22.7888,22.9951,771.4767,119.0248,152.8976,50.4239,57.0651,57.7531,37.5395,53.1016,58.7975,3827.2402,1221.9288,30.7996,554.3213,215.6315,279.9896,13.1249,123.1738,60.5399,56.2997,0.0
CHE_K,147.455,0.0996,20.5456,2.2507,0.1462,483.2757,35.7223,98.0138,91.6484,70.0621,265.1075,434.3785,111.2058,103.0628,177.1942,311.6012,635.6872,179.9683,363.6266,15.7401,49.5938,168.7987,469.0974,70.0916,601.5684,3734.0591,350.8251,385.6037,95.313,284.5227,235.4867,373.1615,148.827,131.0356,448.6964,15197.0961,2991.2638,1308.869,687.5383,1452.7049,135.9511,548.6379,195.0173,230.8334,0.0
CHE_L,19.4799,0.0098,15.1914,2.7805,0.2869,182.4365,22.4717,17.1629,32.8357,12.4604,99.2371,20.889,45.6512,36.5307,19.7713,107.142,126.7651,71.8572,127.8275,3.1289,20.7644,98.8684,33.3693,27.5287,345.4143,4205.8692,491.8003,303.6067,122.3646,409.7735,100.5219,768.7398,155.1322,179.9968,325.4958,862.7503,1833.4308,788.2572,374.3992,1568.0896,212.1491,586.3231,252.6464,224.1542,0.0
CHE_M,139.2018,0.0529,84.0995,8.725,1.6103,751.5396,57.6432,86.1133,198.0268,74.0918,415.5841,1832.9049,154.9573,175.9223,133.0234,433.1003,1371.6776,227.8592,549.8214,21.0449,128.1746,302.4695,457.5734,193.2113,2607.6806,7593.9009,677.6653,718.6425,180.147,623.8851,183.3727,511.0887,578.5518,412.3961,738.9444,6753.0251,1767.7318,13286.5609,1909.1303,2922.1646,137.3857,906.9354,369.6751,444.4309,0.0
CHE_N,50.1598,0.0176,23.5103,3.1509,0.3531,368.7918,25.9568,37.3988,78.0165,24.7829,138.4171,333.1993,61.752,67.4495,62.2315,186.7583,513.1545,88.4766,225.3531,9.5514,49.3738,126.0071,139.4635,55.6817,610.1853,2751.2847,475.9318,583.1959,249.4224,452.3725,141.4911,273.8057,199.7819,180.6439,301.4918,2414.6484,739.4816,2390.6322,2467.7871,932.7241,97.9175,569.0835,202.302,180.0037,0.0
CHE_O,171.1116,0.038,30.2341,3.0436,0.2986,247.3781,12.6472,159.3873,237.2799,14.2614,67.3411,221.435,16.3811,47.5167,895.2514,54.6002,175.5625,55.0607,104.3443,2.3625,19.9566,56.9703,1114.1293,1049.5515,664.0316,971.6533,176.771,188.3396,53.395,307.0754,31.34,158.1178,54.6392,26.5184,125.6823,976.9166,1870.0834,1284.6425,315.1255,6558.4739,191.7152,857.9831,95.9596,88.2939,0.0
CHE_P,1.8894,0.0006,1.1554,0.0912,0.0084,9.0102,0.6276,1.2826,2.795,1.3263,5.626,22.3904,0.8544,1.4373,8.331,2.6427,9.3878,3.2205,9.7269,0.0271,1.0082,4.6835,21.2348,10.9387,14.6557,84.1147,9.3245,8.3441,5.676,41.872,2.137,3.0249,2.9261,1.6914,8.5728,90.8853,12.4003,53.7899,21.2995,101.0387,43.5602,36.9686,2.9136,4.527,0.0
CHE_Q,71.6306,0.0021,0.9722,0.0694,0.0115,19.6183,0.9601,4.3894,1.7921,0.7588,3.3124,12.5978,1.7784,2.173,4.3597,25.041,24.5252,12.8289,26.0888,0.4635,2.9771,5.3023,7.6601,2.4043,24.3182,54.2234,6.3428,6.9913,2.7173,9.8328,5.1728,8.8017,2.1876,7.2027,1.2585,22.066,2.5639,23.5192,7.7197,274.0374,14.1388,779.1491,1.3944,2.749,0.0
CHE_R,0.1354,0.0,0.3474,0.0323,0.0068,14.5334,0.5797,0.3747,1.4258,0.493,2.8895,8.7934,0.752,0.7822,0.5505,1.6125,7.0546,0.6269,2.6307,0.021,0.5921,1.6723,2.9234,1.5419,1.1603,97.0789,1.7135,4.7557,0.6385,3.1189,2.0919,43.4982,163.9165,12.0526,2.3927,41.8961,1.6217,51.4064,40.7268,172.0695,8.1019,18.5908,267.6944,2.5488,0.0
CHE_S,5.2611,0.0,13.5133,1.4025,0.1503,234.8485,20.1413,15.9088,34.7492,8.6477,39.0098,149.3622,19.5401,32.9311,13.5955,63.2457,120.3957,10.3647,105.8301,2.9624,13.6448,63.0338,20.2846,32.6855,236.7237,1562.368,38.9481,39.4916,11.2305,88.1372,18.0141,278.2963,156.0492,6.7097,171.1535,582.2861,46.437,860.9744,536.8263,445.4287,11.5424,421.5677,268.7644,1189.687,0.0
CHE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
