V1,LTU_A01_02,LTU_A03,LTU_B05_06,LTU_B07_08,LTU_B09,LTU_C10T12,LTU_C13T15,LTU_C16,LTU_C17_18,LTU_C19,LTU_C20,LTU_C21,LTU_C22,LTU_C23,LTU_C24,LTU_C25,LTU_C26,LTU_C27,LTU_C28,LTU_C29,LTU_C30,LTU_C31T33,LTU_D,LTU_E,LTU_F,LTU_G,LTU_H49,LTU_H50,LTU_H51,LTU_H52,LTU_H53,LTU_I,LTU_J58T60,LTU_J61,LTU_J62_63,LTU_K,LTU_L,LTU_M,LTU_N,LTU_O,LTU_P,LTU_Q,LTU_R,LTU_S,LTU_T
LTU_C20,231.1728,0.1864,1.5673,1.3149,0.1062,5.5967,24.3452,49.5537,7.5808,1.3994,317.7305,1.0823,130.6319,18.1198,0.5057,9.2842,13.8232,1.2236,4.7319,0.3144,2.644,23.0338,4.6455,10.331,23.2073,18.5626,0.8175,0.4422,1.1705,4.3796,0.0225,2.6942,0.1623,0.1002,0.2528,0.304,0.8867,2.0978,0.7783,2.9625,1.901,3.7123,0.6861,3.0037,0.0
LTU_C21,2.2828,0.0211,0.0123,0.0098,0.0013,1.3991,0.1657,0.2508,0.0684,0.7308,1.1557,0.4926,0.2792,0.1239,0.0217,0.0999,0.0836,0.0629,0.0567,0.0239,0.0411,0.4108,0.3531,0.084,0.4528,0.8985,0.3514,0.0399,0.0626,0.271,0.0243,0.1,0.0986,0.064,0.0572,0.0868,0.2661,0.2299,0.0944,0.4319,0.1517,7.4366,0.0797,0.0872,0.0
LTU_C22,9.2608,0.0342,1.2232,0.5892,0.0222,68.6321,1.4342,1.6002,1.0545,1.4426,2.3538,0.0204,9.3959,0.9407,0.1491,0.4968,1.408,21.8782,0.8336,0.1729,2.5039,12.0028,1.0718,0.395,7.2901,6.1242,6.2517,0.6199,1.8447,80.3612,0.0287,0.7168,0.4257,0.081,0.2912,1.4406,5.193,4.9697,1.1217,0.8839,0.4231,0.8693,0.1397,0.3766,0.0
LTU_C23,6.6792,0.0861,0.0432,0.0749,0.0485,13.1722,0.2865,2.6134,0.1341,0.9799,0.7053,0.0394,11.5441,22.0728,0.1159,2.0435,0.8536,0.3482,0.3359,0.037,0.6748,5.3784,1.9588,0.2984,81.7825,2.859,1.0154,0.8461,0.2093,8.1314,0.0354,0.2793,0.1441,0.2576,0.6186,0.1798,0.8613,0.9581,1.0655,0.9383,0.6474,1.6158,0.1679,1.3382,0.0
LTU_C24,0.3117,0.0041,0.0,0.8599,0.0566,0.7854,0.0209,0.0306,0.0595,0.0706,0.0563,0.0018,1.2066,0.2523,1.008,23.8148,2.2062,2.5821,4.2626,2.5986,0.16,5.9574,0.8821,2.0544,17.8918,0.2645,0.1177,0.0065,0.0008,0.0041,0.0,0.0121,0.0025,0.0098,0.0,0.1223,1.6335,0.0491,0.0179,0.0286,0.076,0.003,0.0116,0.3942,0.0
LTU_C25,3.2007,0.134,0.1758,0.1228,0.0451,8.1878,0.8152,6.0427,0.6545,2.7533,1.8233,0.0416,1.7688,0.6099,8.5479,11.397,0.5923,13.8417,6.5246,0.4693,4.6749,11.7208,1.6325,1.7937,60.3048,5.4748,5.4139,0.1289,0.6054,4.2532,0.0949,0.2681,0.2909,0.18,1.9031,0.6622,35.024,12.5787,2.6997,1.5673,2.0047,3.4225,1.1367,0.5595,0.0
LTU_C26,1.264,0.0464,0.0127,0.0124,0.0036,0.7629,0.0984,0.2595,0.052,0.4685,0.2458,0.0068,0.1119,0.0864,0.0588,3.4544,12.5106,1.6784,8.8145,0.0511,0.1053,1.529,1.282,1.4879,2.7388,0.9158,0.6318,0.0472,0.0503,0.2244,0.0102,0.117,0.1073,3.3417,8.9709,0.4703,0.9618,1.2197,0.3399,2.3175,0.3297,3.7494,0.4647,0.6514,0.0
LTU_C27,1.0909,0.0485,0.0478,0.0579,0.0041,0.6208,0.1062,2.3801,0.0812,0.3903,0.1589,0.0036,0.0959,0.1457,0.0889,0.51,0.9584,4.6451,0.9757,1.7173,0.3586,0.6514,0.896,0.9404,7.3564,3.2989,1.1218,0.0283,0.0306,0.3691,0.0113,0.0692,0.0324,0.3034,0.545,0.1969,4.6267,0.7512,0.4502,0.8162,0.1948,0.5801,0.1578,0.2109,0.0
LTU_C28,6.8705,0.1005,0.3137,0.1182,0.0249,8.2976,0.527,1.3596,0.3698,0.833,0.9108,0.0473,0.3192,0.5843,0.1695,0.7115,1.5252,0.9922,0.9431,0.4208,1.0156,3.5361,0.8282,1.1611,5.8076,5.3306,0.8531,0.1637,0.4127,0.4836,0.0311,0.1346,0.142,0.3029,1.2452,0.2066,1.8916,0.6309,0.9673,0.7383,0.9974,1.1701,0.1978,0.1437,0.0
LTU_C29,0.8918,0.034,0.0905,0.0978,0.0023,0.1264,0.0524,5.5659,0.0409,0.0724,0.0257,0.0016,0.0043,0.0269,0.0043,0.0874,0.1328,0.0772,0.0709,4.6093,0.2063,0.1057,0.0467,0.4454,0.7367,7.8861,1.8025,0.0382,0.0486,0.3407,0.0171,0.0165,0.0245,0.0051,0.113,0.0604,0.0871,0.3506,0.511,0.6244,0.0215,0.1331,0.0419,0.1772,0.0
LTU_C30,0.0655,0.0071,0.0019,0.0021,0.0002,0.0,0.0,0.0786,0.0003,0.0008,0.0002,0.0,0.0,0.0066,0.0,0.0,0.0,0.0,0.2987,0.0199,5.8186,18.743,0.1022,0.0013,1.1218,0.545,0.787,2.0752,1.5621,0.5069,0.0,0.0,0.0936,0.0,0.0,0.0037,0.0,0.2881,0.0412,0.0097,0.0504,0.0912,0.0602,0.0017,0.0
LTU_C31T33,12.2997,2.5179,0.4312,0.1154,0.0765,13.734,3.0259,11.6661,1.9549,2.8816,2.0815,0.4772,1.0819,1.4512,2.0839,3.2811,1.0222,6.4308,2.1028,0.3387,1.371,25.5751,19.1889,2.8017,21.6182,19.8042,5.7783,0.4743,0.9115,8.7237,0.2554,1.2031,0.5583,2.4805,1.2304,0.6334,18.7726,6.0754,4.7507,11.631,102.66,56.6618,1.3469,1.4341,0.0
LTU_D,60.2018,1.2167,0.8922,1.0083,0.1745,94.9749,38.9463,26.7382,37.8945,18.7873,23.5251,0.918,10.2048,32.8761,3.0392,11.0185,19.2486,2.8988,6.5297,4.7676,2.8267,47.617,787.3537,27.559,42.215,86.2721,19.9809,0.0536,2.5267,155.8686,3.0642,24.958,8.9083,12.6514,8.9424,17.6278,9.9815,12.8971,94.6382,157.4438,43.8764,70.7882,38.6044,26.3341,0.0
LTU_E,13.1479,0.0641,0.273,0.2076,0.0295,15.6799,4.0527,1.2473,7.2504,4.431,1.4814,0.0459,3.5996,0.7174,1.972,0.9057,0.7547,0.3013,0.5133,0.2505,0.1878,4.3547,3.9986,18.7509,8.2141,8.513,2.336,0.1119,0.1673,5.4005,0.0868,1.7978,0.4269,0.3021,0.2812,1.0164,2.4384,28.9368,1.6654,83.6299,1.1349,5.8844,1.1443,1.4286,0.0
LTU_F,12.2255,0.1787,0.0777,0.0618,0.0619,13.4116,3.7506,4.0129,0.9593,7.9885,2.9816,0.1525,2.537,2.4085,0.608,4.5024,1.6881,0.8341,0.773,1.3581,0.417,7.0639,29.4223,0.9096,465.071,15.8714,7.0578,0.269,0.755,8.272,0.2139,1.5511,0.8449,0.8734,1.1921,1.9001,3.2739,23.3202,5.2729,8.6535,13.2836,7.2807,14.1672,6.3696,0.0
LTU_G,239.3219,2.9403,3.1364,2.396,0.3762,306.0904,33.6226,66.1929,17.3113,197.3989,127.3834,2.2172,47.879,29.8283,5.3928,24.5651,19.894,17.7168,14.7259,8.9177,8.8088,79.7095,101.9735,17.3144,138.0822,156.8032,216.7664,10.9103,14.7597,194.4453,1.1811,27.1621,28.1393,6.8728,19.8768,22.9947,45.0956,38.096,24.5622,61.3837,36.871,56.3263,8.3655,15.918,0.0
LTU_H49,57.0763,1.6341,4.9581,1.6703,0.1935,95.1841,18.498,21.446,12.9433,113.1414,49.4799,0.2802,16.4581,15.1685,3.3503,6.0542,3.7117,5.9798,6.0043,1.8731,6.379,19.6161,26.801,16.5747,36.965,258.6411,435.6684,3.6058,4.9391,119.7199,0.8457,2.2518,2.6256,0.7235,1.2266,2.7169,18.0645,5.2199,10.5661,6.1909,2.5615,4.9229,1.7972,6.5924,0.0
LTU_H50,1.2548,0.0809,0.0726,0.0706,0.0108,2.8245,0.3118,0.544,0.2524,17.2834,5.4331,0.874,0.9128,0.2977,0.0633,0.4781,0.2393,0.4656,0.1803,0.0869,0.5437,1.2812,3.3382,0.2666,1.103,2.1034,45.2726,3.1603,0.0437,10.3222,0.0116,0.1098,0.9027,0.03,0.0658,0.0401,0.3334,0.1168,2.641,0.1697,0.1735,0.2613,1.5667,0.0799,0.0
LTU_H51,0.5274,0.0017,0.0214,0.0259,0.0004,0.8597,0.1074,0.107,0.1207,8.2193,1.2489,0.0012,0.1921,0.1487,0.0286,0.2265,0.0449,0.0505,0.0354,0.025,0.0047,0.1557,2.1099,0.1048,0.2514,0.0219,0.0124,0.0031,0.0027,0.0679,0.0028,0.0369,0.0063,0.0064,0.0121,0.0135,0.0267,0.0129,0.0157,0.0202,0.0059,0.087,0.0091,0.0083,0.0
LTU_H52,53.0736,15.5418,0.9893,1.2922,0.0954,104.3552,46.7802,9.3318,5.5587,38.5892,40.9048,2.3624,4.2602,7.3492,2.3592,4.2192,3.7632,3.33,2.4704,0.9915,2.0707,52.2064,8.2507,21.9796,44.7286,417.4978,80.7499,5.6139,23.4097,21.5998,0.1418,3.9538,3.9493,2.2192,1.676,15.5459,3.4948,3.5096,27.081,25.1598,1.8031,5.3971,10.4721,2.3889,0.0
LTU_H53,3.8181,0.0155,0.0337,0.0157,0.0135,0.6865,0.7839,0.1373,0.1277,0.6154,0.1145,0.0508,0.1872,0.1033,0.0393,0.3118,0.2139,0.0418,0.1085,0.1571,0.1195,1.3764,1.0439,0.3294,1.7652,19.2137,0.8635,0.046,0.2592,2.1801,6.8709,0.1881,6.714,2.4954,1.0486,9.9188,2.0826,3.2471,1.8397,14.0703,0.7113,2.0539,0.6534,1.147,0.0
LTU_I,0.4495,0.0758,0.1162,0.0318,0.0219,1.7485,0.5204,0.1137,0.2364,0.0717,0.1335,0.2642,0.0078,0.1112,0.0044,0.2307,0.1257,0.0742,0.1825,0.0254,0.2078,1.6682,0.1631,0.0612,3.541,17.6691,2.1066,0.0015,1.9921,0.2729,0.0137,3.2589,0.2741,0.343,0.6992,2.0034,0.2746,4.1309,25.5377,13.5683,2.2081,12.8537,0.7816,0.1813,0.0
LTU_J58T60,5.6983,0.3716,0.086,0.0898,0.0103,6.3488,0.6619,0.7795,2.2512,2.648,1.0758,0.2077,0.3166,0.5158,0.065,0.6167,0.5414,0.9474,0.1501,0.0547,0.2151,3.7666,1.3334,0.8393,4.2231,19.1141,2.3378,0.1732,0.4559,2.0563,0.0608,0.6985,64.2709,5.5632,4.1924,11.1233,1.728,12.6095,3.451,32.7111,2.5105,1.6445,1.6333,1.1627,0.0
LTU_J61,9.8852,0.2201,0.1465,0.0333,0.0319,4.8401,1.351,1.0041,0.7018,1.5444,1.2884,0.1527,0.8835,0.5909,0.1242,1.2259,0.9221,0.3924,1.5438,0.904,0.3751,3.4054,5.5687,0.5997,10.7287,26.6228,54.7399,0.1144,0.1594,1.3295,0.4643,1.4235,5.9203,191.3067,5.3518,17.3944,0.6839,13.4227,10.1628,38.0563,7.2567,6.6035,1.6709,3.6366,0.0
LTU_J62_63,4.4745,0.0513,0.0468,0.0188,0.0124,3.9795,0.4024,0.257,0.251,1.3799,0.5342,0.0752,0.2345,0.1782,0.0698,0.6745,0.3274,0.1431,0.244,0.0414,0.1261,1.6627,2.6185,0.5884,4.3877,16.2665,0.8552,0.1961,0.1291,0.7873,0.6094,0.2747,5.1959,7.748,22.6183,5.854,1.1088,4.1597,1.5324,8.6814,2.1561,1.885,3.1387,0.4474,0.0
LTU_K,35.1162,1.3028,0.8793,0.3881,0.1842,31.3093,10.6953,7.2008,3.5875,20.7125,10.0457,1.151,4.5294,2.8187,0.7238,5.8027,3.5656,3.1114,3.2593,1.4758,2.6858,20.2765,14.7958,3.5013,31.083,76.4117,48.7841,3.6842,4.0292,15.0083,0.9629,4.2145,6.0099,10.2294,6.0384,136.9726,52.8954,91.1536,16.2299,132.5529,3.9857,6.1132,4.3018,8.1245,0.0
LTU_L,45.1306,5.5978,0.434,0.236,0.0911,21.2632,7.3782,4.2768,7.3334,7.5837,2.06,0.2687,3.2577,2.5248,0.4342,12.6336,2.9869,3.1981,1.3429,21.1749,0.4101,33.1843,10.6549,1.466,43.2915,351.6587,63.2714,1.1304,0.7354,26.0813,4.9223,7.5549,13.0534,24.3932,6.2781,24.7728,71.3152,73.9179,26.3733,79.9112,8.572,34.5256,20.2634,30.6912,0.0
LTU_M,19.7714,0.2887,2.6564,0.9817,0.2988,95.1876,9.0157,5.6494,2.2533,14.7438,2.9369,1.8621,1.8991,4.299,0.1924,30.8063,1.5056,0.8438,4.2919,0.807,5.0375,30.7233,14.4342,6.8059,88.4743,294.1832,6.6247,5.3338,1.3029,40.5441,1.1797,9.3642,18.6471,9.4519,22.818,83.2564,50.5231,183.9164,26.9645,19.5884,8.6801,97.8052,9.3268,13.5478,0.0
LTU_N,19.3795,0.3892,0.2179,0.1112,0.1747,22.6529,3.2204,3.3512,1.3479,2.5397,1.2515,0.6702,2.6187,1.2615,0.3299,3.2201,0.738,0.5579,0.4911,1.7505,1.0477,9.1136,3.0225,1.6109,24.298,63.3095,24.148,1.2704,5.0638,38.7688,7.6821,0.8882,4.9051,11.4844,20.3367,10.6472,32.1844,46.4853,38.597,93.0337,2.8752,37.1128,10.0035,3.7606,0.0
LTU_O,1.5928,0.0624,0.0449,0.0193,0.0082,1.6285,0.4405,0.3333,0.1986,0.7545,0.7752,0.0655,0.2191,0.1285,0.0449,0.2552,0.1824,0.174,0.1802,0.2005,0.1659,1.0537,0.6012,0.1859,1.2397,5.3509,1.9381,0.0807,0.0747,0.6206,0.082,0.251,0.3526,0.6965,0.5345,4.3032,2.7543,7.9506,0.7908,6.0599,0.355,0.2968,0.3477,0.525,0.0
LTU_P,0.9029,0.0367,0.0216,0.089,0.0038,1.1987,0.0736,0.4125,0.075,0.1539,0.0398,0.0052,0.0123,0.0522,0.0053,0.1216,0.0242,0.04,0.1385,0.1239,0.0619,0.4495,0.219,0.0981,1.8786,11.3353,0.2335,0.196,0.0054,1.9975,0.0426,0.4137,1.4292,0.3681,1.2169,7.8752,0.1322,9.3081,0.3437,3.494,17.0262,33.7816,0.2828,0.7761,0.0
LTU_Q,3.1048,0.0331,0.0193,0.002,0.0036,0.1813,0.1195,0.0441,0.0677,0.3738,0.1258,0.0062,0.0261,0.096,0.0084,0.0631,0.0883,0.0281,0.0371,0.0604,0.1866,0.1795,0.2859,0.0307,0.6279,1.1322,0.4819,0.0179,0.0133,0.156,0.0314,0.0793,0.3773,0.4381,0.5035,36.361,0.1503,0.4892,0.3058,8.7074,0.0976,50.8098,0.1243,0.7571,0.0
LTU_R,0.3957,0.4059,0.0262,0.0061,0.001,0.2697,0.7776,0.0536,0.0552,0.0397,0.0958,0.0003,0.1025,0.0149,0.0146,0.0733,0.1037,0.0382,0.0212,0.2063,0.0257,1.5403,0.1188,0.1362,1.7176,4.9554,1.6095,0.104,0.1249,0.9863,0.0211,0.1955,0.7875,0.3283,1.5303,1.3914,1.1937,4.9147,3.1013,2.1338,3.0585,3.121,130.104,0.5446,0.0
LTU_S,6.4723,0.3087,0.4747,0.309,0.0083,10.2621,0.604,2.2597,2.3101,0.8913,0.6531,0.0058,1.7256,0.6122,0.0663,0.439,2.5516,1.6368,0.3442,0.3209,0.1818,1.0106,3.773,1.0196,4.3817,8.4516,1.2373,0.3148,0.3305,5.0931,0.4076,0.4585,0.3408,0.8209,3.2866,6.4647,3.7138,6.6665,1.0247,9.369,1.6983,20.5504,1.0558,2.0127,0.0
LTU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
