V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T
VNM_C20,911.3541,21.1289,96.8867,15.8398,2.0462,91.2723,354.506,55.4899,103.5245,35.6929,710.2667,17.116,669.584,97.6565,26.1508,92.6785,48.7466,43.2955,20.4783,24.027,28.1612,235.9208,1.0099,9.8375,99.1162,29.1102,3.6411,1.1458,0.3126,0.4799,0.0288,13.0508,1.7986,1.4142,0.4035,3.0694,8.6265,18.6174,4.5824,3.349,2.1918,12.2261,4.9763,21.1863,0.0
VNM_C21,67.6079,6.377,0.8359,0.0452,0.0097,33.946,0.5066,0.245,0.0507,0.0113,0.592,164.0618,0.4834,1.5098,0.0397,0.1899,0.0046,0.0708,0.0337,0.0048,0.0043,1.4652,0.0157,0.0862,0.8266,3.5758,0.22,0.0136,0.0117,0.0213,0.0,0.1278,0.0298,0.8889,0.0025,0.4711,0.1147,1.1762,0.0212,0.5248,6.8777,382.4207,2.3868,0.3937,0.0
VNM_C22,98.6161,23.7869,151.8828,34.1955,0.0433,229.7169,331.0445,43.4799,100.4885,14.0926,101.2038,16.4673,710.5326,20.8247,3.272,34.8832,101.4479,101.2697,56.9145,93.2011,203.6177,140.339,2.5403,7.0382,164.5164,128.867,162.2104,12.2179,0.0986,6.7405,0.0646,9.2106,0.9863,1.0843,2.8571,5.4722,2.1299,12.9341,4.2319,5.7774,3.0909,5.8166,1.3881,6.7484,0.0
VNM_C23,16.1375,0.6712,1.0286,1.3311,0.0048,9.0332,0.7536,0.5664,1.2828,0.004,11.3426,3.5487,9.3321,403.1911,8.7924,14.0164,28.0755,8.2975,2.186,11.5818,14.4091,48.389,0.3102,1.0338,2159.4993,11.9539,2.0451,1.1447,2.8341,1.7764,0.0169,4.7209,0.2075,29.7664,0.1432,2.8355,63.2376,13.0554,2.0273,1.714,0.9595,0.8822,2.6226,7.7455,0.0
VNM_C24,38.95,1.5165,144.9782,3.8605,0.0013,68.5929,1.5231,9.0351,4.4195,0.1071,13.9253,0.3028,22.2947,23.9321,802.5168,908.9773,36.2717,210.5384,156.6375,100.4797,160.871,141.7299,4.6044,0.6904,788.8442,17.0643,1.4628,0.4014,3.7023,1.9107,0.0006,0.2127,0.4414,24.8782,0.0203,3.52,13.2274,6.3822,0.7129,0.1254,0.1774,0.1372,0.2183,3.2612,0.0
VNM_C25,56.0689,22.169,299.5793,8.0596,0.0346,51.4021,93.4313,39.5921,16.6109,0.1804,15.0484,1.1857,36.1258,37.3263,157.275,340.8831,125.9438,159.4381,204.1409,125.749,41.2243,309.1886,10.3953,2.8718,497.5738,90.5484,15.6588,10.204,8.4249,5.7033,0.0129,3.533,0.4491,4.0776,0.4055,5.3562,9.1041,19.9541,1.3579,6.3581,3.1218,2.1457,0.998,6.4899,0.0
VNM_C26,4.4456,0.8027,4.87,0.6121,3.1088,3.4921,6.9337,0.8968,0.6748,0.1083,1.6366,0.2119,1.4693,1.4525,0.5237,2.3463,893.8487,284.3338,52.3273,7.8885,3.9984,18.3877,13.7085,2.8274,29.5741,39.9972,3.357,2.5084,2.3395,1.6037,0.0788,3.2669,2.4285,165.2521,4.4663,4.4901,4.1012,13.7591,3.3266,5.2699,4.3548,5.0968,0.9101,25.1169,0.0
VNM_C27,10.0578,4.642,8.1623,1.6598,1.373,4.4413,6.1254,1.5913,1.2559,5.0128,1.2547,0.3172,2.0487,2.9939,19.7319,5.8282,119.8174,356.3447,40.6844,119.6265,29.777,31.5151,20.1955,2.1874,313.7163,42.5922,17.4034,2.5344,2.1866,2.1879,0.1448,5.5945,2.326,93.3556,1.2215,3.0053,4.4743,13.873,3.7759,2.712,2.7993,3.6064,1.1514,8.8894,0.0
VNM_C28,12.8309,0.8869,134.8403,1.0363,0.0671,1.1714,4.5782,1.5017,0.7977,0.8814,0.2684,0.1391,1.4252,1.1497,5.7584,2.1349,21.6605,0.9992,91.11,20.0657,4.7232,7.7888,2.15,0.794,89.3426,13.2245,3.591,1.8587,0.1781,0.9659,0.0227,1.0857,0.2874,2.1665,0.2095,0.6119,0.4999,4.5278,0.7183,0.5921,0.8713,2.2675,0.2449,1.0646,0.0
VNM_C29,0.3265,0.0157,2.1828,0.2048,0.0037,0.0757,0.0363,0.0722,0.0059,0.0136,0.005,0.0044,0.0284,0.0911,0.0579,0.0542,0.3245,0.9657,7.5015,311.5709,0.1109,0.187,0.0611,0.298,1.7336,0.5264,2.4201,0.1182,0.0072,0.2903,0.0004,0.0218,0.0338,0.253,0.0136,0.0186,0.0212,0.1036,0.1013,0.7882,0.0405,0.0517,0.124,0.0331,0.0
VNM_C30,0.9492,0.0425,0.022,0.0458,0.0027,0.1459,0.7405,0.1175,0.1553,0.006,0.0944,0.0015,0.0329,0.0894,0.0515,0.0301,0.0347,0.0279,0.1681,0.0054,176.4194,0.0709,0.0314,0.1717,1.0695,5.7766,0.2115,1.3342,0.0002,0.8161,0.0002,0.112,0.0101,0.0107,0.0016,0.0275,0.088,0.0222,1.365,0.0287,0.0076,0.014,0.0662,0.006,0.0
VNM_C31T33,107.932,30.0922,168.1445,12.9065,8.1296,104.9313,101.8444,24.4256,18.0333,16.7994,21.5003,10.3178,16.915,24.3748,25.8195,33.404,68.1073,18.8593,10.7755,19.8995,53.6862,186.0793,103.228,20.0337,174.6206,172.1188,9.8682,58.0025,202.0869,77.1744,0.7416,37.9838,3.7024,11.0339,3.8957,41.1536,30.6004,27.9757,47.3762,37.6658,31.327,58.327,10.5705,12.4663,0.0
VNM_D,224.4585,59.5377,99.7996,48.2163,12.1586,263.3559,156.1813,49.5142,55.9587,21.4694,63.4682,6.1576,72.4396,228.3791,109.0756,87.6844,20.6292,15.4497,20.1707,14.7739,34.856,96.3262,136.6036,33.2292,56.6018,385.9897,5.7252,1.0789,0.8559,19.284,1.0239,113.2187,10.089,48.6923,5.3552,50.9565,56.2659,19.0408,4.0806,20.3211,16.1106,15.9473,8.3962,21.1557,0.0
VNM_E,17.7847,3.2769,7.7681,0.7597,0.0655,37.3008,15.7166,3.27,5.2699,21.1757,3.1683,1.3509,4.7837,11.8202,4.898,6.6812,2.0102,1.6458,3.5995,1.5881,2.4972,8.6389,3.823,48.1956,21.8752,32.5479,1.2742,0.5726,0.0772,1.9355,0.0234,19.8054,0.8711,1.4313,0.4045,1.8234,12.2551,1.9941,1.2747,4.3372,4.286,7.3664,1.3477,6.5365,0.0
VNM_F,31.0154,3.5715,21.229,1.3534,0.0151,4.9882,11.2401,1.4483,1.4158,0.5784,3.2375,0.244,1.6831,1.4141,0.9452,2.3063,0.7378,2.3827,2.7945,0.3075,0.2925,13.1633,3.8645,1.1076,531.3261,72.8734,13.4396,0.8233,0.4657,3.2579,0.008,10.4472,0.6132,6.6959,0.2017,2.2398,168.1803,6.2521,1.6204,13.2193,12.0695,6.6812,3.2227,1.945,0.0
VNM_G,695.8174,284.6473,124.0089,16.7464,2.6133,1955.0062,556.2792,121.2366,136.1684,92.0537,152.5251,30.2444,226.8882,146.4418,77.4434,111.8463,234.4147,158.5254,63.339,86.2864,88.3256,255.9809,25.3857,8.9777,632.2025,151.8631,71.8793,6.6487,4.8754,31.1678,1.1078,138.4521,20.9848,57.4803,3.0583,14.6105,25.7903,34.3311,9.4953,18.6847,12.5981,54.43,26.007,18.9811,0.0
VNM_H49,165.1621,63.7208,66.5658,6.3477,0.6739,347.1978,129.4349,29.1829,31.9426,60.8156,57.5294,8.26,57.6947,56.9455,47.4017,58.3386,50.2324,43.6715,25.0987,25.9248,22.9625,66.9848,11.3553,2.5647,188.1032,43.6511,27.8011,8.4951,8.755,4.598,0.3666,35.6271,3.475,13.98,1.3152,4.9209,6.5296,11.3928,4.1221,6.2802,4.0733,15.4713,3.9149,4.8437,0.0
VNM_H50,20.5726,12.7739,6.7078,0.73,0.0798,46.6547,17.6979,5.1701,4.0603,6.5161,73.9705,0.9585,6.068,7.0619,4.676,5.9508,6.7315,5.8553,3.4764,4.501,2.6391,9.0085,1.3177,0.295,24.9262,8.9713,2.4716,59.8892,0.7912,0.4718,0.03,5.5103,0.4683,1.8875,0.0773,0.4938,0.757,2.4915,9.3451,2.3208,0.5348,1.7618,0.997,0.676,0.0
VNM_H51,9.876,6.3545,2.5717,0.4642,0.0123,12.5825,14.6149,1.7503,2.075,10.918,5.4784,0.7078,6.0801,2.8679,6.7433,6.5731,5.6829,5.1857,2.566,1.3952,1.9893,4.0297,0.298,0.1282,8.2001,0.0397,3.5592,1.129,0.0165,0.0143,0.0095,1.1291,0.0266,0.7889,0.0103,0.0325,0.0237,0.0609,0.0374,0.0112,0.0124,1.824,0.0567,0.2924,0.0
VNM_H52,33.2994,6.8113,4.7342,4.2638,0.0484,70.1051,39.5006,17.7612,12.2295,3.9049,15.7771,0.6602,8.4297,10.5202,5.1577,10.7702,5.4813,7.4531,4.513,3.9814,21.9551,27.6536,2.3943,0.3415,30.7141,125.7563,62.0254,77.7403,43.4278,170.6808,1.1646,3.6561,0.7339,1.9784,0.4259,0.4311,0.78,1.2106,0.9626,0.3039,0.4151,0.6547,0.4916,1.13,0.0
VNM_H53,1.1704,0.0491,0.2176,0.2704,0.088,0.7891,2.3353,0.4698,0.3638,0.0249,0.3141,0.1097,0.5667,0.3275,0.1352,0.7217,0.1997,0.2669,0.2934,0.1595,0.1473,1.6522,0.125,0.0928,1.4533,17.197,0.3113,0.0658,0.0229,0.4339,2.3273,1.6085,0.539,1.1014,0.3301,4.0343,0.9514,2.2878,0.8333,2.4213,0.7648,0.1726,0.2348,0.2714,0.0
VNM_I,86.3786,7.6535,16.4384,2.6254,4.8577,28.8919,25.6147,8.5388,9.4341,3.2039,5.7037,5.4284,7.3685,11.512,3.7219,13.7307,8.7605,2.5666,4.173,3.8775,8.3508,21.4221,6.0248,2.8666,83.3486,196.836,15.9941,4.1886,1.2086,7.7029,1.2852,26.3042,10.7625,6.5047,9.8583,68.6148,22.5533,46.4549,42.1456,67.192,19.8256,6.1727,10.8207,9.8223,0.0
VNM_J58T60,2.4298,0.1398,0.4954,0.2163,0.0122,6.6275,0.8866,0.2283,5.1056,0.0094,4.72,0.329,0.8793,1.5817,0.2035,1.0063,0.7604,0.2307,0.1511,0.2162,0.1081,0.8277,0.1418,0.1495,2.8224,43.5293,0.6062,1.8175,0.0972,0.2758,0.0474,1.5135,75.1893,4.3878,1.7605,7.5563,1.3628,106.8232,0.9695,10.0337,8.1586,1.0148,21.2816,1.2425,0.0
VNM_J61,36.4601,2.6752,11.3636,1.0089,2.4212,6.8075,7.5762,2.5622,3.223,0.7368,2.09,0.7257,1.7841,2.7647,1.2023,4.2663,2.1774,1.1612,1.2086,2.4475,3.2684,5.3467,2.2041,1.0648,16.4841,91.2561,6.2935,1.3748,1.4252,3.5553,1.6824,10.5406,2.8928,362.6789,19.985,28.7042,9.9475,22.6876,3.8792,11.3094,5.6911,2.2409,1.8466,4.0646,0.0
VNM_J62_63,0.7413,0.0649,0.1347,0.0228,1.0379,0.8924,0.7621,0.1752,0.6835,0.0279,0.8862,0.1936,0.3221,0.2052,0.2369,0.5574,2.161,0.1264,0.2469,3.3655,0.6924,0.5016,0.1405,0.2063,1.5481,12.0694,0.3853,0.0363,0.5722,0.6706,0.0352,0.5967,0.7253,116.4046,32.2156,9.0236,1.5061,4.8846,1.4193,4.1169,1.4739,0.3072,0.2809,0.2194,0.0
VNM_K,116.4843,9.5904,153.2808,7.6831,0.4404,76.0942,113.7397,36.0841,86.0362,28.3781,72.8895,5.3453,32.4891,33.9726,16.9338,50.7033,13.59,14.6323,20.2254,10.0844,145.5836,73.286,6.5719,4.2664,244.6482,721.2677,35.731,22.7954,38.1028,10.1169,1.2626,144.3874,3.9652,9.3182,4.6201,1469.5985,59.0841,23.7314,15.5472,12.5642,9.2377,4.2489,4.4571,13.1058,0.0
VNM_L,21.9555,2.0572,4.2764,0.6684,0.1218,7.935,7.6584,2.3661,5.4722,0.1998,3.7481,0.6401,2.473,2.8588,0.5237,3.5718,0.8186,1.9845,3.4958,4.7621,0.694,10.6276,0.434,0.9102,16.6635,312.3089,4.5818,1.5593,1.9138,7.5236,1.6669,61.6825,2.4563,5.561,8.9517,70.9028,80.492,23.9408,5.6441,5.7929,28.8602,0.8383,3.1635,12.2236,0.0
VNM_M,50.6421,3.6933,45.9316,10.7115,30.2798,130.8262,16.8049,6.781,28.5617,0.399,70.0451,13.8139,8.0168,14.3791,6.6178,23.7631,13.3418,11.6196,5.9796,32.2245,23.481,20.1942,2.7195,4.1223,111.9536,326.4784,7.1547,5.9662,14.4332,12.3969,0.8853,50.6645,15.4467,23.571,9.5825,98.7271,71.4748,188.4976,32.4311,17.4188,18.5184,1.9829,3.6191,6.3662,0.0
VNM_N,21.9296,0.6748,11.4473,0.7721,0.059,21.7702,22.8429,3.2545,2.5188,0.5142,3.202,1.0359,7.6651,3.9397,1.3152,8.8137,3.5694,2.1808,2.1091,4.1947,0.595,7.4817,1.1368,0.6419,125.7203,94.8521,15.0583,3.3125,27.2829,52.6161,0.4318,5.5142,2.9152,5.0936,4.0886,10.0552,25.7967,24.058,18.1339,5.1604,4.7465,4.9249,2.1698,1.1305,0.0
VNM_O,0.2205,0.0295,0.2964,0.0805,0.0043,0.2673,1.0199,0.087,0.0483,0.0375,0.1297,0.0139,0.0748,0.1826,0.0386,0.0623,0.0096,0.1197,0.068,0.0799,0.0091,0.0944,0.0908,0.0153,0.31,4.1503,0.1185,0.0379,0.0439,0.0264,0.0004,0.1632,0.0757,0.0709,0.0342,0.1495,0.3518,0.3253,0.1843,3.7622,0.8222,0.2543,0.1567,0.1669,0.0
VNM_P,1.3786,0.1084,26.7697,0.1788,1.7278,1.2399,1.1454,0.4014,0.439,0.0294,0.5247,0.2942,0.781,0.608,0.0843,1.5942,1.3679,0.2174,0.1947,0.2155,0.0625,1.5264,1.4256,0.0513,2.6186,17.4167,0.8164,0.0175,1.5002,0.5689,0.0113,0.5408,1.1197,5.6449,3.0375,5.9045,3.6073,3.9001,1.7885,6.5084,24.1576,1.3727,0.9414,0.6518,0.0
VNM_Q,0.9727,0.0226,0.0033,0.1028,0.0,0.7599,0.7137,0.1751,0.0819,0.0237,0.3061,0.1407,0.2728,0.2352,0.1375,0.3813,0.0233,0.0726,0.0401,0.1656,0.0651,0.475,0.6849,0.066,1.6411,2.3285,0.3703,0.0825,0.4753,0.1733,0.043,0.2021,0.0799,0.1055,0.102,1.8202,0.4769,0.4705,0.1675,2.0065,1.2133,7.5472,0.5883,0.2106,0.0
VNM_R,0.2454,0.0001,0.0004,0.0004,0.0684,0.1602,0.0676,0.0143,0.0649,0.0,0.2302,0.0,0.0603,0.0155,0.0021,0.0461,0.0577,0.0155,0.0057,0.0978,0.0006,0.1611,0.0086,0.0103,0.5946,1.04,0.0371,0.0951,0.0942,0.0356,0.0174,0.7287,1.6931,0.9535,0.0972,0.1524,1.2321,21.1369,2.2956,2.0926,1.3276,0.0663,72.7245,1.9529,0.0
VNM_S,4.5053,0.385,0.0821,0.1409,0.0002,1.124,1.7677,0.5084,0.6435,0.2198,0.4627,0.0567,0.5028,0.736,0.1828,1.1892,1.6712,0.6358,0.347,0.1838,0.0499,1.376,0.2822,0.2767,3.6097,21.8893,0.6297,0.1717,0.156,0.7472,0.2022,14.4133,0.6652,0.5929,0.918,1.9853,3.413,20.5695,0.9196,7.8156,3.1431,2.0652,0.8674,4.5067,0.0
VNM_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
