V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_K,1102.9405,7.3516,2.0891,26.9643,1.3493,89.2788,10.846,97.2868,159.6742,30.2852,42.8754,32.3681,32.5264,31.3838,141.5651,131.4955,166.4884,71.4226,243.2171,317.13,37.9285,122.512,332.4544,153.638,487.5693,1000.0366,360.8735,147.56,16.0715,196.8459,25.4606,141.2955,160.7454,237.0761,187.5872,2792.0692,4818.8523,665.0755,432.4461,460.3811,112.4758,138.8345,140.9272,138.6674,0.0
SWE_L,13.4131,0.1099,2.3167,31.5344,1.9281,170.6837,7.5986,31.0803,239.17,8.9749,69.1954,34.7627,78.0398,57.0881,51.6174,262.1743,289.8605,157.8684,255.3993,230.1629,59.7572,148.5426,140.021,100.0259,279.298,5225.1996,289.8373,33.47,22.7437,789.8436,188.7836,1382.305,614.2798,322.3702,933.1693,947.8168,2373.0604,2904.4689,909.232,2467.7384,2727.014,3040.9794,1058.4311,433.8343,0.0
SWE_M,328.4841,0.3578,10.3877,74.7587,5.875,487.0893,20.9033,96.3577,221.5828,39.4197,183.3594,432.4057,161.4727,107.5127,253.2837,345.6814,594.7443,228.1209,620.1685,846.2861,116.6081,311.4667,439.4044,350.674,4374.0197,3138.7419,407.7851,147.8624,88.442,639.9127,57.3706,209.3379,1238.5853,715.8144,1180.1837,809.2357,706.9187,3769.9654,1385.3582,1007.9264,278.3749,468.4936,323.3625,298.826,0.0
SWE_N,105.3443,0.2879,6.7581,58.5804,5.6769,189.4289,7.802,46.7412,150.3216,29.6625,66.7896,127.0274,83.0162,62.5597,125.7932,155.7444,403.7201,182.7061,396.582,528.5073,125.4976,260.4085,293.4488,179.9156,452.1935,1794.6079,313.2399,56.7741,183.6467,462.3642,46.7842,119.4357,547.3818,414.7704,734.9757,571.9241,2390.8692,1557.0224,1261.4985,492.5487,310.5359,851.0579,415.0286,158.5017,0.0
SWE_O,86.3857,0.3293,3.8634,17.3456,0.9457,95.4437,8.5108,43.7791,90.8954,16.7129,20.8951,34.4552,30.2836,21.8076,53.0765,122.3351,88.5569,41.4718,138.562,152.7774,22.8236,72.8587,205.8257,46.4488,373.4359,730.8432,172.0075,22.6925,4.7207,327.4877,51.0319,194.9728,166.1274,90.8907,192.5555,314.533,363.1019,507.877,241.4009,735.0611,1177.4224,1188.4112,289.3719,93.974,0.0
SWE_P,28.0374,0.0245,1.1767,0.9487,0.0682,17.984,1.7172,9.3406,41.9031,8.6041,2.3244,2.4439,6.0084,27.5785,24.595,29.6673,14.1238,21.0899,32.5993,51.6645,3.1523,8.8496,10.1056,10.7096,28.9513,108.2033,49.7364,2.319,73.9342,176.0172,6.7533,16.1707,83.1278,14.1227,232.7845,82.7802,21.2138,340.958,78.3255,410.5144,398.8517,203.888,44.3124,58.3253,0.0
SWE_Q,44.7463,0.3053,0.8019,3.2971,0.2581,15.4941,1.5384,4.6604,13.6977,1.2407,3.3559,3.9386,10.7732,4.2137,8.2248,21.4387,14.6555,6.9966,36.0884,29.9774,6.2921,17.6643,21.5175,8.764,69.5792,143.8418,30.3826,4.3004,3.5385,24.8223,13.8267,23.119,44.8582,23.9255,44.484,32.7588,35.14,129.3316,56.7078,99.5584,89.51,1396.6781,40.425,23.9139,0.0
SWE_R,6.4322,0.0991,0.461,3.8455,0.4177,22.5535,2.0474,6.7654,25.442,4.4408,6.9712,7.6155,6.4925,5.8915,10.2173,15.7586,24.9745,8.1315,40.4248,94.9657,4.2186,11.4645,26.2331,15.4578,172.1392,283.6304,59.9843,9.411,6.1725,125.4445,7.3655,43.894,404.9271,43.8224,88.1405,58.3595,110.9395,364.4011,226.0491,109.4518,63.9526,83.3686,477.1387,22.2501,0.0
SWE_S,52.7263,0.3729,0.7321,8.6684,0.5436,52.191,9.9192,25.7494,42.8838,8.3503,11.8475,10.1124,22.2056,21.4816,37.8385,52.6965,56.5319,37.222,72.8314,92.7492,13.9788,50.4506,46.1803,97.8866,60.3783,213.3458,156.9324,16.1969,5.5253,111.1853,28.5567,104.8588,98.5357,110.5564,109.8701,72.0031,83.3781,337.4843,141.5591,134.4465,70.7926,244.069,38.3396,76.6701,0.0
SWE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
