V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T
MYS_H51,34.8672,5.3351,57.3098,6.7522,9.6503,64.2857,5.9023,17.4002,12.5435,32.4345,36.411,1.2225,25.7994,15.3926,25.8012,13.9042,96.9142,16.1486,12.4426,24.7569,7.0198,3.4718,10.4057,2.5883,24.7501,83.0544,125.6593,11.0431,71.2649,391.6789,27.2285,13.0798,2.5053,2.977,4.6485,76.7145,18.1814,27.9947,84.8258,268.247,32.3652,26.5707,2.8216,2.3128,0.0
MYS_H52,9.7054,1.2173,230.7948,0.9925,34.2302,286.5256,85.4177,213.0368,134.8592,307.43,245.8349,6.5654,37.1842,212.5365,119.4007,90.0698,252.1558,51.4615,34.9475,3.5681,17.8333,10.6816,2.3234,1.0333,4.767,477.281,358.4584,138.0813,242.8341,912.6239,0.8988,6.1354,0.7917,5.2634,4.6293,163.279,17.2408,16.619,3.5852,395.1219,20.9343,13.9595,0.8547,0.3418,0.0
MYS_H53,1.8204,0.2496,0.2983,0.3946,2.6645,1.8348,0.9822,0.4356,1.8734,0.3108,1.3058,0.1886,3.1197,0.736,2.0738,1.3483,2.6737,0.7665,1.1172,0.5105,0.3576,0.405,0.5492,0.3105,2.0337,43.3932,10.4172,0.543,0.7432,6.9616,54.5913,1.2897,0.0879,3.6899,0.7964,53.3791,3.6132,3.0117,0.4594,3.5184,1.6066,2.5151,0.8781,0.3736,0.0
MYS_I,63.7203,6.6799,1.3577,3.4096,10.8197,6.4272,2.3658,2.9605,6.8698,2.2597,7.5534,0.4204,8.7142,4.1439,9.6084,7.4762,10.7478,3.9647,4.4763,4.693,2.1077,1.5333,1.1641,1.4158,22.058,389.2292,30.4521,37.2222,72.9245,38.1817,0.6627,535.2767,4.4536,19.9079,33.4763,542.6997,38.039,10.2008,66.8146,281.9813,49.0255,30.0532,24.5957,2.5585,0.0
MYS_J58T60,0.3259,0.1584,0.3542,0.0997,1.6534,0.1758,0.0217,0.5265,0.0707,0.0123,0.3136,0.015,0.1221,0.116,0.1425,0.055,2.5176,0.1927,0.3154,1.1861,0.1009,0.0084,8.0471,0.0277,0.0551,1.663,0.0258,46.0408,0.0375,0.0395,0.0226,171.1016,0.4211,99.6336,0.0541,133.0792,0.1489,204.5978,143.3259,185.8827,48.2845,11.4071,3.1817,0.0129,0.0
MYS_J61,36.3836,6.5528,16.2307,3.1282,16.7186,57.4248,14.3548,9.911,39.2196,10.904,54.2275,9.7954,37.9955,23.0236,91.668,30.5325,203.3944,18.4883,18.4939,9.4865,16.4382,13.4349,44.9591,51.0489,78.5694,479.7744,123.035,14.1205,32.5884,105.4667,8.16,195.9576,138.4478,3898.1291,1257.8049,1669.4399,133.9024,90.8835,357.1938,234.5739,118.6629,50.7011,240.3394,47.414,0.0
MYS_J62_63,1.5653,0.4193,17.6647,0.4659,6.8275,6.6205,0.7098,2.7112,3.9401,29.5353,14.8237,0.5185,4.485,2.9172,4.9551,3.1161,248.0887,4.1775,3.7159,6.2294,1.073,1.0258,5.9464,1.1596,2.6231,3.7223,66.309,0.5742,18.3016,10.1177,0.6678,18.6499,44.2947,1505.8251,673.1686,67.7155,22.4879,3.0523,3.2417,301.2337,10.3698,3.9691,0.053,0.0865,0.0
MYS_K,2049.8077,17.4534,345.0708,5.2813,95.2321,924.1077,101.7653,165.5696,184.4894,1141.9969,441.4039,17.574,124.446,132.6744,324.5051,168.4194,881.3719,167.1409,101.2131,39.4059,78.9659,37.5004,60.4537,27.4399,279.9015,2043.922,70.4744,211.9034,48.7465,106.4633,7.2245,142.1053,337.6728,1901.2038,481.4241,14268.3769,1563.3407,99.9269,102.214,527.0281,125.6848,57.3786,172.1298,32.59,0.0
MYS_L,16.4352,3.1632,11.2391,0.5748,5.291,27.8053,14.2422,13.2554,21.2365,7.6446,29.8562,0.7038,20.0468,16.6005,11.9728,21.9172,50.3345,8.6158,11.9943,7.3447,12.6853,6.0993,1.1611,0.0623,185.747,354.3678,64.9525,43.584,25.3793,98.986,1.5751,40.3771,2.5729,24.9014,9.6364,195.7785,677.8542,25.5464,45.5148,810.3907,113.0805,26.8986,36.6653,26.4437,0.0
MYS_M,25.097,2.5504,55.2719,30.0192,29.2851,56.0711,11.4379,17.1529,36.8592,37.3993,44.2713,2.3011,45.4864,24.9167,26.168,39.1283,110.9002,18.3872,22.9419,15.0574,26.4397,11.0031,152.0872,46.1063,75.3224,368.4492,11.7878,14.4173,129.6048,45.3523,3.8999,37.9739,22.3429,74.6041,24.2584,144.5055,75.9855,69.3377,102.58,69.5488,93.2158,9.9144,136.4188,15.9207,0.0
MYS_N,143.5322,12.4626,17.3524,5.6446,74.7082,69.596,29.1353,23.0606,23.6518,136.5024,53.9716,4.1615,36.0225,31.9591,14.1731,19.0822,188.0247,16.5873,29.5028,32.3585,17.8885,9.1056,35.8911,20.4909,29.443,420.1558,38.8884,4.0018,35.868,42.9101,1.6042,104.5118,13.7805,35.73,10.8761,155.585,73.1983,31.7693,913.2477,264.3516,32.1457,36.4397,125.4434,122.2536,0.0
MYS_O,0.1001,0.009,0.001,0.0004,11.6023,0.764,0.0007,0.0005,0.0003,0.0046,0.0762,0.0006,0.0027,0.0003,0.0002,0.0006,0.0021,0.0003,0.0004,0.0005,0.0002,0.0001,0.0018,0.4036,0.0018,0.438,0.3167,0.0004,0.0073,0.1697,0.0103,0.1303,0.0122,0.0003,0.0001,0.1439,0.0065,15.5796,0.0179,2.3361,2.3788,0.2004,0.0721,0.6269,0.0
MYS_P,0.2079,0.0765,0.1826,0.0401,1.0886,0.2445,0.092,0.2642,0.1346,0.0464,0.2904,0.0097,0.1639,0.1413,0.1103,0.1509,1.2297,0.1192,0.1844,0.2872,0.1066,0.0391,0.008,0.0104,1.1255,2.5735,0.3945,0.2641,0.158,0.6025,0.0174,0.3455,0.0545,0.1582,0.0751,1.3616,4.1059,0.1799,0.305,169.5124,206.2187,3.6806,0.2249,0.1603,0.0
MYS_Q,0.0,0.0,0.0,0.0,2.4557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.1372,0.0,0.0,0.0,198.8128,0.0,5.2147,0.0,0.0,0.0
MYS_R,0.0,0.0,0.0,0.0,0.5087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.7741,15.6394,0.3868,880.5865,0.0,0.0
MYS_S,26.0032,7.0978,0.1838,0.0073,7.7739,23.9465,0.8287,0.118,17.218,0.3991,154.5728,0.4255,41.3139,35.854,28.141,31.776,115.6075,27.5437,27.8998,25.0088,80.1392,20.6297,0.2283,48.615,13.5519,6.2339,38.552,0.3679,1.0582,21.1567,1.2543,19.7471,1.4819,0.894,20.4626,18.713,22.9278,3.2767,2.4587,80.8384,8.6274,5.7405,8.9571,9.1611,0.0
MYS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
