V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_C20,34.9733,0.0965,0.005,1.5778,0.0386,3.1235,2.7069,16.9604,5.8929,0.0039,12.4254,3.5515,11.7864,7.0514,0.6118,1.5326,0.0899,0.2123,0.7229,0.0484,0.7959,4.2825,2.0054,1.6199,11.9425,5.9472,4.9991,0.6391,7.9943,1.4843,0.1482,0.8085,0.3511,0.1912,0.1379,0.1249,4.7355,3.1649,4.5132,2.1078,3.3794,12.6248,0.9246,3.2816,0.0
LVA_C21,5.1775,0.0108,0.0001,0.2981,0.015,0.849,0.2895,1.1885,0.1901,0.0018,1.1208,2.9123,0.079,0.2434,0.3173,0.1487,0.1134,0.0357,0.0338,0.1182,0.0631,0.1332,0.5984,0.0899,0.853,1.7471,0.23,0.0059,0.0797,0.0793,0.008,0.2705,0.0573,0.0182,0.0521,0.036,0.1807,1.0844,0.346,0.0774,0.055,19.0256,0.18,0.1088,0.0
LVA_C22,0.8493,0.1211,0.0036,0.9708,0.0234,15.7506,0.185,1.8776,4.4305,0.0027,0.6342,0.428,14.6584,0.3354,3.2273,2.9666,0.4979,0.2932,0.5568,1.6328,0.2111,2.4364,1.243,6.3004,36.3225,10.646,13.9863,0.1071,0.405,1.171,0.068,1.0246,0.1351,0.061,0.6294,0.4617,1.7663,1.7323,1.323,0.3013,0.4789,0.1621,0.1761,0.1745,0.0
LVA_C23,0.7725,0.0283,0.0012,1.0583,0.016,19.2291,2.191,1.5756,0.2353,0.003,3.0137,0.3241,4.0057,24.1965,10.5846,1.3651,1.6112,1.5947,0.0706,0.1046,0.2522,8.7924,19.9873,2.7185,164.72,5.7016,2.868,0.1954,0.9615,2.9781,0.2826,1.0808,0.2517,0.1716,0.1177,0.5333,16.4412,2.6199,2.0178,1.2095,1.8613,2.2153,0.6235,0.457,0.0
LVA_C24,0.0848,0.088,0.0004,0.0497,0.0094,6.2366,0.0363,0.965,0.6604,0.0003,0.0424,0.0166,4.2058,2.2834,70.2484,108.689,0.2589,3.4058,16.4083,9.2818,6.3452,12.7149,0.183,1.5941,42.5138,1.7097,0.3931,0.0002,0.0049,1.2583,0.0853,0.137,0.0,0.3528,0.3491,0.0545,9.6906,2.7119,0.1361,0.007,0.0382,0.1008,0.4824,0.4264,0.0
LVA_C25,0.8505,0.0433,0.0005,0.1369,0.0075,21.8322,0.1629,3.9559,0.754,0.0011,0.2129,0.1167,1.0675,1.1617,4.8788,3.7103,0.3333,3.1644,3.9951,8.2036,3.2704,12.399,7.0981,1.3441,148.4572,25.4151,4.4357,0.059,0.1145,6.1044,0.0329,0.535,0.1708,0.1515,0.1341,0.2573,12.0639,5.9207,9.5845,6.4195,5.826,1.1888,1.6895,3.087,0.0
LVA_C26,0.0602,0.0076,0.0,0.0016,0.0,0.0711,0.0059,0.0099,0.0037,0.0,0.0069,0.0391,0.0205,0.0323,0.0646,0.0706,5.1387,0.3165,0.0042,0.0054,0.009,0.4447,0.4968,0.0114,0.4302,2.7246,0.059,0.0228,0.1159,0.1262,0.0026,0.0058,0.0763,2.0359,1.0107,0.1865,0.102,1.1243,0.2792,0.7309,0.1602,0.4549,0.1203,1.4362,0.0
LVA_C27,2.0589,0.0201,0.0001,0.0249,0.002,0.2338,0.0427,0.6404,0.0546,0.0,0.0515,0.1514,0.0257,0.103,0.1532,0.2269,0.1051,6.3026,0.7152,0.0069,1.5278,1.8656,1.6796,0.1207,8.2778,1.5474,0.235,0.0966,0.1029,0.7565,0.0031,0.1817,0.0377,0.499,0.029,0.1503,1.6519,0.9378,0.8572,0.2726,0.5035,0.2475,0.3331,0.2783,0.0
LVA_C28,1.4272,0.0433,0.0004,0.1538,0.0067,0.8577,0.1536,1.0677,0.1772,0.0001,0.1227,0.0742,0.8371,0.2405,0.275,0.3024,1.6658,1.9371,0.8118,0.3147,0.5474,0.8312,0.7959,0.2422,3.4328,2.7398,0.5839,0.0972,0.2783,0.3697,0.0802,0.6199,0.1115,0.4597,0.3118,0.3463,0.9972,1.629,1.6392,0.4023,0.3286,0.2129,0.6095,0.2041,0.0
LVA_C29,0.2254,0.0132,0.0001,0.043,0.0014,0.5223,0.0755,0.6173,0.0213,0.0001,0.0745,0.0035,0.0415,0.0564,0.0802,0.0272,0.0049,0.0158,0.0058,1.1043,0.0024,0.0372,0.2475,0.472,1.3177,6.6233,3.6307,0.4717,0.0124,0.0707,0.0208,0.0218,0.0598,0.044,0.1439,0.0858,0.3601,2.0591,2.0279,0.7295,0.1682,0.3249,0.1818,0.1749,0.0
LVA_C30,0.4784,0.6039,0.0003,0.0593,0.0003,0.0643,0.0018,0.486,0.0011,0.0,0.0106,0.0037,0.0068,0.0648,0.13,0.0027,0.0093,0.0171,0.0053,1.9964,3.2063,4.0835,0.0679,0.0464,1.4513,2.5382,7.4003,0.182,3.7787,0.5389,0.005,0.0142,0.0126,0.0297,0.0027,0.0107,0.216,0.0401,0.5861,0.1221,0.0254,0.0147,0.3408,0.4117,0.0
LVA_C31T33,39.5317,1.849,0.0081,2.1066,0.0805,15.1644,1.1143,10.131,5.1216,0.0051,1.3777,0.9357,1.8506,1.9937,2.8542,4.7117,0.2547,1.3011,0.837,0.5119,13.8965,45.8951,28.1022,6.9682,17.1743,24.6423,26.096,12.8923,30.0448,15.1894,0.4641,4.7461,1.0413,5.7426,2.4168,3.3041,7.086,9.0556,9.7084,5.2697,2.1439,12.0473,4.2401,2.8101,0.0
LVA_D,50.2726,1.9141,0.0071,2.5565,0.0567,74.3713,11.1813,61.8796,9.7122,0.0052,10.4143,6.3946,8.1413,40.2017,11.052,8.76,1.1283,2.6516,4.8056,1.1327,3.1662,26.9363,903.4813,17.8039,52.2542,172.3302,41.4263,4.2524,14.518,67.0781,3.9658,28.7935,4.747,22.9737,7.9082,10.4932,164.2734,31.2721,12.9361,57.4626,60.5308,38.8671,18.887,8.8458,0.0
LVA_E,0.8519,0.1213,0.0007,0.6979,0.0109,7.8709,1.3599,0.7791,0.5168,0.0007,0.3402,0.2619,0.1735,1.7116,181.9037,1.7851,0.0723,0.0573,0.3137,0.0773,0.1546,2.6044,9.139,67.8563,6.4586,12.0298,1.4508,0.1288,0.2171,3.5888,0.5246,1.8103,0.4272,0.2009,0.1503,0.15,8.8216,1.7923,3.7147,12.7109,2.9141,2.5587,2.0613,1.2047,0.0
LVA_F,3.1257,0.2922,0.0012,0.8847,0.0417,10.7782,0.839,2.9994,1.2652,0.0066,0.8877,0.7172,3.9901,4.8025,2.0191,11.9208,0.1932,0.6059,0.553,0.2268,0.112,5.2387,115.0302,20.9682,1578.9523,89.5278,14.6402,1.9024,6.6191,17.3848,0.5236,4.1144,2.3764,35.1002,0.9679,2.0921,287.1828,97.389,17.977,51.8144,22.6337,13.9749,11.6724,17.0446,0.0
LVA_G,242.9236,4.1447,0.0251,15.0777,0.2477,264.1504,31.646,217.444,39.5505,0.0355,34.43,12.5273,24.6761,45.7967,90.8564,38.3114,9.8134,10.7592,9.5253,9.0483,10.977,55.9177,181.0,38.3538,292.9108,187.6032,167.2011,8.176,46.7142,69.6764,6.6293,52.4304,20.2252,21.4767,9.8707,13.134,55.455,96.7838,59.8586,38.4013,25.4212,45.9599,16.3502,19.484,0.0
LVA_H49,61.3691,1.9316,0.0346,15.5686,0.2616,63.6982,4.4975,72.0383,9.8097,0.07,7.0828,0.7148,3.1265,26.9305,9.0223,12.2832,1.1384,1.7084,2.9499,11.9342,1.6866,13.3258,62.7595,4.3888,93.96,202.5452,181.4914,2.7904,12.2733,377.1325,7.7345,4.7963,4.8365,2.0806,2.4249,1.1955,6.0574,15.5756,28.3578,10.6989,6.7963,4.7984,3.7088,3.0715,0.0
LVA_H50,3.709,0.1503,0.024,12.2707,0.218,2.4587,0.6171,9.7634,0.5288,0.0022,1.0226,0.2819,0.3935,3.4605,0.4523,0.67,0.1891,0.3107,0.1402,0.1113,0.1369,1.213,4.0655,0.5106,4.5213,3.3518,22.0869,3.4954,1.3504,4.0033,0.1159,0.4608,0.1233,0.2081,0.1117,0.1288,0.5778,4.4627,1.9629,0.445,0.3834,0.5925,0.1715,0.1832,0.0
LVA_H51,3.9372,0.1005,0.0006,0.4321,0.0057,4.1481,0.6293,2.4933,0.7764,0.0031,0.7299,0.2631,0.6353,1.1094,1.1143,0.9256,0.3467,0.3514,0.2336,0.2395,0.2019,1.0813,6.1926,0.3841,7.2009,7.4398,9.0962,0.321,13.9688,17.0906,0.3164,0.6979,0.4156,0.2824,2.2028,0.7595,0.781,3.4651,12.767,2.2369,0.9887,0.7945,0.6129,0.6327,0.0
LVA_H52,40.4796,0.8129,0.0101,3.6623,0.0373,38.6827,1.1312,32.94,2.3026,0.0513,10.3621,1.4569,3.1412,3.3612,22.9482,7.9448,2.8754,3.814,1.6067,0.5475,0.1569,16.7115,5.0295,5.1595,66.1645,286.3032,478.0769,19.6949,118.452,1211.5886,0.2678,0.7357,2.6369,0.7592,0.6979,0.942,1.6656,18.3818,2.1616,9.5301,0.4727,0.5134,0.4716,1.1296,0.0
LVA_H53,0.5665,0.0163,0.0003,0.0772,0.0028,1.057,0.2767,0.9091,0.2955,0.0008,0.0817,0.5856,0.0841,0.15,0.1055,0.1349,0.3348,0.1511,0.1327,0.0156,0.0955,0.2841,1.0086,0.6211,1.3766,10.7092,0.8121,0.109,0.1222,1.0733,0.0488,0.3849,6.782,5.7803,1.8696,1.0812,1.7271,22.6275,3.7677,11.4382,1.8641,0.7742,1.6233,2.5931,0.0
LVA_I,0.8509,0.0101,0.0007,0.2305,0.0145,0.6501,0.6769,0.3931,0.192,0.0011,0.1025,0.5933,0.0149,0.1378,1.5325,0.2135,0.3159,0.108,0.155,0.061,0.0741,0.4171,0.3162,0.123,4.3424,17.2314,1.0547,0.8158,1.9431,2.1189,0.0796,5.9553,2.531,0.4997,4.133,1.4778,0.5156,13.7141,28.4131,2.241,2.7261,2.7943,5.4692,0.7395,0.0
LVA_J58T60,0.6132,0.016,0.0,0.0445,0.0018,6.711,0.158,0.3935,0.1117,0.0001,0.1069,0.1586,0.0744,0.0784,0.0705,0.0973,0.0533,0.1158,0.1009,0.0433,0.0183,0.217,0.8782,0.1757,0.8849,10.1389,0.7423,0.0853,1.8279,3.4775,0.0565,0.3057,26.149,3.6495,0.9883,2.9611,2.623,75.3057,0.5601,9.0982,3.4238,0.4629,1.9874,3.252,0.0
LVA_J61,3.0363,0.2634,0.0007,0.2515,0.0088,5.4856,0.983,1.3117,1.2201,0.002,0.8038,0.8785,0.5533,2.1241,0.5765,4.7311,0.1367,2.8668,2.3473,1.8178,0.1212,2.0623,14.0524,1.2297,31.2303,55.5935,12.8735,0.7777,2.975,14.3571,1.8938,4.0573,8.8395,242.0093,7.6646,21.7828,16.0902,30.1866,14.224,11.8517,6.4036,4.7717,5.3221,5.931,0.0
LVA_J62_63,7.2481,0.0568,0.0007,0.2263,0.0077,3.2492,0.3592,0.5506,0.3618,0.0003,0.138,1.2916,0.1091,0.3904,0.0628,0.2786,0.2489,0.3626,0.0565,0.084,0.0233,5.8758,3.5534,0.559,4.1115,46.0984,17.4713,0.4891,17.4832,19.9916,0.8506,0.4741,3.1245,23.6447,64.2152,43.8278,5.6299,29.4758,6.3418,26.2297,1.7943,1.1709,3.0496,7.5958,0.0
LVA_K,31.5383,0.8333,0.0019,0.6914,0.0344,8.7001,1.8657,11.1948,2.1028,0.0049,1.5518,1.7645,0.7617,4.0436,0.8795,3.183,0.962,0.7723,0.8758,0.3393,0.7622,6.8228,22.8695,3.5538,35.6379,104.9225,28.9431,1.1287,7.376,30.7191,1.1618,6.9178,2.7027,9.139,7.11,317.418,119.2299,16.4553,22.0117,5.7458,1.0382,6.2767,4.0278,5.7086,0.0
LVA_L,9.4679,0.2694,0.001,0.5838,0.0168,11.6576,4.0473,3.5037,6.525,0.0056,2.9042,1.0484,6.8235,3.022,0.6707,5.0063,1.6026,1.0625,1.766,0.4289,0.1235,10.5722,4.2243,6.4219,57.4581,411.2346,7.3595,2.5458,5.07,31.8247,7.0489,54.818,11.1125,23.3067,24.4524,32.4788,198.3243,72.6234,38.6493,62.3063,12.8098,7.5179,47.36,18.9612,0.0
LVA_M,20.7888,1.4471,0.0079,2.0785,0.2021,54.0907,2.7837,8.7811,2.9652,0.0065,2.881,36.7344,0.9094,7.988,1.17,6.748,0.686,1.6462,0.6245,2.1882,0.4751,8.1911,20.9822,5.2604,204.0938,427.837,24.2488,6.3739,22.269,32.7529,3.0019,13.0234,27.4157,69.3918,16.2783,38.1375,72.4371,227.0709,35.6727,68.6192,9.3739,6.1769,24.0728,18.449,0.0
LVA_N,10.427,0.1524,0.002,0.7304,0.0235,13.0013,1.2868,6.2371,1.7525,0.0031,1.0376,2.2566,1.7065,9.0012,0.6605,1.6507,0.5554,0.85,0.7579,0.4944,0.577,7.3303,48.0108,9.988,40.3138,91.3198,67.9722,8.6758,37.1776,31.2503,2.6276,14.0362,4.9455,8.7135,8.2657,7.9564,69.3604,47.8981,73.1866,97.5588,26.085,19.4494,29.8518,6.6856,0.0
LVA_O,0.7812,0.0617,0.0001,0.0434,0.001,2.0883,0.52,0.9688,0.589,0.0002,0.2353,0.1876,0.2957,0.5829,2.0287,1.2827,0.0838,0.0689,0.1482,0.0559,0.7471,1.7258,8.944,1.6508,5.3901,11.4325,1.1596,0.0617,0.1909,2.0794,0.2736,2.1558,0.8253,0.7817,0.9951,13.7544,9.7655,8.3287,4.5972,55.3729,3.0721,13.6813,5.7647,10.1913,0.0
LVA_P,0.5264,0.0162,0.0003,0.0604,0.0011,0.9243,0.1318,0.4728,0.0982,0.0003,0.1994,0.4618,0.0303,0.1819,0.0883,0.5808,0.031,0.1328,0.0634,0.1344,0.0302,0.273,1.0661,0.286,5.1663,12.4774,0.8722,0.039,2.4714,3.0633,0.1563,0.2619,0.5623,1.2481,9.9354,2.6135,0.7503,8.5789,2.3111,0.3125,12.9506,0.9561,0.219,0.5349,0.0
LVA_Q,0.2462,0.0284,0.0,0.008,0.0009,0.3551,0.1706,0.1888,0.0545,0.0,0.0696,0.0727,0.0268,0.1871,0.0358,0.0571,0.041,0.0414,0.0125,0.0151,0.0318,0.3105,0.3484,0.0725,0.9474,12.6773,1.1479,0.0126,0.1368,1.7004,0.0937,0.1317,0.3198,0.0763,0.1138,0.1179,0.2483,0.6521,0.2911,1.3834,0.4899,5.5734,1.3297,0.2631,0.0
LVA_R,0.5398,0.0047,0.0001,0.0277,0.0015,0.7627,0.0743,0.2256,0.1315,0.0001,0.0692,0.5465,0.0869,0.1213,0.0489,0.1005,0.0252,0.0428,0.0155,0.0178,0.0433,0.1978,1.5553,0.123,1.3567,6.6102,1.7415,0.29,1.0669,4.0482,0.1153,1.3379,0.4908,1.1314,0.849,1.0598,1.0225,4.0107,0.9247,0.4048,0.9513,0.3623,22.0513,0.6797,0.0
LVA_S,0.7776,0.1079,0.0001,0.0453,0.0023,2.2229,0.341,0.7645,0.3697,0.0001,0.1481,0.7635,0.1358,0.1138,0.1469,0.3242,0.5726,0.0356,0.1311,0.0704,0.156,0.6207,3.9961,0.9244,1.5597,5.6023,0.9239,0.1351,0.1216,0.9304,1.3852,4.0107,1.7237,7.2342,1.4563,6.9896,4.3761,4.0305,3.6222,8.0838,1.0736,2.6927,1.4588,2.697,0.0
LVA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
