V1,CIV_A01_02,CIV_A03,CIV_B05_06,CIV_B07_08,CIV_B09,CIV_C10T12,CIV_C13T15,CIV_C16,CIV_C17_18,CIV_C19,CIV_C20,CIV_C21,CIV_C22,CIV_C23,CIV_C24,CIV_C25,CIV_C26,CIV_C27,CIV_C28,CIV_C29,CIV_C30,CIV_C31T33,CIV_D,CIV_E,CIV_F,CIV_G,CIV_H49,CIV_H50,CIV_H51,CIV_H52,CIV_H53,CIV_I,CIV_J58T60,CIV_J61,CIV_J62_63,CIV_K,CIV_L,CIV_M,CIV_N,CIV_O,CIV_P,CIV_Q,CIV_R,CIV_S,CIV_T
CIV_C20,31.5386,0.0077,0.0134,0.1172,0.0066,18.4827,2.0317,0.4377,3.0771,0.0398,25.4994,2.3493,14.6216,0.5932,0.2289,0.415,0.0664,0.3029,0.1378,0.0096,0.0006,1.8679,0.0509,1.0344,13.3245,30.6513,0.1762,0.0511,0.075,0.2966,0.0464,14.4801,0.1355,0.0243,0.0567,0.2571,0.0538,0.1951,0.4129,0.0717,0.1228,0.179,0.0145,2.4646,0.0
CIV_C21,3.3484,0.0035,0.001,0.0087,0.0002,4.9349,0.1284,0.0415,0.1897,0.0044,2.7185,13.0201,0.6335,0.0356,0.0233,0.0358,0.0071,0.0182,0.0151,0.0006,0.0001,0.1461,0.0071,0.0718,0.7755,4.8792,0.0242,0.0217,0.018,0.0534,0.0223,2.3078,0.0079,0.0056,0.009,0.0653,0.0048,0.0664,0.0479,0.0441,0.0434,0.4421,0.0024,0.4008,0.0
CIV_C22,40.1738,0.1048,0.0088,0.0577,0.0082,51.8482,7.3851,1.1282,15.0077,0.0424,10.0864,2.6317,18.0209,1.6508,0.2041,0.6894,0.021,0.0549,0.0029,0.0001,0.0,1.8699,0.9433,0.0052,9.162,48.9978,26.2507,2.0895,3.1473,17.4804,5.1239,0.1541,0.0726,0.0478,0.0602,0.0157,0.0108,0.0975,0.0287,0.0169,0.0116,0.0469,0.0035,0.1162,0.0
CIV_C23,0.9944,0.0187,0.0214,0.1369,0.0122,5.2775,0.0122,0.7324,0.3349,0.0777,3.1321,0.9731,0.1321,38.9819,0.1676,0.2989,0.0014,0.0045,0.009,0.0001,0.0,1.0914,0.0283,5.0961,409.4439,9.7357,0.3873,0.1385,0.1948,0.6831,0.1118,0.0582,0.0554,0.1098,0.0713,0.0007,0.1494,0.1725,0.1181,0.0764,0.0291,0.4848,0.0016,0.0102,0.0
CIV_C24,3.5894,0.0654,0.1318,1.1781,0.0732,4.397,0.1707,0.6736,0.9032,0.021,0.804,0.0649,0.3499,0.1499,22.7804,36.9625,0.0196,1.448,0.0734,0.0509,0.0027,0.8025,0.1859,0.0838,5.3921,3.8019,0.3051,0.1344,0.1334,0.4468,0.0102,0.3218,0.0516,0.0241,0.0213,0.0018,0.2041,0.1856,0.1671,0.0003,0.0767,0.0527,0.0122,0.0975,0.0
CIV_C25,124.0877,1.5377,2.9514,20.5329,2.2828,87.6181,4.387,14.2274,6.4943,0.3137,5.8118,0.9444,3.057,1.458,22.5408,129.3415,0.1235,5.0333,0.6841,0.847,0.0637,6.0301,2.1538,0.8895,95.6932,85.153,4.7601,1.8258,1.3795,10.7862,1.1876,7.367,0.6113,0.5992,0.4976,0.036,4.9246,3.2698,5.0135,0.0114,2.071,1.6,0.4549,2.2081,0.0
CIV_C26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6287,0.0,0.0,0.0,0.0,0.0,0.1518,0.0,0.0,0.0,3.2009,0.0
CIV_C27,0.0065,0.0001,0.0002,0.0016,0.0001,0.0093,0.0011,0.0004,0.0022,0.0,0.0016,0.0004,0.1836,0.0003,0.2786,0.7458,0.0751,0.0091,0.0001,0.0,0.0,0.0005,0.0005,0.0004,7.6469,0.0097,0.0039,0.0003,0.0005,0.0028,0.0008,0.0003,0.0006,0.0012,0.0008,0.0,0.0017,0.0006,0.0012,0.0009,0.0003,0.0002,0.0,0.0001,0.0
CIV_C28,0.8942,0.0109,4.3032,19.9143,0.066,33.4805,0.0204,1.4323,1.5708,0.01,4.094,1.3928,0.0523,0.0544,0.0514,0.1002,0.0764,0.0037,8.8642,0.7581,0.0868,2.4081,1.1559,0.4636,0.7352,3.4132,0.3382,0.1132,0.3056,0.4186,0.0507,0.2222,0.7142,1.1703,0.5938,8.0986,0.0626,0.2094,0.1092,7.8661,0.1757,0.3374,0.1972,0.0491,0.0
CIV_C29,0.0515,0.0,0.0,0.0,0.0,1.4153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,1.4945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C30,0.0071,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0002,0.0,0.0,0.0,0.0,0.2122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CIV_C31T33,12.648,0.0217,1.3978,5.0756,1.5168,24.7907,1.5468,1.6289,1.1338,0.0209,1.0404,0.399,1.1787,0.4646,2.8022,6.9155,5.3778,0.0142,2.1814,0.0414,0.0039,0.8857,30.2802,0.7526,8.3771,19.4629,1.5801,0.4588,0.9768,3.0327,0.5713,1.1398,3.1313,2.8181,2.7194,16.312,0.4301,1.6176,0.6431,15.3072,2.0589,1.3321,0.3539,7.743,0.0
CIV_D,32.246,4.0994,0.5315,4.1922,0.1368,92.4033,2.6415,7.9281,6.1044,0.2421,8.5277,1.0481,10.8236,5.643,12.3795,11.6425,1.0837,0.2749,5.9429,0.1717,0.0122,1.7992,9.1264,12.1704,40.6814,107.0348,11.6379,1.0957,2.1824,19.6579,3.5424,19.0316,1.9159,4.5482,2.2649,4.0407,3.3653,4.7931,4.6408,44.7262,7.2304,5.605,0.6106,3.0393,0.0
CIV_E,1.1936,0.072,0.0088,0.055,0.0032,13.6733,0.1087,0.9633,0.3835,0.0126,0.4137,0.0687,0.1802,0.5213,0.3057,0.2856,0.1471,0.0129,1.8445,0.0543,0.0058,0.3536,0.6171,0.2242,7.3707,4.9922,0.3201,0.0965,0.1254,0.7307,0.0894,11.5183,0.151,0.1379,0.1719,0.2875,0.388,0.3176,0.5589,5.3846,3.7539,2.1338,0.025,0.6958,0.0
CIV_F,28.831,1.6449,8.169,51.8071,4.5892,29.1857,0.4003,6.9741,3.5178,0.0896,5.6537,1.4217,2.4944,0.9012,16.8275,35.8243,0.5678,0.5817,3.5542,0.0217,0.0024,8.434,11.0884,14.4179,458.6262,91.9155,5.6814,1.0794,1.6953,11.9028,1.4313,10.1456,19.2299,40.9006,25.9901,0.3246,57.4909,20.2134,38.2184,29.9704,10.7965,6.3993,0.5043,2.8444,0.0
CIV_G,234.4763,8.6831,5.026,24.8539,2.2948,408.9675,35.4067,12.1336,24.9849,61.8138,41.5248,17.1144,20.8218,58.738,18.7335,31.6967,9.6786,1.1017,19.0543,0.9881,0.0925,21.1592,26.2464,11.4682,193.5751,267.1449,278.9389,30.1683,65.7874,120.1214,57.3423,369.2373,36.8766,44.6656,33.16,36.1232,2.6352,5.915,10.0055,56.7372,12.7797,12.6625,16.3618,45.5865,0.0
CIV_H49,56.034,3.6008,1.0236,5.4804,0.2774,64.7469,2.6408,2.751,3.3054,19.2328,5.9934,1.4804,3.9949,4.994,7.0272,7.1611,0.8548,0.2943,1.3517,0.1733,0.0148,3.1185,1.4708,0.8492,32.907,277.348,10.2007,1.9818,3.3945,6.8076,1.7515,28.5854,0.6913,1.3391,0.3977,1.5344,0.6086,0.839,1.0898,2.979,1.5059,1.1382,0.1202,4.2754,0.0
CIV_H50,4.6523,0.957,0.2168,1.1032,0.0536,8.3561,0.3983,0.3445,0.5067,6.1581,1.3313,0.4943,0.7262,0.9281,1.4657,1.6352,0.2379,0.067,0.2908,0.0374,0.0038,0.5459,0.2231,0.1237,5.7561,25.6802,1.349,1.529,0.6894,1.6314,0.4523,3.9622,0.0818,0.4664,0.042,0.1141,0.0606,0.0746,0.1176,0.2863,0.1194,0.1409,0.0111,0.5652,0.0
CIV_H51,9.3576,1.1967,0.4507,1.8131,0.1618,12.2486,0.5106,0.4376,0.6205,7.7579,1.9934,0.8087,1.1544,1.0892,1.6916,2.0124,0.4097,0.0985,0.544,0.0556,0.0058,0.6734,0.3125,0.1997,6.7169,76.992,1.9074,0.7285,4.0213,3.0972,1.2152,3.9708,0.1814,0.6837,0.1938,1.535,0.3608,0.5774,0.7302,1.5537,0.5564,0.3177,0.0783,1.2749,0.0
CIV_H52,51.5401,6.142,0.5854,3.6949,0.1773,34.2488,0.8002,1.3637,1.189,3.079,3.0821,0.7281,2.3762,1.3453,1.3567,1.5485,0.433,0.1236,0.893,0.0914,0.0067,0.8034,0.4675,0.3687,7.2001,505.9482,12.9016,8.2334,11.4771,30.5101,1.5266,4.9322,0.3175,0.3775,0.2044,1.2273,0.6192,0.6989,1.169,1.7646,0.507,0.3682,0.1137,1.7958,0.0
CIV_H53,12.0743,1.6261,0.2142,1.6213,0.1382,11.6234,0.2301,0.4078,0.3479,0.0197,0.8617,0.3177,0.7762,0.1963,0.0875,0.2512,0.17,0.0372,0.3628,0.0238,0.002,0.127,0.2796,0.2401,1.205,175.9351,1.7925,0.5785,0.8662,4.2784,7.6746,0.407,0.3638,0.3585,0.2233,4.456,0.9739,0.9735,0.9729,2.8816,0.8966,0.5009,0.1428,1.9913,0.0
CIV_I,7.9757,0.0336,0.4199,1.9695,0.2881,8.6368,0.0365,0.527,0.3112,0.0249,1.112,0.4114,0.2907,0.2188,0.3759,0.9747,0.0,0.1203,1.6881,0.0052,0.0005,0.4549,2.6823,1.5719,7.6926,20.5762,2.2963,0.4615,3.3153,2.572,0.7491,20.3398,3.5536,2.6754,3.8644,5.3677,0.4956,7.4071,2.7052,13.843,3.2333,1.7399,0.9273,32.8536,0.0
CIV_J58T60,19.0535,0.9463,0.0515,0.2732,0.0176,4.518,0.0813,0.1236,0.3886,0.0189,0.2891,0.1101,0.0436,0.0412,0.0539,0.1502,0.0569,0.0058,0.2357,0.0033,0.0003,0.1488,0.2054,0.0757,3.4672,7.3504,2.2393,0.6875,2.0581,4.5897,1.4296,0.6978,51.9951,12.8814,12.9289,2.5151,0.6425,0.9142,1.3733,1.9946,2.2502,0.1274,0.2041,3.2862,0.0
