V1,CHL_A01_02,CHL_A03,CHL_B05_06,CHL_B07_08,CHL_B09,CHL_C10T12,CHL_C13T15,CHL_C16,CHL_C17_18,CHL_C19,CHL_C20,CHL_C21,CHL_C22,CHL_C23,CHL_C24,CHL_C25,CHL_C26,CHL_C27,CHL_C28,CHL_C29,CHL_C30,CHL_C31T33,CHL_D,CHL_E,CHL_F,CHL_G,CHL_H49,CHL_H50,CHL_H51,CHL_H52,CHL_H53,CHL_I,CHL_J58T60,CHL_J61,CHL_J62_63,CHL_K,CHL_L,CHL_M,CHL_N,CHL_O,CHL_P,CHL_Q,CHL_R,CHL_S,CHL_T
CHL_E,4.1462,1.2893,0.3718,53.2561,0.4577,47.0463,5.4429,1.8241,112.4168,1.5805,20.6066,1.5482,49.273,21.95,161.6915,6.1579,0.1073,1.2777,19.3975,0.8278,0.6924,7.1877,0.8845,130.4044,37.4595,36.419,8.9491,0.7766,0.8511,7.6362,0.2981,20.7575,0.7594,0.9207,3.0837,11.0687,15.9503,18.6702,8.756,198.7542,95.9766,37.0423,3.7339,21.2358,0
CHL_F,33.7348,14.9422,1.9821,52.3909,0.4457,52.4817,5.9308,5.7368,16.1612,5.6026,11.7147,5.5409,7.4533,21.2422,5.7043,8.9862,0.567,7.8161,6.7718,2.4392,2.1665,5.1895,82.3392,88.6867,37.6833,356.831,82.5472,3.7417,23.2038,148.9189,0.349,64.3129,5.7013,26.5204,9.1782,97.8115,3290.6975,62.7029,43.1864,580.9475,188.6931,81.6515,13.9123,94.0397,0
CHL_G,1150.9671,211.5344,12.1591,1678.4966,2.1735,2118.9095,281.4071,179.1718,560.9571,58.636,323.7774,104.3492,174.4654,126.375,72.6323,97.2405,2.0946,33.0019,71.9665,48.0229,39.375,83.7002,380.4351,32.8144,1051.8724,2972.0727,1129.5966,155.0375,172.5155,146.3023,13.1892,455.0917,85.4116,713.5571,112.5807,203.7242,121.2673,327.9547,764.6675,288.2153,110.287,414.0837,82.9723,138.2289,0
CHL_H49,359.6294,59.7601,8.462,774.1905,4.187,909.7871,57.0224,151.0424,198.2109,59.1678,155.6232,23.7718,81.3535,104.2939,50.2864,69.4186,1.0396,19.2024,35.6134,11.9626,8.1537,45.2784,189.5763,9.4238,543.8518,1170.6322,488.757,157.4629,47.9019,28.3202,28.146,100.3185,15.8261,9.6245,16.1803,29.8692,16.8267,53.743,151.9125,84.8365,52.6535,93.175,6.0757,44.8327,0
CHL_H50,20.6109,0.0575,0.5928,28.9282,0.082,25.6492,6.9686,2.4717,8.3519,58.0238,7.5716,2.6408,8.7252,3.5247,7.9973,6.1891,0.135,2.3691,5.2216,1.1508,0.7453,4.5404,37.5225,0.705,59.3616,21.6891,25.7395,0.3684,8.7512,0.6167,0.0191,6.4221,1.4268,0.4862,3.1561,2.2057,2.0317,4.3375,7.053,16.3303,3.1562,8.8332,0.4918,2.5484,0
CHL_H51,16.8917,8.5895,4.7524,133.5179,0.2417,66.4966,5.967,4.2558,11.2747,20.9729,24.8338,4.0582,10.1417,7.3678,5.3229,8.6906,0.2259,2.5811,6.2762,1.4589,1.1136,5.1799,24.0484,3.9605,118.5222,63.8849,64.5802,12.8282,129.5287,12.84,24.0607,18.3757,5.7488,15.2601,17.9848,33.0923,5.892,50.5345,42.8324,67.9487,7.3254,12.0101,5.2464,3.8726,0
CHL_H52,49.0344,27.034,0.7055,162.7983,0.5065,167.6602,15.9286,37.1757,32.374,7.3964,35.2255,11.5996,16.3318,11.217,13.4869,14.0455,0.2688,4.5657,7.3286,2.6612,1.7861,8.1792,21.1863,1.4479,72.4368,374.1419,305.9237,700.1849,145.999,102.3772,1.2055,17.7184,2.1782,3.9428,4.3963,6.8077,3.5613,8.7214,12.5073,11.4299,5.233,13.1836,0.8735,6.8875,0
CHL_H53,3.9493,1.8027,0.0268,1.1264,0.0049,8.4081,1.7613,0.8842,1.7017,0.2689,2.3679,0.817,0.3333,1.612,0.365,1.778,0.0733,0.7887,1.3997,0.5019,0.3056,1.6098,8.9679,1.0669,5.5961,46.4292,5.0183,0.6931,0.017,5.9001,16.2709,3.8579,1.3365,15.1872,5.9685,91.2356,5.3298,20.3155,33.7464,19.4887,5.6264,3.8401,0.8445,2.7496,0
CHL_I,25.7338,1.991,1.314,63.2521,0.0519,26.3307,4.1605,1.9425,5.0071,0.9774,8.8409,2.923,3.4796,3.8953,1.1882,2.7611,0.1216,1.2238,2.7263,0.5774,0.4456,2.0886,4.8907,2.0158,55.5743,91.3566,144.8249,15.3785,98.3615,8.0282,0.7182,14.9586,5.539,4.4885,11.8994,35.1211,5.8587,41.8571,19.0313,52.8977,135.8372,43.2338,14.0337,44.4581,0
CHL_J58T60,4.4223,2.1332,0.2706,13.6714,0.0093,30.8211,2.2695,2.1753,9.5494,0.6262,5.6084,1.7432,5.8123,2.5173,0.7889,2.3467,0.0616,0.7605,1.7267,0.616,0.4871,1.5728,3.8711,1.6787,20.1208,200.7035,35.6633,12.6046,4.9585,11.3243,2.9443,16.5038,47.2391,78.7127,18.9462,81.4661,36.0879,174.1048,61.7375,27.7556,69.0055,32.9068,8.2564,29.9929,0
CHL_J61,20.2013,15.4039,1.8514,82.7355,0.1516,52.5491,9.0877,5.4341,10.5513,2.0018,14.1764,4.9942,8.0945,8.6821,3.0823,9.5506,0.3043,3.3248,7.6582,2.2045,1.6739,17.7071,17.3822,3.1349,67.1792,272.7198,81.1517,29.3945,15.366,46.8868,7.0695,37.1405,182.6923,2245.8544,69.2421,130.5142,39.2491,101.4517,158.8723,181.6151,45.6185,62.8499,11.4568,31.0044,0
CHL_J62_63,4.1253,0.9645,4.1923,185.8296,0.078,200.2525,26.7021,24.2314,40.8247,13.4548,92.3093,25.8575,7.2115,24.4899,16.8402,41.2987,0.7639,5.9142,30.9003,5.0555,3.7714,22.3426,19.7746,7.8656,27.3825,215.2373,128.8868,15.473,23.627,33.0649,1.5524,11.9372,19.5806,66.0716,163.0122,193.4901,19.5041,172.8624,185.879,81.8569,11.9815,33.7432,12.9004,5.2351,0
CHL_K,451.2176,77.3871,23.4186,341.2433,1.6845,191.4204,46.0035,35.3563,69.891,52.6026,53.7047,11.1279,35.6278,31.5209,37.385,33.1983,0.8269,10.3071,21.3156,8.6941,6.3057,57.4249,234.4984,34.4024,952.0155,1130.7995,409.3452,79.3747,25.5537,101.687,6.0148,160.9846,23.6425,52.5234,77.6737,2095.106,523.5011,432.0235,602.5556,72.534,182.2317,256.1384,56.7223,41.2039,0
CHL_L,43.4321,41.0432,0.6426,37.1307,0.0723,170.8505,42.83,8.2721,25.484,1.2989,31.676,9.2805,21.9068,25.7755,4.5762,22.9251,0.8301,10.0995,13.67,3.9417,2.4292,57.0994,20.8311,10.5914,477.1084,1768.0849,112.53,5.3082,205.1811,140.822,12.2466,471.0975,17.4571,84.7988,72.4895,216.2558,214.1674,353.1307,321.263,113.3807,263.8856,139.2667,52.3031,115.18,0
CHL_M,40.8532,20.7315,86.1078,2318.8453,10.0847,1591.8344,130.3301,137.6123,215.6856,62.8304,469.6364,289.1649,66.213,111.6572,65.9912,127.9203,2.2202,23.3933,101.1792,26.3024,19.4715,70.6995,134.6262,42.4158,1392.9454,3013.4933,207.1357,26.8634,154.1067,138.992,15.0504,197.2511,103.2542,349.54,260.0115,922.793,495.1278,1955.8442,689.7711,132.465,210.2566,132.0423,137.3722,92.9439,0
CHL_N,140.5943,124.0489,9.9284,1083.6981,1.667,483.0211,22.0704,133.2162,256.451,73.187,126.6198,5.6756,22.567,76.6114,7.4037,35.2047,1.0126,11.2916,21.3387,44.5848,31.0745,53.0558,49.8473,77.4358,621.6036,1555.8075,735.4806,35.7343,179.5066,237.8483,30.4347,144.1361,117.6622,318.0132,61.2462,1151.1245,244.4881,541.2984,565.2266,570.3577,264.6704,303.6151,70.291,37.4988,0
CHL_O,10.2109,5.0368,0.2139,30.2546,0.1178,32.5081,2.5439,4.6136,35.7334,1.1486,6.68,1.6199,14.3492,6.177,43.9434,2.6516,0.0543,0.7882,7.663,0.4339,0.3097,1.9523,2.954,30.6393,20.77,79.416,36.2809,76.0446,17.9607,21.0301,0.3086,7.4711,1.3684,3.3315,10.94,3.5922,3.7418,39.8823,19.3057,38.7711,3.636,3.765,1.3717,3.2108,0
CHL_P,1.0726,0.3839,0.2461,8.7565,0.0349,6.4568,0.7478,1.4251,1.4686,0.7173,2.0255,0.4707,0.4,1.1086,0.3177,0.9532,0.0198,0.1997,0.6607,0.2005,0.1646,0.553,1.0049,0.1986,5.2019,9.7805,2.0731,0.3341,0.6216,0.7379,0.0974,1.4922,0.8651,0.7449,19.5723,3.8586,2.4681,65.1305,28.2082,1.0704,1.7021,2.2387,1.4978,0.8007,0
CHL_Q,20.1141,3.8184,0.0752,3.2188,0.0045,6.5209,1.0347,1.0476,1.2835,0.5317,2.2037,0.5362,0.4402,1.0441,0.3192,1.0769,0.0203,0.2039,0.766,0.183,0.1401,0.992,0.5896,0.2136,4.9104,22.4029,5.9267,1.7016,2.5508,2.3512,0.3401,6.6845,1.2544,9.3586,4.9835,14.7981,3.1944,23.5672,24.7842,12.3713,4.5489,683.0421,1.0874,21.9135,0
CHL_R,0.0032,0.0001,0.0014,0.0038,0.0,0.0157,0.0,0.0,2.0138,2.8207,0.0671,0.0035,0.0019,0.0,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0022,0.0,0.9466,2.7037,0.0,0.0,0.0,0.3527,0.0,0.8309,49.4962,0.0057,0.9482,4.3146,0.157,3.0802,0.0994,33.8689,0.7591,0.3238,160.7894,0.293,0
CHL_S,12.3182,2.4529,0.5798,113.2847,0.2004,27.1805,2.5791,5.391,8.3475,0.3953,9.0978,2.1133,3.6636,3.0927,3.6506,2.6055,0.2139,2.8169,2.2493,0.519,0.9684,1.8464,14.8441,1.0196,25.3499,63.0516,17.3189,7.0689,5.5118,3.0499,0.3826,49.3472,2.7682,17.679,7.626,18.6432,2.7661,16.932,32.8683,6.2076,3.3745,52.2726,18.6149,27.1442,0
CHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
