V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_C20,146.8976,0.1011,6.8389,23.642,0.5381,72.1439,25.5547,50.5795,375.5613,162.932,253.928,16.9403,226.6543,36.7829,57.8582,30.37,69.1107,27.1199,20.3826,4.7198,8.7097,20.6043,87.8146,51.7001,129.0032,46.9981,13.6137,5.9474,6.2751,29.407,1.0554,5.2862,7.7383,3.5404,8.7153,7.6677,6.9573,31.4655,46.2709,23.4402,8.9703,37.7357,11.1669,29.1657,0.0
FIN_C21,5.1816,0.0139,0.1268,1.6345,0.0111,4.1983,2.0696,1.09,4.0621,1.2102,14.3591,10.8297,0.6835,0.6619,0.8586,1.0278,51.0617,0.8708,3.3751,0.1438,0.5716,0.8682,1.8402,1.3338,6.2013,8.3033,1.4186,2.6711,0.8894,0.9681,0.2789,1.1374,1.8062,0.6678,2.2882,1.2062,0.7376,7.4425,2.2518,9.141,5.8604,219.8254,0.8108,0.884,0.0
FIN_C22,7.6142,0.0595,0.5336,1.5179,0.048,129.9468,3.0954,19.7496,51.0473,5.8188,18.9732,14.8042,200.9408,22.5134,5.285,23.6234,53.0759,14.7338,74.0818,14.8714,13.8876,40.2437,8.2403,4.3772,590.4677,135.3055,65.3511,4.4634,3.2834,29.0026,0.8889,5.7338,5.9567,3.1535,6.8412,7.8781,4.2785,19.73,74.0064,57.9242,27.8668,11.2399,10.9506,16.1591,0.0
FIN_C23,8.7665,0.0284,2.6208,9.4374,0.2682,28.9382,2.6077,69.7243,38.2087,1.7898,47.656,1.0254,15.347,264.3339,44.9966,42.1106,29.0308,16.1058,24.9698,12.3134,11.5005,15.2423,43.6457,3.4346,1674.3252,95.6832,3.9207,4.6656,1.9911,1.8849,0.7375,3.0268,3.94,2.6451,9.46,5.7007,2.8945,23.885,10.3485,10.4975,3.2063,25.6309,1.9738,9.4539,0.0
FIN_C24,0.0,0.0,0.0973,0.3073,0.0035,0.0337,3.3382,16.0683,15.1809,6.0426,5.8643,0.0284,29.8023,61.6888,1878.6855,1077.3164,22.9584,283.6908,612.8149,102.767,85.5252,143.4986,0.3921,0.8383,152.4786,0.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0448,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.003,0.0052,0.0,0.6229,0.0
FIN_C25,30.4045,0.1372,4.5553,12.7403,0.4608,96.7197,2.7925,52.4292,54.4644,6.3874,20.2961,3.2506,39.664,67.3386,188.8558,778.071,96.7275,291.4659,1015.4155,42.5057,91.237,211.435,22.1012,14.8545,1574.7537,67.2483,18.4713,6.4777,6.7537,66.0159,1.9357,9.8604,8.3013,13.2067,18.2652,13.843,5.7071,48.1021,28.3933,127.2247,25.754,11.3151,9.4771,14.5742,0.0
FIN_C26,127.3712,0.4668,2.3853,9.6893,0.3038,111.895,10.3267,40.9499,117.5638,37.8717,68.9436,21.181,33.6089,31.7554,41.5545,55.016,3057.9709,129.9184,215.4695,12.3511,47.4661,84.2583,83.4436,18.29,221.1628,697.3479,63.5743,95.7055,56.0183,64.3086,28.3181,58.7933,173.0465,186.8657,502.8588,391.028,59.0568,462.6575,142.1246,573.4389,106.344,117.6484,56.6095,58.4423,0.0
FIN_C27,6.2756,0.0704,0.3874,1.1509,0.0413,12.6136,1.2212,5.6123,13.4842,4.6173,5.8046,1.1809,6.3423,6.0874,26.156,17.8136,159.1857,172.146,104.0848,11.4459,12.8446,38.6055,6.9934,7.2795,250.9912,33.5988,8.8144,3.5117,2.4368,4.093,0.7196,4.1927,4.9101,3.1374,8.3067,6.7937,3.4601,24.3278,19.1734,31.8591,14.9623,17.0068,5.4711,8.3957,0.0
FIN_C28,63.1831,0.7243,7.046,19.3803,0.6125,110.3167,11.1798,43.6577,187.2324,36.5253,36.9487,8.8834,23.4141,37.5435,57.4805,97.0776,285.655,101.3817,1633.7209,76.1274,92.3371,137.8511,90.4024,65.4356,700.3636,234.117,68.1984,29.3476,29.4098,49.61,9.6325,40.6489,31.8985,30.3387,74.0076,35.4818,21.1809,140.4532,55.9774,237.2803,31.9184,57.5282,21.1871,26.0706,0.0
FIN_C29,3.4255,0.0156,0.2546,0.7532,0.023,2.5081,0.2919,1.0173,4.959,1.1162,1.5255,0.2653,2.1752,0.9002,1.4061,3.1175,8.1285,3.0815,84.2996,41.8573,7.2839,3.0082,2.5142,1.6095,16.8498,58.7155,34.7133,0.7016,0.6629,29.3503,0.2245,0.9883,0.8574,1.9119,2.2772,1.0505,0.5909,5.0834,4.8127,7.7612,0.8688,1.3274,0.6189,0.8635,0.0
FIN_C30,0.0,1.8912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5003,0.0008,0.0,0.1283,0.0052,1.7406,18.6657,1.8798,108.2775,89.5548,0.0,0.0,0.0,1.223,2.5546,51.9443,1.282,2.3006,0.0,0.0,0.0019,0.0,0.0,0.0,0.0148,0.1269,9.9776,134.7747,0.0979,0.0156,0.0045,0.0,0.0
FIN_C31T33,104.1616,1.6384,10.0666,23.5329,0.7588,123.3543,6.724,33.3701,441.5167,24.7146,45.2344,4.1332,24.3564,49.9974,117.4001,73.8108,108.9348,30.8862,166.6078,12.013,25.9495,192.9577,273.5883,146.5095,329.2953,176.2751,69.147,81.8968,72.4591,27.3972,14.135,49.0803,15.2881,34.4428,15.4139,31.4492,4.2739,60.0192,53.9545,87.0457,37.3148,79.7253,26.4559,13.5233,0.0
FIN_D,181.6838,5.362,23.1564,82.7937,1.117,246.3046,16.4017,224.4719,1796.6072,238.3562,468.3928,10.7119,93.3528,144.0327,334.1542,117.3492,75.2371,35.6194,135.9903,19.9502,19.3681,85.2005,357.0941,104.8496,260.0315,434.5654,92.8682,25.0146,21.3756,184.2504,10.4233,138.5995,33.2769,70.4602,43.9868,126.0484,1190.7256,149.8779,128.6198,249.6038,285.1957,342.2596,198.681,345.4436,0.0
FIN_E,2.2573,0.0471,4.9598,12.0061,0.3018,40.7027,3.956,36.1413,86.8691,8.444,25.1564,1.8912,11.5565,12.284,1260.0862,17.2114,27.1179,7.2194,49.8782,1.3261,3.0608,12.6265,7.0228,408.8128,44.671,221.7006,9.5685,10.204,2.7436,5.426,1.2701,96.1756,20.9201,4.3956,31.3104,32.0654,352.545,37.6649,158.8016,117.0118,34.8665,45.41,13.0341,24.9402,0.0
FIN_F,133.2154,0.0184,6.11,16.175,0.4251,88.3553,2.5185,68.1994,320.2145,67.4739,137.2271,7.9557,17.3142,32.9501,88.6824,24.2301,52.6524,40.6333,33.0275,8.433,6.1836,49.9585,315.6284,32.8538,4208.3697,386.7154,288.3397,31.6788,99.8233,177.8961,16.2471,43.3599,9.967,72.4642,12.1934,49.8751,2264.884,57.7205,109.9679,1185.176,154.0258,116.7625,154.5891,15.1556,0.0
FIN_G,690.0579,8.3549,8.8421,31.8865,0.7018,1307.7943,199.4536,475.3111,861.0064,587.5186,327.6593,32.6614,176.2666,154.5019,182.1457,207.0857,595.0669,155.314,516.9713,72.3719,84.1939,232.7355,204.2242,114.0662,1536.8477,1621.3442,1875.4688,124.6205,109.4615,311.8115,17.2942,557.4252,254.574,100.078,118.7465,216.8511,240.426,393.7924,359.9718,627.33,299.8611,661.7559,293.4773,277.0679,0.0
FIN_H49,54.2733,1.0672,32.9631,117.2168,1.7354,409.7943,17.6465,311.6919,1510.1889,94.4943,238.2949,16.6376,63.8391,109.2928,155.6563,63.4739,174.8494,32.0585,198.7327,23.389,10.8657,45.4747,53.2153,14.0384,329.1462,1109.2415,656.0664,16.5337,10.7738,468.2564,213.2693,62.5835,105.1967,16.9567,35.0444,108.2446,32.799,205.425,115.7331,671.1095,357.4497,452.3491,99.4638,228.9766,0.0
FIN_H50,35.9702,0.34,1.7595,6.788,0.1311,43.8825,6.7703,18.8737,52.2263,80.0446,22.436,1.9549,8.3543,10.2048,48.7946,17.6373,72.3136,10.7298,35.8668,4.0347,4.737,10.5153,20.1335,4.3665,53.7008,232.2909,23.7925,81.1803,6.7368,22.7445,11.8061,17.6787,13.9167,2.6811,8.2333,8.8575,6.6138,20.0222,16.3689,36.193,17.3533,27.7573,6.8623,9.7618,0.0
FIN_H51,21.6463,0.4575,0.8715,3.3959,0.0709,15.7375,2.6003,6.707,13.7009,55.3195,10.3235,1.0672,4.5727,3.8414,22.6447,7.4812,22.6869,5.2879,17.824,2.4628,2.7106,5.1015,16.1757,3.7382,64.0389,161.5329,41.2679,17.3407,14.6941,148.5837,38.7542,21.3365,18.5067,7.2975,23.0349,35.7339,11.3618,49.1178,92.8592,67.8319,34.9756,56.3749,18.9646,37.7812,0.0
FIN_H52,6.9947,0.1178,25.5801,69.4208,1.1127,236.176,8.7399,189.5103,894.6709,27.2807,126.7394,10.0014,36.2734,64.679,85.3919,34.0538,106.1195,16.1436,112.4427,13.0234,4.6249,24.8342,6.0877,134.5182,25.146,826.3468,40.0976,42.1286,334.3814,1859.0588,10.0666,18.3061,50.0731,1.4541,16.396,3.1795,3.112,25.7491,21.9108,7.4213,51.7217,19.4265,9.4329,2.1183,0.0
FIN_H53,12.9756,0.4682,1.8561,5.4857,0.1683,44.3168,9.2502,37.9891,24.2678,9.0712,51.708,4.2672,23.1832,19.4844,18.9948,43.4899,90.21,26.9088,147.4691,4.8414,8.325,40.2539,23.1153,5.9671,45.3561,348.7743,21.8942,39.4942,19.947,9.2729,77.5195,19.5852,37.2029,24.8869,27.2027,57.4117,36.0809,53.227,43.5247,125.3011,32.9161,44.7317,24.2685,58.8356,0.0
FIN_I,13.3246,0.3926,0.114,0.2709,0.0167,2.801,0.386,1.4961,4.2402,0.6297,2.2194,1.9089,1.8371,1.9329,0.8456,3.2023,2.4947,3.2465,6.9193,0.4701,0.4132,2.363,4.8074,2.3982,48.5435,309.5121,67.6444,17.1134,85.3885,75.5168,1.7775,77.0644,48.0161,12.1424,28.0784,140.3533,19.7943,81.8136,67.6012,211.9879,340.8198,699.6037,104.4232,100.3458,0.0
FIN_J58T60,18.2605,0.0951,0.9108,2.8759,0.0942,129.3812,8.1109,20.629,94.8673,7.2804,28.5386,19.2812,16.6628,19.9669,16.6163,21.8111,600.0677,26.9973,75.4044,5.314,6.3171,28.1817,37.5751,26.8183,23.5182,454.7484,20.0253,32.4484,45.0796,74.7766,5.5469,129.8099,217.0187,31.0555,142.6544,201.5058,31.3363,170.2612,116.7377,164.9146,128.8267,120.4703,186.0002,72.0243,0.0
FIN_J61,12.7438,0.2845,1.2656,3.5216,0.1188,42.3772,3.0016,20.089,20.9256,6.6007,27.1699,2.6407,12.1579,10.2787,12.9404,25.4159,52.4982,13.5616,84.6731,2.0631,4.6218,23.7413,4.749,6.0745,62.1621,263.2656,51.0784,25.8898,17.1542,28.7239,15.4557,109.2277,143.3357,1148.615,147.4609,251.925,59.7188,120.5233,110.55,333.1778,146.898,302.4646,82.2033,173.8117,0.0
FIN_J62_63,28.9617,0.4243,0.9667,3.0438,0.0828,103.0579,9.3959,22.0436,93.5157,24.6857,28.8197,9.8683,17.8148,16.98,22.0589,19.8848,469.4804,31.0533,109.3112,3.2893,8.9918,29.6951,52.8884,12.3785,62.3315,404.1859,40.9126,16.0267,39.5295,44.5075,25.527,65.6365,143.3477,208.7374,544.4685,387.8121,46.3559,194.5397,83.8037,502.5767,102.2383,81.6115,44.1958,37.4553,0.0
FIN_K,140.9472,0.8533,6.1315,19.1596,0.3635,118.2994,18.9257,90.8909,88.086,62.1474,106.7218,11.9339,55.2645,54.9586,77.4826,106.1117,154.6475,56.7727,315.0804,12.1788,18.8222,94.8601,199.4054,35.9931,163.0521,568.9188,80.9951,77.2861,68.3063,38.2863,3.8234,43.7283,98.0209,49.8869,61.8467,1580.0182,1478.0585,163.6484,105.7913,344.5063,118.539,185.1372,70.5862,110.5294,0.0
FIN_L,21.9137,0.6948,1.6404,9.2444,0.3035,167.2291,12.7661,32.414,72.2461,6.8176,29.4737,4.5966,26.7516,26.0664,27.0451,100.3225,103.8507,29.215,96.9158,15.8089,19.2982,91.7217,73.9283,71.4158,232.5469,1852.7101,126.1655,117.6656,195.5121,185.9439,32.6093,598.8638,109.2053,127.2962,121.1279,292.1333,251.9952,421.1715,205.3648,572.6724,506.4705,612.1197,337.8157,193.9385,0.0
FIN_M,65.5179,1.0515,19.5564,51.1191,2.9485,308.8202,24.6439,93.0802,199.8509,22.582,123.1955,61.271,58.6806,60.4552,61.2499,170.2498,1566.2608,87.5136,604.1199,17.9858,44.8186,119.8109,268.4524,75.028,1351.7653,1445.8751,152.2294,87.7334,91.0947,54.3072,20.6263,159.952,202.6773,207.6415,496.0383,253.2557,160.664,1610.1512,321.6814,694.2615,66.0993,96.6111,78.865,165.7382,0.0
FIN_N,186.9684,0.9119,2.807,12.0309,0.3528,176.1676,15.5034,78.686,80.2759,29.5712,91.5805,37.4162,56.0401,64.9841,48.0063,170.9658,409.8575,93.1158,246.4351,19.1229,38.9031,114.9325,162.2325,67.3279,557.9468,878.1955,125.941,236.0155,123.2518,133.8283,15.1814,318.2136,162.9599,149.1281,109.5587,186.0895,1109.5,353.9443,667.1235,512.4511,257.474,629.7588,163.1975,198.831,0.0
FIN_O,58.755,0.8784,8.3204,20.6041,0.6637,167.0627,21.1183,90.2153,119.366,14.001,106.7216,21.6041,57.4642,53.9672,74.144,139.2229,213.4489,62.7716,390.7762,10.319,23.6737,102.4833,81.5262,57.1582,331.9814,573.7042,147.9308,51.3625,42.4472,68.0676,5.4722,56.8142,125.0481,60.5577,154.7014,154.8413,162.5328,311.0473,134.2256,142.1709,113.57,404.8645,69.6177,176.5965,0.0
FIN_P,3.2593,0.0588,1.112,1.615,0.062,11.9696,1.086,2.4589,5.7096,3.6673,13.0778,19.8563,3.8033,0.8623,36.0288,1.6085,468.1969,20.1816,50.521,2.4672,1.4286,5.5908,21.1842,5.455,9.4609,92.8557,8.5152,12.8238,2.0607,7.2876,1.4434,14.6273,30.2082,6.4851,51.6663,28.7921,12.489,54.9485,11.2476,204.7325,244.5985,159.7445,66.3043,137.3144,0.0
FIN_Q,15.2751,0.0135,0.028,0.2009,0.0072,3.1306,0.2697,0.8413,1.4603,0.1947,1.0046,0.1774,0.6739,0.5903,0.7112,1.8272,7.5222,0.6948,3.0525,0.251,0.3435,1.6547,1.4592,2.2438,4.1819,40.9821,6.5257,16.7631,7.5134,6.0221,2.6555,7.959,32.6053,6.7355,40.6734,28.5623,4.1685,23.1968,8.2895,193.7273,86.4677,2096.053,5.7289,4.8802,0.0
FIN_R,4.7566,0.16,1.7574,3.6547,0.0043,3.6619,0.9065,1.5487,3.1855,0.1456,1.6352,1.2095,2.1293,1.8468,1.1602,3.0888,8.8598,1.9741,7.4972,0.1014,0.4173,2.4124,5.2864,2.878,17.4091,63.2525,15.1933,21.4326,3.5945,3.255,2.4551,47.7337,14.1956,3.6764,9.2519,20.7014,10.3772,18.647,8.9891,31.1654,72.1073,15.7282,47.8285,12.1688,0.0
FIN_S,13.2513,2.5713,0.9151,3.4157,0.0338,26.9673,3.3567,9.2228,34.7273,10.2971,8.4549,2.4138,8.2035,7.7782,11.324,17.9575,76.3104,18.1118,46.1875,2.0301,4.1505,12.0248,17.95,6.5926,34.3694,148.1576,110.028,12.375,11.0613,11.6009,2.4457,125.2802,33.7639,9.7812,45.088,83.4916,21.5087,96.0419,44.0399,74.8756,55.9787,173.2504,41.4712,52.3897,0.0
FIN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
