V1,HUN_A01_02,HUN_A03,HUN_B05_06,HUN_B07_08,HUN_B09,HUN_C10T12,HUN_C13T15,HUN_C16,HUN_C17_18,HUN_C19,HUN_C20,HUN_C21,HUN_C22,HUN_C23,HUN_C24,HUN_C25,HUN_C26,HUN_C27,HUN_C28,HUN_C29,HUN_C30,HUN_C31T33,HUN_D,HUN_E,HUN_F,HUN_G,HUN_H49,HUN_H50,HUN_H51,HUN_H52,HUN_H53,HUN_I,HUN_J58T60,HUN_J61,HUN_J62_63,HUN_K,HUN_L,HUN_M,HUN_N,HUN_O,HUN_P,HUN_Q,HUN_R,HUN_S,HUN_T
HUN_C20,191.7024,0.0666,0.2898,1.4478,0.9289,90.1506,17.5939,11.1626,32.8914,115.8242,242.2312,89.5371,265.1864,44.6251,15.6893,15.4275,42.582,60.1046,28.2156,46.9467,1.4423,23.3512,28.5794,13.394,42.3375,67.3271,20.9024,1.7167,5.6859,5.8609,1.0331,10.6323,3.084,1.2725,1.6636,4.2857,21.5099,21.6304,18.8073,7.8262,8.2684,48.9284,10.0306,10.0329,0.0
HUN_C21,22.5337,0.0426,0.0465,0.1537,0.109,15.8814,1.493,0.9434,2.7248,8.7528,17.7201,87.8213,18.9251,3.7265,2.7964,1.817,9.1314,5.2168,6.2747,16.5503,0.1998,2.2898,3.3843,1.2628,5.95,13.3868,3.3892,0.5764,0.8936,0.94,0.2113,2.2472,0.9566,1.2108,2.796,1.9425,2.5286,9.6369,3.9467,3.0729,1.4452,167.4018,2.0194,2.5331,0.0
HUN_C22,23.0104,0.1096,0.14,0.3034,0.206,98.3164,33.2505,16.1982,41.6223,8.8836,35.5792,18.0673,224.5072,14.6828,4.5716,19.6431,209.4095,96.4144,44.2964,242.6962,2.6878,56.4606,9.7106,16.0051,136.3126,54.8276,27.3585,0.3355,0.6887,7.4174,0.8636,5.3871,1.681,1.7342,0.9483,8.0309,24.5312,15.3091,8.8206,2.5818,1.6408,20.8838,2.2861,2.8085,0.0
HUN_C23,11.9202,0.0815,0.0542,3.9424,0.8778,33.7785,3.3985,7.247,1.6395,2.575,7.1996,8.8049,10.975,155.8288,15.4049,5.3235,19.9874,24.6906,36.345,88.7333,1.0336,8.7087,10.6275,6.0808,615.1105,47.8454,3.5538,0.1397,0.3642,4.7696,0.1576,3.9894,0.3768,2.337,0.6592,1.3457,99.1553,13.5289,5.4874,1.5725,0.7081,5.982,0.6545,1.1729,0.0
HUN_C24,4.9317,0.0187,0.216,0.3556,0.8448,7.7035,0.3296,10.1546,6.2727,6.5953,9.5828,4.2723,15.6051,17.9532,256.5996,180.4915,28.0579,196.8138,139.1378,128.9226,11.3462,25.2821,6.6739,6.2001,100.9382,35.5614,15.5738,0.2782,0.0169,2.3318,0.001,0.1539,0.0231,0.0688,0.2359,0.0346,10.8253,34.7349,10.2216,0.003,0.0335,0.4801,0.075,0.8715,0.0
HUN_C25,9.4208,0.0417,0.1453,0.6072,0.4292,66.1907,6.1417,12.4734,7.6109,14.4735,14.545,7.5687,58.5043,10.9357,17.5768,295.7681,66.0017,72.6412,195.17,384.9684,9.2947,59.2462,36.5667,9.7264,304.3105,63.4219,16.7405,0.7703,1.5246,17.0621,0.6438,2.0889,2.1148,8.59,3.6118,4.5723,37.7038,14.3533,11.1374,6.2681,8.4306,14.2983,5.4096,2.7597,0.0
HUN_C26,4.8212,0.0467,0.1894,0.4589,0.5776,14.0395,1.2594,1.0992,3.8919,4.92,4.653,5.615,9.5151,3.1631,2.6813,13.4652,1648.1551,73.6857,35.9166,169.5606,1.0906,34.0975,16.6409,5.6955,38.2454,70.3317,12.9634,0.8892,2.3594,9.3669,2.7963,4.0125,6.3838,19.4537,28.3934,28.6252,18.4732,28.9557,15.9453,16.6583,10.3595,18.6394,6.1502,8.6947,0.0
HUN_C27,5.9032,0.029,0.0652,0.2623,0.1571,10.5915,3.031,1.5678,4.4222,6.8069,5.5976,2.451,11.0924,2.8952,3.2522,23.1896,215.9896,69.7544,50.283,134.1145,1.8946,11.6192,13.1619,3.538,64.623,24.3693,7.1711,0.4992,0.8822,3.5549,0.3434,2.4378,0.793,6.0122,2.315,2.0343,11.2646,8.6794,4.0997,4.3284,1.2124,3.1529,1.3843,1.5614,0.0
HUN_C28,41.5987,0.1924,0.3814,1.7097,0.6796,59.9306,7.7737,6.0133,17.2496,51.3881,29.5691,12.2761,22.1129,13.5057,15.0873,34.1973,105.842,45.0678,130.0448,440.0976,3.5604,22.7596,52.9105,9.6193,82.6248,105.2429,35.6825,1.6209,5.616,21.0893,0.9043,15.0205,4.1446,7.8222,5.2188,8.1083,22.9394,20.1959,12.076,7.6824,4.5539,12.582,4.3059,4.9618,0.0
HUN_C29,13.3895,0.0855,0.2403,1.1129,0.4255,18.3454,7.3234,2.4717,5.9794,4.8807,6.4593,5.0169,22.6863,15.5039,6.142,36.6119,162.7351,40.926,77.2118,1161.5881,2.5233,16.8144,14.8034,9.7611,99.0096,145.3829,49.0879,1.6617,1.1519,11.2298,1.3431,2.2463,1.7096,5.4855,4.7416,6.6748,21.6492,19.1041,15.4495,5.1929,2.5964,5.4514,2.9568,5.3047,0.0
HUN_C30,0.5462,0.0072,0.0156,0.0128,0.0,0.5967,0.1377,0.0711,0.0306,0.0081,0.0034,0.0186,0.4622,0.0248,0.3291,0.8721,0.0798,0.3987,10.4578,0.7565,51.9855,13.1363,0.0907,0.1335,3.2434,14.2241,9.7798,0.0751,1.6861,7.9529,0.0908,0.0714,0.0418,0.0,0.2145,0.0,0.0732,0.5533,13.0545,0.9678,0.2292,0.4984,0.3204,0.2717,0.0
HUN_C31T33,5.464,0.1077,0.2325,1.9288,0.8296,26.1209,13.243,6.1542,10.254,71.0218,32.4052,14.3738,22.1547,8.7744,9.9564,13.9042,45.0795,13.4593,75.8814,78.61,1.4906,85.3495,134.2263,9.5889,56.5693,39.086,106.3677,3.0559,10.013,68.0664,1.2623,2.9573,4.139,18.4488,4.8855,15.2855,16.4641,13.9478,15.6658,8.96,17.8329,160.7197,6.6709,5.0872,0.0
HUN_D,194.0907,1.1797,1.1321,8.4739,1.2289,224.1487,18.6025,32.7997,99.6884,106.8039,293.8071,75.3711,114.4039,128.9267,151.4791,55.1393,133.2889,42.8071,106.5517,159.63,8.1221,37.1782,479.9102,114.1701,82.5805,568.2259,104.1851,2.6505,2.9122,135.9255,9.0707,179.6228,21.2932,60.5688,28.8867,46.5204,207.0363,110.3998,49.7588,242.96,142.3513,131.6818,98.4075,45.7563,0.0
HUN_E,32.0984,0.1502,0.3625,1.1645,0.7611,67.9944,4.6589,13.5655,80.0295,36.4766,32.8092,26.614,19.6469,15.2873,138.955,9.6342,13.1143,5.6904,16.8511,30.047,1.2953,6.8203,40.0932,245.9266,43.7694,152.7987,11.5465,1.4722,0.8312,14.219,1.6306,40.7738,4.6479,5.5755,3.2245,12.9167,60.5161,20.9968,21.1199,77.2199,34.709,60.7358,33.0344,21.3423,0.0
HUN_F,12.5268,0.1147,0.2072,1.4772,0.4134,17.9439,1.5595,1.3568,4.3075,17.5243,8.5006,3.9171,6.2339,26.32,4.0552,18.9857,14.3534,5.9965,16.3682,21.9541,1.0987,14.0614,99.2878,46.1879,524.7748,58.7038,22.4621,1.3153,2.0482,166.5665,2.0431,19.443,6.7409,24.8876,5.4464,29.0784,273.0029,32.7464,14.0664,221.0484,61.8192,33.4071,27.9745,17.5045,0.0
HUN_G,594.6032,2.5019,2.5604,6.5761,2.4265,918.6072,77.2344,55.8548,152.9567,399.2553,297.1854,117.5106,183.3677,94.1155,109.7107,117.0688,323.3594,117.8683,198.7,436.1189,15.6454,108.0291,221.7914,61.5262,364.1653,892.0064,336.2183,15.9771,66.3272,93.8106,33.1545,349.0942,59.1215,61.685,48.4746,95.7297,156.0087,165.5051,183.8612,101.9261,64.7169,199.8044,57.0834,64.4235,0.0
HUN_H49,84.4481,0.5929,3.1581,10.852,2.7689,178.6345,12.1213,9.746,32.7529,109.7785,55.6413,12.7988,38.3277,57.0006,32.8228,36.9523,105.5742,36.149,68.6721,119.6222,3.7921,22.7962,220.0202,28.2042,173.8366,572.8887,80.4139,6.6079,14.7893,27.2859,12.6895,29.9751,14.519,18.284,11.6473,21.1045,27.2019,45.8348,73.4981,39.707,43.6916,66.7372,15.6389,22.8261,0.0
HUN_H50,2.3896,0.0089,0.0301,0.059,0.022,3.3737,0.5085,0.3382,0.9538,7.3354,2.2408,0.6416,1.4952,1.2111,1.8201,1.3168,4.6966,1.4924,2.0179,5.1185,0.2877,0.7895,2.8052,0.3472,3.619,5.3213,4.3486,0.5926,2.183,1.4403,0.074,1.0383,0.2842,0.1808,0.1808,0.1967,0.8568,0.9422,1.1209,1.4085,0.3519,0.991,0.5834,0.4195,0.0
HUN_H51,4.474,0.0118,0.0297,0.1011,0.0223,5.5791,0.8364,0.5869,1.8375,14.9225,4.1878,0.5139,2.3498,1.4975,3.3473,2.3059,4.2348,1.7776,0.1453,8.077,0.3511,1.0632,6.1233,0.3643,4.44,2.5429,3.8027,0.2222,1.8752,0.8739,0.1179,1.464,0.2577,0.1626,0.1111,0.3541,1.0113,0.4197,0.3209,1.3221,0.098,1.4822,0.2223,0.2991,0.0
HUN_H52,42.5514,0.2762,0.2031,2.0232,0.3124,103.4711,4.9869,4.39,10.4171,20.8508,14.0671,5.4623,16.7598,24.2445,6.6358,16.1831,42.6846,6.7487,21.3134,50.5889,1.4819,11.0483,21.6687,16.8132,95.5809,407.5662,689.1721,17.3732,350.0097,135.5406,9.5611,16.5842,10.4015,11.6364,7.0746,8.1114,19.8804,26.9269,22.3664,231.8518,7.6719,9.7934,12.026,19.3956,0.0
HUN_H53,11.8466,0.0693,0.1099,0.2885,0.0884,12.8138,1.6143,1.0386,2.4937,3.9057,5.7209,4.805,3.9127,2.5281,1.3322,3.386,9.995,2.5814,5.8511,7.57,0.275,2.7387,13.894,7.4461,15.2273,64.9003,13.2087,0.5802,4.2754,12.179,19.9123,10.1771,30.5644,29.7804,3.2133,114.2753,56.1378,26.6358,14.7407,106.9009,15.3787,20.9323,14.7002,11.3294,0.0
HUN_I,1.4508,0.0218,0.8689,0.6379,0.4875,6.9513,0.8783,0.4045,1.2867,0.896,1.8824,7.7441,2.4939,1.4116,2.0434,2.3977,11.3217,1.7845,8.5609,9.0013,0.4707,2.3163,2.5989,0.8115,14.2134,29.8484,6.9025,6.2652,2.1511,7.9996,1.2481,155.768,2.9546,2.0399,8.8063,7.2094,4.7102,34.2149,190.2706,50.0518,17.0921,59.4261,8.9927,44.595,0.0
HUN_J58T60,4.6725,0.0775,0.0249,0.1597,0.0547,50.7403,1.1584,1.0971,7.8997,3.0156,7.9497,20.4079,9.4405,2.3116,0.86,3.2304,68.5752,4.3561,5.2024,13.5479,0.4359,4.6588,6.588,3.4132,8.3666,140.4317,9.1727,0.4802,1.7836,4.7791,3.1574,17.531,371.6444,61.8404,10.338,19.4898,32.3089,89.0818,46.4181,20.5615,64.408,6.9573,71.3045,54.6835,0.0
HUN_J61,13.0923,0.3731,0.2492,0.5323,0.1886,27.5791,2.7378,3.4349,7.2462,7.2234,8.0924,6.6412,11.327,7.3146,4.032,9.7631,17.9788,7.6927,21.0226,14.4685,1.1126,9.0328,13.6508,15.4055,48.2366,128.7539,55.5706,1.4812,2.6864,14.9536,5.9446,23.7532,53.1463,95.7072,43.808,61.6873,36.8919,81.6767,43.2343,85.3353,38.4922,43.6052,61.9189,41.7557,0.0
HUN_J62_63,8.9607,0.1105,0.1978,0.7143,1.1746,54.6658,2.6781,1.6648,7.122,5.3448,8.211,12.814,11.8087,8.1599,11.9351,9.7381,96.0792,21.0631,19.6537,39.9131,1.3681,7.9798,79.0467,20.7133,43.2836,249.0355,50.6205,2.0258,10.2643,35.2259,11.2628,16.285,55.3133,88.0665,189.0625,209.6732,46.3457,100.3135,58.6973,95.8103,25.5768,29.258,25.3128,13.1814,0.0
HUN_K,165.4528,0.8338,1.5984,5.0135,2.4298,113.1478,13.2138,12.7952,26.0047,67.7813,55.9322,40.4477,49.0732,24.3012,21.7607,50.1487,74.1946,32.2661,68.9826,70.4412,3.9373,32.1974,99.2446,43.9314,252.2378,713.7851,149.3467,7.9281,31.2547,122.0934,11.4331,138.0226,27.9347,40.4817,55.2736,1697.9193,1247.3109,253.919,151.6511,267.908,29.128,52.5296,28.3203,71.8509,0.0
HUN_L,42.8706,0.5354,2.0096,2.3269,0.1606,117.1595,10.8971,10.752,27.0168,13.1309,23.9744,17.8914,47.8842,19.6481,8.9724,40.2702,76.1274,21.9335,75.8704,77.6491,6.7862,34.7977,93.1166,86.3071,199.4573,947.0226,122.9583,12.4143,24.9373,93.9485,10.6438,180.1319,76.7205,82.2431,91.4685,166.389,228.9599,318.5849,150.781,364.9997,136.1861,146.3545,151.6207,158.065,0.0
HUN_M,77.1857,0.9459,1.8834,14.903,9.1242,248.364,15.8135,11.0343,29.4833,51.8347,51.4159,111.8696,65.534,43.3685,19.0342,56.6154,144.8899,59.9304,70.774,370.824,10.4636,48.2976,281.121,62.4332,352.1097,1408.0651,90.3643,20.2575,21.8411,66.8003,8.9955,80.742,67.3221,167.7521,126.6325,239.235,391.6403,844.129,227.0795,157.3333,42.6769,67.728,85.6951,59.0892,0.0
HUN_N,24.9089,0.5123,2.7995,4.1492,3.3871,128.2974,17.9293,10.3961,38.4899,21.8449,30.2375,104.59,56.3042,33.9755,26.6314,58.0167,426.0415,64.1948,102.3629,206.1194,8.3218,30.2798,148.4794,45.7462,124.8002,546.5059,110.8169,12.6778,37.4984,71.0874,17.4672,69.0135,41.3653,80.9813,77.1163,239.1177,188.8885,177.0799,192.8028,80.2453,43.2789,71.7957,83.3839,39.5943,0.0
HUN_O,14.6485,0.5065,0.705,1.4623,1.1764,28.0305,2.6804,1.5033,4.6436,7.1357,6.2182,1.3252,7.6937,4.5433,3.3051,7.1672,18.1721,6.1603,10.6738,24.206,1.1185,4.8734,38.4573,40.2048,30.9403,161.905,90.8785,6.1979,21.4195,32.5218,2.8186,25.0626,9.5382,79.8326,16.6321,96.1225,39.4927,63.2308,29.745,175.2552,12.2497,7.2595,24.4197,42.7731,0.0
HUN_P,3.6305,0.0418,0.059,0.0725,0.0977,8.9642,0.8218,0.7907,2.4009,2.4805,2.5749,4.4019,7.0339,2.4146,2.0387,2.5015,10.9472,3.3807,9.0519,7.0463,0.9328,2.4021,6.4614,4.078,10.113,53.6669,5.2198,0.0895,4.2307,4.6608,2.4279,5.8459,2.8119,8.4484,11.5136,31.3278,8.0876,28.8916,13.1707,37.9041,213.0256,9.2805,1.6782,16.2716,0.0
HUN_Q,0.6393,0.1195,0.0202,0.0478,0.069,7.2707,1.7397,1.0034,1.6428,1.9488,3.3064,8.516,2.9365,2.0779,3.3857,2.4878,4.4757,1.8242,5.0219,5.5313,0.4513,5.2267,6.0839,3.4123,5.9897,41.9131,15.4317,0.4929,0.685,3.5206,2.7059,14.7344,1.1955,0.9469,2.5801,6.373,3.6962,6.9683,8.2124,2.2404,3.4525,295.9831,5.3139,15.363,0.0
HUN_R,1.1952,0.0142,0.0221,0.2051,0.0309,3.6928,0.4389,0.3125,1.158,0.9057,1.1579,2.0792,1.5781,0.6606,0.3235,1.7894,4.0532,1.0561,2.1074,2.717,0.1455,0.7566,2.3972,1.3182,4.6937,17.8177,3.9772,0.8656,0.2152,2.723,0.4306,4.4485,14.6508,2.0989,2.2107,5.6296,4.1765,7.3804,28.9378,2.9988,0.6775,3.0546,99.9562,9.0031,0.0
HUN_S,19.1217,0.1793,0.1157,0.3453,0.0733,20.9239,1.7915,1.2334,4.196,4.5333,5.2759,14.4812,4.6171,3.0411,1.9319,4.6975,6.7494,4.8778,8.4888,7.3193,0.6834,5.5546,15.5073,17.2032,22.9036,127.0472,19.4994,0.8919,3.2872,28.3193,3.522,26.9301,10.1187,17.4171,26.9975,37.2324,38.799,56.5993,36.9393,38.9188,19.2837,23.9407,24.1965,14.8007,0.0
HUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
