V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T
NOR_C25,20.255,44.885,79.0253,17.4346,84.2449,93.2153,6.1998,49.4956,21.3741,6.9598,31.1081,1.2865,6.9902,50.2614,177.0125,805.6465,113.6219,33.6202,492.954,25.259,531.0634,233.5903,26.3352,43.8567,499.5825,185.6433,41.6429,97.3828,18.531,494.2473,2.2268,20.2476,22.925,25.9364,22.2128,12.8181,29.3256,78.9393,64.9738,88.3127,18.582,75.5738,30.0617,25.0837,0.0
NOR_C26,3.2004,4.9592,13.3576,3.5504,10.1705,10.4561,0.4683,3.1735,5.1129,1.6272,5.4207,0.6556,0.8097,5.4772,3.483,20.4405,145.0936,18.214,41.8093,0.8052,14.7826,34.3847,8.2894,10.9628,52.2817,121.98,8.0215,14.5123,3.3572,8.8264,2.2841,2.6497,38.1754,24.2313,27.2229,8.1748,30.2996,294.1363,83.8487,47.2839,26.8547,93.0612,16.6615,13.9162,0.0
NOR_C27,4.0133,6.5607,11.9661,2.8797,11.2306,10.5641,0.7113,3.8935,2.4908,1.7641,7.1939,0.3133,1.4401,3.1443,50.8071,15.766,49.3336,89.7115,47.5047,1.3311,42.8474,60.1513,7.14,4.5423,441.7934,108.243,32.2437,14.6245,4.3663,153.6734,0.6844,10.4403,4.7366,4.371,5.7787,4.7078,14.1086,35.5448,25.4229,29.8308,11.6612,24.7767,26.7904,18.2484,0.0
NOR_C28,19.9135,61.1352,208.1109,42.0661,176.6581,67.9281,6.6947,25.7268,25.5311,7.7555,27.7837,5.1743,6.0493,41.5887,37.9678,108.3645,33.9084,13.3586,1291.4902,8.4408,373.8614,146.1747,20.5884,24.4058,405.6911,400.4252,63.4861,179.4056,19.2381,494.5568,3.8804,6.542,28.8967,28.2837,49.9789,22.0212,55.9176,139.5231,247.3064,50.9484,14.4197,48.3527,50.5097,13.2929,0.0
NOR_C29,1.2674,2.5483,4.769,0.9737,5.2737,5.9461,0.3027,1.6242,1.3541,0.8204,1.9344,0.1462,0.4498,2.1142,4.7144,12.2641,2.4692,1.3501,23.1755,6.8339,12.7999,6.2006,0.8917,1.4204,14.3245,130.6072,9.7669,5.4584,1.2363,11.6893,0.2625,1.088,1.2579,2.5432,1.6031,0.8709,2.0785,5.3483,4.7334,3.9417,1.0326,4.93,1.5684,2.443,0.0
NOR_C30,0.0591,1.3557,0.9767,0.001,0.2085,0.4397,0.0322,0.2346,0.137,0.0386,0.291,0.0172,0.0895,0.1085,0.4999,9.9366,0.2127,0.0407,2.2087,19.1512,1128.265,308.7277,0.5386,0.6876,1.104,1.5684,4.1402,2.4759,7.3987,0.1794,0.0022,0.109,0.4854,0.0365,0.2958,0.0,0.137,2.046,0.8113,0.263,0.221,2.7122,0.2553,6.4459,0.0
NOR_C31T33,27.7265,97.323,203.0177,53.6166,99.6765,220.1012,13.9651,85.3242,84.7566,23.5057,86.1647,4.7129,18.5972,143.7129,88.0458,188.5544,97.9411,39.4628,369.8699,19.065,307.3998,303.9277,18.2436,44.9182,326.6379,249.7227,180.3658,325.3832,66.7079,154.3934,7.9115,23.7041,29.2548,98.8769,28.6561,57.4659,100.3561,199.9628,108.3573,68.71,25.9054,118.8684,81.0427,40.9088,0.0
NOR_D,190.8077,101.8553,68.2955,67.9299,169.286,286.7277,9.2448,82.984,283.0815,93.2304,469.591,18.8636,34.8693,94.7529,926.3285,89.5507,20.4115,19.775,63.1935,20.5954,47.1681,79.2657,530.1248,94.1848,181.3548,671.4639,68.6144,27.7702,9.903,49.9807,15.5462,188.8919,42.2995,38.0105,28.2501,71.7696,525.3231,128.8626,71.7188,767.2807,402.0132,406.6207,131.951,178.8202,0.0
NOR_E,3.2795,54.9051,22.9849,5.8001,31.5256,34.7844,2.1345,9.4051,151.2357,27.5292,136.5932,5.5897,2.8662,41.7727,307.9669,18.138,9.884,11.9842,18.2996,6.7576,13.5897,23.9833,30.5742,746.5805,352.7585,526.1819,24.7573,42.3494,20.1046,167.6565,4.6626,95.0114,55.0465,15.1253,62.4262,19.4722,646.1667,222.8229,99.5752,223.9399,125.5289,151.5667,54.722,46.448,0.0
NOR_F,261.2965,83.1796,24.099,10.3889,163.2821,113.2382,3.479,21.8791,21.8675,18.1135,21.4881,3.604,7.18,30.3969,29.5688,54.418,14.7515,8.651,68.1239,8.2061,39.7491,33.2355,77.3526,275.5749,10122.5746,340.2949,51.59,19.7605,88.7442,215.7893,8.1098,234.4646,27.8497,763.0227,27.7299,260.8612,2686.3583,88.7331,75.0005,4530.9682,348.4739,580.6747,172.766,61.3351,0.0
NOR_G,453.2013,580.0703,202.7473,60.8797,372.3147,2385.8531,140.3432,288.479,276.9017,339.6517,646.1307,32.8292,116.0806,233.8708,477.2056,432.4596,279.1507,167.3446,657.0851,51.6337,397.3012,433.6918,155.5067,323.6485,3257.3478,2302.2223,1061.1094,648.5201,220.6805,799.8165,122.8849,501.6363,389.2692,166.2773,383.3699,158.6136,770.9492,1267.5748,914.8163,735.572,364.0234,1148.2336,364.7646,289.0472,0.0
NOR_H49,42.7166,46.7476,54.0011,40.0908,212.4129,452.83,15.1172,93.5022,80.0731,219.0543,173.969,29.0609,34.4797,133.3797,163.4388,82.2753,33.9215,29.5953,116.0012,17.0686,60.2736,77.0996,14.3673,72.2814,570.0838,982.9099,484.3716,61.5832,18.6528,92.9566,86.1407,43.8079,270.9357,31.7643,56.0356,34.2559,97.0455,163.8635,220.6238,229.7245,234.4868,215.0198,34.8035,42.2812,0.0
NOR_H50,13.0184,15.3738,62.8534,8.4122,38.9306,94.9816,5.1283,17.5169,19.4876,28.5878,45.0108,5.6614,7.8887,21.6259,46.572,29.5023,14.6654,12.4901,45.0545,5.7089,38.8722,35.4394,14.7239,25.3862,159.3106,215.9147,160.5726,854.0267,19.0988,46.4947,12.1723,28.5595,39.6231,11.8704,27.0875,14.4654,45.9574,107.1188,90.8608,72.4509,24.8182,62.8234,19.6232,18.9002,0.0
NOR_H51,6.3385,6.9574,32.9388,6.2877,17.5185,43.4462,2.0606,8.2743,10.2572,29.6589,24.7391,5.7012,3.3899,10.6356,25.8861,19.4462,11.0115,7.0233,23.7655,2.9186,20.122,20.8017,5.5499,6.2166,78.2584,125.0868,23.0425,13.3214,49.6478,28.8321,27.1396,8.6579,20.0784,7.0384,26.563,29.3216,15.3399,70.97,555.0075,87.4141,24.046,46.4961,19.2086,19.591,0.0
NOR_H52,28.6288,17.1526,13.8721,10.6908,88.8821,140.7377,4.6836,27.3715,22.305,42.8195,45.7519,7.5687,9.215,37.6919,44.2266,31.0546,10.6838,9.6091,39.3724,10.0437,18.0644,22.542,6.0091,69.0732,460.0495,631.6156,440.7207,1651.225,265.4583,73.4343,48.0597,41.9478,87.6782,19.0122,40.4642,27.0755,123.0836,93.5161,179.6288,165.3044,37.6699,105.6894,19.069,28.6243,0.0
NOR_H53,6.2417,5.4162,15.3547,6.7075,12.6369,31.931,2.2084,6.5064,5.6059,17.7895,12.6023,3.6511,2.3066,6.7249,9.4971,14.2061,7.1931,4.9795,17.5228,1.8189,9.9459,13.8819,51.7061,32.5397,70.6092,344.4706,21.5946,27.351,7.2787,52.0983,55.147,20.9482,313.0221,19.6489,61.0339,190.6924,92.7127,316.445,114.0055,152.0241,42.3573,92.3339,48.4302,28.901,0.0
NOR_I,4.2845,7.1017,63.9528,13.1513,36.0847,91.5803,4.9525,16.8681,22.6979,95.186,50.9284,12.9849,8.3442,22.304,46.0655,49.7937,30.0987,18.2364,128.086,6.6888,35.7885,53.9688,45.0048,8.2735,123.6647,242.4702,41.8375,162.8037,80.9134,42.7857,7.4657,229.7297,69.6915,68.61,89.0511,194.4109,23.5952,195.1154,898.148,307.1554,80.1856,217.1328,70.6626,43.3536,0.0
NOR_J58T60,6.4847,3.5465,21.5915,4.351,20.1996,33.2755,1.9781,6.2944,14.6469,13.8276,11.68,2.9401,2.943,9.8333,9.6794,14.629,6.1394,5.0754,13.7399,1.8112,9.8382,16.6989,39.2989,29.8912,89.427,1200.75,41.5284,39.2705,44.6067,51.1762,13.3026,77.66,584.1411,252.6133,787.3675,210.6981,202.2941,1066.0497,371.1802,284.0855,377.6972,150.1396,128.3501,184.2008,0.0
NOR_J61,21.4825,11.0459,29.172,12.3153,41.6032,56.3718,3.6978,10.9473,9.6082,32.2809,21.3992,6.5278,3.9376,11.7642,17.0877,24.0072,14.4944,8.4389,32.7603,3.037,19.2031,23.7003,85.8881,54.0664,124.9272,572.1656,177.818,549.7897,12.9949,90.6401,10.6899,36.7957,77.0831,2838.8126,102.1204,143.8643,154.8074,524.2124,192.0099,241.8033,68.0923,149.4154,42.5668,48.4443,0.0
NOR_J62_63,4.4369,11.6248,44.6159,9.9394,39.2724,74.184,4.6827,14.5659,14.7052,39.5953,28.2337,7.8394,5.4005,16.9605,22.1703,32.3154,14.7436,11.7356,37.666,3.8654,25.5594,33.6214,160.7428,70.3836,159.0804,649.9831,61.3457,58.3477,23.8325,102.4775,16.4369,50.5488,111.7185,443.1847,192.3426,1237.3966,174.0282,599.5805,241.157,576.1575,109.1095,184.8315,75.0271,55.4879,0.0
NOR_K,77.109,70.2178,262.0569,40.6178,279.0021,349.6946,12.4223,64.1816,81.2089,290.5164,156.9703,58.2777,26.417,78.4296,167.3482,155.8644,81.2835,52.0671,178.355,19.2406,161.0238,161.8794,142.4012,219.4459,507.9482,496.3703,168.9455,373.3766,133.8567,115.1044,25.7634,113.8584,159.645,109.0415,232.2329,4501.593,3237.3685,478.7029,266.7364,1162.5635,325.9494,773.8855,188.0024,199.557,0.0
NOR_L,17.776,0.6307,25.5264,9.6344,35.8916,226.691,20.0452,53.1139,70.0922,22.3677,34.0446,4.4941,28.882,50.622,26.9427,160.8811,56.4503,38.7489,88.5256,20.0316,77.0999,173.3671,53.4126,70.335,506.4757,3662.2073,93.6583,0.4906,22.9526,249.5423,49.9891,731.3751,174.9461,179.2623,199.8815,392.6796,1437.3826,646.376,393.1604,852.596,310.7374,551.3919,284.0585,233.2423,0.0
NOR_M,81.6678,114.6327,349.992,46.9362,630.7607,156.5643,9.9299,29.6521,28.3645,95.7425,61.7808,18.6235,10.9184,32.5474,50.8904,66.1818,33.8334,23.2664,78.6915,8.1398,58.5304,66.4926,241.8017,151.6301,2933.6653,1589.0836,153.8703,126.9474,47.958,284.7004,29.8318,280.9494,205.0552,429.8578,300.0393,393.2856,442.9955,2176.6565,685.8972,688.8829,179.6585,387.633,180.2269,220.2823,0.0
NOR_N,19.3856,30.6085,245.1285,36.7548,362.8634,381.1184,16.3546,59.646,87.9801,114.3781,118.1684,22.883,27.8758,95.3784,96.2349,149.043,51.2437,58.1003,130.3238,18.1475,102.0492,182.9417,211.3221,226.9002,843.7153,1583.3131,423.317,196.1867,178.9663,316.8644,108.1098,338.243,310.917,194.5899,387.306,207.4562,501.4986,1592.4561,1168.836,778.8014,392.7913,548.4722,172.0568,209.2434,0.0
NOR_O,7.9169,3.3325,142.2941,7.4921,25.9827,133.8143,7.3102,25.0864,36.1397,157.1727,85.8958,31.4302,11.346,36.5228,83.0378,77.4222,45.9226,26.0684,69.8787,11.0246,62.7586,82.5955,13.1297,169.3139,449.9506,22.0389,104.6783,341.819,40.7322,23.995,2.3081,7.0728,79.2197,27.2729,152.3622,49.4922,80.5545,191.4407,81.5893,533.1595,152.3026,340.435,200.2238,142.6194,0.0
NOR_P,1.1718,0.5218,18.5019,1.3378,17.8232,21.564,1.2731,4.0001,5.7939,26.3013,14.0121,5.0263,1.8861,6.0324,13.7442,12.4679,7.3822,4.241,11.2584,1.7944,10.3745,13.56,2.2168,32.1633,57.8679,3.7106,2.6965,28.8586,8.5877,4.6156,0.4425,1.2218,13.7411,35.3354,27.6743,8.5026,13.6922,55.3652,22.6306,178.1041,122.2354,167.339,123.0817,25.257,0.0
NOR_Q,3.5911,2.5743,10.708,1.2933,12.7873,14.3198,0.7276,19.1548,10.8504,11.081,7.7138,2.153,1.4493,4.3661,10.2058,21.1005,9.7077,3.9041,16.775,1.4034,15.8018,14.2782,2.1391,14.2852,71.4973,17.7465,5.3278,16.9227,3.7542,13.0841,0.4051,2.078,18.1637,9.9894,12.406,3.9645,20.5928,29.0484,11.6025,97.5544,12.4791,49.379,18.3328,11.8887,0.0
NOR_R,2.7734,2.785,13.8887,3.7654,4.7695,26.1057,1.5704,5.1907,6.0855,18.3553,13.3278,3.4979,2.1815,5.9714,12.1434,12.1369,6.8431,4.1429,13.3496,1.6064,9.9655,12.263,3.4548,19.6986,31.0661,28.0926,6.4263,22.4516,6.6532,10.2003,1.1397,6.4637,25.2979,4.9187,20.196,7.9959,18.3999,37.0124,19.2066,67.8973,22.1142,41.5183,170.7576,17.57,0.0
NOR_S,12.9185,10.3564,34.4172,17.4745,18.1753,62.9742,2.7126,15.4121,14.4695,35.88,25.512,7.078,5.2392,16.1749,27.2806,26.4269,14.9701,9.4579,25.6144,3.602,25.4662,29.2294,15.9309,39.6019,124.7162,157.26,25.0442,39.983,12.2358,29.7319,5.3611,63.2638,38.8492,10.7539,44.1253,231.3572,52.1248,120.7668,56.3747,166.8188,119.0044,443.2838,38.2644,65.7831,0.0
NOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
