V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T
USA_C20,20300.4535,0.7767,4104.1784,1037.7831,973.2814,6286.372,6712.655,1404.6056,12497.651,5609.5425,113292.2592,6734.9646,34325.0156,3324.9932,1644.6719,5429.4405,2772.2559,1812.2515,2974.5428,4685.1487,1248.3949,5714.2968,1065.275,572.5337,7765.876,2583.32,358.5241,20.8761,73.0245,642.4987,164.5579,1160.1756,589.1797,674.1671,360.1975,239.5067,4217.7888,6953.3996,4228.8051,20447.8583,4029.1747,7550.7893,320.2456,2179.3494,0.0
USA_C21,1109.2344,0.3374,68.3783,18.9236,20.1313,862.265,102.4089,68.8779,222.2771,87.662,1305.8618,10280.2426,421.8218,71.9745,109.2661,153.2727,177.9001,67.4909,169.4053,211.7911,76.6337,161.9506,89.6454,18.2955,536.4635,628.7266,33.2619,5.2623,18.3063,16.3386,11.3661,144.6051,49.9989,102.149,53.2331,64.7149,75.4256,1969.3095,133.6142,1276.38,144.2256,17858.7501,262.4611,70.3797,0.0
USA_C22,1116.0431,0.4818,432.5763,415.0556,406.0931,11143.4728,478.6268,508.5884,2673.2237,150.7583,5814.2852,1434.5134,9119.205,836.5276,1195.6774,2282.5703,1658.6328,1037.7905,4242.2006,11422.6357,1867.6748,5588.7885,28.6466,201.7247,18113.0434,11340.6967,493.7158,7.8164,9.3006,343.8954,1367.9823,3253.8984,1091.4078,2375.2606,574.0156,445.7784,669.4645,3385.6428,1530.5236,8692.2169,1227.3754,7023.7354,154.7674,824.9272,0.0
USA_C23,104.246,0.7624,502.104,183.0793,330.8747,3365.9197,166.3258,428.9906,432.6449,23.3988,1104.3835,311.3688,898.442,8215.6312,2284.5255,842.8195,410.7816,1052.5162,1429.7219,3785.4714,215.0746,744.6179,36.8332,134.6494,47675.1979,1013.8167,49.6764,2.1713,3.2655,87.8369,23.3793,1170.3257,138.5504,1447.5542,426.7752,75.9507,181.7602,2203.603,714.2882,5243.3329,436.4221,2695.2036,87.5311,453.9544,0.0
USA_C24,85.2408,0.0,4393.2358,373.4041,373.5568,3443.8599,217.5381,283.7015,576.1665,0.0,785.059,0.0,994.3775,539.1422,61665.5902,47933.4539,3463.0727,9545.5237,23369.5929,20028.178,7529.313,6606.5851,644.4371,297.3172,5211.2501,1652.0419,675.5767,0.0,0.7698,159.1292,4.3113,80.0253,1450.5967,621.72,187.2706,1.0558,468.7403,1062.1006,326.2641,1187.7567,115.4214,310.0891,161.0006,177.1296,0.0
USA_C25,1617.4449,20.9852,1150.488,446.2937,722.2228,10698.9999,608.8414,1660.6148,4180.4529,249.2651,5741.6987,356.7584,3835.222,1899.6289,6599.3113,23623.5292,5464.7905,5063.0571,14288.1033,37360.0409,5240.1474,5126.6419,224.5481,1083.0461,47313.9736,5472.45,1386.7927,1096.714,146.2323,415.4005,738.8536,2238.4483,1297.3302,3705.8432,1483.1134,712.6135,1027.3573,4238.5458,1862.3079,9788.5956,848.2283,2187.0998,602.8046,829.6258,0.0
USA_C26,159.9141,0.281,54.4655,13.0164,139.2484,1117.2914,249.2531,220.8391,839.7791,65.1649,1856.1866,89.3542,718.1995,388.5392,977.154,1421.3588,18677.6927,1389.1813,2770.0969,4580.4501,3441.5873,1554.3766,116.4194,157.0968,2796.1637,4376.1091,146.497,9.4379,18.8678,115.9762,12.9612,296.9347,1531.4563,7319.5725,2713.1224,869.4659,163.5638,7629.5323,1098.9647,9294.2003,686.3695,2479.9817,78.4521,1027.3053,0.0
USA_C27,506.2819,1.3215,50.039,11.9453,70.6622,455.9205,39.2009,258.2147,256.3312,15.1591,452.9321,33.6854,447.3035,167.7082,1416.7542,982.7299,1650.1429,3347.135,5084.134,1768.1514,957.6447,621.5287,17.1312,205.4498,13177.1709,867.1749,102.0951,16.1527,4.7334,167.812,5.5293,379.2737,26.835,1806.0442,581.4476,99.3735,151.0796,1792.041,885.1501,3461.3991,613.7846,651.6711,74.9893,464.0168,0.0
USA_C28,3335.9481,0.7124,3866.0743,1027.5908,1969.4476,2108.6785,103.0935,305.814,1372.28,66.5345,2010.6227,89.353,1058.6574,255.0483,1223.9697,2241.7624,769.3678,840.1915,17955.8433,10992.0248,2282.3021,1758.801,265.6518,1250.1729,18105.6106,2649.7798,322.2492,33.4437,26.0224,882.3298,62.9623,593.4999,545.7503,1457.8239,825.3965,123.7873,203.0048,1492.0467,1865.1767,3294.2314,1916.1191,959.5565,113.0843,713.8545,0.0
USA_C29,686.9565,13.1509,547.4243,300.5875,281.6113,1502.7287,96.0868,263.3616,689.0403,38.7043,1084.8232,101.0158,494.9984,389.6612,572.3945,737.5235,618.7515,329.0921,6738.4362,60464.6723,2006.0829,646.6441,40.9084,694.2023,2648.7819,15823.4685,2185.7423,22.8086,3.3024,1312.2479,869.6835,373.7222,684.2969,391.4969,125.2818,97.8294,188.125,1958.5103,2792.8645,4987.1309,1293.2107,1387.9533,64.5052,476.6586,0.0
USA_C30,0.0,9.3827,41.8453,0.0,0.0,0.0,0.0,22.3079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9118,0.0,0.0,432.3422,235.2957,39416.8822,0.0,0.0,22.0167,1.6443,16.0765,1123.2214,1763.0264,1268.1612,268.2379,283.5111,0.0,0.0,3.6093,0.0,0.0,0.0,296.1986,25.0952,22175.9855,0.0,225.8798,2.3459,117.6546,0.0
USA_C31T33,422.2809,0.8544,62.9482,25.049,43.6627,1231.0548,241.0327,706.993,757.4006,104.1557,1285.0621,207.4921,600.6634,464.7892,617.7437,678.3069,698.9529,445.9249,1929.5773,1268.2499,379.0562,4522.9923,373.1348,651.1768,8168.4727,8209.317,563.6337,27.0617,41.1507,361.5539,71.9478,2511.3101,407.1353,1020.5775,700.2124,2035.5802,2175.0388,3028.0359,2410.9821,5921.205,1215.6017,20532.1537,1012.4532,1529.7838,0.0
USA_D,3557.1965,23.4451,3355.4936,2062.1858,105.4917,9595.2144,1115.4826,1550.4777,6300.8543,1749.7081,10803.6308,936.9302,3587.4792,3478.5817,7960.3719,4137.2099,1458.5347,846.2975,1962.4981,2436.3295,1355.0606,1549.4323,17838.2387,373.3102,3417.3691,38594.7646,3053.0614,106.1048,149.0115,8675.6914,3529.379,21563.7173,1089.8624,1554.1636,1228.7607,4752.1054,50169.6826,10074.4344,3190.3552,11821.4336,12247.1898,11244.9246,2851.8507,3078.8464,0.0
USA_E,465.7954,1.1866,740.3417,86.5684,177.9046,1547.1489,128.0049,112.7356,413.2312,318.4173,1734.653,285.5114,281.9964,273.9243,475.665,453.7036,242.3668,89.4228,269.9723,217.8925,170.4576,286.308,3746.431,4422.1757,1315.371,3838.9136,385.693,21.5813,28.8352,587.2947,254.1284,2855.1092,199.14,231.6354,211.4106,1230.8342,3930.6096,1882.0821,1493.6302,13971.853,2077.6558,4734.7789,537.4351,920.4424,0.0
USA_F,1492.5561,6.2631,2245.6954,1031.4384,1546.4211,1459.1321,101.5507,186.2614,891.2392,4566.7268,1202.0414,268.198,453.4835,388.3156,870.5357,714.7923,319.0885,137.305,473.9359,387.593,297.9171,333.3553,5661.0927,117.9413,211.0737,4830.9346,2825.857,54.3632,76.494,1071.9546,216.2571,2195.8362,170.6906,2107.3411,137.5102,5198.3587,94010.1083,1274.5837,449.5723,59692.1805,6166.5632,1781.4093,491.9608,3873.1227,0.0
USA_G,38246.3185,94.0771,6304.8768,2121.9374,2678.5468,109113.4367,10802.3659,7042.3555,24124.3058,7438.6677,58993.5247,11400.8736,22507.5625,8820.1647,16529.1379,17963.1402,16204.0989,9046.819,26209.6116,49275.1715,10582.4006,19170.6665,9726.05,3474.7539,77279.1337,80627.1843,19686.0062,1509.846,6562.7747,4365.2392,3423.1948,30503.0431,13290.7235,16431.0482,6500.8061,12368.4256,20542.1434,25553.0763,22315.0254,77064.4485,27364.0957,60050.6251,4678.4837,8517.6214,0.0
USA_H49,5088.6463,11.836,3917.0806,573.1876,443.3668,13916.4822,671.6247,931.8665,2816.6202,21305.0831,5568.9845,692.1348,1745.4775,2629.9277,5938.1438,2491.1349,1067.26,745.8931,2253.8807,3515.7535,993.7553,1802.4024,6095.3176,491.2856,11473.3406,22568.1915,21408.0,302.4522,1380.0438,7784.7899,963.5388,2591.8364,1380.3403,2005.3452,3002.3057,6861.4228,3548.2016,8556.042,4804.2996,13752.6325,19888.4889,8711.564,2886.8481,965.1077,0.0
USA_H50,363.2513,2.5134,419.6381,44.9049,26.286,937.989,89.8914,86.423,243.4949,3026.2072,561.0155,109.719,183.156,165.7307,520.8449,305.3265,211.6109,113.9684,337.1419,695.5284,174.065,180.0302,573.5193,29.3796,949.9245,786.66,298.1259,38.3767,182.177,222.7104,563.3991,168.6856,77.8198,133.7354,57.3441,53.9175,58.3026,443.0652,122.6533,3046.5996,244.1324,474.9774,42.7178,75.8643,0.0
USA_H51,432.655,1.7538,366.7724,46.7017,188.2913,1342.3095,116.6998,346.928,575.3214,2546.1446,636.5619,109.104,429.7267,289.6257,669.3257,697.0095,310.1759,125.9938,551.2257,676.8736,239.6156,489.4472,950.4566,256.4393,1048.3079,2510.7824,1392.1957,50.9757,151.165,983.7494,303.0043,740.8456,626.1118,695.614,1989.4047,4811.9845,2405.1948,3345.1038,2723.0599,7866.3744,766.1268,2227.0527,179.4301,279.4066,0.0
USA_H52,1238.3148,77.21,652.7052,526.8889,43.6062,2961.8948,263.8794,596.6609,1049.9855,4100.3406,1182.5337,210.706,588.7464,977.6624,1262.0277,1020.4647,843.6334,171.499,637.9728,775.7733,209.9808,846.0519,4086.4859,455.8916,2033.9177,47038.0262,19284.1871,2476.838,12055.569,19628.709,4271.1661,1587.1219,1167.0296,537.5367,779.5517,343.5141,194.114,5854.9452,1844.6313,5957.739,1205.4877,2187.3855,698.3393,477.9608,0.0
USA_H53,34.395,0.0415,3.508,11.6809,0.331,8.5381,3.832,0.8557,157.2732,43.9732,84.2665,0.7316,2.0446,1.86,27.2382,61.952,35.8235,339.5725,661.7394,2.412,1.3707,151.36,343.0551,323.71,19.0577,43971.8081,12127.842,3362.3319,15.5395,1401.7168,1373.0405,4962.0382,3720.9074,405.1336,2849.9693,9098.7139,282.1276,6304.6378,5073.5242,2764.7144,1404.6247,6643.9821,517.1197,2277.6371,0.0
USA_I,526.9971,2.7268,47.9072,39.4631,383.8833,1364.3313,123.7932,209.6062,672.3978,93.7009,399.5425,89.0563,538.3629,333.785,559.3015,872.1684,356.845,112.6613,623.0647,246.4276,193.5881,917.9624,2363.8517,603.8307,621.6951,7388.4983,480.2858,18.531,6301.7797,406.0631,1282.0382,7027.0319,2093.8429,3020.1875,6099.4698,16401.0546,14880.5583,18142.1359,10996.3658,9347.6561,4301.7562,27780.9849,1871.2609,1928.3562,0.0
USA_J58T60,175.1117,0.3085,349.1743,26.6856,49.8483,1621.8273,213.7929,155.7229,466.086,51.3471,687.0633,1296.8183,331.4702,181.2036,213.5459,836.5354,1025.8149,167.8807,656.6978,324.3764,391.4316,1286.9458,1174.3741,161.8254,1713.6211,31559.4337,591.4472,710.9643,308.052,364.683,186.8677,9126.2194,58314.1664,39518.0937,5540.5142,12135.2943,2963.2458,23102.3899,7437.5401,15849.737,9138.204,9160.9219,3332.043,4411.9228,0.0
USA_J61,780.3193,0.199,729.6897,133.3945,621.8308,1578.1601,193.1963,284.0575,856.5296,115.4884,708.2831,762.4495,674.9476,450.9933,580.7777,1250.4505,1310.0588,244.0017,1046.9163,460.5263,745.7088,1215.7394,1810.9189,676.7635,5808.9774,23754.8366,2731.0442,214.9203,630.3028,1387.1511,813.1696,6118.1927,4716.5142,55892.6138,8303.8224,22605.3119,9479.7133,20680.7685,9617.015,37021.2375,12180.4466,10793.4293,1442.0009,3473.8864,0.0
USA_J62_63,359.8755,0.7769,1296.5024,83.6611,67.8068,1815.2714,244.0069,311.1879,874.1415,140.7462,688.5205,828.8365,608.2149,464.5187,690.5694,1548.8973,1949.2622,222.3679,1565.8803,522.8592,1824.5238,1339.2422,2477.5041,528.1996,3219.4172,23023.24,1089.6324,194.6052,236.0788,446.8399,367.5095,4945.0325,7863.3634,6096.7659,11988.1933,23925.5461,2280.811,33676.8275,16101.1423,67756.6216,4091.6182,12550.5019,1778.131,4210.8328,0.0
USA_K,5024.6001,130.943,6522.4692,1278.5743,5135.816,7408.1815,927.3919,585.3211,1634.4927,4146.4459,2746.144,1202.7779,1865.0258,1605.1833,7311.462,7235.2332,2686.6118,1992.1671,6690.0582,4606.0113,2387.8453,6613.6781,9547.1207,1059.2733,9249.7407,61570.2203,18419.1334,10189.4675,4752.5462,3909.5602,4854.133,11642.7844,6630.7867,5275.2216,7884.4517,475325.5455,126003.6292,60611.8881,43187.7747,60009.6517,7866.7084,56181.5986,4406.0863,24770.4249,0.0
USA_L,12003.0593,1.5963,649.8568,77.0949,171.2261,2177.048,700.8357,460.6104,1690.6115,140.9886,1109.3987,2156.3064,1273.9392,595.2728,539.4954,2827.8477,2609.6769,452.9261,1475.865,1015.7871,3542.1838,2127.1893,2599.072,1694.5327,8451.6859,113086.2713,4667.8429,402.0148,175.9172,11006.8917,2107.5189,37483.3673,8253.6569,10701.817,9474.646,47831.6785,109208.7748,66678.3391,19474.4574,41446.9269,32635.3145,107860.0669,18628.1621,32453.3521,0.0
USA_M,2615.3976,7.4242,15279.4625,2671.8206,6827.7827,27895.5439,3069.0848,2005.9314,6982.391,2378.5602,13272.1618,18237.7454,5339.3471,4330.2346,5936.1813,14197.8532,19528.2181,2392.8441,17269.5314,14987.5948,13108.7731,11051.1363,14874.7826,4972.4085,36975.1374,180511.437,11558.0518,1803.0614,1439.2012,3349.0271,3937.415,70175.8484,34599.9375,32935.5381,39947.857,117298.6362,48190.6554,145735.7235,57432.8376,113166.2044,17362.2771,102454.2059,13085.898,17413.3937,0.0
USA_N,3367.731,3.378,3787.9457,701.0101,2911.2424,8129.8572,1457.0333,840.9193,5813.0059,855.6292,5694.2475,1988.4313,2334.8468,1996.8061,4831.5046,7964.8869,4980.8378,962.6271,4005.9886,3337.0121,4243.4437,3823.0632,11953.1477,2852.3008,15309.3909,82834.4828,17463.1199,3182.639,9766.005,5021.8417,4791.4358,19040.4262,16684.8856,17603.2179,28401.1725,44697.2848,81012.4697,68733.6651,39380.0916,62331.5312,10794.2342,60724.2464,6592.5535,9442.9608,0.0
USA_O,4079.4253,18.0119,2342.2345,514.5023,312.9597,5154.4405,485.9471,1453.9251,2328.6607,1655.562,4342.8697,687.1118,1369.3505,1205.1449,2268.7431,1615.6172,900.3891,340.7351,972.8934,1006.8161,749.583,973.5715,14660.5273,3996.7283,3735.5536,20695.5266,3237.7083,241.566,872.7802,3832.9747,1280.9785,9357.9287,2830.5129,4866.8579,1768.1596,19089.4075,19822.9248,11137.8943,5169.9436,28166.3163,8136.2282,18406.5651,3184.3729,3674.9302,0.0
USA_P,153.1528,7.9497,41.961,11.8946,50.8266,284.59,30.5161,34.5433,325.9131,46.3424,109.3289,29.83,99.4846,55.1923,85.715,143.9619,73.0586,19.9295,112.8215,49.7774,61.1131,152.6268,613.5021,92.7586,189.3318,5989.6524,117.3852,2.3808,424.9641,87.3771,75.2533,589.5746,445.3712,647.9638,1127.6407,2307.8698,1785.0845,3760.9787,2008.3525,11160.1657,10154.046,2212.5832,1871.6405,2003.5752,0.0
USA_Q,214.6978,0.3994,70.2674,13.7768,37.5396,595.9394,55.0252,20.8765,107.9049,33.8909,249.2176,47.3342,86.4755,39.9791,44.9513,73.4936,76.0479,31.7027,85.4359,87.2285,48.8803,93.6293,87.2163,22.9533,364.2792,533.8953,185.9729,18.6234,148.5561,29.7805,32.0998,268.4758,214.901,151.1581,164.2726,371.0397,328.4535,777.5301,282.99,8916.1675,221.8678,23942.9952,93.0255,117.8277,0.0
USA_R,152.167,0.1879,34.2565,6.998,52.0518,406.7251,35.9345,39.4925,129.4479,22.2078,145.0975,81.2529,108.3224,60.3714,94.6712,170.4106,97.7732,25.4396,127.2458,82.0616,47.7773,185.389,305.3075,95.1787,335.9744,3612.3638,276.814,45.652,246.4347,177.368,77.949,1997.7306,10714.9484,6290.3281,941.7495,2715.8234,2206.917,5277.8333,1870.5911,3393.9703,1094.1657,2193.0353,9773.0667,1276.6159,0.0
USA_S,286.8857,0.1361,109.4695,23.9187,215.8176,461.789,42.4147,48.9493,185.5998,35.0128,227.2816,59.838,123.6584,118.774,223.054,246.6165,83.4887,26.0096,115.8336,88.9339,89.8902,226.4772,573.3666,414.1364,1138.6374,6903.4299,473.3116,126.2113,292.3319,1088.4681,639.8428,2325.9745,398.4979,1159.592,564.397,4877.7679,2105.4881,4970.6038,3003.8696,9465.2046,2609.0021,7240.5735,815.024,4082.2167,0.0
USA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
