V1,MLT_A01_02,MLT_A03,MLT_B05_06,MLT_B07_08,MLT_B09,MLT_C10T12,MLT_C13T15,MLT_C16,MLT_C17_18,MLT_C19,MLT_C20,MLT_C21,MLT_C22,MLT_C23,MLT_C24,MLT_C25,MLT_C26,MLT_C27,MLT_C28,MLT_C29,MLT_C30,MLT_C31T33,MLT_D,MLT_E,MLT_F,MLT_G,MLT_H49,MLT_H50,MLT_H51,MLT_H52,MLT_H53,MLT_I,MLT_J58T60,MLT_J61,MLT_J62_63,MLT_K,MLT_L,MLT_M,MLT_N,MLT_O,MLT_P,MLT_Q,MLT_R,MLT_S,MLT_T
MLT_C20,0.2841,0.0049,0.0451,0.0544,0.0168,0.8764,0.9473,0.0126,0.9347,0.0352,0.9318,5.9449,2.6588,0.233,0.0044,0.2722,2.2903,0.0556,0.0089,0.0081,0.0374,0.936,0.0524,0.1161,2.1934,0.8447,0.0396,0.0482,0.0385,0.2233,0.037,0.6789,0.0474,0.0162,0.0523,0.1632,0.3382,0.3167,0.1453,0.2552,0.1724,0.3709,0.5371,2.1501,0.0
MLT_C21,0.0387,0.0091,0.0092,0.095,0.0045,0.8616,0.1188,0.0037,0.1352,0.0042,0.13,17.7949,0.3333,0.0273,0.0006,0.0461,0.2796,0.0171,0.0212,0.0014,0.0369,0.1773,0.0068,0.1087,0.3414,0.141,0.0261,0.0465,0.0273,0.0554,0.0922,0.1054,0.0097,0.0127,0.0224,0.1938,0.0322,0.5527,3.9968,3.0146,0.0751,21.0402,0.2451,0.2631,0.0
MLT_C22,0.1482,0.2096,0.0295,0.0694,0.0227,3.5216,0.1278,0.6114,0.7873,0.0006,0.4403,2.4524,4.8755,0.0887,0.0116,0.8916,0.4249,1.5544,0.4967,0.1348,0.1421,5.971,0.0417,0.1027,9.4286,5.85,0.5459,0.3715,0.5609,0.3755,0.2503,0.4793,0.0537,0.007,0.3635,0.366,0.0933,0.3145,0.2032,0.1586,0.0346,0.0623,0.1156,0.0918,0.0
MLT_C23,0.1303,0.0233,0.1208,0.2293,0.0254,0.8471,0.013,0.0153,0.066,0.0003,0.0341,0.156,0.3073,13.1465,0.0318,0.7505,28.7348,0.0271,0.0258,0.0184,2.0504,0.3268,1.096,3.2672,46.6206,0.6507,0.1828,0.0663,0.5433,0.5968,0.0418,0.7575,0.0291,0.0169,0.0509,0.7299,4.567,3.6967,0.1985,0.5082,0.2671,0.2635,0.2867,0.5146,0.0
MLT_C24,0.0002,0.0004,0.0001,0.0003,0.0018,0.074,0.0012,0.0004,0.007,0.0,0.0028,0.1295,0.0045,0.0692,0.003,1.0388,1.9674,0.1186,0.0696,0.0145,0.0004,0.0503,0.1132,0.0333,0.1715,0.0101,0.0002,0.001,0.0,0.01,0.0001,0.0007,0.0,0.0002,0.0022,0.0016,0.0009,0.0061,0.0008,0.0005,0.0008,0.0027,0.0042,0.0009,0.0
MLT_C25,0.3195,0.1195,0.2234,0.2879,0.0534,3.2733,0.0745,0.0677,0.2684,0.0189,0.1825,0.4697,0.7913,1.2696,0.0175,2.9736,26.3624,0.4465,1.3554,0.0489,0.118,4.4595,0.2159,0.4358,24.0464,0.8321,0.245,0.1086,3.7971,0.3697,0.1197,0.3356,0.0303,0.0416,0.251,1.7842,0.4208,0.619,0.333,0.703,0.0746,0.1819,0.8099,0.0768,0.0
MLT_C26,0.0106,0.0075,0.0243,0.0474,0.0069,0.0135,0.0029,0.0036,0.156,0.0,0.0293,0.005,0.0274,0.0098,0.0,0.0381,72.9919,0.9331,0.5402,0.0043,0.5458,0.1387,1.1055,0.0545,1.7292,0.1111,0.2248,0.0249,4.6448,0.0604,0.1122,0.0297,0.023,5.8719,11.4577,1.2023,0.0039,1.3157,0.2665,0.2158,0.0401,0.1101,0.4011,0.3628,0.0
MLT_C27,0.0104,0.0153,0.0403,0.0557,0.0079,0.0401,0.0183,0.0048,0.1471,0.0002,0.006,0.027,0.0635,0.0324,0.0094,0.077,0.0874,3.0968,0.4224,0.0048,0.0516,0.254,0.4232,0.0334,2.7418,0.2431,0.0827,0.0874,0.4445,0.0479,0.0216,0.0665,0.008,0.0554,0.8053,0.1562,0.1128,0.151,0.5203,0.015,0.0131,0.0212,0.0526,0.0468,0.0
MLT_C28,0.0017,0.0665,0.3132,0.4335,0.042,0.0157,0.0298,0.0132,1.093,0.0002,0.0099,0.0006,0.0311,0.014,0.0044,0.1097,0.0473,0.1344,1.3596,0.002,0.2764,0.8797,0.1362,0.1399,4.4284,0.3115,0.0748,0.5573,1.38,0.1143,0.0408,0.0048,0.0123,0.0072,0.0225,0.0616,0.0019,0.2013,0.0631,0.0337,0.0074,0.0201,0.036,0.0162,0.0
MLT_C29,0.001,0.0003,0.0001,0.0002,0.0004,0.0006,0.0002,0.0,0.0004,0.0,0.0001,0.0001,0.0001,0.001,0.0,0.0012,0.0008,0.0003,0.0001,0.0057,0.0006,0.0037,0.0175,0.0005,0.0567,0.271,0.114,0.0332,0.1711,0.0088,0.0651,0.0006,0.0002,0.0002,0.0001,0.035,0.001,0.0052,0.0166,0.0242,0.0032,0.0029,0.007,0.0004,0.0
MLT_C30,0.032,0.0753,0.8865,0.123,0.0031,0.0566,0.0085,0.0039,0.0438,0.0,0.0128,0.0656,0.0783,0.0974,0.0,0.0414,0.0093,0.0192,0.0595,0.0,28.5429,29.4564,0.005,0.1484,0.3058,0.2743,0.0714,0.3643,4.9968,4.8531,0.0388,0.0614,0.014,0.02,0.0636,0.227,0.0145,0.2488,1.0238,0.2375,0.2607,0.2943,1.0439,0.0431,0.0
MLT_C31T33,4.8626,1.0537,0.9705,0.6467,0.1364,1.2345,0.2918,0.5094,0.5631,0.0034,0.1835,3.4968,0.5234,0.7404,0.0009,0.3687,0.9547,0.1255,0.2109,0.0241,0.7895,6.8026,1.4257,1.7423,5.6813,4.3726,2.4649,2.2626,2.0198,3.3631,1.8749,1.7652,0.1033,0.2126,1.1975,23.5258,2.3293,1.4282,2.3921,0.3527,0.3213,5.0238,8.5651,0.3541,0.0
MLT_D,2.5308,0.2372,0.0813,0.2276,0.1726,10.1852,5.7325,0.1315,2.5166,0.0015,2.2139,4.6199,5.1766,2.3424,0.1855,1.471,47.5015,0.7316,0.7617,0.0476,0.1616,6.8191,320.025,18.4594,5.1256,34.3364,1.1063,0.996,2.3098,13.2334,2.3817,38.2345,0.6753,1.4042,17.148,16.2306,4.226,8.1438,4.7333,5.4899,5.0141,14.7259,5.8785,2.5429,0.0
MLT_E,1.7515,1.1596,0.1727,0.2513,0.0377,2.7853,0.6859,0.0494,0.7332,0.0016,0.3673,3.8312,0.6732,1.8747,0.18,0.6249,0.0495,0.1264,0.099,0.008,0.4997,0.9637,0.484,27.6127,2.3914,7.2365,0.8167,0.5243,0.9798,1.7201,0.8448,8.3148,0.1866,0.3128,1.2118,5.2339,0.5225,2.5805,2.0977,20.4958,1.8359,7.2722,6.5431,1.6915,0.0
MLT_F,6.5291,0.9718,1.3434,1.6725,0.2024,2.7542,0.177,0.0488,1.6403,0.0116,0.7337,2.1647,0.6703,5.5541,0.0506,1.2127,6.0256,1.2233,0.2027,0.0264,0.6614,3.3444,6.1015,8.4937,210.684,30.3194,3.085,1.016,3.094,33.9933,1.2649,25.7456,0.7389,0.5194,2.1431,37.8026,43.8391,19.0066,10.0475,28.4416,15.4226,12.6289,11.3451,5.1276,0.0
MLT_G,10.2444,5.9804,1.5466,1.4711,0.2887,42.6869,4.0478,1.9378,13.8884,0.1202,3.0305,25.358,9.2077,10.045,0.064,6.2001,40.7462,1.9692,2.6093,0.2797,5.0703,17.1266,38.578,3.7249,47.685,14.1055,8.1655,4.675,20.8745,6.8732,6.2772,62.6761,1.6823,2.2992,4.7848,26.2019,5.4454,6.965,9.9473,7.0957,3.3255,13.3237,10.611,7.1887,0.0
MLT_H49,0.9676,0.793,0.1458,0.1949,0.1165,4.6466,0.5455,0.2636,2.2025,0.0146,0.4852,3.3932,1.4133,2.939,0.0193,1.315,6.0239,0.6122,0.4887,0.0343,0.6958,2.6827,5.0942,0.781,8.1961,13.9403,13.2979,0.9869,2.1183,2.3257,2.2488,5.3505,0.2919,0.1635,0.6081,4.776,0.573,1.1222,0.8155,0.5464,0.3299,0.8661,0.9483,0.7608,0.0
MLT_H50,0.2703,0.8137,0.304,0.0575,0.0156,1.0567,0.1999,0.0565,0.5828,0.0032,0.1019,0.7951,0.2851,0.3464,0.0056,0.5076,2.549,0.1897,0.1513,0.0201,0.3834,0.9379,2.3845,0.1012,1.7072,5.5798,0.5419,0.6166,0.7404,1.0894,0.117,1.1501,0.0552,0.1019,0.1847,2.7755,0.1171,0.4094,5.126,0.2085,0.1713,0.3002,0.4199,0.1854,0.0
MLT_H51,0.1898,0.0257,0.0263,0.0254,0.0049,0.4768,0.0629,0.0309,0.2208,0.003,0.0206,0.28,0.0859,0.2569,0.019,0.1132,1.5391,0.005,0.0334,0.0082,0.248,0.1744,1.4632,0.0586,0.8681,0.0913,0.1344,0.0634,0.2596,0.089,0.0219,0.5263,0.042,0.0019,0.0242,0.3368,0.0373,0.1094,0.1007,0.0391,0.0225,0.0473,0.0355,0.1335,0.0
MLT_H52,0.4105,1.3364,0.3189,0.4673,0.0634,3.1893,0.5255,0.0902,0.7564,0.0083,0.2035,1.698,0.5048,0.8696,0.0338,0.3834,1.7708,0.2619,0.1756,0.0192,0.214,1.2638,1.9153,0.1917,3.1923,20.7375,29.7167,30.7332,8.7976,55.0675,0.3679,4.1734,0.1369,0.2826,0.4981,75.1907,1.8845,1.7347,2.6221,0.6604,0.5364,0.4628,2.2885,0.2904,0.0
MLT_H53,0.1026,0.0725,0.0383,0.0426,0.0308,0.2493,0.048,0.0114,0.2374,0.0,0.049,0.4719,0.1051,0.1418,0.0059,0.1055,0.0847,0.1808,0.064,0.0168,0.0297,0.3928,1.885,0.2039,0.6093,6.3647,0.8111,0.3215,0.7775,0.5849,32.6033,1.3474,0.1768,1.3169,2.4743,58.418,0.2279,2.6918,1.1604,4.6015,0.4187,1.0319,13.0711,0.2363,0.0
MLT_I,0.0223,0.058,0.0231,0.0156,0.0209,0.1649,0.0674,0.0144,0.0989,0.0005,0.0851,0.1344,0.1337,0.0461,0.0108,0.0775,0.2078,0.0978,0.1813,0.0125,0.0165,0.3216,0.8464,0.0831,0.4802,2.0458,0.1971,0.1807,1.3651,0.9274,0.9468,1.1896,0.1282,0.1114,1.3689,7.3771,0.1615,1.994,4.7131,1.9761,0.3971,1.2806,3.0522,0.0331,0.0
MLT_J58T60,0.0353,0.0325,0.0149,0.0023,0.004,0.1561,0.01,0.0041,0.7594,0.0001,0.0146,0.1057,0.0254,0.0221,0.0007,0.0176,0.0674,0.0114,0.0048,0.0018,0.0149,0.1,0.7385,0.0455,0.1978,0.9874,0.1051,0.0953,0.1527,0.1483,0.5722,0.2729,1.2031,2.154,3.1225,8.7837,0.0433,1.8592,0.2434,0.5903,0.2215,0.2648,4.9269,0.0306,0.0
MLT_J61,0.3599,0.1751,0.0796,0.0645,0.0209,0.5353,0.1068,0.0218,0.3905,0.0005,0.0844,0.4878,0.1922,0.1698,0.0141,0.1266,0.1444,0.2094,0.0811,0.0104,0.0859,0.6333,1.1762,0.2229,2.0345,5.9805,1.0916,0.6308,3.8385,1.3761,3.5643,2.5973,0.3634,10.1834,11.7248,39.2415,1.6744,7.0326,2.0484,4.6306,0.9952,1.0563,32.2495,0.2298,0.0
MLT_J62_63,0.0104,0.022,0.0002,0.0018,0.0111,0.2395,0.0301,0.0089,0.4687,0.0001,0.061,0.8504,0.1539,0.1364,0.0033,0.0962,0.0384,0.0379,0.0128,0.0001,0.0278,0.4607,0.1812,0.0393,0.6189,1.7448,0.4203,0.3296,0.3933,1.3228,0.134,1.1673,0.933,2.0027,38.5242,120.8925,0.2711,5.2395,1.6109,8.5697,1.213,1.757,188.2085,0.1742,0.0
MLT_K,0.2356,0.2032,0.0881,0.074,0.0344,0.6613,0.1077,0.0675,1.0093,0.0015,0.1627,1.0705,0.3643,0.4438,0.0139,0.5041,0.8556,0.3177,0.1124,0.0106,0.267,1.0813,1.3932,0.229,4.2606,7.6176,1.1872,2.9577,1.7508,2.2418,0.2647,4.8669,0.3541,0.9482,7.3469,1027.2404,2.7024,12.6848,2.8036,0.8236,0.7471,0.6157,31.2875,0.3626,0.0
MLT_L,0.3095,0.0293,0.0513,0.0547,0.0233,0.1271,0.0923,0.0729,0.6389,0.003,0.1901,0.7161,0.5742,0.4305,0.0134,0.7021,0.3569,0.3313,0.1351,0.03,0.2001,1.2888,0.9353,0.1494,7.8884,32.8809,1.0302,2.5761,5.4299,3.8846,2.7103,20.6964,0.4415,1.0617,2.9779,22.2277,15.3192,7.2001,2.334,2.5292,1.8501,1.4669,4.9118,0.5913,0.0
MLT_M,0.4144,0.0825,0.8298,0.8974,0.0331,0.3296,0.0489,0.0238,0.3525,0.0008,0.3124,0.5629,0.2449,0.2065,0.0077,0.1641,0.2491,0.3304,0.0508,0.006,0.0583,1.1203,0.8802,0.2602,3.4444,8.9239,0.6355,1.1415,1.252,1.698,0.4676,4.5522,0.4258,0.8927,3.2997,196.7087,3.4343,20.3277,1.5227,3.2518,0.9223,0.5974,151.3618,0.2997,0.0
MLT_N,0.218,0.7453,1.0991,0.053,0.1351,0.7751,0.1294,0.0418,0.552,0.0028,0.1091,1.0454,0.2308,0.4168,0.0221,0.2848,1.2379,0.3527,0.0751,0.008,0.1168,0.8091,1.4543,0.9643,2.9713,11.9191,2.0005,3.7802,9.212,2.7539,1.4359,6.4527,0.2716,0.4747,1.0058,85.1071,1.7888,15.6603,75.7405,19.0912,1.8039,4.8784,7.7423,2.7496,0.0
MLT_O,0.161,0.0779,0.0215,0.0301,0.0288,0.2229,0.0428,0.0204,0.3156,0.0004,0.0834,0.1328,0.0639,0.1237,0.0273,0.1586,0.8392,0.089,0.0227,0.0082,0.079,0.3814,1.2536,0.3334,4.1976,5.4944,0.5586,0.4095,1.2806,2.7109,0.4526,2.8792,0.104,0.2984,0.347,10.3861,2.3414,2.9405,1.187,17.4824,3.166,6.4906,4.3104,0.2985,0.0
MLT_P,0.3107,0.1716,0.003,0.0027,0.0108,0.4447,0.3566,0.1256,0.2498,0.0001,0.0773,0.5916,0.0858,0.229,0.3129,0.259,0.3235,0.8217,0.0161,0.0011,0.0705,0.6579,1.9715,0.0367,1.1687,2.2891,0.597,0.5078,0.1477,2.8784,0.2299,1.2612,0.4512,0.122,2.3466,17.9588,0.4618,5.4171,3.0762,2.6704,5.0193,2.1903,5.0769,0.4793,0.0
MLT_Q,0.5281,0.0023,0.0023,0.0146,0.0039,0.0819,0.0275,0.0073,0.043,0.0,0.018,0.0248,0.0523,0.0488,0.0091,0.0515,0.045,0.0276,0.0125,0.003,0.0251,0.0367,0.425,0.0508,0.3384,0.6772,0.0777,0.0185,0.0887,0.6234,0.0506,0.4782,0.0137,0.0122,0.2348,1.1401,0.1319,2.7856,0.3367,1.2514,0.452,3.6904,0.8355,0.0271,0.0
MLT_R,0.0165,0.0161,0.364,0.0011,0.0012,0.0325,0.0013,0.0111,0.0385,0.0,0.0097,0.0221,0.0063,0.0051,0.0002,0.049,0.0058,0.0228,0.0012,0.0001,0.0014,0.0729,0.0179,0.0075,0.141,0.1442,0.0619,0.0947,0.0863,0.0603,0.0591,0.1295,0.0684,0.1298,0.8126,10.9135,0.1033,0.3651,0.277,0.4068,0.736,0.1998,58.6893,0.0521,0.0
MLT_S,0.1075,0.0856,0.0594,0.0257,0.0123,0.6065,0.1419,0.0371,0.1568,0.0006,0.052,0.2039,0.0681,0.1209,0.0002,0.0644,0.1442,0.0202,0.0174,0.0061,0.0473,0.279,0.5729,0.0331,0.6968,1.7446,0.3767,0.3389,0.3727,0.5555,0.4079,8.2173,0.0946,0.155,0.3082,6.8879,0.1668,1.2336,1.1564,0.4321,0.2008,1.2166,2.7683,1.9006,0.0
MLT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
