V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T
PER_C20,268.3147,1.1467,20.7434,238.163,1.4897,116.3249,100.8595,20.579,34.5252,1.1845,332.2195,39.4481,380.0952,23.5693,34.2781,22.9289,1.3243,8.5241,1.7283,12.9311,4.2494,118.335,0.9636,5.8653,105.1221,13.4627,2.1464,0.0103,0.6204,6.8997,0.0762,29.8777,2.2952,4.3495,0.3816,4.7542,12.6889,19.0823,22.6791,44.6673,11.2016,27.0468,5.9134,44.6828,0.0
PER_C21,38.511,0.0055,0.3436,1.861,0.1014,17.3835,0.1589,0.5578,0.158,0.0278,3.1475,42.6787,1.2698,0.3049,0.2743,0.0351,0.0227,0.0887,0.1155,0.0411,0.0171,0.8034,0.0623,0.0398,2.6131,0.3325,2.3977,0.0343,0.0848,0.3785,0.172,1.8845,0.0791,0.1034,0.0005,0.0866,0.0878,4.717,0.1049,30.4314,2.4747,137.5341,0.7003,2.7853,0.0
PER_C22,12.8058,3.2325,45.6947,122.5831,2.1104,355.186,86.2966,0.787,71.5588,0.8853,156.6212,35.9038,220.1825,8.204,15.2276,12.1682,0.5687,14.0763,1.7532,22.349,4.6824,124.9551,1.3116,0.7876,464.6808,131.0685,201.5716,0.1616,0.1461,2.5253,0.2157,37.2817,3.7382,0.7123,0.0222,5.183,12.4048,16.3687,14.5793,61.736,16.8208,11.773,4.6639,20.1419,0.0
PER_C23,15.4216,0.408,4.2631,170.0076,0.0739,100.1313,2.0666,0.1784,2.8778,0.0599,32.2885,6.9054,4.5733,163.9545,20.4485,2.4161,0.2864,0.8913,2.1201,6.0232,1.9045,39.9957,6.3925,24.2971,2597.3148,36.5206,14.9147,0.1322,2.462,1.6404,0.2155,20.019,0.2806,1.9669,0.0302,2.1542,39.9637,4.4343,3.0679,173.8299,1.817,2.8535,1.7086,12.8898,0.0
PER_C24,12.795,0.1197,7.3985,25.5778,0.0299,10.4584,5.2915,1.0109,3.7269,0.1644,51.6578,3.6966,21.0153,4.9664,1173.8217,94.2578,0.7899,316.4651,7.3847,5.5274,1.322,50.4358,0.4032,1.4838,35.2569,0.8714,0.1479,0.0009,0.0038,0.2927,0.0032,1.5101,0.3352,0.2863,0.0659,8.4739,0.963,1.352,1.3758,7.7313,0.516,1.7767,0.3766,3.5019,0.0
PER_C25,23.5916,6.2685,138.5706,238.1459,13.8122,180.1804,16.8383,12.1332,7.9641,4.8135,36.9541,0.8883,8.6066,5.6945,32.7686,170.9027,2.4253,13.466,59.7921,63.1562,22.9097,95.8779,6.4475,3.0934,553.4428,6.1686,0.2585,0.0291,0.1987,2.1237,0.0027,16.5766,0.5785,10.65,0.0232,1.8967,22.3273,5.9701,26.8558,39.4273,1.7043,4.0313,8.4652,17.636,0.0
PER_C26,0.2656,0.3318,0.1219,0.1812,0.094,0.2323,0.106,0.0107,1.3919,0.0075,0.1887,0.0349,0.196,0.0189,0.0495,0.1239,3.4027,0.6046,0.1242,0.0888,0.0316,0.0737,0.1462,0.0065,2.1906,0.2732,0.0,0.0052,0.0019,0.0025,0.0,0.1816,0.3988,6.2292,0.4622,0.3007,0.0135,0.666,0.6111,1.1242,0.4012,0.7027,0.1171,2.4826,0.0
PER_C27,0.065,0.4923,6.1315,8.8,0.542,11.5392,2.0265,0.1193,0.8725,0.393,1.4519,0.4024,3.0129,0.6978,23.4174,30.2282,0.9167,14.2529,5.382,8.4603,2.5127,6.3435,10.8949,0.7926,112.1855,0.7841,0.0768,0.4047,0.1484,0.0054,0.0007,6.6465,0.2403,13.1484,0.1851,0.9181,0.9172,0.8577,0.783,4.1332,2.1093,5.4677,3.792,6.9888,0.0
PER_C28,0.3402,7.5997,10.9677,23.792,0.855,32.3238,12.0252,0.8657,1.959,0.3007,1.046,0.1744,3.8988,4.7489,2.5202,11.2743,0.7965,2.9347,34.1909,1.6005,0.6376,165.3573,0.9432,0.3873,24.7332,1.8753,0.1926,0.0114,0.1652,0.0703,0.0023,0.2671,0.3878,0.7136,0.0199,10.768,0.2949,1.6232,3.2576,9.3833,3.6022,1.0744,1.8733,2.6098,0.0
PER_C29,1.9808,0.3835,0.5622,0.6333,0.0,0.0878,0.0,0.0129,0.0267,0.0252,0.0363,0.0,0.0053,0.2706,0.362,0.4509,0.0,0.0,0.1715,9.5242,0.4528,0.0154,0.2677,0.4923,0.3322,44.9952,19.8713,0.3457,3.0621,0.2663,0.0628,0.1764,0.0001,9.3251,0.0,2.2386,0.0,0.1523,0.9308,5.3401,3.3822,0.079,0.0001,0.7196,0.0
PER_C30,0.0,13.5338,0.0038,0.0,0.0,2.6289,0.0,0.1155,0.0,0.0022,0.0,0.0,0.0,0.0103,0.0,0.8027,0.0261,0.2197,0.1221,7.8597,5.8045,0.0,0.0002,0.0001,0.0,1.682,12.5626,0.9358,15.4781,0.5847,0.176,0.0,0.0,1.0421,0.0127,0.0854,0.0,0.225,2.2981,2.342,0.0,0.0,0.2113,0.1219,0.0
PER_C31T33,6.6641,18.4149,61.6573,73.3693,2.1585,86.3229,71.2676,4.2569,7.4837,0.4834,15.3163,3.059,10.9195,10.6538,5.8821,27.9749,1.2796,7.8967,87.3683,2.7968,0.9444,727.2147,2.3781,2.1005,100.1678,8.6575,0.0007,0.0,0.0001,0.8772,0.0,56.5548,2.4785,5.8235,0.9488,51.2255,1.8787,3.5956,26.9267,99.6127,68.3729,165.3788,14.5594,40.9515,0.0
PER_D,16.6142,2.0251,10.123,525.8454,0.1289,174.8481,146.3798,7.6361,44.0765,6.5469,49.6568,5.8451,54.5181,53.3101,274.5212,24.4716,1.0715,6.3108,6.3249,4.2778,1.3386,7.2924,231.0883,17.82,9.423,122.8235,66.2031,0.1319,0.5711,2.7508,0.5652,58.5241,7.7499,29.7739,2.0637,34.3557,6.5217,24.2034,20.2386,103.0141,48.7142,33.6171,31.1058,21.6174,0.0
PER_E,8.2119,11.2067,15.7334,40.5139,0.1979,49.3594,19.7746,0.6331,15.8734,0.9667,6.4067,1.2474,8.9432,5.1036,51.3754,1.3582,0.0,0.6087,1.1769,0.3224,0.1883,5.3107,2.5901,16.9541,6.2286,17.035,2.0913,0.0986,0.4326,2.8903,0.489,28.7767,0.3543,1.2177,0.0,12.6863,1.4003,4.3863,4.8623,107.5488,37.1036,35.317,3.7822,4.9487,0.0
PER_F,3.4736,0.0928,4.523,102.4668,1.377,4.5944,6.1387,1.3946,1.7826,2.2976,3.4868,1.1198,0.8657,0.3214,10.5519,2.3556,0.1235,0.3362,0.7189,2.9325,1.3107,0.2621,0.2853,40.7057,369.4949,10.5467,1.3514,0.199,2.1643,0.83,0.0588,4.5168,1.6457,26.0775,0.2854,26.5869,89.1581,6.2715,3.2732,518.5291,2.9527,15.6187,3.457,9.4331,0.0
PER_G,598.1472,56.6732,106.972,538.6421,10.3978,2625.5102,542.268,107.4813,241.3228,252.7139,219.1955,61.1894,216.4895,90.9955,231.2238,148.7274,13.4186,56.5347,56.5203,53.5916,17.6318,290.8033,68.2239,24.9489,1137.3009,166.3873,992.9151,8.0268,37.4878,75.3028,8.9251,719.6303,39.8338,48.7954,3.0972,39.777,32.5713,81.5771,103.1932,432.2241,79.1844,163.7254,24.2146,112.2046,0.0
PER_H49,19.8643,9.5907,570.9897,308.1993,3.23,127.7058,46.0846,78.4782,131.6111,59.0585,76.4311,11.0878,22.2343,28.2484,60.4702,38.4943,1.0098,18.5315,4.0011,4.7786,1.4825,49.6643,31.4333,26.6994,253.2169,3257.481,1535.4392,94.5605,527.4981,748.8764,44.0328,66.61,13.5491,36.4248,2.0641,49.4621,3.7938,28.5844,74.1527,175.7381,98.738,27.4657,12.884,51.6376,0.0
PER_H50,1.9738,2.2266,121.7175,30.6139,0.0563,4.3565,2.7533,4.6204,4.3029,11.5183,2.3592,0.0343,0.1718,0.4848,10.3798,1.622,0.0209,4.317,0.0484,0.0546,0.0152,0.2316,0.0839,0.0159,1.3436,26.2368,0.2361,18.0117,0.0205,62.9646,0.002,0.2536,0.5445,0.064,0.0032,0.0303,0.0346,0.0829,0.337,0.213,0.0822,0.1067,0.0166,0.0781,0.0
PER_H51,3.9167,0.596,98.8428,17.6324,2.2801,41.8765,17.7012,1.9975,4.6446,13.6428,4.2911,0.9118,4.4585,7.4699,7.9533,4.1636,1.2609,5.4956,3.8834,1.1866,0.3571,25.1424,3.2896,1.453,19.6819,28.3204,3.8455,0.0515,49.8772,45.656,8.4316,14.0781,2.9649,5.4522,2.5313,8.9553,1.1468,20.9221,16.5635,80.6333,7.7114,12.6613,5.6225,15.1296,0.0
PER_H52,6.2996,4.601,250.1832,117.1974,1.2684,37.1881,16.4736,29.7287,36.6913,28.649,25.465,2.4375,5.6098,8.7202,23.3777,13.4217,0.4558,9.9677,1.3484,0.8206,0.2593,19.4159,1.7774,9.0473,72.5435,1162.1909,505.4111,45.8994,196.8278,314.2395,10.8185,17.9004,2.864,8.8637,0.6993,7.6719,0.752,8.4653,23.4378,51.7441,25.7203,5.1723,3.3636,12.597,0.0
PER_H53,0.0,0.0993,0.0,3.7693,0.1708,3.1572,2.2007,0.0556,0.5013,0.0,0.4078,0.8267,2.2884,0.4644,1.003,3.5973,0.1979,0.8981,1.257,0.3679,0.1434,0.6774,0.5908,1.1062,0.4325,47.6148,0.0,0.0,0.0,28.9251,21.8425,1.5325,9.8105,39.9082,1.8751,75.5166,4.8535,24.3625,7.1262,14.9739,17.2517,2.0538,1.16,11.6159,0.0
PER_I,0.0938,2.3674,56.9687,17.6665,2.803,5.8329,1.8182,0.2561,1.2106,2.0808,7.7992,3.8008,7.444,2.7282,3.3768,7.751,0.5258,2.2702,3.2293,1.9531,1.1117,2.8762,6.0806,4.0213,21.7885,89.9196,51.8016,1.1464,12.9938,2.0848,7.1537,8.7844,3.6544,19.8266,4.9942,11.8473,0.3863,62.8228,24.8603,199.8558,25.0363,50.7968,36.3429,25.0324,0.0
PER_J58T60,0.635,0.8474,8.2659,11.3667,1.2134,18.9355,2.0512,2.4731,30.39,0.62,21.068,5.1949,1.6773,1.8101,2.4322,1.1578,0.1518,0.898,0.2641,1.2898,0.5004,3.9002,1.7393,1.0188,8.8225,71.0575,0.6922,0.2116,2.6656,1.3441,0.0501,7.5238,140.6808,61.5654,0.305,25.8062,11.3284,528.8517,14.4346,46.9105,155.5641,42.1803,3.7193,15.7151,0.0
PER_J61,1.185,1.962,5.9372,17.8505,1.0351,9.7186,16.8726,0.7125,1.2682,0.4079,1.3733,0.7405,1.9478,2.1978,1.6405,9.4823,1.0923,2.3782,5.6868,0.8029,0.3187,0.5462,2.8804,3.0887,15.2925,126.0427,10.5078,0.5548,3.1989,10.1746,4.403,128.3772,25.3997,621.888,5.9989,220.0591,8.3083,56.4039,60.9162,116.9276,35.7524,34.9703,15.8731,38.3921,0.0
PER_J62_63,0.0014,0.0019,7.056,1.3312,0.0011,9.7094,1.2568,0.3932,1.3423,0.0026,12.1517,4.429,2.7208,2.4608,1.3962,0.5839,0.3895,0.7436,1.6453,1.4383,0.6078,0.4773,0.5722,0.3516,5.08,21.7355,2.1733,0.0002,3.8296,4.6065,0.306,7.811,13.5895,66.0546,54.6917,57.1317,5.7621,53.3156,42.277,6.6507,2.0603,13.5698,0.0525,4.8408,0.0
PER_K,91.0833,55.9156,204.2974,573.8209,5.6476,415.354,116.9343,9.1562,25.6231,11.7181,95.6336,19.551,53.2157,75.0411,259.5272,46.7933,0.921,18.6187,15.0508,8.9676,3.6501,14.6157,89.9472,35.5419,232.0545,588.1258,114.1351,3.0545,24.8573,69.9307,3.6303,143.1317,28.9004,152.0703,8.723,743.9137,209.1291,166.6461,110.8342,308.8323,70.5369,52.3617,34.0849,44.8106,0.0
PER_L,7.2433,4.8445,77.7456,22.4391,1.1194,80.4857,63.1705,1.6794,6.9779,0.3205,10.2502,12.9861,9.886,5.7941,2.71,18.3093,4.3769,2.6402,10.4679,8.374,2.9999,20.9776,4.1388,0.4802,22.8852,372.5786,20.6389,0.8717,3.0596,60.8053,6.0537,242.5152,27.8529,108.869,13.3951,217.0101,24.3093,251.1811,134.0515,42.0947,148.7853,51.22,78.5,101.6671,0.0
PER_M,45.2934,6.3219,126.3599,250.3169,25.9245,431.7536,155.8648,3.2913,24.902,9.103,269.8126,91.3971,79.732,20.5715,121.9616,104.965,6.6598,24.8035,22.8777,27.5569,11.2021,21.8787,25.3023,15.1712,479.2693,382.5371,77.0699,0.7291,51.2485,105.7985,8.245,103.9267,129.4085,451.1419,28.9543,399.1822,212.9998,587.5701,225.3616,240.7287,180.1041,143.403,89.2679,216.4785,0.0
PER_N,80.6019,5.3452,76.503,235.9031,13.5208,124.2395,45.476,4.4886,19.5144,6.1994,61.2655,24.0873,42.5318,20.9694,91.8339,120.1449,2.2735,7.7832,17.9557,54.3631,21.2859,36.4767,37.5586,18.6167,220.5294,307.6312,58.6642,2.8978,61.2443,121.9515,19.1878,84.0811,73.3033,316.4563,24.4439,313.5302,63.537,443.1681,416.2465,390.8536,219.0783,268.5955,66.9921,82.8621,0.0
PER_O,4.7456,1.2837,13.113,25.6426,1.7239,22.6757,7.8722,1.8447,7.2657,0.994,7.5927,2.8678,4.3206,2.3565,15.2672,13.3288,0.1786,1.0141,2.1542,6.9686,2.8425,9.4436,4.0598,5.7798,46.4978,28.5943,5.0274,0.1665,3.4197,12.4555,1.9892,7.8521,8.7465,26.8202,3.9986,41.7912,14.3721,60.0149,36.8608,86.0496,44.4233,37.5222,6.9366,11.9383,0.0
PER_P,7.2411,0.7707,5.4785,5.7203,1.0799,10.1738,5.7815,6.9392,5.4799,0.2832,2.5881,0.871,0.9992,0.3647,0.3221,0.556,0.2321,0.3943,0.7235,1.3928,0.7681,9.5006,2.822,1.1067,5.4524,12.659,2.0534,0.0292,1.3235,2.4135,0.2165,5.0984,4.6739,10.661,3.3761,20.21,1.471,30.6989,18.252,15.05,259.8484,11.538,5.0051,18.6795,0.0
PER_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.5346,0.0,0.0,0.0
PER_R,0.0,0.0038,0.0473,1.1923,0.0,0.2231,0.0121,0.3669,0.594,0.0043,1.5434,0.6933,0.0,0.2169,0.6351,0.0,0.0,0.0002,0.0003,0.0157,0.0058,0.4406,0.0393,0.0112,0.0,0.0738,0.2205,0.0004,0.0163,0.0103,0.0031,3.9715,3.0415,0.1213,0.0215,12.335,0.0,2.4152,0.3385,1.1965,9.7648,0.2012,69.5874,2.2993,0.0
PER_S,0.0131,0.0631,4.7995,5.0446,0.4011,1.2278,2.5432,0.0033,2.0876,0.1609,2.421,1.5898,0.147,1.4056,1.8089,1.019,0.0146,0.0504,0.0846,0.1094,0.0482,0.0951,0.7923,1.1125,0.2595,29.6332,1.2093,0.0258,0.3053,0.0781,0.1742,39.3151,5.8035,59.8087,29.5902,64.9574,3.0318,27.2282,33.4097,7.2157,18.2722,73.123,5.2904,17.8767,0.0
PER_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
