V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T
MAR_C20,158.274,0.0837,0.0148,2.7547,0.07,48.567,44.1485,1.8632,23.3578,6.4233,286.4802,19.7722,146.4551,49.8028,3.7583,11.2815,2.7025,20.2555,4.2751,16.7633,1.9527,20.947,3.1824,0.8615,74.2542,34.4679,0.6599,0.1937,0.2521,0.3553,0.1012,4.1515,7.5421,0.398,0.2545,0.0,1.1447,3.3412,5.9704,8.1623,5.9021,7.1757,1.7333,9.6462,0.0
MAR_C21,29.3674,0.0506,0.0022,0.3028,0.0012,13.8277,3.6734,0.261,1.7926,0.926,16.7377,50.4607,9.7292,4.5521,0.1396,1.5106,0.3654,1.585,0.6446,1.6738,0.0258,2.0145,0.5672,0.1251,6.6622,8.9468,0.1287,0.082,0.115,0.0772,0.0445,1.0635,0.9057,0.1519,0.086,0.0,0.1452,1.2409,0.5632,7.0357,5.367,13.0428,0.8264,2.741,0.0
MAR_C22,22.3217,1.4153,0.0068,7.4339,0.0284,102.7589,53.3942,1.0156,3.8367,0.3225,21.4393,3.8554,29.8065,4.0262,0.2954,2.9969,0.2879,47.3484,12.2097,87.3731,0.3041,14.07,0.4796,0.1063,69.9177,122.3511,9.1618,0.6776,1.4328,1.8891,0.1118,2.5671,1.4872,0.4762,0.0766,0.1089,0.24,0.68,1.02,12.2761,0.4906,0.4112,0.538,1.8871,0.0
MAR_C23,0.1669,0.0117,0.0049,1.4474,0.0455,19.0268,4.8314,1.3058,6.5694,0.2346,35.0963,2.3431,2.2155,190.7044,1.528,22.0151,1.3049,4.5529,0.245,28.1369,0.5314,1.8666,0.2321,0.037,2149.3265,13.9606,0.6867,0.1742,0.368,0.4089,0.0471,1.7922,1.6976,0.2717,0.0691,0.3094,0.1969,0.5079,0.5942,3.5695,0.6648,0.4014,0.2225,0.9105,0.0
MAR_C24,0.0,0.1789,0.0061,0.6896,0.0489,0.7184,1.664,0.7699,0.9374,0.2664,0.3992,0.0276,3.6946,100.3201,359.8497,142.3481,5.846,101.5558,14.2876,51.5885,10.4998,18.1601,0.0232,0.0547,328.1766,7.029,0.0484,0.0218,0.0183,0.0222,0.0,0.0,0.2728,0.0,0.0295,0.0,0.1482,0.4427,0.1656,0.0,0.2093,0.121,0.0868,0.6208,0.0
MAR_C25,1.1827,0.1111,0.0082,6.139,0.0596,63.8578,9.5445,7.1464,3.6521,1.8277,13.9237,1.6998,2.7263,31.3912,14.3853,64.865,3.1697,18.3934,7.3234,28.0791,7.8648,18.4119,2.1437,0.2783,327.289,22.6625,1.3514,0.2621,0.4013,0.615,0.0425,3.8789,2.0132,0.227,0.1572,0.1172,0.4339,0.9796,1.3287,1.1301,0.4514,0.2869,0.7804,2.7605,0.0
MAR_C26,0.3752,0.027,0.0001,0.1213,0.0015,1.7057,0.4522,0.0125,0.0548,0.0052,0.4991,0.0919,0.621,0.2141,0.0146,0.3101,42.0504,4.8945,0.389,1.6036,0.0894,0.4398,0.7402,0.1061,2.1911,2.5984,0.2219,0.0298,0.0709,0.0708,0.0909,0.041,0.2009,3.0277,0.1099,0.0,0.0248,0.2519,0.2258,1.7361,1.4692,1.5714,0.0647,0.3953,0.0
MAR_C27,0.0169,0.0108,0.0004,0.078,0.0029,0.6727,0.3279,0.0284,0.0595,0.3833,9.2217,0.786,0.7478,2.3802,0.6127,1.3168,2.5979,80.0246,0.3322,40.4986,0.6136,0.7555,4.3478,0.3506,47.6505,10.8811,0.8083,0.1303,0.2567,0.324,0.0622,0.0626,0.1461,1.6909,0.0642,0.0001,0.0954,0.288,0.3546,0.0722,0.2122,0.1548,0.0522,0.2928,0.0
MAR_C28,2.2947,0.0339,0.0225,3.161,0.0241,2.5644,1.4511,0.2271,0.0591,0.5039,1.1489,0.1868,0.1149,2.682,1.4956,0.9474,0.6055,0.6256,4.131,21.8626,1.2898,1.1425,3.7903,0.546,11.986,8.2149,0.7796,0.1272,0.2358,0.1983,0.0465,0.1095,0.6209,0.1272,0.1302,0.0043,0.2289,0.7971,1.1646,0.2309,0.8529,0.6643,0.4762,1.9468,0.0
MAR_C29,0.3055,0.2664,0.0039,1.1428,0.0272,9.4571,3.6321,1.4545,0.2629,0.295,2.7086,0.2819,0.2691,4.921,2.0797,19.5728,0.476,3.3374,2.1138,1208.7888,4.0871,8.9047,1.906,0.2961,30.4366,131.8324,54.8411,2.5175,7.4099,7.5624,3.9245,0.6849,0.3158,9.38,0.2958,0.0048,0.454,1.6119,4.1111,8.5778,0.961,0.8957,0.2009,0.6588,0.0
MAR_C30,0.0,0.3046,0.0,0.0,0.0005,0.2867,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,14.5965,0.973,0.0,0.0,0.0737,3.6091,1.2241,0.4057,3.8034,0.1941,0.0,0.0,0.0,0.0,0.0003,0.0,0.001,0.0074,0.0069,12.0937,0.0593,0.0435,0.0,0.0,0.0
MAR_C31T33,108.3121,9.9082,0.17,36.5262,0.2723,94.6906,27.1159,6.2882,9.0783,21.9296,37.4342,3.2991,4.2952,35.3906,18.0361,11.5711,7.5392,22.7594,3.38,18.4549,7.9465,28.8846,27.9056,2.6597,84.2564,32.9773,24.1563,8.8817,42.0579,6.3528,1.2879,10.9167,2.2958,12.7538,1.0543,3.9356,4.2129,6.5709,21.5193,21.6555,22.0255,8.1915,2.6521,4.9585,0.0
MAR_D,97.2424,1.2393,0.1257,23.3841,0.1735,101.7791,36.4851,3.6201,8.4413,5.5086,62.9357,6.348,22.5507,109.9474,28.6535,7.7161,14.8649,11.2739,1.542,23.3833,1.2973,6.8291,24.7677,1.9356,55.2575,81.3714,16.9051,1.299,4.4936,10.6236,2.1318,44.5166,6.2483,21.4946,0.6495,15.8485,2.3036,3.3953,4.9138,99.3944,30.4543,20.7891,6.0532,12.4926,0.0
MAR_E,20.3916,0.337,0.029,5.5102,0.0068,19.0399,6.1911,0.53,1.2646,0.9937,11.8759,1.6531,3.1593,16.5385,6.0652,1.2793,2.4875,1.6248,0.2373,3.5599,0.2735,0.5649,3.578,1.4226,15.8128,17.1993,3.2301,0.9093,1.2174,1.8522,0.7829,9.3399,0.9177,4.0273,0.1082,3.3821,0.5555,0.6322,0.9145,23.8008,6.3512,4.3605,1.3364,3.0956,0.0
MAR_F,31.1503,0.6666,0.1059,14.4845,0.1471,19.7514,5.1647,1.1921,0.5929,2.435,5.5607,1.0787,0.2714,10.1205,1.1291,0.873,2.0321,2.6902,0.351,17.1879,2.0831,3.9935,14.4661,1.4072,34.5111,44.9934,5.0103,0.7263,1.8137,3.1494,0.4052,2.7998,1.803,3.3131,1.0449,21.1947,5.8139,3.7385,3.9409,44.4917,16.8506,9.0083,1.7203,4.2686,0.0
MAR_G,320.1854,24.1901,0.2063,36.5453,0.6681,925.4093,109.8879,26.6549,31.7875,9.9211,125.9426,22.3009,36.0972,97.7665,50.5119,45.2805,24.2952,44.8897,14.5964,271.4032,9.6813,38.5852,47.4308,4.5358,491.9767,180.4525,175.0527,28.1803,83.6665,29.2814,2.6614,59.8201,10.8154,10.0673,2.4566,3.3234,4.4821,13.7471,23.198,642.158,45.2024,40.8778,4.8939,16.5767,0.0
MAR_H49,85.5386,4.1901,0.389,65.8217,0.2134,145.3933,19.8764,6.6966,12.1219,14.2524,73.7351,5.9617,7.1756,40.9196,14.5302,11.7364,9.2111,16.1538,2.046,14.8355,1.5868,8.141,10.246,0.9477,98.7175,91.5547,35.3619,5.4112,12.5016,9.1608,0.8421,7.4162,6.3998,2.0421,0.2081,12.2294,0.347,1.4029,2.213,32.5822,25.6026,12.0086,3.7309,14.8446,0.0
MAR_H50,0.0012,0.005,0.0008,0.0009,0.0006,0.3047,0.3876,0.0073,0.0329,1.5685,0.0993,0.0138,0.041,0.0358,0.2367,0.0561,0.0027,0.0265,0.0243,0.6588,0.018,0.0384,0.2569,0.0149,0.9724,0.0037,0.0013,0.0003,0.0158,0.0004,0.0008,0.0418,0.0099,0.0021,0.0008,0.001,0.0016,0.0054,0.0091,0.0047,0.0006,0.001,0.0011,0.0019,0.0
MAR_H51,6.8722,1.2007,0.0352,0.4341,0.0075,19.608,12.1534,1.0956,2.1381,40.4019,9.5318,0.9867,2.0741,5.7316,5.831,3.1125,1.5672,3.411,0.9553,13.5688,0.7501,1.9207,6.3326,0.5258,23.2347,4.9762,4.2352,1.0195,0.6862,0.0116,0.0508,1.5664,0.4731,0.3063,0.0415,0.1686,0.0939,0.3023,0.4795,0.6549,0.0722,0.1608,0.0797,0.2881,0.0
MAR_H52,13.4344,0.909,0.0718,8.9107,0.0343,24.7471,3.2939,1.1606,2.202,1.3926,13.6769,1.2474,1.282,7.2193,2.5517,2.1254,2.1522,3.0953,0.3576,2.336,0.282,1.3656,1.6428,0.1543,17.6455,21.924,11.734,6.4109,11.6227,7.3457,0.1545,1.3026,1.2588,0.4768,0.038,1.7222,0.0538,0.2189,0.38,5.4749,1.4476,1.1755,0.5224,1.9451,0.0
MAR_H53,0.2226,0.0214,0.0003,0.0402,0.0013,0.5699,0.1723,0.0221,0.0536,0.0345,0.3025,0.0786,0.0345,0.1588,0.0188,0.1058,0.0611,0.1546,0.0177,0.1248,0.0447,0.0756,0.3346,0.0453,0.6019,3.1884,0.2558,0.0504,0.0968,0.1803,0.2807,0.1835,0.11,0.5653,0.0333,0.9243,0.0447,0.2262,0.2394,2.2307,0.6232,0.3877,0.0436,0.1843,0.0
MAR_I,0.3369,1.3333,0.005,1.0288,0.0208,2.3833,1.6636,0.2076,0.3294,0.3666,3.0091,0.8697,0.446,1.6682,0.5025,1.4161,0.6788,1.2738,0.3911,5.4424,3.4716,0.4445,0.4502,0.0643,0.688,3.0921,1.0648,0.2559,1.8227,0.3644,1.3741,6.6711,2.6696,9.3417,1.2473,24.455,1.5308,4.7039,12.4029,59.4625,12.8359,7.4619,1.4278,5.9837,0.0
MAR_J58T60,0.1396,0.1191,0.0066,1.9319,0.0041,15.4106,4.6859,0.3009,0.8003,4.7587,4.187,1.1666,2.4081,10.2043,1.6309,0.9065,1.1557,1.9872,0.2415,1.9806,0.563,0.6654,5.9628,0.6503,3.6298,7.283,0.285,0.0769,0.256,0.1771,0.0601,2.5422,11.2967,1.0058,0.3003,2.9033,0.1994,5.4302,1.0955,4.9986,7.3598,2.1536,1.9573,3.0709,0.0
MAR_J61,6.3132,0.5924,0.0127,1.2333,0.0293,12.9354,3.8273,0.5536,1.0616,0.7572,6.478,1.5327,0.8303,3.7883,0.439,2.4992,1.2462,3.0939,0.4085,2.9072,1.4901,1.5881,6.8693,0.745,19.2697,61.0191,8.6773,1.825,4.1037,4.2983,0.2434,6.678,3.4631,15.9812,1.5147,19.0466,1.1633,5.1716,5.6207,43.1873,15.2667,11.0236,1.121,3.4558,0.0
MAR_J62_63,0.0135,0.0019,0.0005,0.1617,0.0017,1.0186,0.5754,0.0166,0.1439,0.1428,0.406,0.1003,0.0328,0.3474,0.0514,0.1118,0.2591,0.3519,0.0194,0.7069,0.1067,0.1455,0.4744,0.041,0.7071,2.1281,1.2248,0.3038,1.1783,0.7579,0.0888,0.683,0.4717,1.2473,0.4268,2.7792,0.0523,0.3264,0.3684,2.232,1.2778,0.8891,0.1229,0.3125,0.0
MAR_K,72.3432,29.5514,0.1969,23.9846,0.45,199.2368,71.7139,9.3916,23.0636,124.2187,44.1951,8.4566,28.4626,45.1895,14.6628,37.6737,14.5413,28.6502,3.6248,108.7021,11.5571,32.1295,230.5788,20.4612,820.4114,529.7491,54.7724,17.9548,31.4891,21.0358,6.8974,123.2454,13.9962,65.5111,50.1499,657.6245,272.7217,239.9269,334.2442,173.6863,19.4573,16.9329,5.1641,16.538,0.0
MAR_L,0.4535,0.0468,0.0064,2.1494,0.0314,36.2415,10.2735,0.5931,3.7832,2.2482,7.8834,1.7472,1.0673,8.5125,1.1583,3.2221,3.3151,7.0942,0.3916,13.0003,2.2317,4.3796,6.5368,0.5571,23.2434,98.5486,32.7252,5.9142,19.6379,24.9546,1.5955,30.8281,8.6615,17.824,2.3056,36.275,10.8653,14.0703,18.0003,36.0963,32.0859,25.8193,4.8657,14.0877,0.0
MAR_M,1.4219,0.1396,0.0352,7.9453,0.4043,120.7849,20.7854,1.4505,10.3597,8.9676,36.2573,14.7648,2.7955,23.8241,4.3598,7.4034,11.2172,26.5548,1.4147,55.5946,7.7263,11.5365,23.7186,1.8655,70.2785,158.4757,51.7599,16.0323,41.0053,34.3124,2.2981,37.7488,24.2932,36.8276,5.9808,100.0077,9.0544,67.4897,38.0478,74.1482,49.9255,35.8477,9.1041,24.4723,0.0
MAR_N,1.4241,0.1571,0.0268,7.6881,0.5261,82.6568,16.6852,1.6191,10.3122,7.9655,27.005,8.2712,2.6665,27.2437,5.1579,8.0915,10.0396,19.5298,1.2021,46.4961,5.4518,13.2056,30.8632,2.9814,58.2975,132.0276,106.2709,32.7601,86.2198,69.9777,5.5702,45.9267,22.3554,48.7685,7.2857,91.2716,18.6839,49.8781,119.9299,118.0728,85.4041,88.0024,16.3378,31.1841,0.0
MAR_O,3.1793,0.0353,0.0108,1.4744,0.0339,1.8038,0.4005,0.1078,0.0567,0.2471,0.5395,0.1054,0.0231,0.785,0.1076,0.0251,0.2008,0.1414,0.0304,1.6383,0.201,0.506,1.4665,0.1427,0.7624,4.5012,0.5078,0.0734,0.1835,0.3194,0.0347,0.2318,0.1693,0.3074,0.1052,2.1619,0.5889,0.3705,0.3855,4.5313,1.7165,0.915,0.1605,0.4072,0.0
MAR_P,33.067,0.0,0.0,0.0,0.0095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4682,0.0,0.0,13.8271,0.0,0.0,0.0,34.431,35.8704,9.2362,1.4247,5.8523,0.0
MAR_Q,19.3118,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4044,0.0,0.0,5.5319,0.0,0.0,0.0,17.638,2.8694,14.1742,0.8417,2.5896,0.0
MAR_R,0.0,0.0384,0.0071,1.1316,0.0004,2.969,1.3448,0.1183,0.2432,1.4993,0.461,0.1782,0.7879,2.1673,0.6824,0.29,0.4069,0.5604,0.0378,0.7779,0.2706,0.1156,1.9281,0.1962,1.0872,1.7608,0.0436,0.034,0.0363,0.0309,0.0151,1.1262,1.4666,0.1134,0.1049,0.0398,0.0706,1.096,0.9679,1.1877,1.9097,0.7605,3.8244,1.1737,0.0
MAR_S,0.0,0.3688,0.0361,4.7272,0.0222,12.4365,6.5712,0.7008,1.4694,11.4015,3.3499,0.9339,4.1108,18.4469,2.2771,1.8018,1.717,3.1654,0.2911,3.6057,0.6312,0.8128,14.4826,2.0934,6.7714,7.8524,0.2519,0.0738,0.2083,0.1393,0.0895,3.7825,2.6874,0.5511,0.8012,0.2203,0.9699,4.2065,4.831,4.24,4.6565,5.3822,2.2864,12.7145,0.0
MAR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
