V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T
EST_H51,0.2496,0.0194,0.0401,0.0275,0.0006,0.3267,0.0955,0.1665,0.0707,0.0884,0.1503,0.0156,0.0627,0.0531,0.0205,0.4086,0.2259,0.0775,0.0762,0.0739,0.0126,0.0947,0.3308,0.0321,0.2373,0.5726,0.5248,0.2562,0.1083,1.1025,0.0086,0.0965,0.0146,0.0215,0.0236,0.0473,0.1112,0.09,0.0981,0.0391,0.0259,0.0742,0.0484,0.0293,0.0
EST_H52,30.1343,3.4881,4.0213,2.6516,0.0456,14.9972,2.9133,11.8247,6.1326,1.8642,7.0671,0.2267,2.2547,4.5813,0.2879,6.6141,3.0452,1.6461,1.7414,1.8821,1.8381,10.4877,7.0028,6.2416,8.8903,112.6928,167.9306,64.2908,37.0933,392.6007,1.1082,2.0429,0.4551,0.713,0.5641,1.3319,4.3117,2.7128,18.4081,3.8424,1.0001,1.1254,0.9927,1.5527,0.0
EST_H53,0.2926,0.0086,0.0205,0.0107,0.0003,0.4207,0.2609,0.3378,0.146,0.0145,0.1114,0.0221,0.1398,0.0583,0.0042,0.1078,0.1134,0.0472,0.047,0.0655,0.0416,0.4034,1.5834,0.3318,0.4412,5.6828,0.5727,0.0723,0.0352,0.7878,6.6772,0.2952,3.2398,0.4501,0.2038,1.9087,1.1472,1.3784,5.2032,2.4362,0.2661,0.309,0.5975,1.0321,0.0
EST_I,1.1804,0.1559,0.0541,0.0146,0.0011,0.6122,0.1435,0.5818,0.2556,0.0598,0.2088,0.0385,0.1422,0.1766,0.0136,0.9858,0.4619,0.3852,0.2232,0.3384,0.1551,1.5427,0.1916,0.0622,4.5699,5.1404,3.3627,0.1048,2.5794,1.2698,0.0443,1.0367,0.7591,0.4737,2.7959,1.5114,0.3947,4.0263,18.2351,9.5964,9.5128,4.1749,4.7463,1.3059,0.0
EST_J58T60,2.2879,0.0719,0.1441,0.0668,0.0003,1.1163,0.324,0.9484,2.5734,0.7795,0.2225,0.0481,0.0908,0.1031,0.0026,0.3995,1.2329,0.2109,0.2673,0.258,0.0407,0.3187,1.2137,0.1732,0.8477,29.3509,0.8403,1.1019,0.1213,1.931,1.5386,4.6855,25.9724,9.2074,8.0003,5.2734,0.8164,23.4681,5.4494,6.7233,11.2827,1.8872,7.9955,5.0188,0.0
EST_J61,6.607,0.3257,0.5473,0.1829,0.0073,5.5979,1.7995,6.6657,2.8234,0.2705,1.6048,0.3516,2.1676,2.6527,0.0105,3.2785,12.4573,1.4064,1.5097,0.9051,0.2102,2.0001,5.66,1.3572,11.5743,33.3545,8.8159,1.2677,0.4064,12.4735,0.5801,3.4842,9.4764,245.3091,14.5706,10.8853,11.1727,15.6276,7.6636,5.7308,4.3966,2.7804,3.5661,2.518,0.0
EST_J62_63,1.832,0.0364,0.4366,0.2789,0.0073,2.5582,0.8316,1.2319,1.0687,0.2262,0.4133,0.1278,0.5521,0.3771,0.0133,1.991,3.1239,0.3923,0.3638,0.4409,0.1742,0.7899,5.4559,0.3723,3.1172,29.8802,4.5814,1.5112,0.8122,5.5745,0.3302,1.8912,3.5399,11.8767,25.0673,15.9098,2.5793,22.9836,5.4506,16.9498,3.6688,3.2877,1.8489,1.7389,0.0
EST_K,16.1118,1.0927,1.1921,0.5974,0.012,10.2309,4.8067,9.7674,4.2056,1.8311,2.4414,0.4292,2.1067,2.5463,0.2109,5.6332,5.2662,2.8079,1.9343,2.2059,0.6064,5.9869,21.8158,1.9996,33.5889,101.6869,24.8844,5.0761,1.5644,19.3827,2.881,12.4787,2.0694,6.7268,4.2584,201.3787,136.576,29.2165,44.9208,21.225,4.8503,5.4855,6.5791,6.8777,0.0
EST_L,8.308,0.2581,0.8804,0.3844,0.0135,11.3965,8.5803,10.9239,4.7535,0.1227,1.0664,0.2623,5.4894,2.4826,0.4641,11.9826,5.9902,3.9698,3.8316,6.2446,0.5448,13.2768,9.2256,6.1531,13.1687,277.1866,11.9478,2.2791,0.4404,49.7436,1.2995,58.6001,3.8474,8.0423,12.8248,25.3221,79.8131,40.3673,20.6659,23.4497,17.7294,10.2116,23.6187,12.6177,0.0
EST_M,17.0918,0.9087,1.8062,0.6014,0.0283,32.8387,8.0667,12.0011,8.6325,6.0006,3.8938,7.9976,5.6213,5.9445,0.3297,6.567,10.6193,6.2006,8.2381,5.6421,0.8771,23.3382,22.7489,6.312,151.1419,141.2727,22.5692,6.1621,2.8461,24.243,1.9949,15.5849,11.7314,26.1206,11.9894,29.8998,26.7277,123.9697,46.1973,29.4644,8.3846,6.8284,14.2543,9.9127,0.0
EST_N,4.768,0.7669,1.2022,0.6892,0.0207,12.6502,3.2497,4.7988,2.1939,1.3876,2.7561,0.2117,1.0962,2.6096,0.1912,10.3594,6.2787,2.7851,1.1924,1.9107,0.3424,4.8341,14.3604,5.6598,37.2613,73.0354,22.7515,73.9942,7.8287,37.0687,2.4627,19.5754,1.526,4.879,7.0777,18.6607,56.9416,61.2999,45.7145,50.541,16.3914,13.1333,15.9811,8.4517,0.0
EST_O,1.6953,1.2768,0.2824,0.1748,0.0043,2.4758,0.6534,1.4582,0.5516,0.2226,0.4258,0.1078,0.4626,0.4398,0.032,1.1679,0.6131,0.3858,0.3511,0.4178,0.0773,1.1333,2.8422,0.7788,8.5368,20.6671,4.5387,1.0369,0.6119,8.378,0.1602,2.8162,4.6487,5.4685,1.5219,1.47,5.904,11.0596,3.3585,11.3646,1.1137,1.2725,1.4286,0.8823,0.0
EST_P,0.8046,0.0217,0.2355,0.1006,0.0032,2.0121,0.5464,0.7577,0.343,0.1692,0.2776,0.0945,0.3128,0.4623,0.0643,0.7705,0.6659,0.8961,0.2637,0.2869,0.0283,0.8792,2.0888,0.43,2.2173,11.256,3.1585,0.1903,1.1531,2.8646,0.1703,2.1644,0.6508,2.3916,1.8269,8.2918,2.1143,7.3552,2.1438,17.7876,22.7646,3.9794,2.3918,4.1656,0.0
EST_Q,0.4735,0.0203,0.163,0.0844,0.006,0.8292,0.2183,0.2375,0.2595,0.1733,0.1163,0.0172,0.1234,0.1208,0.0095,0.3399,0.2455,0.1883,0.1019,0.2785,0.051,0.3854,1.0987,0.1706,1.1761,5.716,0.6925,0.3122,0.1329,1.0717,0.2814,1.8814,0.1431,0.195,0.6013,1.6919,0.9215,3.237,1.6177,11.8353,5.6063,40.5178,1.2318,0.6186,0.0
EST_R,0.3069,0.0047,0.0148,0.0098,0.0002,0.2818,0.114,0.4004,0.0903,0.0221,0.0398,0.0475,0.0759,0.0865,0.0043,0.1445,0.117,0.0527,0.0844,0.1109,0.0161,0.2044,0.1473,0.0896,0.2546,5.5041,0.1952,5.4314,0.0374,0.5397,0.0432,3.3184,1.671,0.4016,0.488,0.6153,0.7776,2.1432,2.1741,3.5492,7.1424,0.5858,56.4852,0.9318,0.0
EST_S,3.1826,0.1233,0.1177,0.1096,0.0021,9.1624,0.6682,0.763,0.4068,0.4104,0.2785,0.0466,0.3118,0.4379,0.0263,0.6432,3.2671,1.0736,0.5062,0.4191,0.217,0.7481,0.762,1.0906,1.1616,10.7848,5.0235,0.4954,0.098,1.7162,0.1072,2.3845,0.8438,4.5499,1.5766,2.4095,1.8606,3.5016,3.4795,9.4776,2.9469,2.5465,1.938,6.6596,0.0
EST_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
