V1,MMR_A01_02,MMR_A03,MMR_B05_06,MMR_B07_08,MMR_B09,MMR_C10T12,MMR_C13T15,MMR_C16,MMR_C17_18,MMR_C19,MMR_C20,MMR_C21,MMR_C22,MMR_C23,MMR_C24,MMR_C25,MMR_C26,MMR_C27,MMR_C28,MMR_C29,MMR_C30,MMR_C31T33,MMR_D,MMR_E,MMR_F,MMR_G,MMR_H49,MMR_H50,MMR_H51,MMR_H52,MMR_H53,MMR_I,MMR_J58T60,MMR_J61,MMR_J62_63,MMR_K,MMR_L,MMR_M,MMR_N,MMR_O,MMR_P,MMR_Q,MMR_R,MMR_S,MMR_T
MMR_G,807.4784,254.1526,90.4701,42.4776,0.6998,260.1201,248.0099,21.8701,34.2015,49.8848,46.8842,20.6332,30.6672,38.4816,30.9779,24.0191,36.8689,22.1057,25.9058,49.6124,6.5974,44.5455,15.4454,4.1403,142.9961,389.8588,141.739,19.6356,19.7479,23.326,4.1461,87.6327,17.5718,32.9011,8.6934,26.8598,20.6838,29.6081,33.293,71.7305,26.4878,57.9181,10.7028,22.7637,0
MMR_H49,175.4674,52.4011,105.2027,42.2053,0.408,56.11,33.0559,8.5433,12.6886,25.2477,15.3975,3.3907,8.7092,25.8328,16.8765,9.2754,8.0482,6.3526,7.8205,10.6252,1.6155,11.2504,6.7951,1.4515,51.5686,145.8225,87.7601,8.3041,5.7747,33.6997,4.4666,15.1075,4.2829,5.2624,1.7861,8.2802,5.0142,8.9559,8.1276,23.1095,11.41,11.1432,2.5928,7.5882,0
MMR_H50,15.6083,7.7624,89.4857,15.3216,0.1606,4.3643,9.0822,1.9607,3.078,17.7892,5.9763,1.0855,2.308,6.5181,6.0045,4.1226,3.3385,2.9689,3.7715,3.9566,1.2601,3.265,1.8168,0.3342,10.625,64.1003,21.8704,142.5839,3.2856,25.0873,1.2973,1.5768,0.9008,2.0779,0.553,2.3589,1.2521,3.1157,3.3726,7.6844,1.6303,2.5563,0.7173,1.6001,0
MMR_H51,11.1835,3.2224,22.7685,3.4507,0.0609,3.029,8.43,0.5513,1.6473,3.606,2.975,1.2153,1.9455,2.5082,2.9287,2.6702,3.4842,2.0636,2.6669,2.6904,1.1487,2.7889,1.1806,0.234,10.0532,24.4313,6.0588,2.9764,17.4393,9.1345,2.5453,1.5783,1.345,2.7905,1.5598,7.9755,1.5995,6.5251,7.5098,14.4433,3.3197,3.5884,1.1192,2.3186,0
MMR_H52,32.6886,12.6825,27.7948,15.3026,0.1965,11.1106,8.6296,1.9878,3.3972,9.4519,4.8876,1.2092,2.5481,5.9335,4.7189,2.805,3.3779,2.0786,2.3102,3.7541,0.542,3.2991,1.8122,0.4541,11.1141,106.9103,63.9804,45.1624,38.5775,54.1215,1.4969,2.9794,1.5376,3.0212,0.7998,2.6635,1.7069,3.5792,3.1479,7.7303,1.5388,2.0234,0.6582,1.94,0
MMR_H53,0.8912,0.2166,2.2782,0.7042,0.0151,0.2567,1.1348,0.1176,0.4408,0.357,0.4049,0.1994,0.2371,0.3775,0.2367,0.3485,0.6885,0.3457,0.3617,0.3406,0.0592,0.5899,0.6663,0.1596,1.4847,15.0777,1.5017,0.3019,0.3289,1.5936,6.9964,0.4069,1.7489,7.1426,0.8595,10.0386,1.4934,3.5442,2.1804,8.4479,1.655,1.5987,0.6191,1.7089,0
MMR_I,4.2618,1.4324,23.5942,5.6361,0.1361,1.7458,6.3124,0.8458,2.0847,2.6826,2.6386,1.7048,1.7835,2.9217,1.9137,2.5598,4.5485,2.0457,2.9226,2.725,0.5469,3.7535,3.1104,0.7282,14.1807,61.6916,13.9678,3.6146,14.566,8.8142,0.9001,5.3386,4.4897,11.5073,5.4135,29.7254,7.3949,21.7176,18.4214,46.6746,19.7441,21.6005,5.8564,11.2374,0
MMR_J58T60,1.2873,0.3525,3.1081,1.1309,0.0199,1.0171,2.2632,0.2813,2.5029,0.6648,1.1076,0.7006,0.5422,0.769,0.4238,0.5534,1.5542,0.7244,0.6351,0.8282,0.2069,1.1253,0.7769,0.2136,2.9853,23.8524,2.0396,0.4779,0.9927,1.5614,0.4252,1.2393,38.4714,16.8966,4.7416,11.0565,2.9154,22.5415,4.4346,11.4614,11.5843,2.7877,4.5118,3.2585,0
MMR_J61,4.9896,1.6164,16.4687,4.3678,0.0708,1.2029,5.3794,0.7251,1.8345,1.648,1.6881,0.9157,1.2945,2.2318,1.1557,1.9815,4.5094,1.6494,2.2098,1.9234,0.3957,2.7784,2.5387,0.6847,11.9023,51.5712,8.7081,1.8774,2.3154,6.8434,1.7281,2.666,8.609,210.6805,8.309,40.5513,8.3809,19.9708,11.3839,34.1728,9.5832,8.8633,3.6667,8.4733,0
MMR_J62_63,1.1751,0.3025,5.2008,0.8945,0.0174,0.546,1.6004,0.1718,0.6779,0.7222,0.62,0.4298,0.3425,0.6756,0.4425,0.5352,2.0011,0.7121,0.6938,0.7274,0.1924,0.8923,1.2358,0.2482,2.85,13.8484,2.3346,0.4367,0.8683,1.7105,0.4847,0.5018,2.6024,10.7903,11.7363,18.6432,1.9348,6.647,2.6955,10.2655,2.3024,2.2786,0.8581,1.9276,0
MMR_K,37.7815,7.1014,96.5602,18.1348,0.3453,4.1707,19.7185,3.1339,7.1738,11.8464,7.1304,3.0589,5.0214,8.6337,7.2703,7.1833,9.5054,5.5373,7.0313,7.1456,1.6536,8.9912,13.7972,2.2011,48.2473,128.8124,32.5643,8.931,7.7757,14.698,1.9229,6.1279,5.8313,24.1495,6.7523,335.232,195.3519,32.3769,21.7346,52.0262,13.4701,15.54,5.0352,12.3756,0
MMR_L,4.6163,1.0335,13.398,3.9919,0.0582,1.5809,11.3801,1.0881,2.9516,1.4876,1.712,0.9203,2.0907,2.7143,1.3346,3.3419,4.0825,2.0278,2.6022,2.3705,0.4829,5.3589,2.429,0.7552,19.678,137.4773,10.8989,1.9999,2.015,11.6555,1.4927,11.1948,5.0828,19.2629,6.2769,39.071,55.761,25.7075,14.1228,32.5645,16.5314,15.0289,6.3956,15.8592,0
MMR_M,18.7536,2.0135,78.7702,15.4092,0.5153,5.7688,15.4481,1.8017,5.5493,7.2833,6.7319,6.1955,4.1304,6.8881,4.0707,5.1367,12.0721,6.2584,6.5128,7.5343,1.5893,8.0741,7.6848,2.0836,76.1957,116.5302,12.5294,3.7391,3.7318,10.7804,1.3679,4.1862,12.2,33.0814,10.877,58.4696,31.8093,88.6253,21.6846,40.5734,12.4909,14.3799,6.3712,11.6084,0
MMR_N,9.5643,2.1522,62.2149,12.8663,0.479,3.8971,13.477,1.5951,5.4544,5.7606,4.8009,3.6378,4.0643,7.0033,3.7429,5.7923,9.9777,4.9701,5.317,6.6457,1.2243,8.1081,6.4625,2.0076,37.0862,89.4578,26.1079,9.1178,11.8815,17.5443,2.7425,5.6704,8.2979,34.7758,9.5602,44.3809,28.3976,33.2353,41.8338,42.6156,16.8281,22.6246,7.1619,11.5517,0
MMR_O,9.152,2.1456,20.4233,6.4529,0.1365,1.6958,6.5167,1.109,2.8474,3.6814,2.2985,1.8142,1.8197,2.9806,4.3475,2.7444,2.7812,2.0557,2.2349,2.8823,0.5372,3.1362,4.5911,1.7469,21.221,34.3836,17.0792,3.2315,3.4779,7.9364,0.8891,2.2365,3.5517,12.9577,3.1351,15.6199,14.5086,15.8106,7.6945,100.9326,11.6876,11.6115,3.4288,5.3794,0
MMR_P,1.4474,0.3994,6.204,1.2337,0.0228,0.4306,1.2738,0.2253,0.5685,0.8866,0.5382,0.7096,0.393,0.6626,0.7556,0.6271,1.8058,0.6527,0.6259,0.6773,0.1794,0.8282,0.8813,0.2598,2.8729,10.2627,2.6145,0.4068,1.2936,1.513,0.2426,0.5082,1.0652,4.4922,2.4674,12.0482,1.6363,7.4246,3.9282,25.9451,38.9155,5.6505,1.0536,3.0185,0
MMR_Q,4.265,1.1649,4.2629,1.2564,0.0402,0.6746,1.9115,0.2362,0.5052,0.7473,0.6005,1.0088,0.4304,0.6585,0.5016,0.5791,0.8845,0.4833,0.5387,0.6344,0.1418,0.8923,0.6134,0.2883,2.77,7.8068,2.4496,0.4509,0.5058,1.1775,0.273,0.8029,0.745,1.7778,0.9054,5.9238,1.041,4.124,2.8989,30.9215,6.6794,165.3999,1.5254,2.8681,0
MMR_R,0.6729,0.1868,1.139,0.3456,0.0044,0.2827,0.5135,0.0959,0.3195,0.2008,0.1688,0.1078,0.1339,0.1913,0.1447,0.1627,0.2835,0.1661,0.1305,0.2529,0.047,0.2871,0.2171,0.0683,0.8589,4.2564,0.5626,0.3574,0.2398,0.515,0.1132,0.8666,6.8021,2.0285,0.4777,2.2457,1.1577,2.9728,1.7495,5.3567,3.625,0.8268,20.7574,2.4953,0
MMR_S,4.3622,1.6131,6.9312,2.7936,0.0492,1.109,3.3453,0.4501,1.0427,1.5701,0.8916,0.5164,0.6883,1.4798,0.9393,0.9283,1.7729,0.8781,0.9313,1.0884,0.2104,1.7886,1.4639,0.4974,4.7177,16.543,4.7499,0.9506,0.9994,2.8135,0.4117,2.6715,1.7993,5.7318,2.1104,8.5335,3.3303,6.7818,4.2437,9.5338,4.8037,10.977,2.4104,14.7115,0
MMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
