V1,ARG_A01_02,ARG_A03,ARG_B05_06,ARG_B07_08,ARG_B09,ARG_C10T12,ARG_C13T15,ARG_C16,ARG_C17_18,ARG_C19,ARG_C20,ARG_C21,ARG_C22,ARG_C23,ARG_C24,ARG_C25,ARG_C26,ARG_C27,ARG_C28,ARG_C29,ARG_C30,ARG_C31T33,ARG_D,ARG_E,ARG_F,ARG_G,ARG_H49,ARG_H50,ARG_H51,ARG_H52,ARG_H53,ARG_I,ARG_J58T60,ARG_J61,ARG_J62_63,ARG_K,ARG_L,ARG_M,ARG_N,ARG_O,ARG_P,ARG_Q,ARG_R,ARG_S,ARG_T
ARG_C20,728.1393,4.022,17.3018,44.5357,17.5642,243.3784,182.9705,29.1486,207.7974,168.2134,964.6762,260.4374,1058.1536,61.7438,42.081,60.3324,59.1211,85.9812,45.0978,90.5456,5.195,63.5005,8.3621,18.8423,178.6442,73.0757,70.9838,1.6021,13.0985,12.9903,1.2555,44.9441,25.8084,30.6914,8.3105,16.9257,142.5349,39.4995,40.8169,48.7579,16.8386,126.3352,27.5077,94.8143,0.0
ARG_C21,281.7989,1.6361,9.2689,4.8639,3.0451,404.455,43.1334,13.3898,34.5473,37.3861,88.583,2790.5488,61.8655,16.2163,21.1535,18.2672,22.8084,18.3059,35.5333,60.7183,1.6034,14.361,11.6689,5.129,100.0554,80.4253,23.7771,0.3333,5.8226,8.3735,1.4717,47.1671,21.5878,100.8976,20.5004,35.6096,29.8674,56.695,14.7945,39.3309,43.2903,1468.1035,33.6431,250.2671,0.0
ARG_C22,277.1962,7.6486,38.0173,6.8933,99.5652,1166.1088,261.7581,16.8404,250.1735,29.4998,523.6171,226.1918,339.1188,43.6175,14.7653,47.3782,64.8423,114.9966,222.4517,465.2714,17.9634,143.1931,6.2562,29.9598,281.7791,338.1263,539.9308,0.6888,59.3247,191.376,9.1872,207.3617,23.6053,16.5279,22.0537,22.9524,94.4563,49.1529,37.8687,142.7593,18.2236,56.7394,29.8232,47.4112,0.0
ARG_C23,30.2009,0.1751,58.2176,1.999,11.5082,393.6561,4.5106,9.9701,5.497,7.5387,53.9958,56.2613,25.489,428.9266,31.3925,30.4162,32.3816,39.8248,28.7161,107.5388,0.748,11.0102,23.0254,18.8241,3065.8468,80.8564,18.2347,1.3957,61.2487,2.6359,0.1963,14.1964,7.7199,7.2606,2.5737,6.2724,449.3631,8.3946,117.4023,23.3192,16.9891,35.9916,9.3389,13.5236,0.0
ARG_C24,48.7889,4.5934,184.3052,28.0465,0.5626,186.9233,17.325,22.5971,51.6065,22.0253,75.8987,29.1456,104.5226,70.7081,3130.7077,1318.1592,99.2111,1282.0739,805.354,1153.1125,25.3929,148.0998,7.034,6.4684,1100.2211,19.7905,11.3266,0.106,5.1652,12.434,4.5791,6.2885,8.9045,14.3188,2.9021,2.349,159.168,6.3906,43.2585,35.7771,3.4186,8.4742,9.7057,6.8233,0.0
ARG_C25,57.6844,11.323,221.1783,7.4533,5.1977,277.9679,31.5142,30.8771,24.6571,11.6986,76.4888,45.5976,47.8886,22.1285,131.6873,389.9244,39.5553,251.764,667.4987,1020.9054,19.2661,100.8499,24.0272,13.0364,967.767,50.6921,53.3458,0.6787,11.1514,34.3421,10.4245,18.5558,11.3523,40.1007,11.0568,11.0885,216.9872,16.9888,65.2477,46.7897,9.0496,11.0261,21.3022,9.841,0.0
ARG_C26,12.8606,0.4151,12.1004,1.56,6.0098,24.8789,5.1682,1.5692,24.5243,17.9354,8.0451,8.9091,4.6812,2.6184,4.4325,8.2116,453.0321,41.5666,38.1936,53.4555,0.516,11.7663,19.072,2.2373,107.2789,38.4563,11.5054,0.1351,4.0986,7.0825,0.5639,11.8992,171.9235,180.3998,31.5488,13.5367,19.5626,31.8462,22.649,59.1765,20.222,121.881,7.7723,28.0721,0.0
ARG_C27,36.4426,3.1675,21.6618,3.3057,7.3348,110.3203,15.4962,7.128,15.4833,14.7314,15.8879,17.1238,10.4819,15.7063,43.6096,30.8076,178.4503,311.4994,216.861,240.9447,4.0159,21.5226,150.0556,4.9303,421.3889,130.4969,51.7514,0.2926,2.0437,30.3234,0.9261,41.6221,25.5329,308.3432,32.2789,10.0706,258.1092,30.8684,38.9417,41.6783,17.0798,15.9196,14.791,13.6621,0.0
ARG_C28,113.6921,10.1951,60.8009,6.9993,15.9293,123.3825,33.8927,10.7769,32.5563,23.3241,24.6927,37.2375,20.5987,22.5221,32.2425,59.2176,27.0158,101.7919,627.7977,1033.9994,9.2629,24.7139,48.7972,19.8644,575.1476,61.3384,152.9965,3.1701,3.0112,19.6789,0.84,21.9876,10.1484,27.0239,9.6943,8.7916,67.4527,16.9797,54.714,40.4554,7.7682,14.1603,11.9201,6.8507,0.0
ARG_C29,136.6084,12.5882,59.3578,40.2888,28.9976,240.0827,49.0507,17.1816,58.036,33.0916,36.9772,54.9283,35.1699,31.0747,56.8705,50.6028,20.6933,51.8212,360.4947,2182.3136,11.0312,26.7773,45.6476,57.7273,308.177,211.8428,665.9145,2.786,19.0926,118.9051,5.3819,41.0438,20.5349,87.8799,24.7009,58.5348,48.1854,36.7462,46.8233,247.1924,22.1992,51.4024,26.5021,23.3883,0.0
ARG_C30,7.7882,0.2572,1.7308,0.4258,0.6972,12.2697,2.1567,0.6691,2.0006,1.7331,2.1982,2.64,1.635,0.9707,1.345,1.7166,4.4986,2.6052,11.9609,24.3311,25.5924,1.2124,1.3809,0.6848,15.0492,6.2621,13.4076,0.5052,1.9686,8.1175,0.1133,2.8191,3.068,6.3156,1.5326,0.9879,2.0699,1.4731,1.6394,4.3883,0.9098,2.188,2.0099,0.9182,0.0
ARG_C31T33,22.7198,0.9776,134.9207,3.5164,2.9885,59.9654,55.2987,6.8409,44.963,5.2875,16.7809,15.8622,13.5663,5.8321,30.3621,15.4595,21.489,23.3913,49.4856,363.6307,1.4229,41.2359,13.0132,23.5455,242.9716,59.4074,28.1937,0.255,10.1532,12.1227,2.4466,16.1964,26.8391,32.6998,8.0457,30.8402,33.1976,33.1212,15.8896,112.034,44.4772,34.5877,9.7836,25.8671,0.0
ARG_D,82.4085,16.023,167.0073,257.1947,74.1533,596.6465,131.7387,32.236,113.2853,110.7906,119.4937,74.9134,120.747,188.7229,239.4116,57.2367,38.5168,30.3107,46.1779,85.7754,4.2499,26.7309,3119.5236,131.7088,253.012,711.9182,205.3398,0.8249,170.1628,300.9508,8.9001,395.2555,42.3458,180.8082,28.4886,148.6231,10.9431,73.5096,38.0582,401.3677,297.4504,172.6079,73.7594,94.7011,0.0
ARG_E,16.7943,0.0526,2.3526,15.9844,0.7148,183.7172,12.3309,0.5646,171.0297,7.4128,25.8162,142.8137,11.1382,15.4447,294.6179,44.139,0.8455,22.2228,3.6565,62.3938,0.2166,42.1491,1.2151,92.193,15.0981,46.6651,34.6103,0.9717,62.9968,44.7162,0.2062,29.6847,7.3594,2.3696,1.0076,26.163,0.6706,25.3002,54.0895,1019.8992,99.2801,38.1223,18.355,19.4443,0.0
ARG_F,10.6747,0.0004,149.7223,78.9971,0.0,107.4847,21.4192,7.102,15.5686,41.3715,19.4971,46.5936,23.1949,17.8784,32.7542,22.7171,8.2605,10.9934,25.2505,29.5535,2.2267,8.027,275.8102,44.986,2823.8493,310.9099,660.2419,3.7968,11.3061,168.0619,9.6108,151.5169,13.5994,507.2387,26.4853,68.4688,1833.0972,113.3385,244.8027,505.6548,277.298,223.3048,0.1115,83.7729,0.0
ARG_G,3192.9698,48.2014,230.364,154.9383,87.2273,6901.0479,1040.0913,221.8423,604.045,490.5462,736.6243,1104.2096,594.7805,271.3334,252.8933,246.8519,385.1245,305.4199,582.328,1737.9022,25.1292,214.0754,334.9847,115.7612,1838.1244,1587.0999,958.0051,6.4967,235.4103,255.6624,36.1168,2094.267,534.8408,1547.3336,257.4241,463.77,494.947,489.3493,309.6841,747.4722,369.0355,780.7186,561.7703,412.9673,0.0
ARG_H49,2879.3205,7.7097,562.2611,178.8658,85.5761,1514.0974,116.9415,114.5713,212.9364,438.6964,211.0008,158.7785,155.9258,191.0009,178.7809,95.3674,63.8926,77.1355,125.7922,207.1231,6.9011,50.0132,735.2157,30.4178,310.2703,830.316,431.6024,1.2808,21.4979,71.145,138.1613,122.2224,63.4636,22.4753,22.9225,97.7699,316.939,81.8617,47.725,61.9512,190.95,63.9443,36.0159,92.9177,0.0
ARG_H50,0.214,0.0,0.0,0.0176,0.0158,0.3249,0.1432,0.018,0.1023,0.0007,0.1838,0.1362,0.1872,0.0357,0.1479,0.085,0.1417,0.1089,0.1916,0.4874,0.0135,0.039,0.0,0.0168,0.322,0.0416,0.1798,0.0,0.0206,0.0,0.0,0.0657,0.0368,0.0108,0.0003,0.0572,0.0095,0.0174,0.0311,0.0752,0.0215,0.1034,0.0,0.0,0.0
ARG_H51,33.0712,4.6346,14.8451,6.7085,11.1551,79.3284,28.9488,4.5053,23.3154,26.2721,36.1539,60.8783,38.5321,10.2361,26.3179,21.1375,32.7228,23.2618,44.2627,80.9379,2.7377,10.734,19.876,4.8753,49.6286,47.6348,26.7567,0.1995,260.042,10.1959,7.1603,13.3348,29.3203,22.3208,31.999,22.9585,31.9829,58.3587,23.6478,171.4533,30.0368,15.9966,21.0277,16.4848,0.0
ARG_H52,162.226,34.9932,39.282,24.6258,33.568,222.055,31.3255,11.6758,23.3345,91.6215,31.6611,48.4035,20.7777,15.3358,30.5098,36.1298,11.7387,14.4195,61.6253,72.0174,1.5658,7.5483,47.6275,8.1374,52.3622,210.9913,2731.1985,26.6249,575.3447,495.4203,68.1233,36.6116,56.263,53.8792,27.389,61.0266,40.578,21.2694,53.4837,16.1552,32.0136,11.5731,11.0354,25.0166,0.0
ARG_H53,3.6811,0.4571,12.5988,2.1907,14.9272,18.4904,4.1226,1.1341,5.457,1.4908,4.7017,9.2929,4.5708,2.3457,3.5921,5.3545,3.7824,3.5168,10.6194,13.4857,0.2404,1.9455,11.8036,8.0919,8.7344,67.6361,22.445,0.0634,10.3005,24.8709,7.997,8.6252,31.8468,57.9283,22.4787,242.4085,7.9559,61.1026,18.1723,84.0786,35.6047,13.2988,7.2245,149.3518,0.0
ARG_I,147.1451,16.8355,72.3182,6.2182,75.6148,338.0823,86.0016,19.7782,83.9073,23.7168,43.2622,244.042,73.0617,40.3552,41.4278,85.4104,56.4118,63.0911,113.4303,101.2895,11.7974,40.9352,9.2704,6.3869,20.6596,123.3136,62.8605,3.5575,89.078,22.202,4.7807,286.4035,105.914,50.2398,62.6951,165.3105,5.7162,90.3965,31.279,614.6223,136.8313,162.8751,66.9276,69.0063,0.0
ARG_J58T60,21.279,0.8281,10.091,18.2095,9.6464,360.998,29.1428,3.2758,49.8726,8.3657,109.1881,211.9434,29.8941,13.783,11.0006,18.0991,44.2984,18.6667,32.7195,53.5314,1.6626,9.8588,30.0016,11.7929,7.6741,470.3472,59.998,0.5231,24.2187,24.0226,9.0661,112.3595,876.8904,416.2109,205.0411,347.4256,13.7105,444.5094,72.2288,244.4066,120.5001,56.42,165.5736,130.7676,0.0
ARG_J61,30.4217,11.9571,14.9688,28.2911,13.4425,170.5815,45.9255,13.832,62.3566,12.3062,25.8248,55.0726,43.5723,22.3269,16.9101,41.2573,32.3752,21.8276,41.1549,47.1892,1.8597,19.1292,41.7285,26.818,47.6434,994.5793,667.2294,6.0474,117.1703,158.5576,38.2308,298.651,234.3013,4293.0499,378.6568,509.684,55.4572,339.9178,162.4856,606.038,370.0552,227.4817,131.6841,87.3587,0.0
ARG_J62_63,2.6453,0.8451,19.3474,0.6977,23.5507,97.7504,14.3437,0.4267,14.6661,25.9298,29.6137,35.3591,25.1718,3.501,4.5334,5.7596,5.8649,8.2707,12.8293,67.0042,2.5432,13.2224,75.4528,11.075,28.0838,307.4327,4.2256,0.0012,0.0026,90.8463,2.2596,60.2032,385.7924,294.0969,1060.0396,536.5888,157.4231,903.3307,226.8666,248.0687,26.1245,86.0662,776.7377,149.0178,0.0
ARG_K,289.6091,17.3404,103.7477,61.189,36.5727,306.7106,85.45,25.1855,72.9757,31.7964,61.648,99.586,72.1181,37.3746,50.3487,62.6597,37.4354,39.3209,75.7708,69.6734,6.3167,37.0001,131.3244,79.1892,282.7273,943.1457,1072.2462,8.9209,77.5115,256.66,15.7519,242.3577,97.1137,290.6681,123.1497,2598.5715,333.4466,290.9282,131.8175,1261.997,233.3439,173.4608,110.9342,172.7362,0.0
ARG_L,0.7476,2.7094,37.1682,0.3873,0.0,11.2344,24.6105,4.4132,15.6952,15.7255,14.1905,12.8394,15.7868,5.3718,2.0244,12.9003,9.599,4.3226,13.5977,18.2119,0.8189,6.4846,1.6444,20.9137,0.0,64.4596,151.3927,0.3422,11.7726,1.3923,1.9119,359.2838,30.4398,93.415,0.0794,67.9899,191.5462,84.3268,64.6042,86.1222,178.5156,104.6741,0.1249,142.4283,0.0
ARG_M,167.9944,18.7694,80.272,47.1522,98.7837,737.8064,92.6571,27.6853,83.9927,37.3316,211.9623,426.4423,92.7645,39.0654,46.667,73.9683,71.081,51.444,109.0981,110.6813,8.9449,42.1484,282.6218,104.3879,429.4626,1310.407,368.8417,2.6989,43.3724,135.3826,35.8336,611.075,540.8128,625.9171,726.601,1119.3745,253.4526,727.5622,237.3282,402.7278,302.7712,433.4603,563.4024,282.3703,0.0
ARG_N,29.3389,12.8568,111.3219,102.3695,117.6988,240.6151,93.7921,10.1067,60.1803,83.0746,44.4175,100.6054,37.3853,30.6553,17.2785,36.87,18.3509,16.6784,64.1473,87.2637,6.7859,20.6113,97.3734,77.8554,298.5942,1648.3967,719.0502,8.0846,304.4776,340.0192,47.9685,473.0015,131.5198,729.516,239.302,578.1645,259.7482,310.6725,169.9218,381.3061,270.3512,313.1022,243.1853,157.607,0.0
ARG_O,47.1866,4.2995,5.3069,13.3516,3.5414,11.7653,2.5897,1.4185,3.2667,11.6946,2.8649,4.1724,2.5611,1.7492,2.0003,2.2492,1.4829,1.2131,2.8162,2.0904,0.175,1.2198,18.5863,2.9275,72.8415,99.4036,43.7099,0.2834,15.0901,15.2713,0.9048,6.6395,15.3301,35.0117,13.21,52.1825,5.7848,19.5505,7.5466,79.4167,10.3875,6.148,64.5695,17.44,0.0
ARG_P,1.5961,0.0101,40.1256,0.0877,0.0,16.3243,1.2709,0.0398,2.4162,13.6704,4.9834,9.9878,0.1043,3.278,3.6603,1.2982,0.4197,0.2385,0.1222,1.5223,0.0647,0.0158,12.7882,0.0395,0.0,1.9065,0.0771,0.0362,0.5803,10.522,0.0107,2.9147,2.6011,0.2245,5.9455,0.0035,0.4369,15.1413,2.1023,7.1609,11.3992,1.3328,6.6889,19.431,0.0
ARG_Q,25.6916,0.6398,12.0794,0.1639,0.1152,15.5018,4.0245,0.6185,3.5845,0.8641,2.2504,14.5992,3.2368,3.5578,0.9182,5.7399,5.1106,1.7964,4.5109,5.3067,0.1254,1.816,1.7142,2.3214,0.0,75.2042,12.8945,1.9398,39.7844,102.5768,0.5715,6.8059,7.4823,10.1383,20.0516,25.2591,123.4961,184.2348,50.6192,105.9391,126.3362,2543.1909,6.2353,953.8082,0.0
ARG_R,4.5139,0.0001,0.0,0.0009,0.0,43.8402,3.4215,0.1044,6.4275,0.0,12.8847,26.7976,0.2751,8.6118,9.6579,3.4265,1.1338,0.6391,0.3269,4.06,0.1666,0.0413,0.0006,0.0002,0.0,4.9337,14.1544,0.0294,11.7583,12.8072,0.0844,1.1946,83.4494,12.9339,0.0,14.649,0.0,23.8145,27.1712,22.2016,171.0236,13.4804,842.7217,258.293,0.0
ARG_S,44.2976,0.0195,0.0645,0.2756,15.9878,18.3573,6.2445,0.0092,12.4771,4.6677,4.8872,11.0234,1.114,2.3538,10.0584,1.4915,0.4344,1.4235,4.3942,6.3974,0.0063,3.1084,0.7369,1.7325,13.727,115.3579,45.4584,0.0151,46.0336,2.4084,0.141,47.6732,25.4167,0.6539,88.3164,43.6997,38.1805,296.4277,18.1011,51.0443,41.9748,182.8717,68.7833,60.4076,0.0
ARG_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
