V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_H53,32.812,0.6649,15.9615,0.2934,0.1746,253.5288,78.818,23.7861,98.2706,101.4799,46.6923,20.1341,45.0062,70.4729,57.6861,80.1187,19.5037,38.579,79.8924,51.375,38.7481,62.219,273.739,246.4286,610.0522,819.5123,245.6335,18.7825,8.9573,212.8919,186.6551,212.3039,91.6448,534.922,56.1011,853.3754,106.8775,402.3017,518.4388,741.4047,182.3229,295.4182,253.8708,127.729,0.0
ITA_I,46.6878,2.5967,74.4492,0.5772,0.3748,466.9532,277.2703,127.1893,106.7671,62.4192,59.9504,90.6779,258.2032,354.9889,235.5303,572.7544,239.8788,437.43,572.017,335.5087,289.138,295.7723,625.8934,37.2754,3394.1832,3855.8605,607.964,29.8266,32.7323,338.2033,17.6781,714.9515,206.8193,1083.1588,244.507,352.0878,524.9359,1734.7394,2695.3911,618.38,315.5755,1965.9206,364.7725,316.0762,0.0
ITA_J58T60,13.8139,0.2214,25.1964,0.4951,0.1201,591.3733,223.8426,36.7716,359.1533,27.1784,57.6819,106.8636,106.9392,110.1733,67.331,166.809,51.8958,126.3917,109.6676,144.4573,144.9743,159.6576,80.4253,99.9166,597.9821,1953.1176,125.3195,28.7918,35.0239,112.3988,19.2406,230.2587,2018.3162,1598.5697,234.0748,205.9398,179.5012,6652.8668,976.5128,278.7976,88.8,152.6731,696.3865,110.1395,0.0
ITA_J61,40.5125,12.8855,91.5379,0.8341,0.3646,524.9903,248.1987,71.2821,121.9278,106.7814,61.7517,79.9444,169.9405,300.5641,212.5434,387.5247,572.8254,312.1232,281.4574,273.5239,574.1729,253.4183,1271.5472,709.7099,2599.177,4598.468,788.2517,25.0454,51.4519,580.9594,127.5637,733.3487,205.2533,2335.2032,688.2934,2486.6605,507.9836,2543.6821,2735.8077,1871.7077,429.7084,976.513,822.4509,426.9281,0.0
ITA_J62_63,93.8436,6.0225,147.2548,1.2038,0.3379,728.4623,1166.134,79.1258,321.8482,75.5196,118.2478,203.5141,220.6881,243.0893,138.8026,711.2421,287.9974,329.8792,705.2587,507.8375,216.5302,306.793,652.0273,542.4486,1301.0218,5110.9984,354.8567,62.9636,26.143,599.3994,128.6574,976.7154,1246.343,1019.0961,8094.9549,4951.5588,434.3642,4406.8806,1709.4458,1845.12,569.0792,1130.3023,773.4472,580.1348,0.0
ITA_K,1029.3588,45.4675,181.8781,1.9027,2.0343,2703.9667,2905.0573,480.3869,899.1857,339.3177,696.9273,498.3506,966.4345,1156.0211,787.2599,2268.7269,427.8831,896.833,2110.8635,729.4608,439.6177,1842.1872,1012.6247,821.4247,8900.3054,20708.7063,1590.3022,648.9659,246.7788,1241.4254,132.1689,3230.1106,969.1877,1361.9079,1365.2514,31555.3835,14695.5773,4549.8657,4116.4532,6312.8904,750.3313,2202.1987,1238.0876,1242.455,0.0
ITA_L,64.2161,4.9109,18.3963,1.2871,0.3836,951.4645,1697.5287,222.0288,606.2812,26.4782,264.7755,118.447,401.1336,636.1913,193.3797,1324.1408,221.5453,361.9073,1071.8715,292.3423,225.7127,1001.809,825.1613,300.4576,2655.7609,19402.7875,2242.3844,200.9262,17.9587,1030.6229,189.9493,5636.525,830.0148,1055.1833,1397.8779,5190.0483,3009.1219,3967.2057,1991.8956,2422.4924,1179.4263,2071.5515,1159.1819,1379.6108,0.0
ITA_M,760.748,9.1855,421.3072,6.707,3.7965,5458.446,4404.2663,449.7489,1155.8379,840.5318,562.73,1836.281,1522.5353,2318.6476,720.9708,2693.3175,1117.9485,1744.416,3336.5518,2375.6017,1544.1095,2119.0001,1336.7962,2772.0994,12955.96,25430.8737,2186.4393,206.4574,103.0922,2603.6411,317.0471,3870.0771,3209.9245,3270.4403,7380.9336,6873.0533,7656.5365,21092.9079,9430.1452,6742.1428,4893.0802,8467.45,3862.1637,2735.9133,0.0
ITA_N,165.4375,2.1966,310.0363,9.369,2.6835,2478.6255,1799.6252,254.9266,807.133,241.7856,254.8143,372.4414,795.334,1176.4745,1002.3091,1992.6354,392.7618,793.6546,1422.3735,1007.4565,1249.0169,1291.2962,710.7291,2773.8415,8902.9942,14557.843,1694.3015,984.9411,919.5633,1963.8102,190.6813,3430.7537,2174.0403,2960.33,2136.9529,2398.7426,2631.1509,6562.2409,8583.2589,6151.3588,1936.2009,5018.4406,2925.8881,1432.2117,0.0
ITA_O,11.4273,0.3698,4.9078,0.0808,0.1895,315.1198,67.8053,4.7382,67.2859,51.0245,17.9161,81.6351,49.1441,110.7766,65.0011,65.5459,21.0134,55.0861,36.9774,27.656,261.4742,31.7234,59.6825,46.0222,109.1612,1249.5177,64.1675,8.4931,3.3634,58.1694,44.5732,88.8556,56.6339,68.8513,238.4197,185.5796,127.1251,464.3003,180.0873,551.388,145.2113,217.1854,155.7651,48.7897,0.0
ITA_P,16.3455,0.0374,33.1871,0.2571,0.0585,92.6597,57.1165,10.5096,32.4552,6.8079,13.9844,58.4114,38.7137,47.8315,20.3105,94.1062,98.6313,48.5317,126.2103,60.0437,40.5126,71.0616,39.4753,127.3875,204.9191,923.2941,30.5498,9.4466,36.4304,119.8251,4.2566,75.3156,88.3021,146.9345,255.647,95.0573,20.2223,339.6519,300.3802,1817.4293,769.5207,594.04,178.0413,410.7785,0.0
ITA_Q,66.2247,0.434,11.8163,0.0951,0.0763,57.1663,29.4849,9.8996,12.3742,18.9556,8.4356,26.0904,23.4891,32.9339,19.2795,33.5733,18.3628,16.1932,38.9205,46.277,35.6608,218.4745,30.5789,37.6352,139.215,157.4536,41.4659,6.2602,4.6964,28.2897,4.8658,43.036,20.388,46.8893,71.4248,56.276,25.8791,239.8155,96.2958,1251.8952,273.1167,16251.5116,59.3906,46.8419,0.0
ITA_R,43.439,0.5348,65.9826,2.1344,0.2528,1112.8056,380.7487,36.9336,210.9399,48.4118,46.2783,125.1161,170.3455,168.9522,35.9821,167.5084,47.46,220.1933,98.4823,153.2233,86.9041,164.493,141.07,108.0631,832.9168,2092.4294,122.9442,143.4014,127.4468,145.2534,22.6205,338.2738,1692.9884,727.3922,200.7278,130.9469,219.6732,916.6445,664.6782,910.0631,77.0992,218.8261,7968.703,245.1966,0.0
ITA_S,266.0023,3.0337,16.7787,0.3071,0.2311,279.2871,217.2945,26.1484,58.6636,33.2068,38.2254,52.2738,66.3265,91.5176,93.465,160.1964,65.6777,93.238,129.6395,120.674,162.7473,141.9123,284.8663,94.3681,1261.4096,1131.3448,99.4747,11.6627,8.5658,126.312,29.818,255.3653,85.6089,368.7144,219.6793,241.2658,166.6563,583.3964,439.9362,300.4211,119.4451,2073.6258,302.2986,369.6869,0.0
ITA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
