V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T
COL_C20,838.9854,3.7138,29.1914,22.9307,2.3897,241.2935,182.222,14.7393,154.8602,858.7297,1254.2436,74.1234,846.8936,115.2577,15.6726,8.319,2.8727,56.5098,38.2812,9.0313,0.4314,78.825,30.0229,24.1942,388.1393,18.4703,0.5587,0.1581,1.6193,1.8782,0.3357,13.3966,9.3378,2.1447,1.4615,20.79,0.5138,45.9586,84.6445,58.8842,25.2592,389.6018,13.6274,54.5409,0.0
COL_C21,29.6057,0.6124,0.7124,0.8724,0.0524,21.6965,4.4684,0.5659,3.862,33.7695,60.8883,164.7105,15.8982,2.9649,0.617,0.2855,0.1334,1.3464,1.6481,0.2514,0.0257,3.0036,1.5977,0.9966,9.736,0.8796,0.0256,0.01,0.1785,0.0811,0.0409,0.9545,0.4804,0.2297,0.1561,2.012,0.0235,0.0,7.1316,13.8458,2.9455,342.5754,1.6751,1.8357,0.0
COL_C22,83.2981,12.4386,62.7755,15.99,0.0449,527.0155,102.3046,16.072,98.6585,31.0925,166.9524,25.8473,134.1306,33.6513,16.2193,19.6888,5.3596,113.0983,21.0094,22.2437,1.2898,65.1554,30.8615,7.9676,1056.866,330.8238,197.0857,1.485,28.4071,0.619,1.3661,14.9765,60.9569,9.0062,43.0966,7.4988,0.943,2.0619,89.9369,22.2993,27.083,20.1611,17.702,57.1063,0.0
COL_C23,27.6798,3.6235,6.9863,8.5966,0.0899,148.0386,27.0488,1.6078,11.8513,11.0282,48.8769,9.5163,14.8029,589.4978,17.8062,7.0194,1.2773,24.3899,10.1648,16.019,0.8023,18.5495,106.1868,8.729,6017.3038,56.8694,6.5656,0.2129,1.7786,5.5181,0.9513,35.6995,1.8971,13.5031,1.3307,10.0651,0.4643,20.6325,2.2766,33.0011,10.3323,13.8901,6.5975,16.4733,0.0
COL_C24,3.5057,0.0,346.4681,6.3195,0.0,91.4862,2.5075,6.9977,1.6933,0.0,36.7597,2.1039,13.9831,18.4217,488.6407,232.7523,3.6588,141.1612,116.1205,8.3539,0.3987,123.6235,0.0,0.0889,1592.379,5.9177,1.0688,0.0291,1.9654,1.607,0.0181,20.431,0.9921,0.1442,0.7621,4.7838,0.1154,0.0,0.0,2.8892,5.888,0.5914,0.0513,1.4837,0.0
COL_C25,43.6692,4.6614,105.9582,20.5729,0.0,49.2234,2.1091,8.4531,2.8851,7.5418,11.1092,1.08,3.1313,6.6212,99.4727,150.4432,1.6406,41.8454,18.6661,5.394,0.4089,38.0602,0.3646,0.1741,874.1123,1.2839,0.0,0.0075,0.4818,0.4318,0.0046,6.7537,0.6663,0.0525,0.1682,1.6257,0.0246,6.3948,0.0,12.4053,2.0712,0.198,0.0079,0.5082,0.0
COL_C26,0.0043,0.0026,1.4359,0.0634,0.0,0.257,0.0587,0.0089,0.262,0.1192,0.3051,0.0521,0.135,0.262,0.0425,0.0481,0.2665,0.8313,0.5954,0.16,0.0123,0.8869,0.0,0.0721,1.5711,1.7534,0.5563,0.0023,0.0711,0.0507,0.0275,0.9079,0.5397,1.4946,1.1366,1.5081,0.0841,0.2779,0.0,0.8499,3.4035,7.478,0.6331,0.6361,0.0
COL_C27,2.8895,0.1113,62.9733,1.6928,0.0,6.8405,1.5109,0.2347,0.9275,3.1688,8.2184,1.2489,2.3158,0.0,1.321,1.0476,1.7415,66.7746,24.6508,4.3116,0.3475,33.0443,69.8735,9.0487,740.0421,49.9859,14.7924,0.0962,1.8897,1.3491,0.8871,38.7331,19.7836,39.2018,50.5334,39.5273,4.0185,19.197,15.2127,11.8745,0.0,199.0261,10.0407,27.5114,0.0
COL_C28,6.4141,1.9422,10.7024,5.6352,0.416,19.261,6.3527,0.8977,5.0052,6.5406,7.7409,1.1254,5.5202,11.6573,4.3535,4.0776,0.1816,3.4321,16.5356,11.4656,0.859,19.7556,0.8217,2.4409,119.1082,4.5384,6.5061,0.8266,1.6394,3.835,1.309,1.3181,1.3625,10.3295,0.6822,0.8332,0.1628,1.7327,0.812,41.3039,5.1964,2.3021,0.9765,3.8697,0.0
COL_C29,6.0723,0.0256,16.179,2.5834,0.0,3.1457,0.9524,0.4695,0.7906,0.7462,1.3706,0.1975,0.7455,2.1607,0.3229,0.3166,0.0228,0.425,2.6008,366.4958,6.7254,23.0856,0.4136,14.8324,35.1383,63.4535,65.6192,2.5264,17.0234,4.0936,1.0166,4.8051,0.1391,3.9293,0.0,1.319,0.9607,0.0,1.6996,61.6847,1.1493,1.1191,0.1625,15.7001,0.0
COL_C30,1.0148,0.0262,13.7344,1.2241,0.0,0.4421,0.3356,0.2286,0.1563,0.1768,0.2807,0.0231,0.1139,0.3993,0.0261,0.0365,0.0094,0.0953,0.4901,121.8897,103.1895,32.4415,0.0898,2.1694,15.4374,5.4687,13.121,1.064,20.777,1.3281,0.1448,2.3797,0.5045,0.4446,0.0,0.2585,0.4594,0.0,0.9272,26.677,0.5745,0.3749,0.0,2.2844,0.0
COL_C31T33,214.8652,8.8985,336.8552,55.7593,2.2558,167.182,50.0188,12.0218,48.9013,150.2044,55.0349,8.707,23.7077,66.7124,44.8564,22.9381,1.4907,21.9744,17.1275,19.3632,3.8416,196.0806,158.3734,66.0993,621.9453,197.4015,88.9626,2.4682,58.5675,21.3286,3.5046,56.2482,23.4879,97.7244,11.997,43.9717,33.3999,38.9785,64.2854,103.502,216.0453,175.1498,64.2233,74.8138,0.0
COL_D,127.0945,8.7431,171.0786,130.4017,2.3187,635.2049,179.325,36.5893,304.2134,210.2293,329.8768,27.1241,214.9691,535.0188,161.1119,44.0043,1.781,32.2295,26.1465,8.0297,0.6459,73.6814,4877.7066,155.1546,64.9383,753.1102,22.7136,1.232,4.0811,234.1089,31.9621,292.116,17.5764,510.4511,9.0353,426.6064,11.7586,119.2457,29.3858,895.8127,146.7438,480.9831,46.3165,50.7242,0.0
COL_E,49.8599,1.4557,11.7664,4.5376,6.2359,136.6099,38.6081,4.2442,321.6132,15.5638,30.9977,4.2435,27.6612,58.9654,520.2642,111.7702,1.9514,33.4707,22.5682,3.309,0.3859,17.474,14.1957,53.378,59.1168,146.7701,3.0846,0.9773,5.081,81.443,5.8134,133.4409,22.8663,50.3455,4.5298,38.7341,5.8161,44.3685,12.0952,76.1097,121.4563,121.831,22.3655,31.1691,0.0
COL_F,102.3146,1.4067,221.4792,7.1272,1.8813,7.9738,2.7221,0.561,1.3722,1.8975,5.6138,0.9055,1.1319,8.7142,1.5804,0.898,0.0298,0.4895,0.9788,0.2098,0.0205,17.0428,379.2765,312.0495,774.8475,5.256,21.6418,0.1425,2.2622,47.3727,4.2151,43.495,4.573,60.0195,0.0804,111.5056,737.003,39.1988,19.7002,833.6531,327.8091,262.7185,59.7133,47.8022,0.0
COL_G,1131.5059,43.5309,315.0822,183.3078,12.374,3102.2814,626.8435,94.7905,311.9273,772.2235,750.2811,133.0278,461.0513,268.3441,149.8286,84.288,7.4709,122.0623,74.6418,243.819,59.0979,268.2492,288.396,116.8681,1975.5124,1555.2,1422.7883,33.8144,112.5474,68.6318,41.9784,1438.6295,116.8779,347.3277,156.7177,104.0752,33.9708,186.3899,207.8557,608.1144,285.1981,536.2476,75.0551,133.1545,0.0
COL_H49,376.61,2.2775,1590.1595,53.376,1.1564,985.752,177.6912,64.2566,177.6376,141.3226,366.5757,37.5935,156.7117,335.611,143.1844,67.4627,4.223,76.1327,34.2189,29.5531,3.5814,88.8087,76.8705,57.1105,912.0088,1501.4616,27.1331,0.3911,29.6365,35.1569,48.7118,100.7643,33.888,165.6344,42.9331,32.1022,64.5241,214.6641,163.1372,79.3502,43.2611,138.8916,18.2605,26.3139,0.0
COL_H50,1.9685,0.2211,0.0074,0.5822,0.0102,11.4842,4.8075,0.4116,1.8525,0.003,2.8747,0.5867,4.119,2.5248,1.8591,1.1181,0.0942,1.292,1.279,5.7675,1.5503,2.5386,0.3051,0.2339,22.8893,0.2038,0.872,0.0025,1.0874,0.0031,0.0071,1.1815,0.213,0.4414,0.3284,0.1651,0.0058,0.1888,0.345,0.0034,1.5878,3.6614,0.1475,0.6626,0.0
