V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T
ROU_H53,3.2975,0.0,1.646,0.0909,1.126,4.8887,5.7306,5.0953,0.5835,0.1669,3.4986,0.435,0.6375,4.571,2.4321,5.2831,2.1674,0.0,3.6512,6.8465,0.2337,4.9694,10.0746,2.0802,30.4563,433.7378,39.9213,2.1625,10.0594,3.4757,2.9335,8.9681,1.0104,15.3924,1.7025,0.804,0.5977,16.2853,1.6549,12.8579,2.6926,4.7437,1.8484,17.1024,0.0
ROU_I,19.6183,0.0174,22.9035,1.1083,5.4932,31.9347,16.8584,9.5072,5.9251,3.8362,18.5935,4.28,12.1031,27.2643,14.0444,34.9417,6.9171,7.8179,18.6236,35.8404,3.732,12.0599,34.7203,25.927,421.6876,471.9348,154.9999,17.5914,31.8109,39.8804,2.8168,26.7385,11.2472,56.5377,19.5902,29.3281,76.2199,92.3992,43.4528,227.8641,95.0237,157.9344,10.8828,29.8597,0.0
ROU_J58T60,14.2938,0.0419,8.7351,1.0434,1.1486,9.1974,8.3423,8.9175,6.5988,1.8205,2.1809,5.0058,6.463,8.5409,10.4297,9.8691,7.0174,11.248,5.8875,19.2658,4.5658,11.4579,14.9415,28.1951,25.1675,175.9775,9.9358,1.1458,9.4244,35.1868,6.2723,99.3229,191.9495,33.0125,19.8573,35.8092,24.671,72.7057,17.4665,29.2318,62.3591,26.9653,60.5965,21.8942,0.0
ROU_J61,7.5004,0.0521,12.5117,0.8219,4.6325,19.8793,18.1848,6.9967,4.4578,1.1785,21.7781,4.8668,14.3896,12.5413,10.9539,34.3685,5.9646,5.8075,9.3547,18.7561,5.5107,11.2401,101.2684,21.7638,88.4215,599.4869,74.2864,4.0324,44.8324,82.0924,11.04,21.3424,53.6019,173.9877,13.3628,94.7064,251.6136,63.7405,39.7819,41.8713,5.566,8.1895,8.0318,25.7594,0.0
ROU_J62_63,17.554,0.0168,16.4935,4.3224,3.0516,35.8052,28.4503,2.4816,59.1159,13.999,16.6369,2.3351,3.375,26.251,24.1368,56.0135,12.6993,4.0976,14.9284,35.9592,34.3294,18.9558,73.7511,61.9549,166.127,520.9211,104.5631,12.5857,34.3251,18.3554,1.4146,19.9026,5.4036,7.4785,27.6601,188.8657,63.3455,123.1771,8.8949,40.7534,25.6632,55.2491,5.2055,9.0257,0.0
ROU_K,63.125,0.3131,31.0655,1.9947,24.8571,149.7281,58.1292,35.1854,24.714,39.648,37.7029,14.2807,40.2725,38.4867,67.6011,45.0519,31.5966,30.6063,30.8318,86.9468,18.9642,40.9587,161.4183,72.9964,315.4463,1135.2047,212.826,20.199,29.0237,74.0787,14.2606,33.8108,37.1249,78.8323,64.4548,294.0515,594.1286,212.8231,68.835,25.4397,31.9682,43.6018,45.625,52.0198,0.0
ROU_L,6.1171,0.1942,2.0466,0.0188,4.8905,7.9361,3.6615,6.1617,8.4722,3.6089,13.6966,1.1922,1.4917,14.6163,7.9439,0.0281,2.4895,0.0291,2.2564,23.4376,4.477,3.5938,11.5455,19.0901,504.3606,1955.5546,39.5376,1.5216,10.6036,0.0558,0.4852,13.3834,7.0666,23.3517,0.0267,2.1892,249.9386,24.9001,24.5072,43.1232,4.2746,32.0795,7.6307,30.2732,0.0
ROU_M,211.4748,0.4386,117.004,4.8756,57.3973,99.7078,119.6327,96.579,83.3187,30.2397,32.4038,89.6823,124.2458,84.6741,47.5976,99.8818,39.8898,151.0546,33.2242,120.3256,58.7019,110.1584,87.5504,324.9585,386.3228,1564.1898,108.5265,19.2633,61.8362,440.9166,22.1015,46.8891,183.7103,280.5196,240.8717,160.535,199.6438,1278.241,314.2029,22.9946,24.1799,83.7807,192.4246,348.5663,0.0
ROU_N,65.8591,0.1145,60.3256,3.1651,50.9696,52.0285,66.6942,46.5257,56.5129,14.8622,15.6566,43.1885,61.1077,39.8807,24.8194,48.2718,19.5198,73.0992,16.3866,57.667,31.856,59.4109,42.1238,201.1854,185.875,521.6872,52.0469,9.3213,29.6585,331.7561,25.5321,24.5543,98.6967,138.2411,164.1484,78.8429,100.2974,620.5091,155.9749,10.9237,12.4046,41.1024,92.4368,159.8022,0.0
ROU_O,40.3034,0.0615,15.5498,0.6681,2.0136,14.5812,16.0333,9.4205,7.915,2.8862,4.2069,8.2175,13.5427,11.0944,7.6781,14.798,6.1214,15.1652,4.9289,16.9981,8.171,14.5468,18.4687,30.1308,74.7233,125.5572,17.7391,1.7421,6.2467,42.7512,2.2419,9.2648,17.0228,42.721,22.7444,19.5642,40.0029,119.9325,29.3217,5.2436,8.7723,11.4942,20.7614,33.8448,0.0
ROU_P,14.1031,0.0203,16.7613,0.3581,0.7114,12.1836,15.2472,10.3181,12.2993,3.1672,3.6607,9.4874,12.8206,9.2636,5.4559,10.5738,4.3659,17.133,3.6449,13.1361,8.4432,13.0028,9.2779,42.1208,41.7896,118.2574,11.5848,2.1878,6.2285,69.3101,5.6973,5.6095,21.186,31.1452,34.5863,17.6052,35.4509,137.0279,34.0938,2.4113,2.7132,8.8843,20.2025,37.5425,0.0
ROU_Q,6.8114,0.0205,6.8978,0.1672,0.7025,5.3085,6.9616,4.7038,5.3824,1.3902,1.5188,4.2435,5.6583,4.2222,2.4845,4.6732,1.6875,7.1132,1.5049,6.4547,3.8099,6.0409,4.1537,20.0459,18.8867,53.0095,5.3111,0.897,3.0738,30.1355,2.3207,2.6273,10.0772,12.963,15.0718,7.6632,16.254,61.7057,16.2267,1.1175,1.1377,3.7419,8.8369,17.2214,0.0
ROU_R,3.2484,0.0311,3.1744,0.4079,0.1006,8.8373,3.5909,1.2611,1.4933,0.4867,1.3883,1.1029,1.3564,1.088,3.1823,2.445,2.8758,2.6726,1.0012,2.5986,1.8681,1.8346,2.0152,5.816,9.7576,16.3099,4.5243,0.9897,1.3707,7.726,0.6663,114.1579,12.081,4.9982,5.3296,8.5263,5.3523,19.4326,5.5442,18.5881,31.8396,4.9295,87.7038,8.9511,0.0
ROU_S,37.8097,0.0692,16.3994,3.361,2.8465,24.8883,20.8218,11.4563,10.8418,3.8501,5.3564,9.8815,15.3468,12.3413,8.8611,18.0289,9.0692,19.2045,6.7191,19.4329,9.552,16.7476,20.8641,45.6953,84.3016,143.4043,27.454,2.7794,8.0519,52.6336,4.0548,17.1061,23.1997,44.6054,32.6076,28.3461,50.842,137.4757,37.9794,8.485,9.5861,29.4987,31.4532,59.4203,0.0
ROU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
