V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_C26,0.521,0.1238,0.0874,0.0686,0.1453,4.7018,5.766,0.5434,1.6101,0.0,1.8514,0.5419,1.1424,0.9621,2.0204,12.2914,162.0119,21.6257,15.2478,7.3027,3.0642,12.1604,13.1772,0.0424,20.0394,1.8317,1.3539,0.2756,0.5601,0.7858,0.3464,3.606,1.8058,8.5785,13.331,0.7603,1.5802,13.5479,4.8506,11.9097,0.3317,0.7515,0.3814,1.1254,0.0
TUN_C27,0.2418,0.0574,0.0436,0.0591,0.2738,2.7295,2.5771,0.2069,0.3137,0.0,0.6599,0.1785,0.3716,0.5499,1.5637,5.2713,19.9931,35.7473,13.0558,6.91,2.0811,4.5914,16.7499,0.0159,38.4357,0.8979,0.61,0.0771,0.1235,0.2593,0.0713,2.5935,0.2096,1.4463,1.4493,0.1314,1.2566,2.8452,1.8876,2.4842,0.0691,0.0788,0.1232,0.3062,0.0
TUN_C28,3.2201,0.493,0.7485,0.9254,2.2701,25.405,33.7994,2.4427,3.9208,0.0,4.7513,1.1642,3.1724,6.8186,10.3437,20.501,27.8517,15.1663,105.9016,27.7862,8.2006,12.0156,35.1796,0.1107,89.1917,2.1254,2.6673,1.0228,1.2898,1.5862,0.7721,4.7454,1.2597,2.7243,2.7313,0.4646,2.8705,7.3635,7.7729,5.832,0.1276,0.223,0.3083,0.4628,0.0
TUN_C29,1.1318,0.1164,0.098,0.1745,0.1207,6.6183,5.5873,0.4177,0.6309,0.0,0.834,0.2123,0.6678,1.0648,4.6215,12.0589,10.7895,5.5834,12.8723,102.5377,3.8244,11.2816,3.8811,0.0286,7.492,1.3202,4.5247,0.161,0.3891,0.6574,1.6053,2.5475,0.2032,2.827,1.3996,0.3068,1.2353,3.438,6.3803,3.8156,0.0386,0.0907,0.1202,0.1833,0.0
TUN_C30,0.2169,0.0837,0.0177,0.0157,0.0079,0.1103,0.2475,0.0266,0.0551,0.0,0.0406,0.0056,0.0481,0.0255,0.9042,2.1156,3.9888,2.0714,4.1936,3.6733,6.2167,0.9158,0.4584,0.0024,0.386,0.0822,0.5499,1.2225,1.3387,0.2988,0.0465,0.3103,0.0104,0.0682,0.0851,0.0714,0.1398,0.4474,0.3377,0.7245,0.0098,0.0084,0.0376,0.0431,0.0
TUN_C31T33,0.2144,0.0434,1.4008,1.3291,4.5491,23.7387,15.9967,2.0158,1.4404,0.0,1.1354,0.6381,1.3874,0.8856,0.5994,1.4343,2.6664,1.0401,1.1382,1.1364,0.3545,14.2295,0.0627,1.0835,50.0637,6.9173,6.2973,1.8434,4.1166,2.8128,1.2227,2.7205,0.7027,9.5858,7.2467,7.4117,8.3463,19.8748,21.4805,11.6608,0.4687,1.5271,0.7172,0.6235,0.0
TUN_D,2.2456,0.1532,35.0494,15.7344,3.5555,114.161,63.5296,4.0087,9.9541,0.0,19.8616,2.8711,5.8194,45.5086,28.5371,26.6324,30.1267,13.7788,16.0355,11.0448,3.0478,4.9411,8.0611,27.8561,5.9423,47.2242,3.5479,0.217,0.6038,2.3691,2.1736,47.512,1.7705,16.2847,10.2449,3.6668,25.6248,25.8546,17.2977,58.7439,1.9831,2.7351,2.4415,2.1244,0.0
TUN_E,2.4319,0.2731,0.5454,0.2462,0.9019,8.9231,7.9222,0.8917,2.6679,0.0,9.6831,2.3799,1.1564,0.6973,0.6892,0.5561,0.417,0.1844,0.315,0.1966,0.0633,0.7777,0.8875,0.026,5.4114,3.0792,0.1336,0.033,0.0408,0.1002,0.0166,4.2583,0.5683,0.0695,1.8419,0.0492,5.4614,6.6155,4.245,3.5806,0.0797,0.1428,0.107,0.1237,0.0
TUN_F,0.4697,0.0452,22.8602,1.038,2.2275,7.0669,4.1512,0.0025,0.0036,2.0205,1.4739,0.9421,0.0024,5.0641,3.037,6.2233,1.0448,0.783,1.2506,0.0,0.0,0.0024,1.6433,8.6021,65.9128,10.9966,1.87,0.7817,1.0207,0.9194,0.0834,1.4144,0.0209,0.2332,1.7074,1.4106,5.1052,2.8295,1.5908,2.9435,0.0563,0.0634,0.0652,0.0673,0.0
TUN_G,107.954,19.4238,19.332,15.9187,4.9139,381.5205,217.4768,26.8499,39.791,8.1194,43.8022,23.3999,20.6826,40.8849,27.4402,67.3999,92.8543,41.1974,73.2123,67.01,11.5476,44.3816,33.5667,9.7692,225.995,142.0743,52.3043,11.21,22.5419,10.5328,8.4225,78.1185,21.7199,26.689,14.5465,8.403,11.6527,31.9502,26.6149,73.7616,1.6148,2.7265,3.0101,3.8382,0.0
TUN_H49,18.0137,2.3371,70.5947,34.1702,6.0911,76.5773,59.9526,6.3603,8.3947,3.0012,30.335,11.9851,5.4415,97.5054,9.7586,20.6838,19.7306,10.3105,19.5274,14.8476,2.6905,7.631,7.7336,0.8419,108.7223,364.6301,189.1777,15.1911,20.9147,62.8494,3.4603,55.0023,3.8358,5.8645,7.5156,8.2221,6.4845,21.7214,22.2422,77.7103,2.55,2.3738,3.166,3.992,0.0
TUN_H50,1.2185,0.1152,0.003,0.0034,0.0018,3.7822,1.1768,0.2021,0.3201,0.3087,0.5492,0.505,0.2625,0.0022,0.1794,0.474,0.5046,0.2551,0.5023,0.5306,0.0599,0.4883,0.3132,0.081,1.3705,0.1701,0.0013,0.0011,0.0014,0.0011,0.0061,0.1893,0.0671,0.0243,0.0202,0.007,0.0141,0.0395,0.0276,0.051,0.0015,0.0067,0.0045,0.0038,0.0
TUN_H51,1.6062,0.2107,0.019,0.0211,0.004,4.3949,1.8562,0.3627,0.5114,0.3152,0.9085,0.5203,0.3733,0.0128,0.4068,0.7946,0.6245,0.3972,0.7827,0.9458,0.1008,0.6317,0.3831,0.0999,1.4895,0.266,0.0095,0.0091,0.008,0.008,0.0115,0.0614,0.0834,0.0136,0.0111,0.0256,0.0264,0.0607,0.0448,0.0103,0.011,0.0263,0.0208,0.0125,0.0
TUN_H52,3.1749,0.4675,15.8184,10.9178,2.3877,15.36,16.1447,1.3027,1.7749,0.506,7.808,2.9228,1.1207,31.5206,2.6826,5.3776,5.3883,2.6696,4.3619,3.6263,0.7558,1.4301,1.6185,0.1485,24.6091,173.5409,176.9167,83.1362,116.6863,135.4125,1.1377,13.394,1.1417,2.5675,2.4826,2.1696,1.4742,5.4064,7.6207,16.7345,0.2419,0.2975,0.599,1.0673,0.0
TUN_H53,0.8925,0.1488,5.9031,0.7023,0.315,8.0554,32.992,0.4315,0.8313,0.0,2.6342,0.9914,0.5662,2.942,1.7643,5.753,7.8563,3.0414,4.9817,2.7607,0.9113,0.655,2.1118,0.1977,8.5522,39.8661,0.9122,0.1386,0.2211,0.6834,6.3149,3.0591,1.9342,9.4489,6.8965,18.7585,6.1817,20.9773,10.6344,35.3489,0.5627,0.6337,0.8852,1.5006,0.0
TUN_I,0.0,0.0,0.2973,0.7312,0.7354,0.3954,5.043,0.0921,0.1651,0.1863,0.0274,0.0112,0.0752,0.2724,0.16,0.5467,0.3756,0.2543,0.3824,0.0,0.0,0.0,15.735,0.0423,1.7831,2.5898,3.7099,0.8189,3.9653,1.4765,0.0,0.3941,0.622,0.0,0.3544,18.9646,0.1526,0.6509,0.6908,31.633,0.6928,1.0686,0.7065,1.0574,0.0
TUN_J58T60,0.2847,0.0459,0.6619,0.3688,0.2735,12.3495,7.7332,2.2363,8.8804,0.0042,2.2222,0.7806,1.762,0.9138,0.3397,1.7061,2.7112,1.0193,1.0871,0.808,0.3178,2.5402,0.2008,1.7681,5.8647,9.4821,0.6926,0.1429,0.3628,0.4863,0.2626,0.3497,27.6886,2.273,3.8997,6.1635,1.4136,14.6253,3.4063,15.4632,1.1263,0.3387,1.3445,0.7594,0.0
TUN_J61,3.0653,0.5101,25.6915,2.0441,0.788,21.7993,96.1054,1.1979,2.3577,0.0,6.7606,2.3395,1.7005,8.7439,4.8828,16.9303,22.2766,7.8879,13.6599,7.2948,2.4758,2.4389,4.7157,0.4652,33.6442,88.2188,3.708,0.6103,1.1227,1.9516,0.5608,13.6186,6.7615,27.3558,39.5693,47.3725,19.6281,63.0187,31.5701,112.8881,2.0052,2.9024,4.64,3.7152,0.0
TUN_J62_63,0.8883,0.1513,5.6307,1.8564,0.5257,6.5646,16.8387,0.4458,1.4474,3.2683,2.0385,0.7268,0.7073,1.2262,0.91,2.9538,7.9704,2.1449,2.8935,2.1359,0.6733,1.0796,2.0579,0.2426,17.5456,3.2126,1.7035,0.3334,1.0492,1.12,1.6683,1.7995,2.8899,17.4172,17.7544,12.0764,1.7081,6.7177,2.9975,20.3615,0.2543,0.4383,0.7183,0.6108,0.0
TUN_K,94.3439,8.5129,27.4669,8.6966,4.7154,75.2311,54.9958,5.3988,9.6965,14.7844,29.3939,8.4722,6.8919,15.4889,8.153,18.4652,20.6886,9.4628,13.3035,10.8042,2.9664,8.1885,10.7469,5.7466,77.3591,98.4217,37.3563,10.0353,14.3201,15.9839,3.3437,40.5379,6.2068,24.2181,31.1003,59.5019,92.0224,74.1075,64.5293,72.6525,1.4697,2.1155,3.4444,3.6611,0.0
TUN_L,2.0367,0.2979,4.6144,1.9882,0.7591,16.0354,22.1554,1.2726,2.7492,3.8781,2.8962,0.9264,1.8339,2.2276,1.8083,8.2119,6.8084,3.4312,4.2291,2.9129,0.876,4.0633,1.8206,0.2374,43.4558,11.2135,3.4648,0.486,1.3312,2.8073,2.2804,5.9547,3.0232,18.9289,5.8552,11.8697,18.2862,18.4118,9.256,42.4121,1.4393,2.1594,2.5311,3.0446,0.0
TUN_M,7.087,0.9915,16.5432,7.6753,8.1073,57.3496,46.9684,3.2965,7.3491,16.135,15.72,9.9939,5.4869,6.3574,5.4825,15.8498,30.8898,14.632,16.2715,14.8078,3.5645,7.6018,6.1467,0.9947,112.3355,16.9197,5.6702,1.5413,3.0269,4.0053,3.2354,6.8336,11.6225,37.2987,18.1068,32.2453,15.2531,91.6918,19.8364,75.0619,2.004,2.4919,6.1313,5.2655,0.0
TUN_N,3.9883,0.605,11.674,5.0319,8.9832,24.28,25.1019,2.0816,4.3859,7.8559,6.2535,2.6861,3.0086,4.316,3.1565,11.023,14.8215,5.8706,7.2588,6.4697,2.2069,5.045,3.5105,0.758,68.9629,9.568,7.4623,1.9575,4.4393,4.5256,4.5281,5.0879,5.401,29.0334,11.3222,15.7254,15.1197,32.9066,26.3189,63.8205,1.6057,3.0313,4.4868,3.0745,0.0
TUN_O,0.0,0.0,0.0,0.0,1.1632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN_P,0.0,0.0,0.0006,0.0003,0.0443,0.0025,0.0012,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0071,0.0017,0.001,0.0003,0.001,0.0007,0.0006,0.0008,0.0,0.0034,0.0057,0.0044,0.0027,0.012,0.0044,0.0014,0.0001,0.0,0.0,0.0,0.0
TUN_Q,0.0,0.0,0.0004,0.0004,0.043,0.0028,0.0017,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0002,0.0047,0.0008,0.0013,0.0002,0.0004,0.0006,0.0005,0.0012,0.0,0.0019,0.0026,0.0037,0.0024,0.0107,0.0046,0.0019,0.0,0.0004,0.0,0.0001,0.0
TUN_R,0.0,0.0,0.002,0.001,0.0957,0.0106,0.0055,0.0001,0.0002,0.0013,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0007,0.0157,0.0051,0.0033,0.002,0.0018,0.0025,0.0018,0.0063,0.0011,0.01,0.0112,0.0103,0.0057,0.0449,0.0274,0.0049,0.0003,0.0002,0.0071,0.0006,0.0
TUN_S,0.0001,0.0,0.0045,0.0038,6.4,0.0236,0.0143,0.0002,0.0005,0.0038,0.0003,0.0001,0.0003,0.0003,0.0,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0013,0.0,0.0017,0.0569,0.0125,0.0097,0.0024,0.0051,0.0058,0.0064,0.0125,0.0006,0.0312,0.0399,0.0326,0.0313,0.0911,0.0494,0.0104,0.0004,0.0009,0.0006,0.0021,0.0
TUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
