V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_C20,15.3548,0.11,0.0911,0.3786,0.0935,10.7569,0.6177,1.4932,1.4421,0.8579,19.2762,57.5322,3.6892,0.8406,1.3949,0.4823,8.5932,0.6031,0.9685,0.5661,0.1542,2.9129,3.2024,0.4094,12.688,2.1944,1.254,0.0245,0.481,0.1961,0.1227,1.1274,2.1014,1.1318,1.44,0.2995,0.1142,4.1409,5.1221,1.3475,1.2297,7.7305,0.215,1.5831,0.0
IRL_C21,100.6585,0.4655,0.1829,1.6595,0.3754,93.2605,3.9188,6.2899,7.1454,7.1869,131.4807,1550.0192,15.8111,3.0575,5.9145,1.8964,32.4207,0.2807,2.7583,1.5922,0.4338,53.6683,13.7015,9.094,27.031,15.1871,2.411,0.0809,2.4275,0.6917,0.2615,4.9673,9.6368,0.6559,40.355,1.3964,2.1784,20.1,5.0732,11.6985,8.9333,240.3847,0.8663,6.3377,0.0
IRL_C22,5.8434,0.1823,0.1028,0.2838,0.1532,31.9953,1.2369,0.7992,3.1871,1.9379,1.0534,22.2193,30.9373,2.2801,0.4508,1.0909,11.7994,2.0117,4.0662,1.8857,0.4038,13.3226,1.2516,0.3632,108.7251,17.9556,16.3245,0.2707,5.6596,1.5045,0.6954,1.7852,5.6799,16.4123,10.3752,2.5098,0.3775,10.5094,10.6156,8.0023,9.6751,12.8901,0.4912,3.2817,0.0
IRL_C23,6.2971,0.0171,0.147,6.7785,0.5594,15.9035,0.0778,0.2313,0.4128,7.9777,1.1965,9.0629,6.5165,103.0935,7.9662,2.8971,2.2312,1.0883,2.7843,0.1891,0.1646,119.8692,0.6837,1.0877,648.9163,28.8718,6.715,0.0937,2.29,1.5061,0.7863,1.744,0.4682,3.3072,1.8356,0.104,0.1637,2.2243,1.8783,6.0961,1.3411,1.2338,0.9732,1.7689,0.0
IRL_C24,1.8981,0.0027,1.9187,0.0177,0.3269,16.0763,0.0798,1.7444,0.4998,1.4289,0.7812,7.2286,13.2721,6.0257,11.228,69.026,17.8603,6.2795,39.3435,29.4282,2.3995,44.2178,0.419,0.1309,30.2303,3.4679,2.1232,0.006,0.022,0.0727,0.3111,0.006,0.0337,1.9301,1.3824,0.1237,0.0916,0.4858,1.7735,7.4866,0.0402,0.0245,0.0216,0.1202,0.0
IRL_C25,11.8177,0.1092,3.1075,1.222,1.11,34.9236,0.4962,4.1027,1.9521,32.9907,2.4377,22.6653,27.2757,5.0109,4.2463,29.4738,40.9739,12.231,59.0203,8.7412,8.6797,28.9029,2.8283,0.2663,344.0821,15.9268,6.3811,0.8856,2.0073,2.0267,0.5007,0.8293,1.1376,6.7183,7.9824,3.7878,1.4948,4.3224,9.6715,2.8465,15.8702,2.3869,0.2665,1.1826,0.0
IRL_C26,11.9456,0.5752,0.3401,0.6618,0.438,4.8997,0.786,0.6419,0.7003,3.2736,1.3904,12.2089,2.0643,1.0208,0.7877,1.1678,530.6371,45.8433,15.6541,16.5462,3.6902,193.0095,34.7848,0.6648,153.4453,29.8312,23.85,0.5354,14.5263,5.9181,2.1703,10.2589,8.0664,649.9699,215.0708,11.4111,3.6013,48.2139,72.3376,41.2834,70.7627,23.8312,3.45,18.7054,0.0
IRL_C27,2.9915,0.0534,0.5097,0.0892,0.1098,4.3631,0.0309,0.1247,0.2081,0.9946,0.2773,2.4369,0.6739,0.3199,0.2187,0.689,15.1922,7.0304,3.5144,2.8589,0.3716,5.152,0.5136,0.1321,68.5147,5.8993,8.2338,0.1843,2.7459,0.2154,0.6782,0.3951,0.3733,10.1096,11.6797,0.7024,0.4962,3.8148,46.4518,0.9943,1.0178,5.1944,0.1752,2.1223,0.0
IRL_C28,38.7681,0.2796,2.7486,2.1432,2.0594,27.5656,0.5137,2.2274,7.1405,7.394,2.3627,16.0981,9.3172,4.5292,2.8351,11.1344,98.0711,4.6828,44.6482,9.7216,13.0929,26.3085,2.2669,0.1129,168.4554,25.1537,14.8324,3.0811,7.2162,4.8254,1.4525,1.5491,6.3122,23.2198,30.9248,10.8324,1.2755,15.6436,42.0983,11.971,5.3686,6.1521,1.0192,3.259,0.0
IRL_C29,0.8969,0.009,0.0804,0.0248,0.0392,0.6069,0.0065,0.0543,0.0411,0.1538,0.0581,0.5553,0.1098,0.0558,0.0198,0.1061,9.7947,2.9555,1.194,7.1462,0.1205,8.1401,0.5062,0.0232,15.6201,12.2614,9.6462,0.0383,0.3129,0.3772,0.7908,0.4745,0.2357,7.5762,5.8562,0.8048,0.3009,4.7096,45.1617,1.1082,0.7412,0.8149,0.1218,1.0504,0.0
IRL_C30,2.0485,0.5093,0.994,0.4748,0.0045,0.0496,0.0064,0.0519,0.0107,0.0017,0.0158,0.1585,0.0247,0.0182,0.0,0.0038,0.0586,0.0006,0.0536,2.7989,10.7876,18.411,0.0,0.108,2.7468,0.3861,1.4324,0.3598,10.8687,0.716,0.0265,0.1448,0.1063,0.3211,0.7846,0.3137,0.2008,0.8568,2.105,2.331,0.0494,0.0753,0.0508,0.4065,0.0
IRL_C31T33,119.9409,1.1836,1.0172,1.5074,2.9552,29.568,1.2027,2.7129,2.1959,10.9418,3.3184,19.7578,17.6073,8.647,8.2257,11.1553,77.3162,10.9675,33.608,7.7078,8.2242,134.4938,25.8625,2.7495,200.0008,72.0646,88.245,10.0626,141.1705,10.6094,3.5792,17.8354,5.7383,81.3466,60.2439,21.4294,2.6236,31.5477,49.0015,42.9659,19.6865,114.2741,2.6766,10.3757,0.0
IRL_D,239.9991,3.6913,1.4001,32.208,3.9609,456.0475,6.2654,33.7679,19.5752,48.6992,56.0969,136.5547,49.388,47.2441,26.1223,24.74,84.305,4.9515,31.7647,7.4158,4.9857,15.3028,1393.0669,120.8254,82.3887,741.2069,55.3184,4.8314,68.2653,59.811,16.4631,79.559,27.6187,51.7028,34.1193,121.5336,38.8533,98.2453,145.9545,196.9939,448.3587,121.0623,53.5587,19.0839,0.0
IRL_E,13.845,2.8218,0.4032,1.2036,0.5025,42.2875,0.438,1.6978,3.3304,4.9334,6.655,45.8317,14.5289,3.5656,53.9603,3.1427,10.4039,0.3438,5.4913,11.1756,0.9365,6.0375,5.5662,148.8767,69.0025,44.6462,20.9341,1.7357,11.5313,7.5754,7.5301,20.3782,5.0235,10.1399,44.8615,18.3735,5.4364,101.0902,150.3215,9.2608,6.3023,23.2401,3.1454,39.4577,0.0
IRL_F,115.1563,1.2009,5.4581,8.5481,2.2987,95.8,1.6328,13.6727,12.08,54.8172,9.8925,74.9196,3.0406,12.1225,8.1766,27.3937,94.9672,12.6911,62.8601,14.1798,11.6142,16.9681,4.1153,8.0107,2278.261,233.9959,45.366,7.3703,27.2372,82.8334,15.3424,56.7975,15.6848,39.6239,97.5391,42.9067,437.8381,171.9518,101.3086,172.1298,125.1459,16.3403,11.7319,26.8336,0.0
IRL_G,509.7672,62.3913,4.3462,45.981,4.9367,1458.8547,89.3188,35.8364,57.6432,173.8117,22.5487,266.5193,63.0044,89.4364,38.2189,58.6205,186.0036,36.951,95.2315,43.8532,19.7767,261.3862,201.1218,44.0605,601.6072,906.344,458.1765,24.4222,289.5689,152.3881,50.0218,427.41,864.3405,86.6332,306.4124,105.1507,19.3627,467.6132,980.6615,265.1241,222.3729,264.5317,35.8682,219.2374,0.0
IRL_H49,69.0474,4.3834,2.1885,50.3589,4.6286,400.6049,10.2251,57.8882,25.5802,37.3874,4.7233,15.7334,35.3341,103.3588,8.3882,15.9834,52.4781,6.5434,13.0279,4.5841,2.1094,40.549,24.9331,15.0238,137.8057,1128.8934,297.2861,1.5821,24.4693,86.8952,72.9557,95.5389,113.3955,47.9131,156.1292,77.1208,10.7426,254.5747,517.78,166.5561,66.8115,64.1829,5.2522,32.7501,0.0
IRL_H50,3.7931,11.1776,0.0573,1.5614,0.2342,25.6585,0.3368,1.3573,1.0407,1.7921,1.1897,1.6707,1.2931,2.9527,0.4442,0.6905,3.3423,0.3255,0.9303,0.2628,0.1313,1.1351,0.7768,2.8385,2.2604,26.7911,6.0214,54.7294,5.6269,29.0886,3.9065,4.0709,14.1221,3.4833,4.3436,10.8156,0.6858,7.2929,21.5163,1.489,0.3475,0.3345,0.3803,2.0382,0.0
IRL_H51,20.4464,2.2667,1.0011,8.0983,0.2483,149.711,4.3067,0.7162,8.8299,20.65,16.585,29.1639,7.8636,10.7933,5.8658,7.0756,30.2667,3.0237,11.9229,3.4699,1.8791,16.4839,13.9242,2.1099,33.5846,47.051,23.7395,2.6534,161.3567,21.5539,19.0489,23.7117,40.4121,8.4899,25.2048,25.8643,2.2287,70.8574,225.9542,11.3889,15.6758,17.2086,2.669,14.501,0.0
IRL_H52,9.2065,2.5665,0.0554,1.4573,1.4913,26.527,0.6631,0.4712,1.2616,4.2176,1.7835,3.8964,2.212,1.9948,1.2989,1.4766,6.9564,1.3042,1.841,0.6599,0.3618,4.2373,3.8099,5.9016,12.4205,592.4653,569.5902,50.2945,131.6687,657.9426,10.603,28.8224,9.9068,51.4458,21.0563,32.0543,15.8407,67.6071,207.0174,1.8025,1.722,2.0914,2.3084,15.0895,0.0
IRL_H53,2.5747,0.0,0.0885,0.5355,0.1879,18.3514,0.9063,0.9132,1.1318,0.006,1.1416,2.9752,1.4186,1.704,1.1682,2.404,0.6432,0.5835,0.3668,0.9377,0.3477,1.0228,0.9536,0.9046,6.7926,180.0025,28.3712,1.0046,8.6813,10.4278,73.9189,30.9256,5.2375,46.6188,105.8974,356.0867,6.4619,211.9847,130.3085,5.9293,0.4647,5.4263,2.5156,18.9535,0.0
IRL_I,4.588,0.1224,0.4593,2.0858,0.6247,56.639,2.1361,2.3036,8.6972,14.0199,8.0828,47.4304,7.3038,6.9555,2.0563,9.451,15.6503,1.7105,11.2894,2.4567,1.5645,7.2037,38.4219,23.2429,17.2911,237.8404,29.1702,2.4759,49.4689,18.4414,7.9758,50.8132,10.2492,25.8899,106.0689,106.3832,6.0626,177.4865,302.4893,55.3763,5.7187,70.4041,5.3229,26.9205,0.0
IRL_J58T60,15.5879,0.048,0.8644,12.9069,0.7356,654.37,11.9516,15.1477,128.444,0.0054,67.097,389.0935,48.8033,49.6975,13.3939,58.1803,114.7372,10.5886,72.842,16.369,10.3839,268.2436,246.3772,146.0914,162.0072,286.8293,24.7397,1.2262,20.6568,60.3911,16.4148,206.3534,5725.6737,18.4574,271.7299,160.8803,28.1598,548.6442,179.8652,30.7469,212.6165,33.1877,118.0621,500.0188,0.0
IRL_J61,55.4569,0.2865,0.158,1.6051,0.64,77.0928,1.4824,1.6395,6.2637,6.945,6.5553,35.2236,5.5241,5.516,1.5643,6.7366,11.6683,1.2272,8.3525,1.84,1.1717,13.7516,28.6095,18.9852,43.6787,478.7681,92.4882,5.0354,42.4689,73.4309,34.7192,105.9583,103.9206,1077.2433,498.6798,504.7727,29.4192,465.2133,407.0366,186.3722,47.3378,34.0043,6.4847,46.7891,0.0
IRL_J62_63,4.7902,0.4568,0.5059,0.5525,0.1646,74.8407,0.6291,0.1983,8.0167,5.2713,3.1192,64.4751,0.8447,0.6942,0.4159,0.9538,4.4399,0.4187,1.2796,0.5732,0.237,2.2931,11.9542,2.7874,22.8949,172.8948,63.4118,5.1382,65.8928,45.4492,24.8819,43.1427,35.4466,77.854,579.2133,202.8545,18.8947,226.1715,191.7198,32.3211,10.0629,49.0297,10.0502,38.585,0.0
IRL_K,135.8056,2.1438,5.456,11.4183,2.9597,416.2737,9.1609,8.387,36.0052,82.9974,34.1838,283.5963,27.6303,27.988,10.1767,52.3129,133.5369,7.0917,42.253,10.6602,7.2927,42.3577,150.564,105.012,495.6474,1178.3418,187.5844,9.1676,120.0475,99.7354,26.9857,158.9143,197.5258,112.0999,1360.0078,9829.2133,3566.8363,989.0098,615.4893,113.5367,99.3459,109.809,12.5645,68.3532,0.0
IRL_L,8.6036,0.0,0.2407,0.532,0.6876,12.1945,0.4023,0.4515,1.7337,1.5271,1.872,9.6951,1.518,1.5472,0.4349,1.8565,3.2172,0.3391,2.2955,0.5083,0.3176,4.763,7.9278,6.4688,102.6897,1367.0205,70.627,4.8137,17.4485,38.593,41.4353,337.3106,61.8455,104.1537,140.4432,90.7396,56.0603,506.6989,232.5549,286.8624,140.9918,59.6738,16.9963,92.028,0.0
IRL_M,90.3063,1.0604,8.5731,5.4563,8.3258,928.2631,4.7707,3.431,130.8265,41.9736,99.592,1117.9375,14.794,11.6465,3.4124,14.9865,83.8167,3.2743,20.6523,6.5974,2.7876,43.0545,55.3134,36.0058,871.8154,2311.4175,348.199,25.6637,207.4992,172.8974,135.6222,440.7653,973.4811,263.4083,484.947,989.5144,356.7173,2453.9471,758.3688,582.3173,236.767,272.8798,44.7146,136.9281,0.0
IRL_N,10.3961,0.4283,1.8994,2.8926,2.9146,155.5136,1.7037,1.9336,27.6064,44.9012,34.9177,1226.7738,7.2261,7.197,1.6234,9.1977,102.2453,1.8849,15.7805,1.9951,1.1954,81.7694,47.1134,21.9182,601.5623,869.6318,219.9926,31.777,208.5475,118.5725,48.4121,243.5013,205.95,168.5105,1011.5222,605.5074,315.8373,514.6983,927.6076,93.4961,286.845,397.2593,111.868,133.2013,0.0
IRL_O,4.1663,0.0151,0.3042,0.6641,0.2469,34.5808,1.3459,1.4354,1.2584,0.0467,0.8598,59.4217,4.9501,2.3922,3.5827,5.8785,4.6602,0.5478,2.1215,1.1935,0.8933,23.5489,6.5515,0.4993,249.6223,74.1508,423.5153,0.8376,19.7986,3.1981,15.4217,12.5621,2.8007,4.9693,14.8431,29.5095,561.6693,993.5111,44.2183,101.8202,0.0233,224.9269,1.5282,8.3272,0.0
IRL_P,1.8547,0.0,0.0136,0.0094,0.15,4.3476,0.0721,0.0579,4.4489,0.2784,14.6673,101.1033,0.4589,0.1583,0.1392,0.2682,8.4561,0.2334,0.9464,0.1033,0.0984,1.6281,0.5882,2.2455,17.8745,13.9336,35.1577,2.1551,32.8244,34.851,24.407,38.4865,94.7364,87.1667,406.1012,166.0825,21.5212,1006.8947,124.7461,433.7651,1019.4009,315.3995,7.6896,68.6138,0.0
IRL_Q,1.3189,0.6278,0.0064,0.0014,0.1817,32.8728,0.4741,0.2122,1.1113,0.0903,3.0985,139.6033,3.4852,1.0435,0.5996,2.3929,10.222,0.8334,1.4952,0.656,1.0579,13.2949,6.5652,2.7827,29.6274,44.0876,12.0918,1.4956,9.9671,3.8135,2.9541,17.8075,13.3293,17.9341,22.0773,65.8781,0.5219,325.4283,26.8268,43.9005,0.0354,2881.444,3.2689,52.4486,0.0
IRL_R,8.1527,0.2095,0.0379,0.6277,0.0182,27.9638,0.6316,0.6916,2.6545,0.0017,2.8392,23.167,2.3254,2.3666,0.6511,2.8434,7.6868,0.5193,3.5165,0.7784,0.4822,18.383,18.9887,12.7332,5.427,49.9404,12.3831,0.2086,3.7761,17.0253,2.7887,20.404,316.2253,33.8472,121.4026,46.5423,1.6503,106.7918,126.5611,100.1376,57.4284,3.8941,542.1675,406.6884,0.0
IRL_S,29.6245,5.8102,0.5017,1.5437,0.4325,29.4384,1.6287,1.5181,5.8044,7.5445,6.1067,20.4179,5.1133,5.1251,1.4494,6.2382,10.8057,1.1368,7.7315,1.7045,1.0743,10.2066,11.5231,15.8123,2.6578,29.3488,19.1289,2.1817,23.6905,9.8691,17.0535,33.659,29.1141,17.0812,52.6157,71.263,2.0776,128.802,373.4257,113.0236,101.9063,51.0964,30.9475,195.9884,0.0
IRL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
