V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T
BGR_C21,1.7561,0.0031,0.7523,0.4215,0.0071,1.3612,2.1653,0.8064,1.5552,1.2195,7.8449,4.9497,2.134,1.974,1.8226,1.4572,0.2041,0.8725,0.8744,0.1317,0.1146,1.0377,0.3099,0.4237,1.9724,2.751,0.5927,0.0132,0.0266,0.2779,0.0169,0.581,0.7626,0.5302,0.2092,0.3101,0.4908,1.7932,0.6587,0.5687,0.1438,7.7772,0.7824,0.4551,0.0
BGR_C22,11.1234,0.8871,1.2885,5.4703,0.0894,22.8438,6.6562,1.5819,2.5918,2.3392,7.2244,1.8443,48.6933,21.4289,20.7193,18.2324,3.5426,10.2347,14.3012,3.9947,3.4567,10.0573,4.8656,14.5195,170.6745,85.606,12.3081,0.1271,0.7903,8.1226,0.2632,10.0194,2.2533,2.6449,0.913,0.6893,1.4731,7.4466,10.2634,3.7752,0.5934,6.8918,2.0033,0.3053,0.0
BGR_C23,14.463,0.0623,0.1352,4.4495,0.1803,17.4669,1.5074,1.5971,2.7248,3.798,4.0503,0.549,4.9317,92.9923,17.2343,11.1029,0.8415,2.9949,5.1862,3.8735,6.2067,4.327,6.2114,2.526,400.3207,30.077,8.0271,0.1721,0.345,13.0133,0.1914,7.8565,1.1633,1.4143,1.002,3.1161,5.4573,6.9732,6.7168,2.921,0.6355,2.5358,1.4577,1.8619,0.0
BGR_C24,2.0933,0.0447,0.4472,6.0971,0.1457,9.3985,0.436,0.3778,0.3436,1.8838,2.0325,0.5423,0.9043,13.3412,739.5203,147.5704,24.2721,172.0688,105.0574,8.1456,4.7437,71.3578,7.9155,8.6954,187.9456,16.4114,19.7998,0.0084,0.0046,10.8504,0.0343,0.0915,0.1175,0.5929,0.1234,0.6526,0.398,0.2825,0.4068,1.5787,0.0028,0.1702,0.1831,0.0148,0.0
BGR_C25,30.5964,0.3001,2.1006,8.9468,0.299,18.2653,6.0642,4.2652,1.2073,6.5148,2.0591,1.5012,2.2067,2.183,102.2196,36.7097,1.6041,7.5836,37.5646,2.4402,2.9783,11.7757,21.233,6.1189,310.5548,58.0115,7.2134,0.3305,0.7372,17.7626,0.2744,5.9643,1.8771,3.0926,1.591,4.8521,5.3314,6.0522,9.6087,3.0613,0.6425,2.7899,2.7706,0.9844,0.0
BGR_C26,0.3714,0.0022,0.0224,0.1265,0.0112,0.6607,0.1338,0.035,0.062,0.392,0.182,0.0632,0.0704,0.2258,1.3469,0.621,6.2733,2.2881,1.3052,0.5933,0.1579,0.728,1.6292,0.1664,3.7927,5.0579,0.7127,0.0665,0.2949,1.6955,0.406,1.8427,1.9854,5.3437,3.1262,0.4644,0.1602,1.9173,1.1459,1.2898,0.2171,1.3342,2.7855,0.133,0.0
BGR_C27,3.9776,0.0253,0.688,1.301,0.0433,5.283,0.9026,0.3293,0.2716,1.576,1.0007,3.2993,1.0502,0.8795,6.2866,6.4842,5.017,19.2149,6.4993,8.4705,1.734,2.4127,27.2451,1.6374,50.0412,11.3766,7.9028,0.1471,0.2207,7.0761,0.3611,1.9193,1.6469,3.6776,3.5591,0.7116,4.8166,1.2514,2.8006,2.8097,0.7203,4.2762,2.4683,0.1914,0.0
BGR_C28,5.2855,0.0445,0.2093,2.1457,0.201,6.6503,1.4354,0.4475,0.5424,2.2427,0.8013,1.2146,0.5657,2.8508,8.2853,3.7887,1.1455,2.2213,8.4503,2.0348,0.3002,1.8422,8.0704,1.1811,27.5535,12.9923,6.6837,0.1519,0.5394,2.4702,0.4022,1.4504,1.2681,2.1839,3.0579,1.6446,1.5354,5.2829,2.2203,3.3197,0.3975,3.0709,1.7598,0.2682,0.0
BGR_C29,0.8345,0.0075,0.0556,0.2571,0.0187,0.7587,0.259,0.1049,0.079,0.3825,0.2571,0.0807,0.1185,0.2698,0.7821,0.5114,1.5402,1.6469,0.8113,24.8137,0.1668,0.4377,1.6871,0.2528,4.6737,2.6873,40.5536,0.0271,0.0791,1.061,0.1014,0.5896,0.5285,1.2863,0.7238,0.1646,0.1454,0.8099,0.6051,0.622,0.1303,0.4984,0.7068,0.0464,0.0
BGR_C30,0.0403,0.0031,0.0444,0.2909,0.0032,0.0072,0.0057,0.0027,0.0049,0.0248,0.0164,0.0055,0.0115,0.3057,0.0729,0.14,0.1296,0.4251,0.1201,0.7235,32.0427,0.3784,0.4256,0.0269,1.0234,0.6186,21.5395,2.0207,12.9082,0.4763,0.008,0.0386,0.0396,0.0682,0.0256,0.0139,0.0205,0.0568,0.6047,13.7738,0.0219,3.1597,0.0594,0.8718,0.0
BGR_C31T33,7.3959,0.0852,0.7152,4.6089,0.5878,60.5626,3.9509,1.4122,1.064,3.0297,2.6328,0.6015,2.0748,1.2113,74.4468,7.5762,2.2491,6.9964,10.8283,3.7243,2.1602,15.3909,37.2801,2.6562,84.1315,29.1995,7.7812,0.8784,1.9699,7.3411,0.4292,7.2474,4.9308,3.8804,2.8592,3.9893,2.6328,11.2029,7.0294,3.6119,2.2716,7.5623,4.2944,1.9149,0.0
BGR_D,53.2966,0.2724,158.7109,71.5948,0.5781,195.3643,81.6321,33.4128,62.9473,143.494,301.6361,52.1155,71.812,159.5959,304.6002,85.2724,9.6098,38.6923,66.4536,8.6013,5.163,40.2229,52.1386,62.0302,68.4892,373.7997,93.9271,0.6574,0.4333,31.284,0.9564,102.9501,2.2246,82.3504,4.2889,34.929,73.3781,12.9368,7.8203,95.2778,5.9749,67.7103,13.5851,9.0736,0.0
BGR_E,18.9043,0.7502,1.1421,7.729,0.1121,34.1412,2.9052,1.8511,22.2753,3.4569,5.2033,2.992,2.6752,5.1743,16.7079,5.9139,1.5074,9.8921,3.2036,2.8702,2.8851,2.9769,10.133,13.1649,101.7995,30.4178,25.3922,0.7365,1.66,10.2666,0.5276,12.0587,3.1084,3.13,2.6488,3.5782,6.3743,21.8205,16.6161,9.6865,5.6561,31.29,4.1196,0.9401,0.0
BGR_F,64.5613,1.5887,7.6333,52.7791,0.4874,62.1881,14.7776,6.6531,5.0758,11.0806,21.0143,5.7218,10.328,26.6104,82.5195,35.7101,9.9623,27.9676,29.5896,14.3449,15.1062,18.1457,68.8608,112.9553,1200.2788,313.6801,46.9288,1.3752,5.9331,44.2604,3.6071,86.7102,22.1045,34.7779,13.0448,83.6347,481.6403,86.2662,75.506,66.2025,27.0716,101.6751,40.6329,4.5856,0.0
BGR_G,391.3743,1.0519,13.011,54.5036,1.8016,609.7739,126.34,28.8746,46.8929,200.7404,64.76,22.156,71.3041,71.3834,214.139,77.4318,24.9934,45.5103,73.0983,55.4104,24.2842,63.7921,172.0856,43.3632,420.0797,440.0029,285.2251,14.5351,31.9898,52.6589,10.3939,67.7436,30.9466,50.3703,29.9315,38.257,57.4203,161.5128,90.0028,58.1626,13.8323,71.2371,36.4032,18.2469,0.0
BGR_H49,92.5909,0.7891,4.9558,48.7514,0.6751,173.0815,33.6261,20.5269,10.1884,159.8288,25.2224,8.7697,19.2247,52.3033,121.6889,49.0541,7.2804,49.523,52.8973,25.601,3.7759,21.2736,203.7605,26.7515,520.8883,398.5532,204.702,5.3709,11.526,105.6013,5.1858,18.8649,9.5086,18.9664,8.3199,11.9953,11.8624,48.8772,62.1221,33.9568,4.2903,20.3408,12.1709,4.3674,0.0
BGR_H50,3.0464,2.3327,0.1445,0.6702,0.0232,8.9323,0.976,0.2321,0.3935,26.3867,1.041,0.2738,0.745,0.7508,6.4208,1.5933,0.2404,1.216,1.0935,0.5284,0.1693,0.6158,6.6621,0.69,7.4085,24.7089,12.3396,5.9162,0.2437,1.2411,0.4593,0.9492,0.3904,1.9781,0.5099,0.8158,0.6979,2.638,1.6094,0.717,0.1155,0.6941,0.3034,0.0803,0.0
BGR_H51,1.8748,0.0083,0.0442,0.2138,0.0271,2.0798,0.5983,0.1469,0.2895,6.8459,1.005,0.1605,0.5243,0.4758,2.3959,0.5789,0.1159,0.3198,0.5211,0.2493,0.1839,0.3758,4.1192,0.1711,4.2105,6.365,1.2567,0.0606,3.0061,1.1766,0.0459,1.1666,0.4178,0.3506,0.1102,1.1406,0.0918,0.2588,1.168,3.1312,0.088,0.5006,0.6658,0.0487,0.0
BGR_H52,18.0399,1.757,10.4813,27.0527,0.299,37.6167,4.9348,1.9659,1.8608,36.6449,3.3564,0.9805,2.9541,11.965,23.9392,5.1932,0.7498,3.8103,3.8086,1.9026,0.5068,2.1521,32.1907,5.6029,52.7573,177.2582,185.147,19.9363,11.154,28.4225,22.0904,4.9948,3.0336,10.9894,1.8048,1.4667,1.4489,5.4455,5.1809,3.6111,0.4923,2.3387,2.7277,0.7638,0.0
BGR_H53,1.7885,0.0269,0.1748,0.7951,0.0356,2.2905,1.5617,0.457,0.6875,0.7018,0.7336,0.1909,0.7024,1.4116,2.5123,2.8589,0.1851,1.1689,1.7436,0.3893,0.0644,1.2294,4.1783,1.2811,10.3736,47.7403,6.1632,0.2377,1.603,6.5113,2.7595,4.1249,6.9937,14.2829,1.2386,11.2311,0.7882,6.4973,4.9591,0.8064,1.0063,0.9101,5.2334,0.4467,0.0
BGR_I,0.6447,0.0187,0.4913,0.5932,0.0473,1.2329,0.5422,0.2117,0.4151,0.2078,0.3271,0.0807,0.3138,1.0112,0.7698,3.2651,0.7101,1.2184,2.0482,0.5838,0.3111,1.0912,2.4394,0.2866,9.905,27.3751,5.516,0.3152,5.468,9.7658,0.0303,0.9166,0.7565,0.2768,1.5404,2.7875,1.4578,12.4035,16.3085,3.3163,0.5954,0.3173,28.6804,0.1712,0.0
BGR_J58T60,1.9416,0.0155,0.0511,0.3333,0.0304,3.3524,1.0027,0.3539,13.3279,0.387,0.2746,0.107,0.3849,1.1822,0.4899,0.8543,0.4627,1.3858,0.8565,0.5861,0.0896,1.0911,3.4415,1.2733,9.5604,25.7139,1.1789,0.1246,1.3936,6.8419,2.8588,5.7122,32.6826,21.9774,5.1547,10.3949,0.8761,22.6066,5.8805,2.4115,6.2437,2.9648,13.1309,1.3154,0.0
BGR_J61,8.5377,0.0967,0.4483,2.4583,0.1533,10.4726,5.8679,1.6455,2.8619,0.7751,2.3869,0.6727,2.4791,5.0221,9.5781,10.2945,1.0074,4.7068,6.7935,1.6195,0.2709,4.6582,15.4908,4.9789,42.1552,55.9934,20.8451,0.6615,7.0129,25.5159,10.5943,15.6605,29.6647,252.7359,22.6681,42.3677,7.6688,30.9899,21.28,9.8738,4.378,10.3092,21.0915,2.6716,0.0
BGR_J62_63,3.6121,0.004,0.0679,1.1713,0.0954,3.9326,0.807,0.1298,4.12,1.1185,1.5131,0.4342,0.8726,4.6753,1.2689,7.8925,8.5822,10.3079,16.5485,4.1963,0.66,4.4779,17.4837,7.1649,16.2669,86.3684,4.9243,0.0491,7.2797,35.2464,27.9527,11.4336,19.7849,100.6808,41.9264,69.7088,5.9234,157.272,24.7715,24.9272,7.2804,10.3828,16.324,1.2572,0.0
BGR_K,184.85,2.1191,13.9028,51.8723,0.7449,126.0455,66.3064,11.6578,17.487,65.856,23.9652,10.2075,23.5254,42.5373,109.1377,41.9647,8.8934,31.7368,37.6018,40.809,5.5852,38.5138,142.821,24.0915,777.4997,589.4329,312.4282,13.4876,29.2611,103.2632,10.4165,93.2853,28.0061,78.4454,39.6069,686.7859,464.4169,128.0848,84.2886,35.4904,26.6835,52.0953,40.5545,10.5599,0.0
BGR_L,30.5927,0.1131,1.0756,12.6315,0.3172,23.0623,25.4743,1.5237,1.7175,5.4162,2.1942,0.7098,2.7983,3.545,12.4072,4.718,1.0463,3.2996,3.4649,3.4541,0.7728,3.5081,13.7719,14.0379,136.3441,245.7633,27.7452,3.826,10.1454,39.7911,4.1446,23.7475,12.6556,94.6044,92.7599,31.5052,59.7721,87.5527,54.1138,25.0623,3.2134,19.1109,38.3889,16.8538,0.0
BGR_M,149.7872,0.1056,0.7445,10.6168,1.2831,132.3388,44.7883,3.7096,8.5984,6.5464,7.5262,5.3135,5.1825,12.4285,13.4894,16.119,3.6326,30.4018,18.2409,12.3658,2.4641,11.874,15.3128,15.3598,387.1037,256.968,40.224,1.3291,6.8127,36.4119,9.4683,40.3602,25.7696,33.4067,78.9503,64.7859,38.9983,920.1202,62.0082,46.693,7.9655,81.6991,41.8403,6.8035,0.0
BGR_N,60.8728,0.3623,0.3933,3.1994,0.6415,29.1138,7.9079,1.5227,2.2842,3.2969,3.6006,0.9781,2.3163,7.8577,8.582,8.3679,1.6879,10.9183,7.9684,4.4168,1.0484,4.3312,8.9145,6.8092,122.5589,170.3754,33.973,1.4305,14.9413,26.0148,1.9072,20.8173,13.2084,14.4516,19.7754,34.0163,33.2305,110.246,110.9635,17.6741,2.7081,19.656,15.1088,2.8713,0.0
BGR_O,8.1543,0.0097,0.0797,0.4557,0.046,0.9583,0.2565,0.1961,0.0506,0.2158,0.5775,0.1543,0.2147,0.3133,0.6165,0.5833,0.1029,0.2651,0.3775,0.0862,0.0232,0.2564,3.38,1.7539,31.2195,81.6706,2.8199,0.6006,3.0033,4.1204,0.3939,0.5013,3.2839,3.6594,0.5076,7.1774,1.1744,9.0567,9.7589,74.5197,5.998,9.8036,6.9797,0.6286,0.0
BGR_P,0.3796,0.0011,0.0113,0.0529,0.0157,0.3617,0.1514,0.0084,0.8944,0.1149,0.0804,0.0316,0.0573,0.1649,0.1445,0.2078,0.0241,0.227,0.1679,0.1101,0.0488,0.1018,0.1483,0.1439,2.4019,3.0456,21.7928,0.0183,8.9818,0.5302,0.1895,4.1259,19.4836,1.5217,4.6104,18.2444,0.4393,4.5341,81.1256,65.9098,133.8723,28.0964,27.6553,0.6087,0.0
BGR_Q,4.9597,0.0007,0.0366,0.3388,0.0183,3.8327,0.5252,0.0368,0.7431,1.1923,0.7467,11.3746,0.4525,0.7607,1.0706,0.587,0.1269,0.1879,0.285,0.0437,0.0195,0.6063,9.4009,0.153,1.0091,6.4266,16.039,0.0155,66.9639,6.2807,0.0464,1.4372,4.4899,0.4813,1.9613,77.9174,3.5149,11.3287,33.2003,227.193,31.6113,88.2231,24.384,0.4156,0.0
BGR_R,1.3042,0.006,0.0428,0.3113,0.016,4.1954,0.7009,0.0589,1.2535,0.7404,0.1742,0.2708,0.0932,0.3307,0.8546,0.3278,0.5119,0.4012,0.4143,0.2977,0.0622,0.5646,1.6803,0.4636,3.2008,3.7282,1.9513,0.0301,1.5325,1.1547,0.3636,27.5802,14.0984,3.6079,3.9745,2.6078,12.0726,7.8045,13.4459,8.3692,9.6587,40.8292,370.301,12.4362,0.0
BGR_S,3.1106,0.0046,1.4915,9.7842,0.0554,9.7377,1.9017,0.2043,0.1105,12.2757,0.4526,0.5397,0.1455,2.026,4.9588,2.2446,0.5095,0.9506,1.5166,0.7931,0.1686,1.884,1.9606,2.3691,1.6694,15.4504,7.3071,0.0434,2.6978,7.159,0.94,24.6083,1.1423,37.1022,8.3178,26.7976,3.4029,12.1543,7.7826,1.7742,3.8339,31.5314,23.9904,51.9914,0.0
BGR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
