V1,LUX_A01_02,LUX_A03,LUX_B05_06,LUX_B07_08,LUX_B09,LUX_C10T12,LUX_C13T15,LUX_C16,LUX_C17_18,LUX_C19,LUX_C20,LUX_C21,LUX_C22,LUX_C23,LUX_C24,LUX_C25,LUX_C26,LUX_C27,LUX_C28,LUX_C29,LUX_C30,LUX_C31T33,LUX_D,LUX_E,LUX_F,LUX_G,LUX_H49,LUX_H50,LUX_H51,LUX_H52,LUX_H53,LUX_I,LUX_J58T60,LUX_J61,LUX_J62_63,LUX_K,LUX_L,LUX_M,LUX_N,LUX_O,LUX_P,LUX_Q,LUX_R,LUX_S,LUX_T
LUX_G,60.4467,0,0,6.9709,0,176.3983,115.1268,13.2121,76.552,0,47.2213,33.1731,308.7327,83.3254,462.1752,83.8469,23.0428,10.9371,132.7587,14.4926,1.8703,45.5281,36.9041,11.1344,291.8286,1259.1566,252.5443,9.3137,146.6581,22.7147,25.134,205.3033,44.6744,62.8805,98.4781,91.3815,40.1238,157.527,80.4227,36.2637,18.0941,120.5457,11.6332,12.7687,0.0
LUX_H49,2.7617,0,0,0.9429,0,7.4955,2.5187,1.1569,5.5676,0,2.8758,1.2312,21.6029,9.5641,46.1553,6.4545,1.1862,0.6603,8.3635,1.2648,0.1156,2.9828,9.5825,4.0641,33.671,29.5435,16.6082,0.6018,8.9523,3.8392,2.7055,7.2343,1.7002,4.9983,1.5669,5.2671,9.8369,4.2823,3.0314,5.8223,1.4509,5.7256,0.9261,0.9755,0.0
LUX_H50,0.2847,0,0,0.0228,0,1.0234,0.2195,0.1277,1.2276,0,0.8044,0.2,4.2054,2.4663,22.1727,2.5222,0.3204,0.2427,3.0458,0.2437,0.0405,0.7572,0.8018,0.0481,0.5501,19.467,0.3317,11.3296,2.4139,3.304,0.9256,0.7396,0.2523,0.804,0.4645,0.0723,0.2226,0.4023,1.4525,0.058,0.0337,0.3978,0.1347,0.0204,0.0
LUX_H51,1.3653,0,0,0.1273,0,3.9618,1.3295,0.5511,2.0567,0,1.2729,0.743,9.5797,3.1704,18.7803,2.9849,0.9596,0.4065,4.8855,0.6357,0.0638,2.11,2.4511,0.2328,4.4373,20.26,2.6268,0.4184,50.2134,2.9856,4.5845,3.5089,1.0021,2.1621,3.7423,1.7832,1.0183,5.2991,10.4566,0.3891,0.1685,1.7522,0.3595,0.1978,0.0
LUX_H52,0.1045,0,0,0.0027,0,0.2998,0.031,0.0117,0.4676,0,0.223,0.0805,2.2125,0.7789,6.2595,0.8243,0.1237,0.0713,0.8714,0.1027,0.0108,0.2935,0.0326,0.0038,0.1441,13.5102,4.4586,1.3847,18.3664,2.9036,0.4003,0.0905,1.5796,0.0089,0.2311,0.0057,0.0915,0.2954,0.3373,0.5567,0.0077,0.0465,0.1229,0.0873,0.0
LUX_H53,0.0063,0,0,0.0116,0,0.1057,0.0073,0.0553,0.2985,0,0.1283,0.091,1.5386,0.3464,2.4246,0.7549,0.163,0.0847,0.9627,0.0579,0.0097,0.4605,0.2879,0.0381,0.398,14.2809,0.482,0.0472,0.7949,0.4834,12.0547,0.0126,0.4005,0.4565,1.8727,13.6376,0.7401,1.9007,1.7118,1.7703,0.0249,0.4354,0.0211,0.2865,0.0
LUX_I,0.0293,0,0,0.1097,0,0.3832,0.0563,0.2237,1.1006,0,0.5264,0.4963,7.3921,1.7923,13.5744,3.631,0.6819,0.3178,4.9472,0.3047,0.0551,2.214,1.0141,0.383,6.0244,16.8872,2.8862,0.4127,26.2969,1.7047,0.9635,0.7085,1.2288,1.1167,3.408,9.615,2.4408,12.5212,11.1693,6.2366,5.0708,19.0415,0.7495,4.557,0.0
LUX_J58T60,0.278,0,0,0.1188,0,1.8256,1.3796,0.174,1.2063,0,0.4059,0.3304,3.98,0.9734,6.2973,1.3428,0.3762,0.1775,2.0083,0.1433,0.0321,0.7183,0.636,0.2754,3.3281,54.348,0.771,0.1057,2.1285,0.401,0.5131,0.807,15.8767,55.1418,12.1619,10.106,1.2866,16.0637,2.8422,3.2905,0.9139,1.2104,10.4243,1.3615,0.0
LUX_J61,0.7057,0,0,0.1795,0,3.1327,4.051,0.3006,1.6016,0,0.7833,0.6086,8.196,1.9842,11.5879,3.5188,0.7808,0.3571,4.6657,0.301,0.0562,1.8688,3.8615,1.2673,32.3032,70.5921,7.1393,0.2819,5.2001,1.6237,1.8543,2.3736,10.0607,292.6737,90.4578,23.5041,4.6439,34.0549,6.5998,11.2261,4.6933,6.7926,5.7795,1.9137,0.0
LUX_J62_63,1.2225,0,0,0.4404,0,5.7912,6.3533,0.7065,3.6405,0,1.3428,1.1325,13.4786,3.7371,24.1446,4.6918,1.3843,0.6041,7.8968,0.4485,0.1055,2.3559,2.5576,0.8365,25.1265,136.3374,3.1615,0.272,5.6108,0.9629,1.1176,2.9038,12.1553,28.5054,31.2794,30.6289,2.3995,23.9016,4.8473,9.2474,2.5229,3.9286,4.5399,2.6574,0.0
LUX_K,10.5851,0,0,1.8032,0,13.098,10.0878,10.0689,25.5023,0,10.0931,5.8355,134.43,34.6416,292.0628,61.4394,8.4769,5.4636,75.3587,4.6312,1.1315,28.4173,26.6084,5.5179,125.8096,490.8283,102.9385,8.2913,100.7579,19.1957,14.0429,5.662,16.0836,46.853,42.5783,24184.5852,218.723,108.9184,69.5462,95.9032,2.9807,32.6451,4.5772,12.5714,0.0
LUX_L,0.3699,0,0,1.0213,0,3.6529,2.5045,2.4566,9.6384,0,2.4352,1.8697,62.5846,11.548,62.9031,33.3492,4.3576,2.2523,31.5424,1.8437,0.5563,18.6364,8.659,3.2295,84.6692,738.0295,53.0583,1.5207,23.1408,16.3554,11.3212,17.4287,19.1392,16.9122,61.8558,157.5535,118.6282,222.8719,50.2409,87.121,15.7021,45.9934,6.284,34.8275,0.0
LUX_M,0.996,0,0,0.6965,0,11.6232,15.0018,0.2964,26.4448,0,12.1862,15.5424,163.1932,36.4946,256.0218,63.4191,15.0661,8.0449,97.9704,6.7545,0.7657,41.365,21.5599,10.2334,266.1937,541.4252,38.0801,3.8045,52.9579,18.698,12.2009,3.4364,19.7434,92.5308,75.9309,1844.2215,82.7967,226.7459,97.9997,47.0583,20.9439,29.4092,7.5805,13.9392,0.0
LUX_N,0.5886,0,0,0.617,0,5.566,36.8324,0.4231,6.0714,0,2.4331,3.1025,46.8748,10.3419,70.2157,22.3042,4.4615,2.3683,26.7898,2.0782,0.4782,15.448,19.7662,5.0945,222.4305,187.0003,31.0598,2.0062,38.3656,8.2715,7.3456,2.0224,16.5184,59.7282,52.1149,41.4142,15.3314,86.0227,71.9078,23.435,10.7267,9.4281,4.9547,8.2163,0.0
LUX_O,0.1318,0,0,0.034,0,0.5239,0.1047,0.4593,1.3482,0,0.3741,0.4227,6.8729,1.4358,10.7604,3.3856,0.3941,0.2782,3.3909,0.2639,0.0607,1.6219,0.75,0.5518,6.474,22.8917,2.1781,0.2533,4.2715,1.454,0.9448,0.4964,0.8635,1.2128,2.3192,10.4237,6.9104,7.2259,3.5844,4.1048,0.4848,1.6543,0.3722,1.1111,0.0
LUX_P,0.0288,0,0,0.0247,0,0.248,0.0774,0.1371,0.5561,0,0.1932,0.3476,2.8777,0.6921,8.6537,1.5345,0.4541,0.1745,1.8374,0.1268,0.0267,1.0445,0.948,0.36,2.876,14.4608,2.3214,0.077,3.7704,0.5203,0.4614,0.1286,2.6261,8.3937,3.4848,6.3009,0.9919,18.0017,3.9079,3.7504,12.5369,11.1224,1.77,6.1837,0.0
LUX_Q,0.0628,0,0,0.0293,0,0.4194,0.6966,0.0657,0.3574,0,0.1491,0.2734,2.2484,0.5057,4.1148,1.0329,0.1646,0.0925,1.1378,0.0828,0.0206,0.5692,0.9362,0.3229,6.3808,16.2358,1.1067,0.0571,0.9473,0.347,0.3559,0.2467,0.5782,3.2929,4.0377,3.3766,1.3036,6.2382,1.9785,4.8601,0.9356,51.933,0.2663,0.9948,0.0
LUX_R,0.02,0,0,0.0375,0,0.4767,0.4534,0.1132,0.4102,0,0.1083,0.1026,1.5612,0.3204,2.3544,0.5728,0.1169,0.0709,0.6177,0.074,0.0177,0.3479,0.0991,0.2878,3.1129,21.6423,0.4335,0.0856,1.0033,0.2674,0.3393,0.104,11.8036,35.3903,4.3513,3.3825,1.1115,8.9538,2.4467,0.5376,0.3929,0.542,10.0115,0.83,0.0
LUX_S,2.4693,0,0,0.7227,0,6.9225,3.6242,1.0055,1.2215,0,0.4929,0.4491,6.6879,1.8633,13.2785,2.8478,0.5411,0.2943,3.5042,0.2543,0.0472,1.6841,1.6638,2.2839,45.8961,102.8026,5.939,0.2065,2.8149,1.1407,0.7161,0.7668,2.1125,7.5465,28.6274,52.3518,2.319,18.2407,4.4844,2.9623,1.704,12.8283,1.1426,6.371,0.0
LUX_T,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
