V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T
ISL_C20,1.396,0.4757,0.0038,0.0083,0.0003,0.8315,0.3074,0.0498,1.2134,0.0005,1.8384,3.7155,1.9316,0.1351,0.7105,0.1099,0.0029,0.0625,0.1462,0.0173,0.0267,0.3666,0.2359,0.6287,4.2378,0.6703,0.0356,0.0904,0.5732,0.075,0.0134,0.2115,0.7835,0.0535,0.6805,0.2294,0.1841,0.9288,1.7364,0.2056,0.1333,0.8309,0.0557,1.0886,0.0
ISL_C21,0.0498,0.0926,0.0002,0.0018,0.0,0.5001,0.0116,0.0043,0.0222,0.0,0.0064,2.9901,0.0104,0.0151,0.1402,0.0105,0.0011,0.0197,0.0096,0.0014,0.0019,0.0149,0.0701,0.0171,0.1482,0.2782,0.0214,0.0342,0.2378,0.0284,0.0035,0.0402,0.0587,0.0227,0.0413,0.1545,0.1715,0.9901,0.0614,0.1325,0.6121,63.3715,0.225,0.0583,0.0
ISL_C22,1.0547,2.457,0.0024,0.0184,0.0001,6.6457,0.1258,0.0278,0.1011,0.0,0.0724,0.1459,2.2966,0.1724,0.2156,0.1035,0.1048,0.3331,0.1483,0.0371,0.0489,0.6911,0.9714,0.3705,9.5236,7.6615,1.5877,0.2877,0.9031,0.3529,0.047,0.6487,0.4132,0.3103,0.2082,0.5075,0.3222,0.5758,0.4623,0.434,0.3681,0.6304,0.3475,0.2318,0.0
ISL_C23,0.0,0.0,0.0024,0.0,0.0003,2.0994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2818,3.8246,0.0,0.0067,0.2536,0.0,0.023,0.0208,0.4462,0.0791,0.0592,57.9387,0.0219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2833,0.0,0.0,0.0,0.4013,0.0,0.0,0.0
ISL_C24,0.0,0.0,0.0651,0.0,0.0031,0.1169,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,470.2669,25.7696,0.4636,1.8493,8.9449,0.84,0.5498,12.6302,16.02,2.7454,80.0206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ISL_C25,1.297,3.0609,0.0166,0.0032,0.0007,3.2456,0.0,0.0167,0.0,0.0002,0.1189,0.0,0.0038,0.6448,2.273,7.0012,0.1204,1.2274,3.9089,0.251,0.7246,2.3382,12.5174,0.9068,61.2469,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.0,0.0,0.0,0.0,0.0,0.0254,0.0448,0.0,0.3247,0.0,0.0,0.0,0.0
ISL_C26,0.0046,0.2826,0.0001,0.0006,0.0,0.048,0.0023,0.001,0.0072,0.0,0.002,0.0052,0.0016,0.0029,0.0851,0.0035,0.0335,0.0065,0.0037,0.0018,0.0068,0.0594,0.0793,0.0061,0.023,0.2027,0.0482,0.1761,0.4985,0.0326,0.0127,0.0563,0.0841,1.3968,0.26,0.2301,0.1974,0.234,0.1022,0.1281,0.2585,0.6099,0.0241,0.0542,0.0
ISL_C27,0.001,0.0745,0.0007,0.0041,0.0,0.2879,0.0074,0.0,0.0,0.0,0.0,0.0,0.0207,0.0596,36.1327,0.0509,0.0118,5.6282,0.189,0.032,0.0246,0.4857,8.2643,0.0383,2.0691,0.2322,0.0098,0.0139,0.1756,0.0065,0.0073,0.0154,0.0314,0.5233,0.0447,0.0178,0.1656,0.0654,0.4597,0.0392,0.0,0.0,0.0,0.0145,0.0
ISL_C28,2.9662,6.6617,0.0142,0.161,0.0007,10.0382,0.1144,0.2354,0.3854,0.0001,0.1385,0.1798,0.2846,1.2667,6.3071,0.5881,0.0168,1.4058,7.4183,0.0802,0.193,1.6202,4.6116,0.6321,26.4186,0.4552,0.0911,0.4571,1.157,0.8338,0.0,0.5475,0.3038,0.0,0.0,0.0,0.0,0.0,2.6892,0.0,0.0,0.2148,0.0,0.2194,0.0
ISL_C29,0.0573,0.0426,0.0001,0.0304,0.0,0.2389,0.0089,0.0027,0.0163,0.0,0.0046,0.0122,0.0075,0.011,0.0863,0.0085,0.0008,0.0149,0.012,0.0314,0.0013,0.0415,0.0337,0.1341,0.1218,0.7416,0.5613,0.0454,0.1141,0.1206,0.044,0.0866,0.0278,0.0969,0.0299,0.168,0.1244,0.0751,0.3782,0.1445,0.0253,0.0433,0.0233,0.0312,0.0
ISL_C30,0.0,1.5175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063,0.0399,0.0,0.0,0.0,0.0026,0.0,2.9349,2.785,0.0242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0981,0.0374,0.0,0.0,0.0,0.0,0.0
ISL_C31T33,1.3216,7.2577,0.0189,0.1079,0.0011,5.8852,0.1499,0.0911,0.6187,0.0003,0.1139,0.2414,0.1474,0.4984,5.2746,0.3665,0.0251,0.5094,0.7243,0.0233,0.1212,7.3069,4.9819,0.7101,4.727,14.8217,1.0958,3.1095,30.6739,1.3863,0.1876,5.5145,0.6689,2.2252,0.792,2.1262,1.3139,2.4643,2.7513,5.0963,3.5039,5.9515,8.5742,1.4691,0.0
ISL_D,13.0636,3.8551,0.0834,0.1943,0.0023,47.2801,1.7849,0.8456,6.2758,0.0027,1.802,4.7259,3.1394,4.0701,132.116,4.7723,0.1609,2.4672,4.1637,0.156,0.136,4.2582,81.6438,3.7515,12.6818,66.106,2.0572,7.0857,39.4872,12.5973,3.9448,25.8823,10.9716,26.0659,9.4148,38.146,32.7498,21.3025,17.3768,48.9802,26.3913,17.4984,5.3056,10.5252,0.0
ISL_E,2.8482,1.268,0.0084,0.0175,0.0003,16.2988,0.2471,0.3707,0.5846,0.0002,0.5159,0.228,0.747,0.8025,36.6566,0.1371,0.0104,0.1748,0.1767,0.0125,0.0173,0.4023,5.2317,14.5217,2.4413,8.3903,0.7551,1.6838,3.9743,1.409,0.2493,4.9927,0.6937,1.7108,0.5153,2.0663,2.3226,3.4667,1.8192,1.3196,1.5445,4.8351,0.4338,1.3398,0.0
ISL_F,0.1927,0.2918,0.0161,0.2466,0.0009,2.4409,0.0528,0.0318,0.159,0.0004,0.0406,0.107,0.0409,0.0626,0.8606,0.0732,0.0073,0.1236,0.1203,0.0091,0.0124,0.6087,0.9546,0.2032,52.9997,1.955,0.2992,0.24,2.0219,0.2486,0.0468,0.3373,0.3029,0.3087,0.2368,0.8976,121.4209,1.172,0.4026,0.4403,0.1465,0.5826,0.182,0.3278,0.0
ISL_G,16.6961,43.349,0.0543,1.3295,0.003,151.8681,7.0685,2.6945,9.317,0.0078,3.1951,7.3387,4.3534,5.8513,47.2125,4.5641,0.5727,5.1541,5.5644,0.8174,0.678,11.9515,19.9164,6.3313,91.7058,35.8858,17.1338,24.9244,98.4751,7.3795,1.9975,32.5971,12.8968,22.1264,5.9936,13.8424,9.9467,9.7802,18.4802,16.913,23.3794,41.4879,9.8578,5.3596,0.0
ISL_H49,0.902,1.9765,0.0677,0.0689,0.0022,9.0604,0.2661,0.1241,0.4219,0.0021,0.1573,0.3587,0.255,0.3756,9.6483,0.6533,0.0265,0.3079,0.472,0.041,0.0488,1.1649,1.6695,0.3167,5.7001,3.9237,4.9269,1.3753,5.6111,14.9358,0.1052,1.4751,0.5096,0.5077,0.3902,1.4114,1.2672,1.142,0.7762,1.4209,1.3949,2.9205,0.2538,0.2478,0.0
ISL_H50,0.4884,5.0902,0.01,0.2875,0.0002,5.1519,0.4145,0.1949,0.8782,0.0005,0.1714,0.3818,0.592,0.7606,14.6901,0.4706,0.0426,0.6373,1.1645,0.041,0.1041,0.8993,0.7256,0.2955,3.1535,93.8574,2.9947,11.7667,3.5314,4.7942,0.0552,1.7791,0.7603,0.5242,0.1493,0.261,0.1907,0.351,11.8189,1.6219,0.3239,0.5835,0.1571,0.1376,0.0
ISL_H51,0.8239,2.61,0.0035,0.0914,0.0002,4.9513,0.3105,0.1471,0.4357,0.0005,0.198,0.3957,0.2991,0.2793,9.1103,0.4769,0.0248,0.3692,0.4264,0.0445,0.0526,0.6893,1.2844,0.4112,6.1129,0.2046,0.8616,1.782,0.0529,0.1136,0.0458,0.6925,0.3022,0.5354,0.0759,0.1466,0.1,0.2825,0.5314,0.0525,0.4105,1.1634,0.1254,0.1717,0.0
ISL_H52,0.2859,6.2439,0.0047,0.0191,0.0003,2.3291,0.0598,0.0519,0.1556,0.0003,0.0553,0.1362,0.0872,0.2133,2.1666,0.176,0.0127,0.1389,0.1727,0.0137,0.0132,0.2391,0.4699,0.1266,1.4259,12.9144,3.28,8.4854,65.8643,19.2487,0.1151,0.837,0.2758,0.7468,0.2051,0.4174,0.6492,0.4044,1.7635,0.4949,0.5143,0.7848,0.1727,0.2007,0.0
ISL_H53,0.6691,1.2078,0.0013,0.0234,0.0001,2.8207,0.1428,0.0537,0.3022,0.0,0.0834,0.2199,0.1212,0.1973,0.4419,0.1308,0.0171,0.2267,0.2415,0.017,0.0234,0.2594,0.9428,0.4061,2.2715,15.7032,0.2721,0.8398,3.2524,0.9091,11.1754,0.6705,1.0254,1.223,0.8257,4.1312,5.2675,3.2061,1.9433,2.593,2.0765,1.4576,0.8737,1.4027,0.0
ISL_I,0.2398,0.2434,0.0086,0.0106,0.0004,2.1787,0.0484,0.0126,0.1241,0.0001,0.0291,0.0771,0.0779,0.1135,1.654,0.1001,0.0099,0.1873,0.105,0.0133,0.0136,0.45,0.7686,0.1357,1.7512,5.8038,0.3662,1.0195,6.8664,0.641,0.1102,31.6143,0.8518,0.7294,0.5504,3.2815,3.1673,1.6772,1.1948,12.4219,1.7358,0.7868,0.8127,0.9175,0.0
ISL_J58T60,0.024,0.0604,0.0012,0.0004,0.0001,2.6167,0.0886,0.0258,3.9106,0.0,0.0365,0.1149,0.0327,0.1055,0.0048,0.1156,0.0169,0.246,0.1793,0.0193,0.018,0.2173,0.5214,0.1592,0.3218,20.2169,0.6204,0.4417,11.2992,1.15,0.4034,2.8815,70.6859,1.0991,1.3793,8.0196,4.4722,2.9042,3.1846,9.3288,17.05,1.839,5.031,2.0182,0.0
ISL_J61,2.3031,3.6604,0.0077,0.0705,0.0003,8.2613,0.4405,0.1711,0.6442,0.0001,0.1707,0.4503,0.3607,0.4373,1.8211,0.5358,0.045,0.6977,0.7666,0.0542,0.0747,0.9284,1.9789,1.5902,9.7487,40.1848,1.0544,3.7756,18.6509,3.7429,1.292,5.0958,3.694,56.6812,4.0724,15.2798,27.4681,17.0459,9.9057,17.0172,10.0012,4.2833,3.6349,6.0903,0.0
ISL_J62_63,0.0215,0.6676,0.0043,0.0185,0.0001,2.0851,0.0508,0.0372,0.3827,0.0001,0.063,0.1582,0.1053,0.2112,2.3924,0.1254,0.0017,0.1761,0.3912,0.0127,0.0104,0.3049,0.6105,0.3953,1.0729,7.1764,0.2915,0.899,1.9068,1.2494,0.6474,1.3295,2.2505,4.6822,30.8532,14.0104,12.5694,12.4815,3.3034,24.4857,14.3714,1.6447,0.704,3.7935,0.0
ISL_K,13.4483,30.6485,0.0635,0.5654,0.002,99.7596,3.5423,1.2563,7.2373,0.0013,2.2849,6.0101,3.8734,5.0335,38.9571,4.5859,0.3278,6.0448,6.3211,0.4623,0.5492,5.6125,16.6791,3.7577,66.1784,134.0052,9.9179,25.2581,166.7622,18.7756,3.4844,26.038,19.9483,27.3071,14.2673,305.9634,76.2806,43.25,30.4896,15.8267,23.1211,9.1024,13.7164,19.8547,0.0
ISL_L,1.1684,0.3683,0.0024,0.0269,0.0001,3.2982,0.1698,0.0594,0.3729,0.0,0.1312,0.3072,0.166,0.2149,1.8809,0.1462,0.0301,0.254,0.24,0.0173,0.0203,0.4606,0.0,0.0381,0.6707,30.2215,1.2338,1.1194,3.2118,5.7878,0.3323,8.3001,4.8295,3.3393,3.9583,19.5124,44.1555,17.5391,10.5451,6.4213,2.0446,0.0,3.9325,10.1925,0.0
ISL_M,5.1931,11.2872,0.052,0.1699,0.0029,37.9273,1.2774,0.4626,2.8832,0.0008,0.9399,2.8507,1.2049,2.2118,20.986,1.8262,0.1503,2.4789,2.8984,0.1838,0.1842,3.0457,9.0901,1.8693,34.6752,55.1485,5.4587,8.4761,48.3678,7.1735,1.2701,8.8123,6.8982,8.8299,8.4996,54.5452,40.1877,103.7406,10.931,40.4988,15.3996,16.842,6.3526,11.3479,0.0
ISL_N,2.4229,4.0196,0.0967,0.404,0.0062,17.8655,0.507,0.1804,1.4073,0.0012,0.2951,0.835,0.5093,0.5966,5.7639,0.5834,0.0774,1.0038,0.8227,0.0485,0.1178,3.1575,3.5753,1.1178,28.366,36.2159,3.3746,7.5605,29.0066,5.0955,0.6235,9.5579,5.6389,3.6513,3.2285,20.7057,15.0121,22.0883,72.6837,19.9883,9.4619,10.2339,4.0547,5.6148,0.0
ISL_O,0.0,0.0,0.0018,0.0,0.0001,0.0323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0634,17.9811,4.4264,0.0,0.0,0.0,0.0,0.0,0.0,1.182,0.0,6.1441,11.2527,0.0,6.7926,0.0,0.5453,0.0,45.7666,34.2417,0.0,8.1425,0.0,0.0
ISL_P,0.3161,0.6946,0.0014,0.013,0.0,2.9524,0.0637,0.0282,0.1495,0.0,0.0293,0.2278,0.0687,0.1,1.7017,0.0873,0.0074,0.1233,0.1252,0.009,0.0123,0.1532,0.4717,0.0615,1.5129,1.9761,0.2099,0.4314,2.8585,0.3611,0.0496,0.4899,0.2592,0.4722,0.9827,2.3586,4.0949,2.7086,1.0506,11.1592,188.8506,2.8758,0.0988,0.1698,0.0
ISL_Q,0.1562,0.3319,0.0005,0.0064,0.0,1.4629,0.0384,0.0139,0.074,0.0,0.0209,0.0551,0.0339,0.0492,0.8397,0.0436,0.0037,0.0604,0.0621,0.0043,0.0061,0.0638,0.2001,0.0498,0.7285,0.9102,0.1037,0.2131,1.3552,0.1783,0.0353,0.2425,0.1934,0.2333,0.1354,0.571,0.5608,0.3853,0.2882,39.0683,0.0,392.3531,0.1407,0.1908,0.0
ISL_R,0.0,0.0,0.0002,0.0,0.0,0.0059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9355,0.0,0.0
ISL_S,0.4102,1.0339,0.0028,0.0176,0.0003,4.5454,0.1258,0.0461,0.2505,0.0001,0.069,0.1824,0.1125,0.1654,2.921,0.1444,0.0118,0.2016,0.212,0.0148,0.0198,0.3045,0.7688,0.1811,2.5622,4.8172,0.3427,0.7152,4.4157,0.6167,0.136,1.5434,0.6209,0.9003,1.2558,2.3232,2.2393,1.682,1.0388,1.7602,1.6971,2.2167,0.3932,42.6291,0.0
ISL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
