V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T
ESP_C23,85.2216,3.4145,9.044,42.3174,1.4918,699.6434,35.492,62.2426,48.1567,14.0782,320.5228,100.9428,88.8371,3765.1576,247.0164,489.1078,45.2232,125.938,114.8365,478.279,75.9994,88.5678,191.43,90.9968,10273.7706,775.5878,25.1518,3.2314,4.7229,77.9843,5.2477,294.8608,54.9332,123.3154,22.7814,55.9367,40.8554,152.6859,95.2733,125.0072,42.0118,326.2765,48.6779,92.1297,0.0
ESP_C24,10.1852,0.489,18.3687,25.6262,2.6049,33.0093,15.4865,17.1844,90.1404,2.9004,343.3138,70.8326,246.4552,270.8998,6642.3968,8597.6629,280.6629,3134.5847,2689.5472,3645.0578,1254.3034,858.7703,25.6181,511.5237,1781.2792,11.4749,1.8033,0.2059,1.1392,24.1629,0.3637,19.9838,23.4388,2.3688,7.0541,10.5906,0.6756,11.0401,0.8126,57.0937,5.4925,1.6487,2.882,2.1869,0.0
ESP_C25,492.8732,30.7393,31.2236,184.0816,3.006,960.0841,133.6265,126.3099,226.3144,49.6168,366.647,111.5386,359.8027,408.2175,2130.3752,2584.1171,159.5516,971.2756,1525.6743,2558.3376,747.9156,1027.915,823.6042,1250.1202,5109.5471,1144.826,110.8588,11.2859,61.5145,289.5009,19.0022,255.7583,109.5623,183.3616,71.077,158.5905,152.1164,460.9253,332.9876,300.1314,113.6945,288.972,148.6715,171.3319,0.0
ESP_C26,20.9983,5.016,1.2563,7.0955,0.2794,111.3087,14.9925,23.574,46.2485,8.2968,57.1384,20.595,27.9532,39.5459,41.6485,48.6896,180.2963,155.087,43.7587,158.759,87.4023,132.8672,83.1929,35.8247,319.6412,225.7278,41.0087,5.2515,28.7041,46.9896,4.3353,66.5029,49.2051,323.822,75.7391,39.5322,35.5627,170.4737,105.0195,77.4819,33.0787,151.0681,48.0873,49.2052,0.0
ESP_C27,47.1983,11.4343,3.7045,23.0509,0.8142,348.3337,31.3948,52.9867,67.2273,20.4238,108.9289,43.509,102.7828,95.3873,150.0157,165.5166,304.675,1307.4835,400.6989,885.6351,228.2122,514.8059,343.2019,166.3911,2665.2931,589.5835,82.0285,10.9831,61.93,118.2746,9.8073,368.0813,72.5018,447.021,49.7767,80.9624,54.3398,221.6554,198.0317,140.5757,62.6588,148.466,92.3704,111.5047,0.0
ESP_C28,119.0908,19.2059,11.1613,68.0832,2.1674,354.7027,44.2221,94.2561,131.7374,42.2665,157.9483,64.1302,107.8456,154.1767,296.1222,300.0532,64.5645,196.4655,437.9182,559.4709,241.7223,458.2035,287.5154,266.7941,991.8043,857.9279,155.0393,19.9791,123.3794,177.4887,13.2539,178.8674,85.7988,274.8952,45.4301,98.9346,65.7019,238.8328,236.3274,185.1517,83.5241,195.2249,142.8161,63.5259,0.0
ESP_C29,45.0219,3.3758,2.8409,15.5056,0.5361,160.2699,28.0595,23.6309,42.8321,12.0598,70.1603,27.4863,79.7592,72.6424,95.4689,124.9263,30.8318,115.2127,118.9491,8941.9479,269.2691,130.4444,79.7129,101.3819,600.632,1113.3755,187.5833,4.8181,6.9154,89.5392,6.3114,181.0509,55.3099,81.0601,33.1728,80.4052,54.8198,155.2294,310.4957,98.5194,27.5436,74.4527,58.4992,36.2115,0.0
ESP_C30,1.0534,241.1122,5.2018,8.6233,0.0382,1.0183,0.5891,0.6945,0.5423,0.7887,2.0964,0.393,6.971,0.35,9.5171,12.9092,0.1061,46.3634,10.2031,12.0072,2139.0297,424.0587,2.424,11.527,16.3582,40.4265,322.2989,28.2519,251.1632,156.9698,0.3904,5.536,0.4464,15.8172,2.8865,20.0881,0.5563,49.5673,109.9734,42.4787,5.1694,13.0867,7.4895,17.4042,0.0
ESP_C31T33,80.0904,62.6359,14.0882,64.717,3.0489,513.3668,77.0002,245.481,197.407,66.2571,277.4403,69.8472,147.8752,221.2389,465.3526,361.844,97.1918,221.2854,147.4802,454.7515,520.5042,1556.7761,449.6337,292.3212,1978.5532,649.0627,450.6429,68.0725,437.9062,410.8153,26.7997,400.6761,178.9088,484.1382,59.9696,139.7687,154.0637,346.053,449.9972,315.4905,277.0828,1453.628,428.9222,166.7846,0.0
ESP_D,553.582,71.5449,147.5924,434.0957,4.2059,2380.177,449.3135,330.9903,1631.4699,191.384,2748.3883,439.1975,1023.728,2553.7916,2988.061,1127.7691,141.4242,261.6549,554.7227,1198.8374,208.6821,599.7388,26948.4589,634.682,3333.3247,7655.7804,1397.3129,39.2005,119.3476,964.8605,100.1747,1674.6352,556.1062,1197.1906,353.7859,607.4025,329.647,1474.0053,782.7589,1958.8408,1157.8246,1382.9207,670.9453,566.6841,0.0
ESP_E,381.5529,15.7209,3.8174,47.648,0.7308,470.4059,115.3231,81.7824,319.4483,134.2858,524.1014,76.2282,260.1019,259.5224,4192.8005,373.95,21.6267,43.8345,32.5193,97.2399,35.3472,116.381,320.2755,7169.0467,1405.1783,1221.5499,90.652,10.5252,11.6991,80.7063,13.2489,603.2283,80.7957,98.1091,45.0408,57.5807,377.1455,285.0644,216.3404,306.9923,175.2712,391.7345,217.102,316.4019,0.0
ESP_F,183.2847,18.8938,7.5868,95.7219,3.1079,898.5818,159.9955,28.1493,254.3716,76.4378,437.1433,139.8926,245.0419,501.1363,236.9791,282.0381,67.6396,87.8918,207.9018,69.9248,190.8088,291.5117,1123.7969,470.0609,57063.781,4530.8609,408.3038,54.3686,97.864,1884.5378,88.4756,1387.7043,349.9906,641.4312,368.2619,1416.7996,6406.8431,978.0778,998.3176,1636.2681,1227.1833,1539.4239,512.3794,227.0223,0.0
ESP_G,4353.0808,209.3728,60.9123,271.3214,7.5367,17419.0204,2900.3109,890.0857,1693.6122,1427.0752,4209.9237,1414.3608,1654.7401,1969.6467,2881.9548,2217.995,690.037,1645.6987,1202.0599,5413.8754,1025.203,1847.0431,3603.9965,1398.8634,9900.9857,8416.3848,3917.2476,149.4286,594.7622,920.3543,91.3938,9725.1761,1569.6687,1424.8637,631.5816,1069.892,545.6973,2971.9748,1422.8616,1529.2746,724.262,4624.7109,1184.8505,938.9564,0.0
ESP_H49,296.8729,24.8704,25.5924,469.7052,4.1612,2733.9506,353.9214,215.1968,530.156,546.2076,1120.1408,197.7781,451.6346,1251.6271,957.5837,568.7803,73.7899,274.7881,341.8789,621.9807,203.1977,468.8173,1027.0556,339.0314,1228.3631,8677.057,1520.9279,24.1885,75.3448,6340.5238,150.6444,451.4304,555.4788,158.6868,97.727,156.2385,47.1329,429.5331,1120.7735,1430.5441,97.8363,345.7054,163.9786,321.2418,0.0
ESP_H50,18.8837,1.3167,0.4729,2.1487,0.1187,76.4613,14.9691,6.8335,12.0698,123.0315,38.1726,12.8069,14.5616,14.8535,44.7506,24.7032,6.5861,16.8884,13.218,46.5651,11.1601,14.8696,62.1424,11.6202,62.3012,101.8547,17.0877,1.9072,5.4568,43.2566,0.8352,46.3075,10.5105,12.0802,4.6203,8.0414,3.8556,27.5436,107.7316,17.9629,4.2935,25.7362,8.5904,5.55,0.0
ESP_H51,36.9729,6.1222,1.1456,7.7445,0.2388,153.4649,28.986,13.3568,29.9567,262.9708,84.7164,22.4934,29.8083,28.6656,100.5502,49.8929,14.4929,36.6354,24.9864,100.7375,38.2358,58.5129,138.4192,22.7846,128.6032,151.9022,160.244,8.9938,39.7252,155.3463,1.6227,68.0881,14.6001,31.3179,7.0805,10.7725,4.2859,25.5769,30.5498,20.4672,11.024,48.5475,17.7618,7.449,0.0
ESP_H52,131.4432,165.3286,9.9441,188.9304,2.2324,980.644,166.5665,104.5483,322.65,149.5637,939.8492,320.6081,212.1863,125.2875,676.8518,298.8562,65.5646,265.4376,182.353,423.6556,191.5717,183.8516,118.1263,121.7798,582.6918,7505.6316,9453.2315,399.5206,1874.242,10788.7129,46.5792,230.1257,76.6303,103.1974,75.8717,95.2505,47.5518,295.7947,236.9834,575.1027,17.5538,62.8646,60.0921,65.8663,0.0
ESP_H53,8.3782,1.0541,0.4449,2.4296,0.2707,129.9312,11.9903,6.7244,26.9713,7.5668,47.9685,48.1287,19.9177,29.976,17.732,41.7971,1.2445,10.6656,24.0086,31.9095,6.1611,20.7096,103.287,52.43,366.1909,663.5938,26.5986,2.1641,2.2635,109.1926,1363.0386,174.6348,23.1322,473.7526,108.2895,308.7972,189.2016,387.2169,223.309,259.7143,60.2215,129.7569,12.7761,55.6446,0.0
ESP_I,19.0858,1.6686,0.7396,3.517,1.7482,194.2436,18.3047,13.3432,11.7429,7.12,141.0792,36.884,22.2961,10.3294,27.2202,40.8995,10.954,10.2597,19.6835,19.0077,35.3592,28.8999,68.5645,101.5143,793.864,576.8892,168.9397,6.4025,9.9705,32.7688,12.5836,590.7529,66.4929,104.1881,208.9243,551.6138,75.4267,622.362,2915.5768,630.0918,189.1529,2969.5772,874.2631,742.764,0.0
ESP_J58T60,10.5406,2.5256,0.6045,3.1074,0.2523,252.9558,37.2908,7.4697,500.0028,9.4373,124.2409,197.0474,21.7924,46.8164,20.4654,38.2442,21.4235,23.3925,26.8964,92.0937,27.742,60.0815,115.0365,49.4195,183.7947,1740.3028,48.6494,4.2553,36.3892,99.3962,11.4601,407.3478,3719.2732,311.3101,782.3983,747.8965,134.7899,2135.7709,701.2884,470.134,324.6433,247.8655,305.985,395.0625,0.0
ESP_J61,66.7432,38.7158,23.1732,78.1274,0.8832,851.8364,109.2569,42.289,108.8455,47.8137,504.9021,239.7546,63.1693,179.6566,136.708,114.9696,66.5548,95.9083,127.8015,119.4723,53.2807,142.5867,1133.934,306.4244,1487.3891,2121.8929,245.1569,10.5079,324.2785,200.6306,51.7912,1423.423,572.407,8451.442,488.3892,1204.1958,849.2554,987.0368,672.0239,1665.4968,484.1189,781.8747,253.4369,537.2302,0.0
ESP_J62_63,13.7707,2.469,0.9624,3.0395,0.4998,155.3544,19.0479,11.4546,35.3336,23.9062,65.6402,33.7696,9.0599,44.2131,36.372,46.46,39.1267,29.7141,81.4386,63.9586,20.8699,86.7595,114.0065,65.0846,189.6151,356.401,688.5903,7.0582,129.0167,285.7124,77.3649,65.3243,114.8996,483.8612,4074.4932,613.2499,43.1687,518.5804,127.6593,798.5889,75.7268,364.6121,46.4803,99.4764,0.0
ESP_K,913.4119,80.634,16.6249,73.6576,4.9678,1412.7869,255.2587,114.9786,336.9949,360.8146,572.5048,236.5007,288.9802,348.1277,486.7373,518.8322,110.588,316.5461,309.0976,644.3891,383.2415,385.2755,858.7295,329.3033,4480.8716,6961.4474,1472.6411,62.5737,220.2398,788.3566,88.6008,1936.9784,370.5988,653.3799,397.0163,19448.272,9167.46,2046.1338,1799.4972,1436.3052,633.7018,1571.8007,515.4668,763.5931,0.0
ESP_L,3.1842,1.1432,1.4095,8.1511,0.6414,406.8822,176.4515,34.8303,94.897,14.3775,75.4633,120.1083,94.0916,45.2767,66.1201,281.7303,66.3696,257.1707,143.4781,98.3183,43.0934,274.4656,86.732,69.6508,2463.1954,12389.5158,327.0841,127.3689,60.8923,918.2216,110.6928,4083.5549,1145.6629,760.8288,582.1395,1858.6393,747.8113,2688.751,1172.3736,1253.7421,123.0642,347.8762,1123.7531,419.6195,0.0
ESP_M,392.007,27.4443,21.7751,133.0476,9.2029,1924.67,392.4067,127.4526,462.5898,285.5293,880.1492,730.3894,438.9026,636.7478,321.47,679.2027,166.2787,742.3361,663.2163,1189.7519,400.4118,723.0354,936.9576,685.3625,7942.3304,9535.1509,618.9036,89.7465,204.955,479.8211,114.5646,1198.0721,1595.64,2107.2113,744.0425,2683.4033,2555.0187,15426.9082,1951.1978,2198.6934,431.6,605.7837,947.5182,925.5724,0.0
ESP_N,218.07,51.8022,45.3257,211.5037,6.9037,2318.373,277.1211,161.9993,959.0829,119.3499,717.1108,353.4998,303.3909,546.0092,272.0683,547.3469,347.8253,362.5422,340.3796,1042.2263,394.0609,535.8265,1407.4665,705.3376,3201.2152,8932.895,1433.1726,243.8688,1083.2314,1513.9006,162.5484,889.9081,537.3671,1271.8027,972.7933,1712.6207,1646.7895,3035.8311,5387.1934,3088.2277,804.9727,2501.0178,618.1068,731.9737,0.0
ESP_O,72.9331,26.6771,3.6497,44.4978,0.9468,374.0686,51.8039,55.686,142.7392,78.6183,219.4286,110.848,66.8873,69.8214,169.6816,93.5639,19.7843,72.3588,61.8462,156.0295,55.2941,69.2125,151.8633,91.8775,1543.8123,2014.9067,1528.0001,73.9059,290.342,1857.8209,17.2996,541.4574,68.7979,192.9066,112.6636,113.6864,203.0411,448.8454,303.0635,250.8176,54.1875,115.7826,347.5059,49.4519,0.0
ESP_P,38.5945,11.9551,1.7156,4.1737,0.1308,332.6584,30.956,5.4557,125.0728,48.0128,67.2697,100.4781,31.5603,20.6937,117.1332,19.5404,32.1993,23.066,30.6522,108.9874,87.8442,74.0017,199.562,86.4681,150.3458,897.1466,44.768,0.6697,35.1995,10.3557,8.6314,61.3224,43.4137,498.5122,126.4655,53.1695,39.1025,391.4379,244.5303,125.2281,719.4412,362.1253,17.7121,64.0787,0.0
ESP_Q,51.4677,12.5541,2.3338,9.8237,0.1414,305.4392,29.6227,4.2723,30.9379,13.2876,86.0897,44.7765,13.0627,13.4045,18.1253,9.9455,11.995,24.8628,15.3675,58.3068,48.4376,87.6747,86.6339,124.8512,304.3698,2008.8483,65.7332,1.5194,10.8393,10.4394,15.7962,507.5531,37.099,523.7044,68.5319,90.6371,45.931,304.6921,143.1673,145.7371,89.6471,7004.0672,99.3622,57.0444,0.0
ESP_R,15.6434,4.1398,0.8811,3.1794,0.1752,349.769,28.5079,1.7878,68.0588,37.308,70.3308,59.825,16.7095,9.75,36.4696,33.0988,21.6525,6.3292,32.2107,90.4056,98.7963,168.9438,19.0532,23.174,136.7649,1028.6533,46.8756,9.3717,44.0114,90.705,42.1899,514.5855,247.6827,351.618,30.3263,131.7517,104.0026,642.2586,1624.3425,230.7793,30.6022,40.0852,5817.857,49.5616,0.0
ESP_S,57.7795,45.2309,0.3923,3.0928,0.4926,363.8651,32.8224,30.9439,53.6274,38.3034,281.2513,100.0234,24.3349,109.9474,100.8373,89.3006,17.5296,31.7288,36.808,120.001,37.4479,157.0592,349.2938,124.632,163.3112,1243.4987,255.5191,9.865,7.8062,94.0605,4.7536,378.115,106.6699,116.511,216.5666,294.8516,166.0199,915.7947,554.1444,359.4905,127.8533,850.6832,299.4886,374.3123,0.0
ESP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
