V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_K,1655.0816,43.9148,1395.7824,385.6425,321.4087,2597.8566,454.4556,354.075,564.2622,468.0731,2244.1498,1958.964,785.4872,907.8658,414.0669,1214.6833,326.063,511.4249,710.8563,1831.8219,1161.2833,1032.3802,2025.895,1364.2381,5765.045,11942.7827,1716.7452,728.524,1121.4299,1907.5406,692.2805,1894.6608,1061.0905,1850.8768,3257.7803,52315.129,49944.8821,8430.8258,5714.7864,8456.7628,3223.1023,3925.4553,1392.7966,1672.3312,0.0
GBR_L,3.0137,0.0431,6.4864,11.4995,19.9127,19.7956,21.4763,41.5864,196.7232,17.2594,45.7711,40.7309,120.7351,60.9392,27.1221,217.4155,3.8969,49.1383,3.2811,5.4063,15.6817,106.9322,98.0089,181.2519,197.9494,11846.2042,289.0615,45.9084,473.7553,781.0107,0.9083,1143.5631,604.4122,1137.423,755.1611,4114.5982,1452.2741,2742.481,1019.7183,3826.6189,1958.1819,2809.3453,702.121,487.9867,0.0
GBR_M,784.0151,23.4269,990.1454,54.8897,561.7855,2744.5184,403.8996,105.1557,606.5485,54.3558,1712.7428,1293.983,459.1604,405.928,256.1423,780.9306,747.0058,338.1104,605.482,824.7218,1109.4522,799.2878,1550.3248,949.8419,6661.4332,17402.6659,1531.539,204.9535,525.0072,844.6829,197.4883,1466.8574,4628.4267,4384.4791,5806.6133,27969.4501,5458.8988,36368.0223,6552.8995,9439.5486,4063.4219,6870.7265,4104.4334,2596.9647,0.0
GBR_N,708.554,11.7713,701.9964,65.5517,671.9841,1416.4973,83.8349,67.8993,301.9604,58.6088,540.582,417.4246,416.3047,464.8786,254.7835,703.9213,394.3762,231.4702,634.1028,562.9727,485.4833,511.1456,605.2566,1512.5262,6516.1753,8352.3708,4147.6524,2200.8596,1802.9115,2104.2504,723.0781,1681.6312,1490.8802,2141.0954,3426.2589,12536.5797,2030.6598,6741.7347,24639.9486,4233.5543,5970.6141,7295.8569,1885.9695,1736.9348,0.0
GBR_O,27.8923,0.0143,25.6789,4.7845,4.9901,154.6451,35.1995,16.6772,37.257,14.4333,144.0197,209.2745,52.363,18.1615,59.8364,107.8615,18.9121,26.3846,81.635,76.909,61.2255,65.2663,51.5946,216.2461,1646.0285,792.1827,3385.373,49.5898,203.6609,37.3276,272.7553,120.544,89.2504,71.4662,103.0886,383.3929,6302.0977,7559.0125,365.9353,488.9788,18.0779,153.4007,70.9549,60.3206,0.0
GBR_P,11.5749,0.2628,26.4585,3.3694,13.0908,56.8056,28.1225,2.1204,17.1659,7.8871,70.3595,339.2273,75.7758,20.0772,23.5592,58.1409,158.8609,22.3772,11.4661,18.4572,61.6407,19.6051,31.2835,88.905,118.9896,282.1723,142.8401,31.8907,70.6356,157.0474,29.9538,50.8827,105.1492,826.845,642.9075,2965.3727,313.7175,2820.637,1022.0835,7818.0047,16094.9364,1473.2617,91.1953,155.2551,0.0
GBR_Q,7.3434,5.2608,26.9576,1.1111,7.8587,51.3898,3.5377,5.1023,12.3993,8.7998,15.5124,157.6405,60.7393,14.7508,12.0845,38.7256,105.4824,20.7789,8.6774,14.2762,12.9942,14.8012,39.2907,43.312,64.4875,135.9584,22.4707,5.9777,20.1631,13.8329,6.2904,33.6841,64.8504,39.6623,84.3231,524.7308,23.4924,198.853,221.8865,349.2662,61.6631,12230.8679,118.4037,18.8516,0.0
GBR_R,29.1783,0.9566,11.7461,1.7225,4.5213,166.6282,14.7508,4.0709,19.6057,3.431,54.9864,30.6654,18.811,10.2937,18.05,20.6651,19.0989,11.5461,19.9575,46.0831,23.3854,27.1725,52.0561,70.3656,137.649,516.2964,42.4035,11.0573,23.1156,25.6169,17.615,84.3504,1407.3174,160.4617,263.2908,1264.4827,101.547,295.8599,470.9303,887.6323,368.6299,223.5667,3219.4944,80.9553,0.0
GBR_S,26.7345,51.5292,16.3033,1.7421,3.7135,72.8218,7.6562,4.33,28.3808,8.3457,41.3384,37.8848,28.7696,13.7327,22.8561,40.141,59.2463,11.397,22.9304,44.7158,23.3396,27.1262,44.3737,52.3118,184.565,182.5169,24.8138,5.8635,17.2362,36.4864,5.5279,207.0589,1003.1534,49.4785,111.3315,1320.5169,66.7056,298.6008,288.6343,2194.5666,828.2076,1494.1045,213.3453,2862.0191,0.0
GBR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
