V1,DNK_A01_02,DNK_A03,DNK_B05_06,DNK_B07_08,DNK_B09,DNK_C10T12,DNK_C13T15,DNK_C16,DNK_C17_18,DNK_C19,DNK_C20,DNK_C21,DNK_C22,DNK_C23,DNK_C24,DNK_C25,DNK_C26,DNK_C27,DNK_C28,DNK_C29,DNK_C30,DNK_C31T33,DNK_D,DNK_E,DNK_F,DNK_G,DNK_H49,DNK_H50,DNK_H51,DNK_H52,DNK_H53,DNK_I,DNK_J58T60,DNK_J61,DNK_J62_63,DNK_K,DNK_L,DNK_M,DNK_N,DNK_O,DNK_P,DNK_Q,DNK_R,DNK_S,DNK_T
DNK_C26,10.8496,0.7421,1.5987,0.4032,0.3978,9.9088,0.7204,1.7377,3.383,1.863,3.2859,11.0011,3.1857,2.6845,2.1165,19.4604,165.0125,48.9803,141.7849,2.3945,6.547,24.4744,7.4137,23.845,199.6938,70.7237,8.5385,13.8015,4.1273,12.0133,14.9386,4.1599,7.2063,47.656,39.4803,15.5282,57.7954,50.4132,12.9892,76.9122,24.929,41.315,7.884,23.4124,0.0
DNK_C27,9.725,0.6418,1.1774,0.3284,0.3254,7.4053,0.7877,1.5133,2.2051,1.5785,2.7143,7.4767,4.1286,2.5544,3.2367,27.7416,66.7667,98.8796,365.5212,3.9377,12.227,26.4616,7.2437,26.936,172.7128,37.4633,5.0874,9.6902,3.6537,5.4413,6.5125,2.3526,11.116,19.946,7.0094,8.3863,58.3287,10.3445,9.1965,32.5361,9.5199,18.8705,6.9196,11.5644,0.0
DNK_C28,76.7926,4.5119,11.602,3.2872,5.8693,94.0547,6.8207,29.3607,23.7206,24.1422,33.3902,75.7879,30.5863,50.8938,21.4006,258.9871,125.1266,184.6988,1846.0471,64.5285,96.073,146.8847,42.4519,88.3701,1186.3984,208.3242,36.1342,70.9325,16.6336,33.1116,21.7431,17.695,32.4152,82.1385,61.106,64.9823,294.1965,77.9709,60.1488,141.2699,58.9354,113.5288,26.4868,35.5756,0.0
DNK_C29,2.9829,0.177,0.2377,0.0715,0.1446,2.6887,0.1974,1.0546,0.5036,0.3676,0.9374,2.1879,1.2904,1.14,0.6309,8.4486,1.8473,1.7584,25.3854,19.8763,2.256,5.1723,2.0681,2.6649,19.2539,117.5727,17.1126,2.6552,0.9074,1.464,0.5292,0.5096,0.6862,1.9113,1.4792,2.5194,18.1429,2.369,4.6345,8.3789,2.1496,5.3165,0.9413,1.0057,0.0
DNK_C30,0.634,1.3087,0.4121,0.0969,0.023,2.2836,0.1118,0.3056,0.1989,0.4512,0.7351,1.2978,0.3993,0.4339,0.2076,0.0403,2.3514,0.1585,0.0013,0.081,7.0826,14.9007,0.9185,0.0413,6.4097,5.3006,2.2555,66.827,15.5933,4.3942,0.0608,0.3257,0.308,0.2832,1.009,0.6519,0.0201,0.7363,1.5373,3.6497,0.6731,0.8932,0.1832,1.2676,0.0
DNK_C31T33,68.3583,5.3142,3.6815,0.8442,0.6858,17.1273,7.1219,15.0462,4.3002,5.6207,11.079,82.7579,6.4498,8.1359,2.2154,18.0846,46.6552,9.0384,61.4801,4.8116,5.7882,182.3314,61.4608,51.9775,166.7099,74.1204,29.2061,83.1853,28.0304,37.1552,7.7283,18.511,13.4909,24.5328,22.2389,65.4791,645.5552,70.1095,27.5058,133.1576,48.4172,312.7803,37.5979,24.8672,0.0
DNK_D,282.292,8.0785,39.7509,5.2492,5.678,236.7974,17.604,29.0456,60.7637,868.4928,93.7168,56.2377,66.941,72.8996,24.5454,86.7485,20.1044,16.229,106.314,14.9299,10.0554,56.5158,662.3187,152.2526,66.0257,539.097,38.3187,5.1247,1.6611,106.6387,17.1843,151.4609,44.3533,22.5312,50.4723,116.1635,84.5458,213.0389,89.7391,155.5997,451.5169,738.3384,164.1385,46.1501,0.0
DNK_E,84.0698,1.6739,1.0679,0.2773,1.0895,131.7707,7.401,5.8437,170.5678,2.6678,38.3092,36.369,113.848,97.527,52.6992,358.2838,8.4971,15.1443,48.3725,3.9111,4.2709,21.3936,116.2756,652.8924,16.8041,193.5409,14.1286,15.0188,0.6437,26.6057,10.4843,52.6728,18.4309,33.5428,39.3351,44.6546,94.2894,119.7558,52.4292,114.5244,226.2631,554.0641,57.9149,39.3495,0.0
DNK_F,422.2579,29.4572,20.8065,4.4528,7.2894,74.4753,6.8873,32.3625,21.8636,33.6988,41.1894,176.3823,27.96,40.3782,8.9338,45.3794,120.1355,23.0807,134.8438,10.4646,2.8786,71.2952,395.9659,285.5535,2402.6287,307.5961,128.5175,519.5571,172.4501,221.248,45.9664,30.4289,21.9652,142.8761,109.8109,414.2538,4183.9136,154.6392,237.5478,619.4381,114.9896,358.165,91.4465,113.696,0.0
DNK_G,992.6994,37.219,72.2642,23.9894,14.547,2785.5358,269.1329,245.4886,282.0495,167.3048,430.5742,381.5754,251.3812,220.548,95.1287,462.8511,331.4458,238.5239,1520.0655,126.9516,116.0084,611.0801,140.8103,200.6455,2720.6865,2882.6375,1099.2331,654.8393,102.6574,186.5982,68.1894,521.0409,289.7964,170.4251,177.1902,187.2104,79.7757,530.3515,410.9874,419.1169,316.7354,930.6016,145.7701,148.7533,0.0
DNK_H49,83.5236,5.0595,121.4915,41.3659,6.816,699.9314,27.7564,54.6465,72.6817,33.2791,68.0193,46.653,48.3178,131.826,28.404,78.4097,41.7619,39.9156,167.2596,20.0136,12.3445,123.554,26.6431,152.7988,352.5605,1979.3979,959.9706,60.3414,9.0864,204.5686,36.5342,40.3096,55.822,110.5325,48.1514,52.7502,13.6616,120.2465,83.0699,188.1052,267.5119,545.3569,72.6427,62.3782,0.0
DNK_H50,12.5145,0.7993,30.2385,8.6926,1.0956,238.6758,9.1035,3.6482,4.808,10.1046,33.8018,57.6151,9.8245,37.7272,3.1497,24.6248,12.5204,7.3743,239.3763,5.4293,3.2255,24.6983,10.7307,16.7653,43.0946,386.7895,1150.1465,91.9106,6.9722,86.9085,70.2806,12.7957,19.3357,151.3268,46.711,14.4055,7.8666,103.1781,194.1383,48.0554,103.47,108.9763,19.1739,21.9905,0.0
DNK_H51,9.4899,0.6158,0.5648,0.1482,0.152,22.9202,2.2833,2.6054,3.0301,4.9805,3.8909,4.1762,2.8685,2.5193,2.0229,6.2689,3.7964,3.0251,17.4546,1.3442,1.4339,6.3062,5.7582,1.7319,31.986,15.5816,4.1949,15.4994,3.6219,2.6909,0.9486,4.4729,2.0886,1.9273,3.2795,2.2629,0.8127,6.4605,28.3931,6.5714,3.0961,7.8694,1.3974,1.778,0.0
DNK_H52,11.8011,0.9828,1.3156,0.4295,0.3527,36.0023,2.7968,4.4652,4.0533,2.6488,4.6769,6.5881,3.501,3.6356,1.4992,7.203,4.0002,3.12,20.19,1.2646,1.6462,8.6514,2.9488,3.4513,50.5286,102.7663,20.1029,641.6814,44.6405,15.5854,1.5995,6.3776,4.6036,4.6163,7.9313,5.4922,1.512,10.8207,5.7597,10.1823,6.9016,12.2828,3.1187,3.015,0.0
DNK_H53,7.9496,0.4485,0.379,0.0843,0.4908,41.2933,2.037,7.7858,34.4065,8.4897,20.8797,27.4351,2.2165,3.4066,0.3999,6.9483,2.398,3.1541,14.5427,2.5121,1.354,15.7397,33.4164,60.9722,15.0349,360.4886,35.1485,27.7228,8.8291,143.0981,79.9878,32.1595,225.7514,22.1027,124.1597,187.6867,52.5477,263.625,171.714,191.0893,125.2613,288.2251,55.0624,38.7182,0.0
DNK_I,5.9276,1.6541,0.8915,0.1402,1.3915,22.472,2.2691,5.3428,5.0027,1.9129,18.9159,163.9405,7.3237,5.1802,0.4166,12.05,12.0377,4.3155,35.4351,3.1681,5.3931,18.6918,4.7453,19.8214,12.2973,321.7326,79.6934,57.9505,107.1053,40.5817,10.1408,256.8652,32.921,18.8756,83.3832,101.1136,15.5795,264.7461,178.8505,118.0423,81.7143,178.8638,65.7094,59.298,0.0
DNK_J58T60,4.3514,0.4078,1.4674,0.4466,0.3035,38.7985,1.541,1.8441,33.8374,1.2109,11.2867,33.8498,2.4996,4.1859,0.1958,8.2854,15.9896,5.2985,31.9021,1.4567,2.0107,15.8859,7.5526,21.9796,10.9243,383.3579,17.5419,16.2983,4.3142,17.8936,33.8569,39.3981,952.0486,298.892,177.8959,209.0971,29.8204,917.3035,80.7145,157.79,143.7598,83.9238,144.0574,60.3147,0.0
DNK_J61,6.0415,4.0656,1.9258,0.3389,1.4094,25.4028,3.6047,3.6588,6.3696,3.6384,10.3075,68.6823,4.0825,5.6118,1.3265,8.1176,14.1751,5.9018,38.4878,1.5047,2.1301,14.1637,7.6272,74.346,28.7399,384.2045,42.1961,45.8153,4.3369,62.9344,264.6823,42.0829,46.3499,827.4758,273.6604,279.2482,34.473,747.5442,415.2776,289.416,241.1249,271.0788,64.6852,71.0332,0.0
DNK_J62_63,27.2611,2.5274,4.575,1.4626,0.9755,56.4287,2.3805,4.4273,22.8419,5.5613,29.0093,193.838,4.9604,7.7834,0.6368,14.7452,37.3162,26.3737,100.8205,3.4933,5.5395,39.4119,26.6665,126.9932,71.6259,608.1264,39.0038,131.7126,8.1357,123.9242,95.2472,65.4688,284.4102,283.1787,1143.9332,851.9254,181.0135,936.4292,282.7839,893.5308,582.5162,481.2678,110.8499,198.2228,0.0
DNK_K,1140.8997,42.6729,17.3846,4.2382,8.4204,307.3684,38.2092,29.7564,50.1677,7.697,69.36,200.4421,41.7717,50.7364,27.4988,94.0812,60.5386,36.2764,201.2473,19.9177,29.84,92.9682,338.5393,63.2082,472.5415,1064.9703,190.1307,708.3801,32.7363,108.666,38.8919,142.3465,64.9678,133.8434,188.691,5048.6121,3560.9211,496.4744,343.5354,395.868,106.0483,173.9195,62.4,145.5591,0.0
DNK_L,28.2284,5.2448,10.6628,2.3281,2.7518,176.4603,21.6505,43.8863,91.0617,2.3095,36.5991,84.1466,67.7013,39.6656,12.5108,165.2399,93.84,55.7722,275.5399,9.7182,7.7927,191.3654,13.0092,40.9898,186.2081,4185.7093,136.1551,24.4216,64.4089,216.5008,59.2731,856.1202,191.2984,138.9079,355.5784,901.6051,384.0618,1074.8849,359.5115,1141.2324,368.0121,513.3067,194.0177,455.5513,0.0
DNK_M,398.1189,1.5343,60.0351,12.3271,13.1973,400.3952,13.826,19.5172,75.5775,28.7464,120.4361,684.9067,32.7328,31.1243,3.3542,58.9492,71.6543,44.7215,440.003,20.201,10.7614,142.1368,238.1085,553.7592,3256.1811,2792.0089,147.6729,164.3855,15.6183,421.5736,115.0698,190.2034,285.3509,316.0651,909.9519,616.6183,632.6725,2438.5903,1290.0459,783.0868,449.3559,465.9467,340.9083,298.1462,0.0
DNK_N,87.8014,0.9256,11.3146,3.874,11.2298,181.3445,7.9351,8.8233,25.9329,19.7332,140.916,448.391,26.981,32.5667,6.0999,66.4326,55.0902,27.0701,163.2178,11.864,12.5861,161.3419,56.8722,221.9275,487.5344,1488.9562,153.3448,68.621,13.6936,427.2679,36.4809,146.3056,321.0514,195.6595,453.175,315.8158,235.3213,913.2643,575.504,420.3045,385.7836,968.3648,218.6716,170.3805,0.0
DNK_O,15.0305,2.0606,0.9322,0.3112,0.6997,15.7104,0.7726,1.2499,3.5424,3.446,9.0531,60.7227,1.7906,2.7038,0.3453,4.5339,7.5265,3.3649,57.3747,1.4998,3.3663,8.0834,23.5969,55.6391,16.0113,203.4599,47.9067,20.869,28.9269,39.8067,19.7005,36.7915,19.8765,53.3656,110.3959,166.8904,24.6008,189.8423,193.2331,292.6799,66.5864,536.6093,21.0348,41.3466,0.0
DNK_P,4.2341,0.283,0.2426,0.0552,0.5942,3.9617,0.2932,0.4366,1.463,0.5625,2.9921,79.6741,1.0301,1.1325,0.0651,3.1642,4.4785,1.4581,187.7135,0.488,1.1623,5.1889,1.5798,5.5712,5.9428,51.7818,10.8806,2.6455,0.1607,9.9765,6.6413,11.8046,6.8163,14.0626,27.658,80.0131,3.2865,164.2127,62.1435,222.3751,329.7747,120.0258,11.2053,32.3319,0.0
DNK_Q,0.4994,0.0098,0.1005,0.0364,0.3376,0.4158,0.0335,0.0324,0.0818,0.0226,0.1998,113.6133,0.0461,0.1079,0.0073,0.1455,0.9457,0.0779,43.2884,0.03,0.0373,0.3516,0.1574,0.8231,3.219,4.2793,0.1737,0.3885,0.0166,1.6873,0.1135,0.616,1.3905,0.3662,59.0747,1.0401,0.2589,53.4745,1.5935,71.8385,138.0568,513.9441,0.9498,3.7854,0.0
DNK_R,0.5246,0.8238,0.153,0.0472,0.1072,1.953,0.0766,0.1512,0.8072,0.1038,1.0061,2.9437,0.2251,0.361,0.0539,0.7001,0.7248,0.3331,17.0701,0.1296,0.1396,1.0582,0.6555,1.8658,2.0989,28.8957,0.7388,6.7848,0.089,1.948,0.8232,9.8246,133.4949,2.3777,35.6188,6.4534,1.4641,97.5275,26.283,28.3417,158.0829,237.3216,244.5204,12.6407,0.0
DNK_S,33.5062,2.1999,2.442,0.7181,0.9651,35.3326,2.0223,4.2038,6.3087,4.7419,8.1705,63.1034,5.1411,7.886,1.5153,11.2972,17.6999,5.3729,28.1847,2.2992,3.9136,18.8756,32.7043,53.7216,26.3515,161.4529,21.3059,57.82,12.9103,42.8111,17.9535,62.8465,18.4228,45.6735,91.6433,103.1407,301.5778,175.344,645.0061,68.7809,19.7209,217.2864,19.2819,29.2801,0.0
DNK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
