V1,KOR_A01_02,KOR_A03,KOR_B05_06,KOR_B07_08,KOR_B09,KOR_C10T12,KOR_C13T15,KOR_C16,KOR_C17_18,KOR_C19,KOR_C20,KOR_C21,KOR_C22,KOR_C23,KOR_C24,KOR_C25,KOR_C26,KOR_C27,KOR_C28,KOR_C29,KOR_C30,KOR_C31T33,KOR_D,KOR_E,KOR_F,KOR_G,KOR_H49,KOR_H50,KOR_H51,KOR_H52,KOR_H53,KOR_I,KOR_J58T60,KOR_J61,KOR_J62_63,KOR_K,KOR_L,KOR_M,KOR_N,KOR_O,KOR_P,KOR_Q,KOR_R,KOR_S,KOR_T
KOR_D,288.3567,21.4359,7.47,72.2037,0.3032,634.6801,1430.2872,117.6327,777.036,878.5433,2494.9401,120.8398,619.4229,813.2055,5440.1369,1282.9615,2431.7934,598.1021,756.1925,866.9121,488.1627,198.8696,7727.2575,556.298,471.4083,1233.486,1055.786,5.1427,12.0657,710.0472,32.2627,3059.2533,245.1096,374.1353,251.7398,711.3586,2226.0212,1232.6054,290.2666,977.0673,2407.7067,1624.6545,1430.8671,772.8772,0.0
KOR_E,70.214,14.2375,0.8447,4.2029,0.0354,271.2524,115.6176,15.7973,416.4798,62.3609,636.2896,12.8141,333.6973,277.1353,2016.9678,353.0858,145.6942,124.182,139.3812,277.2509,133.2151,30.8726,140.6668,365.9561,181.4603,277.9076,130.6462,4.9778,1.0654,75.9303,1.7589,571.0595,32.1314,56.4608,18.6117,313.6481,115.8445,199.8756,62.3761,423.6279,287.173,760.6813,69.2957,70.3267,0.0
KOR_F,77.2489,7.5912,0.6734,5.8356,0.1839,55.6842,48.0823,2.7539,22.3669,31.8784,83.4175,12.3731,48.4464,34.9911,95.009,43.7169,411.423,82.6894,91.4008,136.3666,91.6585,17.8977,134.4006,25.2477,104.4379,113.5219,83.2013,15.0231,23.6233,43.3047,8.6276,107.8503,30.2091,93.4393,83.7244,86.9937,2331.1206,174.1494,51.5281,1536.5242,110.1928,101.8378,37.9692,19.8586,0.0
KOR_G,2100.0432,209.7817,3.9053,45.0198,0.2709,7132.7456,4292.762,347.6802,1273.9527,972.2025,4151.6622,828.3,2407.5695,903.5,2467.0853,2346.1917,7719.2651,2641.7119,3420.7987,5076.8684,2364.3024,872.8434,670.0111,276.862,4774.3331,1832.1398,1232.5277,256.6434,362.1369,487.9317,101.1593,6457.8457,540.9841,258.3499,383.6891,809.1212,203.4807,2636.3008,469.677,850.5212,1106.6691,3148.3291,486.6058,943.4436,0.0
KOR_H49,146.3308,30.0699,7.1899,196.1284,0.545,1460.0212,898.6619,111.0109,705.7388,508.9742,1563.7786,107.5663,690.7902,1524.4537,2109.6319,860.7754,1720.8613,499.3631,1018.6644,1198.9305,694.1259,188.0999,154.2538,308.991,1299.5192,1826.2336,388.5779,57.0054,57.8537,249.9892,164.2692,293.3567,172.8789,42.0234,115.6881,828.37,64.0099,1454.6131,444.6056,601.7173,284.9349,239.0905,63.5,174.4473,0.0
KOR_H50,116.1494,144.7313,12.4502,82.8431,1.0955,683.5898,320.5745,48.6647,315.8921,1763.171,923.8023,38.2811,372.8765,1129.6332,1654.7212,467.0328,784.6559,342.8758,532.5731,417.2175,657.3886,78.4327,479.7022,69.9515,512.7084,654.0569,97.9397,15977.7791,105.7959,28.8778,3.5664,87.402,17.3376,18.1586,22.3194,39.5332,4.2169,58.5746,102.1937,96.5949,27.2466,81.825,22.1794,29.6483,0.0
KOR_H51,18.789,14.4936,0.3022,1.9861,0.0632,103.7942,126.1157,8.5781,35.9781,179.5332,137.4148,58.8929,95.4025,78.0941,192.8714,85.4828,435.4573,132.2828,220.8347,106.1147,66.6601,23.2532,92.8327,6.4627,128.1819,1044.0737,243.2571,7.4807,20.7031,55.3697,361.4048,54.6437,122.7531,47.5182,105.5985,237.5615,7.6725,566.9902,96.8722,231.6936,60.8538,63.1184,20.2639,60.7497,0.0
KOR_H52,145.3645,214.206,3.9171,93.7174,0.5352,907.2059,741.0961,46.9513,184.8292,350.2009,847.4425,207.9855,453.3437,482.1612,1080.0266,641.0597,1405.2484,378.975,746.6718,514.619,336.3508,107.6137,100.1272,84.7358,320.5726,2308.7685,2237.3442,544.0706,1197.7887,468.0023,132.468,252.8339,86.628,33.1525,105.5002,199.1946,47.2539,683.7326,114.9068,38.4677,81.2688,104.2304,29.9613,60.6451,0.0
KOR_H53,71.5928,8.4182,0.7148,4.1522,0.0599,64.8557,52.8127,3.2643,26.4081,22.5619,63.2779,48.0953,41.8448,53.7608,95.5036,65.3717,107.2003,27.5246,68.4185,86.5161,42.9392,10.4646,32.0015,52.9229,128.5922,406.0278,31.1486,1.6024,1.4946,34.8718,1543.8337,86.4799,25.7308,79.6053,83.3129,970.5918,8.8442,349.2834,122.7828,538.1243,173.7349,265.8319,36.1347,11.8428,0.0
KOR_I,159.4455,59.7775,2.0227,31.3229,0.0768,322.4338,610.6863,35.0419,259.2696,134.0708,883.3911,62.3072,289.8656,223.8353,665.2709,389.5488,1249.7492,253.922,662.9549,781.68,266.7157,95.5946,121.5313,150.789,462.164,2839.8523,205.9878,25.2379,179.068,712.7082,28.2347,669.3409,438.9055,236.9865,505.1746,1712.9994,162.8074,3172.3817,1130.092,1670.6344,3044.7429,767.2009,602.4129,1318.0072,0.0
KOR_J58T60,20.037,3.506,0.0804,2.5154,0.06,76.9981,76.9811,3.0811,48.0699,44.2059,80.3105,8.4797,34.9995,29.8443,89.6478,62.7303,258.0936,54.1817,72.9949,90.6808,42.6853,16.1542,24.9584,57.3712,139.5897,1229.2359,109.1268,23.435,64.7618,196.3234,30.4276,251.6124,3138.8174,105.3532,142.2585,652.8946,72.1646,5141.1573,522.1589,1007.3982,823.644,182.2913,661.5053,390.598,0.0
KOR_J61,77.7593,7.9332,0.4974,3.2218,0.0644,109.0095,167.2179,8.84,70.2903,78.5038,132.3293,34.9271,75.374,115.0557,154.4653,91.1572,734.6714,82.962,109.5123,258.5048,46.1305,27.1939,79.8002,64.5153,189.9205,4172.8489,181.2876,14.43,8.3055,331.4744,77.7165,421.8672,437.7384,3019.0796,633.2271,1313.322,105.0008,3509.3389,850.4033,716.1862,514.213,172.6728,97.2074,189.6057,0.0
KOR_J62_63,11.4015,2.4499,1.2392,2.8571,0.0394,109.4509,140.1274,4.0208,64.1947,87.0106,173.7083,11.98,89.3643,36.1887,209.6134,90.2313,2097.7372,71.3522,195.2266,263.7488,80.4812,25.1977,101.7663,86.4998,206.0558,769.9074,224.7511,10.8677,10.4923,195.926,87.0339,244.4223,332.3395,971.9105,2394.3299,2540.1901,57.0438,699.7567,117.6,729.7188,593.9064,93.8405,130.2732,69.0503,0.0
KOR_K,804.9767,132.2102,16.3631,107.7498,0.4379,973.752,1100.9456,119.5115,472.1427,338.1695,934.0796,307.7833,657.1623,524.6103,1327.8008,925.3236,2076.5408,898.3682,1609.4189,1896.4333,1730.8328,344.4507,677.2537,253.6671,4439.8323,3374.2956,1089.7633,310.1697,430.4162,563.5388,30.0356,1596.5893,431.5773,404.4887,276.2904,11946.0561,10656.6805,5590.675,1470.9735,1692.5045,838.2899,1756.9066,718.039,1111.0198,0.0
KOR_L,24.363,6.0231,0.4599,5.9522,0.0644,289.5106,733.2648,17.665,115.1674,55.5114,295.2589,61.8193,83.8889,65.9555,137.5237,112.0707,295.5396,223.7916,192.1103,226.7269,113.4991,107.1066,44.7322,53.9263,580.3638,3227.456,235.5519,21.0556,51.3359,330.1143,11.3049,4335.2301,304.0624,338.3214,507.4455,1497.0348,861.6461,4816.7283,436.272,372.0478,636.0682,1244.1521,43.6071,591.4019,0.0
KOR_M,138.2296,81.709,3.8388,22.9743,1.4677,1343.1854,1497.9512,43.7426,528.1223,741.3503,2609.8854,519.4654,533.6088,516.7361,2856.8892,1235.8583,6137.3344,927.6764,1555.2686,5145.1377,748.2737,222.8311,612.9027,349.5796,11559.9528,4304.3008,315.0229,83.462,33.7625,1182.6452,22.2448,1031.1177,2245.2624,1779.094,2537.4136,7578.5727,301.8238,7086.7192,1128.0321,1197.7279,850.0068,1042.7082,617.7929,286.4198,0.0
KOR_N,25.2173,37.8963,0.4999,42.4965,0.6817,304.4165,634.0039,11.0431,172.2285,154.0937,610.1573,13.7178,149.8255,131.846,1133.4408,305.8225,929.2496,185.9635,203.5643,354.8655,399.4332,54.3258,655.2257,450.8098,774.2433,2648.5968,940.3165,708.4617,739.9691,1202.7319,282.0987,398.9719,514.4584,1973.1677,1609.664,3892.1378,192.9103,1633.821,1713.0379,1581.6022,492.861,449.5697,876.4473,183.3181,0.0
KOR_O,15.4983,33.0814,0.2055,3.4546,0.0301,83.6865,93.844,5.2572,35.7455,20.3316,87.1828,14.396,42.7565,31.549,115.6492,50.7405,107.4535,43.6677,60.4465,59.4028,34.4942,16.3037,15.378,20.6315,81.9494,316.3578,87.9884,16.5529,207.5572,46.7886,7.4538,344.5828,109.9674,99.4795,47.7438,154.844,76.0499,390.7179,47.0591,335.3369,76.8783,125.6703,41.9829,64.5042,0.0
KOR_P,11.9812,3.0905,0.1832,2.0207,0.0147,43.5397,73.5466,3.1449,27.6248,34.8423,93.4248,6.6716,30.2482,21.1963,86.478,42.8848,160.7446,31.6801,65.9627,85.8119,36.087,12.6615,18.8701,17.8598,66.1898,352.8314,27.5751,3.8673,9.8265,63.9825,6.4786,129.6168,49.207,54.5294,78.8111,259.5491,25.3349,400.6728,89.9751,197.8021,204.8747,68.5367,47.4836,113.8292,0.0
KOR_Q,77.9852,13.5082,0.754,3.1306,0.0078,68.8648,70.136,7.5665,21.207,7.3698,49.5517,35.2098,54.8371,25.7117,54.6802,61.0978,120.825,53.6243,88.2077,75.6262,65.5439,15.447,13.1277,30.0238,436.4536,464.5229,62.3647,2.6865,9.5456,40.1321,14.2912,175.5224,41.8051,31.6681,57.1749,231.5885,53.6873,420.0309,114.4229,216.7429,230.0822,427.9574,38.5753,77.1142,0.0
KOR_R,16.4208,6.3338,0.474,3.496,0.0036,39.8594,74.4177,3.9962,38.6173,15.7679,108.9252,7.4575,33.285,25.2862,77.5037,44.3273,140.376,30.2531,75.7261,90.3358,30.3953,11.5193,15.1766,16.1954,56.3095,345.1333,25.0622,4.1123,3.9186,102.5453,3.4873,79.2042,593.8184,30.2408,124.616,290.0181,24.6555,415.0456,129.5873,90.6757,202.4773,80.0188,249.2973,166.7666,0.0
KOR_S,11.6963,4.8522,0.5485,2.4341,0.1185,41.32,69.3373,3.5609,34.3641,17.8447,106.7361,4.8675,25.1997,34.7441,88.6577,61.2809,110.1028,28.0759,69.9701,76.8367,31.6207,19.3142,11.7509,11.5138,83.1287,303.1504,51.1722,5.1183,2.7672,175.5879,18.2579,105.0396,34.1709,87.0601,66.4697,257.9091,61.7921,334.7285,100.4874,125.5747,304.0483,139.2757,84.0744,190.0276,0.0
KOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
