V1,BGD_A01_02,BGD_A03,BGD_B05_06,BGD_B07_08,BGD_B09,BGD_C10T12,BGD_C13T15,BGD_C16,BGD_C17_18,BGD_C19,BGD_C20,BGD_C21,BGD_C22,BGD_C23,BGD_C24,BGD_C25,BGD_C26,BGD_C27,BGD_C28,BGD_C29,BGD_C30,BGD_C31T33,BGD_D,BGD_E,BGD_F,BGD_G,BGD_H49,BGD_H50,BGD_H51,BGD_H52,BGD_H53,BGD_I,BGD_J58T60,BGD_J61,BGD_J62_63,BGD_K,BGD_L,BGD_M,BGD_N,BGD_O,BGD_P,BGD_Q,BGD_R,BGD_S,BGD_T
BGD_C29,3.2626,0.3994,0.3579,0.0357,0.0227,3.6532,7.0309,0.4315,0.9958,2.004,1.7291,0.3894,2.3472,2.1078,9.8056,4.4767,3.8258,7.1436,8.2994,241.142,3.6928,6.2545,1.0513,1.3455,27.5994,22.922,18.4412,0.3451,0.7734,1.2547,0.3617,0.6257,0.5999,1.4539,0.1761,0.4229,0.4497,1.0838,2.2691,2.6741,0.5232,1.0561,0.3185,4.8903,0
BGD_C30,0.1781,1.5287,0.0368,0.0028,0.0017,0.2173,0.43,0.0248,0.0575,0.1478,0.0911,0.0267,0.1006,0.101,0.1396,0.2025,0.299,0.3048,0.4809,3.2248,25.2344,3.6602,0.0959,0.0475,2.0539,0.5801,2.3482,3.1206,3.5953,0.2377,0.0205,0.0522,0.047,0.0915,0.014,0.0299,0.0329,0.101,0.2034,3.8141,0.0407,0.1032,0.0572,0.8166,0
BGD_C31T33,25.9199,5.5566,3.5305,0.2536,0.2287,21.6445,114.793,5.6716,10.1361,21.414,11.4938,3.5101,6.2983,13.8809,13.7391,9.0246,13.7539,11.0163,12.8514,14.835,6.5426,75.3171,17.9248,5.1891,141.526,21.0622,17.8441,5.3935,11.9188,4.4057,0.9706,7.5596,4.923,14.0778,1.2499,4.509,3.9426,6.7168,7.7873,17.481,9.7353,40.4945,5.5726,13.1804,0
BGD_D,45.3313,4.3551,6.5088,0.6081,0.2066,56.5532,140.5552,7.8734,35.917,80.4663,59.0656,7.3607,20.9808,55.8358,61.0529,14.6449,13.8136,11.7572,12.1014,17.4893,3.8832,13.7638,267.7879,11.1575,56.5367,42.1659,21.1708,1.4364,1.6797,9.1582,1.9537,30.2146,8.3937,22.402,1.7925,8.0907,18.6656,8.5893,6.5815,39.2637,24.0628,27.4566,9.2914,20.2799,0
BGD_E,24.884,2.8097,3.1843,0.2131,0.1546,50.8253,117.8849,6.0338,71.9145,35.1962,32.8752,6.1873,17.5637,34.5515,310.1682,22.502,7.1952,8.9703,10.7295,9.8264,3.4182,11.7787,27.2187,272.1904,139.8984,47.4905,17.0397,2.4359,2.267,6.8732,1.5289,26.38,7.2778,12.3898,2.1849,6.7911,30.3275,11.7227,11.1968,110.9251,17.9738,34.889,6.709,22.6937,0
BGD_F,34.8389,3.2715,3.8213,0.3004,0.2445,20.624,51.4161,3.539,6.7699,28.7916,11.3844,3.1113,6.1021,18.7229,10.1931,8.7413,7.059,6.8798,7.6541,7.4185,2.7752,13.4595,34.0638,11.2187,2047.3336,35.8496,28.3816,3.2264,4.9395,12.4122,1.5594,13.6568,6.2911,23.8083,1.8285,9.735,129.1936,16.5198,8.5644,87.6608,21.2117,18.5669,6.5766,13.1881,0
BGD_G,397.8713,47.7738,6.7758,0.7009,0.5062,812.3463,1128.1613,43.049,108.4593,218.7563,180.0369,49.3921,93.1914,86.5903,82.0957,52.2925,72.89,67.1961,61.526,138.6946,18.6384,79.8847,37.205,18.1171,641.4366,283.4638,184.4818,19.6211,28.3726,19.0016,6.2044,148.7991,52.7698,47.3997,7.1709,17.5588,13.1468,30.7931,36.8928,61.4869,22.3298,66.8076,13.2068,47.132,0
BGD_H49,110.4618,13.0049,9.764,0.9201,0.3675,240.7534,236.2064,19.8378,46.4187,128.342,68.3871,10.4706,31.7583,68.3131,45.0649,24.8894,19.8499,23.8081,23.3976,36.0412,5.8581,26.481,19.2808,9.2871,282.7257,153.6027,158.1528,11.6596,11.407,35.0293,8.8704,30.0814,15.6324,9.9845,1.9312,6.836,3.9867,10.7486,11.8046,28.7375,13.9179,17.3705,4.4306,22.4096,0
BGD_H50,21.7993,4.512,5.3916,0.238,0.1014,38.9702,67.6204,3.1787,8.9495,66.2228,25.3378,2.8509,9.0159,14.5748,15.1127,7.8659,7.0559,8.2614,8.0923,9.762,2.4707,6.1896,3.6482,1.5155,54.1332,46.3001,25.2941,114.2839,3.5372,16.4988,1.6722,5.4495,2.4411,2.7752,0.4155,1.3101,0.7874,2.5321,3.4805,6.6835,1.5824,3.2855,0.9697,3.8583,0
BGD_H51,20.5938,1.4336,1.3008,0.0551,0.0396,34.0824,64.6584,1.4275,6.1537,18.7977,17.9178,3.0579,8.6233,6.9485,9.4977,5.7204,7.1381,6.5578,6.1312,7.3377,1.9479,5.4056,2.4079,0.9267,52.7567,15.6833,6.3241,1.8404,15.8684,5.2582,2.8577,6.0347,3.1387,3.2628,0.9717,3.6493,0.9202,4.4877,6.8663,11.1542,2.7888,4.3223,1.3739,4.811,0
BGD_H52,25.0068,7.6386,3.1419,0.37,0.217,66.0488,85.5935,5.0044,13.1783,57.8509,24.7515,4.5081,10.1864,19.1171,15.2743,8.1576,8.8838,8.1139,7.6196,13.9061,2.3804,9.0276,5.9385,3.2312,68.4175,141.9201,139.5766,69.3268,77.2443,67.2139,3.5783,7.2379,6.1205,6.3447,0.9428,2.4374,1.4463,4.7506,5.61,11.5948,1.9709,3.365,1.3197,6.9035,0
BGD_H53,1.8786,0.2635,0.272,0.0169,0.0179,3.6683,15.7816,0.3087,1.4056,2.4181,2.2496,0.8535,1.0075,1.4517,0.9236,1.0507,1.8653,1.358,1.2473,1.3278,0.3044,1.819,2.43,0.9309,11.1982,20.3622,3.4538,0.5002,0.7034,2.0787,17.8808,2.3206,7.3556,16.6406,1.149,10.5048,1.5736,5.3848,3.6386,14.6026,2.8529,3.7971,1.5984,6.571,0
BGD_I,3.7063,0.769,1.2972,0.0622,0.0742,10.4839,39.7142,1.0272,3.4194,8.3719,6.7146,3.3477,3.4784,5.174,3.4254,3.5283,5.6478,3.6829,4.6126,4.8664,1.2821,5.3728,5.1887,2.339,49.428,38.2221,14.6209,2.6729,13.8511,5.2302,1.0514,13.9971,8.4702,12.3171,3.3392,14.6777,3.6058,14.7325,14.8675,36.7433,15.4997,23.4399,6.8654,18.0831,0
BGD_J58T60,2.4811,0.3801,0.3896,0.0301,0.0258,15.3902,32.8002,0.76,8.0619,4.5727,6.4483,3.1732,2.3699,3.0564,1.7515,1.7672,4.4395,2.9901,2.295,3.3322,1.0655,3.5817,2.9366,1.5013,23.3626,33.0819,4.8499,0.8114,2.1362,2.107,1.1186,6.9947,143.8088,36.8372,6.5115,11.9874,3.165,51.6009,7.8432,20.529,21.2959,6.9319,11.1542,11.3735,0
BGD_J61,7.4193,1.4754,1.3888,0.0817,0.0596,11.809,52.8609,1.3526,4.3994,7.9037,6.6294,2.7728,3.8848,6.0836,3.1966,4.2129,8.735,4.5841,5.375,5.2965,1.4317,6.0911,6.5254,3.0995,63.6025,48.7584,14.0406,2.1395,3.4245,6.2369,3.1671,11.0077,24.5827,345.1658,7.7752,29.5665,6.2516,21.8899,13.4112,41.4488,11.6204,14.7584,6.6852,22.952,0
BGD_J62_63,1.1804,0.1436,0.3856,0.0151,0.0134,4.3213,13.7476,0.2976,1.5041,3.0624,2.1884,1.1534,0.9359,1.6309,1.0903,1.0151,3.401,1.7543,1.4931,1.7725,0.5923,1.7513,2.7526,0.9712,13.668,11.6187,3.3298,0.4585,1.1485,1.3636,0.7516,1.7172,6.7539,15.2895,9.49,11.2073,1.2777,6.2099,2.7339,10.7585,2.4859,3.2892,1.3865,5.2027,0
BGD_K,83.8415,9.7789,10.471,0.4548,0.3722,66.1532,252.0172,7.4155,23.6729,73.0621,35.7977,11.9824,19.3127,30.3442,25.8976,19.5729,23.6816,19.8482,22.1323,25.418,7.6203,25.3335,45.9024,12.0107,331.8032,157.084,64.7106,12.7586,14.4523,17.1725,4.4538,32.9916,22.053,52.0036,8.2231,378.1728,180.7322,44.1691,36.5766,82.2721,20.9568,33.0839,11.8785,42.044,0
BGD_L,9.7885,1.3394,1.4612,0.1014,0.0634,24.25,151.1405,2.611,8.852,9.2814,8.6833,3.5915,8.0953,9.5858,4.7615,9.192,10.1019,7.2673,8.1917,8.451,2.4318,15.0942,8.0716,5.0343,135.8354,164.1596,22.9065,3.0127,3.9323,13.8487,3.4808,65.8917,19.2242,41.054,7.6903,36.9054,53.2155,35.2665,22.2936,51.3487,26.0431,32.4887,15.1021,52.103,0
BGD_M,34.4441,2.5209,8.1153,0.3317,0.4992,88.8559,206.4442,4.4326,18.1804,45.4638,35.2385,25.5513,16.5118,24.446,14.4458,14.1417,29.5948,22.2806,20.4938,26.4129,7.1612,23.5301,24.1516,11.7724,449.7976,151.7467,25.6574,5.6111,7.3915,12.838,3.2256,24.2137,47.5636,72.3928,13.4738,58.4595,30.2287,112.7881,32.7248,59.8872,19.0145,30.8533,15.2378,41.1416,0
BGD_N,22.4486,3.2281,7.8877,0.3752,0.6016,67.147,205.5226,4.4427,19.6235,41.3568,28.114,16.5505,18.2112,28.6811,15.4797,18.5269,28.6537,20.6437,19.405,27.5231,6.7994,27.1421,24.9991,15.0733,299.4877,128.6677,63.0783,15.4267,25.6506,24.019,7.4277,35.8438,36.4147,86.234,13.6153,48.2096,31.7548,53.3293,69.7527,77.7243,30.7194,56.8786,19.5124,46.9695,0
BGD_O,17.1724,2.657,2.1458,0.1515,0.1413,22.2206,79.8815,2.6046,8.782,21.9437,11.1288,6.7133,6.6977,10.0289,15.0147,7.1391,6.5156,6.9902,6.6643,9.7568,2.4507,8.4114,14.3698,9.6349,137.8566,39.8821,34.7517,5.0047,6.845,9.3726,1.9799,11.6485,12.4371,26.0504,3.5646,14.1524,13.1285,19.6821,11.1317,150.3776,17.2261,23.0727,7.4945,16.771,0
BGD_P,2.3509,0.4064,0.566,0.0236,0.0209,4.7873,13.3981,0.48,1.649,4.5957,2.3022,2.311,1.2844,1.965,2.261,1.448,3.7112,1.9529,1.65,2.0213,0.6895,2.0255,2.453,1.2019,16.7734,10.3748,4.5936,0.519,2.0713,1.5084,0.4734,2.2542,3.3912,7.9666,2.5022,9.1836,1.3421,8.2199,4.179,33.8294,50.5933,10.1158,2.0655,8.3471,0
BGD_Q,5.2179,0.8227,0.2921,0.0175,0.0267,4.9685,13.8093,0.3603,1.0455,2.886,1.8972,2.387,1.0385,1.4377,1.1074,0.9807,1.3626,1.0744,1.0452,1.3929,0.4161,1.5494,1.2653,0.9604,11.9027,6.0112,3.2012,0.4428,0.6415,0.8878,0.389,2.4735,1.7506,2.3612,0.6833,3.8023,0.6607,3.3362,2.1779,29.3763,6.3551,212.3946,2.1559,5.0707,0
BGD_R,1.2271,0.1963,0.1548,0.0116,0.0063,3.9414,7.3666,0.3123,1.1231,1.5034,1.0562,0.5298,0.6301,0.8217,0.6234,0.5413,0.8571,0.7207,0.5031,1.0738,0.2745,0.9708,0.8631,0.527,7.344,6.3218,1.4599,0.6313,0.5795,0.7303,0.3107,5.1254,29.1663,5.1234,0.6916,2.4301,1.3407,5.6592,3.1105,9.7527,6.5814,2.1485,56.1414,8.5832,0
BGD_S,8.8716,1.9383,0.831,0.075,0.0589,14.5554,42.4516,1.2502,3.7846,10.4612,4.9552,2.1682,2.9272,5.6548,3.6693,2.8047,4.8183,3.4371,3.2111,4.1605,1.1134,5.5015,5.3794,3.1693,36.134,21.4423,10.4273,1.5513,2.1305,3.5767,0.9962,12.4161,7.0638,12.9669,2.7451,8.9493,3.388,10.0774,6.7571,15.3139,7.6216,21.2386,5.5132,41.1324,0
BGD_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
