V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_C20,125.5131,0.3544,0.7449,1.4979,0.5768,35.2881,40.7626,10.9254,31.6449,5.6812,229.171,26.9379,128.4252,19.1593,12.1924,8.0903,11.3826,12.7277,12.4623,12.3951,2.1852,17.7825,3.3204,3.6,34.8864,13.0234,3.3033,1.8391,1.6037,1.0703,0.1314,3.2871,2.8256,1.2273,0.6513,1.6097,2.2626,4.5833,3.5087,5.9349,2.8878,20.8579,1.4588,6.6332,0
BLR_C21,27.4072,0.1454,0.0755,0.0943,0.0373,11.4398,2.6287,0.4156,1.0621,0.5402,12.9753,99.6626,3.3817,0.7008,0.7536,0.3513,0.836,0.5687,1.2286,0.649,0.1445,1.3289,0.3528,0.3033,2.2536,3.107,0.463,0.4994,0.4141,0.1848,0.0371,0.5806,0.2696,0.323,0.1525,0.4926,0.1823,2.8569,0.46,6.5898,1.3097,130.7812,0.5304,1.4082,0
BLR_C22,23.9307,0.5128,0.5727,0.9829,0.3183,99.6935,29.4333,7.1371,21.3795,1.1122,30.5441,9.6303,139.5444,11.8128,5.0276,10.4186,22.6098,27.7523,34.6167,69.0373,5.7003,35.5681,1.4707,2.9132,118.8726,45.1599,18.1751,1.4288,2.3846,2.3573,0.4118,3.2465,2.5861,1.8879,0.7314,1.7739,2.1995,4.4823,3.4532,6.0203,2.061,7.3184,1.2472,7.2909,0
BLR_C23,19.001,0.1769,0.5359,2.3932,0.7379,54.2498,6.1513,8.2229,2.7086,1.0372,16.0843,7.9116,13.5528,261.2172,19.3652,11.624,16.7577,15.3009,16.6375,24.6461,3.473,15.1432,3.0469,2.8552,885.6534,15.576,2.7618,1.1968,0.8986,1.1953,0.1259,4.41,0.6523,1.7694,0.4254,1.3534,8.3473,3.7557,1.9244,6.827,2.8981,5.1051,1.2,4.1576,0
BLR_C24,3.3285,0.0581,1.2801,0.5964,0.7652,11.8734,3.0356,3.5903,5.1443,0.6853,14.9404,1.6636,14.4585,17.2667,553.0821,242.6149,52.0068,194.3466,239.3776,146.355,24.1094,76.8281,2.3102,6.1438,178.5503,8.0028,2.3494,0.7439,0.4514,0.9903,0.024,0.341,0.507,0.7681,0.1478,0.4973,0.8818,2.0052,0.5766,1.4421,0.3829,1.0358,0.2457,3.1398,0
BLR_C25,16.8994,0.3794,1.222,0.9649,0.5934,36.9275,8.0809,8.1224,4.866,1.1433,9.8366,1.9304,10.6866,10.1371,28.2214,76.1743,17.633,28.0508,93.2208,54.0916,11.821,31.8358,3.379,2.4796,193.0829,14.5357,3.3164,2.0074,1.472,1.5942,0.1275,1.9933,0.9644,2.2614,0.5671,1.2086,2.1023,3.6511,2.3209,9.014,1.5825,2.5526,1.0515,5.4353,0
BLR_C26,2.9544,0.0927,0.145,0.1314,0.0888,4.4786,1.8364,0.4838,1.5608,0.4731,1.5762,0.6708,1.374,1.1154,1.2084,1.7524,108.4029,13.787,11.924,7.5467,1.8119,7.1109,1.2831,0.519,11.2579,7.4111,1.3978,0.883,1.0776,0.638,0.187,0.765,2.0298,13.1213,3.3197,2.037,0.4295,4.1647,1.5214,4.8309,2.1154,6.5628,0.9308,9.9436,0
BLR_C27,3.7244,0.1129,0.1734,0.1926,0.1088,4.6639,1.9053,0.6373,1.1394,0.5556,1.6833,0.481,1.707,1.6522,3.5233,3.3477,20.2517,49.789,22.5409,15.962,2.7301,8.6739,4.0064,0.6541,50.3388,7.386,2.0672,0.8597,0.9356,0.5796,0.0834,0.9493,0.6956,4.2359,0.7179,0.9484,0.9134,1.836,1.1025,2.5257,0.7961,1.5036,0.6136,5.2602,0
BLR_C28,21.1041,0.4299,1.4372,1.3795,0.7869,16.604,6.0854,2.9663,5.5479,1.6033,5.8886,1.5336,5.1817,6.4746,7.3459,8.5956,10.3816,11.1088,97.2438,28.1515,6.1932,17.0675,4.1527,2.0433,45.4738,13.0808,4.3809,3.1409,3.8791,1.6779,0.1917,1.4858,1.1312,3.3235,0.8501,1.5592,1.089,3.0814,2.7551,6.7299,1.3309,3.1685,0.9338,4.5717,0
BLR_C29,4.8375,0.0894,0.1743,0.26,0.1075,5.4828,2.3919,0.816,1.1774,0.534,1.691,0.476,2.6085,1.7694,10.1423,4.8115,3.9605,6.7406,13.8605,229.8605,3.0718,6.7818,0.7652,0.9892,10.4953,29.9175,13.299,0.8249,1.1878,1.217,0.222,0.5955,0.4178,1.083,0.3,0.6926,0.4121,1.4091,2.0818,3.0568,0.5922,1.2149,0.3766,2.9031,0
BLR_C30,0.2688,0.4007,0.0216,0.0219,0.0089,0.2738,0.0891,0.0446,0.0576,0.0275,0.0766,0.0275,0.1018,0.0801,0.1269,0.1956,0.3069,0.2119,0.8196,4.1565,27.9193,4.7895,0.0595,0.0415,0.7393,0.8781,2.502,7.5732,7.2559,0.2719,0.0171,0.0444,0.0318,0.0651,0.024,0.0462,0.0296,0.1397,0.2372,5.5677,0.0478,0.1332,0.074,0.6142,0
BLR_C31T33,38.0185,1.3004,1.6091,1.7715,1.0447,30.007,20.8145,10.3263,10.6638,2.0135,10.4803,3.7973,6.7331,10.4777,12.0456,7.9019,12.6498,8.8795,20.6258,14.3897,5.746,82.4727,10.1183,4.3566,51.6623,25.1594,13.2123,11.7826,16.7966,4.274,0.6264,6.0536,3.1779,9.6795,1.987,6.9534,3.2571,8.2084,7.7403,20.1879,10.5629,44.0716,6.3487,9.6874,0
BLR_D,248.6871,3.8249,12.183,16.3081,3.7748,297.4435,117.808,54.2629,141.0103,28.5183,210.0805,29.1643,88.9395,155.9296,199.1685,47.4764,46.1503,35.5064,72.925,61.8772,11.9503,52.3134,554.9755,49.2832,73.1118,179.9407,57.8899,11.0681,8.0529,32.438,4.5052,84.9243,18.991,56.283,9.9582,42.8546,56.491,37.758,25.8164,161.9804,90.5357,103.8032,36.5971,57.0897,0
BLR_E,15.1209,0.2294,0.3464,0.4221,0.1383,18.2419,5.6452,2.0346,10.8312,0.5935,7.2221,1.4978,3.4551,5.0296,35.1413,3.1458,1.6307,1.3976,3.2858,2.0175,0.5577,2.5253,4.4242,28.433,9.0127,10.8672,2.68,1.1419,0.6126,1.4454,0.2218,5.8776,1.0147,1.8222,0.6083,2.4798,5.6704,2.9586,2.4173,23.4026,6.0067,9.0182,2.1816,4.4973,0
BLR_F,29.8018,0.4166,1.0487,1.2602,0.6581,15.5442,5.9082,3.5378,4.0476,1.6979,6.0245,1.9141,3.8459,8.5649,5.0555,4.3846,3.5856,3.0485,6.8409,4.017,1.3192,7.5941,11.4184,7.4818,437.047,24.4153,12.3825,3.9124,3.8226,7.0625,0.5798,6.1643,2.2656,9.5652,1.6211,8.5095,57.9138,12.0433,5.3257,58.5736,12.9087,11.2959,4.2353,6.0363,0
BLR_G,284.4963,3.0116,3.254,3.0371,1.4327,615.6386,242.9705,31.5153,72.5261,99.2439,77.2515,32.9102,46.194,48.8988,52.0329,29.8351,42.7472,33.662,64.6544,130.1991,10.581,57.0321,46.7279,6.6263,157.3156,184.1227,42.8461,20.571,18.7447,9.326,1.7375,78.6061,20.0099,18.8043,6.0849,14.0732,6.745,19.6528,15.8251,38.0189,14.8335,46.5206,9.36,20.7189,0
BLR_H49,64.7987,0.9379,5.0225,7.4006,1.7642,157.4424,34.1661,22.4208,36.5988,17.1332,43.5602,7.286,22.4476,49.2716,28.3775,15.1217,13.4436,12.7571,29.0351,25.9152,3.4841,20.4407,12.8538,6.5656,70.8707,191.3379,127.5211,15.7194,7.8157,36.2382,6.3537,7.949,7.8814,6.2681,2.7941,9.8418,2.6841,11.9315,11.8012,31.9783,14.1342,13.1657,4.3292,14.7606,0
BLR_H50,2.0036,0.0687,0.1223,0.1164,0.0533,3.9377,1.3544,0.2206,0.6652,9.366,1.5662,0.3232,0.5538,0.7989,1.0914,0.4565,0.4851,0.4194,0.779,0.8638,0.1284,0.5636,3.3914,0.1383,2.4697,3.6742,1.9313,2.3284,1.8507,1.038,0.0995,0.6276,0.2808,0.435,0.1738,0.6823,0.2038,0.5867,0.6243,0.8057,0.2811,0.585,0.233,0.3793,0
BLR_H51,2.2506,0.0243,0.1029,0.0521,0.0369,3.93,0.9087,0.2271,0.5754,10.4475,1.3623,0.1551,0.3607,0.6188,1.1828,0.392,0.2368,0.3177,0.5756,0.7394,0.1022,0.3867,3.2865,0.0736,1.7882,1.4218,0.7134,0.851,0.7533,0.3542,0.0569,0.4057,0.1517,0.2778,0.1203,0.3471,0.1129,0.3875,0.3653,0.3944,0.1383,0.2659,0.1266,0.1823,0
BLR_H52,9.3237,0.5881,0.634,1.0549,0.3983,26.7415,5.6281,2.7369,4.8066,2.8744,8.0514,1.6985,3.7465,5.529,4.8065,2.4933,2.9606,2.2923,4.4604,5.1087,0.7306,3.3341,1.723,0.9412,8.4067,64.7981,41.3754,59.4916,43.5255,25.7386,0.9099,1.4909,1.3925,1.7871,0.588,1.4447,0.5069,2.2736,2.2011,5.0913,0.7771,1.1553,0.5623,1.8067,0
BLR_H53,1.8632,0.0411,0.0838,0.0804,0.0562,3.3522,1.7811,0.3829,1.0105,0.1239,1.4543,0.6186,0.776,0.739,0.5341,0.627,1.1426,0.7568,1.394,0.8648,0.1731,1.2757,0.9293,0.598,2.711,16.0562,1.7445,0.7029,0.6394,1.3522,7.6878,1.1882,2.9583,7.7982,1.2036,10.2503,0.9,4.3312,2.755,11.209,1.9898,2.6657,1.183,3.3138,0
BLR_I,5.6295,0.1902,0.596,0.4702,0.3673,14.7752,7.5886,2.0253,3.8905,0.6381,6.7677,3.8432,4.2203,4.2102,3.2387,3.3453,5.49,3.2398,8.0868,5.0408,1.1588,5.9919,3.1573,2.0429,18.7066,47.848,11.9004,6.3802,21.7796,5.3594,0.7094,11.6789,5.5059,8.9981,5.4126,21.6993,3.2598,18.7083,16.5494,44.5476,17.2336,27.1448,7.8672,15.1315,0
BLR_J58T60,2.2632,0.0535,0.1109,0.1346,0.0762,12.5983,3.3691,0.871,5.4467,0.2732,3.8718,2.0979,1.6829,1.4415,0.9535,0.9824,2.5348,1.5462,2.3728,2.0098,0.5488,2.3474,1.0573,0.7861,5.2438,24.0521,2.29,1.1218,1.9201,1.2806,0.4452,3.2883,55.4224,15.6224,6.3242,10.981,1.6567,28.4662,5.3182,14.7177,14.0313,4.5486,7.6397,5.8305,0
BLR_J61,8.476,0.2711,0.4872,0.4612,0.2162,12.4828,7.0345,1.9476,3.6168,0.5035,4.8886,2.3135,3.4524,3.5884,2.1878,2.8946,5.9328,2.899,6.8637,3.9474,0.9214,4.8981,2.8607,2.1073,17.6738,44.1764,8.2658,3.7158,3.8354,4.7115,1.5449,6.5904,11.891,187.0133,9.2088,33.2002,4.065,19.815,11.6012,36.5154,9.2992,11.8634,5.7225,12.822,0
BLR_J62_63,1.0586,0.0176,0.1014,0.0658,0.0385,3.5411,1.4627,0.3149,0.9624,0.2521,1.2242,0.7326,0.6241,0.74,0.5754,0.5318,1.8054,0.8394,1.4427,1.0086,0.2821,1.0684,0.9341,0.4947,2.9522,7.8717,1.4643,0.6143,0.9797,0.766,0.2728,0.796,2.4008,6.0678,8.3003,9.5599,0.6354,4.2943,1.7871,6.9833,1.5264,1.9838,0.9112,2.0155,0
BLR_K,101.7352,1.8876,3.6582,2.6219,1.3676,72.9927,35.0003,11.0797,19.9337,4.1771,27.297,10.1213,17.5409,18.0622,17.6138,13.6631,16.7956,12.8822,28.7493,19.2611,5.0881,20.7033,20.3451,8.7862,94.0755,144.5237,40.0429,22.872,16.7039,13.2318,2.2266,19.7331,10.5435,27.9195,9.8835,386.124,106.6508,41.621,29.9409,72.8928,17.0439,27.0331,10.1786,23.8538,0
BLR_L,9.1233,0.1976,0.4,0.461,0.1829,21.2722,14.8037,3.0308,5.9013,0.4607,5.1971,2.3986,5.8209,4.5202,2.5845,5.0964,5.7272,3.7534,8.4747,5.1087,1.3528,9.8072,2.8852,2.4779,30.5022,120.3473,10.7432,4.0661,3.4468,8.3836,1.3783,31.2911,7.3737,17.7193,7.4369,33.5605,27.2027,26.5103,15.1327,36.3628,16.7739,21.0387,10.3432,23.1129,0
BLR_M,30.4528,0.356,2.0286,1.3393,1.2866,70.4725,19.9875,4.8675,11.5077,2.0566,19.899,16.1133,11.2288,10.8228,7.3732,7.3237,15.7393,10.7825,19.8339,14.9204,3.3931,14.3969,7.906,5.8139,86.6396,104.9388,11.2456,7.3928,6.2969,7.3021,1.1967,11.0479,17.1068,29.2019,12.3438,51.8651,14.5163,76.6388,21.834,39.153,11.4714,18.9291,9.8434,17.8392,0
BLR_N,20.8134,0.4739,2.1294,1.6879,1.7056,57.167,20.0152,5.0551,12.7947,1.8902,16.5171,10.8136,12.7159,13.241,8.1475,9.9822,15.8012,10.3374,19.4762,16.2352,3.516,16.9563,8.6281,7.5015,66.3338,91.3619,29.1255,21.0195,22.6225,14.1665,2.8579,16.5693,13.6379,36.2568,12.8316,43.0308,16.2396,38.6604,47.7171,54.0394,19.3481,35.8593,13.0364,20.3518,0
BLR_O,3.7019,0.08,0.1576,0.1796,0.0966,5.3526,2.0027,0.8698,1.7421,0.3144,1.9177,0.9252,1.144,1.4032,4.8867,0.979,0.9701,0.8221,1.6282,1.3172,0.2923,1.3208,1.3499,2.0194,6.8367,8.4947,3.3243,1.9846,1.6405,1.4605,0.1793,1.6621,1.2322,2.3795,0.9024,3.4469,1.8604,3.4517,1.8389,16.1143,2.3503,3.3035,1.3165,1.9149,0
BLR_P,1.1153,0.0274,0.0769,0.0542,0.0338,2.0959,0.7778,0.2829,0.5654,0.1099,0.6947,0.7489,0.4584,0.466,0.5745,0.3754,0.9995,0.485,0.8301,0.6155,0.1657,0.6253,0.4213,0.3295,1.9272,3.7624,1.0305,0.3869,0.8818,0.4407,0.088,0.567,0.7092,1.6248,1.0901,3.7267,0.3722,2.9743,1.4466,9.9642,13.1047,2.8209,0.6875,1.785,0
BLR_Q,2.423,0.0557,0.0448,0.0392,0.037,2.5355,1.0106,0.2042,0.3814,0.0769,0.5701,0.778,0.3697,0.3446,0.2926,0.2675,0.4013,0.2794,0.538,0.4244,0.1088,0.5178,0.239,0.2615,1.3921,2.3064,0.739,0.3301,0.3181,0.2757,0.0738,0.677,0.3555,0.537,0.3356,1.5289,0.216,1.2797,0.8088,9.069,1.8492,59.0873,0.6736,1.2146,0
BLR_R,0.7476,0.0181,0.0306,0.0366,0.0128,2.2525,0.6172,0.2098,0.4946,0.0619,0.4148,0.2391,0.2954,0.2645,0.2235,0.1999,0.3276,0.247,0.3493,0.4304,0.099,0.422,0.2089,0.1763,1.128,3.0687,0.4715,0.5815,0.363,0.2954,0.0811,1.6224,7.5639,1.4733,0.44,1.4959,0.47,2.473,1.4222,4.4789,2.7365,0.9407,24.7055,2.9731,0
BLR_S,6.5365,0.2496,0.2213,0.2933,0.1785,10.8683,4.6154,1.2197,2.2697,0.5134,2.5631,1.2073,1.8449,2.4506,1.7471,1.3574,2.6368,1.6489,2.9778,2.3039,0.532,3.2995,1.6228,1.5298,6.7286,14.6448,4.4019,1.8755,1.7555,1.8481,0.3943,6.1884,2.5057,5.9498,2.7177,6.6778,1.7022,6.484,4.4898,11.5395,4.726,14.5518,3.4907,20.1512,0
BLR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
