V1,TWN_A01_02,TWN_A03,TWN_B05_06,TWN_B07_08,TWN_B09,TWN_C10T12,TWN_C13T15,TWN_C16,TWN_C17_18,TWN_C19,TWN_C20,TWN_C21,TWN_C22,TWN_C23,TWN_C24,TWN_C25,TWN_C26,TWN_C27,TWN_C28,TWN_C29,TWN_C30,TWN_C31T33,TWN_D,TWN_E,TWN_F,TWN_G,TWN_H49,TWN_H50,TWN_H51,TWN_H52,TWN_H53,TWN_I,TWN_J58T60,TWN_J61,TWN_J62_63,TWN_K,TWN_L,TWN_M,TWN_N,TWN_O,TWN_P,TWN_Q,TWN_R,TWN_S,TWN_T
TWN_C26,253.6466,53.8781,4.8832,9.8768,4.4492,659.7236,256.266,33.0949,194.0656,202.7304,759.971,76.5326,153.4188,106.9313,809.4388,310.8559,31115.9128,505.5105,843.5338,147.4684,141.3219,109.6584,140.7185,158.9816,687.698,261.0974,25.6152,4.6341,15.5108,11.803,1.1567,216.6927,187.9945,79.7709,330.5133,55.5201,30.3276,285.2051,86.2173,162.3263,259.5215,441.148,66.1414,64.6241,0.0
TWN_C27,12.6501,3.8502,1.2648,2.6683,1.7189,32.9457,16.8812,1.8368,9.8976,42.2822,57.1636,4.4775,21.7793,17.32,85.2145,70.6918,1093.0948,1996.1288,1074.9026,177.9702,64.7832,85.7771,73.8822,13.5296,1758.9898,119.1649,13.9607,5.279,18.0927,13.101,1.2483,14.3159,20.836,91.1492,53.9212,9.9875,18.0036,75.3771,56.2265,120.8876,173.5827,35.2591,8.2154,60.3658,0.0
TWN_C28,16.3402,5.6994,5.6425,15.7684,10.1101,37.2927,30.8506,2.8063,16.4941,62.3903,85.7665,3.5314,32.4488,42.5502,103.0609,125.1997,467.6311,125.3681,1065.876,43.238,55.502,166.616,28.1236,32.3015,387.5882,95.4901,7.2407,1.4167,11.5908,5.0361,1.0388,11.8692,5.9757,3.3742,3.9714,13.3634,12.4288,9.8463,6.8616,34.1507,15.7688,34.33,4.3331,21.1283,0.0
TWN_C29,6.663,1.3986,1.3309,0.3506,0.1811,18.8495,10.5108,1.0611,5.5937,32.254,21.3878,2.037,21.0458,7.2917,26.9184,20.8883,75.2767,32.1836,45.4463,2810.8259,13.3534,5.3075,3.9743,1.1759,37.0219,280.0802,78.4675,0.8485,4.6503,11.9307,1.0596,7.2619,2.3966,1.154,3.6977,3.1194,1.4246,5.4272,24.6835,152.2786,11.1708,16.5046,1.5639,444.0842,0.0
TWN_C30,1.466,30.222,0.402,0.2834,0.1638,4.0093,3.3767,0.2702,2.012,6.5818,11.1394,0.8652,2.246,2.8117,12.7169,12.7535,57.5876,6.8956,22.0068,142.3432,1768.5486,118.7887,3.3651,3.3326,5.8895,187.7685,8.2738,6.0469,29.9705,17.0889,0.425,1.7541,1.3856,0.4303,1.846,1.9748,1.0808,2.3042,2.4154,9.6335,3.1082,54.6872,2.5325,84.3929,0.0
TWN_C31T33,6.3634,32.7743,8.1483,2.7844,2.3915,27.0823,51.2942,3.4906,36.457,115.5599,185.2884,4.351,32.7528,53.0556,216.4572,47.5398,613.0912,25.0186,61.2336,20.3202,28.8728,249.5087,134.5631,83.5118,58.6357,74.5007,117.9073,8.2011,290.3475,67.0589,8.7794,13.3144,13.5211,1.9404,11.5069,13.4478,2.6734,18.7402,17.4454,95.4311,53.9383,285.4703,51.6375,27.653,0.0
TWN_D,32.7246,33.1372,16.0671,32.8842,17.9296,139.8784,387.2653,22.2186,302.6758,2434.7096,2168.1175,37.6158,277.5396,398.9108,1209.4917,346.6264,2205.921,84.4254,130.711,83.5384,54.5143,69.5153,2364.0116,102.1385,86.4495,1527.2201,73.8061,3.4037,32.9002,57.1096,7.5349,349.2118,30.4645,106.554,38.6299,116.348,91.7612,111.9674,34.7498,179.8218,306.2771,292.8116,118.7314,230.6843,0.0
TWN_E,9.4397,0.7646,0.9302,2.714,1.1805,29.2432,40.5547,2.0596,389.2811,54.3474,192.132,3.454,20.6912,50.7199,1870.2471,34.1938,152.2768,8.7743,6.4852,2.5316,2.9281,14.7372,23.5355,1071.887,7.7209,92.7568,4.1275,0.2972,1.3841,6.3167,1.267,39.3587,3.489,3.2637,4.1989,32.9947,12.9829,15.6337,8.4529,889.1433,176.5274,86.832,32.5173,37.5936,0.0
TWN_F,25.2708,4.8249,3.6555,11.1082,6.0989,47.292,62.045,5.7367,43.2349,294.0278,370.2015,10.023,44.5646,60.5409,243.1648,95.3481,364.7325,22.7917,58.1393,8.0159,15.2591,29.8677,83.3243,70.1152,60.2881,759.0709,218.6161,1.7298,8.2904,72.8184,3.2045,50.0308,62.4247,216.1919,27.5538,100.0378,1936.8112,46.3275,27.6155,210.7669,164.8375,105.9896,33.3284,57.5219,0.0
TWN_G,1689.9793,365.525,15.3005,77.2134,32.3385,3983.497,1532.122,119.4056,910.2129,1596.2942,3612.4101,384.0647,760.7125,543.5149,3335.5602,1486.0367,5773.1332,950.9579,1416.0935,1497.6867,385.5075,351.0935,716.6921,139.3359,2600.5969,3230.518,2139.144,30.3932,112.4343,96.074,69.9273,1700.3662,573.3923,51.3782,153.6046,326.0622,167.1275,510.9374,190.5618,675.4759,349.0758,1370.6345,200.4204,506.6565,0.0
TWN_H49,37.3599,28.0472,2.1657,10.1097,4.416,119.548,100.2195,14.0776,53.6782,242.6101,283.115,23.1389,77.8982,79.116,278.1946,142.1981,794.8597,87.3818,208.3246,63.4654,31.6551,52.755,138.6628,16.1483,344.2216,998.9716,73.0165,226.9248,94.0359,150.7201,109.4513,49.9387,39.2227,28.2663,107.4446,240.9082,36.2282,138.2939,45.573,221.3218,113.6861,201.3558,16.242,93.6311,0.0
TWN_H50,1.2508,10.6051,0.871,1.5965,0.8434,5.9362,4.7647,0.4168,2.1011,62.0778,25.0494,0.5933,4.2812,8.2742,19.1507,8.0489,61.1828,5.2571,23.6881,3.0252,4.406,2.0245,10.2385,0.5881,21.2511,561.9364,11.1337,3460.2361,41.7945,117.7083,8.358,1.7507,10.0865,3.0958,1.034,2.3503,0.9053,3.191,13.0868,28.3381,10.2003,2.3627,9.9655,9.9454,0.0
TWN_H51,13.3463,2.7102,1.1914,3.1796,1.4535,35.3826,24.6954,3.1112,14.2867,125.7276,97.008,5.1349,17.7855,15.5697,82.9026,32.3088,234.0213,23.6389,52.7989,17.3414,10.2799,14.2032,43.5934,1.9927,59.1893,154.8238,8.5932,9.565,341.8487,24.793,204.6732,13.1863,8.7273,4.3149,8.2299,22.9843,2.8918,31.0035,13.7098,64.941,29.3613,27.0043,3.2521,24.7519,0.0
TWN_H52,1.5358,13.226,1.4373,1.0631,0.5373,28.5141,53.4989,4.2207,19.058,56.8787,125.9612,5.3511,67.3541,11.0919,97.8935,81.8095,433.1106,54.8285,99.4046,20.7778,12.9235,15.1937,4.7459,0.9265,28.4919,1165.0962,33.8463,828.97,855.0507,151.5585,12.4001,12.0778,13.5231,25.4511,8.3457,22.8987,7.1485,10.6724,11.7271,44.357,3.6451,11.5353,15.8677,14.5053,0.0
TWN_H53,0.3915,8.8807,0.0725,0.5545,0.4279,5.6057,20.8599,1.1784,7.4534,8.9731,17.0545,3.84,19.2619,1.7784,13.4456,27.9701,164.6602,13.2616,33.3868,5.2049,2.8007,9.4466,1.874,5.8727,15.5268,476.7511,6.7983,10.3671,4.6509,24.2714,225.5907,18.6674,8.9211,115.6524,14.4686,164.9531,20.9422,53.9567,19.0453,168.0229,23.2988,17.9051,3.7408,28.0552,0.0
TWN_I,6.7016,1.6131,0.9731,1.2389,2.1987,26.8492,67.0696,2.4316,19.7216,29.3344,100.4892,22.1992,162.6439,22.5893,51.6678,79.241,544.0842,48.2161,112.6975,14.3583,14.5202,24.8217,4.8575,79.5968,54.9761,1089.839,16.6714,4.9829,280.6499,52.7369,2.1238,15.1798,55.1045,18.9287,66.8301,168.0109,57.4303,154.9779,22.6918,589.8964,174.5894,87.0463,41.9947,356.0966,0.0
TWN_J58T60,2.6033,1.537,1.6543,1.0623,0.7731,59.7776,46.5723,2.7342,20.3418,10.9415,91.3659,24.5728,34.5714,11.3082,15.0467,28.3136,214.344,32.4609,26.7695,24.8201,25.2895,20.4336,10.1375,3.6352,47.4973,391.7336,23.4648,3.2718,27.7318,23.2012,4.2404,49.4305,1691.5729,104.4689,235.0785,160.9433,87.007,833.1542,200.2775,215.8546,287.8251,72.9375,275.4863,173.3025,0.0
TWN_J61,8.7112,6.5198,1.4869,3.5179,3.5183,36.8436,54.6635,6.3715,50.2889,50.0466,81.5783,10.9376,40.2056,35.5777,70.6522,84.4986,403.6079,26.7281,74.5109,13.3869,12.477,26.2316,14.3302,10.1951,153.0058,1298.1509,32.8325,1.9687,27.7712,44.3976,7.2171,76.5249,69.3614,1952.4098,405.7984,294.1032,70.8664,221.6117,116.1198,870.4164,99.4537,235.3922,52.3975,190.8959,0.0
TWN_J62_63,2.909,0.8636,0.4728,0.7949,0.4347,26.1011,24.3389,1.3034,12.8921,14.9041,36.1558,3.3393,11.7744,15.0714,23.0311,30.6899,253.1587,13.6063,27.5026,46.8567,13.3074,8.574,11.4573,5.3179,28.0096,587.093,8.6084,3.1319,14.1428,16.4488,1.3911,47.0522,27.3741,19.5103,54.4871,210.3335,143.7435,58.0227,78.3201,196.809,17.8728,38.9989,19.7309,11.9568,0.0
TWN_K,68.2066,17.2235,5.8718,11.6367,6.2801,150.7167,277.1317,24.7012,213.5366,505.5638,833.4667,45.744,356.59,198.5667,870.7129,423.9537,3597.1164,271.7556,360.9463,147.075,79.8448,87.8686,387.7282,123.3831,369.6231,2701.4239,124.8164,29.8382,157.4151,99.5166,21.7725,139.7849,58.0442,94.2447,98.0502,7013.4177,3689.8454,156.4702,142.3735,1130.3577,130.8057,245.8912,106.6418,199.9223,0.0
TWN_L,0.7138,6.182,0.4043,1.1998,0.97,19.43,33.0217,1.1745,13.8969,16.1508,31.1177,3.9591,20.1051,21.5452,17.1295,42.7099,434.939,21.3266,42.8781,8.6269,3.0193,11.7022,4.499,12.3808,40.8281,3666.2239,21.2647,8.3569,25.7472,41.9988,8.6745,177.4168,34.3959,54.1281,75.6547,570.0132,190.51,245.2105,83.4668,38.0761,4.1986,254.2867,207.8126,302.1211,0.0
TWN_M,35.1406,2.7432,9.5262,6.5236,5.3504,287.8229,289.1759,12.1219,132.137,444.3418,736.3398,165.0215,280.7729,123.956,223.08,222.7507,2283.1749,326.1975,174.1619,238.2835,198.9031,114.6004,92.9624,66.0394,1021.1712,1344.1876,70.9543,4.4049,82.6037,106.3725,16.2659,138.77,107.169,471.6057,102.2329,977.0014,1072.8263,391.2941,95.2894,86.1049,136.5122,264.2514,30.9045,97.7687,0.0
TWN_N,0.9367,0.8359,6.0873,3.7313,3.9918,35.3073,63.7685,1.4498,35.4824,141.5235,275.548,12.1338,36.8461,46.4026,136.8448,175.2606,2247.3949,56.1544,139.2924,47.5362,45.0473,44.4452,51.6202,57.5794,123.1758,1158.7341,85.2754,40.4888,346.4117,162.5004,36.2215,62.2623,32.1467,93.7418,78.8029,286.5334,62.3535,237.4048,82.7579,340.3099,166.234,119.9389,51.7438,34.9648,0.0
TWN_O,17.276,18.1037,0.5273,3.6518,2.3049,35.9546,23.7234,3.1604,13.6082,75.3324,89.8572,5.5331,27.4222,17.7732,43.2855,77.5158,152.9718,17.3489,24.4394,19.6944,7.0589,10.6921,86.9021,31.8708,51.3466,264.1337,57.0302,1.5661,3.9651,32.0183,1.5851,15.4792,16.3896,15.0837,11.0462,228.1702,125.1137,38.6356,25.9827,1.2914,14.1367,28.9628,25.3994,14.4514,0.0
TWN_P,5.7186,0.8512,0.2409,0.2084,0.1057,14.8084,13.7165,0.8379,3.1158,7.2884,14.0182,2.1855,3.0963,3.9526,64.8987,19.1454,156.7151,16.1061,9.9034,7.8383,5.9731,5.1632,6.824,10.4298,29.127,81.961,2.7355,1.8994,9.8798,6.6674,1.1347,7.1143,5.6897,22.0955,9.3601,33.1953,15.6112,129.5058,11.7025,349.5196,16.2938,14.0781,3.1433,3.8327,0.0
TWN_Q,67.7467,17.436,0.1554,0.6057,0.2895,128.87,72.171,0.9557,16.4892,14.5131,107.3082,10.4753,38.8846,13.3755,22.6419,23.5103,350.7581,49.5626,34.1079,19.6693,13.6039,10.9467,14.0682,3.1984,213.3932,895.6756,5.3322,0.5197,22.0061,7.923,1.4768,79.2431,34.8973,2.0586,6.4054,211.7153,3.7793,45.2546,7.8184,102.7695,57.7317,120.6657,7.6956,130.8705,0.0
TWN_R,0.0761,0.0,0.0082,0.0697,0.0807,3.0735,6.8474,0.302,2.0527,1.1679,7.1202,1.8254,4.6713,3.2034,4.7408,13.1667,22.6862,3.5309,13.7714,2.965,2.2161,10.5093,1.4284,1.6098,11.4108,58.8045,2.2747,0.2608,0.6593,6.1301,0.1219,2.5109,236.0576,1.1282,7.9601,19.7262,42.8076,234.9127,18.6452,59.1023,14.4708,2.5101,91.2425,250.2749,0.0
TWN_S,2.5381,4.7173,0.7694,3.2368,2.6436,28.0706,51.1419,4.7953,23.6355,92.7272,79.4515,5.0508,37.5903,26.9627,103.1671,123.4252,305.0019,18.4845,63.1697,28.8564,10.4967,38.7906,32.2508,29.7002,140.3145,438.8053,230.2283,1.3655,17.7115,17.1242,2.6621,43.491,18.7847,134.3797,18.432,239.0362,30.4849,49.8262,23.3683,132.5842,30.4561,115.6697,31.8337,136.008,0.0
TWN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
