V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T
CRI_K,26.6818,1.1548,0.0098,1.2098,0.0007,114.8071,5.4877,1.9068,12.5067,13.6212,26.7611,4.9226,6.3025,16.6705,3.6689,3.0974,7.3611,5.6643,0.1954,0.3362,0.0788,31.0381,121.7678,7.7967,13.2684,188.497,11.7542,11.8994,2.3109,30.0121,7.1353,63.656,2.8571,43.4429,4.4693,598.8545,203.9643,50.0535,51.3538,64.405,29.4737,46.4924,4.381,18.4128,0.0
CRI_L,15.2795,0.001,0.0055,0.8538,0.0008,37.991,4.7495,1.0918,7.0989,8.0754,5.2032,1.8815,5.2281,2.1559,0.5392,2.7093,3.662,1.1675,0.0404,0.3033,0.0619,31.8669,93.1672,2.9659,2.528,257.9936,4.1251,2.8638,0.8112,10.1515,1.8609,64.2381,5.3029,7.4946,5.8972,48.1277,44.4547,70.2228,44.7973,30.2858,30.6355,48.7992,4.0837,32.1759,0.0
CRI_M,38.4315,0.952,0.0544,3.5225,0.007,152.7183,5.2306,1.0933,15.292,28.3401,43.0096,18.2899,10.4846,8.098,1.6112,4.2341,3.5483,6.4643,0.2238,0.3716,0.0674,32.0585,20.7594,7.3321,354.5962,279.452,14.2709,13.394,4.4788,20.4279,1.9376,78.2322,11.5544,27.0937,7.8477,117.4684,140.3011,190.1609,56.2166,64.8137,32.0659,29.0804,7.4639,18.8144,0.0
CRI_N,22.342,2.1802,0.043,6.2201,0.0046,145.5494,4.56,1.5006,8.8456,24.6356,35.5717,6.9183,7.7893,36.0823,0.3856,4.3382,10.4932,4.296,0.1487,0.2989,0.0661,118.613,37.8301,17.4985,66.0909,174.4978,30.5985,35.3264,10.2656,36.6942,2.9854,58.8786,2.58,105.3897,8.4015,175.84,66.7117,56.1068,73.2669,62.1819,48.2439,43.554,5.2867,16.481,0.0
CRI_O,0.948,0.0388,0.0004,0.0502,0.0,3.5641,0.1828,0.0493,0.3897,0.4963,0.5504,0.1845,0.1953,0.2785,0.0239,0.0865,0.1698,0.1243,0.0043,0.0136,0.0027,1.5567,1.414,0.2666,2.3886,6.189,0.3723,0.4957,0.1204,1.0591,0.1433,1.7032,0.1663,1.2964,0.1145,3.3596,1.7258,2.0676,1.4874,1.4411,0.9714,1.2162,0.1382,0.6895,0.0
CRI_P,1.1786,0.0261,0.0007,0.0459,0.0001,5.9191,0.1585,0.0796,0.9759,0.7763,1.0695,0.2918,0.7373,0.445,0.1864,1.883,1.2583,1.9968,0.0691,0.0078,0.0019,5.512,1.7025,0.6182,4.8723,12.2646,0.3848,0.3257,0.1845,0.8202,0.2556,3.1852,0.2914,1.3301,0.6889,8.1652,1.4117,8.7672,8.3695,7.669,26.0041,7.6116,0.5449,6.8412,0.0
CRI_Q,0.1292,0.0755,0.0002,0.0078,0.0,0.1589,0.1947,0.0,0.1221,0.0,0.0126,0.016,0.0196,0.0006,0.039,0.006,0.0117,0.0909,0.0032,0.0028,0.0009,0.0972,0.0,0.1137,0.032,0.1635,0.0989,0.1151,0.0239,0.2877,0.0054,1.0702,0.0,0.0124,0.0705,0.0411,0.1117,4.539,0.2871,0.0015,0.1943,33.5254,0.0066,0.8277,0.0
CRI_R,0.0506,0.0002,0.0001,0.01,0.0,0.1601,0.0095,0.002,0.0718,0.0075,0.0223,0.0111,0.0205,0.0056,0.0166,0.0089,0.0058,0.0056,0.0002,0.0002,0.0,0.159,0.0355,0.0586,0.0228,0.2404,0.0074,0.0071,0.0037,0.0111,0.0009,2.6232,0.2033,0.0462,0.0289,0.2929,0.0537,0.4659,0.3165,0.0284,0.5974,0.1474,0.5857,0.2812,0.0
CRI_S,2.5517,0.0176,0.0012,0.1245,0.0001,9.0948,1.0315,0.236,1.2954,1.5184,2.4802,0.8474,1.3866,2.0723,0.3205,0.3531,0.271,0.4398,0.0152,0.0444,0.01,2.4319,4.0471,2.4558,7.106,32.2162,1.0306,1.2082,0.2584,3.9802,0.1773,14.5053,1.4511,3.3573,2.1568,18.3719,15.5859,19.2274,8.7416,10.0381,6.478,9.9553,0.3541,26.9193,0.0
CRI_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
