V1,PHL_A01_02,PHL_A03,PHL_B05_06,PHL_B07_08,PHL_B09,PHL_C10T12,PHL_C13T15,PHL_C16,PHL_C17_18,PHL_C19,PHL_C20,PHL_C21,PHL_C22,PHL_C23,PHL_C24,PHL_C25,PHL_C26,PHL_C27,PHL_C28,PHL_C29,PHL_C30,PHL_C31T33,PHL_D,PHL_E,PHL_F,PHL_G,PHL_H49,PHL_H50,PHL_H51,PHL_H52,PHL_H53,PHL_I,PHL_J58T60,PHL_J61,PHL_J62_63,PHL_K,PHL_L,PHL_M,PHL_N,PHL_O,PHL_P,PHL_Q,PHL_R,PHL_S,PHL_T
PHL_C28,2.1985,0.3985,0.2809,1.982,1.4963,9.1838,1.8324,0.6399,0.9269,1.0952,1.8019,0.3053,2.2833,1.0052,2.1244,1.2176,16.4499,5.1496,3.1097,2.2989,2.0785,3.4737,5.3342,1.0421,14.2334,38.9538,5.7999,2.7164,0.5796,2.059,0.1761,2.7005,0.2983,2.2853,0.4037,4.4169,3.6003,0.8708,5.6884,0.8684,2.3397,1.325,2.0227,4.6331,0
PHL_C29,3.9341,0.6963,0.3549,1.4047,0.4222,25.2445,5.6363,1.6379,2.2171,2.0535,5.0448,0.8533,2.9837,4.6848,4.9541,4.4484,41.4676,7.1131,2.4971,7.9836,17.7441,4.6393,24.9609,4.8055,15.888,497.7375,11.8887,0.8601,0.9636,31.2337,0.487,11.58,0.7776,8.4322,2.0741,13.7925,6.238,2.6518,13.2615,4.1072,16.4982,7.6287,3.6173,11.2998,0
PHL_C30,1.0201,0.2037,0.1494,0.4092,0.0942,6.6126,1.2918,0.3716,0.5303,0.5407,1.3606,0.2684,0.7715,1.2774,0.8805,0.6169,13.3859,2.1434,0.5175,1.4503,33.05,1.3751,7.1908,1.4309,4.9495,190.2804,3.7601,0.648,6.4728,11.2016,0.1413,3.4882,0.2444,2.6894,0.5951,4.0635,3.852,1.7735,4.0599,1.1166,5.2962,2.2583,1.6585,4.1301,0
PHL_C31T33,7.6624,2.8639,3.2007,7.9061,1.7559,52.5309,16.8165,19.7282,11.451,4.3517,12.0471,1.6467,4.0833,15.3226,8.3804,12.0516,86.1114,22.0142,3.1979,3.7645,14.3678,61.5921,14.5904,4.756,47.3662,250.7561,26.9235,5.3743,10.8858,33.1845,0.6973,31.6914,6.2162,13.0992,3.8173,45.7151,29.8631,6.5076,38.4266,6.4108,19.4973,8.8071,34.4969,27.3849,0
PHL_D,97.9787,8.1862,10.2467,54.9804,3.3936,606.4478,127.0119,26.8708,74.3382,57.1428,87.5096,12.5123,76.144,171.1403,99.4812,56.982,182.0981,160.3286,23.1986,38.2925,18.6712,54.7844,1588.848,86.7299,83.4701,1258.6404,223.1667,9.7767,15.5125,46.1695,4.8087,395.9041,37.0646,162.8765,44.1184,170.4209,106.8815,82.7768,208.4378,77.7063,224.0484,194.7813,61.621,159.7389,0
PHL_E,31.577,0.8898,0.2324,1.8415,0.5386,109.5011,14.3313,2.432,6.9386,2.5068,9.9146,2.3474,8.6599,16.8633,13.8751,3.6793,12.0241,3.1989,1.6033,2.1213,1.4072,5.7856,43.0882,19.1222,47.5066,67.9342,10.7939,2.5615,2.1182,10.542,1.0595,156.2006,8.1529,7.2488,5.759,26.0918,20.632,14.6031,33.3555,1.7245,25.1123,69.6713,12.9487,53.602,0
PHL_F,11.1656,1.39,12.0367,75.615,3.5648,415.0956,76.259,12.2583,22.857,15.8957,37.4295,38.4854,18.3418,58.2285,25.8108,15.8716,117.3674,28.6776,10.6471,37.2212,18.4876,30.3549,110.0851,27.6747,85.0037,486.7783,71.5417,46.3232,72.9535,64.7324,2.0385,92.9457,82.5016,20.6132,37.5483,106.3285,166.0296,67.6643,77.8705,7.3638,73.8826,39.1094,27.3377,45.7634,0
PHL_G,1671.3554,266.4223,20.4629,70.1822,5.0199,5945.3225,921.5997,151.4373,218.3415,417.3023,646.1302,102.12,228.708,222.3082,207.735,125.9778,1769.6953,414.7819,97.9143,467.9812,196.3386,264.265,334.465,42.1479,887.4438,3258.1071,623.3495,160.11,192.9094,152.7576,19.0568,1439.8659,138.5379,182.0652,106.4821,558.3633,282.9951,141.1274,437.6102,190.2294,179.1085,204.5357,267.739,260.7129,0
PHL_H49,211.2438,33.2216,4.9033,17.8629,4.4264,659.9407,69.1751,16.5948,37.629,113.2671,120.5458,27.7207,25.6408,69.5943,82.4007,33.5054,164.9508,94.8668,12.1319,34.4114,21.7821,34.5567,35.0435,6.811,162.6605,776.164,354.3645,60.0635,68.191,71.9661,9.578,97.5954,10.6047,40.777,13.6087,96.8194,61.7094,35.3008,116.9083,67.3742,22.7362,32.9665,31.0596,40.1061,0
PHL_H50,2.4031,0.4806,0.1811,0.4497,0.1094,12.5805,2.2275,0.3709,1.204,14.9784,2.1362,0.3926,0.5152,1.4953,5.3586,0.6624,13.7359,1.7789,0.2098,1.4469,1.6942,1.2081,1.7858,0.2037,3.7221,12.0189,5.42,0.6061,1.1802,0.8648,0.0939,2.5908,0.5195,0.6531,0.36,2.6047,1.3121,0.5071,2.5288,0.7295,0.6084,0.6623,0.738,1.38,0
PHL_H51,21.9495,1.9873,0.4673,1.676,0.5676,65.3477,11.8253,2.3306,5.4734,42.2349,18.4978,2.1603,4.4803,7.0978,16.0479,4.6221,39.3984,11.1156,1.9027,4.8592,4.6053,5.1866,7.0901,0.7898,26.4624,121.9831,33.4473,4.8382,43.9356,6.3828,2.0927,13.6125,2.9953,11.6802,4.912,64.1065,7.9724,6.5866,24.2854,25.8785,14.1386,8.8035,6.563,8.5123,0
PHL_H52,75.9675,3.6663,2.6112,14.828,4.6676,297.6736,35.1471,7.8578,24.5115,66.0711,77.2328,7.9789,10.3966,41.7723,33.4655,18.7153,42.2941,58.7342,5.058,17.1174,5.7869,21.228,4.9771,1.0411,33.3881,336.4513,263.0955,19.9543,45.2609,35.5935,3.6326,26.8829,1.4863,14.4207,3.4249,35.1717,9.9074,8.923,67.2223,10.8542,4.151,6.0536,12.7009,7.6067,0
PHL_H53,1.9872,3.3764,0.0277,0.5487,0.2088,5.4836,0.6176,0.2483,0.271,0.2802,0.8949,0.0428,0.2365,0.4351,0.2067,2.552,7.0262,0.2098,0.1002,0.1099,0.5564,0.475,7.7913,0.0522,0.5681,55.3637,3.3221,10.679,6.1133,0.7422,1.282,0.841,0.3237,3.2406,14.8851,14.4801,0.9272,4.2275,16.7137,21.7161,2.1108,1.1454,0.3915,2.2057,0
PHL_I,182.8324,38.2338,0.0664,0.3884,0.546,954.4107,1.7819,0.3099,2.2717,0.7056,4.2238,0.2928,0.333,0.4988,0.3127,0.2658,5.2587,4.0842,0.2207,0.6306,0.2498,2.3664,0.6249,0.3209,8.6571,265.1153,1.2863,3.0179,3.2161,2.7314,0.5928,732.2087,12.4222,12.5482,10.6969,69.1829,26.0201,15.0077,33.6028,371.1531,24.1526,6.1903,45.3862,21.6428,0
PHL_J58T60,3.0229,0.4729,0.0642,0.2735,0.0907,10.0277,1.7055,0.3223,4.2474,1.6531,2.3725,0.3344,0.496,0.7907,0.5609,0.7854,3.269,0.843,0.2221,0.7588,0.52,0.5673,2.1039,0.3639,2.5523,62.8762,1.4399,0.7739,6.4882,1.0411,0.1308,17.2913,44.0573,15.0746,5.0273,43.7257,3.8924,46.0089,54.3674,13.7149,8.8913,9.5168,33.4168,4.0741,0
PHL_J61,25.6837,7.2153,0.5614,8.5853,0.379,72.877,10.7204,3.5248,3.9179,4.9295,4.8367,1.5127,1.9477,6.6207,3.0993,3.4014,42.6405,4.3776,1.086,7.6907,7.6475,5.9268,13.7723,1.1582,27.8377,272.3155,15.5328,3.244,5.7662,7.2503,2.0227,9.3649,5.9488,78.288,6.315,72.9965,9.2285,17.0273,44.6952,288.8426,15.6009,21.4524,9.06,28.256,0
PHL_J62_63,4.6612,3.5243,0.0997,0.6467,0.3226,8.7725,1.3111,0.2765,3.6691,0.7919,3.6844,0.7784,0.4181,0.6465,0.5337,0.3591,4.6722,0.9323,0.1963,0.7382,0.5821,0.4376,5.78,4.2935,5.6145,50.1009,3.9324,8.6571,2.438,15.0445,1.4327,2.6298,1.606,21.6674,10.1752,104.1142,9.6311,1.7968,24.5685,19.8894,1.1171,7.3017,2.199,2.2551,0
PHL_K,252.8675,172.6305,8.8733,18.6,3.6916,335.4635,43.3463,7.4076,30.025,215.8989,37.588,7.9889,14.1273,485.1697,20.219,8.3412,174.2381,15.4671,21.4348,44.4926,34.0654,15.3695,111.0163,30.5074,334.2063,2739.5357,332.4209,90.7785,405.7892,159.2984,8.205,427.6298,23.2442,250.6282,138.0785,3963.5356,688.8658,461.8757,459.6711,867.5123,176.7544,150.8426,87.8026,211.8175,0
PHL_L,24.6882,1.1923,5.2305,17.9303,0.7369,117.4364,27.8245,3.1243,15.2485,3.781,10.5782,10.3942,4.6453,14.4284,5.0509,7.125,36.4374,11.0631,2.7621,6.309,7.0498,25.6046,40.4338,6.0188,37.1578,150.5779,15.4728,53.4329,164.1933,75.3765,5.1609,47.1405,6.0663,109.579,89.4183,627.6223,100.0739,85.2608,250.6614,62.0844,27.6424,16.1922,16.7345,43.1433,0
PHL_M,107.6224,12.0178,6.726,20.5969,9.3858,139.1817,13.0984,2.0327,10.5574,5.8198,59.6315,13.2391,7.4422,17.3142,6.4791,8.4185,15.4944,13.6922,2.035,6.5575,14.218,6.8448,42.5913,14.685,186.4969,142.4057,26.6623,14.8294,47.6904,19.3146,2.6765,95.0417,15.1518,50.0982,27.3407,481.8694,184.7747,37.6582,140.6195,72.7657,9.4888,20.258,76.4725,18.5177,0
PHL_N,256.2039,226.7179,8.3608,34.2013,4.8399,146.7461,23.7935,9.7892,8.2741,9.5562,51.4923,8.3022,9.4366,15.0704,19.1234,14.1944,27.034,17.6353,4.9454,22.0528,9.7656,8.6219,31.0889,6.733,141.318,265.957,37.7206,116.7782,252.5092,47.7876,5.5161,73.8846,24.2635,344.192,130.3009,621.7304,58.4261,58.0451,167.9339,193.4116,13.1046,113.0221,89.8929,51.1266,0
PHL_O,8.7715,1.5221,0.3294,2.2975,0.613,38.8063,5.4463,1.3594,2.3982,5.5196,5.3528,1.4941,1.4272,2.9363,6.9495,1.2495,5.9987,2.9871,0.7374,1.347,1.1932,2.4904,6.2574,3.6756,19.7822,332.5412,10.5385,4.7819,5.3757,16.0425,0.9469,52.7098,2.9833,26.6836,7.1159,87.4084,24.1898,14.9437,35.8045,1025.3418,12.6189,15.7278,14.7686,37.363,0
PHL_P,69.5778,2.3164,0.1146,1.4124,0.4275,154.9443,11.1568,1.1751,5.5472,2.1524,68.2291,16.2794,6.4532,18.0705,2.8397,4.272,14.5737,9.5701,0.9559,6.0868,16.3216,6.7413,10.795,9.3509,150.7217,117.6796,20.5555,5.2802,11.8974,10.1096,2.3402,117.0022,2.2565,33.2066,18.7519,255.4361,64.7868,29.6576,128.7885,30.5233,36.499,42.1861,114.7109,21.6135,0
PHL_Q,37.5878,0.2114,0.0591,0.4518,0.096,31.9974,2.5024,0.2319,1.1292,0.2764,13.8421,3.2119,1.343,3.6743,0.5854,0.8806,3.3226,1.9756,0.196,1.5068,1.2494,1.4286,1.0188,1.3317,29.1358,23.5897,6.7931,1.0851,2.0062,2.0319,0.4771,21.77,0.6194,8.5678,2.2573,56.4754,12.4877,3.4042,27.1143,103.877,1.7568,61.9092,16.0889,4.2482,0
PHL_R,3.3471,0.6574,0.0529,0.299,0.0657,8.8306,0.8977,0.4576,0.4517,0.5843,1.2614,0.2483,0.2643,0.4942,0.3014,0.2682,1.4677,0.4908,0.1148,0.2944,0.2833,1.0527,0.9415,0.2374,2.1445,26.4728,0.9129,0.7366,1.1899,1.3822,0.1031,343.569,10.022,2.6468,0.9452,10.278,3.5491,3.9509,19.8464,136.3431,3.2795,2.2319,105.7938,99.8759,0
PHL_S,19.9303,4.2961,1.966,10.2695,0.2323,72.3325,14.4282,2.029,3.5209,2.6782,12.1071,9.5353,2.6831,8.3898,4.1931,2.6339,20.165,5.6035,1.7257,3.2549,2.1582,4.553,9.3225,4.1278,33.7069,122.3772,23.0041,19.1675,14.5581,10.9769,0.6365,171.6735,3.4692,19.306,4.9852,46.5038,57.9481,15.1722,36.5327,35.1387,52.7364,39.1868,15.1008,37.4933,0
PHL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
