V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T
BRA_C20,11602.1927,32.1311,1153.6703,1364.6374,59.8997,2235.1618,2763.8043,349.739,2588.2466,4222.9694,21167.2336,1039.4902,6347.7441,1424.079,1237.167,1031.1041,284.6347,1268.6244,277.5134,1249.4439,191.7478,1060.0289,91.9768,427.8453,2650.3789,2196.9634,522.4328,11.2305,29.3841,76.042,13.1943,124.0399,173.4607,85.059,18.8991,88.7458,304.4281,372.0228,824.7543,445.0367,325.8723,857.8051,92.6578,508.5282,0.0
BRA_C21,991.3205,2.0473,64.135,9.0314,1.2738,116.6275,91.3719,4.4457,26.6425,36.3685,175.8014,1186.1544,36.7786,32.6391,64.3603,20.3833,16.013,7.9427,68.5437,34.2332,2.8572,18.8881,55.7532,8.2345,110.1026,96.2506,45.895,2.0745,6.3159,13.136,1.7738,7.2654,3.5714,49.8236,1.4504,11.5616,31.9843,23.6498,8.4978,102.3523,154.1098,2493.9023,4.0213,153.4436,0.0
BRA_C22,283.1886,4.2726,72.6244,300.8148,17.6803,4157.7344,614.5879,62.8486,652.1306,50.4131,1204.0086,150.0558,4665.0273,690.2963,266.9306,283.7797,549.4872,848.1493,931.1231,6056.774,315.6382,1052.4819,49.8549,117.1811,3885.3694,1956.9673,1828.3208,114.2998,317.6634,36.2426,6.4575,128.7629,356.4843,12.0712,9.0546,39.7036,41.1167,334.029,248.7225,69.975,84.2986,291.5593,40.5576,52.3107,0.0
BRA_C23,1819.9881,7.794,66.7789,52.88,26.1823,1286.2623,79.5675,146.3777,99.233,46.9682,483.6566,30.4637,215.927,3542.5725,205.6065,77.9996,7.0125,158.8235,167.8312,1190.2008,53.1833,255.2187,393.2839,252.0713,20457.556,168.5193,19.727,0.9968,2.4494,8.1194,1.4724,233.4561,7.4615,8.1533,3.3017,17.3455,827.4024,21.9427,39.3539,172.9066,71.0853,90.7951,8.4947,66.7037,0.0
BRA_C24,236.0929,1.5204,899.5979,162.5999,49.1748,451.619,35.8203,52.2375,249.5483,105.9247,290.9829,14.9298,397.6515,299.1871,10104.9003,9619.4094,99.1206,4280.5482,5178.1388,11117.6884,659.4612,1861.604,86.0812,73.2383,7944.1371,798.0637,37.5649,1.4478,2.3426,18.7332,3.6066,50.322,18.5831,38.9784,14.121,50.6621,41.4696,64.373,107.0358,88.4974,50.3886,33.3516,25.6769,28.9235,0.0
BRA_C25,367.1161,4.4024,486.0406,382.4601,45.8538,2954.4887,129.7766,132.1624,90.718,127.9744,943.6601,60.8452,113.4342,98.4637,1281.6063,3217.2071,438.6859,1011.2706,2570.6779,3566.8358,769.0016,1337.8953,605.1959,274.8356,8914.7602,630.3765,65.9545,5.2136,5.1639,21.3556,2.9895,571.9255,14.804,24.1852,10.7546,30.6405,165.6134,48.6811,100.5738,418.444,54.8844,76.032,15.454,54.6319,0.0
BRA_C26,4.8802,0.2414,92.5656,50.4217,5.7807,41.6223,16.8671,3.4474,146.381,24.0702,42.3724,8.6626,22.2299,39.367,108.7413,13.3529,7497.4754,242.5189,265.7986,278.4068,25.3109,218.4938,75.4679,11.436,292.6457,161.8942,24.8157,4.9005,6.028,58.188,15.8267,642.6876,111.197,127.4535,542.2965,145.8428,10.562,532.9114,434.429,164.334,306.9199,202.7585,28.4485,299.1878,0.0
BRA_C27,47.7781,0.5639,81.139,50.9604,9.0376,126.3705,44.5329,9.6961,43.3851,12.4401,73.3407,7.2372,45.0568,56.1947,135.6318,60.9954,787.4167,3384.6557,1219.0274,1098.0078,109.827,703.2583,1402.4644,78.3043,3674.7074,455.0564,388.2784,9.5619,3.1108,28.1273,5.4769,39.769,29.5843,307.9832,16.2491,26.9057,156.5997,253.9723,186.718,51.2714,37.4004,35.6597,26.187,380.6956,0.0
BRA_C28,33.3879,1.0852,907.7915,1134.6237,53.773,1160.0218,278.8948,25.849,360.0119,429.8651,800.417,58.8231,66.7717,34.5559,1141.6701,166.911,131.5755,320.0619,6185.9489,1004.4289,163.9213,2137.3767,67.1838,40.0954,1567.3981,349.2987,65.6831,48.5069,8.9546,66.4013,11.2505,33.6123,29.2087,29.8352,57.8841,9.2249,105.7828,44.0002,264.6235,67.5213,15.2556,65.9626,6.7443,20.787,0.0
BRA_C29,94.6649,1.6063,51.5447,97.6016,9.0477,170.2146,47.1717,10.1165,37.3919,33.7712,68.8369,12.8627,138.1167,54.9971,170.0417,142.585,117.6641,277.0964,1333.7818,24310.2678,33.963,2675.9073,92.8569,19.334,502.0808,4619.0118,3521.8937,131.2326,375.908,541.7472,3.6438,58.9197,211.6334,41.1386,20.3306,15.5182,124.2428,261.8948,434.6955,364.8155,109.6396,66.9216,44.1491,26.1412,0.0
BRA_C30,4.6157,0.0671,0.1869,7.1744,0.857,1.948,0.0,0.2233,1.0921,0.0,0.0,0.0,0.0,0.0,0.0,0.5454,0.2464,0.0,3.7439,108.9382,4790.2264,446.4508,9.8385,0.9669,98.9029,51.7262,387.0677,0.0,0.0,0.0,0.1251,73.9695,26.7224,5.6926,2.1576,0.4142,20.5569,8.5748,7.4298,82.6142,0.3606,9.2946,4.7054,23.7038,0.0
BRA_C31T33,99.1296,14.6259,817.3463,1124.4509,73.7911,1028.5414,1044.6399,156.7356,1332.6817,348.4728,794.0038,221.2583,220.2336,915.7847,4018.1885,261.5343,75.1626,208.0319,883.5202,877.2159,118.9712,1322.3738,421.2722,352.3143,1180.0586,1638.0937,304.4166,338.9576,189.3592,924.913,99.6998,94.349,384.435,245.8514,210.7431,200.4014,77.3702,721.7849,761.3324,624.8482,447.027,4068.5557,154.5558,237.4753,0.0
BRA_D,4102.7071,46.8764,126.6825,971.7368,70.1243,2168.2919,1008.4078,295.8469,1104.9373,82.5579,2200.853,117.1603,863.7656,1592.7161,3447.7956,548.4018,74.8866,296.145,302.4314,1062.4894,112.6292,208.528,21012.8216,1210.9937,242.5321,5746.443,560.0835,21.4271,16.8724,350.9255,53.4302,887.9932,232.7853,803.0081,149.5817,848.9233,143.1896,531.812,1977.587,1849.0436,1385.5859,960.637,222.4921,1209.4565,0.0
BRA_E,1.996,0.1587,12.4431,83.4559,13.0935,335.2554,55.9046,59.2807,152.4865,90.8466,341.7234,26.37,213.3345,305.0193,3061.5263,71.4903,16.9512,28.1972,49.0684,220.234,47.1257,36.2002,26.4906,229.9478,136.9406,1327.8896,133.2098,5.3826,3.7288,195.0524,24.2406,343.0371,43.6246,19.6264,30.4291,155.322,100.4249,252.2569,1462.3742,4084.7475,577.3779,963.6345,34.9142,832.4851,0.0
BRA_F,96.8343,0.9922,1046.5418,733.8296,56.0037,33.5458,33.1278,12.1535,20.7991,18.751,37.4585,16.4596,59.3306,13.0821,704.3084,26.7307,30.9246,8.6256,48.9688,182.5665,119.6555,12.0507,20.5976,2095.8614,26890.0579,702.1882,211.591,5.2714,8.0769,479.1994,70.2328,229.4233,116.3793,1928.0484,332.5818,628.4395,1068.5275,374.0347,913.1405,5521.8024,630.1724,1115.4975,45.7924,232.1547,0.0
BRA_G,6947.9726,110.6465,939.1184,1604.5896,112.773,18462.403,7000.0988,895.0839,2664.9552,11937.4444,7269.7947,1400.5532,2642.4784,2115.0842,2261.0752,1415.2461,4822.8834,2384.7056,4196.8683,10268.908,1320.6516,4037.7983,2302.587,749.2653,11407.0673,7376.9079,9198.586,240.4575,925.8738,518.8831,121.7812,6452.5778,1233.5117,398.9559,515.7497,1171.0837,573.9888,2859.9769,1801.869,2753.526,2199.8549,7283.9875,228.1369,1397.1812,0.0
BRA_H49,2499.1915,50.0368,1298.7808,1371.9037,73.7315,10278.0616,1536.6505,396.3883,1263.1371,2694.5019,3428.9392,715.6345,1136.4572,1176.4824,2680.717,1092.3609,1062.7415,871.6913,1446.3036,3903.0402,395.2113,1010.2625,853.871,170.6619,3289.2347,7971.2001,8277.4688,165.0266,216.2205,833.2032,203.2147,1254.9797,367.8133,132.3143,142.2549,320.5965,141.8008,655.3357,422.9519,816.4625,746.386,692.4146,62.7869,864.7755,0.0
BRA_H50,86.0422,1.1223,752.3456,47.6755,3.0704,448.4014,50.5493,25.2137,217.4087,134.0343,209.4835,8.7395,37.9938,42.0034,147.2534,30.5533,68.0947,37.8742,95.1058,160.0879,36.3227,36.034,41.3002,6.4329,117.5298,184.5289,127.5392,163.7458,6.5898,9.8362,1.7903,47.2661,10.1916,5.7488,6.6594,31.9992,9.531,25.831,43.4584,15.0161,14.21,69.8196,4.2964,40.2125,0.0
BRA_H51,109.7683,1.4153,290.0855,38.5269,5.4901,357.2288,104.1857,18.0742,70.0995,232.5489,263.1971,40.5213,62.0515,62.6766,145.544,53.3265,163.9089,87.4266,131.1304,273.0002,31.7473,75.6943,116.772,18.6876,511.8156,679.6826,129.0799,23.9715,13.5698,120.3132,49.7935,88.2934,52.8355,49.2768,108.9868,504.3017,17.7504,382.0973,97.3898,277.9041,429.637,100.6639,19.7328,2146.1927,0.0
BRA_H52,474.4157,12.5022,650.1034,599.9372,28.1592,2756.1361,259.9205,71.5551,374.3656,670.2793,708.2073,118.6105,167.1608,177.717,948.6369,275.872,308.5479,288.4718,284.0759,1431.1601,106.5919,212.5552,121.9866,25.6941,689.6913,1545.2247,1538.6268,529.5493,648.2991,422.9267,27.2298,263.4878,55.3798,45.4461,23.8276,76.1266,32.6821,142.4441,98.781,446.7281,80.813,153.6948,13.6684,291.7693,0.0
BRA_H53,1.1959,0.1586,9.1573,4.7366,5.0137,169.1849,134.1444,7.6728,98.8603,20.5948,206.792,47.9655,33.2923,46.8071,20.5659,43.801,80.4121,47.9332,35.9482,188.2216,41.4021,61.4308,157.9532,5.2498,147.0435,1495.8929,71.7413,4.8842,4.8616,217.1161,286.7428,79.1826,57.6073,220.6705,41.6427,1883.8826,76.6509,270.9397,318.1326,734.7584,229.0398,174.7835,18.1719,185.1572,0.0
BRA_I,7.0011,0.881,125.7717,39.265,17.288,247.6919,34.4527,9.3646,38.5412,13.2728,150.7887,133.0687,35.4016,24.9516,114.0587,60.9822,45.3255,39.654,136.2356,269.6895,49.7436,73.2413,99.2057,15.1727,406.0705,1046.7196,87.5751,7.8369,412.006,59.3343,14.2137,195.1504,190.8474,83.8837,109.5752,1096.9014,37.226,680.9505,472.3426,4106.8078,858.2653,2424.6635,53.7585,5950.0093,0.0
BRA_J58T60,24.7254,0.576,36.4177,68.1542,2.8275,121.4606,25.1756,14.833,42.5646,56.9936,98.9852,18.5841,40.3845,86.1554,38.6819,16.0677,20.0994,19.4681,17.3301,57.5501,4.7614,118.9026,122.4511,13.4774,172.7489,1439.2733,27.098,127.0192,399.6006,325.4394,40.7391,967.1443,1038.8444,1097.0068,26.1261,632.4349,51.3558,9537.9352,70.1143,313.2866,1310.2064,1182.8641,33.8421,474.5816,0.0
BRA_J61,9.366,1.0535,250.3595,79.9331,15.5168,1494.3462,552.9748,42.6577,430.5833,129.4184,301.5777,133.4884,182.0461,252.7076,185.0988,231.0401,394.2397,286.7116,313.7477,2053.6064,118.4604,266.1029,155.4922,93.3698,686.709,3480.9152,481.9298,19.0168,41.1367,276.9467,77.1342,350.8571,295.6816,12753.3924,541.5608,4280.9975,226.4076,2400.0467,1008.7271,1991.5293,1004.3769,655.21,109.1771,908.1745,0.0
BRA_J62_63,9.3533,0.1292,17.5512,91.7947,9.9909,500.7265,45.0219,4.1311,59.8239,14.3789,209.716,138.8743,49.4109,32.8671,96.4974,40.5616,91.6103,140.7337,78.6606,493.7131,28.0527,57.078,270.5308,90.1181,185.9725,2352.4118,324.5693,0.5564,315.0852,248.578,74.9605,43.2284,599.2886,1053.8033,1908.5793,4777.6931,89.8544,1812.8458,415.5814,3409.7487,530.5459,606.2442,48.3725,492.1497,0.0
BRA_K,2428.1677,45.5849,1487.9923,1452.7363,90.563,6473.9516,1240.8589,232.8773,1176.9666,1254.0204,2315.0229,432.2349,838.1263,919.7771,2457.0436,948.5365,745.4348,795.7221,1244.6352,2961.4463,417.5579,642.2038,2044.7464,415.8369,4094.7023,9298.2681,3308.6715,180.5537,475.7373,1000.3342,153.225,1012.2598,609.3344,2395.0336,672.7462,23446.7868,7629.4974,2249.9963,2044.8356,20311.4676,511.8547,1563.0616,259.7614,1059.4538,0.0
BRA_L,8.4451,0.9233,96.3713,37.4546,18.6985,574.539,357.1362,13.0374,93.0311,110.9807,184.1077,103.7984,161.0082,85.2811,166.1703,104.7213,88.7706,54.598,108.8037,203.0016,23.7748,111.2852,332.9269,147.8358,658.9769,12886.9441,527.9173,29.3379,61.1152,850.0859,152.595,1849.083,371.6471,1134.8969,486.6166,2711.5904,778.3576,2576.7304,1903.0159,1196.0734,1813.9311,777.6114,1290.5806,1147.2358,0.0
BRA_M,397.1881,10.758,3390.0132,1048.6058,183.6038,10270.1548,1013.1535,101.1321,1135.2058,1715.9387,4757.0026,2717.5563,1070.7412,1101.4405,1498.7358,755.9058,1876.5349,1747.5481,1622.4178,5573.8448,298.0422,584.1376,1899.8803,765.4998,4595.1,14596.6791,1222.0626,46.5707,278.4477,2450.0617,331.1983,525.0353,2077.9236,2386.2642,1279.7265,9773.0343,737.9655,9444.8555,2524.101,4439.7624,1901.7985,1093.3732,704.7171,1964.8563,0.0
BRA_N,115.0988,8.9844,1435.1782,900.7333,180.5608,1931.6422,300.3678,37.9313,334.8308,142.933,725.8876,447.99,205.9124,574.9491,837.6395,499.714,595.6808,467.5319,1177.2847,1343.1504,155.876,367.0633,1223.9219,398.3197,1953.7272,13711.7146,1407.8582,267.0768,942.167,1191.2771,263.3817,898.2172,664.5171,10188.5495,2403.1835,10548.606,271.0447,2226.9855,3232.211,9030.2464,5799.6098,6049.2122,314.2524,2341.9599,0.0
BRA_O,133.7784,1.7799,160.4371,94.8758,15.2806,736.0473,72.3637,15.1504,76.6228,152.5015,329.0055,108.8799,79.0259,68.3321,153.0456,58.3176,83.5663,85.9651,93.1417,268.5441,20.0106,49.8276,115.087,33.2594,227.6497,745.8839,243.9616,26.1474,45.1317,104.3772,17.0795,80.05,68.1038,67.945,54.6482,306.7924,47.9488,415.8057,118.2406,183.3556,111.0541,90.9486,30.4246,189.2767,0.0
BRA_P,6.2765,0.0866,28.0736,61.0293,4.9633,28.8216,3.0794,2.133,17.818,4.8843,36.0456,19.55,5.918,2.4212,127.3061,26.6931,13.204,5.7801,18.2639,105.0649,1.8661,3.3022,34.2075,2.1743,9.4789,282.8518,367.8998,27.2165,9.2429,75.3157,22.083,2.3037,22.6921,26.9286,7.7893,630.2911,22.3102,1198.2736,827.8558,230.811,557.6714,190.1135,4.9904,167.0347,0.0
BRA_Q,0.0,0.0,0.0,0.0,1.9509,0.0,0.0,0.0,0.0,9.9178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3691,0.0,0.0,163.572,0.0,0.0,0.0,25.829,1.0609,5725.9969,0.2736,0.0,0.0
BRA_R,0.1443,0.0033,0.1663,0.0704,0.3524,0.0,0.0,0.0162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.5353,0.0592,0.0,0.6218,4.4317,0.1507,0.5284,1.0223,0.0,6.3304,1040.4314,188.8922,0.0,2.3273,0.1783,28.7307,11.0316,311.1747,32.0124,22.402,464.1874,510.1362,0.0
BRA_S,62.8814,2.5786,136.5751,119.319,8.9259,226.204,85.2684,17.9688,69.8302,49.843,80.3096,35.1465,58.9593,57.4091,89.3292,91.0019,227.9319,74.9695,95.9764,199.3329,18.032,40.6687,208.0674,1.1546,58.1237,1099.3608,262.9402,5.0908,10.9728,356.7971,52.089,96.2234,105.7876,2039.168,393.8757,780.3971,46.3509,344.6924,556.4818,346.3523,235.327,1041.2798,12.7105,117.7273,0.0
BRA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
