V1,GRC_A01_02,GRC_A03,GRC_B05_06,GRC_B07_08,GRC_B09,GRC_C10T12,GRC_C13T15,GRC_C16,GRC_C17_18,GRC_C19,GRC_C20,GRC_C21,GRC_C22,GRC_C23,GRC_C24,GRC_C25,GRC_C26,GRC_C27,GRC_C28,GRC_C29,GRC_C30,GRC_C31T33,GRC_D,GRC_E,GRC_F,GRC_G,GRC_H49,GRC_H50,GRC_H51,GRC_H52,GRC_H53,GRC_I,GRC_J58T60,GRC_J61,GRC_J62_63,GRC_K,GRC_L,GRC_M,GRC_N,GRC_O,GRC_P,GRC_Q,GRC_R,GRC_S,GRC_T
GRC_C20,107.6311,0.5211,0.8497,1.3948,0.148,83.7777,40.8177,3.0853,22.3646,17.234,124.8391,22.0268,198.064,13.9358,26.5486,53.1191,1.7232,12.0994,2.6825,0.8427,0.3722,12.2035,5.7524,12.1869,28.1598,60.7353,7.539,8.933,2.1882,2.6793,0.8518,73.6879,8.7135,8.0523,0.7975,3.9331,115.9889,14.4757,17.3212,15.2771,14.4381,107.8717,5.6397,8.5676,0.0
GRC_C21,5.0092,0.3666,0.5142,1.6442,0.0138,10.363,4.4655,0.8189,1.1993,6.0196,2.7628,30.3715,2.2046,1.1771,3.1032,2.0623,0.2659,0.6473,0.3565,0.0952,0.209,1.429,2.6109,4.0782,9.3411,19.774,2.6054,3.0893,0.9226,1.1557,0.3518,11.551,2.7167,4.6663,0.3956,1.4398,1.2642,12.0123,1.9551,5.8858,3.8392,283.9654,0.7222,2.8891,0.0
GRC_C22,34.472,0.322,0.4271,0.7152,0.1007,56.6144,12.4632,2.8545,13.5603,2.54,4.4578,11.4212,21.7224,9.0045,7.23,31.8408,4.3415,5.6591,13.2973,2.0265,1.2242,13.8436,9.3142,2.5509,137.6417,862.2795,60.6555,4.3058,18.5967,3.9369,6.2764,19.4118,2.1251,76.0947,4.2448,1.8934,26.4602,102.9592,11.6611,6.9853,1.7546,5.653,1.7127,27.7974,0.0
GRC_C23,5.3166,0.4204,4.3022,8.6507,0.1992,36.5476,4.2746,1.1519,1.9995,6.7589,9.7434,10.6828,6.0832,380.3766,14.4043,10.6543,2.0184,18.0947,6.3214,1.5274,0.9338,9.4992,11.8017,2.6858,2310.4707,53.4498,9.3562,7.6107,2.9741,4.0845,1.0798,82.3203,3.8873,13.5008,1.3644,3.3501,23.8164,18.5837,5.4321,7.0894,2.2083,11.5781,2.8707,3.714,0.0
GRC_C24,0.0,0.0,0.048,0.0883,0.4129,57.7682,4.3255,0.5354,5.1401,0.1002,8.03,9.399,3.7995,7.5951,1278.2804,718.3246,6.9698,423.6604,97.049,31.2043,9.6901,107.8735,12.1431,63.034,816.7381,12.0127,0.26,0.3806,0.0,0.0,0.0,0.0,5.7221,0.0,0.6377,3.0438,0.0151,0.0002,0.0,28.6668,3.5165,0.6421,2.3162,0.0111,0.0
GRC_C25,25.9216,4.5317,12.4143,6.2283,0.4158,218.5044,139.5605,5.9828,14.0583,8.6487,26.0825,35.8249,41.7008,21.7873,34.9701,307.9657,15.5811,48.8789,50.0141,13.9947,12.2222,68.9395,55.5758,14.4559,1893.5526,72.5078,17.5669,21.1447,3.4923,16.2283,1.2185,98.2534,8.718,9.8415,4.7732,8.8769,1.065,15.5662,19.8554,277.8708,13.4326,24.4456,45.2425,17.3434,0.0
GRC_C26,3.7433,0.3441,0.0812,0.1773,0.0295,5.5319,1.2255,0.2592,0.6598,0.9211,0.6591,0.7121,0.5536,2.3013,2.4785,3.1479,7.0293,0.6663,1.051,0.4204,0.1753,1.9403,8.9345,4.1592,15.5808,21.6499,5.2761,4.1672,1.0962,5.5249,0.3718,5.5746,6.7803,2.3862,1.7192,1.6545,0.0714,6.2284,2.5458,8.7507,5.213,9.785,1.0799,3.2761,0.0
GRC_C27,5.8076,0.4897,0.2443,0.3928,0.0712,14.3545,3.2684,0.8399,1.921,3.7861,1.941,1.8916,1.988,6.4739,6.602,14.9965,19.4389,33.3585,8.8124,1.5141,0.4159,4.3771,25.131,39.452,236.1066,279.4572,21.9394,6.0167,4.3026,10.0989,1.4674,28.357,15.0685,23.2675,4.0155,0.8218,0.5282,37.1489,2.5488,6.3796,4.1355,16.8391,1.0297,5.9281,0.0
GRC_C28,9.3242,0.8506,0.6438,1.2062,0.2125,16.0109,2.9285,0.5031,1.2268,2.0786,1.8783,2.6394,1.5978,3.8598,4.1286,12.252,1.0211,3.3471,7.4526,0.9163,0.5813,4.2863,12.7559,8.3643,78.1989,20.3114,13.4495,11.146,2.0329,12.785,0.703,17.6062,3.3891,3.8926,3.2275,2.9131,0.3113,5.9686,4.0375,13.9628,11.8385,7.1999,2.2019,5.0022,0.0
GRC_C29,2.2245,0.2026,0.0611,0.1286,0.0131,1.6948,0.2939,0.0947,0.1496,0.5679,0.1889,0.2675,0.1743,0.2656,0.2826,0.8714,0.1069,0.2307,0.3397,0.4932,0.072,0.5991,0.5575,1.8611,7.9633,3.2301,2.1835,2.5519,0.5962,3.1392,0.2048,2.8435,0.4649,0.6905,0.6833,0.1882,0.0539,1.0097,0.6325,11.4075,1.0333,1.478,0.393,1.2437,0.0
GRC_C30,0.0,1.4473,0.1121,0.2106,0.0012,1.0089,0.3969,0.0174,0.1007,0.0063,0.0636,0.1357,0.0781,0.1951,0.4548,0.3723,0.0212,0.0566,0.0875,0.0335,2.1292,1.1554,0.0287,0.0107,0.1579,0.1233,2.8166,5.7278,0.111,0.1745,0.0368,1.4484,0.0099,0.0104,0.0014,0.0,0.0,0.0177,0.3434,0.1629,0.004,0.0446,0.0,0.3698,0.0
GRC_C31T33,76.0753,7.095,1.4322,2.461,0.4283,44.6337,9.6008,22.578,2.2816,3.3974,5.3431,7.2023,4.0501,5.8713,6.2043,24.7615,1.5287,3.9101,10.0317,2.6335,2.4522,47.0122,12.9142,47.8843,258.7374,50.3025,51.4113,85.7698,6.8358,100.0328,2.3367,102.3838,14.2372,7.5144,23.7578,15.7009,1.2226,17.3072,19.9128,178.4816,34.1295,417.2091,14.5633,38.3799,0.0
GRC_D,159.3546,0.5228,8.4936,6.1319,0.6621,346.4349,97.1099,14.1107,42.9067,51.9726,47.5006,42.5464,58.4616,178.5384,657.6558,130.6599,5.0505,17.5222,16.8048,7.1331,10.4446,41.6839,1475.2842,557.3047,91.3455,253.2821,90.163,35.2922,21.0664,189.9543,7.1471,189.5086,44.0353,72.4186,5.7118,51.7114,12.6341,87.0791,58.5566,645.9332,81.3236,261.6539,76.3589,138.9163,0.0
GRC_E,170.3109,2.6237,0.6025,0.8638,0.254,15.4862,2.8554,0.2212,6.1858,0.5084,1.5238,14.0335,15.9505,2.584,104.5933,5.3818,0.3111,0.9001,15.1949,0.9307,0.9258,6.4669,3.7244,119.1669,72.2519,374.6935,23.0524,40.034,3.7487,56.7506,1.2796,168.0311,21.1493,122.5235,52.5543,62.5925,212.1355,132.8451,18.2167,183.43,74.925,94.3741,32.9552,44.7151,0.0
GRC_F,21.314,0.3785,3.0203,1.2524,0.3972,98.9357,20.476,7.2762,11.8562,27.3245,26.5558,3.9174,18.2605,27.448,30.1765,2.9262,0.6654,3.093,1.1953,1.87,0.7294,10.4461,9.0265,22.8004,1564.7261,249.9504,719.1788,17.9789,1.4031,30.4215,0.5045,49.7965,8.0419,17.6302,1.3265,142.5931,1434.443,40.9009,37.9457,163.7517,105.6464,108.4254,45.8908,204.3816,0.0
GRC_G,1154.2377,70.977,17.0527,39.6473,1.6353,2442.2096,387.4967,174.7729,320.8989,1246.0027,249.4784,130.5142,268.2592,306.4209,331.159,417.5068,68.0011,142.2894,81.252,25.3241,22.9696,286.5403,520.5469,155.9761,2226.303,2855.6432,465.2618,541.0122,165.5247,193.7011,72.1253,2622.3591,158.0904,509.1792,54.732,202.2727,180.1829,820.5989,294.6642,872.5054,178.8189,978.4767,87.1957,302.7797,0.0
GRC_H49,95.2969,7.4669,3.7317,14.6764,0.5685,403.6765,59.8384,25.3166,40.7017,199.0333,55.6985,21.096,40.9431,194.8622,96.1196,90.9614,7.2055,21.942,21.1025,4.3246,4.5903,38.3176,59.4198,14.3577,333.672,717.547,75.0053,103.1131,42.3896,68.6988,14.7466,150.8654,17.1314,69.5549,17.7374,10.8871,10.1657,296.7613,132.8594,372.1469,41.7674,56.346,20.8921,182.759,0.0
GRC_H50,15.4298,3.2896,0.3141,1.3434,0.0868,28.8285,7.5343,2.0542,5.5331,113.9637,6.2193,5.3835,5.4687,5.7527,9.5974,10.8024,1.7622,3.6794,4.1713,0.7196,1.3853,7.3951,13.872,5.9775,34.0878,228.3633,69.07,2714.7185,24.779,16.7976,8.9411,26.2226,15.4692,32.8457,7.1613,8.003,16.0327,31.0644,15.6358,19.0077,4.9887,18.1664,5.7343,17.6918,0.0
GRC_H51,3.4234,0.2133,0.0483,0.1417,0.0172,8.5206,1.6255,0.7864,1.2746,13.5701,1.3175,1.1518,1.0892,1.8438,2.1012,2.5447,0.3718,0.8456,0.8033,0.1502,0.2408,1.8584,3.6377,0.5945,9.4637,31.5791,1.08,2.0745,0.3302,0.7339,0.1361,7.1013,3.7206,5.5227,1.627,1.7214,0.5515,6.9737,8.191,9.3234,0.4502,2.857,0.5051,22.9603,0.0
GRC_H52,19.7498,15.6047,0.2485,8.6779,0.2945,58.0465,6.9729,4.2215,5.8548,73.9178,5.8989,6.3125,4.9141,13.0183,10.105,14.8675,0.9867,3.1266,2.3241,0.5827,0.5298,7.1736,15.8679,5.9986,52.2614,1794.533,143.4393,563.6753,108.7673,136.1634,47.0955,39.5355,109.8973,233.2938,41.5124,9.7548,2.703,82.1779,34.9039,19.535,2.225,10.8112,1.4604,8.8663,0.0
GRC_H53,14.177,0.0582,0.1687,3.6322,0.0502,17.5072,4.7578,0.149,0.2725,1.1742,0.2848,3.8526,0.2265,0.9008,2.308,0.502,0.0449,0.1242,0.1134,0.0236,0.268,0.2522,1.2501,5.3285,1.9597,438.0292,19.3226,1.1415,0.4627,0.6129,0.1718,56.6509,155.9654,67.5936,85.0385,111.2169,0.2434,56.0316,120.9585,102.7556,0.2291,2.9372,3.0403,47.2624,0.0
GRC_I,0.0005,0.0,0.3873,0.6694,0.1471,12.287,5.4646,0.4641,1.2884,0.4004,4.3987,6.2078,1.4953,4.416,4.6379,7.6863,1.481,1.9671,4.1897,0.5141,1.0566,5.9449,10.7958,0.609,0.8898,19.4509,12.8601,17.9179,0.7052,3.9456,0.2411,0.0,37.8761,6.5683,19.0735,34.977,10.92,12.5622,201.7113,4.8154,0.2294,3.0216,4.223,726.1999,0.0
GRC_J58T60,0.3571,0.0045,5.6343,10.2996,0.0347,40.6276,9.434,0.4339,1.6996,0.4693,4.8643,11.2191,1.9745,5.3858,6.2134,6.3622,0.8852,2.3879,2.724,2.1074,1.0966,5.146,39.3912,13.624,33.1888,206.1888,31.1892,6.8335,7.7079,17.5277,2.5893,133.1495,293.2557,66.0327,19.4183,35.6555,2.2147,202.0745,62.6333,106.4285,126.7857,12.6059,66.781,9.0163,0.0
GRC_J61,25.1223,2.7476,0.1964,1.5407,0.1487,58.7252,23.6825,2.498,7.0862,3.6537,7.5012,12.0783,5.9654,13.3182,10.1483,25.864,3.7321,3.7245,8.47,2.1496,1.1268,15.8824,29.2037,40.9748,91.9056,622.7662,60.659,13.368,12.4059,25.9647,4.242,117.6966,62.5819,222.7291,14.5659,229.9371,22.1249,299.9864,150.4944,209.0081,39.7342,55.1536,29.7163,59.4178,0.0
GRC_J62_63,0.0301,0.0102,0.2497,5.5674,0.0502,6.9382,3.6203,0.2609,0.6282,0.0426,1.0098,8.4146,0.5613,1.4776,2.0169,3.5265,0.3835,1.6136,1.2872,0.4893,0.6952,1.9007,3.3949,2.7708,3.7969,6.0716,16.382,0.2886,5.479,0.5921,1.8424,5.7876,200.6983,22.9176,15.222,137.4516,0.5092,145.31,21.4703,18.3061,15.7201,1.0175,29.3501,11.0998,0.0
GRC_K,378.0583,35.6799,10.6221,24.5582,0.765,344.7146,59.3142,15.199,53.4082,123.422,48.0298,94.8845,44.7542,75.834,96.2784,85.9503,11.7405,25.6548,22.763,6.1995,4.7884,44.3906,141.2007,40.5149,430.9686,1251.0769,289.1576,596.5539,116.4131,130.4094,37.7787,328.5282,172.1793,207.6258,56.4911,1749.0607,1743.9935,336.1849,349.7408,810.5884,63.0996,95.8744,308.2336,322.349,0.0
GRC_L,32.3645,0.5163,2.2419,28.3259,0.1674,144.3003,111.3911,6.9745,14.9309,17.2702,16.4211,51.3646,17.244,43.7295,34.7502,75.7155,6.8087,9.5957,19.9164,2.2627,3.9849,65.5947,596.7891,80.2192,134.0275,7330.0089,100.227,39.4585,18.0071,265.2715,6.0595,222.9999,61.9447,2194.57,130.9269,531.591,27.8027,2762.8066,191.7089,539.6557,49.5913,24.0822,70.9342,240.88,0.0
GRC_M,64.4126,3.9407,22.2141,239.1669,1.5684,1280.6561,221.9458,23.895,78.2901,25.3732,190.8494,312.2637,66.3698,171.9909,341.7427,284.0484,45.6539,65.5506,87.4754,24.9836,21.3753,147.4154,53.9858,108.165,2826.0697,1689.2978,434.6023,539.9791,160.1189,286.9813,53.8575,261.0048,260.6815,514.5637,128.3734,905.8394,156.5972,1097.4447,855.3785,839.0956,99.561,141.0316,162.7319,171.7891,0.0
GRC_N,7.4702,0.5067,8.8872,103.5131,0.9149,8.2726,7.475,0.9048,0.6561,3.6191,1.1527,104.1016,1.3395,5.6376,5.2238,5.0106,1.3636,2.4568,4.1228,1.239,1.1379,4.792,37.9753,133.2171,107.2767,205.9724,702.3137,209.1801,229.6944,29.1927,77.0099,437.8568,172.3766,58.3887,15.6249,124.3532,10.9529,406.4879,639.3389,324.4187,167.9636,362.9394,167.6484,79.2208,0.0
GRC_O,0.2017,0.0311,1.3432,2.8558,0.0619,165.4477,13.647,3.9407,11.2188,50.1016,11.3818,11.2362,11.301,16.0827,24.8924,18.698,1.9777,6.5162,3.9614,1.7448,0.3479,8.4808,57.9639,5.6932,64.0267,168.4378,49.68,22.2098,11.9347,14.0797,3.5109,50.307,28.6925,40.2441,6.6617,841.2293,9.6476,72.3093,32.2216,105.6146,8.8651,12.9495,25.0671,10.0417,0.0
GRC_P,0.0106,0.1326,7.4491,13.7913,0.0373,0.1475,0.0884,0.006,0.0139,0.006,0.02,1.8032,0.0137,0.0355,0.0406,0.3829,0.0078,0.0268,0.0253,0.0079,0.0115,0.0487,8.0361,13.216,0.093,5.4071,0.2823,0.2004,0.0864,0.1224,0.0291,1.3057,11.1906,2.0215,13.7721,34.5853,0.1086,39.2195,5.7119,111.1773,48.3544,56.6106,10.3596,23.3526,0.0
GRC_Q,2.7631,0.009,0.0057,0.0896,0.0192,0.302,0.2207,0.0141,1.3768,0.0305,0.0359,1.055,0.0341,0.087,0.0752,0.1577,0.0147,0.0284,0.0441,0.0075,0.012,0.1283,1.1968,0.4418,0.2589,12.8549,7.1786,0.4789,1.0739,0.5326,0.3617,0.4313,2.5711,4.0061,2.1214,39.7227,0.0642,10.194,1.6112,785.1268,0.4751,112.0693,0.8271,35.5054,0.0
GRC_R,0.0272,0.0018,0.0022,0.03,0.0031,0.1289,0.0976,0.0061,0.0218,0.0145,0.0149,0.9506,0.0403,0.0384,0.1988,0.0675,0.0061,0.0099,0.0377,0.0024,0.0041,0.0572,0.5457,0.1914,0.1224,6.775,1.1629,0.1801,0.0223,0.2389,0.0075,23.181,166.0439,2.0699,0.1608,194.9083,0.3764,227.2195,77.2042,85.1349,47.5708,23.8292,793.1178,39.4941,0.0
GRC_S,14.2624,0.0025,0.5752,5.8098,0.0895,47.9679,14.8932,1.3484,4.5638,7.5593,6.0814,17.2893,4.294,19.6035,17.487,21.1248,2.5632,4.3349,5.1738,1.7206,1.7812,10.418,45.7641,13.6128,103.2371,305.9377,11.1941,8.1086,1.0312,14.1088,0.3474,77.4993,19.8678,45.8174,43.8424,13.88,1.0747,195.8762,29.8169,28.3403,0.9755,17.6695,1.3401,81.8565,0.0
GRC_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
